,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Visite virtuelle,Surface habitable,Surface du salon,Salle à manger,Surface de la cuisine,Chambres,Salles de bains,Cave,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,À partir de,Quartier ou lieu-dit,Type de cuisine,Toilettes,Surface de bureau,Bureau,Accessible aux personnes avec un handicap,Interphone vidéo,Attestation as-built,Adresse,Référence externe,Combien de feux ouverts ?,Dressing,Surface de la cave,Grenier,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Terrasse,Concierge,Ascenseur,Parlophone,Accès sécurisé / alarme,Piscine,Attestation de conformité des citernes à mazout,Site internet,Parkings intérieurs,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Largeur du terrain à rue,Permis de bâtir obtenu,Surface constructible totale au sol,Disponible le,Type d’environnement,Salles de douche,Surface du jardin,Parkings extérieurs,Salon,Nom du bien,Charges mensuelles,Revenu mensuel actuel,Nom de l'agent,Espace professionnel,Type de construction,Orientation du jardin,Climatisation,Jacuzzi,Sauna,Internet,Buanderie,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Pourcentage loué,Description libre du PEB,Obligation de construire,Isolé,Orientation de la terrasse,Informations supplémentaires,Surface du grenier,Nombre d'annexes
94,1876,Bon,,2,,400 m²,,,,1,1,,Non,,,,,15 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,1.500.000 €,,Non,Après la signature de l’acte,,Équipée,,,,,,,"Avenue Louise 200
1050 - Bruxelles",,,,,,,,,,,,,,,,,4454277,,,,,,,,,,,31 décembre 2021 - 00:00,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
95,1957,À rénover,28.3 m,4,,450 m²,,,,3,2,Oui,,,1961 m²,,,44 m²,465 kWh/m²,G,20160302-0000328692-01-0,131 kg CO₂/m²,Non communiqué,,,,,,,,,,,,,4.000.000 €,,Non,,,,1,27 m²,Oui,,,,"Avenue J. Burgers, 2 b24
1180 - Uccle",,1,,,Oui,,,,,,,,,,,,010/16001,2,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,Oui,,,,,,,,,,,,
96,1920,Bon,,2,,173 m²,,,,2,1,,Non,,85 m²,,,,499 kWh/m²,G,20210910-0000595466-01-6,100 kg CO₂/m²,Non communiqué,,Gaz,Non,Non,Non,,Non,,,,,,395.000 €,,Oui,,,,3,,,,,Non,"Av Fr Roosevelt 244/15
1050 - Ixelles",,,,,,,,,,,,,,,,,Kevin Pinto Macedo,,22 m²,16 m²,,,,,,,,,,,,,Oui,,,,B9505,,,,,,,,,,,,,,,,,,,,,
97,,,,2,,450 m²,,,,,1,Oui,Non,,,,,,210 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,Zone non inondable,,1.595.000 €,,Oui,,,Pas équipée,2,,,,,Non,"Rue Washington 128b
1050 - Bruxelles",,,,,,,,,,Oui,,,,,,,9046 - 353,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,2,,400 m²,,,,3,3,,Oui,,85 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Oui,,,,,,1.690.000 €,2.592 €,Oui,Après la signature de l’acte,,Semi-équipée,,,,,,,"Avenue Brugmann 10
1060 - Bruxelles",,,,,,,,,,,,,Oui,,,,4162994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,1,,,,790 m²,,,,,Non communiqué,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,500.000 €,,,,,,,,,,,,,,Oui,100,,,,,,,,,,Gaétan BLEECKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,(àpd 2/9 SANS RDV) : lun. 14-16h et jeu. 11-13h,1373 m²,5.365 €,"Place Maurice Van Meenen, 2/1
1060 - BRUXELLES/BRUSSEL",,,,,,,
100,,,,2,,,,,,2,2,,Oui,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,1.500.000 €,,Oui,Selon le locataire,,,,,,,,,"Rue de Wavre, 27
1300 - Wavre",,,,,,,,,,,,,,,,,4269342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1920,À rénover,5 m,2,,190 m²,,,,,2,,Non,Non,80 m²,Connecté,Oui,,389 kWh/m²,G,20200731-0000572560-01-5,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,Non,,,Non,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",650.000 €,1.417 €,Oui,Après la signature de l’acte,,,4,,Non,Non,Non,,,,,Non,,,Oui,Non,Non,Oui,,Non,Non,Oui,Non,Non,,,,,,,,,,5 m,,,,Urbain,3,,,,,65 €,770,,Non,Immeuble à appartements,,Non,Non,Non,Oui,,,,,,,50,Classe énergétique G. Numéros de référence des CPEB : 1er étage : 20200731-0000572560-01-5 2ème étage : 20200731-0000572561-01-3 3ème étage : 20200731-0000572562-01-1,Non,,,,,
102,1874,Bon,,2,,476 m²,,,,3,3,,,,221 m²,,,,510 kWh/m²,G,Non communiqué,81 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,1.090.000 €,2.216 €,Oui,Selon le locataire,,Hyper équipée,4,,,,,,"Av. Van Crombrugghe 59
1150 - Woluwe",4454087,,,,,,,,,Oui,,,,,,,,,15 m²,13 m²,13 m²,,,,,,,,Urbain,3,76 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1918,Fraîchement rénové,6 m,,,235 m²,35 m²,,,4,,,Non,,103 m²,,,11 m²,682 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,,,,,Faire offre à partir de 390.000 €,999 €,Non,Immédiatement,Centre ville,,1,,,,,Non,"Place Dr. Schweitzer 18
1082 - Berchem-Ste-Agathe",,,,,,,,,,,,,,,,,1710 - 10000871,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1899,,5.5 m,2,,334 m²,23 m²,Oui,28 m²,6,2,,Non,Oui,97 m²,Connecté,Oui,,238 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,759.000 €,1.881 €,Non,Après la signature de l’acte,Brussels Hoofdstedelijk Gewest,Américaine équipée,4,12 m²,Oui,,,,"Bevrijdingsplein 2
1500 - Halle",,,,,Oui,,,,,,,Non,,,,,4529814,1,22 m²,16 m²,17 m²,12 m²,12 m²,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1904,Bon,6 m,2,,247 m²,20 m²,Oui,15 m²,4,2,,Non,Non,96 m²,Connecté,Oui,20 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Oui,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,,Non,Immédiatement,,Américaine équipée,3,20 m²,Oui,Non,Non,,,,,Oui,15 m²,Oui,Oui,Non,Non,Non,,Non,Non,Oui,Non,Non,,,,15 m²,18 m²,12 m²,18 m²,,15 m²,6 m,Oui,247 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",1,20 m²,,,,,,,Oui,Maison bel-étage,,Non,Non,Non,Non,Oui,,,,,,,,,Oui,Sud,Maison unifamiliale anciennement divisé en 3 appartements,,
106,,Bon,,,,200 m²,,,,9,,Oui,Non,,,,,,341 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 775.000 €,,Non,,Européen,Équipée,4,,,,,"Oui, conforme","Sint-Gisleinsstraat 53
1000 - Bruxelles ville",,,,,,,,,,,,,,,,,536 - 1578,,,,,,,,,Oui,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1910,Excellent état,,2,,256 m²,49 m²,,17 m²,6,,,Non,,101 m²,,,9 m²,221 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,760.000 €,1.551 €,Oui,,,Équipée,3,,,,,Non,"Avenue du Hockey, 40
1150 - Woluwe-St-Pierre",,,,3 m²,,,,,,,,,,Oui,,,6127 - 4602,1,23 m²,22 m²,22 m²,22 m²,15 m²,,5.5 m,,,,,2,,,,,,2485,,,,,,,,,,,,,,,,,,,,,,
108,,Excellent état,9 m,2,,550 m²,86 m²,,16 m²,5,6,Oui,Non,,,,Oui,15 m²,143 kWh/m²,C,Non communiqué,31 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,2.250.000 €,8.531 €,Oui,Immédiatement,,,6,30 m²,Oui,,Oui,,"Avenue Louise 160 Rez
1050 - Bruxelles",,,,,,,,,,,,Oui,,Oui,,,4358973,4,30 m²,23 m²,23 m²,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,À rafraîchir,,2,,295 m²,,,,6,1,,Non,Non,1000 m²,,Non,,Non communiqué,Non communiqué,20210428000058740017,131 kg CO₂/m²,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,,,,,750.000 €,,Oui,Après la signature de l’acte,,,5,,Non,,,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,11 m²,12 m²,12 m²,17 m²,17 m²,,,,,,Urbain,4,,,,,,,,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,
110,1899,Excellent état,,2,,160 m²,45 m²,,14 m²,3,2,Oui,Non,,113 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,695.000 €,,Non,À définir,Bruxelles- Quartier CEE,Hyper équipée,2,15 m²,Oui,,,,"Rue Franklin 90
1000 - Bruxelles ville",,,,,,,,,,,,,,,,,4535147,,20 m²,15 m²,12 m²,,,,,,69 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",1,43 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,Bon,,2,,285 m²,,,,3,1,,Non,,,Connecté,Oui,,395 kWh/m²,G,20140310-0000216938-01-6,120 kg CO₂/m²,Non communiqué,,Gaz,,,,,,,,,,,680.000 €,1.006 €,Oui,Après la signature de l’acte,,Hyper équipée,2,,,Non,,,"Rue Royale 178
1000 - Bruxelles",,,,,,,,,,,,Non,Oui,,Non,,4444808,,22 m²,21 m²,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,Excellent état,3.6 m,2,,123 m²,30 m²,,10 m²,3,1,Oui,Non,,40 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,,,Zone non inondable,,599.000 €,,Non,Selon le locataire,Bruxelles (19 communes),Semi-équipée,2,,,,,,"Chaussée de Gand 331
1081 - Koekelberg",,,,,,,,,,,,,,,,,4411731,,20 m²,20 m²,,,,,,,40 m²,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1992,Fraîchement rénové,12 m,2,,189 m²,60 m²,,,3,2,,,,,,Oui,16 m²,218 kWh/m²,E,20140521-0000229589-01-1,47 kg CO₂/m²,Non communiqué,,,,,,,Oui,,,,,,749.000 €,3.254 €,Non,Après la signature de l’acte,,Équipée,3,,,,,,"Chée de Vleurgat, 177
1050 - Ixelles",,,,,,,,,,,,,Oui,,,,64372,,,,,,,,,Oui,,,,,,2,,,150 €,,,,,,,,,,,,,,,,,,,,Nord-ouest,,,
114,,Excellent état,,2,,405 m²,,,,7,5,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,1.195.000 €,,Non,Après la signature de l’acte,,Hyper équipée,,,,,,,"Winderickxplein 25
1652 - Alsemberg",4426024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,À rafraîchir,,,,365 m²,,,,7,2,,,,,,,,143 kWh/m²,C,20190726-0000553877-07-8,28 kg CO₂/m²,Non communiqué,,Mazout,,,,,,,,,,,749.000 €,,Oui,Après la signature de l’acte,,,,,Oui,,,,"Rue de Laeken 91
1000 - Bruxelles",798/17158,,,,Oui,,,,,,,,,,,,,1,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,Fraîchement rénové,,2,,700 m²,,,,,,,Non,Non,,Connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,Oui,,,,,,1.950.000 €,,Oui,Après la signature de l’acte,,,,,Non,Non,Oui,Non,"Boulevard du Neuvième de Ligne 35
1000 - Bruxelles",6059427,,Non,,,Non,Non,Non,Non,,Non,Oui,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,Clothilde HACOURT,,,,,,,,,,,,,,,,,,,,,
117,,,,1,,,,,,4,,,Non,Non,34 m²,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,,,,,900.000 €,,Oui,Après la signature de l’acte,,,,,Non,,,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,Non,Toutes sortes,,,,,,,,,,,,2,,,,,,,
118,1956,,,,,480 m²,,,,10,6,Oui,,,,,,50 m²,352 kWh/m²,G,20180522-0000628111-01-9,89 kg CO₂/m²,Non communiqué,,,,,,,,,,,,,1.100.000 €,,Oui,À définir,,,,,Oui,,,,"Avenue de l'Hopital Français 15
1081 - Koekelberg",,,,,Oui,,,,,,,,,,,,798/17059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,100 m²,,,,1,,Oui,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,,,,,349.000 €,1.021 €,Oui,Après la signature de l’acte,,,,,Oui,,,,"Avenue de Woluwe-Saint-Lambert 35
1200 - Woluwe-Saint-Lambert",,,,,,,,,,Oui,,,,,,,798/17432,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,250 m²,20 m²,,,4,,,Non,,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,360.000 €,,Oui,,,,2,,,,,Non,"Rue Victor Hugo 81
1030 - Schaerbeek",,,,,,,,,,,,,,,,,1890 - 1949,,,,,,,,,,,,Urbain,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,À rénover,,2,,860 m²,,,,,,,Non,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,,,775.000 €,,Oui,,,,,,,,,,"Tour & Taxis - Havenlaan 86c 106c
1000 - Brussels",,,,,,,,,,,,,,,,,D1000-21078,,,,,,,,,Oui,,,Urbain,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,3,,860 m²,,,,8,4,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,775.000 €,,Oui,Après la signature de l’acte,,,,,,,,,"Rue de la Victoire 144
1060 - Saint-Gilles",,,,,,,,,,Oui,,,,,,,4395645,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,2,,245 m²,,,,3,1,,Non,Non,1 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Oui,Non,,,,,,1.200.000 €,,Oui,À définir,,,,,Non,,,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,Rue commerçante,,,,,,,,,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,
124,1940,À rénover,,2,,225 m²,,,,6,3,Oui,Non,,127 m²,Connecté,Oui,,53 kWh/m²,B,Non communiqué,277 kg CO₂/m²,Non communiqué,,Gaz,,,,,,,,,,,460.000 €,1.155 €,Non,Selon le locataire,Bruxelles Centre,Pas équipée,3,,,,,,"Rue Léon Théodor 71
1090 - Jette",4394028,,,,,,,,,Oui,,,,,,,,,16 m²,16 m²,16 m²,16 m²,16 m²,,,,225 m²,,Urbain,4,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1930,Bon,8 m,2,,440 m²,,,7 m²,,2,,Non,,280 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,1.400.000 €,,Oui,Immédiatement,Bruxelles sud/centre,Pas équipée,5,,,,,,"Avenue de l'Escrime 125
1150 - Woluwe-Saint-Pierre",,,,,,,,,,,,,,,,,4411761,1,,,,,,,8 m,,280 m²,,Urbain,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1926,Bon,,2,,300 m²,20 m²,Oui,10 m²,8,4,Oui,,,211 m²,Connecté,Oui,,276 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,,,,,Faire offre à partir de 725.000 €,,Oui,Après la signature de l’acte,,Américaine équipée,4,10 m²,Oui,,,,"Voie des Chasseurs à Cheval 4
1300 - Wavre",4411622,,,,Oui,,,,,Oui,,Non,Oui,,,,,,23 m²,23 m²,23 m²,20 m²,20 m²,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1926,Bon,,2,,300 m²,20 m²,Oui,10 m²,8,4,Oui,,,211 m²,Connecté,Oui,,276 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,,,,,Faire offre à partir de 725.000 €,,Non,Après la signature de l’acte,,Américaine équipée,4,10 m²,Oui,,,,"Voie des Chasseurs à Cheval 4
1300 - Wavre",4390757,,,,Oui,,,,,Oui,,Non,Oui,,,,,,23 m²,23 m²,23 m²,20 m²,20 m²,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1918,Bon,5.5 m,2,192 m²,36 m²,Pas équipée,,,Non,,,Non,92 m²,Non connecté,Non,20 m²,,D,20210820­0000594349­01­6,Non communiqué,Non communiqué,Non,,,,,,,630.000 €,,,,,,1.417 €,Non,"Rond Point Schuman 6/5
1040 - Etterbeek",,,5,Non,,Non,,,Oui,Brabanconne,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Est,,,,,,,,,,,,,,,,,,,,,,,,200 kWh/m²,,,
129,1910,Bon,,2,,160 m²,,,,4,,,,,45 m²,Connecté,Oui,,233 kWh/m²,E,20200604-0000569110-013,46 kg CO₂/m²,Non communiqué,,Électrique,,,,,Oui,,,,,,499.000 €,1.115 €,Oui,Selon le locataire,Place Dailly,,,,,,,,"Rue Engeland 332
1180 - Uccle",,,,,,,,,,,,,,,,,,,,,,,,,6.2 m,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
130,1930,Bon,,3,,370 m²,,,,,3,Oui,Non,,,Connecté,Oui,6 m²,465 kWh/m²,G,20201026-0000577242-01-9,93 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,,,925.000 €,,Oui,Immédiatement,,Semi-équipée,3,,,,,,"rue Edison 37
1190 - Bruxelles",,,,,,,,,,,,,,,,,4518776,,,,,,,,,,,28 juillet 2021 - 00:00,Isolé,,79 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1800,Excellent état,5.7 m,2,340 m²,Américaine hyper-équipée,,,,25 m²,5,,152 m²,,Connecté,Oui,Non communiqué,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,152 m²,,,,,,,,,,,Non,,"rue Edison 37
1190 - Bruxelles",Immédiatement,,6,Non,,,,,,4433118,,,,,,,,,,,,,,,,,,,25 m²,25 m²,25 m²,25 m²,5,,,,945.000 €,7 février 2021 - 00:00,Centre commercial,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1920,À rénover,22 m,3,,800 m²,,,,23,,Oui,Non,,137 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,3.590.000 €,4.884 €,Oui,Immédiatement,,Pas équipée,,,,Oui,,,"rue Edison 37
1190 - Bruxelles",,,,,Oui,,,,,Oui,,Oui,,,Non,,4408562,,,,,,,,,,137 m²,7 juillet 2021 - 00:00,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1944,À rénover,6 m,2,,200 m²,18 m²,,8 m²,3,,,Non,,60 m²,Connecté,Oui,,348 kWh/m²,G,20210129-0000581747-01-2,70 kg CO₂/m²,Non communiqué,1,Gaz,,,,,Oui,,,,,,359.000 €,974 €,Oui,Selon le locataire,,Semi-équipée,3,,,,,,"Avenue Henri Feuillien 2
1083 - Ganshoren",,,,50 m²,,Oui,,,Oui,,,,,,,Non,,1,14 m²,14 m²,12 m²,,,,6 m,,,,,3,,,,,,1450,,,,,,,,,,,,,,,100,,,,,,40 m²,
134,1958,Excellent état,8.9 m,3,358 m²,40 m²,Oui,Américaine hyper-équipée,5,25 m²,3,Oui,438 m²,,17.5 m,Oui,150 m²,Non,C,20200703-0002191525-RES-1,Non communiqué,Non communiqué,Non,,Oui,,,,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.100.000 €,2.528 €,Non,"Brusselsesteenweg 66
3000 - Leuven",Après la signature de l’acte,,40 m²,72 m²,Oui,72 m²,Oui,Non,Gaz,4497566,,,,,Non,,,,,,,Oui,Oui,Oui,126 kWh/m²,,,,23 m²,24 m²,25 m²,40 m²,3,Oui,Connecté,105 m²,Oui,,,3,100 m²,2,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1918,Excellent état,6 m,2,,300 m²,22 m²,Oui,17 m²,4,2,,Non,,100 m²,Connecté,Oui,40 m²,221 kWh/m²,E,20181207-0000540419-01-7,43 kg CO₂/m²,Non communiqué,,Gaz,,,,,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",1.200.000 €,1.800 €,,Après la signature de l’acte,,Hyper équipée,3,15 m²,Oui,,Oui,,"Rue Archimède 41
1000 - Bruxelles",,1,,28 m²,Oui,,,,,,,,,,,,Meschi Alessandro,,20 m²,14 m²,18 m²,18 m²,,,6 m,Oui,,,,,,,,,100 €,,,Oui,,,,,,,Oui,,,,,,,,,Oui,,,,1
136,1990,Bon,10 m,4,,440 m²,,,20 m²,5,2,Oui,,,951 m²,Connecté,Non,89 m²,473 kWh/m²,G,202103030000583777-01-8,75 kg CO₂/m²,Non communiqué,,Électrique,,,,,Oui,,,,Zone non inondable,,1.649.000 €,4.474 €,Non,À définir,,Équipée,4,14 m²,Oui,,Oui,,"Cours St Michel 93
1040 - Etterbeek",,,,,Oui,,,,,,,,Oui,Oui,,,4310272,2,27 m²,17 m²,17 m²,16 m²,23 m²,14 m²,,,,,,2,,2,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,5 m,2,,214 m²,22 m²,Oui,15 m²,8,3,Oui,,,48 m²,Connecté,Oui,5 m²,217 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,650.000 €,,Oui,Après la signature de l’acte,Bruxelles (19 communes),Américaine équipée,3,,,,,,"Avenue Jules du Jardin 43
1150 - Woluwe-St-Pierre",,,,,,,,,,,,,,,,,4512957,,23 m²,17 m²,15 m²,14 m²,13 m²,,5 m,,41 m²,,Urbain,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,Bon,,2,,,,,,,,,,,154 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,,,,,595.000 €,1.421 €,Oui,Selon le locataire,Bruxelles (19 communes),Américaine équipée,4,,,,,,"rue de Flandre 197
1000 - Bruxelles ville",,,,,,,,,,,,,,,,,4496050,,,,,,,,,,,,Urbain,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1800,Excellent état,5.5 m,2,,400 m²,30 m²,,7 m²,3,3,,Oui,,120 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,1.680.000 €,,Oui,Après la signature de l’acte,,Américaine hyper-équipée,3,,,,,,"Rue Zeyp 17
1083 - Ganshoren",,,,,,,,,,,,,,,,,4391390,,14 m²,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,Bon,,2,,820 m²,,,,,,,Non,,,,,,555 kWh/m²,G,20210624-0000591434-01-5,90 kg CO₂/m²,Non communiqué,,Gaz,Non,,,,Oui,,,,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,Zone d'extension d'habitat,2.100.000 €,6.081 €,Oui,Après la signature de l’acte,,,,,Non,Non,Non,,"Rue Notre Dame 124
5000 - Namur",,,Non,,,,,,,,Non,Non,Oui,Oui,Non,Non,1060-bis,,,,,,,,,,,,Urbain,,20 m²,,Oui,,,,,,,Sud-ouest,,,,,,,,,,,,,Non,,,,,
141,1926,Bon,6 m,2,,425 m²,,,,,,Oui,Non,,95 m²,,Oui,9 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,,,,,675.000 €,3.215 €,Oui,Après la signature de l’acte,,Pas équipée,4,,,,,Non,"Avenue L. Mahillon , 58
1030 - Schaerbeek",3423 - 1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1874,,,2,,200 m²,,,,4,,Oui,Non,,436 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,Oui,,,,Zone non inondable,,495.000 €,1.112 €,Oui,,,,,,Oui,,,Non,"Rue Alexandre Markelbach 78
1030 - Schaarbeek",,,,,,,,,,Oui,,Oui,,,,Non,1725 - 0965,,,,,,,,,,,,Rue commerçante,4,,,,,,2135,,,,,,,,,,,,,,,,,,,,,,
143,1874,,,2,,200 m²,,,,3,,,Non,,436 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,Oui,,,,Zone non inondable,,495.000 €,1.114 €,Oui,,,,,,Oui,,,Non,"Rue Alexandre Markelbach 78
1030 - Schaarbeek",,,,,,,,,,,,Oui,,,,Non,1452 - 0961,,,,,,,,,,,,,3,,,,,,1924,,,,,,,,,,,,,,,,,,,,,,
144,1800,Excellent état,,1,,,,,,,,,Oui,Non,100 m²,,Non,15 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,Oui,,,,,,895.000 €,1.119 €,Oui,À définir,,,,,Non,Non,Non,,,,,Non,,,Non,Non,Non,Non,,Non,Non,Oui,Non,Non,,,,,,,,,,,,,,Aménagé,,,,,,,,,Non,Toutes sortes,,Non,Non,Non,Oui,,,,,,,,,,,Sud-ouest,,,
