,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Visite virtuelle,Surface habitable,Surface du salon,Salle à manger,Surface de la cuisine,Chambres,Salles de bains,Cave,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,À partir de,Quartier ou lieu-dit,Type de cuisine,Toilettes,Surface de bureau,Bureau,Accessible aux personnes avec un handicap,Interphone vidéo,Attestation as-built,Adresse,Référence externe,Combien de feux ouverts ?,Dressing,Surface de la cave,Grenier,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Terrasse,Concierge,Ascenseur,Parlophone,Accès sécurisé / alarme,Piscine,Attestation de conformité des citernes à mazout,Site internet,Parkings intérieurs,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Largeur du terrain à rue,Permis de bâtir obtenu,Surface constructible totale au sol,Disponible le,Type d’environnement,Salles de douche,Surface du jardin,Parkings extérieurs,Salon,Nom du bien,Charges mensuelles,Revenu mensuel actuel,Nom de l'agent,Espace professionnel,Type de construction,Orientation du jardin,Climatisation,Jacuzzi,Sauna,Internet,Buanderie,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Pourcentage loué,Description libre du PEB,Obligation de construire,Isolé,Orientation de la terrasse,Informations supplémentaires,Surface du grenier,Nombre d'annexes
74,1900,Bon,,2,,1425 m²,,,,1,3,Oui,Non,,500 m²,,Oui,54 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,Oui,,Non,Non,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",3.200.000 €,13.401 €,Oui,Après la signature de l’acte,,Équipée,10,767 m²,Oui,Non,,,"Place Georges Brugmann, 11
1050 - Ixelles",,,,,Oui,,,,,,,Oui,,,Non,,4508814,,,,,,,,,,1425 m²,29 mars 2019 - 00:00,,5,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1890,À rafraîchir,,2,,245 m²,,Oui,,8,8,Oui,Non,,120 m²,Connecté,Non,40 m²,252 kWh/m²,E,20181024-0000537693-01-1,50 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,,,Zone non inondable,,825.000 €,1 €,Oui,Après la signature de l’acte,,Équipée,8,,,,,,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",,,,,Oui,,,,,,,,,,,,4498161,1,12 m²,,,,,,,,,1 septembre 2021 - 00:00,,8,40 m²,1,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
76,1900,Excellent état,14 m,3,,293 m²,18 m²,,9 m²,4,4,Oui,Oui,,76 m²,Connecté,Oui,18 m²,262 kWh/m²,E,Non communiqué,56 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Zone non inondable,,1.350.000 €,,Oui,À définir,,Équipée,,,,Non,,,"Chaussée de Waterloo 1382
1180 - Uccle",,,,,,,,,,,,Non,Oui,,Non,,4265654,,15 m²,15 m²,15 m²,15 m²,,,14 m,Oui,76 m²,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1981,Excellent état,,3,,515 m²,75 m²,,25 m²,5,4,,,,600 m²,Connecté,Oui,,290 kWh/m²,F,20200416-TEST,75 kg CO₂/m²,Non communiqué,,Mazout,,,,,Oui,,,,,,1.950.000 €,,Oui,Après la signature de l’acte,,Équipée,5,,,,Oui,,"Avenue Louise 367
1050 - Ixelles",4401969,,,,,,,,,,,Oui,Oui,,,,,3,30 m²,30 m²,25 m²,20 m²,16 m²,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1950,Excellent état,20 m,4,,600 m²,50 m²,,,5,3,Oui,Non,Oui,2363 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,2.800.000 €,10.032 €,Non,,,Hyper équipée,4,25 m²,Oui,,,Non,"Rue J. Hazard, 35
1180 - Uccle",,,,,,,,,,,,Oui,Oui,Oui,,,216101 - 111115065,2,,,,,,,,,,,,,1500 m²,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,
79,1900,À rafraîchir,,2,,1425 m²,,,,,,Oui,Non,,,,,,483 kWh/m²,G,Non communiqué,134 kg CO₂/m²,Non communiqué,,Mazout,,,,,,,,,,,3.200.000 €,13.401 €,Oui,Après la signature de l’acte,,Semi-équipée,10,,,Non,,,"Rue des Sablons 19
1000 - Bruxelles",4509311,,,,,,,,,Oui,,Oui,,,Non,,,,,,,,,,,,,30 mai 2020 - 00:00,,,120 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
80,,Bon,,,,210 m²,,,,8,,Oui,Non,,,,Oui,8 m²,217 kWh/m²,E,En demande,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 650.000 €,1.068 €,Non,,,Équipée,3,,,,,"Oui, conforme","Sint-Gisleinsstraat 53
1000 - Bruxelles ville",,,,,,,,,,,,,,,,,537 - 1585,,,,,,,,,Oui,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1934,Bon,6.5 m,2,,222 m²,,,17 m²,5,2,Oui,Non,,,Connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,Non,,,,605.000 €,,Non,Après la signature de l’acte,,Américaine équipée,3,,,,,,"Avenue René Gobert 26
1180 - Bruxelles",4501658,,,,,,,,,,,,,,,,,1,,,,,,,6.5 m,,221 m²,,,2,40 m²,2,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1937,À rafraîchir,,2,,250 m²,,,,2,1,,Non,,75 m²,Connecté,Oui,30 m²,188 kWh/m²,D,20191008-0000557682-01-0,38 kg CO₂/m²,Non communiqué,,,,,,,Oui,,,,,,575.000 €,,Oui,À définir,,Hyper équipée,3,,,,,,"Rue des Sablons 19
1000 - Bruxelles",4192596,,,,,,,,,,,,,,,,,,10 m²,10 m²,,,,90 m²,6 m,,,,,1,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
83,1928,Excellent état,5.5 m,2,,300 m²,70 m²,,,5,2,Oui,,,209 m²,Connecté,Oui,20 m²,274 kWh/m²,E,20160906-0000353285-01-8,58 kg CO₂/m²,Non communiqué,,Gaz,,,,,,,,,,,1.400.000 €,3.158 €,Non,Après la signature de l’acte,,Hyper équipée,,,Oui,,,,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",,,,,,,,,,,,,,,,,030/24384,1,20 m²,12 m²,12 m²,11 m²,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
