,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Cave,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Largeur de la façade à rue,Type d’environnement,Surface de la chambre 4,Surface de l'espace professionnel,Largeur du terrain à rue,Terrasse,Type de zone inondable,Site internet,Surface de bureau,Bureau,Surface du grenier,Surface constructible totale au sol,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Quartier ou lieu-dit,Salle à manger,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Piscine,Dressing,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation du jardin,Orientation de la terrasse,Concierge,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Disponible le,Jardin,Attestation as-built,Surface de la cave,Attestation de conformité des citernes à mazout,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Obligation de construire,Combien de feux ouverts ?,Isolé,Nombre d'annexes,Surface de la chambre 5,Nom du bien,Salon,Informations supplémentaires,Référence externe,Niveau E (performance énergétique globale),Charges mensuelles
72,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Rue de la Station 44
4032 - Chênée",,,,,,,,4520565,,,,,,,,,,Grand Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Après la signature de l’acte,1953,À rafraîchir,4,1,3,,160 m²,18 m²,Semi-équipée,19 m²,3,14 m²,16 m²,8 m²,1,1,2,Oui,Oui,Non,650 m²,Connecté,Non,,,1289 kWh/m²,F,20210706-0002438236-RES-1,Non communiqué,Non communiqué,Électrique,,319.000 €,867 €,Non,"Nieuwstraat 32b1
1730 - Asse",7.5 m,Pays,,,7.5 m,Oui,Zone non inondable,4402897,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,Non,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Après la signature de l’acte,1925,Bon,2,,,,250 m²,16 m²,Pas équipée,12 m²,5,16 m²,16 m²,16 m²,4,4,4,,,Non,95 m²,Connecté,Oui,15 m²,24 m²,256 kWh/m²,E,E-,51 kg CO₂/m²,Non communiqué,Gaz,Oui,595.000 €,1.802 €,Oui,"Chaussée de Waterloo 276
1060 - Saint-Gilles",5.5 m,Urbain,16 m²,,5.5 m,,,,,,,250 m²,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,,Non,,Oui,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,4 janvier 2022 - 00:00,,,,,,,,,,,,,,,,,12 m²,,,,4393189,,
75,Après la signature de l’acte,1960,Bon,3,,,163 m²,36 m²,Oui,12 m²,4,15 m²,12 m²,13 m²,18 m²,1,3,7 m²,,,,12.75 m,Oui,354 m²,20 m²,Non,G,Non communiqué,102 kg CO₂/m²,Non communiqué,Gaz,Oui,85 m²,2.297 €,Non,"Place Communale 8
1160 - Auderghem",4521137,7 m,Urbain,2,,Connecté,,,,,,,Non,599.000 €,,Non,Non,Parc résidentiel,Bruxelles,Équipée,Non,Oui,,510 kWh/m²,,,,,,,,,,,,Non,,,,,,,,,,,,,,439 m²,,,,,,,,,,,,,,,,,,,,
76,Après la signature de l’acte,1930,À rafraîchir,2,,,300 m²,21 m²,Oui,9 m²,4,21 m²,22 m²,21 m²,20 m²,3,3,Non,,,94 m²,4.63 m,Oui,Non,,,F,Non communiqué,63 kg CO₂/m²,Non communiqué,Gaz,Oui,83 m²,1.046 €,Non,"Place Communale 8
1160 - Auderghem",4520014,4.63 m,Urbain,3,,Connecté,,,,,,,Non,Faire offre à partir de 599.000 €,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Bruxelles,Pas équipée,Non,Oui,Non,319 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Selon le locataire,1934,Bon,3,,1,,145 m²,31 m²,Équipée,7 m²,3,15 m²,15 m²,14 m²,1,1,2,,,Non,448 m²,Connecté,Oui,,,403 kWh/m²,E,20210820008426,74 kg CO₂/m²,54049 kWh/an,Gaz,,179.000 €,589 €,Non,"rue des dominicains 4E
4000 - Liège",,Isolé,,,,Oui,,4527895,,,,,,,,,,Périphérie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 m²,,,,,,,,,,,,,,,,,,,,
78,À définir,1930,À rafraîchir,2,1,1,,155 m²,18 m²,Équipée,9 m²,3,16 m²,11 m²,9 m²,1,1,2,Oui,,Non,119 m²,Connecté,Non,20 m²,25 m²,419 kWh/m²,E,20210921009317,104 kg CO₂/m²,48602 kWh/an,Mazout,Oui,250.000 €,815 €,Non,"rue des dominicains 4E
4000 - Liège",,Isolé,,,,,,4451771,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Non,Liège Centre,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,1960,À rénover,3,,,,233 m²,,Semi-équipée,12 m²,4,22 m²,17 m²,17 m²,1,,2,Oui,,Non,1136 m²,,,,,240 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,315.000 €,1.041 €,Non,"Grote Markt 35
9600 - Ronse",,,15 m²,,,,Zone non inondable,13370 - VK3577,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
80,Après la signature de l’acte,1911,Bon,3,2,6,,455 m²,,Semi-équipée,,7,,,,1,2,6,,Oui,Non,3300 m²,Connecté,Oui,,20 m²,393 kWh/m²,E,20150428013727,Non communiqué,Non communiqué,Mazout,Oui,790.000 €,2.349 €,Non,"Rue J-B Gillardin 6
4735 - Petange",,"Zone d'habitat (résidentiel, urbain ou rural)",,,12.54 m,,,,,Oui,,,,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,Oui,,Oui,,Est,,Oui,,,,,,,,,,,,,,124 m²,"Oui, conforme",,,,,,,,,,1,,,,,Oui,,,,
81,Après la signature de l’acte,1969,À rafraîchir,2,,,,108 m²,32 m²,Semi-équipée,6 m²,3,17 m²,13 m²,6 m²,1,,2,Oui,,Non,120 m²,,Oui,54 m²,,462 kWh/m²,E,20211006-0002470244-RES-1,Non communiqué,Non communiqué,Gaz,Oui,305.000 €,720 €,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",6 m,Béton,,,6 m,,Zone non inondable,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,,,,,,,,,,,,,,,Nord-est,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,5074 - TK211003,,
