,État du bâtiment,Visite virtuelle,Type de cuisine,Chambres,Dressing,Salles de bains,Toilettes,Bureau,Meublé,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Année de construction,Nombre de façades,Parkings intérieurs,Surface habitable,Surface de la terrasse,Ascenseur,Attestation as-built,Niveau E (performance énergétique globale),Permis de bâtir obtenu,Site internet,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Cave,Revenu cadastral,Revenu mensuel actuel,Référence externe,Type d’environnement,Salon,Salle à manger,Surface de la cave,À partir de,Jardin,Orientation du jardin,Largeur de la façade à rue,Surface du salon,Surface de bureau,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Pompe à chaleur,Buanderie,Surface du jardin,Type de construction,Parkings extérieurs,Surface du grenier,Accessible aux personnes avec un handicap,Piscine,Grenier,Nom du bien,Espace professionnel,Panneaux photovoltaïques,Porte blindée,Surface constructible totale au sol,Isolé,Orientation de la terrasse,Nombre d'annexes,Concierge,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Panneaux solaires,Chauffe-eau commun,Charges mensuelles,Salles de douche,Disponible le,Combien de feux ouverts ?,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Description libre du PEB
34,,,Équipée,4,Non,1,2,Non,,347 m²,Non,Non,Non,Non,,Non connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,,,Zone non inondable,Zone d'extension d'habitat,598.850 €,Non,"Tramlaan 249
1933 - Sterrebeek",,,,203 m²,14 m²,,,20,,696 - nr45C,,24 m²,16 m²,19 m²,,,,,,,,,Oui,,,,,,70 m²,,,,,Oui,209 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Équipée,4,Non,1,2,Non,,393 m²,Non,Non,Non,Non,,Non connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,,,Zone non inondable,Zone d'extension d'habitat,599.256 €,Non,"Tramlaan 249
1933 - Sterrebeek",,,,203 m²,,,,20,,696 - nr41C,,24 m²,16 m²,19 m²,,,,,,,,,Oui,,,,,,70 m²,,,,,Oui,256 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Équipée,4,Oui,2,2,Non,,267 m²,Non,Non,Non,Non,,Non connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,,,Zone non inondable,Zone d'extension d'habitat,607.489 €,Non,"Tramlaan 249
1933 - Sterrebeek",,,1,234 m²,,,,20,,696 - nr47C,19 m²,9 m²,9 m²,12 m²,19 m²,,,,,,,,Oui,,,,,,46 m²,,,,,Oui,131 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Équipée,4,Oui,2,2,Non,,257 m²,Non,Non,Non,Non,,Non connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,,,Zone non inondable,Zone d'extension d'habitat,608.660 €,Non,"Tramlaan 249
1933 - Sterrebeek",,,1,234 m²,16 m²,,,20,,696 - nr53C,19 m²,9 m²,9 m²,12 m²,28 m²,,,,,,,,Oui,,,,,,46 m²,,,,,Oui,121 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bon,,Équipée,3,,,,,Non,850 m²,,,,,,,,,546 kWh/m²,F,20120213-0001038395-00000001-0,Non communiqué,Non communiqué,Mazout,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",485.000 €,Non,"Hoogstraat 11
2800 - Mechelen",1974,3,,180 m²,,,,,Oui,D2800-21047,,,,,,,,448 €,,,Urbain,,,,,,,,,,,,,,400 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,Équipée,3,,1,2,,Non,749 m²,,,,,11.3 m,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",467.200 €,Non,"Bredabaan, 896
2170 - Merksem",2021,,1,160 m²,,,Non,40,,18848 - SIN/20/026,,,,,,,,,,,,,,,,Oui,Nord,8 m,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Excellent état,,,4,Non,1,1,Non,Non,771 m²,Oui,Non,Oui,Oui,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",383.000 €,Oui,,2021,3,,153 m²,47 m²,Non,,,,,,,,,,,Oui,,,,Pays,Oui,Oui,,À la livraison,,Ouest,9 m,,,,Non,Oui,Oui,650 m²,Immeuble à appartements,1,,Non,Non,Oui,,Non,Non,Non,,Oui,Ouest,2,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui,90 €,,,,,,,,,,,,,,,,
41,Bon,,Équipée,3,Non,,2,,Non,190 m²,,,,,,Connecté,Oui,Oui,416 kWh/m²,E,20210610-0002427201-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,450.000 €,Non,"Mechelsesteenweg 161A 002
2830 - Blaasveld",,,,315 m²,,,,,,,,,,,,,Oui,,,,,,,,À définir,,,,,,,,Non,,,,,,,,Oui,,,,,,,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,362 m²,10,3,,Oui,,,224 kWh/m²,,,,,,,,,,C,20210211-0002372600-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Non,"Koningin Astridlaan 35
2800 - Mechelen",3201 -,,2,1,Équipée,,,Gaz,,Non,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,362 m²,10,3,,Oui,,,224 kWh/m²,,,,,,,,,,C,20210211-0002372600-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Oui,"Koningin Astridlaan 35
2800 - Mechelen",3167 -,,2,1,Équipée,,,Gaz,,Non,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,362 m²,10,3,,Oui,,,224 kWh/m²,,,,,,,,,,C,20210211-0002372600-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Oui,"Koningin Astridlaan 35
2800 - Mechelen",3165 -,,2,1,Équipée,,,Gaz,,Non,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,4,,1,3,,Non,655 m²,,,,,6 m,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,404.000 €,Non,"Korenmarkt 8
2800 - Mechelen",2021,2,,234 m²,,,Non,,,834694 - 93363918,,,,,,,,,,,,,,,,,,6 m,,,,,,,553 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
46,À rénover,,,3,,1,,,,1367 m²,,,,,,,Non,,1583 kWh/m²,F,0002383740,Non communiqué,Non communiqué,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",450.000 €,Non,"Kerkstraat 84
9255 - Buggenhout",,4,1,200 m²,,,,,,4303218,,,,,,,,389 €,,,,,,,Après la signature de l’acte,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Excellent état,,Hyper équipée,3,Non,,1,,Non,579 m²,,,,,,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",461.200 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,,,,,Non,,,,,,,,,,,,,,,,,,À définir,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bon,,Équipée,18,,,,,Non,5000 m²,,,,,30 m,,,,200 kWh/m²,B,20120227-0001051052-00000003-0,Non communiqué,Non communiqué,Gaz,Oui,,Non,Oui,Non,Zone non inondable,Zone agricole,1.250.000 €,Oui,"Korenmarkt 8
2800 - Mechelen",1991,4,,700 m²,,,Non,,Oui,834509 - 93363818,,,,,,,,,,,,,,,,Oui,Sud-ouest,25 m,,,,Non,,,,,15,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
49,Bon,,,10,,10,12,,Non,4827 m²,,,,,,,Oui,,994 kWh/m²,F,20210617-0002423850-KNR-1,Non communiqué,Non communiqué,Gaz,,,,Oui,,Zone non inondable,Zone de parc,1.200.000 €,Non,"Bredabaan 260
2930 - Brasschaat",,4,2,460 m²,,,Non,,,37311 - MEC-21-BQU-0,,,,,,,Oui,,,,,,,,Après la signature de l’acte,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bon,,Équipée,5,Non,1,1,Non,Non,,,,,,,,,,412 kWh/m²,E,20151216-0001820183-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,"Mechelbaan 500
2580 - Putte",,2,,135 m²,,,Non,,Oui,spir1778,,,,,,,,,,,,Oui,,,Après la signature de l’acte,Oui,Nord-est,,,,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Excellent état,,,3,Non,1,,Non,Non,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,Non,"Landegemstraat 10
9031 - Drongen",2021,,,124 m²,,,,30,,Muizen lot C6,,,,,,,,,,,,,,,,,,,,,,Non,Non,,125 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Excellent état,,,3,Non,1,,Non,Non,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,Non,"Landegemstraat 10
9031 - Drongen",2021,,,124 m²,,,,28,Oui,Muizen lot D8,,,,,,,,,,,,,,,,,,,,,,Non,Non,,125 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Excellent état,,,3,Non,1,,Non,Non,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,Non,"Landegemstraat 10
9031 - Drongen",2021,,,124 m²,,,,28,,Muizen lot D4,,,,,,,,,,,,,,,,,,,,,,Non,Non,,125 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,À rafraîchir,,Semi-équipée,3,,1,2,,Non,110 m²,,,,,,,Oui,,788 kWh/m²,F,20211005-0002472842-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",245.000 €,Non,"Korenmarkt 55
2800 - Mechelen",1918,2,,150 m²,,,Non,,Oui,40164 - MEC-21-GMA-0,13 m²,24 m²,16 m²,10 m²,,,Oui,411 €,,,Urbain,,,,À définir,,Sud-ouest,,,,,,,,30 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,1 avril 2022 - 00:00,,,,,,,,,,,,,,
55,Bon,,Équipée,2,,2,2,,Non,4095 m²,,,,,,,Oui,,219 kWh/m²,C,20211005-0002473022-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,Non,Non,Zone non inondable,Zone d'extension d'habitat,620.000 €,Non,"Korenmarkt 55
2800 - Mechelen",,4,1,403 m²,,,Non,,Oui,39413 - MEC-21-GMA-0,,,,,,,,,,,,,,,Après la signature de l’acte,Oui,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Bon,,,2,,1,1,,Non,289 m²,,,,,,,Oui,,558 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Korenmarkt 55
2800 - Mechelen",1960,4,,137 m²,,,Non,,Oui,36838 - MEC-21-GMA-0,,,,,,,Oui,,,,,,,,Après la signature de l’acte,Oui,Nord-est,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Excellent état,,,3,,1,2,,,,,,,,,Connecté,Oui,Oui,148 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,Non,"Werchtersesteenweg 1
3150 - Haacht",,2,,192 m²,,,,,Oui,4520513,,,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Excellent état,,,3,Oui,2,,Non,Non,125 m²,Non,Non,Non,Non,,,Non,,Non communiqué,Non communiqué,2429018,Non communiqué,Non communiqué,Gaz,Oui,,,,,Zone non inondable,,383.000 €,Non,,,2,,,,,,,,,,,,,,,Oui,451 €,,,,,,,Immédiatement,,,,,,,,Non,,51 m²,Toutes sortes,,,,,,,Non,Non,Non,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
59,Bon,,Équipée,3,,1,2,Non,Non,450 m²,Non,Non,Non,Non,9 m,Connecté,Oui,,369 kWh/m²,D,20210923-0002467977-RES-1,Non communiqué,Non communiqué,Mazout,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",355.000 €,Non,,1953,3,1,132 m²,21 m²,Non,Non,,Oui,,14 m²,15 m²,14 m²,4 m²,,,,1.403 €,,,,,,6 m²,À définir,,Sud,6 m,44 m²,,,"Oui, conforme",Non,Oui,370 m²,,5,25 m²,Non,Non,,,Non,Non,Non,82 m²,Oui,Sud,1,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,,,1,,,,,,,,,,,,,
60,Bon,,,4,,1,,Oui,Non,320 m²,,,,,17 m,Non connecté,Oui,,262 kWh/m²,C,20170517-0001961908-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",450.000 €,Non,"Raghenoplein 15 B4
2800 - Mechelen",,3,,256 m²,,,,262,,,,,,,,,Oui,1.110 €,,,,,,,Après la signature de l’acte,,,11 m,,,,,Non,,,,,,,,,,Oui,Non,Non,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
61,,,Équipée,1,Non,1,1,Non,Non,180 m²,Oui,Non,Non,Non,5 m,Connecté,Oui,,156 kWh/m²,B,20211002-0002471713-RES-1,Non communiqué,Non communiqué,,Non,,,,Non,Zone non inondable,,224.000 €,Oui,,,1,,72 m²,14 m²,Non,,,Oui,,,,,,,,,388 €,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Oui,,Immédiatement,,Sud,5 m,,,,,Oui,,110 m²,,,,Non,Non,,,Non,Non,Non,180 m²,,Sud,,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,,,,,,,,,,
62,,,,3,Non,1,2,Non,Non,950 m²,Non,Non,Non,Non,,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,495.000 €,Non,,1952,4,,,,,,,,,,,,,,,Oui,1.172 €,,,,Oui,Oui,,,,,,,,,"Oui, conforme",Non,Oui,1 m²,Villa,,,,,Oui,,Non,Non,Non,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
63,Fraîchement rénové,135 m²,,16 m²,,2,Non,,160 m²,Non,,,,,,,80 m²,,B,Non communiqué,Non communiqué,Non communiqué,Oui,,Non,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,349.000 €,Non,"Keizerstraat 4
2800 - Malines",4515873,,2,,3,158 kWh/m²,,,,,,,10 m²,10 m²,1,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Immédiatement,,,,,,,,,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mechelen en Direkte omgeving,,,,,,,,,,,,
64,,,Semi-équipée,2,,1,1,Oui,Non,142 m²,,,,,,,,,490 kWh/m²,E,Certificaat-20210910-0002462607-RES-1.pdf,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,225.000 €,Non,"Korenmarkt 55
2800 - Mechelen",,,,142 m²,,,Non,,,35915 - MEC-21-GMA-0,17 m²,15 m²,14 m²,,,,Oui,,,,,,,,Après la signature de l’acte,Oui,Nord-est,,28 m²,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,À rénover,202 m²,5,17 m²,1,Non,,8 m²,,Non,Non,Non,Non,Non connecté,,Oui,640 kWh/m²,,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",549.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",IR 2767C,1968,,3,31 m²,,,,,Toutes sortes,,,17 m²,17 m²,17 m²,Non,,,,,,,,Équipée,49 m²,,,,8 m,Oui,,,,,,,Non,,3644 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,Équipée,3,Non,2,2,Non,,339 m²,Non,Non,Non,Non,11 m,Connecté,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",480.000 €,Non,"Tramlaan 249
1933 - Sterrebeek",2021,,1,185 m²,,Non,,,Oui,667,,,,,,,,,,,,,,,,,Sud-est,7 m,,,,,,,160 m²,,,,Non,Non,,,,,,,,,,Non,Oui,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,
67,À rafraîchir,,,,Non,,,Non,Non,1500 m²,Oui,Non,Non,Oui,25 m,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",549.000 €,Non,,1980,4,,1500 m²,1 m²,,,,Oui,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,150 m²,Immédiatement,,Sud,18 m,,,,,Non,,1 m²,Villa,8,,,,,,Non,Non,Non,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
68,,,Hyper équipée,5,,2,2,Oui,Non,909 m²,,,,,22 m,Connecté,Oui,Oui,361 kWh/m²,D,0002380462,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",749.000 €,Non,"Achiel Cleynhenslaan 19
3140 - Keerbergen",1953,4,1,300 m²,,,,,Oui,4518055,19 m²,14 m²,13 m²,15 m²,15 m²,16 m²,Oui,,,,,,,,À définir,,,17 m,32 m²,18 m²,,,,,,,6,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,Oui,1,2,,Oui,Oui,,,D,,,,,,,,,20210125-0002364279-RES-1,Non communiqué,Non communiqué,Oui,Oui,,,,Zone non inondable,250.000 €,,1.760 €,,,Julie VAN DEN MEUTTER,,4,2,328 m²,Équipée,,,,,Non,,,,,,,,,"Rijmenamseweg, 81B
2820 - Bonheiden",,,,4,,,1982,,,,,,,,,1583 m²,,,,,,,379 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zat. van 10u-12u, vanaf zat. 28/8 tem zat. 18/9",Après la signature de l’acte,Non,,,,,,,,
70,,315 m²,,Non,2,3,Oui,1788 m²,,Non,Non,Non,Non,31 m,Non connecté,Non,421 kWh/m²,,E,UC2431633-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",539.000 €,1.943 €,"Gemeenteplein, 22
3140 - Keerbergen",3376C,1976,,1,1,,,,,Toutes sortes,,,,,,,,,Non,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
71,Excellent état,410 m²,,Non,2,Non,,1728 m²,,Non,Non,Non,Non,25 m,Connecté,Oui,Oui,Non,B,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",710.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",TK 2798 IR,,,2,Oui,,Non,,,Toutes sortes,,,,,,,,,,,,,Oui,4,,,Sud-ouest,Oui,,,,,,,,,Non,,,Non,197 kWh/m²,,,,,,,,,,Non,Non,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,
72,À rénover,,,4,,1,,Oui,Non,1441 m²,,,,,25 m,Connecté,Non,Oui,Non communiqué,Non communiqué,0002318197,Non communiqué,Non communiqué,Mazout,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",549.000 €,Oui,"Achiel Cleynhenslaan 19
3140 - Keerbergen",1979,4,,420 m²,,,,,Oui,4518050,,,,,,,Oui,3.874 €,,,,,,,Après la signature de l’acte,,,18 m,,,,,,,,,10,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,À rafraîchir,,Équipée,2,Non,1,1,Non,Non,580 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Non,Non,Non,Non,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,Zone d'intérêt paysager,329.000 €,Non,"Mechelbaan 500
2580 - Putte",,4,3,110 m²,,,Non,,Oui,spir1682,,,,,,,,,,,,Oui,,,À la livraison,Oui,Sud,,,,,Non,Non,Oui,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,À rénover,,,4,Non,1,,Non,,30800 m²,Non,Non,Non,Non,215 m,Non connecté,Non,,977 kWh/m²,F,UC20211001-2471102-RES,Non communiqué,Non communiqué,,Non,Non,Non,Oui,,,Zone forestière,780.000 €,Non,"Gemeenteplein, 22
3140 - Keerbergen",1952,,1,280 m²,,,,,Oui,3379,,,,,,,,1.801 €,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,207 m²,,Non,Oui,,,1517 m²,,Non,Non,Non,Non,Connecté,,Non,486 kWh/m²,,E,Non communiqué,Non communiqué,Non communiqué,Non,,Toutes sortes,595.000 €,,,,,,Non,"Gemeenteplein, 22
3140 - Keerbergen",2704,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,3,,1,,1518 m²,,,,275 kWh/m²,,,,,,,,C,20210531-0002422795-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,,,,,,1.166 €,,,Liselotte VANDENMEERSCHE,,,1,Oui,,,,,,310.000 €,,,,,,,,,"Hovestraat 37
2650 - Edegem",,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Non,"nl :
Woensdag van 12u30-14u30 en zaterdag van 12u-14u vanaf 15 september 2021.",Après la signature de l’acte,Non,,,,,,,,
77,,,,5,Non,,,Oui,,29309 m²,Non,Non,Non,Non,144 m,Connecté,Oui,,102 kWh/m²,B,1335875-RES,Non communiqué,Non communiqué,,Oui,Non,Non,Oui,,Zone non inondable,Zone agricole,885.000 €,Non,"Gemeenteplein, 22
3140 - Keerbergen",2014,,2,328 m²,,,,,Oui,3374,,,,,,,,2.296 €,,,,,,,,Oui,Nord,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Excellent état,4,,Non,2,Non,,Non,,,Non,Non,Non,Connecté,,Non,184 kWh/m²,,B,UC2419228-RES,Non communiqué,Non communiqué,Non,,795.000 €,,,,,,,Non,"Gemeenteplein, 22
3140 - Keerbergen",3375,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Bon,219 m²,,1,,Oui,,,758 m²,Oui,,,,,,,Oui,444 kWh/m²,E,20211004-0002472417-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",499.000 €,1.313 €,"Mechelbaan 509
2580 - Putte",4579 - 55,1988,4,2,3,,,Électrique,,Oui,,,,,,,,Non,Non,,,,,,,Après la signature de l’acte,Nord-ouest,Oui,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Bon,,Équipée,3,,1,2,,Non,1720 m²,,,,,,,,Oui,363 kWh/m²,D,20210728-0002445696-Res-2,Non communiqué,Non communiqué,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",665.000 €,Non,"Korenmarkt 55
2800 - Mechelen",1960,4,1,255 m²,,,Non,,Oui,35931 - MEC-21-GMA-0,,,,,,,Oui,1.555 €,,,,,,,Après la signature de l’acte,Oui,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
81,Excellent état,,Hyper équipée,3,Non,1,2,Non,Non,1543 m²,,,,,,,,,288 kWh/m²,C,20210908-0002461087-RES-2,Non communiqué,Non communiqué,Mazout,Oui,Non,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",645.000 €,Non,"Zoetewei 14
2861 - OLV Waver",1995,4,,198 m²,,Non,,,,,,,,,,,,1.587 €,,292,"Zone d'habitat (résidentiel, urbain ou rural)",,,,À définir,,,,,,,Non,Non,Oui,,,5,,Non,Oui,,,,,,,,,,Non,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,
