,État du bâtiment,Visite virtuelle,Type de cuisine,Chambres,Dressing,Salles de bains,Toilettes,Bureau,Meublé,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Année de construction,Nombre de façades,Parkings intérieurs,Surface habitable,Surface de la terrasse,Ascenseur,Attestation as-built,Niveau E (performance énergétique globale),Permis de bâtir obtenu,Site internet,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Cave,Revenu cadastral,Revenu mensuel actuel,Référence externe,Type d’environnement,Salon,Salle à manger,Surface de la cave,À partir de,Jardin,Orientation du jardin,Largeur de la façade à rue,Surface du salon,Surface de bureau,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Pompe à chaleur,Buanderie,Surface du jardin,Type de construction,Parkings extérieurs,Surface du grenier,Accessible aux personnes avec un handicap,Piscine,Grenier,Nom du bien,Espace professionnel,Panneaux photovoltaïques,Porte blindée,Surface constructible totale au sol,Isolé,Orientation de la terrasse,Nombre d'annexes,Concierge,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Panneaux solaires,Chauffe-eau commun,Charges mensuelles,Salles de douche,Disponible le,Combien de feux ouverts ?,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Description libre du PEB
14,Excellent état,132 m²,,Non,1,1,Oui,144 m²,,Non,Non,Non,Non,Non connecté,,Oui,Oui,,C,Non communiqué,Non communiqué,Non communiqué,Oui,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",363.000 €,502 €,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2695 SS,1938,,,Oui,,,,,Non,,,,,,,,,Non,,,,2,,,,Sud,248 kWh/m²,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,À rénover,,Pas équipée,2,,,1,,Non,274 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",270.000 €,Non,"Houtestraat 62
2800 - Mechelen",1956,2,1,110 m²,,,Non,,Oui,1042 - 10060821,12 m²,,,,,,,404 €,,,,,,,,,,,15 m²,,,,,,231 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,À rénover,2,,Non,Non,,,Non,,,Non,Non,Non,Non connecté,,Non,399 kWh/m²,,D,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,401 €,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2562 GG,,,,,,,,,Non,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,3,Non,,,Non,Non,3152 m²,Non,Non,Non,Non,,Non connecté,Non,,741 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.295.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",,,,,,,,,,20331/01TK,,,,,,,,882 €,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Excellent état,,Hyper équipée,3,Non,,1,,Non,305 m²,,,,,,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,Non,Non,Zone inondable potentielle,,403.100 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,,,,,Non,,,,,,,,,,,,,,,,,,À définir,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,4,,,,,,1200 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,890.000 €,,"Mechelsesteenweg 200
2860 - Sint Katelijne Waver",,3,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,2,,1,,,,115 m²,,,,,,,,Oui,399 kWh/m²,D,20200528-0002274392-RES-1,Non communiqué,Non communiqué,,,,,Oui,,,,378.000 €,Non,"Schuttervest 2
2800 - Mechelen",,2,,133 m²,,,,,,,,,,,,,,,,4346897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Excellent état,,,32,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,4.350.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,2,,,,,,,,,,,,,,,,,,4501471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,,Non,Non,Non,Zone non inondable,,,Non,"Olivetenvest 1
2800 - Mechelen",,,,,,,,,Oui,4417606,,,,,,,,,,,,,,,À la livraison,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,,Oui,Non,Non,Zone non inondable,,,Non,"Olivetenvest 1
2800 - Mechelen",,,,,,,,,Oui,4417535,,,,,,,,,,,,,,,À la livraison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
