,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Surface habitable,Salon,Chambres,Salles de bains,Salles de douche,Toilettes,Bureau,Cave,Meublé,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Parkings intérieurs,Type de zone inondable,Combien de feux ouverts ?,Type de cuisine,Buanderie,Grenier,Surface du terrain,Surface du jardin,Surface de la terrasse,Orientation de la terrasse,Nom de l'agent,Quartier ou lieu-dit,Type d’environnement,Attestation as-built,Référence externe,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Revenu cadastral,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Type de construction,Surface du salon,Salle à manger,Terrasse,Parkings extérieurs,Surface de bureau,Orientation du jardin,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Parlophone,Raccordement à l'égout,Obligation de construire,Visite virtuelle,Surface de la cuisine,Surface de la cave,Surface du grenier,Surface constructible totale au sol,Surface de l'espace professionnel,Largeur du terrain à rue,Accès sécurisé / alarme,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Interphone vidéo,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Niveau E (performance énergétique globale),Chauffe-eau commun,Revenu mensuel actuel,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Isolé,Description libre du PEB,Attestation de conformité des citernes à mazout,Pourcentage loué,Charges mensuelles
0,1854,Bon,5 m,2,522 m²,Oui,3,2,1,3,Oui,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.500.000 €,Oui,"Rue Zeyp 17
1083 - Ganshoren",4401286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,15 kWh/m²,A,A,15 kg CO₂/m²,Non communiqué,,,,,Non,"Brussels - Uccle - Waterloo
1410 - Waterloo",4017303,À la livraison,30 mai 2022 - 00:00,80,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1854,Bon,5 m,2,522 m²,Oui,3,2,1,3,Oui,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.500.000 €,Oui,"Rue Zeyp 17
1083 - Ganshoren",4400812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Excellent état,,2,400 m²,,7,3,1,5,,Oui,Oui,274 kWh/m²,E,Non communiqué,59 kg CO₂/m²,Non communiqué,Gaz,Oui,,1.295.000 €,Oui,"Square Marie Louise 4/27
1000 - Bruxelles",,Après la signature de l’acte,,1,,3,Hyper équipée,Oui,Oui,200 m²,60 m²,20 m²,Sud,Immodanou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,2,635 m²,,9,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,1.250.000 €,Oui,"Rue Neufchatel 36
1060 - Saint-Gilles",,Après la signature de l’acte,,,,,,,,136 m²,,,,,Madou/Rue royale,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,420 m²,,,,,,,Oui,Non,53612 kWh/m²,G,201308300000183730011,109 kg CO₂/m²,Non communiqué,,,,1.350.000 €,Oui,"Av. A.M. Coningham 6
1000 - Bruxelles ville",,,,,,,Pas équipée,,,,,,,,EUROPEEN,,Non,2933 - 727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Bon,,2,,,30,30,30,30,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,3.100.000 €,Oui,"rue de Flandre 197
1000 - Bruxelles ville",4498949,,,,,,Américaine semi-équipée,,,110 m²,,,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,2,385 m²,Oui,7,1,2,4,,Oui,Non,440 kWh/m²,G,20210825-0000594552-014,87 kg CO₂/m²,Non communiqué,,Non,,565.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9856,,,,,,Équipée,,,,,,,,,,Non,,,,,Non,Non,Non,1.675 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,2,2271 m²,,,,,,Non,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,1.750.000 €,Oui,,,Après la signature de l’acte,,,,,,,,524 m²,,1 m²,Nord-ouest,,Centre Bruxelles,,,,,,,,,,2.224 €,Non,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,2,221 m²,,5,,4,3,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,545.000 €,Non,"Bd Félix Paulsen 24-26
1070 - Anderlecht",552,,,,,,Équipée,Oui,,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,33 m²,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,2,250 m²,Oui,,,,2,Oui,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,885.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",8996-1,,,1,,,Semi-équipée,,,,39 m²,14 m²,,,,,Non,,,,,Non,Non,Non,4.310 €,,,,,,,,,,,,,1,24 m²,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Bon,,2,250 m²,Oui,6,,2,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,699.000 €,,"Square Marie Louise 4/27
1000 - Bruxelles",,Après la signature de l’acte,,,,,Équipée,,,100 m²,20 m²,,,Immodanou,,,,,,,,,,,,,,,,,,,,,,,,,,,15 m²,15 m²,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,830 m²,,8,,,,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",775.000 €,Oui,"Square Ambiorix, 32/11B
1000 - Bruxelles",1698216 - 345345900,Immédiatement,,,,,Pas équipée,,,1000 m²,,,,,,,Non,,,,,,,,2.398 €,,,,,,,,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,4,330 m²,Oui,,,,,,Oui,Non,628 kWh/m²,G,20210223-0000583236-01-5,126 kg CO₂/m²,Non communiqué,,Oui,,449.000 €,Oui,"Av. Henri Conscience 74
1140 - Evere",1140-278-1,,,,,,Pas équipée,Oui,,,,,,,,,Non,,,,,Non,Non,Non,1.775 €,,,,,,,,,,,,,,,,21 m²,21 m²,21 m²,,20 m²,10 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,2,250 m²,,5,3,,3,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,500.000 €,Oui,"Rue Jean Baptiste Vandendriesch 12
1082 - Berchem-Ste-Agathe",V551-1,,,,,,Équipée,,,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,4,,,,Non,,,248 kWh/m²,E,20190124-0000542666-01-7,Non communiqué,Non communiqué,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",850.000 €,Non,"Louisalaan 327
1050 - Brussel",Cigogne,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,Non connecté,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1927,,,2,1000 m²,,8,6,,,Oui,,Non,Non communiqué,Non communiqué,201211270000129666011,69 kg CO₂/m²,Non communiqué,Gaz,,,4.950.000 €,Non,"Sint-Jansbergdreef 2
3090 - Overijse",16055 - 20356,Immédiatement,,3,Zone non inondable,,Équipée,,,520 m²,300 m²,150 m²,,,,,Non,,,,,,,,,,,,,,,,,,350 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,2,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,3.600.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,600 m²,,,,,,,,4534514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Fraîchement rénové,,2,600 m²,,6,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,5.585.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,600 m²,,,,,,,,3788449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,2,,,7,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,1.750.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,600 m²,,,,,,,,3942798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,4,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,4.200.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,4000 m²,,,,,,,,3604358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1961,À rafraîchir,7.5 m,2,31 m²,,10 m²,2,2,5 m²,,,,E,Non communiqué,52 kg CO₂/m²,Non communiqué,Gaz,94 m²,,,3.569 €,"Av.de la Brise 46
1020 - Bruxelles",4506359,,Après la signature de l’acte,1 mars 2022 - 00:00,1,,,10 m²,,,157 m²,5 m²,Non,,,Bruxelles (19 communes),"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Non,263 kWh/m²,,,,Non,,,,,,,,,,Oui,Équipée,,2,,,12 m²,18 m²,21 m²,,2,,,,,233 m²,4,56 m²,296 m²,595.000 €,,,,,,,,,,,,,,,,,,,,,,,,,
22,1965,À rafraîchir,15 m,3,Semi-équipée,,7,9,,100 m²,,,602 m²,D,Non communiqué,40 kg CO₂/m²,Non communiqué,Gaz,Oui,999.000 €,,6.685 €,"Av.de la Brise 46
1020 - Bruxelles",4270883,,Selon le locataire,,,,,10,,,Connecté,60 m²,204 kWh/m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,Oui,,,,,,,,200 m²,,,,,,,,,,,,,,,Oui,,700 m²,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
23,1991,Bon,5.95 m,2,30 m²,,13 m²,1,3,6 m²,5 m²,,131 m²,G,Non communiqué,100 kg CO₂/m²,Non communiqué,Électrique,Oui,450.000 €,,2.000 €,"Av.de la Brise 46
1020 - Bruxelles",4381920,,Après la signature de l’acte,,1,,,7 m²,,,45 m²,2 m²,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Oui,421 kWh/m²,,,,Non,,,,,,,,,,Équipée,,,1,Oui,,9 m²,18 m²,2,,,,Non,,,150 m²,3,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1956,À rafraîchir,6.6 m,2,38 m²,,16 m²,1,3,7 m²,12 m²,,259 m²,E,Non communiqué,45 kg CO₂/m²,Non communiqué,Gaz,Oui,475.000 €,,2.907 €,"Av.de la Brise 46
1020 - Bruxelles",4370386,,Après la signature de l’acte,15 octobre 2021 - 00:00,1,,,9 m²,,,Connecté,10 m²,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Oui,229 kWh/m²,,,,Non,,,,,,,,,,Semi-équipée,,,1,Oui,,17 m²,16 m²,8 m²,,2,,Non,150 m²,,175 m²,4,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1935,À rénover,7 m,2,36 m²,,17 m²,1,3,17 m²,,Oui,386 m²,F,202104080000586298019,62 kg CO₂/m²,Non communiqué,Gaz,Oui,539.000 €,,2.521 €,"Avenue de L'amarante 39
1020 - Bruxelles",4401702,,À définir,,1,,,9 m²,,Oui,7 m,30 m²,316 kWh/m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,Non,,,,,,,,346 m²,,Oui,Équipée,,1,,,17 m²,17 m²,17 m²,,17 m²,2,,Oui,,390 m²,6,,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,,,
26,1960,Bon,7 m,3,36 m²,,15 m²,1,3,7 m²,,,,G,Non communiqué,102 kg CO₂/m²,Non communiqué,Gaz,Oui,85 m²,599.000 €,2.297 €,"Place Communale 8
1160 - Auderghem",4521137,,Après la signature de l’acte,,,,,12 m²,,,12.75 m,20 m²,Non,,,Bruxelles,Urbain,,,Non,Oui,510 kWh/m²,,,,Non,,,,,,,,354 m²,,Oui,Équipée,,,,,12 m²,13 m²,18 m²,,2,,,Oui,,163 m²,4,439 m²,,Non,,Connecté,Non,Non,Non,Parc résidentiel,,,,,,,,,,,,,,,,,,,
27,1937,À rénover,8 m,2,45 m²,,17 m²,2,2,7 m²,109 m²,,780 m²,G,20210614-0000590708-01-4,130 kg CO₂/m²,Non communiqué,Mazout,690.000 €,,,2.668 €,"Av.de la Brise 46
1020 - Bruxelles",4380198,,À définir,1 décembre 2021 - 00:00,1,,,16 m²,,,650 m²,20 m²,502 kWh/m²,,,Bruxelles (19 communes),"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,Non,,,,,,,,,,Semi-équipée,,,2,Oui,,26 m²,15 m²,17 m²,,17 m²,2,,,,283 m²,5,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1921,À rénover,,2,12 m²,,17 m²,1,2,Non,,,86 m²,G,20210809,86 kg CO₂/m²,Non communiqué,Gaz,295.000 €,,,736 €,"Avenue de L'amarante 39
1020 - Bruxelles",4444186,,Après la signature de l’acte,,,,,7 m²,,,32 m²,437 kWh/m²,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,Non,,,,,,,,,,Oui,Pas équipée,,,,,12 m²,12 m²,12 m²,,1,,,,,150 m²,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1911,À rafraîchir,,2,28 m²,,18 m²,3,3,84 m²,,,,G,Non communiqué,71 kg CO₂/m²,Non communiqué,Gaz,Oui,649.000 €,,1.931 €,"Av.de la Brise 46
1020 - Bruxelles",4426030,,Selon le locataire,,,,,13 m²,,,70 m²,5 m²,358 kWh/m²,,,Bruxelles (19 communes),Urbain,,,,,,,,,Oui,,,,,,,,,,Oui,Hyper équipée,,,,,20 m²,20 m²,9 m²,,3,,,,,351 m²,4,170 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2010,Excellent état,11 m,2,460 m²,,5,3,,2,Oui,,Non,143 kWh/m²,C,20170629-00000507532-01-6,28 kg CO₂/m²,Non communiqué,Gaz,Oui,Zone d'habitat mixte (habitat & activité économique),510.000 €,Oui,"Rue des Sablons 11 b02
1000 - Bruxelles",,Après la signature de l’acte,,1,Zone non inondable,,Américaine hyper-équipée,,,175 m²,,,,,,,,4457471,Non,Non,Non,,,Oui,654 €,,,,,,,,Oui,,97 m²,Oui,,,55 m²,,31 m²,18 m²,41 m²,Oui,27 m²,28 m²,Oui,Connecté,,,33 m²,156 m²,,460 m²,200 m²,11 m,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,
31,1906,Bon,,2,Oui,Équipée,15 m²,2,,Non,,,89 m²,G,20210316­0000584769­01­6,79 kg CO₂/m²,Non communiqué,Gaz,385.000 €,,,Non,"Avenue de L'amarante 39
1020 - Bruxelles",4314660,,Après la signature de l’acte,,,,,5,,,22 m²,,397 kWh/m²,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,15 m²,15 m²,11 m²,,11 m²,1,,,,180 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,Immédiatement,30 décembre 2020 - 00:00,113,,,,,,,,,,,Bruxelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,33 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1957,Excellent état,7 m,3,40 m²,,14 m²,2,,9 m²,30 m²,,494 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,70 m²,,3.037 €,"Av.de la Brise 46
1020 - Bruxelles",4373883,,Après la signature de l’acte,,1,,,10 m²,,,Connecté,30 m²,Non communiqué,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,Non,,,,,,,,,,Équipée,,,,Oui,,13 m²,13 m²,8 m²,,11 m²,1,,275 m²,,225 m²,7,Non,,649.000 €,,,,,,,,,,,,,,,,,,,,,,,,,
34,1949,À rénover,7 m,2,30 m²,,16 m²,2,,9 m²,Oui,Non,165 m²,G,2021052000005891178012,77 kg CO₂/m²,Non communiqué,390.000 €,,,,Non,"Avenue de L'amarante 39
1020 - Bruxelles",4369547,,Après la signature de l’acte,1 décembre 2021 - 00:00,1,,,6 m²,,,7 m,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Non,391 kWh/m²,,,,,,,,,,,,,,Oui,Semi-équipée,Non,1,Oui,,14 m²,10 m²,1,,,,,,,180 m²,3,,,,,35 m²,,,,,,,,,,,,,,,,,,,,,,,
35,1946,Bon,10 m,4,470 m²,,4,3,1,4,,Oui,Non,345 kWh/m²,F,Non communiqué,74 kg CO₂/m²,Non communiqué,Gaz,Oui,,1.295.000 €,Non,"Avenur Limburg Stirum , 194
1780 - Wemmel",204275 - 111113844,Après la signature de l’acte,,1,,1,Hyper équipée,,,1642 m²,1000 m²,,,,,,Non,,,,,,,,5.067 €,,,,,,,,,,40 m²,,Oui,,,,,,,,,,,,,,,,,,,20 m,Oui,,,,Oui,,,,,,,,,,,,,,,,,,
36,2012,Bon,5.9 m,2,Équipée,,2,Oui,,,Non,,Oui,Non communiqué,Non communiqué,39 kg CO₂/m²,Non communiqué,Gaz,Oui,62 m²,599.000 €,2.839 €,"Place Communale 8
1160 - Auderghem",4515757,,Après la signature de l’acte,,1,,,4,,,6.5 m,20 m²,Non,,,Bruxelles,Isolé,,,Oui,Oui,Non communiqué,,,,Non,,,Non,,,,,198 m²,,,,,,,,,,,,,,Oui,Non,,258 m²,,,,Non,,Connecté,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,
37,,À restaurer,,2,160 m²,,5,,,1,,Oui,Non,596 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Mazout,,,410.000 €,Non,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4243 - 2145,Après la signature de l’acte,,,,,Semi-équipée,,,125 m²,45 m²,,,,,,Non,,,,,,,,939 €,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,5.7 m,,,,,,,,,,,,,,,,,,,,,,,
38,,Bon,,2,21 m²,,13 m²,2,,Oui,50 m²,,107 m²,G,20210331­0000585767­01­8,104 kg CO₂/m²,Non communiqué,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,1.465 €,"Avenue de Tervueren 446
1150 - Bruxelles",4490103,,Après la signature de l’acte,,1,,,10 m²,,,Oui,,Non,,,Bruxelles Nord et Ouest,Isolé,,,Oui,,521 kWh/m²,,,,Oui,,,,,,,,25 m²,,Oui,Hyper équipée,,1,,,13 m²,13 m²,21 m²,,18 m²,2,Non,,,265 m²,6,11 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Bon,7 m,2,160 m²,,3,2,,3,Oui,Oui,Non,261 kWh/m²,E,Non communiqué,52 kg CO₂/m²,Non communiqué,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,Non,,,Après la signature de l’acte,,1,Bien immobilier situé tout ou en partie dans une zone riveraine délimitée,1,Hyper équipée,Oui,Oui,210 m²,90 m²,20 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,Non,Non,Non,Non,,Non,Oui,Non,Non,Non,Non,Oui,Oui,,19 m²,Oui,,1,,,19 m²,12 m²,20 m²,,,,Non,Connecté,,,11 m²,,,,,,Non,,,,Non,Non,Non,Non,Non,Oui,261,Oui,,,,,,,,,,,
40,1935,À rafraîchir,6 m,2,185 m²,,5,1,1,3,,Oui,Non,357 kWh/m²,G,591863,Non communiqué,Non communiqué,Gaz,Oui,,420.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782469 - 2021/243A/,,,,,,Semi-équipée,,,89 m²,,,,,,,Non,,,,,,,,1.209 €,,,,,,,,Oui,,33 m²,,Oui,,,,,,,,,,,,,,,,,,,6 m,,,,,,,,,,,,,,,,,,,,,,,
41,1906,À rafraîchir,8 m,2,60 m²,,2,,2,7 m²,Oui,Non,202 m²,G,20210614-00000590716-017,80 kg CO₂/m²,Non communiqué,Non,Oui,Zone non inondable,,1.712 €,"Avenur Limburg Stirum , 194
1780 - Wemmel",218536 - 111114692,,,,,449.000 €,,25 m²,,,Oui,Nord,413 kWh/m²,,,,,Gaz,,,,,,,,Non,,,,,,,,80 m²,,Oui,Équipée,,,Oui,20 m²,,,,,,,,,,230 m²,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1907,À rénover,11 m,2,630 m²,,8,2,1,3,Oui,Oui,Non,531 kWh/m²,G,20210804­0000593601­01­5,Non communiqué,Non communiqué,,,,950.000 €,Non,"Avenue Louise 433
1050 - Bruxelles",4442687,Après la signature de l’acte,1 septembre 2021 - 00:00,,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,,,,Oui,250 m²,,16 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190 m²,,11 m,,,,,,,,,,,,,,,,,,,,,,,
43,1903,Excellent état,8 m,2,57 m²,,18 m²,1,1,26 m²,148 m²,,,G,Non communiqué,108 kg CO₂/m²,Non communiqué,Gaz,Oui,990.000 €,,3.257 €,"Av.de la Brise 46
1020 - Bruxelles",3731316,,Après la signature de l’acte,,,,,16 m²,,,155 m²,25 m²,Non,,,,,,,Oui,Non,464 kWh/m²,,,,Non,,,,,,,,,,Oui,Hyper équipée,,,Oui,,18 m²,18 m²,19 m²,,29 m²,2,,,,494 m²,5,315 m²,,,63 m²,,,,,,,,,,,,,,,,,,,,,,,,
44,1933,Bon,7 m,2,272 m²,,5,2,,3,,,,636 kWh/m²,G,Non communiqué,137 kg CO₂/m²,Non communiqué,Gaz,Oui,,495.000 €,Non,"Chaussée de Bruxelles 165
1190 - Forest",,Selon le locataire,,1,,,Hyper équipée,Oui,,160 m²,57 m²,,,Immobilière Georges,,,,,,,,,,,,,,,,,,,Oui,,17 m²,Oui,,1,,Sud-est,25 m²,18 m²,17 m²,,16 m²,8 m²,Oui,,,,13 m²,32 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Bon,,3,306 m²,,7,3,,3,Oui,Oui,Non,485 kWh/m²,G,20210318-0000584986-01-2,127 kg CO₂/m²,Non communiqué,Mazout,,,Faire offre à partir de 450.000 €,Non,"Rue Basse 21-23 Bte15 b1
1180 - Uccle",4400229,Après la signature de l’acte,,,,,Équipée,,,,,,,,Bruxelles (19 communes),Urbain,,,,,,,,,,,,,,,,,,,39 m²,,,,5 m²,,18 m²,18 m²,18 m²,,18 m²,19 m²,,,,,16 m²,,,306 m²,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Bon,,2,352 m²,,4,7,,7,,,Non,364 kWh/m²,G,20140312-0000217312-01-2,Non communiqué,Non communiqué,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",849.000 €,Oui,"James Ensorlaan 39
1800 - Vilvoorde",1979684 - 1286,,,,,,Semi-équipée,,,149 m²,,30 m²,,,,,Non,,,,,,,,2.500 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4 m,,,Non,,,,,,,,,,3550,,,,,,,,,,
47,1910,,7 m,,517 m²,,,9,,9,,Oui,Non,284 kWh/m²,F,20210317-0000584864-01-3,Non communiqué,Non communiqué,,Oui,,1.375.000 €,Oui,"Rue de Stalle 288C
1180 - Uccle",14662 - 4138407,,,,,,,,,,,29 m²,,,,,Non,,,,,,,,2.372 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,,
48,1910,,,2,120 m²,Oui,4,1,,1,,Oui,Non,564 kWh/m²,G,20210520-TEST,113 kg CO₂/m²,Non communiqué,Gaz,Oui,,229.000 €,Non,"Avenue de Busleyden 21
1020 - Laeken",Vincent JACOB,,,,,,Semi-équipée,,,,,6 m²,Ouest,JUST - V21/123,,,Non,,,,,Non,Non,Non,614 €,,,,,,,,,,,,,,,,17 m²,12 m²,11 m²,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,À rafraîchir,5.2 m,2,115 m²,,5,1,2,2,,Oui,,351 kWh/m²,G,2020006000057609013,Non communiqué,Non communiqué,,Oui,,360.000 €,Non,"Av.de L'Indépendance Belge, 13
1081 - KOEKELBERG",4516691,Après la signature de l’acte,,,,,Équipée,,,198 m²,35 m²,10 m²,,,,,,,Non,,Non,,,,,,,,,,,,,,20 m²,,,,,,10 m²,10 m²,10 m²,,17 m²,14 m²,Oui,,,,12 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
50,,Bon,,2,,,4,2,,,Non,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,500.000 €,Non,,,Après la signature de l’acte,,,,,Équipée,,,150 m²,25 m²,35 m²,,,,Rue commerçante,,,,,,Non,Non,Non,1.581 €,Non,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,,,,18 m²,11 m²,11 m²,,7 m²,,,,,,11 m²,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,
