,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Surface habitable,Salon,Chambres,Salles de bains,Salles de douche,Toilettes,Bureau,Cave,Meublé,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Parkings intérieurs,Type de zone inondable,Combien de feux ouverts ?,Type de cuisine,Buanderie,Grenier,Surface du terrain,Surface du jardin,Surface de la terrasse,Orientation de la terrasse,Nom de l'agent,Quartier ou lieu-dit,Type d’environnement,Attestation as-built,Référence externe,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Revenu cadastral,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Type de construction,Surface du salon,Salle à manger,Terrasse,Parkings extérieurs,Surface de bureau,Orientation du jardin,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Parlophone,Raccordement à l'égout,Obligation de construire,Visite virtuelle,Surface de la cuisine,Surface de la cave,Surface du grenier,Surface constructible totale au sol,Surface de l'espace professionnel,Largeur du terrain à rue,Accès sécurisé / alarme,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Interphone vidéo,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Niveau E (performance énergétique globale),Chauffe-eau commun,Revenu mensuel actuel,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Isolé,Description libre du PEB,Attestation de conformité des citernes à mazout,Pourcentage loué,Charges mensuelles
129,1940,Bon,5 m,2,220 m²,,3,2,1,,Non,Oui,,210 kWh/m²,D,Non communiqué,45 kg CO₂/m²,Non communiqué,Gaz,Oui,,790.000 €,Oui,"avenue Winston Churchill 187
1180 - Uccle",145658,,,,,,Américaine équipée,Oui,,80 m²,25 m²,,,,,,"Oui, conforme",,Non,,,,,,2.029 €,,,,,,,,Oui,,34 m²,,Oui,,,,,,,,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,
130,1930,Excellent état,,2,321 m²,,4,2,1,5,Oui,Oui,Non,264 kWh/m²,E,Non communiqué,56 kg CO₂/m²,Non communiqué,Gaz,Oui,,1.295.000 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4431754,Selon le locataire,,,,,Hyper équipée,,Oui,180 m²,,51 m²,,,,,,,Non,Non,Non,,,,2.975 €,,,,,,,,Oui,,55 m²,,,,,,16 m²,18 m²,16 m²,,,,Oui,Connecté,,,10 m²,,,420 m²,,650 m,Oui,,,,,,,,,,,,,,,,,,,,,,
131,1924,Bon,,3,500 m²,,7,4,3,5,Oui,Oui,,308 kWh/m²,F,Non communiqué,60 kg CO₂/m²,Non communiqué,Gaz,,,1.625.000 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4508256,Après la signature de l’acte,,1,,,Hyper équipée,,,1180 m²,900 m²,50 m²,,,,,,,Non,Non,Non,,,Oui,3.574 €,,,,,,,,,,50 m²,,,,,,35 m²,20 m²,17 m²,Oui,17 m²,10 m²,Oui,,,,,,,600 m²,,11 m,,,,,,,,,,,,,,,,,,,,,,,
132,1918,Bon,,2,256 m²,,5,,,,,,Non,195 kWh/m²,D,202106100000590548012,38 kg CO₂/m²,Non communiqué,Gaz,Oui,Autre type de zone,620.000 €,Non,"Rue Archimède 17
1000 - Bruxelles ville",,,,,Zone non inondable,,,,,64 m²,,,,,,,,,,,,Non,Non,Non,,,,Non,,,,,Oui,,,,,,,,,,,,,,,Non connecté,,,,,,,,,,Non,Non,Non,,,,,,,195,Non,,,,,,,,,,,
133,1918,Bon,,2,255 m²,,4,1,,,,,Non,423 kWh/m²,G,Non communiqué,82 kg CO₂/m²,Non communiqué,Gaz,Oui,Autre type de zone,825.000 €,Non,"Rue Archimède 17
1000 - Bruxelles ville",,,,,Zone non inondable,,,,,180 m²,,,,,,,,,,,,Non,Non,Non,,,,Non,,,,,Non,,,Oui,,,,,,,,,,,,Connecté,,,,,,,,,,Non,Non,Non,,,,,,,423,Non,,,,,,,,,,,
134,1904,Excellent état,7.5 m,2,478 m²,,5,3,3,4,Oui,Oui,Non,265 kWh/m²,E,Non communiqué,57 kg CO₂/m²,Non communiqué,,,,1.249.000 €,Oui,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4456985,À définir,1 janvier 2022 - 00:00,,,,Hyper équipée,,Oui,196 m²,74 m²,70 m²,,,,,,,Non,Non,Non,,,,2.012 €,,,,,,,,Oui,,40 m²,Oui,,,16 m²,,24 m²,26 m²,26 m²,,30 m²,52 m²,Oui,Connecté,,,12 m²,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,
135,1904,Excellent état,7.5 m,2,478 m²,,5,3,3,4,Oui,Oui,Non,265 kWh/m²,E,Non communiqué,57 kg CO₂/m²,Non communiqué,,,,1.249.000 €,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4453217,À définir,1 janvier 2022 - 00:00,,,,Hyper équipée,,Oui,196 m²,74 m²,70 m²,,,,,,,Non,Non,Non,,,,2.012 €,,,,,,,,Oui,,40 m²,Oui,,,16 m²,,24 m²,26 m²,26 m²,,30 m²,52 m²,Oui,Connecté,,,12 m²,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,
136,,À rénover,5 m,2,29 m²,,21 m²,2,2,8 m²,Oui,Oui,Connecté,G,Non communiqué,110 kg CO₂/m²,Non communiqué,485.000 €,,,,Oui,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4526731,,Après la signature de l’acte,,,,,,,Non,,,658 kWh/m²,,,Bruxelles (19 communes),Urbain,,,,,,,,,,,,,,,,,13 m²,,Oui,7 m²,,,Oui,,14 m²,22 m²,15 m²,,10 m²,2,,Non,,195 m²,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,À rénover,5 m,2,29 m²,,21 m²,2,2,8 m²,Oui,Oui,Connecté,G,Non communiqué,110 kg CO₂/m²,Non communiqué,485.000 €,,,,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4526713,,Après la signature de l’acte,,,,,,,Non,,,658 kWh/m²,,,Bruxelles (19 communes),Urbain,,,,,,,,,,,,,,,,,13 m²,,Oui,7 m²,,,Oui,,22 m²,14 m²,15 m²,,10 m²,2,,Non,,195 m²,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,À rafraîchir,5 m,2,Oui,Oui,21 m²,3,3,Oui,,Oui,Connecté,E,Non communiqué,49 kg CO₂/m²,Non communiqué,480.000 €,,,,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4454515,,Après la signature de l’acte,,,,,16 m²,,Non,,Non,,,,Bruxelles (19 communes),Urbain,,,Non,Oui,246 kWh/m²,,,,,,,,,,,,150 m²,,,Équipée,,,,,12 m²,12 m²,13 m²,,13 m²,3,Non,Oui,,205 m²,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
