,À partir de,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface de la cave,Meublé,"Eau, gaz & électricité",Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Année de construction,Cave,Surface du jardin,Revenu cadastral,Surface du terrain,Terrasse,Procédure pour violation de la réglementation urbanistique,Revenu mensuel actuel,Permis de bâtir obtenu,Parkings intérieurs,Surface de la terrasse,Ascenseur,Interphone vidéo,Niveau E (performance énergétique globale),Salon,Salle à manger,Surface de la chambre 4,Dressing,Buanderie,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,Orientation du jardin,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Surface de la cuisine,Salles de douche,Référence externe,Nom du bien,Surface du grenier,Orientation de la terrasse,Concierge,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Surface constructible totale au sol,Pourcentage loué,Nom de l'agent,Grenier,Quartier ou lieu-dit,Isolé,Type de construction,Surface de la chambre 5,Surface de bureau,Surface de l'espace professionnel,Visite virtuelle,Obligation de construire,Parkings extérieurs,Combien de feux ouverts ?,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Jardin,Attestation de conformité des citernes à mazout,Disponible le
110,Après la signature de l’acte,À rafraîchir,,3,,170 m²,,,3,,,,1,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",410.000 €,Non,"Sint-Katelijnevest 24
2000 - Antwerpen",4491227,1963,,,,244 m²,Oui,Non,,Oui,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Randgemeenten,,,,,,,,1,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,Non,Zone non inondable,,,Non,"Lange Lozanastraat 270 bus 3
2000",,,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,P0022_H,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,Non,,,,,,,,,,
112,Après la signature de l’acte,,,2,Urbain,30 m²,Hyper équipée,2,11 m²,7 m²,1,,1,143 m²,,,Oui,,B,0002434839,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,,,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,361 €,"Nerviërslei 6
2900 - Schoten",4522259,,,,,Non,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,199 kWh/m²,,,,,,,,,,,,,,,,96 m²,,,,,,,,,,,
113,1965,,,,,1,,,198 m²,,,,312 kWh/m²,,,,,,20210901-0002458867-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,Zone non inondable,250.000 €,1.088 €,,,Filip VAN de STRAETE,,,157 m²,,,"Cruyslei, 88
2100 - DEURNE",D,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,Non,"nl :
op zondagen van 15u-17u en op woensdagen van 17u-19u vanaf zo. 17/10/2021 tem woe. 17/11/2021",Après la signature de l’acte,Non,,,
114,,Fraîchement rénové,,2,,140 m²,,Semi-équipée,4,,,,2,2,,Non,,,379 kWh/m²,D,20190905-0002192566-res-1,13 kg CO₂/m²,Non communiqué,Non,,Oui,,,,,298.000 €,Non,"Hagedoornlaan 1
2970 - Schilde",135 - 1394,,Oui,75 m²,618 €,166 m²,,,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1969,,,1,,Équipée,,2,Oui,,,,84 m²,,,,,,20210525-0002420164-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,,,,,1.244 €,,,Ann-Sophie ICKROTH,,,2,,,"Amerikalei, 163
2000 - ANTWERPEN",333 kWh/m²,D,,,,189 m²,,,,,5,,,,Oui,,,,,,,,,,,,,150.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,Non,"nl :
elke woe. van 16u-18u & elke zat van 10u-12u, vanaf 22/9 tem 23/10",Après la signature de l’acte,Non,,,
116,Après la signature de l’acte,Bon,,2,Urbain,120 m²,,,6,,,,3,,,Non,Oui,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",485.000 €,Oui,,,1964,,,,228 m²,,Non,,Oui,,,Non,Oui,,Oui,,,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,,,,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,Non,Non,Non,Oui,120 m²,100,,,,,Immeuble à appartements,,,,,Non,1,,,,,,,,,
117,1946,,,122 m²,,Oui,,,421 kWh/m²,,,,,,,,,,20210825-0002455327-RES-1,Non communiqué,Non communiqué,Oui,Oui,,,,,95.000 €,322 €,,,Jordy AUBRY,,,2,,,"Jules Moretuslei, 342
2610 - Wilrijk",E,,,,Zone non inondable,,,,,,3,76 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,Non,"nl :
dinsdag en zaterdag telkens van 11u-12u en dit met ingang vanaf dinsdag 12 oktober 2021",Après la signature de l’acte,Non,,,
118,1954,,,,,1,,,216 m²,,,,767 kWh/m²,,,,,,20170508-0001958886-1,Non communiqué,Non communiqué,Non,Non,,,,Zone non inondable,175.000 €,899 €,,,Filip VAN de STRAETE,,,111 m²,,,"Cruyslei, 88
2100 - DEURNE",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,Non,"nl :
op woe. 29/09 + 6/10 + 13/10 + 20/10 + 27/10 van 17u-19u / op zo. 26/09 + 3/10 + 17/10 + 24/10 en op zat. 9/10 van 15u-17u",Immédiatement,Non,,,
119,1931,,,,,2,,,144 m²,,,,604 kWh/m²,,,,,,20170802-000198229-1,Non communiqué,Non communiqué,Non,Oui,,,,Zone non inondable,239.000 €,1.034 €,,,Elissa SUREDA-CASTELLO,,,150 m²,,,"Van Breestraat, 33
2018 - ANTWERPEN",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,Non,"nl :
elke ma. en woe. van 17u-19u vanaf 6/09/2021",Après la signature de l’acte,Non,,,
120,,À rénover,,2,,300 m²,,Semi-équipée,3,,,,,5,,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,,,,,295.000 €,Non,"Hagedoornlaan 1
2970 - Schilde",288 - 1482,,,,,177 m²,,,,,,,,,,,,,,,,,,,,,,5.5 m,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1961,,,,,,,1,187 m²,,,,517 kWh/m²,,,,,,20140404-0001568226-00000006-9,Non communiqué,Non communiqué,Non,Non,,,,Zone non inondable,170.000 €,1.135 €,,,Sofie MARCELO,,,Oui,,,"Van Eycklei, 21
2018 - ANTWERPEN",F,,,,,,,,,,Équipée,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,Non,"nl :
di. 14-21-28/09 en 05/10 : 16u-18u en zat. 18-25/09 en 02-09/10 : 10u-12u",Après la signature de l’acte,Non,,,
122,2,,,1,,,,1,Oui,,,,204 kWh/m²,,,,,,20210531-0002422823-RES-1,Non communiqué,Non communiqué,Non,Non,,,,Zone non inondable,209.500 €,964 €,,,Koen DE RAEYMAECKER,,,,,,"Quinten Matsyslei, 28
2018 - ANTWERPEN",,C,,,,Oui,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Équipée,,,,,Non,"nl :
sleutel af te halen op het notariskantoor na tel. afspraak en mits het betalen v/e borgsom",Après la signature de l’acte,Non,,,
123,À la livraison,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,Oui,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Après la signature de l’acte,,,4,,314 m²,,,,,,,,,,Non,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,,,,,250.000 €,Oui,,,,,,,200 m²,,,,,,,,,,,,,Non,,Non,Non,Non,Oui,Non,Non,Non,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,
125,Selon le locataire,À rafraîchir,6 m,2,,213 m²,,Pas équipée,3,24 m²,13 m²,11 m²,2,3,,Non,Oui,,841 kWh/m²,F,20211005-0002472930,Non communiqué,Non communiqué,Non,Gaz,,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,Oui,"Bischoppenhoflaan 284
2100 - Deurne",38183 - DEU-21-LDD-0,1933,Oui,,2.570 €,99 m²,,Non,,Oui,,6 m²,,,,,,,,,,,,,,,,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,Fraîchement rénové,5 m,2,,120 m²,,Équipée,3,,,,1,2,,Non,Oui,,150 kWh/m²,B,2365712,Non communiqué,Non communiqué,Non,Gaz,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,Non,"Antwerpsestraat 292
2640 - Mortsel",10456 - 6061,1918,Oui,75 m²,771 €,152 m²,,Non,,Oui,,,,,,,,,,,,,,,,,,5 m,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,Bon,,2,Urbain,150 m²,,Semi-équipée,4,,,,1,2,,Non,,,339 kWh/m²,D,20210526-0002420596-RES-1,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",289.900 €,Non,"Turnhoutsebaan 98
2100 - Deurne",D2100-21019,1935,,12 m²,728 €,82 m²,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,Fraîchement rénové,,2,,39 m²,Équipée,23 m²,23 m²,19 m²,18 m²,16 m²,4,Oui,,195 m²,,,D,20210424-0002406045-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",779.000 €,1.080 €,"Turnhoutsebaan 121
2100 - Deurne",8275 - 18304,,1923,Non,27 m²,Non,7.15 m,,,,,,319 kWh/m²,,,,,,10 m²,,,,,,,,,,60 m²,,,,,,,5,,,,,,,,,,,,,,,,,,,,,2,,,307 m²,,,,,,,,,,,
129,À définir,Excellent état,,2,,239 m²,20 m²,Semi-équipée,4,31 m²,17 m²,17 m²,1,2,,Non,Oui,,192 kWh/m²,B,2016122700019218581,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",499.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",38343 - DEU-21-LDD-0,1927,Oui,36 m²,651 €,210 m²,,Oui,,Oui,1,,,,,,,8 m²,,,,,,,,,,7 m,,Est,,,,,24 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 avril 2022 - 00:00
