,À partir de,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface de la cave,Meublé,"Eau, gaz & électricité",Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Année de construction,Cave,Surface du jardin,Revenu cadastral,Surface du terrain,Terrasse,Procédure pour violation de la réglementation urbanistique,Revenu mensuel actuel,Permis de bâtir obtenu,Parkings intérieurs,Surface de la terrasse,Ascenseur,Interphone vidéo,Niveau E (performance énergétique globale),Salon,Salle à manger,Surface de la chambre 4,Dressing,Buanderie,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,Orientation du jardin,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Surface de la cuisine,Salles de douche,Référence externe,Nom du bien,Surface du grenier,Orientation de la terrasse,Concierge,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Surface constructible totale au sol,Pourcentage loué,Nom de l'agent,Grenier,Quartier ou lieu-dit,Isolé,Type de construction,Surface de la chambre 5,Surface de bureau,Surface de l'espace professionnel,Visite virtuelle,Obligation de construire,Parkings extérieurs,Combien de feux ouverts ?,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Jardin,Attestation de conformité des citernes à mazout,Disponible le
140,Selon le locataire,Bon,,2,,231 m²,,Semi-équipée,4,,,,1,2,,Non,,,414 kWh/m²,E,0002448331,Non communiqué,Non communiqué,Non,Gaz,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",39647 - DEU-21-NST-0,1954,,,1.271 €,174 m²,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Oui,,
141,Après la signature de l’acte,Excellent état,,2,,234 m²,20 m²,Semi-équipée,2,16 m²,16 m²,,1,1,,Non,Oui,,263 kWh/m²,C,202110060002473330RES1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",34187 - DEU-21-LDD-1,,,30 m²,612 €,110 m²,,Non,,Oui,,13 m²,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Après la signature de l’acte,Bon,,2,,150 m²,30 m²,Semi-équipée,3,13 m²,11 m²,8 m²,2,2,,Non,,,110 kWh/m²,B,20210621-0002431687,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Oui,Zone non inondable,,239.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",39237 - DEU-21-LDD-0,1930,Oui,45 m²,,98 m²,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,Est,,,,,5 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,Fraîchement rénové,,2,,179 m²,25 m²,Semi-équipée,5,,,,1,1,,Non,,,293 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,359.000 €,Non,"Gitschotellei 106
2600 - Berchem",,,,230 m²,639 €,316 m²,,,,,,,,,,,,,,,,,,,,,,4.5 m,,,,,,,,,1757 - 1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Après la signature de l’acte,À rafraîchir,5 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",304 m²,35 m²,Semi-équipée,1,26 m²,15 m²,,1,3,,Non,Oui,,470 kWh/m²,E,Certificaat-20210901-0002458695-RES-1.pdf,Non communiqué,Non communiqué,Non,Gaz,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",38549 - DEU-21-LDD-0,,Oui,55 m²,889 €,135 m²,,Non,,Oui,2,12 m²,,,,,Oui,,,,,,,,,,,5 m,,,,,,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Selon le locataire,À rafraîchir,,2,,123 m²,,,3,,,,1,,,Non,,,380 kWh/m²,D,202108190002448591RES3,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Oui,Zone non inondable,Zone d'extension d'habitat,227.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",35479 - DEU-21-LDD-0,1936,Oui,20 m²,612 €,95 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,Sud-est,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,Bon,5 m,,,35 m²,Équipée,15 m²,20 m²,18 m²,17 m²,14 m²,2,Oui,,280 m²,,,C,Certificaat-20210421-0002404665-RES-1.pdf,Non communiqué,Non communiqué,Non,Gaz,Oui,365.000 €,,,,,275 €,"Fruithoflaan, 1
2600 - Berchem",13687 - 372398,,,Non,,Non,297 kWh/m²,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,126 m²,,,,,,,,,,,
147,Après la signature de l’acte,Excellent état,5 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",190 m²,26 m²,Semi-équipée,4,18 m²,18 m²,13 m²,1,2,,Non,Oui,,259 kWh/m²,C,Certificaat-20210916-0002465040-RES-1.pdf,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",347.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",38540 - DEU-21-LDD-0,,Oui,38 m²,,110 m²,,Non,,Oui,,,,,,,,12 m²,,,,,,,,,,,,Sud,,,,,31 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Après la signature de l’acte,Excellent état,,2,,187 m²,28 m²,Semi-équipée,4,20 m²,20 m²,13 m²,2,2,,Non,,,443 kWh/m²,E,20120812-00011838470000001-9,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Oui,Zone non inondable,Zone d'extension d'habitat,267.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",35710 - DEU-21-LDD-0,1997,Oui,,,,,Non,,Oui,,,,,,,Oui,13 m²,,,,,,,,,,,,,,,,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,À définir,Excellent état,,2,,208 m²,40 m²,Équipée,2,24 m²,21 m²,,1,1,,Non,,,345 kWh/m²,D,20210129-0002366005-RES-1,Non communiqué,Non communiqué,Non,Gaz,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",35484 - DEU-21-LDD-0,,,,,160 m²,,Non,,Oui,3,,,,,,Oui,,,,,,,,,,,,,Sud-ouest,,,,,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,Oui,,1 mars 2022 - 00:00
150,Après la signature de l’acte,Fraîchement rénové,4 m,2,,94 m²,30 m²,Équipée,2,12 m²,9 m²,,1,2,17 m²,Non,Oui,Oui,199 kWh/m²,B,20210304-0002382036-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",259.000 €,Non,,,1919,,,498 €,60 m²,,Non,,Oui,,10 m²,Non,Non,,,Oui,,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,,Connecté,,Non,Non,Non,Non,8 m²,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,,,,,,Toutes sortes,,,,,,,,,,,,,,,
151,À définir,Excellent état,5 m,2,Urbain,111 m²,,Équipée,3,,,,1,2,,Non,Oui,Non,262 kWh/m²,C,2452613,Non communiqué,Non communiqué,,Gaz,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,Non,,,1925,Oui,80 m²,669 €,160 m²,,,,,,8 m²,Non,Non,,,,,Non,,Non,Non,Non,Oui,Non,Non,Oui,5 m,Connecté,Sud-ouest,Non,Non,Non,Non,,,,,,Sud-ouest,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
152,Après la signature de l’acte,À rénover,,2,,113 m²,,,2,13 m²,13 m²,,1,1,,Non,,,519 kWh/m²,F,20210817-0002452406-RES-1,Non communiqué,Non communiqué,Non,Mazout,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",230.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",36565 - DEU-21-NST-0,,,,,128 m²,,Non,,Oui,,,,,,,,,,,,,,,,,,,,Sud-ouest,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,
