,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Grenier,Meublé,Surface du terrain,Terrasse,Ascenseur,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Visite virtuelle,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Toilettes,Attestation as-built,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Quartier ou lieu-dit,Largeur de la façade à rue,"Eau, gaz & électricité",Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salon,Mise à prix,Revenu cadastral,Raccordement à l'égout,Combien de feux ouverts ?,Surface de bureau,Bureau,Largeur du terrain à rue,Surface du jardin,Orientation du jardin,Type d’environnement,Dressing,Jardin,Concierge,Accessible aux personnes avec un handicap,Attestation de conformité des citernes à mazout,Pompe à chaleur,Obligation de construire,Niveau E (performance énergétique globale),Salle à manger,Salles de douche,Porte blindée,Surface constructible totale au sol,Buanderie,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Surface de l'espace professionnel,Surface du grenier,Surface de la chambre 5,Surface de la terrasse,Orientation de la terrasse,Surface de la cave,Isolé,Nombre d'annexes,Climatisation,Jacuzzi,Sauna,Internet,Disponible le,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Nom du bien,Pourcentage loué,Revenu mensuel actuel
0,Après la signature de l’acte,2007,Excellent état,4,2,2,1007 m²,Hyper équipée,7,5,Oui,Oui,Non,77055 m²,Oui,Non,Oui,Oui,Oui,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,5.900.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4419885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,"Kempenlaan 32
2300 - Turnhout",,Oui,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Bon,3,1,,36 m²,18 m²,24 m²,3,,,295 m²,220 kWh/m²,,,,,,,C,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,Non,"Parklaan 101
2300 - Turnhout",19374 - 126621475,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",155 m²,Équipée,4,14 m²,11 m²,7 m²,1,Non,Gaz,295.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,,,4,2,10,400 m²,Américaine hyper-équipée,3,1,,,Non,64800 m²,Oui,Non,Oui,Oui,,,166 kWh/m²,B,20170415-0001952330-1,Non communiqué,Non communiqué,Gaz,Oui,1.350.000 €,Oui,"Hoogstraat 20
9340 - Lede",,Oui,Non,Non,,Zone d'inondation reconnue,,,,,,,,,,Zone agricole,Limburg,20 m,Oui,4445697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1964,4,,1,1,193 m²,Équipée,1,966 m²,Oui,,,,376 kWh/m²,D,,,,,,20210215-0002373340-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,Jelle KOUWS,,,Non,Zone non inondable,179.000 €,,624 €,Oui,,,,,,,,,,,,,,Non,"nl :
elke zat. van 10u-12u, vanaf 25/9 tem 16/10 (zonder afspraak)",Après la signature de l’acte,3,Non,"Cingel, 14
2350 - VOSSELAAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,,2,1,1,110 m²,,3,1,Oui,Oui,Non,,Oui,,,,,,530 kWh/m²,F,2444326,Non communiqué,Non communiqué,Gaz,Oui,239.000 €,Non,"Rubensstraat 141
2300 - Turnhout",4450212,,,Non,,Zone non inondable,,26 m²,7 m²,13 m²,13 m²,5 m²,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,1850,Fraîchement rénové,4,,,457 m²,Semi-équipée,2,1,,,Non,825 m²,,,,,,,269 kWh/m²,C,2467997-RES-1,Non communiqué,Non communiqué,Gaz,Oui,469.000 €,Non,"Kempenlaan 32
2300 - Turnhout",39037 - TUR-21-KWO-0,Oui,Non,Non,Non,Zone non inondable,,42 m²,9 m²,18 m²,13 m²,,,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,22 m,Oui,,,,,,,,,1,18 m²,Oui,26 m,578 m²,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,1973,À rafraîchir,,,,132 m²,,3,1,,,Non,199 m²,,,,,,,668 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Électrique,,249.000 €,Non,"Kempenlaan 32
2300 - Turnhout",34876 - TUR-21-KWO-0,,,Non,,Zone non inondable,,,,,,,,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,1990,Bon,4,1,,256 m²,Équipée,5,1,,,Non,1046 m²,,Non,Non,Oui,Non,Non,223 kWh/m²,C,20120919-0001210707-00000002-0,Non communiqué,Non communiqué,Gaz,Oui,599.000 €,Non,"Grote Markt 67/4 (eerste verdieping)
2300 - Turnhout",2117695,Oui,,Non,,,,,,,,,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,10 m,,,,,,,,919 €,,1,,Non,16 m,,Est,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Après la signature de l’acte,1940,Bon,2,,,185 m²,,4,2,Oui,,Non,336 m²,Oui,,,,,,237 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,289.000 €,Non,"Kempenlaan 32
2300 - Turnhout",37104 - TUR-21-AGH-0,Oui,Oui,Non,Non,Zone non inondable,,30 m²,20 m²,19 m²,12 m²,11 m²,8 m²,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,2020,,3,,,114 m²,Américaine hyper-équipée,3,1,Oui,,Non,120 m²,Oui,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,274.000 €,Non,"Kempenlaan 32
2300 - Turnhout",24977 - NWB-21-SSC-0,Oui,Oui,Non,Non,Zone non inondable,,33 m²,,,,,,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,,,,,120 m²,,Rue commerçante,,,,Oui,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Après la signature de l’acte,1975,Bon,3,1,2,Américaine équipée,4,2,2,,Non,364 m²,Connecté,175 kWh/m²,,,,,,B,20210914-0002463752-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,565 €,"Vrijheid 8
2370 - Arendonk",4499535,,Oui,,Non,Zone non inondable,295.000 €,172 m²,,,,,,,Oui,,,,,Oui,,,,,,,Non,Oui,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,3,1,,105 m²,Équipée,3,1,,,Non,232 m²,,,,,,,206 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,248.000 €,Non,"Parklaan 101
2300 - Turnhout",19298 - 126621399,Oui,Non,Non,Non,Zone non inondable,,25 m²,7 m²,13 m²,12 m²,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Selon le locataire,,Excellent état,3,1,1,148 m²,Américaine équipée,3,1,,Oui,Non,294 m²,Oui,,,,,,225 kWh/m²,C,20180323-0002045451-1,Non communiqué,Non communiqué,Gaz,Oui,269.000 €,Non,"Vrijheid 8
2370 - Arendonk",4532971,,,Non,Non,Zone non inondable,,20 m²,19 m²,14 m²,9 m²,6 m²,,1,,,,,Oui,,,,,,,515 €,Connecté,,,,,,,Urbain,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Après la signature de l’acte,1953,À rénover,3,2,,,Semi-équipée,3,1,Oui,Oui,Non,629 m²,Oui,,,,,,376 kWh/m²,D,20210921-00024704596-RES-1,Non communiqué,Non communiqué,Gaz,Oui,215.000 €,Non,"Vrijheid 8
2370 - Arendonk",4522138,,,Non,Non,Zone non inondable,,,,,,,,1,,,,,Oui,,,,,Oui,,530 €,Connecté,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,1978,Bon,3,1,,Oui,4,1,2,,,Non,6.75 m,,,,,,,C,20140306-0001549044-00000001-7,Non communiqué,Non communiqué,Oui,,Oui,866 €,"PARKLAAN 46
2300 - Turnhout",04/13858,,105 m²,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,228 m²,,,,,,,Non,,339.000 €,,6.75 m,Oui,,,,,Équipée,,Non,Oui,,,Non,Connecté,,263 kWh/m²,,,Est,,,,,,,,,285 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Après la signature de l’acte,1962,À rafraîchir,3,1,2,146 m²,Semi-équipée,3,1,Oui,Oui,,263 m²,,,,,,,609 kWh/m²,F,20210816-002452149-RES-1,Non communiqué,Non communiqué,Mazout,,250.000 €,Non,"Vrijheid 8
2370 - Arendonk",4518488,Oui,Non,Non,,Zone non inondable,,20 m²,12 m²,16 m²,12 m²,10 m²,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,7.65 m,Non,,,,,,,627 €,Connecté,,,,10.65 m,,,Urbain,,,,,,,,,,,,67 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,1967,Bon,3,1,2,180 m²,,4,1,,,Non,302 m²,Oui,,,,,,518 kWh/m²,F,20171008-0002000466-1,Non communiqué,Non communiqué,,Oui,335.000 €,Non,"PARKLAAN 46
2300 - Turnhout",04/13700,Oui,,Non,Non,Zone non inondable,,,,,,,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,9 m,Non,,,,,Oui,,691 €,Non connecté,,,Non,25 m,,Nord-ouest,Pays,,Oui,,,,,,,,,Non,127 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Après la signature de l’acte,1993,Bon,4,2,10,,Américaine équipée,4,2,Oui,Oui,Non,1990 m²,Oui,,,,,,336 kWh/m²,D,20210708-0002435726-RES-1,Non communiqué,Non communiqué,Gaz,Oui,499.000 €,Non,"Vrijheid 8
2370 - Arendonk",4400923,,,,,Zone non inondable,,50 m²,20 m²,17 m²,12 m²,,,2,,,,,Oui,,,,,,,1.531 €,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,2012,Bon,,,,Oui,3,1,2,,,Non,20 m,,,,,,,B,13001-G-2011/00186/EP03280/A001/D01/SD001,Non communiqué,Non communiqué,Oui,,Oui,1.452 €,"PARKLAAN 46
2300 - Turnhout",04/14185,,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,,,,,,,Oui,,469.000 €,,11.5 m,Oui,,,,,Équipée,,Non,Oui,,,Non,Non connecté,,134.92 kWh/m²,Pays,,Sud-ouest,,,,,,,,,736 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Après la signature de l’acte,1920,,4,1,1,,,2,1,,Oui,Non,,Oui,,,,,,733 kWh/m²,F,20210922-0002467672-RES-1,Non communiqué,Non communiqué,Mazout,Oui,315.000 €,Non,"Vrijheid 8
2370 - Arendonk",4518771,,,,,Zone non inondable,,,,,,,,1,,,,,Non,,,,,Oui,,,Connecté,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,4,,,420 m²,,6,2,,,,1505 m²,Oui,,,,,,166 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,469.000 €,Non,"Zuiderring 106
2400 - Mol",4437877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,1949,À rénover,4,,,170 m²,,3,1,Oui,Oui,Non,1400 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,345.000 €,Non,,,,,,,Zone non inondable,,,20 m²,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,,,,,Oui,,,,,,Non,21 m,1 m²,,,Non,,,,,Non,,,Oui,,Non,500 m²,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,3,1,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,309.500 €,Non,"Kersenlaan 4
2240 - Zandhoven",Arendonk-Kibores3,,,,,,,,,,,,,,,,,,Non,,,,,Oui,,,Non connecté,,,Non,,,,,Non,,,,,,Non,,,,,,,,Non,Non,Non,Non,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,
25,À définir,1970,,3,1,1,35 m²,4,1,Oui,,Non,100 m²,5 m,432 kWh/m²,,,,,,E,202010130002327177,Non communiqué,Non communiqué,Gaz,Oui,,1.172 €,"Grote Markt 22
2300 - Turnhout",4402853,,100 m²,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,240 m²,Américaine semi-équipée,,,,,,,,259.000 €,,5 m,Oui,,,,,,,Oui,Non,,,,Connecté,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,Excellent état,2,1,,140 m²,,3,1,,,Non,290 m²,,,Oui,,,,696 kWh/m²,F,20210304-0002382101-RES-1,Non communiqué,Non communiqué,Mazout,Oui,209.000 €,Non,"Corbiestraat 42
2400 - Mol",4298680,,,Non,,Zone non inondable,,,,,,,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,,,,,,,,Connecté,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,2008,,2,,,160 m²,,3,1,,,Non,220 m²,,,,,,,126 kWh/m²,B,20210215-0002373757-RES1,Non communiqué,Non communiqué,,Oui,269.000 €,Non,,,,,,,,,34 m²,12 m²,16 m²,16 m²,8 m²,,2,,,,10 m,Oui,,,,,,,,,,,Oui,10 m,,,,Non,,,,,Non,,,,,Non,,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,10 m²,48 m²,,,,,,,,,,,,,,,,,,,,,
28,Après la signature de l’acte,1980,Bon,4,1,,499 m²,Équipée,6,2,,,Non,2336 m²,Oui,,,,,Oui,417 kWh/m²,E,2457280,Non communiqué,Non communiqué,Électrique,Oui,695.000 €,Non,"Bredabaan 260
2930 - Brasschaat",41025 - TUR-21-AGH-0,Oui,Non,Non,Non,Zone non inondable,,40 m²,24 m²,43 m²,23 m²,19 m²,14 m²,3,Non,Zone agricole,,,Oui,,,,,,,2.559 €,,1,13 m²,Oui,,,Ouest,Pays,,Oui,,,,,,,,,,,,,,,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"A. Stocletlaan 195
2570 - Duffel",Ravels NB,Oui,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1977,254 m²,,,,,1,,1156 m²,333 kWh/m²,,,,D,,,,,,,20210512-0002414444-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,Valerie HERMANS,,,Non,Zone non inondable,85.000 €,,991 €,2,,,,,,,,,,,,,,Non,"nl :
elke zat. van 10u-12u, en dit vanaf zat. 11/09/2021 tem zat. 09/10/2021",Après la signature de l’acte,,Non,"Parklaan 22 /10
2300 - Turnhout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1959,127 m²,,,,,3,,Oui,Oui,754 m²,686 kWh/m²,,F,,,,,,,20210217-0002373715-RES-1,Non communiqué,Non communiqué,Non,Non,,,,Laura WILLEMS,,,,Zone non inondable,140.000 €,,374 €,Oui,,,,,,,,,,,,,,Non,"nl :
elke zat. vrije bezichtiging van 10u-11u30, en dit vanaf zat. 16/10/2021 tem zat. 13/11/2021",Après la signature de l’acte,1,Non,"Nieuwstraat, 54
2470 - Retie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Après la signature de l’acte,1959,À rénover,4,1,,150 m²,Pas équipée,3,1,Oui,,Non,704 m²,,,,,,,739 kWh/m²,F,473-1,Non communiqué,Non communiqué,Gaz,Oui,238.000 €,Oui,"Kempenlaan 32
2300 - Turnhout",37041 - TUR-21-GME-0,Oui,Oui,Non,Non,Zone non inondable,,27 m²,10 m²,17 m²,11 m²,7 m²,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,,,,,500 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,58 m²,,,,,,,,,,,,,,,,,,,
34,À définir,1896,À rénover,4,2,,480 m²,Pas équipée,4,2,Oui,,Non,2570 m²,,,,,,,502 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,395.000 €,Non,"Kempenlaan 32
2300 - Turnhout",31103 - TUR-21-SSC-0,,Non,Non,Non,Zone non inondable,,,,25 m²,25 m²,20 m²,20 m²,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,,,Oui,,,Sud-ouest,Pays,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,À définir,1973,Fraîchement rénové,4,,,108 m²,Équipée,2,1,,,Non,1000 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,412.000 €,Non,,,Oui,,Non,,Zone non inondable,,,,13 m²,12 m²,,,1,,,,13 m,Oui,,,,,,,,Connecté,,,Non,,340 m²,Sud-est,Pays,Oui,,,,,Non,,,,,Non,,,Non,Non,Oui,Non,Non,Non,Non,Non,,,,,34 m²,Sud-est,,,,,,,,,,,,,,,,,,
36,À définir,1946,Bon,4,1,3,265 m²,Équipée,4,2,,,Non,1659 m²,,,,,,,234 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,425.000 €,Non,"Geelsebaan 1 bus7
2460 - Kasterlee",,,Non,Non,Non,Zone non inondable,,60 m²,24 m²,12 m²,14 m²,12 m²,24 m²,2,Non,Zone d'intérêt paysager,,,,BRE/25526,,,,,,381 €,,1,,Non,25 m,1350 m²,Nord-est,,Oui,,,,Non,Non,Non,,,1,,,,,,,,,,,,,,14 m²,,28 m²,,10 m²,,,,,,,,,,,,,,,,,
37,,2016,Excellent état,3,,1,137 m²,Américaine hyper-équipée,3,1,,,,315 m²,Oui,,,,,,89.48 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,307.769 €,Non,"Graatakker 91
2300 - Turnhout",4437872,Oui,Oui,Non,Non,Zone non inondable,,,,12 m²,11 m²,10 m²,,2,,Zone d'extension d'habitat,Turnhout en omgeving,,Oui,,,,,,,,Connecté,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Selon le locataire,1972,,4,1,1,195 m²,,4,1,Oui,,,384 m²,Oui,,,,,,424 kWh/m²,E,20121021-0001233830-00000007-6,Non communiqué,Non communiqué,Mazout,Oui,295.000 €,Non,"Vrijheid 8
2370 - Arendonk",4323909,Oui,Oui,Non,Non,Zone non inondable,,29 m²,14 m²,15 m²,14 m²,11 m²,10 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,1.056 €,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,2020,Excellent état,2,1,2,245 m²,Pas équipée,3,1,,,Non,265 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,297.000 €,Non,"Kempenlaan 5
2300 - Turnhout",4396876,,,,,Zone non inondable,,,,21 m²,11 m²,11 m²,,2,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,À définir,,À rafraîchir,,,1,123 m²,Équipée,4,,Oui,Oui,Non,463 m²,Oui,,,,,,306 kWh/m²,D,0002417400,Non communiqué,Non communiqué,Gaz,Oui,249.000 €,Non,"Handelslei 93
2980 - Zoersel",,Oui,,Non,,Zone non inondable,,32 m²,11 m²,20 m²,12 m²,9 m²,9 m²,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,359 €,Connecté,,,,,,Ouest,,Non,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,Ouest,,,,,,,,,,,,,,,,,,
41,À définir,,À rafraîchir,,,,200 m²,Équipée,4,,Oui,Oui,Non,716 m²,,,,,,,628 kWh/m²,F,0002329825,Non communiqué,Non communiqué,Gaz,Oui,289.000 €,Non,"Handelslei 93
2980 - Zoersel",,Oui,,Non,,Zone non inondable,,34 m²,28 m²,18 m²,16 m²,7 m²,,2,,,,,Oui,,,,,,,745 €,Connecté,,,,,400 m²,,,Non,,,,,Non,,,,,,,,,,,,,,,,,,,,40 m²,,,,,,,,,,,,,,,,,,,
42,Immédiatement,1953,Fraîchement rénové,4,1,5,335 m²,Équipée,6,2,,,Non,2503 m²,,,Non,Non,Non,Non,311 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,465.000 €,Non,,,,,,,Zone non inondable,,50 m²,18 m²,25 m²,16 m²,16 m²,15 m²,3,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Centrum,13 m,Oui,,,,,,,1.346 €,Connecté,1,12 m²,Oui,25 m,2000 m²,Sud-ouest,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,,2,Non,,,Oui,Non,Non,Oui,Non,,,,Villa,32 m²,30 m²,11 m²,30 m²,Sud-ouest,24 m²,Oui,2,Oui,Non,Non,Non,,,,,,,,,,,
43,À définir,2016,Bon,2,1,2,200 m²,Équipée,4,1,,,Non,290 m²,,Non,Non,Oui,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,377.000 €,Non,,,Oui,Oui,,,Zone non inondable,,25 m²,,16 m²,15 m²,15 m²,15 m²,2,,,,9 m,Oui,,,,,,,,Connecté,,,Non,9 m,120 m²,Sud-ouest,,Non,,Non,Non,,Non,,,Oui,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,,,40 m²,,,,,Oui,,Non,Non,Non,Oui,,,,,,,,,,,
44,Après la signature de l’acte,2000,Bon,4,2,4,217 m²,Américaine hyper-équipée,3,1,Oui,Oui,,996 m²,,,,,Oui,,280 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Oui,490.000 €,Non,"Noord-Brabantlaan 3
2300 - Turnhout",4452705,Oui,Oui,,,,,62 m²,20 m²,18 m²,12 m²,40 m²,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,14 m,Oui,,,,,,,,Connecté,,,,21 m,750 m²,,Pays,,,,,,,,,,,,247 m²,,,,,,,,,,,,,,30 m²,,,,,,,,,,,,,,,,,,,
45,À la livraison,2021,Excellent état,2,1,1,150 m²,Équipée,3,1,,,Non,265 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,305.000 €,Non,"Herdersstraat 5
2560 - Nijlen",4552-13,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,Non,Non,Non,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,À la livraison,2022,Excellent état,3,1,2,40 m²,,12 m²,2,,,,Connecté,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Oui,Oui,Non,"Grote Markt 22
2300 - Turnhout",4361693,,Oui,Non,Non,Zone non inondable,Zone d'extension d'habitat,225 m²,Oui,4,10 m²,9 m²,1,,11 m²,Gaz,398.000 €,Turnhout,10.5 m,Non communiqué,,,,,,,,Oui,,Oui,29 m²,,,,,,,,,,,,,12 m²,,,,,,,,,,,Oui,,,,388 m²,,,,,,,,,,,,,,,,,,,,,
47,,,Bon,4,,6,202 m²,Équipée,2,2,,,Non,22355 m²,Oui,,,,,,351 kWh/m²,D,20120611-0001141219-00000004-7,Non communiqué,Non communiqué,,Oui,3.000.000 €,Non,"Aarschotsesteenweg 201
2500 - Lier",,Oui,Non,Non,Non,Zone non inondable,,48 m²,19 m²,,,,,,,Zone agricole,,20 m,Non,IF-3043,,,,,,1.503 €,Non connecté,1,,Oui,123 m,,Est,,,Oui,,,,,,,,,Non,,,,,,,,,,,,,,,,,30 m²,,,,,,,,,,,,,,,,,
48,Après la signature de l’acte,,,4,,,,,5,2,,,Non,,,,,,,,177 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Non,890.000 €,Non,"Koolkenstraat 9 b1
8740 - Pittem",,Oui,Non,Non,Non,Zone non inondable,,,,,,,,,Non,Zone d'intérêt paysager,,,,spir1314,,,,,,,,,,Non,,,,,Non,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
