,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Grenier,Meublé,Surface du terrain,Terrasse,Ascenseur,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Visite virtuelle,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Toilettes,Attestation as-built,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Quartier ou lieu-dit,Largeur de la façade à rue,"Eau, gaz & électricité",Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salon,Mise à prix,Revenu cadastral,Raccordement à l'égout,Combien de feux ouverts ?,Surface de bureau,Bureau,Largeur du terrain à rue,Surface du jardin,Orientation du jardin,Type d’environnement,Dressing,Jardin,Concierge,Accessible aux personnes avec un handicap,Attestation de conformité des citernes à mazout,Pompe à chaleur,Obligation de construire,Niveau E (performance énergétique globale),Salle à manger,Salles de douche,Porte blindée,Surface constructible totale au sol,Buanderie,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Surface de l'espace professionnel,Surface du grenier,Surface de la chambre 5,Surface de la terrasse,Orientation de la terrasse,Surface de la cave,Isolé,Nombre d'annexes,Climatisation,Jacuzzi,Sauna,Internet,Disponible le,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Nom du bien,Pourcentage loué,Revenu mensuel actuel
131,À définir,2015,Excellent état,4,1,4,238 m²,,4,2,,,Non,577 m²,,,,,,,97 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Oui,444.000 €,Non,"Markt 20
2440 - Geel",40814 - GEE-21-JVR-0,Oui,Oui,Non,,Zone non inondable,,44 m²,24 m²,14 m²,14 m²,14 m²,12 m²,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,1.850 €,,,,,,,Sud,,,Oui,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,1958,À rénover,3,,2,250 m²,Semi-équipée,4,1,Oui,,Non,486 m²,,,,,,,522 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,220.000 €,Non,"Markt 20
2440 - Geel",37156 - GEE-21-JVR-0,,Non,Non,Non,Zone non inondable,,28 m²,6 m²,20 m²,19 m²,18 m²,15 m²,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,9 m,Oui,,,,,,,,,,,,,,Sud,Rue commerçante,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Après la signature de l’acte,1958,,4,1,,160 m²,Semi-équipée,3,1,Oui,,Non,278 m²,Oui,,,,,,861 kWh/m²,F,20201005-0002323840-RES-1,Non communiqué,Non communiqué,Mazout,Oui,205.000 €,Non,"Markt 20
2440 - Geel",40867 - GEE-21-JVR-0,Oui,Non,Non,Non,Zone non inondable,,33 m²,17 m²,16 m²,14 m²,7 m²,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,,,,,,Sud,Rue commerçante,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Après la signature de l’acte,2017,Excellent état,4,1,,274 m²,Équipée,5,2,,,Non,607 m²,,,,,,,48 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Oui,475.000 €,Non,"Markt 20
2440 - Geel",38552 - GEE-21-JVR-0,Oui,Oui,,Non,Zone non inondable,,,,,,,,3,"Oui, conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,,,,,,Nord,,,Oui,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,Excellent état,,1,1,198 m²,Hyper équipée,3,,Oui,,Non,741 m²,,,,,,,204 kWh/m²,C,204,Non communiqué,Non communiqué,Mazout,,425.000 €,Non,"Bleekstraat, 19
2480 - Dessel",,,,,,Zone non inondable,,56 m²,,16 m²,14 m²,38 m²,,2,,,,,Oui,,,,,,,1.108 €,Connecté,,,,,,,,Oui,,,,,Non,,,,,,,,,,,,,,,,,,,,52 m²,,,,,,,,,25 juillet 2022 - 00:00,,,,,,,,,,
136,,1964,À rafraîchir,4,1,,247 m²,Équipée,3,1,Oui,,Non,2154 m²,,,,,,,698 kWh/m²,F,20211005-0002472549-RES-1,Non communiqué,Non communiqué,Mazout,Non,359.000 €,Non,"Graaf De Broquevillestraat 35
2400 - Mol",07/2139,Oui,,Non,Non,Zone non inondable,,,,,,,,,,Parc résidentiel,,,Non,,,,,Oui,,1.209 €,Non connecté,,,Non,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Après la signature de l’acte,1933,À rénover,2,,,140 m²,Équipée,2,1,,,Non,219 m²,,,,,,,62729 kWh/m²,F,20120705-0001161277-00000001-9,470 kg CO₂/m²,Non communiqué,Gaz,Non,142.000 €,Non,,,,,,Non,Zone non inondable,,,,20 m²,14 m²,,,1,,,,4 m,Oui,,,,,Oui,,,Connecté,,,Non,,120 m²,Nord,Urbain,Non,,,,,Non,Non,,Oui,,Non,,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,,,32 m²,,,,,,,,,,,,,,,,,,,,,
138,À définir,2007,Excellent état,4,2,6,330 m²,Pas équipée,4,2,,,,742 m²,Oui,,,,,,124 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,569.000 €,Non,"Rauwelkoven 87
2440 - Geel",,Oui,Non,Non,Non,,,,,,,,,3,"Oui, conforme","Zone d'habitat (résidentiel, urbain ou rural)",,17 m,Non,4134607,,,,,,1.989 €,Connecté,,,Oui,37 m,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,2,,130 m²,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,1965,Excellent état,4,,,767 m²,,3,2,,Oui,Non,767 m²,,Non,Non,Non,Non,Non,432 kWh/m²,E,20160103-0001823391-1,Non communiqué,Non communiqué,Mazout,Oui,285.000 €,Non,,,,,,Non,Zone non inondable,,30 m²,21 m²,18 m²,14 m²,14 m²,,2,,,,14 m,Oui,,,,,,,944 €,Connecté,,,Non,15 m,462 m²,Sud,Paysage,Oui,,Non,Non,,Non,,,Oui,1,Non,,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,,72 m²,,,10 m²,Sud,12 m²,,2,Non,Non,Non,Oui,,,,,,,,,,,
140,Après la signature de l’acte,2012,Excellent état,3,1,2,232 m²,Équipée,4,1,,,Non,374 m²,,Non,Non,Non,Non,Non,122 kWh/m²,B,Non communiqué,122 kg CO₂/m²,Non communiqué,Gaz,Oui,410.000 €,Non,,,,,,,,,,,16 m²,12 m²,14 m²,14 m²,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,Oui,,,Connecté,,,Non,,200 m²,,,Oui,,Non,Non,,Non,,74,Oui,,Non,374 m²,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,,,,,24 m²,,,,1,Oui,Non,Non,Non,,,,,,,,,,,
141,Après la signature de l’acte,1956,À rénover,4,1,3,156 m²,Équipée,4,1,,,Non,1600 m²,,Non,Non,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,350.000 €,Non,,,Oui,,,Non,,,25 m²,24 m²,8 m²,8 m²,8 m²,8 m²,2,Non,,,18 m,Oui,,,,,,,,Connecté,1,,Non,33 m,1000 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,Non,Non,,Non,,,Oui,,Non,1600 m²,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Toutes sortes,,,,,,5 m²,,1,Non,Non,Non,Oui,,,,,,,,,,,
142,Après la signature de l’acte,1950,À rénover,3,,,165 m²,Américaine semi-équipée,3,1,Oui,Oui,Non,223 m²,,,,,,,1468 kWh/m²,F,20161008-0001901255-1,Non communiqué,Non communiqué,,,159.000 €,Non,"Bisschopslaan 16
2340 - Beerse",,,,,,,,,,,,,,1,,,,6 m,Non,4379619,,,,,,,Connecté,,,,6 m,110 m²,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,À définir,1928,,3,,,144 m²,Hyper équipée,3,1,Oui,,,290 m²,Oui,,,,,,265 kWh/m²,C,20210222-0002376882-RES-1,Non communiqué,Non communiqué,Gaz,Oui,269.000 €,Non,"Pas 151
2440 - Geel",4402755,,,Non,,Zone non inondable,,19 m²,17 m²,19 m²,18 m²,13 m²,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,6.5 m,Oui,,,,,,,456 €,Connecté,,,,6.5 m,,,Urbain,,,,,,,,,Oui,2,,93 m²,,,,,,,,,,,,50 m²,,,,,,,,,,,1 décembre 2021 - 00:00,,,,,,,,,,
144,,1930,,2,,,,,2,1,Oui,,Non,193 m²,,,,,,,1448 kWh/m²,F,2361195,Non communiqué,Non communiqué,,,149.000 €,Non,"Markt 20
2440 - Geel",3837 - GEE-21-JVR-02,Oui,Non,Non,Non,Zone non inondable,,20 m²,7 m²,10 m²,9 m²,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,Rue commerçante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Après la signature de l’acte,1975,,4,,,158 m²,Équipée,3,1,,,Non,2305 m²,,,,,,,611 kWh/m²,F,2454597-RES1,Non communiqué,Non communiqué,Mazout,Oui,365.000 €,Non,,,,,,,Zone non inondable,,40 m²,14 m²,18 m²,14 m²,12 m²,,2,,,,17 m,Non,,,,,,,,Connecté,,,Non,30 m,1500 m²,,,Non,,,,"Oui, conforme",Non,,,,,Non,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,22 m²,,,,1,,,,,,,,,,,,,,,
146,Après la signature de l’acte,1968,Excellent état,2,,,330 m²,Américaine équipée,4,2,Oui,,,356 m²,,,Oui,,,,262 kWh/m²,C,20210901-0002456838-RES-1,Non communiqué,Non communiqué,Gaz,Oui,495.000 €,Oui,"Driesheide 99
2980 - Halle",,Oui,Non,Non,Non,Zone non inondable,,72 m²,13 m²,17 m²,17 m²,21 m²,16 m²,3,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,9.75 m,Oui,,,,,,,2.825 €,Connecté,1,,,,190 m²,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,36 m²,,,,,,,,,,,,,,,,,,50,845
147,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Oui,Non,Non,Non,Zone non inondable,,,,,,,,,,,Mol centrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Zuiderring 106
2400 - Mol",4405163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,À la livraison,1950,Excellent état,3,,1,116 m²,,3,1,,,Non,607 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,323.468 €,Non,"Bisschopslaan 16
2340 - Beerse",,,,,,,,,12 m²,16 m²,12 m²,8 m²,,1,,,,,,4310274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Après la signature de l’acte,1953,À rénover,2,,,146 m²,,3,,Oui,,Non,470 m²,Oui,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,199.000 €,Non,"Markt 20
2440 - Geel",10361 - GEE-21-JVR-0,Oui,Non,Non,Non,Zone non inondable,,25 m²,11 m²,15 m²,11 m²,11 m²,6 m²,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,,,,,,,Sud,Urbain,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Après la signature de l’acte,,Bon,4,1,,,Équipée,3,1,,,Non,520 m²,,,,,,,522 kWh/m²,F,202107220002444404-RES-1,Non communiqué,Non communiqué,Gaz,Non,279.000 €,Non,"Herenthoutseweg 5
2200 - Herentals",DIE26MO,Oui,Non,Non,Non,Zone non inondable,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Non,,,,,Non,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,10 m²,,,,,,,,,,,,,,,,,
152,Après la signature de l’acte,,Bon,3,,1,,Hyper équipée,2,1,,,Non,,,,,,,,394 kWh/m²,D,20180904-0002087374_1,Non communiqué,Non communiqué,Gaz,Oui,265.000 €,Oui,"Herenthoutseweg 5
2200 - Herentals",spir352,Oui,Non,Non,Non,Zone non inondable,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Non,,,,,Non,,,,Non,Non,Non,,,,,,,,,,,,,,,,,33 m²,,,,33 m²,,,,,,,,,,,,,,,,,
