,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Toilettes,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Prix,Immeuble de rapport,Surface de la chambre 5,Cave,Grenier,Surface du jardin,Orientation du jardin,Terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accès sécurisé / alarme,Piscine,Jardin,Panneaux photovoltaïques,Panneaux solaires,Revenu cadastral,Nombre de façades,Type d’environnement,Salles de bains,Adresse,Site internet,Quartier ou lieu-dit,Année de construction,Largeur de la façade à rue,Salle à manger,Salles de douche,Bureau,Porte blindée,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Largeur du terrain à rue,Accessible aux personnes avec un handicap,Surface constructible totale au sol,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Parlophone,Référence externe,Combien de feux ouverts ?,Surface de bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Chauffe-eau commun,Type de construction,Obligation de construire,Buanderie,Disponible le,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Niveau E (performance énergétique globale),Nom de l'agent,Salon,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Description libre du PEB,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Charges mensuelles
59,,,1,6,,230 m²,75 m²,Équipée,,3,17 m²,13 m²,11 m²,,,,Non,1040 m²,,,,291 kWh/m²,D,Non communiqué,Non communiqué,84768 kWh/an,Électrique,Non,Oui,495.000 €,Non,,,,,,,,,,,,,Non,Non,1.323 €,4,,,"Rue du Bois 1
7090 - Hennuyères",1017,,2000,,Oui,2,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Après la signature de l’acte,,,6,,360 m²,49 m²,,,6,,,,,,,,2782 m²,,,,222 kWh/m²,C,20210830000664,8561 kg CO₂/m²,46438 kWh/an,,,,875.000 €,Non,,,,2600 m²,,Oui,,,,,,,,,1.826 €,4,,5,"Chaussée de Mons, 303
1480 - Tubize",12526/116,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,348 m²,31 m²,Équipée,,2,,,,,,5,Non,250 m²,,,,179 kWh/m²,C,20200114008850,Non communiqué,18947 kWh/an,,Non,Non,375.000 €,Oui,,Oui,,,,,,,,,,,Non,Non,2.099 €,2,,1,"Grand Place 8
1480 - Tubize",4813-1-1-1-1-1,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
62,,,,,,348 m²,31 m²,Équipée,,2,,,,,,5,Non,250 m²,,,,179 kWh/m²,C,20200114008850,Non communiqué,18947 kWh/an,,Non,Non,375.000 €,Oui,,Oui,,,,,,,,,,,Non,Non,2.099 €,2,,1,"Grand Place 8
1480 - Tubize",4813-1-1-1-1,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
63,3,,,,,,,,,Oui,,,,,,,,,,,,G,20160617006814,Non communiqué,56934 kWh/an,Oui,,,Non,,"Rue des Frcres Taymans, 34
1480 - TUBIZE",,,529 kWh/m²,,,,,,,,,,,,Non,,,,Jérôme DU BUS DE WARNAFFE,,,,,,,,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,140.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Mr LAURENT (0496/06.61.01),Après la signature de l’acte,426 €,,,,,,,,,
64,,,1,,,325 m²,,,,3,,,,,,,Non,9600 m²,Connecté,Non,,369 kWh/m²,E,20190821020448,Non communiqué,369 kWh/an,,,Oui,1.350.000 €,Non,,Oui,,,,Oui,,,Non,Oui,Oui,,,,2.341 €,,,,"Ninoofsesteenweg 125
1670 - Pepingen",,,1890,,Oui,,Oui,Oui,,,,,Non,,Non,125 m²,,,Non,2021028,,,,,,,,,,,,Non,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
65,,Bon,,2,228 m²,31 m²,Hyper équipée,28 m²,4,12 m²,15 m²,15 m²,15 m²,2,,10 m²,,10.3 m,Non,774 m²,317 kWh/m²,D,20170608020041,Non communiqué,Non communiqué,Mazout,Oui,,86 m²,669 €,"Jozef de Vleminckstraat 4B
1853 - Strombeek-Bever",,,,36 m²,,,,,,,,,,,Non,4,Isolé,1,4380184,,,1932,9 m,,2,15 m²,,,,,,,Non connecté,,349.000 €,,,,,,Oui,,860 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,À rafraîchir,,,,120 m²,30 m²,Semi-équipée,,3,15 m²,13 m²,5 m²,,,1,Non,180 m²,,,20 m²,552 kWh/m²,G,20210609008810,104 kg CO₂/m²,67653 kWh/an,Gaz,,Non,235.000 €,Non,,,Oui,120 m²,,,,,,,,,,,562 €,2,Urbain,,"Rue de la Déportation 81
1480 - Tubize",21053,,,5 m,,1,Oui,Non,,,,,,5 m,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,3 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Après la signature de l’acte,Bon,,,,165 m²,30 m²,,12 m²,3,10 m²,12 m²,14 m²,,,1,Non,330 m²,Connecté,Oui,,234 kWh/m²,C,20210725006907,Non communiqué,Non communiqué,Gaz,,Oui,Faire offre à partir de 219.000 €,Non,,Oui,Oui,200 m²,,Oui,,,,,,,,,656 €,2,Isolé,1,"Rue de Nivelles 1
1440 - Braine-le-Château",,Brabant Wallon,1930,4.8 m,Oui,,Oui,,,,,,,,,,Zone d'inondation reconnue,,,4443938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Après la signature de l’acte,Fraîchement rénové,,,,120 m²,12 m²,Américaine équipée,16 m²,2,32 m²,12 m²,,,Non,1,Non,180 m²,Connecté,Oui,12 m²,125 kWh/m²,B,20200723007163,Non communiqué,Non communiqué,Gaz,Non,Oui,249.000 €,Non,,,,135 m²,Sud-ouest,,Sud-ouest,Non,Non,Non,Non,,Non,Non,480 €,2,,1,,,,1920,6 m,,1,Non,Non,,Oui,,,,,Non,,Zone non inondable,,Non,,1,,Non,32 m²,,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Toutes sortes,,Oui,,,,,,,,,,,,,,,,,,,,
69,Selon le locataire,Bon,,2,,135 m²,35 m²,Équipée,10 m²,3,8 m²,11 m²,12 m²,,Non,2,Non,800 m²,,Oui,12 m²,336 kWh/m²,D,20191204004711,Non communiqué,Non communiqué,Mazout,Non,Oui,350.000 €,Non,,,Oui,700 m²,Sud-ouest,,Sud-ouest,Non,Non,Non,Non,,Non,Non,1.224 €,4,,,,,,1976,11 m,,1,Non,Non,,Oui,,Non,Non,22 m,Non,100 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,Non,9 m²,,,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Villa,Non,Oui,,,"Oui, conforme",,,,,,,,,,,,,,,,,
70,Après la signature de l’acte,À rafraîchir,,1,,250 m²,35 m²,Équipée,14 m²,5,22 m²,20 m²,14 m²,14 m²,,3,Non,375 m²,Connecté,Oui,45 m²,597 kWh/m²,G,20210421022303,Non communiqué,125637 kWh/an,Gaz,,,Faire offre à partir de 250.000 €,Non,24 m²,Oui,Oui,152 m²,,,,,Non,,Non,,,,1.289 €,3,,2,"Rue du Virginal 83
7090 - Hennuyères",4437950,,1950,,Oui,2,Oui,,,,,,,,Oui,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,1 octobre 2021 - 00:00,,,,,,,,,,,,,,,,,,,
71,Après la signature de l’acte,Bon,1,,,106 m²,,Américaine semi-équipée,13 m²,3,12 m²,17 m²,10 m²,,,2,Non,1040 m²,Connecté,Non,,569 kWh/m²,G,20210423023215,Non communiqué,Non communiqué,Mazout,,Oui,299.000 €,Non,,Oui,Oui,,,Oui,,,,,,,,,624 €,4,Pays,2,"Claesplein 18
1502 - Lembeek",4416925,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Immédiatement,À rafraîchir,1,1,,120 m²,22 m²,Équipée,10 m²,3,15 m²,10 m²,7 m²,,Non,,Non,500 m²,Connecté,Oui,20 m²,301 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Oui,312.000 €,Non,,,Oui,350 m²,,,,,,,,,Non,Non,800 €,3,Pays,1,,,,1980,,,,Non,Non,,,,,,,,,Zone non inondable,,,,,,Non,37 m²,,,Oui,Non,Oui,Non,,,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,
73,,Excellent état,2,6,,300 m²,31 m²,Équipée,16 m²,4,21 m²,17 m²,16 m²,15 m²,Non,2,Non,1041 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,355.000 €,Non,,,,,,,,,,,,,Non,Non,1.383 €,3,,1,,,,1970,16 m,Oui,,Oui,Non,,,,,,16 m,,,,,,,,16 m²,Oui,,,,Non,Non,Non,Non,,,,,,Non,,,,,,,,,,,,,,,PEB en cours,,,,,,,,
74,,À rafraîchir,2,,200 m²,1,,4,,1,,,,,,Oui,1152 m²,28 m,,,360 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,375.000 €,1.512 €,"Rue De Mons 46
1480 - Tubize",,Non,,Sud-ouest,35 m²,,,,,,,,,,Non,,,1,2946 - 2358,,,1978,19 m,,2,,,Mazout,,,,,500 m²,,,,,,,Semi-équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,Bon,2,,,335 m²,,Équipée,,5,,,,,,4,Non,554 m²,,,,217 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,730.000 €,Oui,,Oui,,,,,,,,,,,,,5.301 €,2,,4,"Rue De Mons 46
1480 - Tubize",2882 - 2326,,1980,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,1,3,,105 m²,24 m²,,10 m²,3,12 m²,12 m²,10 m²,,,2,Non,610 m²,,,20 m²,330 kWh/m²,D,20210817008584,82 kg CO₂/m²,34606 kWh/an,Mazout,Non,Non,299.500 €,Non,,,,550 m²,Nord-est,,Sud,,,,,,Non,Non,785 €,3,"Zone d'habitat (résidentiel, urbain ou rural)",1,"Rue de la station 27
7060 - Soignies",,,1978,,,,,,Non,,,,,10 m,,,,,,1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Après la signature de l’acte,À rénover,1,,,122 m²,,Semi-équipée,20 m²,5,18 m²,17 m²,10 m²,,,1,Non,950 m²,,,,600 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Mazout,,,175.000 €,Non,,Oui,,,Sud-ouest,,,,,,,Oui,,,463 €,3,,1,"Rue De Mons 46
1480 - Tubize",2878 - 2344,,,14 m,Oui,,,,Non,,,,,14 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,Bon,,,140 m²,34 m²,Équipée,3,,18 m²,18 m²,16 m²,1,,,Oui,111 m²,100 m²,,,316 kWh/m²,D,20210330007366,58 kg CO₂/m²,40346 kWh/an,Non,Oui,,230.000 €,572 €,"Rue De Mons 46
1480 - Tubize",,Non,,Sud-ouest,10 m²,,,,,,,,,,Non,2,,,2646 - 2252,,,,,,2,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,À définir,Bon,1,1,,120 m²,,Semi-équipée,,3,,,,,,,,1076 m²,,,,451 kWh/m²,F,202002228006537,Non communiqué,Non communiqué,Mazout,,Oui,,Non,,Oui,,,,Oui,,,,,,,,,,3,,1,"Rue de Nivelles 1
1440 - Braine-le-Château",,,1965,,,,,,,,,,,,,,,,,4517867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000 €,1.000 €,Non,Non,Non,1,80,
80,,,,,,130 m²,30 m²,Équipée,,3,20 m²,14 m²,13 m²,,,1,Non,192 m²,,,18 m²,422 kWh/m²,E,20200518000995,Non communiqué,56341 kWh/an,,Non,Oui,270.000 €,Non,,Oui,,90 m²,Nord-ouest,,,,,,,,Non,Non,433 €,2,,,"rue des Forges, 287
1480 - Tubize",611MON,,1940,,Oui,1,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,Excellent état,1,1,120 m²,30 m²,Équipée,3,,12 m²,16 m²,9 m²,1,,,Oui,Non,120 m²,,,220 kWh/m²,C,20211008012058,41 kg CO₂/m²,34516 kWh/an,Gaz,Oui,,Bien immobilier situé tout ou en partie dans une zone riveraine délimitée,Non,"Rue de la Déportation 81
1480 - Tubize",,,Non,50 m²,,,,,,,,,,,,2,,2,21082,,,1982,,,,Oui,213 m²,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",330.000 €,,,,Oui,,,,,,,,,,,,,,,,,7 m²,,,,,,,,,,,,,,,,,,,,
82,,À rénover,2,2,,220 m²,32 m²,Pas équipée,,5,24 m²,11 m²,19 m²,21 m²,,,Non,179 m²,,,30 m²,677 kWh/m²,G,20210129001883,Non communiqué,Non communiqué,Mazout,,Non,175.000 €,Non,11 m²,Oui,Oui,13 m²,,,,,,,,,,,1.007 €,3,,1,"Rue de la Déportation 81
1480 - Tubize",21002,,,13 m,,,Oui,Non,,,,,,13 m,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,Oui,,,"Oui, pas conforme",,,,,,,,,,,,,,,,,
83,,Excellent état,,,,140 m²,34 m²,Hyper équipée,,3,16 m²,12 m²,15 m²,,,2,Non,249 m²,,,50 m²,255 kWh/m²,C,20210713009045,47 kg CO₂/m²,41467 kWh/an,Gaz,,Non,270.000 €,Non,,Oui,Oui,,,,,,,,,,,,443 €,2,,,"Rue de la Déportation 81
1480 - Tubize",21057,,,,,1,Non,Non,,,,,,,,,Zone non inondable,Zone d'extension d'habitat,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
84,Après la signature de l’acte,,1,2,,,20 m²,Hyper équipée,12 m²,3,15 m²,12 m²,10 m²,,Non,1,Non,684 m²,Connecté,Oui,40 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Oui,365.000 €,Non,,,Oui,500 m²,,,,Non,Non,Non,Non,,Non,Non,953 €,3,Pays,1,,,,,,Oui,,Non,Non,,Oui,Oui,Non,,,Non,,,,Non,,1,,Non,,,,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,180 €
85,,À rénover,,,137 m²,Semi-équipée,,3,,1,,,,,,Non,70 m²,380 kWh/m²,,,,E,Non communiqué,Non communiqué,Non communiqué,Non,135.000 €,,,334 €,"Rue De Mons 46
1480 - Tubize",,,,,,,,,,,,,,,Non,,,,2941 - 2323,,,,,,1,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,À rafraîchir,1,,150 m²,1,,4,,1,,,,,,Oui,670 m²,14.5 m,,,,E,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,325.000 €,1.417 €,"Rue De Mons 46
1480 - Tubize",,Non,,,350 kWh/m²,,,,,,,Sud-est,,,Non,4,,,2886 - 2348,,,,,,2,,,Mazout,,,,,Oui,,,,,,,Semi-équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,Bon,1,,,120 m²,,Équipée,,2,,,,,,1,Non,258 m²,,,,300 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Oui,225.000 €,Non,,,,,,,,,,,,,,,599 €,,,,"Rue De Mons 46
1480 - Tubize",2884 - 2347,,,,,1,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,À définir,Excellent état,1,10,,175 m²,40 m²,Américaine équipée,16 m²,3,40 m²,16 m²,14 m²,,Oui,3,Oui,7200 m²,,Non,40 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,850.000 €,Non,,,,7200 m²,Sud,,Sud,Non,Non,Non,Non,,Oui,Non,1.437 €,4,,2,,,,,,Oui,,Non,Non,,Oui,,,,,Non,,Zone non inondable,,Oui,,2,,Non,,,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Villa,,Oui,,,,,,,,,,,,,,,,,,,,
89,Après la signature de l’acte,Excellent état,1,5,,,,,,4,,,,,Non,,Non,1100 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,5.000.000 €,Non,,,,,,,,Non,Non,Non,Non,,Oui,Oui,,4,,1,,,,2000,,,,Non,Non,,,,,,,Non,,Zone non inondable,,Non,,,,Non,,,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Villa,,,,,,,,,,,,,,,,,,,,,,
90,,,,2,,165 m²,35 m²,,,4,17 m²,17 m²,15 m²,,,1,Non,900 m²,,,,430 kWh/m²,F,20210616009592,Non communiqué,88310 kWh/an,,Non,Oui,275.000 €,Non,,Oui,,500 m²,,,,,,,,,Non,Non,465 €,4,,1,"rue des Forges, 287
1480 - Tubize",015JAD,,1930,,,1,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,145 m²,42 m²,Équipée,,3,25 m²,15 m²,11 m²,,,3,Non,252 m²,,,30 m²,202 kWh/m²,C,20210622006288,Non communiqué,43531 kWh/an,,Non,Oui,295.000 €,Non,,Oui,,150 m²,,,,,,,,,Non,Non,726 €,2,,1,"rue des Forges, 287
1480 - Tubize",017WAL-1,,,,,1,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
92,,,1,5,,125 m²,30 m²,Équipée,,3,16 m²,13 m²,12 m²,,,2,Non,421 m²,,,25 m²,222 kWh/m²,C,20110125001335,Non communiqué,26291 kWh/an,,Non,Oui,325.000 €,Non,,,,,,,,,,,,,Non,Non,,3,,,"rue des Forges, 287
1480 - Tubize",016DII-1,,2012,,,1,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
93,,Excellent état,1,2,115 m²,35 m²,Équipée,3,,14 m²,13 m²,11 m²,2,,,Oui,Non,350 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,733 €,"Rue de la Déportation 81
1480 - Tubize",,,Non,40 m²,,,,,,,,,,,Non,3,,2,21065,,,,,,,Oui,563 m²,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",360.000 €,,,,,,,,,,,,,,,,,,,,,Non,16 juillet 2022 - 00:00,,,,,,,,,,,,,,,,,,,
94,,,,,,100 m²,38 m²,Équipée,,3,13 m²,8 m²,8 m²,,,2,Non,192 m²,,,,320 kWh/m²,D,20210606000986,Non communiqué,35052 kWh/an,,Non,Oui,215.000 €,Non,,Oui,,,,,,,,,,,Non,Non,639 €,2,,1,"rue des Forges, 287
1480 - Tubize",011CAR,,,,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,1 décembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,
95,,,1,,,180 m²,56 m²,Équipée,,4,17 m²,15 m²,15 m²,9 m²,,2,Non,976 m²,,,75 m²,207 kWh/m²,C,20210811016768,Non communiqué,38700 kWh/an,,Non,Oui,399.000 €,Non,,,,875 m²,Sud-ouest,,,,,Oui,Oui,,Oui,Non,485 €,3,,1,"rue des Forges, 287
1480 - Tubize",003SIM,,,,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,1 août 2022 - 00:00,,,,,,,,,,,,,,,,,,,
96,,Excellent état,,,,156 m²,,,,3,,,,,,2,,200 m²,,,,394 kWh/m²,E,E,Non communiqué,61682 kWh/an,,,,Faire offre à partir de 289.000 €,Non,,,,,,Oui,,,,,,,,,,2,,1,"Rue de Mons 63
1480 - Tubize",,,,,,1,,,,,,,,,,,,,,4530476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Après la signature de l’acte,À rafraîchir,,,,160 m²,,,,4,,,,,,,Non,300 m²,,,,484 kWh/m²,F,20210914027575,Non communiqué,76745 kWh/an,,,,Faire offre à partir de 279.000 €,Non,,,,,,Oui,,,,,,,,,,3,,1,"Rue de Mons 63
1480 - Tubize",,,,,,,,,,,,,,,,,,,,4515131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Après la signature de l’acte,À rafraîchir,1,,,154 m²,,,,5,,,,,,,Non,,,,,444 kWh/m²,F,20210413013694,Non communiqué,68260 kWh/an,,,,Faire offre à partir de 189.000 €,Non,,,,,,Oui,,,,,,,,,285 €,2,,1,"Rue de Mons 63
1480 - Tubize",,,,,,,,,,,,,,,,,,,,4518142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Après la signature de l’acte,À rafraîchir,1,1,,,38 m²,Pas équipée,13 m²,2,18 m²,11 m²,,,Non,,Non,192 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,240.000 €,Non,,,,70 m²,,,,,,,,,Non,Non,604 €,2,,,,,,1963,,Oui,1,Non,Non,,,,,,,,,Zone non inondable,,,,,,Non,,37 m²,,Non,Non,Oui,Non,,,,,,Non,Toutes sortes,,,,,Non,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,,,,,150 m²,,,,3,,,,,Non,2,Non,600 m²,Connecté,Oui,1 m²,Non communiqué,E,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Oui,300.000 €,Non,,,,1 m²,,,,,,,,,Non,Non,,3,,1,,,,,,,,Non,Non,,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,,,Non,Non,Non,Non,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,À rafraîchir,,,,167 m²,,,,4,,,,,,,Non,,,,,489 kWh/m²,F,F,Non communiqué,81544 kWh/an,,,,Faire offre à partir de 229.000 €,Non,,,,,,Oui,,,,,,,,,,2,,1,"Rue de Mons 63
1480 - Tubize",,,,,,,,,,,,,,,,,,,,4520505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,Bon,,,,160 m²,,,,4,,,,,,,Non,,,,,294 kWh/m²,D,20131004008981,Non communiqué,47201 kWh/an,,,,Faire offre à partir de 189.000 €,Non,,,,,,,,,,,,,,,,2,,1,"Rue de Mons 63
1480 - Tubize",,,,,,,,,,,,,,,,,,,,4426781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,2,,,,,,,Non,,,,,293 kWh/m²,D,20170831007675,Non communiqué,31575 kWh/an,Mazout,Non,Non,250.000 €,Oui,,,,,,,,,,,,,Non,Non,1.194 €,2,,,"rue des Forges, 287
1480 - Tubize",002PROV-1,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
104,Après la signature de l’acte,Excellent état,1,2,,151 m²,36 m²,Équipée,,3,29 m²,14 m²,13 m²,,,2,Non,341 m²,Connecté,Oui,40 m²,238 kWh/m²,C,2012012405167,Non communiqué,33698 kWh/an,Gaz,,Oui,290.000 €,,,,,,Sud,,Sud,,,,,Oui,,,842 €,2,"Zone d'habitat (résidentiel, urbain ou rural)",,"Rue de Mons 156
1480 - Tubize",,,1974,6 m,,1,,,,Oui,,,Non,6 m,,,,,,,,,,13 m²,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Après la signature de l’acte,Excellent état,1,2,,150 m²,28 m²,Hyper équipée,12 m²,4,18 m²,13 m²,13 m²,8 m²,Oui,2,Non,707 m²,Connecté,Oui,35 m²,389 kWh/m²,E,Non communiqué,96 kg CO₂/m²,Non communiqué,Mazout,,Oui,3.325.000 €,,,,,,Sud,,Sud,,,,,Oui,,,845 €,3,"Zone d'habitat (résidentiel, urbain ou rural)",,"rue du Pourcelet 59
7000 - Mons",,Stierbecq,1977,,,1,,,,,,,,,,,Zone non inondable,,,,1,,,,65 m²,,Oui,,,Oui,,,,,,,,,Oui,,,"Oui, conforme",,Dewandre,,,,,,,,,,,,,,,
106,Après la signature de l’acte,Excellent état,1,,,130 m²,30 m²,Américaine hyper-équipée,,3,12 m²,16 m²,21 m²,,,1,Non,250 m²,Connecté,Oui,26 m²,337 kWh/m²,D,20110413003221,Non communiqué,45902 kWh/an,Gaz,,Oui,270.000 €,,,Oui,Oui,,,,,,,,,,Oui,,409 €,2,"Zone d'habitat (résidentiel, urbain ou rural)",,"Rue de Mons 156
1480 - Tubize",,,,,,1,,,,Oui,,,Non,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
107,Après la signature de l’acte,Excellent état,,,,240 m²,,,,4,,,,,,2,,733 m²,Non connecté,,,98 kWh/m²,B,PEB-00083 R,Non communiqué,25482 kWh/an,Gaz,Non,Oui,Faire offre à partir de 550.000 €,Non,,,,,,Oui,,,,Oui,,,,Non,1.680 €,4,,,"Rue des Frcres Taymans, 34
1480 - TUBIZE",,,2013,,,,,,,Oui,Non,,Non,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,Sylvie LECOCQ,,,,,,,,,,,,,,,
108,Après la signature de l’acte,Bon,,,,121 m²,32 m²,Équipée,16 m²,4,15 m²,12 m²,10 m²,10 m²,,1,Non,133 m²,Connecté,Oui,,424 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Faire offre à partir de 235.000 €,Non,,Oui,Oui,68 m²,,,,,,,,,,,371 €,2,,1,"Rue du Virginal 83
7090 - Hennuyères",4515412,,1930,4 m,Oui,1,,,,,,,,,,,Zone d'inondation reconnue,,,,,,,,,,,,,,,,,,,,,,,1 décembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,À rénover,,,,160 m²,23 m²,Équipée,22 m²,4,16 m²,16 m²,16 m²,16 m²,,1,Non,180 m²,Connecté,Oui,20 m²,488 kWh/m²,F,20201208016784,Non communiqué,Non communiqué,Gaz,,Oui,Faire offre à partir de 215.000 €,Non,,Oui,Oui,80 m²,,,,,,,,,,,500 €,3,,2,"Rue du Virginal 83
7090 - Hennuyères",4427429,,1970,,Oui,2,,,,,,,,7 m,,160 m²,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,1 octobre 2021 - 00:00,,,,,,,,,,,,,,,,,,,
