,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Toilettes,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Prix,Immeuble de rapport,Surface de la chambre 5,Cave,Grenier,Surface du jardin,Orientation du jardin,Terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accès sécurisé / alarme,Piscine,Jardin,Panneaux photovoltaïques,Panneaux solaires,Revenu cadastral,Nombre de façades,Type d’environnement,Salles de bains,Adresse,Site internet,Quartier ou lieu-dit,Année de construction,Largeur de la façade à rue,Salle à manger,Salles de douche,Bureau,Porte blindée,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Largeur du terrain à rue,Accessible aux personnes avec un handicap,Surface constructible totale au sol,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Parlophone,Référence externe,Combien de feux ouverts ?,Surface de bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Chauffe-eau commun,Type de construction,Obligation de construire,Buanderie,Disponible le,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Niveau E (performance énergétique globale),Nom de l'agent,Salon,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Description libre du PEB,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Charges mensuelles
31,Après la signature de l’acte,Fraîchement rénové,,,,210 m²,,Américaine hyper-équipée,,3,,,,,,,,359 m²,Connecté,Oui,,254 kWh/m²,C,20210708013974,Non communiqué,60821 kWh/an,Gaz,,Oui,Faire offre à partir de 420.000 €,Non,,Oui,Oui,,,Oui,,,,,,,,,,3,,1,"Clos des Chêneaux 18A
1390 - Grez-Doiceau",4456222,,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Après la signature de l’acte,Bon,1,4,,157 m²,35 m²,Équipée,18 m²,3,26 m²,15 m²,11 m²,,,2,Non,950 m²,,Oui,,372 kWh/m²,E,20201208014178,Non communiqué,Non communiqué,Mazout,,Oui,325.000 €,Non,,Oui,,,Nord,Oui,,,,,,Oui,,,725 €,3,,1,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",,,,,,,Oui,,Non,,,,,,,,,,,283 - 3391268,,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,À définir,Bon,1,,250 m²,41 m²,Équipée,30 m²,5,34 m²,33 m²,30 m²,14 m²,13 m²,2,Oui,740 m²,Connecté,Oui,Oui,,E,20210614015315,Non communiqué,Non communiqué,Non,,Oui,385.000 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",Non,Non,,,,393 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,À rafraîchir,,,,,,,,3,,,,,,1,,,,,,463 kWh/m²,F,2021090400248,Non communiqué,53670 kWh/an,Mazout,Non,Oui,Faire offre à partir de 245.000 €,Non,,Oui,Oui,,,,,,,,,,,Non,413 €,2,Pays,1,"Rue Godefroid de Bouillon 5
1470 - Genappe",,,,,Oui,,,,,,Non,Non,Non,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Oui,,,,,,,,,,,,,,Vanessa CLERENS,Oui,,,,,,,,,,,,,,
35,À définir,Excellent état,1,2,,230 m²,50 m²,Américaine hyper-équipée,16 m²,6,20 m²,14 m²,12 m²,12 m²,,2,Non,916 m²,Connecté,Non,50 m²,101 kWh/m²,B,Non communiqué,Non communiqué,12200 kWh/an,,,Oui,650.000 €,Non,,,Oui,700 m²,,,,,,,,,,,,3,,2,"Chaussee de Tubize 481/1
1420 - Braine L'Alleud",4534006,,2021,,,2,Oui,,,,,,,,,,,,Oui,,,11 m²,,,,,,,,,,,,,,,,,,1 juin 2022 - 00:00,,,,,,,,,,,,,,,,,,,
36,À définir,Excellent état,,2,,222 m²,55 m²,Hyper équipée,,3,15 m²,12 m²,10 m²,,,2,Non,20000 m²,Connecté,,20 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Oui,465.800 €,Non,,Oui,,192 m²,Nord,,,,,,,,Non,Non,,2,,1,"rue de Stalle 142
1180 - Uccle",21L2779-D13,,2020,,,1,,,Non,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,Oui,1 octobre 2021 - 00:00,,,,,,,,,,,,,,,,,,,
37,Après la signature de l’acte,Excellent état,,4,176 m²,36 m²,Américaine hyper-équipée,16 m²,4,20 m²,16 m²,11 m²,11 m²,3,,Oui,1475 m²,25 m,Non,1100 m²,Non,D,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,,112 m²,1.826 €,"Avenue Louise 433
1050 - Bruxelles",,,Non,40 m²,,,,,Non,Oui,330 kWh/m²,,,,Non,4,,1,4346997,,,1996,13 m,,2,Oui,,,,,,,Connecté,Oui,Zone non inondable,550.000 €,,,,,,,,,,,,,,,,,,,,,,,1 août 2021 - 00:00,,,,,,,,,,,,,,,,,,,
38,À définir,Bon,1,1,257 m²,62 m²,Équipée,19 m²,5,16 m²,10 m²,12 m²,24 m²,18 m²,1,Oui,5912 m²,Connecté,Oui,Oui,Sud,D,20210811017473,Non communiqué,Non communiqué,Mazout,Non,Oui,595.000 €,2.555 €,"Chaussée de Bruxelles 2
1470 - Genappe",Non,Non,,,30 m²,,302 kWh/m²,,,,,Sud,,,Non,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,À définir,Excellent état,1,,109 m²,33 m²,Hyper équipée,10 m²,2,16 m²,28 m²,Non,,,1,Non,Connecté,,Oui,Oui,Sud,C,20210618016370,Non communiqué,Non communiqué,Non,,Oui,270.000 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,,,,7 m²,,227 kWh/m²,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Après la signature de l’acte,Bon,,4,,329 m²,,Hyper équipée,26 m²,5,17 m²,21 m²,14 m²,15 m²,,3,Non,526 m²,Connecté,Oui,,129 kWh/m²,B,20210419021190,259 kg CO₂/m²,33453 kWh/an,Gaz,,Oui,Faire offre à partir de 525.000 €,Non,,,,,,Oui,,,Non,Oui,Non,,,,1.284 €,3,,3,"Avenue du centenaire 53/4
1400 - Nivelles",4400810,,,15 m,Oui,2,Oui,,,Oui,,Non,Non,13.3 m,Non,160 m²,,,,,,11 m²,,,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Après la signature de l’acte,Fraîchement rénové,,4,,180 m²,39 m²,Équipée,11 m²,4,27 m²,16 m²,15 m²,11 m²,,2,Non,652 m²,Connecté,Non,,255 kWh/m²,C,20210408025437,64 kg CO₂/m²,48832 kWh/an,Mazout,,Oui,Faire offre à partir de 375.000 €,Non,,,Oui,,,Oui,,,Non,,Non,,,,1.588 €,4,,2,"Avenue du centenaire 53/4
1400 - Nivelles",4501412,,1976,,,,Oui,,,,,Non,Non,,Oui,,Zone non inondable,,,,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Après la signature de l’acte,Excellent état,,,120 m²,46 m²,3,,,1,,,,,,Non,493 m²,413 m²,,,,D,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,Faire offre à partir de 385.000 €,421 €,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",,,,Ouest,Oui,Oui,,,,Non communiqué,,,,,Non,3,,2,3718 - 650234,,,,,,,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,À la livraison,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,,,,,,,,,,,,,,,,,,,"Rue du Virginal 83
7090 - Hennuyères",3987586,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 juin 2022 - 00:00,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,Excellent état,1,,,160 m²,30 m²,Hyper équipée,8 m²,4,8 m²,14 m²,14 m²,11 m²,,2,Non,392 m²,Connecté,Oui,40 m²,117 kWh/m²,B,2016010450081,20 kg CO₂/m²,19044 kWh/an,Gaz,,Oui,Faire offre à partir de 375.000 €,Non,,,Oui,200 m²,,,,,Non,Oui,,,,,1.082 €,3,"Zone d'habitat (résidentiel, urbain ou rural)",2,"Chaussée d'Alsemberg 967
1420 - Braine l'Alleud",4442329,Tubize et environs,2015,10.18 m,,1,,,,,,,,15.35 m,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,À définir,Excellent état,1,,,230 m²,,Américaine équipée,,4,,,,,,,,325 m²,Connecté,Oui,,162 kWh/m²,B,20210617011589,6240 kg CO₂/m²,36923 kWh/an,Gaz,,Oui,395.000 €,Non,,Oui,,,Sud-ouest,Oui,,,,,,Oui,,,990 €,2,Urbain,2,"Chaussée de Mons, 303
1480 - Tubize",12489/116,Tubize,1910,6 m,,,Oui,,,,,,,,,,,,,,,26 m²,,,,,,,,,,,,,,,,,,,26 m²,,27,,,,,,,,,,,,,,,,
46,Après la signature de l’acte,Excellent état,1,5,325 m²,65 m²,Équipée,5,,28 m²,21 m²,20 m²,17 m²,14 m²,,Oui,,Connecté,Oui,Oui,,B,20130510007557,Non communiqué,49983 kWh/an,Gaz,Oui,,795.000 €,2.668 €,"Chaussée de Mons, 303
1480 - Tubize",3,Oui,733 m²,,Oui,Non,,,Oui,118 kWh/m²,,Nord-est,,,Non,4,"Zone d'habitat (résidentiel, urbain ou rural)",1,12518/116,,Tubize,2009,,,,25 m²,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,25 m²,,Oui,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,,,,,,,,,,,,,,,,,,,"Petrus Huysegomsstraat, 6
1600 - Sint-Pieters-Leeuw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,,,,,,,,,,,,,,,,,,,"Petrus Huysegomsstraat, 6
1600 - Sint-Pieters-Leeuw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Après la signature de l’acte,À rafraîchir,,,110 m²,Oui,,3,,15 m²,15 m²,17 m²,1,,,80 m²,,Connecté,Non,20 m²,507 kWh/m²,F,20150305032479,Non communiqué,507 kWh/an,Gaz,Faire offre à partir de 255.000 €,,,410 €,"Rue du Virginal 83
7090 - Hennuyères",,,,,,,,,,,,,,,Non,2,,1,4519022,,,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 septembre 2021 - 00:00,,,,,Équipée,,,,,,,,,,,,,,
50,,Bon,,,192 m²,52 m²,Équipée,3,,13 m²,13 m²,13 m²,2,,,Oui,Non,250 m²,,,Non,D,20210727005251,50 kg CO₂/m²,26165 kWh/an,Gaz,Oui,,Zone non inondable,1.517 €,"Rue de la Déportation 81
1480 - Tubize",,Non,,69 m²,,,,Non,Non,Non,256 kWh/m²,,,,Non,2,Rue commerçante,1,21061,,,,,,2,Oui,Non,,,,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",310.000 €,Non,,,,,,,,,,,,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
51,,À rénover,2,4,148 m²,Oui,,20 m²,3,18 m²,16 m²,16 m²,1,,,17 m²,,28.55 m,Non,382 m²,Oui,F,20160202028608,Non communiqué,Non communiqué,Mazout,140 m²,,,671 €,"Place Communale 8
1160 - Auderghem",,,,87 m²,,,,,,,,,,,Non,3,,1,4368882,,,1899,4.3 m,Semi-équipée,,,,,,,,,Connecté,,230.000 €,,,,,,,,41 m²,522 m²,,,,,,,472 kWh/m²,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
52,Après la signature de l’acte,Bon,1,1,178 m²,40 m²,Équipée,14 m²,3,20 m²,15 m²,18 m²,1,,,Oui,270 m²,Connecté,200 m²,,,E,20160128010701,98 kg CO₂/m²,64749 kWh/an,Mazout,Oui,,Zone non inondable,Non,"Rue du Virginal 83
7090 - Hennuyères",,Oui,Non,Oui,,400 kWh/m²,,,,,,,,,,2,,1,4499957,,,1972,,,2,,,,,,,,,,,Faire offre à partir de 330.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Excellent état,1,5,219 m²,45 m²,Semi-équipée,18 m²,3,20 m²,14 m²,14 m²,1,,,5 m²,,32.7 m,Non,1871 m²,Oui,C,2020120612227,Non communiqué,Non communiqué,Mazout,Oui,,120 m²,Non,"Place Communale 8
1160 - Auderghem",,,,1 m²,,,,,,,,,,,,4,,1,4316307,,,2005,14 m,,2,,220 kWh/m²,,,,,,Connecté,,Faire offre à partir de 610.000 €,,,,,,,,22 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Après la signature de l’acte,Fraîchement rénové,,,,140 m²,40 m²,Équipée,12 m²,3,20 m²,12 m²,8 m²,,,1,Non,,Connecté,Oui,4 m²,143 kWh/m²,B,20210408018114,Non communiqué,18748 kWh/an,Pellets,,Oui,Faire offre à partir de 210.000 €,Non,,Oui,,,,,,,,,,,,,1.250 €,2,,1,"Rue du Virginal 83
7090 - Hennuyères",4507148,,1970,,,1,,,,,,,,,,,Zone d'inondation reconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,À définir,Bon,,,100 m²,28 m²,Équipée,9 m²,2,18 m²,14 m²,Non,,,1,Oui,221 m²,Connecté,Oui,Oui,,F,20210607005047,Non communiqué,Non communiqué,Gaz,Non,Oui,168.000 €,Non,"Rue de Tubize, 5
1440 - Braine-le-Château",,Oui,Non,,Oui,Sud-ouest,505 kWh/m²,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Bon,2,2,140 m²,1,,3,,1,,,,,,Non,1693 m²,Oui,,,,E,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,390.000 €,1.021 €,"Rue De Mons 46
1480 - Tubize",,,,,350 kWh/m²,,,,,,,Sud,,,Non,4,,1,2880 - 2345,,,1990,,,2,,,Mazout,,,,,,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,À définir,Excellent état,20,20,,,,Équipée,,,,,,,,4,,1699 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,1.450.000 €,,,,,,,Oui,,,,,,,,,6.500 €,4,,,"rue Bruyère Saint-Jean 142
1410 - Waterloo",Pascal Lauriers,,2009,,,4,,,,Oui,,,Non,,,,Zone non inondable,Zone d'activité économique,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,À définir,Excellent état,,,217 m²,34 m²,Hyper équipée,13 m²,4,12 m²,22 m²,15 m²,25 m²,Oui,2,Non,800 m²,Connecté,Oui,600 m²,Nord-est,D,20151211000289,Non communiqué,Non communiqué,Mazout,Oui,Oui,Non,1.318 €,"Rue de Tubize, 5
1440 - Braine-le-Château",,,,Nord-est,80 m²,,304 kWh/m²,,,,,,Oui,Oui,Non,,,,,,,,,,,,,,,,Zone non inondable,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",480.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
