,À partir de,État du bâtiment,Nombre de façades,Parkings intérieurs,Salon,Type de cuisine,Salles de bains,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Visite virtuelle,Permis de bâtir obtenu,Année de construction,Parkings extérieurs,Surface habitable,Surface du salon,Salle à manger,Combien de feux ouverts ?,Chambres,Buanderie,Surface de la cave,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Nom de l'agent,Type d’environnement,Dressing,Bureau,Attestation de conformité des citernes à mazout,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Revenu cadastral,Référence externe,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Chauffe-eau commun,Surface de la cuisine,Niveau E (performance énergétique globale),Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Largeur de la façade à rue,Grenier,Largeur du terrain à rue,Parlophone,Piscine,Surface constructible totale au sol,Lieu de la vente,Séance unique,Modalités de visite,Isolé,Informations supplémentaires,Mise à prix,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Espace professionnel,Concierge,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Type de construction,Surface de bureau,Surface de l'espace professionnel,Surface du grenier,Vue sur mer,Pourcentage loué,Revenu mensuel actuel,Nombre d'annexes,Charges mensuelles,Jardin,Description libre du PEB
32,Immédiatement,,,113,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,30 décembre 2020 - 00:00,Bruxelles,33 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,À définir,Bon,2,,,Hyper équipée,1,,2,,,156 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,429.000 €,Non,"Astridlaan 1
1700 - Dilbeek",4429538,28 février 2022 - 00:00,,,Oui,1952,,215 m²,32 m²,,,4,,40 m²,,,,,,,,,,Urbain,,,"Oui, conforme",,,1.400 €,,,,,,,Connecté,Oui,Oui,,,,Non,Non,Non,,Non,Non,,6 m,,,,Non,,,,,,,,14 m²,17 m²,20 m²,24 m²,,,,,Oui,,,,,,,,,,,,,,
34,Après la signature de l’acte,Excellent état,4,2,,33 m²,1,2,63 m²,,,9 m²,F,588320,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Astridlaan 1
1700 - Dilbeek",4346463,,,,235 m²,Non,1995,,59 m²,Hyper équipée,,,16 m²,,20 m²,,,Non,,,,,,,Urbain,,,,,,,,,,,,,,,,,4,,Non,Non,649.000 €,,Non,Oui,Non,,,,,282 kWh/m²,,,,,,,,14 m²,14 m²,14 m²,2,,,,,,,,,,,,623 m²,,,,,,,
35,Après la signature de l’acte,Excellent état,2,1,,Américaine hyper-équipée,4,4,4,Oui,Non,154 m²,120 kWh/m²,C,Non communiqué,23 kg CO₂/m²,Non communiqué,Gaz,Oui,749.000 €,Oui,"av. de la Floride 77
1180 - Uccle",4532835,15 janvier 2022 - 00:00,,,Oui,1972,2,265 m²,24 m²,,,4,,,,,75 m²,,"Oui, conforme",,,,,,,,,,,2.322 €,,,,,,,Connecté,Oui,,,8 m²,,Non,Non,Non,Zone non inondable,Non,Non,,7 m,,7 m,Oui,Non,70 m²,,,,,,,15 m²,15 m²,15 m²,12 m²,,,,,,,,,,,,,,,,,,,
36,À définir,Excellent état,2,1,,Américaine hyper-équipée,2,,,,Non,250 m²,125 kWh/m²,C,20210702-0000591941-01-3,Non communiqué,Non communiqué,Gaz,Oui,680.000 €,Non,,,,,,Oui,1990,1,308 m²,,,1,4,,,1 m²,,1 m²,,,Non,Oui,Non,,,Oui,Non,,,,,,Non,Non,Non,Non,Non,,Oui,,Oui,,,,,,Zone non inondable,Non,Non,Non,7 m,,,Oui,Non,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,
37,Selon le locataire,Bon,2,,Oui,Équipée,3,,,,,165 m²,239 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,825.000 €,Oui,"Astridlaan 1
1700 - Dilbeek",4395398,,,,Oui,1936,,,,,,5,,,,,,,,,,,,Urbain,,,,,,4.105 €,,,,,,,,,Oui,,,,Non,Non,Non,,Non,Non,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Après la signature de l’acte,À rafraîchir,3,2,,10 m²,2,,Non,,241 m²,150 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Faire offre à partir de 470.000 €,,3.589 €,"Rue Chalmagne 2
6120 - Marbaix (Ht.)",1697 - 1564,,,,230 m²,,,3,1,,,Équipée,15 m²,,,Sud,Non communiqué,,,Non,,,,,,,,Gaz,,,Non,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
39,À définir,Excellent état,2,1,,Américaine hyper-équipée,2,2,3,Oui,,206 m²,298 kWh/m²,F,20140912-0000247168-01-1,61 kg CO₂/m²,Non communiqué,,Oui,479.000 €,Non,"Avenue François Sebrechts 26
1080 - Molenbeek",4453603,,,,,1962,,240 m²,30 m²,Oui,,4,,,85 m²,,67 m²,,,,,,,,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",4.626 €,,,,,,,Connecté,Oui,,,17 m²,,,,,Zone non inondable,,,Oui,6.5 m,,,Oui,,240 m²,,,,,,,16 m²,15 m²,14 m²,12 m²,,,,,,,,,,12 m²,,,,,,,,,
40,,,2,,,,49 m²,,,,Non,Connecté,E,201204030000075839010,53 kg CO₂/m²,Non communiqué,246,Non,Non,1.001 €,"De Limburgstirumlaan 21
1780 - Wemmel",,,,,116 m²,,1952,,9 m²,,,,1,,Non,21 m²,,246 kWh/m²,,,Non,Non,Non,,,,,,,395.000 €,Non,,210 m²,,,,,Oui,132 m²,,Oui,3,Gaz,Non,Non,Zone non inondable,Autre type de zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,Bon,3,1,,Équipée,1,1,2,,Non,205 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,449.000 €,Non,,,,,,,2007,2,182 m²,,,,3,,,120 m²,Sud-ouest,27 m²,Sud-ouest,,Non,Non,Non,,,Non,Non,,,,,,Non,Non,Non,Non,Non,Connecté,Oui,,Oui,18 m²,,,,,,Non,Non,Non,6 m,,,Non,Non,,,,,,,,18 m²,16 m²,15 m²,,,Non,Non,Non,Oui,Non,Non,Oui,Toutes sortes,,,,,,,,,,
42,Après la signature de l’acte,Bon,2,2,,Équipée,2,,,,Non,,186 kWh/m²,D,20210726-0000593129-01-2,37 kg CO₂/m²,Non communiqué,Gaz,Oui,550.000 €,Oui,"Rue Basse 21-23 Bte15 b1
1180 - Uccle",4517936,,Bruxelles (19 communes),,,1964,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,Connecté,Oui,Oui,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
43,Après la signature de l’acte,Bon,2,2,,Équipée,1,2,,,Non,335 m²,594 kWh/m²,G,20210215-0000582792-01-4 (2ème),119 kg CO₂/m²,Non communiqué,Gaz,Non,598.000 €,Oui,"Av Fr Roosevelt 244/15
1050 - Ixelles",Tania BALESCU,,,,,1930,1,373 m²,,,,5,,,200 m²,,,,Non,Non,Non,Non,B9508,,,,,,,3.035 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,À rénover,2,,,Pas équipée,,,1,Oui,Non,,550 kWh/m²,G,20180624-0000530477-01-4,Non communiqué,Non communiqué,,,249.000 €,Non,"Avenue François Sebrechts 26
1080 - Molenbeek",4207622,,,,,1961,,74 m²,14 m²,Oui,,2,,,200 m²,,,,,,,,,,,,,,,,,,,,,,Connecté,Oui,,,8 m²,,,,,,,,,,Oui,,,,,,,,,,,18 m²,9 m²,,,,,,,,,,,,,,,,,,,,,
45,Après la signature de l’acte,Bon,2,2,,Équipée,1,2,,,Non,335 m²,594 kWh/m²,G,20210215-0000582792-01-4 (2ème),119 kg CO₂/m²,Non communiqué,Gaz,Non,598.000 €,Non,"Av Fr Roosevelt 244/15
1050 - Ixelles",Tania BALESCU,,,,,1930,1,373 m²,,,,5,,,200 m²,,,,Non,Non,Non,Non,B9509,,,,,,,3.035 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,2,1,,Semi-équipée,1,,2,Oui,Non,376 m²,321 kWh/m²,F,20210529-0000589723-01-6,64 kg CO₂/m²,Non communiqué,Gaz,Oui,529.000 €,Non,"Avenue de Busleyden 21
1020 - Laeken",JUST - V21/125,,,,,1953,1,260 m²,45 m²,Oui,1,5,Oui,,280 m²,Sud,15 m²,Nord-ouest,Non,Non,Non,Non,,,,,,,,1.888 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 m²,26 m²,19 m²,16 m²,10 m²,,,,,,,,,,,,,,,,,,
47,,,2,,,,1,2,,,Non,170 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,545.777 €,Non,,,,,,,1900,,320 m²,20 m²,Oui,,6,Oui,,40 m²,,15 m²,,,Non,Non,Non,,,Non,Non,Non,,,,,Non,Oui,Non,Non,Non,,Oui,,Oui,18 m²,,,,,,,,,6 m,,6 m,,,,,,,,,,320 m²,,,,,Non,,,,,,,,,,60 m²,Oui,,,,,,
48,Après la signature de l’acte,Bon,2,,,,30 m²,,,,Non,6 m,E,Non communiqué,48 kg CO₂/m²,Non communiqué,242,Non,Non,2.048 €,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,,,352 m²,,1933,,40 m²,19 m²,,,2,,Non,,,,,,Non,Non,Non,,,,,,,549.000 €,Non,,533 m²,,,,,Oui,242 kWh/m²,,Oui,6,Gaz,Non,Non,Autre type de zone,,,,,6 m,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Après la signature de l’acte,Bon,3,,,Équipée,2,,2,Oui,,124 m²,343 kWh/m²,F,Non communiqué,69 kg CO₂/m²,Non communiqué,Gaz,Oui,459.000 €,Non,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1935,,235 m²,53 m²,,,4,,,55 m²,,7 m²,,,,,,,,,,,,,1.660 €,,,,,,,,,,,10 m²,,,,,,,,,,,,,,,,,,,,,16 m²,16 m²,10 m²,16 m²,,,,,,,,,,,,14 m²,,,,,,,
50,Immédiatement,À rafraîchir,2,,,,1,,1,,Non,207 m²,731 kWh/m²,G,20210318-0000584947-01-4,265 kg CO₂/m²,Non communiqué,Gaz,Non,375.000 €,Non,,,,,,,1917,,,14 m²,Oui,,3,Oui,20 m²,98 m²,Nord-ouest,5 m²,Nord-ouest,,Non,Non,Non,,,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.179 €,,Non,Oui,Non,Oui,Non,Connecté,Oui,,Non,5 m²,,,,,,Non,Non,Non,5 m,,,Non,Non,,,,,,,,13 m²,13 m²,13 m²,,,Non,Non,Non,Non,Non,Non,Oui,,,,30 m²,,,,,,,
51,,À rénover,2,,Oui,,6,6,8,Oui,,100 m²,270 kWh/m²,E,Non communiqué,54 kg CO₂/m²,Non communiqué,,Oui,795.000 €,Oui,"Parvis St-Pierre, 15
1180 - Uccle",4508601,,Bruxelles (19 communes),,,1955,,400 m²,,,,12,,,,,,,,,,,,Urbain,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,68 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Après la signature de l’acte,,3,,,Équipée,1,1,3,,Non,263 m²,559 kWh/m²,G,20160401-0000333126-01-8,120 kg CO₂/m²,Non communiqué,Gaz,,435.000 €,Non,"Chaussee de la Hulpe 268
1170 - Watermael-Boitsfort",Michèle Franckx,,,,,1930,2,161 m²,,Oui,1,3,Oui,,150 m²,Sud,15 m²,Sud,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,1.110 €,,,,,,,Connecté,Oui,,,20 m²,,,,,,,,,,,,,,,,,,,,,18 m²,12 m²,36 m²,,,,,,,,,,,,,,,,,,,,
53,Selon le locataire,À rénover,2,,,,6,,8,,Non,100 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,795.000 €,Oui,"Rue des vétérinaires 42
1070 - Anderlecht",,,,,Oui,1955,,400 m²,,,,12,,,25 m²,,35 m²,Sud-ouest,,,,,Nagel,"Zone d'habitat (résidentiel, urbain ou rural)",,,"Oui, conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,Connecté,Oui,,,,,Oui,,Non,,,,,6.8 m,,,,,,,,,,Nouveau permis délivré en 2021 pour 5 appartements avec terrasses.,,,,,,,,,,,,,,,,,,,60,2300,,,,
54,Immédiatement,Excellent état,2,2,,Hyper équipée,2,,4,,,384 m²,350 kWh/m²,G,Non communiqué,70 kg CO₂/m²,Non communiqué,Gaz,Oui,590.000 €,Non,"Itterbeeksebaan, 196
1700 - Dilbeek",,,,,Oui,1935,1,260 m²,45 m²,Oui,,4,Oui,100 m²,200 m²,Sud,16 m²,Sud,,,,,,,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,Connecté,Oui,,,14 m²,,,,,,,,Oui,10.24 m,,10.24 m,,,,,,,,,,28 m²,14 m²,15 m²,17 m²,14 m²,Oui,,,Oui,,,,,,,,,,,1,,,
55,,Excellent état,2,1,,Équipée,2,1,2,,Non,177 m²,320 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Oui,Faire offre à partir de 410.000 €,Non,"Rue Colonel Bourg 110, Bte 4
1030 - Bruxelles",30542,,,,,1961,2,160 m²,30 m²,,,5,Oui,,82 m²,,22 m²,,Non,,,,,,Non,Oui,,,,1.809 €,,Non,,,,,Connecté,Non,,,,,,,,,Non,Non,Oui,7 m,,,Non,Non,,,,,,,,13 m²,16 m²,10 m²,10 m²,20 m²,,Non,,Oui,,,,,,,,,,,,,,
56,,Excellent état,,,,5,2,2,Non,Non,Non,Connecté,E,Non communiqué,Non communiqué,Non communiqué,Non,,Faire offre à partir de 425.000 €,1.723 €,"Rue Colonel Bourg 110, Bte 4
1030 - Bruxelles",30545,,,,185 m²,,1960,,34 m²,Américaine hyper-équipée,,,14 m²,,,3 m²,,Sud-est,Non,Oui,,,,,,1,Oui,,,,Non,,Oui,,,,,Oui,30 m²,,,,,,,,,Non,Non,Non,6.5 m,,,Oui,230 kWh/m²,,,,,,,,12 m²,13 m²,12 m²,9 m²,Oui,,Non,,Non,,,,,,,,,,,,,,
57,Selon le locataire,Bon,2,,,Équipée,2,,,,,96 m²,174 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,,385.000 €,Oui,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1930,,221 m²,,,,4,,,,,,,,,,,,,,,,,,1.192 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Après la signature de l’acte,Excellent état,2,,,Équipée,2,,,Oui,,210 m²,212 kWh/m²,E,Non communiqué,42 kg CO₂/m²,Non communiqué,Gaz,Oui,429.000 €,Non,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1964,,180 m²,45 m²,,,3,,,100 m²,,15 m²,,,,,,,,,,,,,1.663 €,,,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,19 m²,14 m²,13 m²,,,,,,,,,,,,,,,,,,,,
59,Après la signature de l’acte,Excellent état,3,,,Hyper équipée,1,1,3,Oui,,220 m²,478 kWh/m²,G,Non communiqué,96 kg CO₂/m²,Non communiqué,Gaz,Oui,495.000 €,Non,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1930,,210 m²,47 m²,,,4,,,66 m²,,33 m²,,,,,,,,Oui,,,,,1.792 €,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,21 m²,15 m²,19 m²,15 m²,,,,,,,,,,,,32 m²,,,,,,,
60,Après la signature de l’acte,Bon,2,,Oui,Équipée,1,,2,,,200 m²,730 kWh/m²,G,Non communiqué,146 kg CO₂/m²,Non communiqué,Gaz,Oui,435.000 €,,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1930,,,,,,3,,65 m²,95 m²,,17 m²,,,,,,,,,Oui,,,,1.963 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 m²,10 m²,10 m²,,,,,,,,,,,,,,,,,,,,
61,,Bon,2,,,,3,,4,,,260 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,580.000 €,Non,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1928,,281 m²,31 m²,,,6,Oui,40 m²,65 m²,Sud,58 m²,,,,,,,,,,,,,1.948 €,,,,,,,,,,,19 m²,,,,,,,,Oui,,,,,,,,,,,,,22 m²,15 m²,15 m²,14 m²,27 m²,,,,,,,,,,,,,,,,,,
62,Après la signature de l’acte,Bon,,1,,,,2,2,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,364.000 €,Non,"rue Willy Van der Meeren 23
1140 - Evere",69 - 93363876,,,,,,,105 m²,30 m²,,,2,,,40 m²,Sud,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Immédiatement,,,113,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,30 décembre 2020 - 00:00,Bruxelles,33 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,4,,Oui,Équipée,2,,3,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,450.000 €,Oui,"Rue de L'Eglise 27
1082 - Berchem-Ste-Agathe",VBSA20/003,,,,,,,170 m²,,,,3,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 €,,
65,,,2,,,,,,,,,130 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,374.500 €,Non,"Generaal Lemanstraat 55
2018 - Antwerpen",,,,,,,,,,,,4,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Après la signature de l’acte,Bon,1,2,,,3,,3,,Non,250 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,580.000 €,Oui,,,,,,,,1,,,,,,,,,,1 m²,,,Non,Non,Non,,,Non,Non,,,,,,Non,Non,Non,Non,Non,Connecté,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Toutes sortes,,,,,,,,,,
67,Après la signature de l’acte,Excellent état,2,1,,,,,,,Non,84 m²,168 kWh/m²,D,20210515-0000588835-01-8,33 kg CO₂/m²,Non communiqué,Gaz,Oui,498.000 €,Non,,,,,,,2001,1,195 m²,,,,4,,,30 m²,Ouest,,,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,,,,2.134 €,,Non,Non,Non,Non,Oui,Connecté,Oui,,Oui,,,,,,,Non,Non,Non,5 m,,,Non,Non,,,,,,,,17 m²,11 m²,8 m²,22 m²,,Non,Non,Non,Oui,Non,Non,Non,Toutes sortes,,,,,,,,,,
68,,Excellent état,2,1,,Hyper équipée,,1,2,,Non,100 m²,Non communiqué,Non communiqué,c,Non communiqué,Non communiqué,,Oui,535.000 €,Non,"Rond Point Schuman 6/5
1040 - Etterbeek",,,,,,2002,3,190 m²,430 m²,,,4,,,50 m²,,,Sud,Non,,,,,,Non,Non,,,,,Ganshoren,Non,,,,,Connecté,Non,,,,,,,,,,,,6.15 m,,,,,,,,,,,,29 m²,11 m²,36 m²,10 m²,,,,,,,,,,,,,,,,,,,
69,Oui,,,,Équipée,2,Oui,,,161 m²,,G,Non communiqué,Non communiqué,Non communiqué,195.000 €,1.752 €,,,,Benoît DU FOUR,,,,,Oui,,,,,,3,,Oui,,,,,,,,,,,,,,Oui,,,,"Chaussée de Jette, 514A
1090 - Jette",,,,,,,,,,,,,,,,,,,,,389 kWh/m²,,,,,Non,"mar. 12-19-26/10, 2-9/11 de 17h30-19h30 et sam. 16-23-30/10, 6-13/11 de 11h30-13h30. MASQUE OBLIGATOIRE - GEL hydro-alcoolique non fourni.",À définir,,,Non,,,,,,,,,,,,,,,,,,,,,,,
70,3,,,,,,710 kWh/m²,,,,,G,20210630-0000591711-01-3,Non communiqué,Non communiqué,170.000 €,312 €,,,,Alexis CAYET,,,,,1,,,,,,,,130 m²,,,,,,,,,,,,,,,,,,"Boulevard Louis Mettewie, 272
1080 - Molenbeek-St-Jean",,,,,,,,,,,,,,,,,,,,,,,,,,Non,(àpd 6/9 au 4/10 incl.) : jeu. de 17-19h et sam. de 10-12h.,Après la signature de l’acte,,,Non,,,,,,,,,,,,,,,,,,,,,,,
71,Après la signature de l’acte,Excellent état,2,,Oui,Hyper équipée,2,,2,,Non,168 m²,244 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,715.000 €,Oui,"av Charles Quint, 305
1083 - Ganshoren",villegas 24,,,,,1944,,240 m²,,,,4,,,,Sud-est,,,,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,Zone d'extension d'habitat,,,,,,,,,,,,,,,,,,Non,Non,Non,,,,Oui,Non,90 m²,,,,,,,,,,,,,Non,,Non,,,,,,,,,,,,,Oui,
72,Après la signature de l’acte,Excellent état,2,,,,,3,3,,Non,120 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,580.000 €,Oui,,,,,,,1958,,200 m²,,,,3,,,75 m²,Sud,,,,Non,Non,Non,,,Non,Non,,,,981 €,,Non,Non,Non,Non,Non,,Non,,Non,,,,,,,,,,55 m,,,,,,,,,,,,,,,,,Non,,,,,,,Toutes sortes,,,,,100,2185,,,,
73,,Bon,2,,,,1,1,2,,Non,152 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,439.000 €,Non,,,,,,,1952,,160 m²,14 m²,Oui,,5,Oui,50 m²,50 m²,Nord-ouest,,,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,,,,,,Non,Non,Non,Non,Non,,Oui,,Oui,10 m²,,,,,Zone non inondable,Non,Non,Non,7 m,,,Oui,Non,,,,,,,,15 m²,15 m²,13 m²,12 m²,7 m²,Non,Non,Non,Oui,Non,Non,Oui,,,,,,,,,,,
74,,,2,,,Équipée,,4,4,Oui,Non,105 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,780.000 €,Oui,"Av. Houba de Strooper 618
1020 - Laeken",4386,,,,,1960,,320 m²,20 m²,Oui,,7,,,,,10 m²,,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
75,Après la signature de l’acte,,2,,,,2,,2,,Non,198 m²,39670 kWh/m²,G,20210910-0000595436-01-9,108 kg CO₂/m²,Non communiqué,Gaz,Non,439.000 €,Non,,,,,,,1922,,200 m²,,,,3,,,125 m²,Sud,,,,Non,Non,Non,,,Non,Non,,,,,,Non,Non,Non,Non,Non,Connecté,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,23 m²,16 m²,8 m²,,,Non,,,,,,,Toutes sortes,,,,,,,,,,
76,Après la signature de l’acte,,2,,,Semi-équipée,1,,3,,Non,225 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,485.000 €,Non,,,,,,,,,180 m²,18 m²,Oui,,4,,51 m²,100 m²,Sud,3 m²,,,Non,Non,Non,,,Non,Oui,,,,,,Non,Non,Non,Non,Non,Connecté,Oui,,Oui,20 m²,,,,,Zone non inondable,Non,Non,Non,6 m,,,Non,Non,,,,,Oui,,,16 m²,13 m²,13 m²,13 m²,,Oui,Non,Non,Non,Non,Non,Oui,,5 m²,,10 m²,,,,,,,
77,Après la signature de l’acte,Bon,2,,,Équipée,2,,1,Oui,,110 m²,318 kWh/m²,F,Non communiqué,63 kg CO₂/m²,Non communiqué,Gaz,Oui,399.000 €,Non,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1953,,175 m²,36 m²,,,4,,,35 m²,,9 m²,,,,,,,,,,,,,1.130 €,,,,,,,,,,,11 m²,,,,,,,,,,,,,,,,,,,,,15 m²,13 m²,10 m²,14 m²,,,,,,,,,,,,,,,,,,,
78,,,2,,,Équipée,1,1,3,Oui,Non,192 m²,520 kWh/m²,G,Non communiqué,136 kg CO₂/m²,Non communiqué,Mazout,Oui,389.000 €,Non,"Av. Houba de Strooper 618
1020 - Laeken",4363,,,,,,,160 m²,39 m²,Oui,,3,Oui,,82 m²,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
79,Après la signature de l’acte,Bon,2,,Oui,,,,2,,Non,143 m²,148 kWh/m²,C,20210730-0000593385-01-2,29 kg CO₂/m²,Non communiqué,,Non,495.000 €,Non,"av Charles Quint, 305
1083 - Ganshoren",spir729,,,,,2001,,250 m²,,,,4,,,,,,,,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,Zone d'extension d'habitat,2.316 €,,,,,,,,,,,,,,,,,,,,6.5 m,,6.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,À définir,Excellent état,2,1,,16 m²,2,,Oui,Non,200 m²,Oui,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,430.000 €,Non,"Place Des Maïeurs 4/20
1150 - Woluwé-St-Pierre",,,,Hall des sports de Ganshoren,110 m²,,,1,18 m²,Oui,Équipée,,20 m²,,,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,150 m²,Oui,,3,,,,,,,,,,,,Oui,,,,,,,,,12 m²,11 m²,1,,,,,,260 kWh/m²,,,,,,,,,,,,,,
