,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Salles de douche,Surface de bureau,Bureau,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Adresse,Site internet,Visite virtuelle,Immeuble de rapport,Disponible le,Toilettes,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Piscine,Largeur de la façade à rue,Surface de la cave,Largeur du terrain à rue,Niveau E (performance énergétique globale),Charges mensuelles,Revenu cadastral,Référence externe,Pourcentage loué,Revenu mensuel actuel,Nom de l'agent,Surface de la chambre 5,Attestation as-built,Interphone vidéo,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accès sécurisé / alarme,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Surface constructible totale au sol,Type de construction,Autorisation de lotissement,Jardin,Terrasse,Salon,Surface de l'espace professionnel,Type de zone inondable,Droit d'achat prioritaire possible,Salle à manger,Grenier,Attestation de conformité des citernes à mazout,Buanderie,Description libre du PEB,Nom du bien,Surface du grenier,Isolé,Obligation de construire,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
123,Immédiatement,Bruxelles (19 communes),,À rénover,2,,,Isolé,125 m²,23 m²,,Pas équipée,9 m²,4,18 m²,13 m²,10 m²,11 m²,1,1,,,Oui,Non,,Connecté,Oui,56 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,299.000 €,"Avenue François Sebrechts 26
1080 - Molenbeek",4291984,,Non,,1,Non,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,
124,,,,À rafraîchir,2,,,,Oui,,,,4,2,,,,,Non,,,,,Non,Connecté,Oui,444 kWh/m²,,,,,G,20210226-0000583483-01-6,89 kg CO₂/m²,Non communiqué,444,Non,Non,,Zone non inondable,420.000 €,Oui,,,199 m²,"Rue Archimède 17
1000 - Bruxelles ville",,,,,,,,,,Gaz,,,,,,,,,,,,80 m²,,,,,,,,,,,Non,Non,Non,Oui,,,Non,,,,,Autre type de zone,Non,16 m²,,,,,,,,,,,,,
125,,,1951,À rafraîchir,,2,,Urbain,310 m²,15 m²,,Semi-équipée,11 m²,2,19 m²,14 m²,,,1,,,Non,,Non,531 m²,Connecté,Oui,,,,,444 kWh/m²,G,20210912-0000595522-01-2,Non communiqué,Non communiqué,Gaz,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",648.000 €,"Galgstraat 87
1600 - St-Pieters-Leeuw","Anderlecht, Boulevar",,Oui,,1,,,,,,59 m²,,,,,,,,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,437 m²,,Non,,,,,,Non,Oui,,,Oui,,,39 m²,,Non,,,,,
126,Selon le locataire,,1975,Bon,2,,,,450 m²,,,,,3,16 m²,15 m²,13 m²,,2,,,,Oui,,,,Oui,,,16 m²,,303 kWh/m²,F,201709260000512783018,Non communiqué,Non communiqué,Gaz,Oui,,,,Faire offre à partir de 650.000 €,"rue du Moulin 4
1340 - Ottignies",4512689,,Oui,,,,,,,,,,,,2.771 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
127,Selon le locataire,,,Bon,2,1,,,176 m²,25 m²,,Équipée,7 m²,5,24 m²,11 m²,10 m²,13 m²,1,1,,,,,159 m²,Connecté,Oui,83 m²,,,,429 kWh/m²,G,201512190000318370013,90 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,399.000 €,"Avenue François Sebrechts 26
1080 - Molenbeek",4313046,,Non,,2,Non,Oui,,Non,,,,,,1.507 €,,,,,11 m²,,,,,,,,,,,Oui,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,,1950,Bon,2,1,,,250 m²,20 m²,,,17 m²,5,25 m²,17 m²,15 m²,12 m²,2,2,,Oui,Oui,,160 m²,Connecté,Oui,24 m²,,70 m²,,377 kWh/m²,G,20190615-0000551435_01_2,75 kg CO₂/m²,Non communiqué,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,"Avenue François Sebrechts 26
1080 - Molenbeek",4315150,,Non,,3,Non,Non,Oui,Non,7 m,,,,,,,,,,10 m²,,,,,,,,,,,,,,,,,,,,250 m²,,,,,,,,,Oui,Oui,,,,,,,,,,,,
129,Selon le locataire,,,Bon,2,,,,245 m²,,,Équipée,,5,15 m²,15 m²,15 m²,15 m²,4,4,,,,,121 m²,,,35 m²,,,,291 kWh/m²,F,Non communiqué,58 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,550.000 €,"Avenue des Ormeaux 24
1180 - Uccle",4506226,,Oui,,4,Oui,Non,Oui,Non,5.8 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,
130,Après la signature de l’acte,,1920,Bon,2,1,,,Équipée,,,7,,14 m²,14 m²,14 m²,12 m²,12 m²,6,,Oui,320 m²,Non,340 m²,10.5 m,Oui,Non communiqué,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,1.150.000 €,,,,Oui,4518809,,600 m²,"Drève Richelle 197
1410 - Waterloo",,15 m²,,,,,10.5 m,,Connecté,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
131,Selon le locataire,,,À rafraîchir,2,,,,180 m²,15 m²,,Semi-équipée,9 m²,4,13 m²,13 m²,13 m²,13 m²,4,4,,Oui,,Non,,,Oui,,,13 m²,,180 kWh/m²,D,20140925-0000249775-01-1,38 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,549.000 €,"Avenue d'Itterbeek, 60
1070 - Anderlecht",4527028,,Oui,,4,Non,Non,Oui,Non,,,,,,763 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,15 m²,,,,,,,
132,Après la signature de l’acte,,,Bon,2,,,,120 m²,46 m²,,Équipée,16 m²,2,16 m²,11 m²,,,1,1,,,,Non,,Connecté,Oui,,,18 m²,,590 kWh/m²,G,20210902-0000594934-01-1,118 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,275.000 €,"Avenue d'Itterbeek, 60
1070 - Anderlecht",4489859,,Non,,1,Non,Oui,Oui,Non,,25 m²,,,,550 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
