,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Salles de douche,Surface de bureau,Bureau,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Adresse,Site internet,Visite virtuelle,Immeuble de rapport,Disponible le,Toilettes,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Piscine,Largeur de la façade à rue,Surface de la cave,Largeur du terrain à rue,Niveau E (performance énergétique globale),Charges mensuelles,Revenu cadastral,Référence externe,Pourcentage loué,Revenu mensuel actuel,Nom de l'agent,Surface de la chambre 5,Attestation as-built,Interphone vidéo,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accès sécurisé / alarme,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Surface constructible totale au sol,Type de construction,Autorisation de lotissement,Jardin,Terrasse,Salon,Surface de l'espace professionnel,Type de zone inondable,Droit d'achat prioritaire possible,Salle à manger,Grenier,Attestation de conformité des citernes à mazout,Buanderie,Description libre du PEB,Nom du bien,Surface du grenier,Isolé,Obligation de construire,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
0,Selon le locataire,ULB Cimetière d'Ixelles,1950,Bon,2,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",295 m²,60 m²,1,Équipée,25 m²,4,45 m²,18 m²,18 m²,12 m²,1,1,25 m²,Oui,Oui,Non,156 m²,Connecté,Oui,18 m²,Sud,12 m²,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",940.000 €,"Rue de l'Escrime 25
1190 - Bruxelles",Lucidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,,,,30 kWh/m²,"Rue Joseph Hazard 35
1180 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,1930,Bon,3,,,Isolé,370 m²,,,Semi-équipée,3 m²,8,,,,,3,3,,,Oui,Non,,Connecté,Oui,79 m²,,6 m²,,465 kWh/m²,G,20201026-0000577242-01-9,93 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,925.000 €,"rue Edison 37
1190 - Bruxelles",4518773,,Non,14 juillet 2021 - 00:00,3,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1925,Bon,1,,,"Zone d'habitat (résidentiel, urbain ou rural)",115 m²,,,,,3,15 m²,15 m²,10 m²,,1,,,,,,80 m²,,,,,,,43 kWh/m²,A,20210531-0000589830-01-5 / 20210531-0000589831-01-3,81 kg CO₂/m²,Non communiqué,Gaz,,,,,279.000 €,"Avenue Louise 390
1050 - Ixelles",,,Oui,,,,,,,6 m,6 m²,6 m,403,20 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,Ixelles,1954,À rafraîchir,2,3,,,150 m²,27 m²,,,,4,,,,,1,,,Non,Oui,,,,,,,5 m²,,356 kWh/m²,G,20210612-0000590603-01-1,70 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,450.000 €,"Rue Gérard 50
1040 - Etterbeek",,,Non,,,,,,,5 m,,,,,1.092 €,764/4990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,,1900,Excellent état,2,,,,,,,Équipée,,7,,,,,7,7,,,,Non,200 m²,Connecté,Oui,,,,,248 kWh/m²,E,2016072600003489150106,53 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,900.000 €,"chaussée de Louvain 490
1380 - Lasne",,,Oui,,7,,,Oui,,,,,,,1.304 €,,100,4365,Saint Remy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,,Bon,2,,,,284 m²,,,Semi-équipée,,6,15 m²,17 m²,15 m²,17 m²,,7,,Oui,,Oui,180 m²,Connecté,Oui,,,42 m²,Nord,228 kWh/m²,E,20110528-0000000956-01-6,74 kg CO₂/m²,Non communiqué,,Oui,,,Zone d'habitat mixte (habitat & activité économique),995.000 €,"rue Émile Feron 153
1060 - St-Gilles",Yuri Moreno,,Oui,,8,,,,,,60 m²,,,,2.585 €,,,,,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,1898,Bon,2,,,,300 m²,,,,,10,,,,,,,,,,Non,285 m²,,,180 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,1.100.000 €,"Chaussée d'Alsemberg 212
1190 - Forest",1699 - 1102,,Oui,,,,,,,,,,,,2.035 €,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,À rénover,2,,,,522 m²,,,,,9,,,,,,,,,,,168 m²,Connecté,Oui,,,,,217 kWh/m²,E,Non communiqué,43 kg CO₂/m²,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",950.000 €,"Rue de Hennin 9
1050 - Ixelles",,,Oui,,,,,,,7.2 m,,7.22 m,,,,,80,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,Bon,2,,,,350 m²,,,Équipée,,5,,,,,,4,,,Oui,Non,117 m²,,Oui,,,,,415 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,1.250.000 €,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",3947 - 1978,,Oui,,5,,,,,,,6.5 m,,,2.181 €,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Après la signature de l’acte,Churchill/Brugmann/Vanderkindere,1910,Fraîchement rénové,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",430 m²,,,Hyper équipée,,6,,,,,5,,,,,Non,280 m²,Connecté,Oui,190 m²,Est,15 m²,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,1.989.000 €,"Rue Engeland 332
1180 - Uccle",,,Oui,,5,,,,,6 m,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,,1900,À rénover,2,,,Urbain,270 m²,,,,,,,,,,,,,Non,,Non,90 m²,Connecté,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,Non,Zone d'habitat mixte (habitat & activité économique),475.000 €,,,,Non,,,Non,Non,Oui,Non,17 m,,,,,,,,,,,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,90 m²,,,,,,,,,,,,,,,,,,,,,,
12,À définir,,,,1,,,,,,,,,10,,,,,,4,,Non,,Non,280 m²,,Oui,1 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,,1.200.000 €,,,,Oui,,4,,,,,,,,,,,,,,,,,,Non,Non,Non,Oui,Non,Non,Non,,,,,,,Non,Non,Non,Oui,,Toutes sortes,Oui,,,,,,,,,,,,,,,,,,,,
13,,,,,4,,,,404 m²,59 m²,,Équipée,,7,,,,,3,1,,,Oui,,9255 m²,Non connecté,,,Sud-est,84 m²,,333 kWh/m²,F,20210604019471,82 kg CO₂/m²,Non communiqué,Mazout,,,,,1.150.000 €,"Chaussee de Marche 488
5101 - Erpent",,,Non,,3,,,,,,,,135332,,2.360 €,,,,,,Non,,,,,,,,,,,,,,,,,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,
14,Après la signature de l’acte,,,Excellent état,2,,,,350 m²,,,,10 m²,,18 m²,14 m²,14 m²,,,,,Non,,,,,,,Sud-ouest,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,1.150.000 €,"Avenue d'Auderghem 198
1040 - Etterbeek",,,Oui,,2,,,,,,,,,160 €,1.482 €,224/8395,,1700,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,
15,Après la signature de l’acte,,,À rénover,2,,,,200 m²,,,,,,,,,,,,,,,,,,,,,5 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,589.000 €,"Chaussée de Vleurgat 293
1050 - Ixelles",4522362,,Oui,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,1890,À rénover,2,,,,300 m²,,,Semi-équipée,,6,,,,,,4,,,,,150 m²,,,60 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,870.000 €,"Square Marie Louise 4/27
1000 - Bruxelles",,,Oui,,,,,,,,,,,,,,,,Immodanou,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
17,Après la signature de l’acte,,1930,Bon,2,,,,150 m²,,,,,5,,,,,,5,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,580.000 €,"Rue Zeyp 17
1083 - Ganshoren",4395567,,Oui,,5,,,,,,,,,,837 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Après la signature de l’acte,,1930,Bon,2,,,,150 m²,,,,,5,,,,,,5,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,580.000 €,"Rue Zeyp 17
1083 - Ganshoren",4381991,,Oui,,5,,,,,,,,,,837 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,1900,,2,,,,500 m²,,,Équipée,,,,,,,,,,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,1.050.000 €,"Rue Faider 11
1060 - St-Gilles",Sébastien TAILLIEU,,Oui,,,,,,,,,,,,5.849 €,,,,6409,,Non,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,
20,Selon le locataire,,,Bon,2,,,,235 m²,,,,,,,,,,,,,,,Non,178 m²,,,90 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,895.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Oui,,,,,,,,,,,,,4274051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,1910,,3,,,,604 m²,,,,,8,,,,,,8,,,,Non,,,,,,,,764 kWh/m²,G,20160129-0000323467-01-2,189 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,1.720.000 €,"Av. Henri Conscience 74
1140 - Evere",9528,,Oui,,10,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,
22,Selon le locataire,,,Excellent état,2,,,,,,,,,4,,,,,1,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,599.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Non,,1,,,,,,,,,,,4244331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Selon le locataire,,1915,Bon,2,,,,350 m²,,,,,2,,,,,2,2,,,Oui,Non,,Connecté,Oui,,,6 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,875.000 €,"rue Louis van Beethoven 25
1070 - Anderlecht",4363947,,Oui,,5,Oui,Non,,,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
24,,,,,2,,,,304 m²,,,,,,,,,,,2,,Oui,Oui,,166 m²,Connecté,Non,,,,,493 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,830.000 €,"Chaussée de Waterloo 33
1060 - St-Gilles",,,Oui,,,,,,,,,,,,,4514948,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,
25,,,1905,,2,,,,480 m²,,,Équipée,,16,,,,,,,,,,Non,300 m²,,,150 m²,,40 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,1.995.000 €,"Square de Meeûs 22B boîte 5
1050 - Bruxelles",VIR0084,,Non,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,
26,,,,Excellent état,2,1,,,,,,,,,,,,,,,,,,,340 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,4.000.000 €,"Place du champ de Mars 5
1050 - Bruxelles",,,Oui,,,,,,,,,,,,,4500393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Après la signature de l’acte,Barrière,,À rénover,2,,,Urbain,304 m²,45 m²,,Pas équipée,,7,,,,,,,,,Oui,Non,114 m²,,Oui,29 m²,Ouest,12 m²,,405 kWh/m²,G,Non communiqué,76 kg CO₂/m²,Non communiqué,Gaz,,,,,650.000 €,"Rue de Tenbosch 85/117
1050 - Ixelles",,,Non,,,,,,,6 m,,6 m,,,,1981 - 2137,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Après la signature de l’acte,Bruxelles (19 communes),1907,Excellent état,2,,,Urbain,260 m²,40 m²,,Hyper équipée,8 m²,5,18 m²,17 m²,9 m²,12 m²,2,1,25 m²,Oui,Oui,Non,318 m²,Connecté,,,,35 m²,,264 kWh/m²,E,Non communiqué,52 kg CO₂/m²,Non communiqué,Gaz,,,,,830.000 €,"Avenue Louis Lepoutre 109
1050 - Ixelles",4528886,,Non,4 octobre 2021 - 00:00,2,Non,Non,Oui,Non,,,,,,,,,,,7 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Selon le locataire,Bruxelles-Sud,2011,Bon,2,,,Isolé,250 m²,90 m²,,Américaine hyper-équipée,,3,40 m²,15 m²,15 m²,,2,2,10 m²,Oui,Oui,Non,,Connecté,Oui,,,45 m²,,127 kWh/m²,C,Non communiqué,25 kg CO₂/m²,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",899.000 €,"Avenue des aubépines 32
1180 - Uccle",,,Non,,3,Non,Non,Oui,,8 m,,,,50 €,1.659 €,4429842,,,,,,,,,,,,,,,,,,,,,,,,250 m²,,,,,,70 m²,Zone non inondable,,,,,,,,,,,,,,,
30,Après la signature de l’acte,,1930,Bon,2,,,,Oui,,,,,,,,,,,,,,,Non,Non connecté,Oui,175 kWh/m²,,,,,D,20201203-0000579177-01-0,34 kg CO₂/m²,Non communiqué,175,Non,Non,,Zone non inondable,1.095.000 €,884 €,,,300 m²,"Place du Châtelain 35
1050 - Ixelles",,,,,,,,,,Gaz,,Non,,,,,,,,,,113 m²,,,,,,,,,,,Non,Non,Non,Oui,,,Non,,,,,Autre type de zone,Non,,,,,,,,,,,,,,
31,Après la signature de l’acte,,1920,Bon,2,,,Urbain,368 m²,,,,,14,,,,,14,14,,,Oui,Non,91 m²,Connecté,Oui,,,,,662 kWh/m²,G,Non communiqué,136 kg CO₂/m²,Non communiqué,Gaz,Oui,,,Zone d'habitat mixte (habitat & activité économique),550.000 €,"Chaussée de Waterloo 276
1060 - Saint-Gilles",,,Oui,,14,Non,Non,Oui,,6 m,,6 m,,,2.764 €,4238212,,,,,,,,,,,,,,,,,,,,,,,,445 m²,,,,,,,Zone non inondable,,,,,,,,,,,,,,,
32,Selon le locataire,,1936,Excellent état,2,,,Urbain,210 m²,,,,,8,,,,,5,3,,,,,,,,13 m²,,23 m²,,249 kWh/m²,E,Non communiqué,49 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,779.000 €,"Rue Abbé Cuypers (étage 1), 3
1040 - Bruxelles",4497976,,Non,6 septembre 2021 - 00:00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Après la signature de l’acte,,1908,Fraîchement rénové,2,,,,192 m²,60 m²,,Américaine hyper-équipée,,3,18 m²,12 m²,12 m²,,3,,,,Oui,Non,170 m²,Connecté,Oui,,,21 m²,,174 kWh/m²,D,Non communiqué,34 kg CO₂/m²,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",645.000 €,"Place Georges Brugmann, 11
1050 - Ixelles",4420515,,Non,31 octobre 2020 - 00:00,3,Non,Oui,Oui,Non,7.35 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,,1899,,2,,,,11 m²,,,,4,1,,,,,16 m²,,,,,Non,Connecté,Oui,382 kWh/m²,,,,,G,20150107-0000265789-01-2,82 kg CO₂/m²,Non communiqué,382,Non,Non,,Zone non inondable,450.000 €,Non,,,150 m²,"Place du Châtelain 35
1050 - Ixelles",,,,,,,,Non,,Gaz,,,,,,,,,,,,66 m²,,,,,,,,,,,Non,Non,Non,Oui,,,Non,,,,,Autre type de zone,Non,,,,,,,,,,,,,,
35,Après la signature de l’acte,,1892,Bon,2,,1,,192 m²,,,Équipée,14 m²,4,15 m²,21 m²,15 m²,15 m²,1,1,,Oui,Oui,Non,240 m²,Connecté,,,,12 m²,,257 kWh/m²,E,Non communiqué,51 kg CO₂/m²,Non communiqué,Gaz,,,,,745.000 €,"Avenue Louis Lepoutre 109
1050 - Ixelles",4389483,,Non,9 juin 2021 - 00:00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,
36,Après la signature de l’acte,,1900,À rafraîchir,2,1,,,170 m²,33 m²,,Équipée,,3,33 m²,14 m²,14 m²,,2,,,,Oui,Non,100 m²,,,,,12 m²,,316 kWh/m²,F,20120521-0000087799-01-5,67 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,570.000 €,"Place Georges Brugmann, 11
1050 - Ixelles",4497154,,Non,31 décembre 2020 - 00:00,3,,,,,,,,,,1.980 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Bruxelles,,Excellent état,2,,28,Urbain,325 m²,,,Américaine hyper-équipée,,4,,,,,2,,,,Oui,,,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,2.500.000 €,"Av. de Tervueren, 37
1040 - Etterbeek",4175390,,Oui,,4,Non,Oui,,,,,,,,4.314 €,,,,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,
38,Après la signature de l’acte,,,À rénover,2,,,,155 m²,15 m²,,,5 m²,5,20 m²,13 m²,15 m²,13 m²,1,1,,,Oui,,,,,,,,,680 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,420.000 €,"Rue Du Postillon 3
1180 - Uccle",,,Non,,2,,,,,6 m,,,,,,4532363,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,Oui,Oui,,,,,,,,,,,,
39,Après la signature de l’acte,,,,2,,,,227 m²,,,Équipée,,3,,,,,2,2,,Non,,Non,122 m²,,Non,53 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,765.000 €,,,,Non,,3,,,,,6 m,,,,,1.224 €,,,,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,
40,,,,À rafraîchir,2,,,,200 m²,18 m²,,,49 m²,4,,,,,4,,,,,Non,95 m²,Non connecté,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Non,Autre type de zone,495.000 €,"Place du Châtelain 35
1050 - Ixelles",,,Non,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,Non,Non,Non,Non,,Immeuble à appartements,Non,,,,,Zone non inondable,Non,,,,,,,,,,,,,,
41,Après la signature de l’acte,,,Fraîchement rénové,2,1,,,190 m²,53 m²,,Américaine hyper-équipée,13 m²,3,20 m²,13 m²,11 m²,,2,,,,,Non,,,,,,25 m²,,118 kWh/m²,C,20111230--0000047716-01-1,24 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,830.000 €,"Rue Hector Denis 47A
1050 - Ixelles",,,Non,,3,,,,,13 m,,,,,,7911 - 9553,,,,,Non,Oui,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Après la signature de l’acte,,,,2,,,,270 m²,40 m²,,Équipée,10 m²,4,18 m²,18 m²,13 m²,13 m²,3,,,Oui,Oui,,72 m²,,,,,,,670 kWh/m²,G,Non communiqué,109 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,625.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Oui,,3,,,,,,,,,,,4533363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Après la signature de l’acte,,1930,À rénover,3,,,,313 m²,,,Équipée,,9,14 m²,14 m²,14 m²,14 m²,8,7,,,Oui,Non,86 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,890.000 €,"AVENUE BRUGMANN 16
1060 - Bruxelles",,,Oui,30 septembre 2020 - 00:00,8,,,,,,,,,,,4162738,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,,1910,Bon,2,,22,,1950 m²,,1,,,,,,,,,,1650 m²,Oui,,Non,,Non connecté,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,Non,,7.300.000 €,"Avenue Louise 404a
1050 - Ixelles",4476912,,Oui,,,Non,Non,Non,Non,17.5 m,,,,,,,,,,,Non,Oui,Non,,Oui,Non,Non,Non,Oui,Non,Oui,,,,,Non,Non,Non,Non,1950 m²,,Non,,,,,,Non,,,Non,,,,,,,,,,,
45,Immédiatement,,,Fraîchement rénové,2,,,,200 m²,,,,,,,,,,,,,Non,,Non,60 m²,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,750.000 €,,,,Oui,,,,,,,,,,,25 €,1.484 €,,100,2900,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,280 m²,,,Pas équipée,,4,,,,,,6,,,Oui,Non,,,,,,,,214 kWh/m²,E,Non communiqué,42 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,800.000 €,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",7962 - 654657732,,Oui,,6,,,,,,,,,,1.812 €,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,À définir,,,Excellent état,,,1,,,,,Hyper équipée,,5,,,,,,2,,,Oui,Oui,,Connecté,Oui,,Sud,,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,,,,1.600.000 €,"Avenue Louise 54
1050 - Ixelles",,,Oui,,4,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Non,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,
48,,,,,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",192 m²,55 m²,,Équipée,,3,,,,,2,1,,,,Non,,,,1 m²,,15 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,645.000 €,"Rue Des Carmélites 88
1180 - Uccle",14937JAMB,,Non,,2,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,Bon,,,,,,,,,,,,,,,,,,,,,185 m²,Non connecté,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,Non,,1.800.000 €,"Avenue Brugmann 181
1190 - Forest",,,Non,,,,,,,,,7.8 m,,,3.054 €,,,,,,,,,,,,,,,,,,,,,,,,,400 m²,,,,,,,,,,,,,,,,,,,,,,
50,Après la signature de l’acte,,1897,Bon,2,1,1,,950 m²,,,Équipée,,,,,,,4,4,240 m²,Oui,Oui,,950 m²,,Oui,,,6 m²,,315 kWh/m²,F,Non communiqué,40 kg CO₂/m²,Non communiqué,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.350.000 €,"Rue de la Grande Haie 24
1040 - Etterbeek",,,Oui,,4,Oui,Oui,,Non,,,,,,7.097 €,4276925,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,580 m²,,Non,,,,,,,,,,,,,,
51,Après la signature de l’acte,,1900,,2,,,,192 m²,,,Équipée,,3,,,,,2,1,,,,Non,,,,,,20 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,645.000 €,"Rue Washington 128b
1050 - Bruxelles",8945 - 1037,,Non,,3,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Selon le locataire,,,À rafraîchir,2,,,,425 m²,,,,,10,,,,,4,,,,,Non,100 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,895.000 €,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,Oui,,,,,,,,,,,,,4517614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Après la signature de l’acte,,,,2,,,Urbain,,,,,,2,,,,,,,,,,,85 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,389.000 €,"Avenue de la Clairière
1000 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
