,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Salon,Salle à manger,Chambres,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Cave,Grenier,Surface du terrain,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Adresse,Nom du bien,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la cave,Surface du grenier,Meublé,Terrain à front de rue,Terrain arrière,Orientation de la terrasse,Attestation as-built,Type de zone inondable,Dressing,Porte blindée,Terrain boisé,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Procédure pour violation de la réglementation urbanistique,Immeuble de rapport,Combien de feux ouverts ?,Surface de la chambre 5,Salles de douche,Surface de bureau,Surface de l'espace professionnel,Nombre d'annexes,Site internet,Terrasse,Référence externe,Attestation de conformité des citernes à mazout,Surface constructible totale au sol,Visite virtuelle,Jardin,Obligation de construire,Quartier ou lieu-dit,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Isolé
10,,,,,,1,,,,Équipée,,Non,1,Non,,Non,,,,,Non connecté,,Oui,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Non,Oui,Non,319.999 €,Non,,LL/300321,,,4,,,,,,,,,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,Non,,,,,,,,,,,,,,,,,,Oui,,Zone non inondable,"Dorpsstraat 34 Bus 1
2590 - Berlaar",,,,,,,,,,,,Oui,Ouest,Oui,,,,,,,,
11,À la livraison,,,,2,,1,,155 m²,,,2,1,,,,,,,144 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,362.991 €,,"Kerkstraat, 38
1755 - Oetingen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,4411930,,,,,,,,,,,,,,,
12,À la livraison,,,,3,,1,,150 m²,,,2,1,,,,,,,150 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,369.761 €,,"Kerkstraat, 38
1755 - Oetingen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,4407962,,,,,,,,,,,,,,,
13,,1935,,5 m,,,,,95 m²,,,2,1,1,,Non,,,,136 m²,Non,5 m,Connecté,Oui,,Sud-ouest,370 kWh/m²,D,20210202-0002367343-KNR-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",230.000 €,,"Broechemlei 24
2520 - Ranst",,,,,,,,,,,,Non,Non,,,Zone non inondable,Non,,Non,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,21934 - 29,,,,,,Oui,Non,,,,,,,,
14,,1935,,10 m,,,,,245 m²,Oui,,6,2,1,,Non,,,,272 m²,Non,10 m,Connecté,Oui,,Sud-ouest,176 kWh/m²,B,20210202-0002367341-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",530.000 €,,"Broechemlei 24
2520 - Ranst",,,,,,,,,,,,Non,Non,,,Zone non inondable,Non,,Non,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,21934,,,,,,Oui,Non,,,,,,,,
15,,1935,,5 m,,,,,150 m²,Oui,,4,1,,,Non,,,,136 m²,Non,5 m,Connecté,Oui,,Sud-ouest,176 kWh/m²,B,20210202-0002367341-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",330.000 €,,"Broechemlei 24
2520 - Ranst",,,,,,,,,,,,Non,Non,,,Zone non inondable,Non,,Non,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,21934 - 31,,,,,,Oui,Non,,,,,,,,
16,Après la signature de l’acte,2003,,11.5 m,4,1,4,Isolé,215 m²,,,3,2,2,,,,,Oui,791 m²,,18 m,,,425 m²,,167 kWh/m²,B,2445737-RES-1,Non communiqué,Non communiqué,,,,,,669.000 €,1.030 €,"Kapelstraat 71
2540 - Hove",,45 m²,Hyper équipée,25 m²,23 m²,22 m²,11 m²,,,,Non,,,,,,,,,40 m²,,,,Oui,,,,,,Oui,,,,,Oui,,Oui,,,Non,,,,,,,4509277,,,,120 m²,,,,Vremde,,,,,,,
17,Après la signature de l’acte,1936,À rénover,5 m,3,4,2,"Zone d'habitat (résidentiel, urbain ou rural)",159 m²,,,3,1,2,,,,Oui,,605 m²,,8 m,,Oui,,Sud-ouest,694 kWh/m²,F,20210924-0002468520-RES-1,Non communiqué,Non communiqué,,,,Non,,395.000 €,827 €,"Lusthovenlaan 39
2640 - Mortsel",,,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Oui,57 - 93363863,,,,Oui,,,,,,,,,
18,À définir,1996,Excellent état,10 m,4,1,5,,,Oui,Oui,3,1,2,Oui,Non,Non,,,1100 m²,Oui,16 m,Connecté,Oui,1100 m²,,224 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,,,Non,,731.000 €,1.602 €,,,,Équipée,,,,,,,82 m²,Non,Non,Non,,,Zone non inondable,Oui,Non,Non,1 m²,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Oui,Villa,Non,Non,,,1,,,,,,,,136 m²,,,,,,,,,,,
19,,2004,Excellent état,,3,,,,250 m²,,,3,2,,,,,,,530 m²,,,,,,,258 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",965.000 €,,"Sint-Katelijnevest 24
2000 - Antwerpen",,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,Oui,,,,,,,Oui,,Non,Non,,,,,,,4520660,Oui,,,,,,,Zuiden van Antwerpen,,,,,,,
