,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Salon,Salle à manger,Chambres,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Cave,Grenier,Surface du terrain,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Adresse,Nom du bien,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la cave,Surface du grenier,Meublé,Terrain à front de rue,Terrain arrière,Orientation de la terrasse,Attestation as-built,Type de zone inondable,Dressing,Porte blindée,Terrain boisé,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Procédure pour violation de la réglementation urbanistique,Immeuble de rapport,Combien de feux ouverts ?,Surface de la chambre 5,Salles de douche,Surface de bureau,Surface de l'espace professionnel,Nombre d'annexes,Site internet,Terrasse,Référence externe,Attestation de conformité des citernes à mazout,Surface constructible totale au sol,Visite virtuelle,Jardin,Obligation de construire,Quartier ou lieu-dit,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Isolé
30,,1981,À rafraîchir,,,1,,,206 m²,,,3,1,2,,Oui,,,,639 m²,Non,32 m,Non connecté,Non,,,379 kWh/m²,D,20210611-0002426370-RES-1,Non communiqué,Non communiqué,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",535.000 €,,"Tramlaan 249
1933 - Sterrebeek",,42 m²,Équipée,14 m²,20 m²,14 m²,8 m²,,,,,Non,Non,,,Zone non inondable,Non,,Non,,,,,,,,,,,,,,,,,,Oui,Toutes sortes,,Non,,,,10 m²,,,729 - Schiemorter,Oui,,,,,,Non,,,,,,,,
31,À rénover,,3,,1,3,,,,,,765 m²,816 kWh/m²,,,,,,,F,,,,,,,20210914-0002459306-RES-1,Non communiqué,Non communiqué,Oui,Non,,Non,Zone non inondable,148.000 €,,,"Korte Lozanastraat 12
2018 - Antwerpen",,,,,,,,,,,,,,,,,254 €,,,,,,,,,,,,,,,,,,,,,,,,Philippe VAN DEN KIEBOOM,,,,,,,,,,,,1,,,,,Non,"nl :
sleutels op kantoor + vrij bezoeken mogelijk op din. 5, 12, 19, 26/10 en 2/11 tssn 16u-18u & op zat. 9, 16, 23 en 30/10 tssn 10u-12u",Après la signature de l’acte,Non,,
32,3,,,,1,4,,,,,,2520 m²,368 kWh/m²,,,,,,,D,,,,,,,20210625-0002433933-RES-1,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,,350.000 €,,,"Van Putlei 13
2547 - Lint",,,,,,,,,,,,,,,,,1.026 €,,,,,,,,,,,,,,,,,,,,,,,,Gilles VAN BOCKRIJCK,,,,,,,,,,,,2,,,,,Non,"nl :
na telefonische afspraak met het kantoor",Après la signature de l’acte,Non,,
33,,2010,Bon,6 m,3,,1,,180 m²,,,3,2,3,,Oui,,,,325 m²,,9 m,,Oui,140 m²,Ouest,158 kWh/m²,B,20210911-0002462927-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",565.000 €,1.590 €,"Antwerpsestraat 292
2640 - Mortsel",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,27 m²,,,,,,,,,,,,,,,,,Oui,,Non,Non,1,,,17 m²,,,10470 - 6979,,,,,,,,,,,,,,1 mai 2022 - 00:00,
34,Après la signature de l’acte,1930,Fraîchement rénové,6.74 m,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",115 m²,,Oui,2,1,1,,,,,,435 m²,Oui,6.74 m,Connecté,Oui,300 m²,Nord-est,452 kWh/m²,E,20140806-0001638146-00000001-0,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",279.000 €,223 €,"Mussenhoevelaan 101
2530 - Boechout",,27 m²,Équipée,13 m²,19 m²,18 m²,,,12 m²,,Non,,,Nord-est,Non,,,,,12 m²,,,,,,,,,,,,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,
35,Après la signature de l’acte,,À rénover,,3,1,2,,225 m²,,,4,1,2,,,,,,612 m²,,,,Oui,,,724 kWh/m²,F,2021033,Non communiqué,Non communiqué,Mazout,,,,,459.500 €,,"Antwerpsestraat 292
2640 - Mortsel",,,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,10449 - 6976,,,,,,,,,,,,,,,
36,À définir,1950,Excellent état,,3,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,2,1,,,Oui,Oui,Oui,,230 m²,Non,,Connecté,Oui,1 m²,,Non communiqué,Non communiqué,20190423-0002153021-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Non,,360.000 €,466 €,,,,Hyper équipée,,,,,,,,Non,Non,Non,,,,Non,Non,Non,1 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Non,,Non,Non,,,,,,,,,,,,,,,,,,,,,,
37,,1953,Bon,,3,1,2,,180 m²,,,4,1,2,,,,,,810 m²,,9 m,,,,Sud-ouest,977 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,,,,,399.900 €,872 €,"Strijdersstraat 8
2650 - Edegem",,26 m²,Équipée,,18 m²,18 m²,15 m²,14 m²,30 m²,,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,1848 - 21-20074,,,"Oui, conforme",,,Oui,,,,,,,,,
38,Après la signature de l’acte,2008,,10 m,3,1,2,,182 m²,,Oui,3,1,,,,,,,427 m²,,21 m,,,285 m²,,218 kWh/m²,C,2473408,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,1.068 €,"Kapelstraat 71
2540 - Hove",,40 m²,,11 m²,29 m²,14 m²,16 m²,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,4521024,Oui,,,,,,,Lint,,,,,,,
39,À définir,1959,,7 m,2,1,2,Isolé,189 m²,,,3,1,,,Oui,,,,365 m²,,7 m,,Oui,236 m²,,173 kWh/m²,B,20210921-0002466948-RES-1,Non communiqué,Non communiqué,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,,"Kapelstraat 71
2540 - Hove",,57 m²,Hyper équipée,,18 m²,14 m²,7 m²,,,60 m²,,,,,,Zone non inondable,,,,35 m²,,,,Oui,,,,,,,,,,,,,,,Non,Non,,,,6 m²,,,4443618,,,,63 m²,,,,,,,,,,1 avril 2022 - 00:00,
40,Après la signature de l’acte,1920,À rénover,32.2 m,4,5,,,266 m²,,,4,2,2,,Oui,,,,2422 m²,,38.1 m,,,,Nord-ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,,,,"Zone d'habitat (résidentiel, urbain ou rural)",840.400 €,1.885 €,"Antwerpsesteenweg, 88
2550 - Kontich",,40 m²,Équipée,19 m²,15 m²,19 m²,20 m²,16 m²,,65 m²,Non,,,,,Zone non inondable,Non,,,,,,,,,,,,,,,,Non,,,,Oui,,,Non,1,,2,16 m²,,,,,U70-L-1518A,Non,,,Oui,Non,,,,,,,,
41,,,,,,1,,,206 m²,,,3,1,2,,Oui,,,,639 m²,Non,32 m,Connecté,Oui,,Nord-ouest,379 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,,,,535.000 €,,"Nijverheidsstraat 48
2570 - Duffel",,42 m²,Équipée,14 m²,20 m²,14 m²,8 m²,,,,,Non,Non,,,Zone non inondable,Oui,,Non,,,,,,,,,,,,,,,,,,Oui,Toutes sortes,,Non,,,,10 m²,,,,,2547/003,,,,Oui,Non,,,,,,,,
42,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,,"Kapelanielaan 9c
9140 - Temse",,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,
43,À définir,,Excellent état,,,,1,,267 m²,,,3,,3,,,,,,605 m²,,,Connecté,Oui,,,135 kWh/m²,B,20210415-0002401838-RES-1,Non communiqué,Non communiqué,Gaz,,,,Zone d'habitat mixte (habitat & activité économique),675.000 €,1.549 €,"Orteliuskaai, 8
2000 - Antwerpen",,,Hyper équipée,,,,,,,,Non,,,,,Zone non inondable,Oui,,,,,,,,,,,,,,,,Non,,,,Oui,,,Non,,,,,,,,Oui,,,,,,,,,,,,,,
44,Après la signature de l’acte,1933,Bon,14 m,3,,5,Urbain,181 m²,,,3,1,2,,Oui,,Oui,,334 m²,,14 m,Connecté,Non,120 m²,,464 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 385.000 €,815 €,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",,31 m²,Américaine hyper-équipée,17 m²,15 m²,13 m²,11 m²,,,,,,,,,Zone non inondable,,,,30 m²,,,Oui,,,,,,,,,,,,,,Oui,,,Non,,,,,,,4520073,,,,,,,,,,,,,,,
45,À définir,,Bon,,,,,,180 m²,,,3,,2,,,,Oui,Oui,416 m²,,,Connecté,Oui,,,273 kWh/m²,C,20210729-0002446251-RES-1,Non communiqué,Non communiqué,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,,"Orteliuskaai, 8
2000 - Antwerpen",,,Équipée,,,,,,,,Non,,,,,Zone non inondable,Non,,,,,,,,,,,,,,,,Non,,,,,,,Non,,,,,,,,Oui,,,,,,,,,,,,,,
46,À définir,2011,Excellent état,12 m,4,,1,,275 m²,Oui,Oui,4,2,3,Oui,Oui,Oui,,Oui,478 m²,Non,,Connecté,Oui,344 m²,Nord-est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,795.000 €,1.596 €,,,,Hyper équipée,20 m²,,,,,,,Non,Oui,Non,,,,Oui,Non,Non,,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,80,Non,Non,Oui,Non,Oui,Toutes sortes,,Non,,,,,,,,Oui,,,,,,,,,,,,,,Oui
47,,2018,Excellent état,,3,,,,326 m²,,,4,2,,,Oui,,,,595 m²,,,,,,,6 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,Non,,795.000 €,1.973 €,"Sint-Katelijnevest 24
2000 - Antwerpen",,,Hyper équipée,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,Oui,,4,,,Oui,,Oui,,Non,Non,,,,,,,4450309,Oui,,,,,,,Zuiden van Antwerpen,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,,"A. Stocletlaan 195
2570 - Duffel",,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Kontich,,,,,,,Non,,,,,,,,
49,,1986,,,,1,,Pays,270 m²,,,5,1,2,,Oui,,,,1591 m²,Non,,Non connecté,Oui,,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.150.000 €,2.040 €,"Molenstraat 10 bus 1
2840 - Reet",,53 m²,,35 m²,17 m²,12 m²,13 m²,12 m²,,25 m²,Non,Non,Non,,,Zone non inondable,Non,,Non,75 m²,Non,Non,Non,Non,Oui,,Non,,,Non,,,,,,,Oui,Toutes sortes,,Non,,10 m²,,8 m²,,,,,Zwarthoutstraat 11,,,,Oui,Non,,,,,,,,
50,,2014,,,2,,,,64 m²,,,1,1,,,,,,,,,,Connecté,Oui,,,284 kWh/m²,C,20141027-0001685559-00000004-6,Non communiqué,Non communiqué,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",189.000 €,,"Provinciale Steenweg 354
2627 - Schelle",,,Hyper équipée,,,,,,,,,,,,,Zone non inondable,,,,8 m²,,,,,,,,,,Oui,,,,,,,Oui,,,Non,,,,,,,4392623,,,,,,,,,,,,,,,
51,1975,4,,,1,Oui,,,,Équipée,2,Oui,2581 m²,,,,,,Oui,1323 kWh/m²,,,,,,,20210810-002449840-RES-1,Non communiqué,Non communiqué,Oui,Non,,Non,Zone non inondable,410.000 €,,,"Leliestraat, 41
2540 - HOVE",,,,1,,,,,,,,,,,,,1.260 €,,,,,,,,,,,,,,,,,,,,,,,,Caroline COX,,,,,,,,F,,,,Oui,,,,,Non,"nl :
vrij te bezichtigen elke zat. van 14u-16u en elke woe. van 13u30-15u30, vanaf woe. 22/9 tem zat. 23/10",Après la signature de l’acte,Non,,
52,Après la signature de l’acte,,,,4,1,4,,478 m²,,,6,2,,,,,,,1585 m²,,,Connecté,Oui,,,168 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",1.350.000 €,,"Sint-Katelijnevest 24
2000 - Antwerpen",,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,4490955,Oui,,,,,,,Zuiden van Antwerpen,,,,,,,
53,Après la signature de l’acte,1965,Bon,6 m,2,2,2,,167 m²,,,3,1,3,,,,,,205 m²,,6 m,,,110 m²,,264 kWh/m²,C,0002464689,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,832 €,"Antwerpsestraat 158
2640 - Mortsel",,30 m²,,8 m²,17 m²,13 m²,7 m²,,,,Non,,,,Non,Zone non inondable,,,,12 m²,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,,,8354 - 18325,,,,,,,,,,,,,
54,,1939,Bon,6 m,2,,,,172 m²,,,4,1,2,,,,Oui,,250 m²,,6 m,,Oui,185 m²,Sud-est,176 kWh/m²,B,2394471,Non communiqué,Non communiqué,Gaz,,,,"Zone d'habitat (résidentiel, urbain ou rural)",299.500 €,495 €,"Antwerpsestraat 292
2640 - Mortsel",,,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,10374 - 7017,,,,,,,,,,,,,,,
55,,1967,Bon,,2,1,2,,162 m²,,,3,1,1,,,,,,177 m²,,,,Oui,,Est,317 kWh/m²,D,01869834,Non communiqué,Non communiqué,Gaz,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,857 €,"Antwerpsestraat 292
2640 - Mortsel",,,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,18 m²,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,10233 - 6903,,,,,,Oui,,,,,,,,15 mars 2022 - 00:00,
56,Après la signature de l’acte,1952,À rafraîchir,7 m,2,1,,,175 m²,,,3,1,1,,,,Oui,,187 m²,,,,,,Sud-ouest,621 kWh/m²,F,20210512-0002414414-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",399.900 €,,"Antwerpsestraat 34
2640 - Mortsel",,,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,34156 - MOR-21-TLA-0,,,,,,Oui,,,,,,,,,
57,Après la signature de l’acte,1956,À rénover,8 m,2,1,,,175 m²,,,4,2,2,,,,,,700 m²,,8 m,,Oui,582 m²,Sud-ouest,1056 kWh/m²,F,2422697,Non communiqué,Non communiqué,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",349.500 €,825 €,"Antwerpsestraat 292
2640 - Mortsel",,,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,9765 - 6579,,,,,,,,,,,,,,,
58,,1963,À rafraîchir,,3,1,2,,165 m²,,,3,1,2,,,,,,323 m²,,14 m,,Oui,268 m²,Nord,444 kWh/m²,E,20210913-0002463344-RES-1,Non communiqué,Non communiqué,Gaz,,,,,349.500 €,,"Antwerpsestraat 292
2640 - Mortsel",,,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,10340 - 6983,,,,,,,,,,,,,,,
59,Après la signature de l’acte,,Bon,25 m,4,,5,,250 m²,,,2,1,2,,,,,,32175 m²,,,,Oui,1775 m²,Sud,353 kWh/m²,D,20210412-0002399241,Non communiqué,Non communiqué,Gaz,,,,Zone agricole,775.000 €,1.429 €,"Antwerpsestraat 292
2640 - Mortsel",,65 m²,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,100 m²,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,10004 - 6744,,,,,,,,,,,,,,,
60,Après la signature de l’acte,,Bon,5 m,2,1,,,145 m²,,,3,2,2,,,,,,150 m²,,5 m,,Oui,55 m²,Sud-ouest,134 kWh/m²,B,2410297,Non communiqué,Non communiqué,Gaz,,,,,379.500 €,,"Antwerpsestraat 292
2640 - Mortsel",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,10453 - 5916,,,,,,,,,,,,,,,
61,Après la signature de l’acte,1930,Bon,,4,,,,394 m²,,,6,2,,,,,Oui,,3820 m²,,,,,,Sud-ouest,606 kWh/m²,F,20210413-0002400899-RES-1,Non communiqué,Non communiqué,Gaz,,,,,1.150.000 €,,"Prins Boudewijnlaaan 318
2610 - Wilrijk",,,Semi-équipée,,,,,,,,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,Oui,,,Non,1,,,,,,,,1824 - 1861,,,,Oui,,,,,,,,,
62,,,À rénover,8 m,2,,,,160 m²,,,3,1,1,,,,Oui,,96 m²,,8 m,,Oui,16 m²,Nord-est,529 kWh/m²,F,Certificaat-20210511-0002413863-RES-1.pdf,Non communiqué,Non communiqué,Gaz,,,,"Zone d'habitat (résidentiel, urbain ou rural)",239.500 €,,"Antwerpsestraat 292
2640 - Mortsel",,,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,16 m²,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,9947 - 6434,,,,,,,,,,,,,,,
63,,,À rénover,6 m,2,,,,190 m²,,,5,1,2,,,,Oui,,235 m²,,6 m,,Oui,135 m²,Sud-ouest,492 kWh/m²,E,20210427-0002407197-RES-1,Non communiqué,Non communiqué,Mazout,,,,"Zone d'habitat (résidentiel, urbain ou rural)",319.500 €,,"Antwerpsestraat 292
2640 - Mortsel",,,Semi-équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,9627 - 6435,,,,,,,,,,,,,,1 août 2021 - 00:00,
64,Après la signature de l’acte,1963,À rafraîchir,,3,1,1,,152 m²,,,3,,,,,,,,240 m²,,,,,,Ouest,345 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,,"Antwerpsestraat 34
2640 - Mortsel",,,,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,36615 - MOR-21-TLA-1,,,"Oui, conforme",,,Oui,,,,,,,,,
65,Après la signature de l’acte,1970,,12 m,3,3,2,,265 m²,,,4,1,2,,,,Oui,,686 m²,,19 m,,,300 m²,Est,399 kWh/m²,D,20200820-0002305814-RES-1,Non communiqué,Non communiqué,,,Oui,Non,,598.000 €,1.401 €,"Bredabaan 433
2930 - Braschaat",,,Hyper équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,,,1532 - 136,"Oui, conforme",,,,,,,,,,,,
66,Après la signature de l’acte,1949,,,2,,,,160 m²,,,3,1,1,,,,,,420 m²,,,,,,Nord-est,158 kWh/m²,B,20210521-0002418308,Non communiqué,Non communiqué,Gaz,,Non,Non,,329.000 €,,"Antwerpsestraat 34
2640 - Mortsel",,,,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,35271 - MOR-21-TLA-0,,,,,,Oui,,,,,,,,,
67,Après la signature de l’acte,1974,Bon,18 m,4,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",195 m²,,Oui,4,1,1,,,,,,2271 m²,Oui,34 m,Connecté,,1255 m²,Nord-ouest,630 kWh/m²,F,20211011-0002470119-RES-2,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",614.000 €,1.819 €,"Mussenhoevelaan 101
2530 - Boechout",,42 m²,Équipée,11 m²,15 m²,11 m²,13 m²,14 m²,,,Non,,,Sud-ouest,Non,,,,,14 m²,,,,,,,,,,,,,,,,,Oui,,Non,,,,,,,,,,,"Oui, conforme",,,,,,,,,,,,
68,Après la signature de l’acte,1973,Bon,7 m,3,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",170 m²,,,3,1,2,,Non,Non,,,348 m²,Non,,,Oui,278 m²,Nord,220 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Non,,379.000 €,1.770 €,,,,,,18 m²,15 m²,7 m²,,,,Non,Non,Non,Ouest,,Zone non inondable,Non,Non,Non,11 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Oui,Toutes sortes,,Non,,,,,,,,,,,,,,,,,,,,,,
69,Après la signature de l’acte,1970,Bon,25 m,4,1,10,Pays,396 m²,,,5,3,4,,,,,,3674 m²,,54.45 m,Non connecté,Non,,,617 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,,,Oui,Zone agricole,1.299.000 €,1.326 €,"Belgïelaan 4
2200 - Herentals",,61 m²,Hyper équipée,16 m²,13 m²,9 m²,14 m²,,,150 m²,,,,,,Zone non inondable,,,,,,,,Oui,,,Oui,,,,,,,,Oui,,Oui,,,Non,,,1,,,,,Oui,4450048,,270 m²,,,,,,,,,,,
70,À définir,1973,Bon,7 m,2,,,,182 m²,,,4,1,2,,Non,Non,,,424 m²,Non,,Connecté,Oui,269 m²,,241 kWh/m²,C,20210812-0002450315-RES-1,Non communiqué,Non communiqué,Gaz,,,,,399.000 €,1.043 €,,,,Équipée,17 m²,16 m²,10 m²,7 m²,11 m²,,,Non,Non,Non,,,Zone non inondable,Non,Non,Non,19 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,,Non,Non,Oui,Non,Oui,Maison bel-étage,,Non,,,,,,,,,,,,,,,,,,,,,,
71,Après la signature de l’acte,2021,,,3,,,,190 m²,,,4,,2,,,,,,520 m²,,,,,450 m²,Sud-est,123 kWh/m²,B,Certificaat-20210908-0002461432-RES-1.pdf,Non communiqué,Non communiqué,,Oui,Non,Non,,550.000 €,,"Antwerpsestraat 34
2640 - Mortsel",,30 m²,,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,38671 - MOR-21-TLA-1,,,,,,,,,,,,,,,
72,Après la signature de l’acte,1972,,9 m,3,,,"Zone d'habitat (résidentiel, urbain ou rural)",180 m²,Oui,,3,1,1,Oui,Non,Non,,,317 m²,Non,9 m,Connecté,Oui,162 m²,,589 kWh/m²,F,20210425-0002406354-res-1,Non communiqué,Non communiqué,Gaz,,,,,349.000 €,1.145 €,,,,,29 m²,17 m²,15 m²,7 m²,,,,Non,Non,Non,,,Zone non inondable,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Oui,Toutes sortes,,Non,,,,,,,,,,,,,,,,,,,,,,
73,Immédiatement,1849,,4 m,1,,,,155 m²,,,3,,,,Non,Non,,,195 m²,Non,,Connecté,Oui,100 m²,,434 kWh/m²,E,20201212-0002349856-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,265.000 €,,,,,,,,,,,,,Oui,Non,Non,,,Zone non inondable,Non,Non,Non,,,,,,,,,,,,,,Non,Non,Non,Non,Oui,Toutes sortes,,Non,,,,,,,,,,,,,,,,,,,,,,
74,Après la signature de l’acte,,Bon,5 m,2,,,,140 m²,,,3,1,1,Oui,Non,Non,,,280 m²,Non,5 m,Connecté,Oui,160 m²,,Non communiqué,Non communiqué,20150820-0001786007-2,Non communiqué,Non communiqué,Gaz,,,,,319.000 €,,,,25 m²,Équipée,20 m²,16 m²,11 m²,20 m²,,10 m²,,Non,Oui,Non,,,,Non,Non,Non,30 m²,,,,,,,,,,,,345,Non,Non,Non,Non,Oui,Toutes sortes,,Non,,,,,,,,,,,,,,,,,,,,,,
75,Après la signature de l’acte,1965,À rafraîchir,7 m,3,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,3,1,2,,Non,Non,,,348 m²,Non,,Connecté,Oui,100 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,325.000 €,,,,,,20 m²,21 m²,11 m²,12 m²,,,,Non,Oui,Non,,,,Non,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,501,Non,Non,Non,Non,Oui,,Non,Non,,,,,,,,,,,,,,Non,,,,,,,,
76,À définir,1970,,,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,3,1,1,Oui,Non,Non,,Oui,198 m²,Non,,,Non,,,291 kWh/m²,C,20210802-0002447299-RES-1,Non communiqué,Non communiqué,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",310.000 €,798 €,,,,,,,,,,,,Non,Non,Non,,Non,Zone non inondable,Non,Non,Non,,,,,,,,,,,,,,Non,Non,Non,Non,Oui,,,Non,,,,,,,,,,Non,,,,,,,,,,,,
77,À définir,,,,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",160 m²,,,3,1,1,,Non,Non,,,214 m²,Non,,,Non,130 m²,Nord-est,Non communiqué,Non communiqué,20130327-0001337999-00000004-5,Non communiqué,Non communiqué,Gaz,,,,,349.000 €,,,,,,,26 m²,19 m²,7 m²,,,,Non,Non,Non,,,Zone non inondable,Non,Non,Non,,,,,,,,,,,,,,Non,Non,Non,Non,Oui,Maison bel-étage,,Non,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,3,,,,Non,,,,382 m²,,7 m,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Autre type de zone,435.332 €,,"Avenue Paul Gilson, 49
1601 - Ruisbroek",,,,,,,,,,,Non,,,,,,Non,,,,,,,,,,,,,,,,Non,,,,Non,,,Non,,,,,,,9698,,,Non,,,,Non,,,,,,,,
