,À partir de,État du bâtiment,Nombre de façades,Salon,Salle à manger,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Grenier,Surface du terrain,Raccordement à l'égout,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Nom de l'agent,Surface habitable,Meublé,Attestation as-built,Type de chauffage,Double vitrage,Site internet,Parkings intérieurs,Largeur du terrain à rue,Surface du jardin,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Pompe à chaleur,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Type d’environnement,Combien de feux ouverts ?,Parkings extérieurs,Visite virtuelle,Surface du salon,Salles de douche,Surface de la terrasse,"Eau, gaz & électricité",Type de zone inondable,Jardin,Orientation du jardin,Année de construction,Largeur de la façade à rue,Surface de la cuisine,Surface de la chambre 5,Surface constructible totale au sol,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Dressing,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Buanderie,Surface de la cave,Surface du grenier,Concierge,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Lieu de la vente,Séance unique,Modalités de visite,Attestation de conformité des citernes à mazout,Droit d'achat prioritaire possible,Mise à prix,Surface de bureau,Permis de bâtir obtenu,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Durée maximale de la rente,Informations supplémentaires,Quartier ou lieu-dit,Disponible le,Isolé,Surface de l'espace professionnel,Obligation de construire,Niveau E (performance énergétique globale)
42,Après la signature de l’acte,Bon,2,,Oui,Américaine équipée,2,1,2,,,118 m²,Connecté,,937 kWh/m²,G,20210907021257,Non communiqué,98892 kWh/an,Faire offre à partir de 230.000 €,829 €,Non,"Avenue du Douaire 56
1340 - Ottignies",,75 m²,Non,,Électrique,Oui,4453400,,5.13 m,118 m²,12 m²,10 m²,,,,,,,Pays,,1,,26 m²,,1 m²,Non,,,,,4.75 m,9 m²,,,,,,,,,,,,,,,,,,,,,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Après la signature de l’acte,,,,,,,,,,,,,,121 kWh/m²,B,RWPEB-078436,Non communiqué,Non communiqué,,,Oui,"Avenue des Combattants 21
1370 - Jodoigne",,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,
44,Après la signature de l’acte,À rénover,2,,Oui,Semi-équipée,3,1,1,,,80 m²,Connecté,,647 kWh/m²,G,20210906016826,Non communiqué,63464 kWh/an,Faire offre à partir de 160.000 €,661 €,Non,"Avenue du Douaire 56
1340 - Ottignies",,120 m²,Non,,,,4499148,,5.96 m,33 m²,12 m²,11 m²,,,,,,,Urbain,,,,24 m²,,8 m²,Non,,,,,4.9 m,8 m²,,47 m²,,,,,Oui,,,,,,,,,,,,,,2 m²,38 m²,,,,,,,,,,,,,,,6 m²,,,,,,,,,,,,,,,,
45,À définir,Excellent état,3,Oui,Oui,,3,1,2,,,550 m²,Connecté,,147 kWh/m²,B,20210723005215,27 kg CO₂/m²,26244 kWh/an,375.000 €,1.575 €,,"Rue Raymond Lebleux
1428 - Lillois",LION Jonathan,160 m²,Non,,Gaz,Oui,,,8.72 m,,22 m²,13 m²,12 m²,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,3,,,,30 m²,Oui,,Oui,Sud,2005,5.79 m,,,,,,,,Oui,,,Oui,,,,Sud,,,,,,Oui,,,,,,,Oui,,,,,,,,,,10 m²,Oui,,,,,,,,,,,,,,,
46,,,,,,Pas équipée,2,1,1,Oui,,300 m²,,Oui,672 kWh/m²,G,20210512018765,Non communiqué,62430 kWh/an,180.000 €,559 €,Non,"Route de Landen 82
4280 - Hannut",,80 m²,Non,Non,,,1009246 - 914,,,,15 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Après la signature de l’acte,À rénover,3,,Pas équipée,10 m²,16 m²,1,5 m²,,,11.79 m,Non,434 kWh/m²,F,20210709005418,107 kg CO₂/m²,68189 kWh/an,"Oui, conforme",560 €,Non,"Place Communale 8
1160 - Auderghem",4404347,,23 m²,1029 m²,Mazout,Oui,Oui,,1,Connecté,Oui,15 m²,8 m²,1,,,Non,Zone non inondable,Faire offre à partir de 275.000 €,Pays,,2,120 m²,Oui,1,,900 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,1874,7 m,3,,Non,,,,,18 m²,,,,,,,,,,,,,,61 m²,Non,,,,,,,,,,,,,Non,,Oui,130 m²,,,,,,,,,,Brabant Wallon,,,,,
48,À la livraison,,,,,,,,,,,,,,74 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Non,"Grand Place 2
1470 - Genappe",,,,,,,4427236,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 décembre 2022 - 00:00,,,,
49,Après la signature de l’acte,À rénover,4,,1,10 m²,31 m²,3,22 m²,Non,,Oui,,414 kWh/m²,E,20210918002470,Non communiqué,Non communiqué,Non,1.142 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",431 - 3391305,,50 m²,4860 m²,Mazout,Oui,495.000 €,,2,,,20 m²,15 m²,13 m²,11 m²,,,,,,Semi-équipée,6,206 m²,Oui,,,Oui,,Sud-ouest,Oui,1940,,5,3,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
50,Après la signature de l’acte,,4,,Oui,Semi-équipée,3,1,1,,,1028 m²,,Oui,574 kWh/m²,G,20210503001562,Non communiqué,Non communiqué,300.000 €,1.108 €,Non,"Chaussée de Mons 14
1400 - Nivelles",,136 m²,Non,"Oui, conforme",Électrique,Oui,181392 - 111114725,1,25 m,,11 m²,10 m²,10 m²,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,3,,33 m²,,,Oui,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,,,1977,,18 m²,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strichon,,,,,
51,Après la signature de l’acte,,4,,Oui,Semi-équipée,3,1,1,,,1028 m²,,Oui,574 kWh/m²,G,20210503001562,Non communiqué,Non communiqué,300.000 €,1.108 €,Non,"Chaussée de Mons 14
1400 - Nivelles",,136 m²,Non,"Oui, conforme",Électrique,Oui,181391 - 111114725,1,25 m,,11 m²,10 m²,10 m²,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,3,,33 m²,,,Oui,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,,,1977,,18 m²,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strichon,,,,,
