,À partir de,État du bâtiment,Nombre de façades,Salon,Salle à manger,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Grenier,Surface du terrain,Raccordement à l'égout,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Nom de l'agent,Surface habitable,Meublé,Attestation as-built,Type de chauffage,Double vitrage,Site internet,Parkings intérieurs,Largeur du terrain à rue,Surface du jardin,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Pompe à chaleur,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Type d’environnement,Combien de feux ouverts ?,Parkings extérieurs,Visite virtuelle,Surface du salon,Salles de douche,Surface de la terrasse,"Eau, gaz & électricité",Type de zone inondable,Jardin,Orientation du jardin,Année de construction,Largeur de la façade à rue,Surface de la cuisine,Surface de la chambre 5,Surface constructible totale au sol,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Dressing,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Buanderie,Surface de la cave,Surface du grenier,Concierge,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Lieu de la vente,Séance unique,Modalités de visite,Attestation de conformité des citernes à mazout,Droit d'achat prioritaire possible,Mise à prix,Surface de bureau,Permis de bâtir obtenu,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Durée maximale de la rente,Informations supplémentaires,Quartier ou lieu-dit,Disponible le,Isolé,Surface de l'espace professionnel,Obligation de construire,Niveau E (performance énergétique globale)
62,Oui,,,4,1,,Oui,Oui,,795 m²,625 kWh/m²,G,,,20210510019453,Non communiqué,85417 kWh/an,"Zone d'habitat (résidentiel, urbain ou rural)",130.000 €,,"Rue des Volontaires, 18
5030 - GEMBLOUX",Laurence ARYS,,,,,,,,,,,,,,,,,,,369 €,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Sur rendez-vous avec Ad Valoris au 010/77.18.77 - MME VREBOS (Tapez 1),Après la signature de l’acte,,,Non,,,,,,,,,,,,,,,,,
63,Après la signature de l’acte,À rénover,3,,,Pas équipée,6,,,,,1210 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,285.000 €,1.271 €,Oui,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",,277 m²,Non,Non,,,,2,,,,,,,,,,,,,,,,,,,,,,1890,1797 m,,,,,,,,,,,,,,,,,,,,350 - 3391282,,83 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Après la signature de l’acte,À rénover,3,,,Pas équipée,6,,,,,1210 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,285.000 €,1.271 €,Oui,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",,277 m²,Non,Non,,,,2,,,,,,,,,,,,,,,,,,,,,,1890,1797 m,,,,,,,,,,,,,,,,,,,,349 - 3391282,,83 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Après la signature de l’acte,Bon,4,,,Équipée,4,1,2,Oui,,359 m²,,,411 kWh/m²,E,20180202000897,102 kg CO₂/m²,Non communiqué,399.000 €,798 €,Non,"Avenue de Burlet 11A
1400 - Nivelles",,206 m²,Non,Non,Mazout,Oui,78413 - B41,1,,,17 m²,15 m²,15 m²,13 m²,,,,,,,,,40 m²,,,Oui,,,,,,30 m²,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,À définir,Bon,,,,13 m²,7 m²,,Oui,Oui,Non,Connecté,Oui,410 kWh/m²,E,20210624012677,Non communiqué,Non communiqué,Mazout,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,40 m²,600 m²,,Non,265.000 €,,1,,Oui,29 m²,29 m²,Non,,Oui,,,,,,1,165 m²,Équipée,,,600 m²,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,À définir,Bon,,,,2,22 m²,,Oui,Non,,Connecté,Oui,Sud-ouest,C,20210719005849,Non communiqué,Non communiqué,Gaz,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,,43 m²,630 m²,,Non,295.000 €,,,,,20 m²,Non,,,Oui,,,,,,1,111 m²,Équipée,,,Oui,,Sud-ouest,Oui,,,,,,,,,2,,,,,,,,251 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,À définir,Bon,,,,15 m²,14 m²,,Oui,Non,,Connecté,Oui,,C,20210922007308,Non communiqué,Non communiqué,Gaz,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,,27 m²,450 m²,,Non,389.000 €,,1,,,13 m²,16 m²,27 m²,Non,Oui,,,,,,1,223 m²,Équipée,2,229 kWh/m²,30 m²,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,À définir,Bon,,,,14 m²,14 m²,,Oui,,Non,Connecté,Oui,,D,20201023012129,Non communiqué,Non communiqué,Mazout,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,,33 m²,1100 m²,,Non,425.000 €,,1,,,12 m²,14 m²,14 m²,Non,Oui,,,,,,1,170 m²,Équipée,1,265 kWh/m²,20 m²,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,À rénover,,,,,5,2,2,Oui,,4395 m²,,,596 kWh/m²,G,20200123012612,Non communiqué,Non communiqué,550.000 €,2.049 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",,,Non,Non,Mazout,,,3,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89 - 3391210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,À définir,Bon,,,,5,Non,,Oui,Oui,Non,Connecté,Oui,,E,20210830026793,Non communiqué,Non communiqué,Électrique,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,,Équipée,3800 m²,,Non,650.000 €,,1,,,,,,,Oui,,,,,,1,203 m²,,,Sud-est,Oui,,Sud-est,30 m²,,,,,,,,,3,,,,,,,,422 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,À définir,Bon,,,,9 m²,21 m²,,Oui,Non,,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,,45 m²,1008 m²,,Non,265.000 €,,1,,,13 m²,Oui,,,Oui,,,,,,1,112 m²,Équipée,1,Sud-est,Oui,,Sud-est,21 m²,,,2,,,,,,1,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Après la signature de l’acte,Bon,4,,,Équipée,3,1,2,,Oui,2052 m²,,,288 kWh/m²,D,20210813005081,Non communiqué,68277 kWh/an,498.000 €,1.536 €,Non,"Rue de Charleroi 31/7
1400 - Nivelles",,237 m²,Non,,Mazout,Oui,4497010,2,,2052 m²,13 m²,20 m²,25 m²,,,,,,,,4,,45 m²,,110 m²,Non,,,,1978,,10 m²,,,Non,Oui,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 m²,,,,,,,,,,,,,,,,
74,Après la signature de l’acte,À restaurer,4,,,,10,6,,,,976 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,725.000 €,,Oui,"rue de la Gendarmerie 1
1380 - Lasne",,604 m²,,,,,4339020,2,,,,,,,,,,,,,12,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Après la signature de l’acte,Bon,4,,,Équipée,3,1,2,Oui,Oui,1208 m²,Connecté,,356 kWh/m²,E,2011006020191,Non communiqué,103951 kWh/an,Faire offre à partir de 350.000 €,1.264 €,Non,"Avenue des Peupliers 18
1495 - VILLERS-LA-VILLE",Kathleen CHARLES,292 m²,,,Mazout,Oui,,3,,762 m²,22 m²,9 m²,9 m²,,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)","Zone d'habitat (résidentiel, urbain ou rural)",1,2,,30 m²,1,,,,,,1985,,19 m²,,,,,,,Oui,,,,,,Non,,,Non,,,,,,,,,,,,,,,,,,,Non,,13 m²,Oui,,,,,,,,,,,,,,,
76,,Bon,4,Oui,Oui,Équipée,3,1,2,,Oui,844 m²,,,Non communiqué,G,20210725002377,Non communiqué,Non communiqué,395.000 €,1.452 €,Non,,,190 m²,Non,,Mazout,Oui,,1,,50 m²,,,,,Non,,,,Pays,1,2,,,1,50 m²,Oui,Zone non inondable,,,1972,13 m,,,,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,,Non,Non,Oui,Villa,,Oui,,,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,
77,,,4,,,,3,1,2,,,1380 m²,,,112 kWh/m²,B,20200206511640,Non communiqué,26452 kWh/an,495.000 €,1.653 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",,188 m²,Non,Non,Gaz,Non,6810 - 1495,1,,700 m²,,,,,Non,,,,,,4,,48 m²,1,20 m²,,,,Sud-ouest,2019,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,Excellent état,4,,Oui,Américaine hyper-équipée,6,2,3,Oui,Oui,1632 m²,Non connecté,,291 kWh/m²,D,20130208014279,Non communiqué,90715 kWh/an,795.000 €,2.451 €,Non,"Brusselsesteenweg, 518
3090 - Overijse",,320 m²,Non,,Mazout,Oui,4495382,1,32 m,1422 m²,17 m²,22 m²,25 m²,18 m²,,,,,,,4,,22 m²,2,40 m²,Non,Zone non inondable,,,1977,17 m,17 m²,13 m²,170 m²,Non,Non,Non,,Oui,,Oui,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,20 m²,,,,,,,,,,,,,,,,
79,Immédiatement,Excellent état,3,,Oui,Semi-équipée,4,2,2,,,800 m²,Connecté,Oui,Non communiqué,Non communiqué,RWPEB-114830,Non communiqué,Non communiqué,Faire offre à partir de 365.000 €,15 €,Non,"Avenue Reine Astrid 65
1300 - Wavre",,150 m²,Non,,,,4496566,,,,12 m²,13 m²,17 m²,25 m²,,,,,,,,,15 m²,2,,Oui,,,,2021,7 m,15 m²,,,,,,,,,,,,,,,,Oui,,,,,,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Après la signature de l’acte,Excellent état,4,,Oui,Équipée,4,1,2,,,1950 m²,,,Non communiqué,F,20210504022260,Non communiqué,Non communiqué,620.000 €,,Non,,,290 m²,Non,,Électrique,Oui,,2,27 m,1000 m²,20 m²,19 m²,19 m²,,Non,,,,,,5,,37 m²,1,15 m²,Oui,Zone non inondable,,Sud,1999,15 m,20 m²,,,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Sud,Non,Non,Oui,Villa,,Oui,16 m²,,Non,Non,Oui,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,
81,Immédiatement,Excellent état,3,,Oui,Semi-équipée,4,2,2,,,800 m²,Connecté,Oui,Non communiqué,Non communiqué,RWPEB-114830,Non communiqué,Non communiqué,Faire offre à partir de 365.000 €,15 €,Non,"Avenue Reine Astrid 65
1300 - Wavre",,150 m²,Non,,,,4495433,,,,12 m²,13 m²,17 m²,25 m²,,,,,,,,,15 m²,2,,Oui,,,,2021,7 m,15 m²,,,,,,,,,,,,,,,,Oui,,,,,,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Après la signature de l’acte,,4,,,,,,,,,792 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,365.000 €,3.139 €,Oui,,,,,,,Non,,,,,,,,,Non,,,,,,,,,,,Non,,,,1989,12 m,,,,,,,,,,,Non,Non,Non,Non,,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Après la signature de l’acte,Bon,3,,,,,,,,,700 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,390.000 €,,Oui,,,215 m²,Non,,,Oui,,,,500 m²,,,,,Non,,,,,,4,,,,,Non,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Après la signature de l’acte,À rénover,2,,Oui,Pas équipée,3,1,1,,,1173 m²,,Oui,262 kWh/m²,D,20210925003758,65 kg CO₂/m²,55442 kWh/an,300.000 €,349 €,Non,"Voie des Curassiers 5
1300 - wavre",,185 m²,Non,,Mazout,Oui,4520943,,24 m,930 m²,24 m²,15 m²,40 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,3,,25 m²,,,Non,,,,1800,,6 m²,,,,,,,,,,,,,,,,,,,,,83 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,Brabant Wallon,,,,,
85,Après la signature de l’acte,Bon,4,,Oui,Semi-équipée,5,1,2,,,1061 m²,Connecté,,296 kWh/m²,D,20210910017935,Non communiqué,72361 kWh/an,385.000 €,,Non,"rue de Thy 50
1470 - Baisy-Thy",,235 m²,,,Mazout,Oui,,1,,,19 m²,14 m²,12 m²,24 m²,,,,,Isolé,,2,,33 m²,,45 m²,Non,Zone non inondable,,,1910,11 m,12 m²,20 m²,89 m²,,,,,,,,,,,,,,,,,4490685,,68 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,À rafraîchir,2,Oui,Oui,,4,1,1,Oui,,405 m²,,Oui,461 kWh/m²,F,20200928026273,Non communiqué,70421 kWh/an,Faire offre à partir de 200.000 €,803 €,Non,"Chaussée de Bruxelles, 553
6210 - LES BONS VILLERS",Maude MICHAUX,,,,Mazout,,,,,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Après la signature de l’acte,Fraîchement rénové,3,,,Équipée,3,2,,,,390 m²,,,142 kWh/m²,B,20210918005124,Non communiqué,Non communiqué,495.000 €,490 €,,"Rue de la Gare 12B
1495 - Marbais",Wuyts julie,215 m²,,,Mazout,Oui,,1,,,17 m²,22 m²,28 m²,,,,,,,,2,,40 m²,,,Oui,,,,,,,,,,,,,Oui,Oui,,,,,Oui,,,,,,,,17 m²,,,,,,,,,,,,,,,,65 m²,,,,,,,,,,,,,,65 m²,,
88,À définir,À rénover,3,,,,7,2,4,,,645 m²,,Oui,398 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Faire offre à partir de 350.000 €,,Non,"rue du Longtry 23
6032 - Mont-sur-Marchienne",,300 m²,Non,,,,,1,,,13 m²,10 m²,13 m²,10 m²,,,,,,,2,,35 m²,3,,,,,,,,,13 m²,,,,,,,,,,,,,,,,,,4407538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,À définir,À restaurer,4,Oui,Oui,,6,1,,Oui,Oui,2280 m²,Connecté,,524 kWh/m²,G,20210420005914,Non communiqué,Non communiqué,590.000 €,798 €,Non,,,,Non,,Mazout,Non,,,,,,,,,Non,,,,,,,,,,,Non,Zone non inondable,,,,,,,,,,,Non,Oui,Oui,Non,Non,Non,Non,Non,,Non,Non,Oui,Toutes sortes,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Après la signature de l’acte,À rafraîchir,3,,,18 m²,25 m²,3,Oui,Non,,Oui,,Oui,E,20210313-0002386578-RES-1,Non communiqué,Non communiqué,Non,2.491 €,Oui,"Alsembergsesteenweg 660
1653 - Dworp",6644 - 3275,,36 m²,320 m²,Électrique,Oui,749.000 €,,1,,,17 m²,12 m²,12 m²,10 m²,,,,,,,,374 m²,Équipée,,,,,,,1978,,5,2,,481 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,À rafraîchir,3,,,18 m²,25 m²,3,Oui,Non,,Oui,,Oui,E,20210313-0002386578-RES-1,Non communiqué,Non communiqué,Non,2.491 €,Oui,"Alsembergsesteenweg 660
1653 - Dworp",6642 - 3275,,36 m²,320 m²,Électrique,Oui,749.000 €,,1,,,17 m²,12 m²,12 m²,10 m²,,,,,,,,374 m²,Équipée,,,,,,,1978,,5,2,,481 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Après la signature de l’acte,Bon,3,,,Équipée,2,1,2,,,1897 m²,,Oui,605 kWh/m²,F,2331917,Non communiqué,Non communiqué,540.000 €,2.610 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",,153 m²,Non,Non,Électrique,Oui,6631 - 3300,,,,18 m²,13 m²,,,,,,,Pays,,3,,44 m²,,,Oui,Zone non inondable,,,1968,,17 m²,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Après la signature de l’acte,Fraîchement rénové,2,,Oui,Semi-équipée,4,1,,,,370 m²,Connecté,,134 kWh/m²,B,20191118-0002218673-RES-1,134 kg CO₂/m²,Non communiqué,354.000 €,820 €,Non,,,176 m²,Non,,Gaz,Non,,,,225 m²,22 m²,22 m²,22 m²,28 m²,Non,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,28 m²,,25 m²,Oui,,,,,65 m,16 m²,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Non,Non,Non,,,,28 m²,,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,Oui,,,,,,,,,,,,,,Non,
94,À définir,Bon,4,,,Équipée,4,1,2,,,668 m²,,,159 kWh/m²,B,2453909,Non communiqué,Non communiqué,525.000 €,1.765 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",,201 m²,Non,Non,Gaz,Oui,6554 - 3288,2,,,20 m²,17 m²,12 m²,9 m²,,,,,,,2,,33 m²,,,Oui,Zone non inondable,,,1989,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 juin 2022 - 00:00,,,,
95,Après la signature de l’acte,À rafraîchir,3,,,18 m²,25 m²,3,Oui,Non,,Oui,,Oui,E,20210313-0002386578-RES-1,Non communiqué,Non communiqué,Non,2.491 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",6492 - 3275,,36 m²,320 m²,Électrique,Oui,749.000 €,,1,,,17 m²,12 m²,12 m²,10 m²,,,,,,,,374 m²,Équipée,,,,,,,1978,,5,2,,481 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Après la signature de l’acte,Excellent état,4,,,5,28 m²,1,Oui,Oui,733 m²,Connecté,Oui,Non,B,20130510007557,Non communiqué,Non communiqué,Gaz,2.668 €,Non,"Chaussée de Mons, 303
1480 - Tubize",12520/116,,65 m²,,,Oui,795.000 €,,1,,,21 m²,20 m²,17 m²,14 m²,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,5,325 m²,Équipée,,,Oui,,Nord-est,Oui,2009,,,3,,Oui,,,,25 m²,,,,,,,,,,,,,25 m²,,,,,118 kWh/m²,,,,,,,,,,,,Oui,,,,,,,,,,,Halle,,,Oui,,
97,Après la signature de l’acte,À rénover,4,,Oui,Pas équipée,4,1,,Oui,,2994 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,410.000 €,627 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",,314 m²,Non,Non,Mazout,Oui,6654 - 3306,,,,15 m²,14 m²,12 m²,11 m²,,,,,,,,,30 m²,,,Oui,Zone non inondable,,,1899,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Après la signature de l’acte,Bon,4,,,,7,2,,,,5498 m²,Connecté,,545 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,1.590.000 €,4.107 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,706 m²,Non,,Gaz,Oui,,,78 m,,,,,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,58 m²,,,Oui,Zone non inondable,,,1953,25 m,35 m²,,,Non,Non,,,Oui,Oui,Non,,,,,,Non,Non,Non,Villa,,,174 m²,,,,Oui,,,,,,,,,,Non,,15 m²,Oui,,,,,,,,,,,,,,,545
99,Après la signature de l’acte,À rafraîchir,4,,Oui,Équipée,2,1,3,Oui,,1513 m²,,,343 kWh/m²,D,2368064,Non communiqué,Non communiqué,799.000 €,3.544 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",,650 m²,Non,Non,Électrique,Oui,6637 - 3261,1,,,20 m²,20 m²,,,,,,,Paysage,,3,,37 m²,1,,Oui,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,À rafraîchir,4,,Oui,Équipée,2,1,3,Oui,,1513 m²,,,343 kWh/m²,D,2368064,Non communiqué,Non communiqué,799.000 €,3.544 €,Oui,"Alsembergsesteenweg 660
1653 - Dworp",,650 m²,Non,Non,Électrique,Oui,6636 - 3261,1,,,20 m²,20 m²,,,,,,,Paysage,,3,,37 m²,1,,Oui,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,Fraîchement rénové,2,,,24 m²,25 m²,2,Oui,Non,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,473 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",6613 - 3305,,20 m²,175 m²,Gaz,Oui,299.000 €,,,,,12 m²,8 m²,1,,,,,,Urbain,,,130 m²,Semi-équipée,,,Non communiqué,,,,1947,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,Excellent état,4,,,Américaine hyper-équipée,6,5,3,,,510 m²,,,133 kWh/m²,B,23027GBH2009/392/EP00180/A073/D01/SD002,Non communiqué,Non communiqué,1.399.000 €,,Non,"Ch. de Waterloo 1354
1180 - Uccle",,420 m²,Non,,Gaz,,,2,,81 m²,30 m²,15 m²,15 m²,13 m²,,,,,,,,,,3,22 m²,,Zone non inondable,,,2010,,,13 m²,,Non,Oui,Non,,,,,,,,,,,,,,4373729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 mai 2021 - 00:00,,,,
103,Après la signature de l’acte,Excellent état,4,,,Hyper équipée,4,1,2,Oui,Oui,1384 m²,Connecté,,580 kWh/m²,F,20210609-00024264403,Non communiqué,Non communiqué,750.000 €,,Non,"Rue du Virginal 83
7090 - Hennuyères",,210 m²,Non,,Gaz,Oui,4499520,,,662 m²,18 m²,16 m²,14 m²,24 m²,,,,,,,2,,55 m²,1,240 m²,Oui,Zone non inondable,,,,7 m,25 m²,,450 m²,Non,Non,Non,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 m²,,,,,,,,,,,,1 septembre 2021 - 00:00,,,,
104,,Excellent état,,,,Équipée,2,1,,,,80 m²,Connecté,,431 kWh/m²,E,2442489-RES-1,Non communiqué,Non communiqué,215.000 €,361 €,Non,"Nieuwstraat 9
9450 - Denderhoutem",,103 m²,Non,,Gaz,Oui,1500 Halle - Beertse,,,,,,,,,Non,Non,Zone d'extension d'habitat,,,,,,,,Oui,Zone inondable potentielle,Oui,Sud,1932,,19 m²,,,,,,Oui,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,Non,,,Oui,,,,,,,,,,,,,,Non,
105,,,3,,,,3,,,,,414 m²,,,501 kWh/m²,E,0001896180,Non communiqué,Non communiqué,309.000 €,756 €,Non,"Volpestraat 18
1500 - Halle",,100 m²,Non,Non,,,2617 -,,,,,,,,,,,,,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,2,,,,2,,,,,100 m²,,,163 kWh/m²,B,1878119,Non communiqué,Non communiqué,285.000 €,745 €,Non,"Volpestraat 18
1500 - Halle",,173 m²,Non,Non,,,2459 -,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,3,,,,4,,,,,570 m²,,,937 kWh/m²,F,210342,Non communiqué,Non communiqué,289.000 €,731 €,Non,"Volpestraat 18
1500 - Halle",,153 m²,Non,Non,,,2591 -,,,,,,,,,,,,,,,,,,,,,,,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,2,,,,2,,,,,60 m²,,,178 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,307.000 €,612 €,Non,"Volpestraat 18
1500 - Halle",,159 m²,Non,Non,,,2599 -,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,3,,,,3,,,,,779 m²,,,466 kWh/m²,E,2103365,Non communiqué,Non communiqué,385.000 €,994 €,Non,"Volpestraat 18
1500 - Halle",,128 m²,Non,Non,,,2601 -,,,,,,,,,,,,,,,,,,,,,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,À rénover,,Oui,Oui,Pas équipée,4,1,,,,115 m²,Connecté,,544 kWh/m²,F,20160527--000186590-4--1,Non communiqué,Non communiqué,275.000 €,,Non,"Edingsesteenweg 91
1755 - Gooik",,200 m²,,,Gaz,Non,P/VW324,,,,,,,,,,Non,,Urbain,,,,,,,Oui,Zone non inondable,,,1930,5.1 m,,,,,,,Non,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,Non,
111,Après la signature de l’acte,Fraîchement rénové,3,Oui,Oui,Semi-équipée,3,1,,Oui,,110 m²,Connecté,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,380.000 €,,Non,,,,Non,,,Oui,,,,,,,,,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,1 m²,Oui,Zone non inondable,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Non,Non,Oui,,,,,,Non,Oui,Non,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
