,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Ascenseur,Permis de bâtir obtenu,Procédure pour violation de la réglementation urbanistique,Référence externe,Disponible le,Largeur de la façade à rue,Type d’environnement,Combien de feux ouverts ?,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Accès sécurisé / alarme,Parkings extérieurs,Salle à manger,Surface de la cuisine,Surface de la chambre 4,Salles de douche,Surface de bureau,Bureau,Grenier,Raccordement à l'égout,Terrasse,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Surface de la terrasse,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Buanderie,Surface de la cave,Surface constructible totale au sol,Obligation de construire,Quartier ou lieu-dit,Salon,Surface de l'espace professionnel,Surface du grenier,Nombre d'annexes,Attestation de conformité des citernes à mazout,Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Mise à prix,Surface de la chambre 5,Pourcentage loué,Revenu mensuel actuel,Isolé
106,Après la signature de l’acte,1956,Excellent état,2,,180 m²,45 m²,,4,1,,Oui,,250 m²,6 m,Oui,,,198 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",429.000 €,1.009 €,Non,"Dorpsstraat 84
2940 - Stabroek",4454649,,Oui,Non,,,6 m,Isolé,,20 m²,13 m²,14 m²,,,,15 m²,14 m²,,,,Oui,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
107,,1981,Excellent état,4,,235 m²,,Équipée,3,1,2,,Non,2155 m²,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,,695.000 €,,Non,,,Non,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,,Oui,,,,,Oui,Oui,Connecté,,Non,Oui,Oui,1 m²,Non,Oui,Non,Oui,Non,Non,Non,2000 m²,,Non,Oui,Non,Non,Non,Oui,,Non,Non,Non,Non,Toutes sortes,Oui,,,,,Oui,,,,,,,,,,,,,,
108,Après la signature de l’acte,1978,Bon,4,,186 m²,52 m²,,3,2,3,,,2042 m²,,Oui,,,299 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",698.000 €,2.496 €,Non,"Dorpsstraat 84
2940 - Stabroek",4500759,,Oui,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,17 m²,12 m²,10 m²,,1,,22 m²,,2,10 m²,Oui,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,À définir,,À rafraîchir,3,1,45 m²,Américaine semi-équipée,18 m²,12 m²,3,Oui,,,Connecté,,25 m²,,,D,20210709-0002438794-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,Non,Non,,780.000 €,Oui,,"Heidestatiestraat 25/1
2920 - Kalmthout",4408100,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,9 m²,8 m²,12 m²,,,,4,2,,,205 m²,,Oui,,,,,334 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450 m²,,,,,
110,,1947,À rénover,,1,,,,5,,,,,3080 m²,,Non,Oui,Est,492 kWh/m²,E,20210525-0002420161-RES-1,Non communiqué,Non communiqué,,Mazout,Non,Oui,Non,Zone non inondable,,895.000 €,,Non,"Britselei, 24
2000 - Anvers",ZEGERSDREEF 34,,,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,,,,,Oui,,Connecté,Oui,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,,Toutes sortes,,,,Non,,Oui,,,,,,,,,,,,,,
111,,2014,,3,,,,,3,1,,,Non,309 m²,,Non,,,Non communiqué,Non communiqué,11008-G-2010/B/122/EP06487/c002/D01/SD001,Non communiqué,Non communiqué,,,Oui,,,,,590.000 €,,Non,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Non,Non,Non,Oui,Non,Non,Non,,,,,,,,,,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,614 m²,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",905.000 €,,Oui,"Britselei, 24
2000 - Anvers",LAGE KAART 332,,Oui,Non,,,,,,,,,,,,,,,,,,Non connecté,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",320.000 €,,Oui,"Britselei, 24
2000 - Anvers",LAGE KAART 332 RECHT,,Oui,Non,,,,,,,,,,,,,,,,,,Non connecté,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",585.000 €,,Oui,"Britselei, 24
2000 - Anvers",LAGE KAART 332 LINKS,,Oui,Non,,,,,,,,,,,,,,,,,,Non connecté,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,1992,À rafraîchir,4,2,230 m²,50 m²,Équipée,4,2,2,,Non,3978 m²,,Oui,,Nord-est,428 kWh/m²,E,20190524-0002162258-RES-1,Non communiqué,Non communiqué,Non,Électrique,Oui,,,Zone d'inondation reconnue,,675.000 €,2.280 €,Non,"Britselei 42
2000 - Antwerpen",10073 - 3596197,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,,,,,,,,,,,,,,,,,,,,,,,,3000 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
