,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Ascenseur,Permis de bâtir obtenu,Procédure pour violation de la réglementation urbanistique,Référence externe,Disponible le,Largeur de la façade à rue,Type d’environnement,Combien de feux ouverts ?,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Accès sécurisé / alarme,Parkings extérieurs,Salle à manger,Surface de la cuisine,Surface de la chambre 4,Salles de douche,Surface de bureau,Bureau,Grenier,Raccordement à l'égout,Terrasse,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Surface de la terrasse,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Buanderie,Surface de la cave,Surface constructible totale au sol,Obligation de construire,Quartier ou lieu-dit,Salon,Surface de l'espace professionnel,Surface du grenier,Nombre d'annexes,Attestation de conformité des citernes à mazout,Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Mise à prix,Surface de la chambre 5,Pourcentage loué,Revenu mensuel actuel,Isolé
131,Après la signature de l’acte,,Excellent état,2,1,165 m²,,Hyper équipée,5,2,2,,Non,311 m²,7 m,Oui,,Sud,231 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",359.000 €,1.060 €,Non,,,Non,Oui,Non,,,7 m,Pays,,22 m²,17 m²,10 m²,Non,,,,9 m²,1,,Non,,Connecté,,Non,Non,Non,4 m²,Non,Non,Non,Non,Non,Non,Oui,188 m²,Sud,Non,Non,Non,Non,Non,Oui,,Non,Oui,Oui,Non,Toutes sortes,,,,,,Oui,,,,,,,,,,,7 m²,,,
132,Après la signature de l’acte,1956,Excellent état,3,,287 m²,20 m²,Hyper équipée,4,2,3,,Non,777 m²,10.44 m,Oui,,,195 kWh/m²,B,2307312,Non communiqué,Non communiqué,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",689.000 €,1.212 €,Oui,"Eikenlei 2
2960 - Brecht / St-Job-in-'t-Goor",4327990,,Oui,,,,9.3 m,Urbain,,12 m²,12 m²,12 m²,,4,Oui,11 m²,30 m²,1,,Oui,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 m²,153 m²,,,,57 m²,,,,,,,,,,,,,
133,Après la signature de l’acte,1989,Bon,4,1,610 m²,110 m²,Américaine hyper-équipée,4,3,5,,Non,3000 m²,30 m,,,,177 kWh/m²,B,2464539-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,Oui,Non,Zone non inondable,Parc résidentiel,965.000 €,7.940 €,Non,"Dr. Roosensplein 47
2930 - Brasschaat",,Oui,Oui,Non,4445765,,23 m,Urbain,,29 m²,24 m²,21 m²,Oui,4,Oui,29 m²,19 m²,,14 m²,Oui,Oui,,Oui,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,440 m²,,Brasschaat-Vriesdonk,,14 m²,,,,,,,,,,,,,
134,,1940,Bon,2,,Oui,,,3,Non,,,Oui,10 m,Connecté,Oui,,,E,20200224-0002252194-RES-1,Non communiqué,Non communiqué,445,,Non,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",699.000 €,1.574 €,Non,"Vrijheid 147
2320 - Hoogstraten",,,Non,Non,Zone non inondable,,,10 m,,,,,,Oui,,5,,,,,,,Oui,Non,Non,,,,,,445 kWh/m²,,,,,,,,,,,,,Gaz,Non,Non,Non,Oui,,,,,,,,,,,,,,,,300 m²,,,,,
135,Après la signature de l’acte,1950,Bon,2,,167 m²,,Équipée,3,1,,,Non,106 m²,6 m,Oui,,,214 kWh/m²,C,20160913-0001894246-1,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,,Non,"Vrijheid 147
2320 - Hoogstraten",,,Oui,Non,,,,,,,,,,,,,,,,,,Connecté,,,,,,,,Non,,,,,,,,,,,,,214,Non,Non,Non,Non,Maison bel-étage,,,,,,,,,,,,,,,,,,,,
136,,2020,Bon,3,,154 m²,27 m²,Équipée,3,2,3,,Non,297 m²,9 m,Oui,,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,,Non,"Bredabaan 661
2930 - Brasschaat",,,Oui,Non,3595,,6 m,,,14 m²,11 m²,10 m²,,,,7 m²,,,,Non,,Connecté,,,,,,,,Non,,,,,147 m²,,,,,,,,,,,,,,,,54 m²,,,,,,,,,,,,,,,,,
137,,,À rénover,2,,320 m²,36 m²,,2,1,2,,Non,454 m²,10.1 m,Non,,Sud-ouest,305 kWh/m²,D,20130316-00001330680-00000001-5,Non communiqué,Non communiqué,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",360.000 €,1.254 €,Non,"Bredabaan 661
2930 - Brasschaat",,,Oui,Non,3549,,10.1 m,,,13 m²,10 m²,,,,,,,,,Non,,Non connecté,,,,,,,,Non,,,,,228 m²,,,,,,,,,,,,,,,,226 m²,,,,,,,,,,,,,,,,,
138,,1972,,2,1,150 m²,,Hyper équipée,3,1,2,,,320 m²,,Oui,,,220 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",429.000 €,,Non,"Handelslei 50
2980 - St Antonius Zoersel",4522302,,Oui,Non,,,,Isolé,,,,,,1,,,,1,,Oui,Oui,Connecté,,,,,25 m²,,,,,,,,270 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,,À rénover,2,,115 m²,,,2,1,,,Non,180 m²,5 m,Oui,,,505 kWh/m²,F,20210915-0002464750-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",245.000 €,379 €,Non,"Vrijheid 147
2320 - Hoogstraten",,,Oui,Non,,,,,,,,,,,Oui,,,,,,,Connecté,Oui,,,,,,,Non,,,,,,,,,,,,,505,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,2022,Excellent état,4,2,640 m²,,Hyper équipée,5,4,,,Non,2920 m²,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,,,,1.970.000 €,,Non,"Heidestatiestraat 53
2920 - Kalmthout",4433331,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,2,,,,,,,,Connecté,,,,,60 m²,,,,,,,,2920 m²,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
141,À définir,2001,Excellent état,4,2,650 m²,51 m²,Américaine hyper-équipée,5,4,4,,Non,2250 m²,40 m,Oui,,,209 kWh/m²,C,2408971,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Zone non inondable,Parc résidentiel,1.975.000 €,6.953 €,Non,"Dr. Roosensplein 47
2930 - Brasschaat",,,Oui,Non,4422164,,24 m,,,23 m²,23 m²,26 m²,Oui,4,Oui,29 m²,25 m²,,16 m²,Oui,,Connecté,Oui,,,Oui,,,,,,,,,,,,,,,Non,,,,,,,,,33 m²,285 m²,,,,16 m²,110 m²,,,,,,,,,110 m²,,,
142,Après la signature de l’acte,1925,,3,,Oui,,,1,1,Oui,360 m²,,797 kWh/m²,,,,,F,20200904-0002311437-RES-1,Non communiqué,Non communiqué,Oui,,,,Non,Zone non inondable,220.000 €,,428 €,Non,"Bredabaan, 75
2930 - BRASSCHAAT",Anita CLAUS,,,Non,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 m²,,,,,
143,,1992,,,,90 m²,29 m²,,2,1,1,,Non,486 m²,6 m,Oui,Oui,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",986.000 €,,Oui,"Bredabaan 859
2930 - Brasschaat",De Tomermaat 56CCCC,,Oui,Non,,,6 m,,,8 m²,6 m²,,,,,7 m²,,,,Non,,Connecté,,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,,,Oui,,90 m²,Non,,,,,,,,,,,,,,,,
144,Après la signature de l’acte,,Fraîchement rénové,2,,215 m²,24 m²,Hyper équipée,4,2,3,,Non,182 m²,,Oui,,Sud-ouest,Non communiqué,Non communiqué,11002-G-2017-177459/EP17537/A001/D01/SD001,Non communiqué,Non communiqué,,Gaz,Non,,,,,550.000 €,,Non,,,Non,Oui,,,,7 m,,,23 m²,16 m²,14 m²,Non,,Oui,28 m²,13 m²,,,Non,,,,Non,Non,Non,28 m²,Oui,Non,Non,Oui,Non,Non,Non,65 m²,Sud-ouest,Non,Non,Non,Non,Non,Oui,57,Non,Non,Non,Non,,Oui,31 m²,,,,,,,,,,,,,,,,,,
145,Après la signature de l’acte,1932,À rénover,3,,2,,,1,1,134 m²,,,Oui,,,,,F,20210605-0002425077-RES-1,Non communiqué,Non communiqué,Gaz,,Non,,Non,Zone non inondable,220.000 €,,406 €,Non,"Bredabaan, 75
2930 - BRASSCHAAT",Rene VAN CAMPEN,,,,,,,,,,,,,,,,,,,,,,,687 kWh/m²,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,Kaaart,,,,,,,,,,92 m²,,,,,
146,,,,,,440 m²,,,3,2,3,Oui,,2500 m²,,Oui,Oui,Sud-ouest,434 kWh/m²,E,202005130002268280RES1,Non communiqué,Non communiqué,,,Non,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.250.000 €,,Non,"Donksesteenweg 212
2930 - Brasschaat",,Non,Oui,,TK/PMB,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,,Oui,,Oui,,,,,Oui,,Connecté,Oui,Non,Non,Non,,Non,,,Non,Non,Non,Non,,,Non,,,,Non,,,,,,,,Oui,,440 m²,Non,,Oui,,,,,,,,,,,,,,
147,Après la signature de l’acte,,,3,1,,,,2,1,1,,,434 m²,,Non,,,588 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,Non,Non,Zone inondable potentielle,Zone d'extension d'habitat,249.500 €,426 €,Non,"Bredabaan 1121
2930 - Brasschaat",4499072,,Oui,Non,,,,,,16 m²,12 m²,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,À définir,1994,Excellent état,4,4,1200 m²,,,5,5,,,Non,8444 m²,,,,,207 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,,,2.475.000 €,,Non,"Heidestatiestraat 53
2920 - Kalmthout",4426793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,2004,Bon,4,,205 m²,,,4,,,,Non,682 m²,,,,,260 kWh/m²,C,20210826-0002456592-RES-1,Non communiqué,Non communiqué,,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",518.000 €,2.040 €,Non,"Hoevensebaan 25
2950 - Kapellen",D2950-21031,,Oui,Non,,,,Urbain,,,,,,,,,,,,,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
