,État du bâtiment,Nombre de façades,Chambres,Bureau,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Année de construction,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Surface de bureau,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Salon,Cave,Terrasse,Nom de l'agent,Surface de la cave,Niveau E (performance énergétique globale),Référence externe,Salles de douche,Grenier,Quartier ou lieu-dit,Dressing,Buanderie,Surface du grenier,Disponible le,Largeur du terrain à rue,Attestation as-built,Surface constructible totale au sol,Visite virtuelle,Isolé,Attestation de conformité des citernes à mazout,Jardin,Nombre d'annexes,Obligation de construire,Combien de feux ouverts ?,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Surface de l'espace professionnel,Nom du bien,Description libre du PEB,Pourcentage loué,Revenu mensuel actuel
15,Bon,2,4,,Non,,200 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,334.000 €,721 €,Non,"Hollebeekstraat 163A
1630 - Linkebeek",4405792,À définir,1930,4 m,,,,140 m²,30 m²,,Américaine équipée,,14 m²,11 m²,11 m²,10 m²,,1,2,,,,,,,150 m²,,20 m²,,,,,,,,,,,,,,,,,,,,,,Non,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),,Oui,,,,,,,Oui,,,,,1 décembre 2021 - 00:00,4 m,"Oui, conforme",66 m²,,,,,,,,,,,,,,,,
16,Excellent état,4,4,Oui,Non,Oui,1384 m²,Connecté,Oui,580 kWh/m²,F,20210609-00024264403,Non communiqué,Non communiqué,Oui,750.000 €,,Non,"Rue du Virginal 83
7090 - Hennuyères",4499523,Après la signature de l’acte,,7 m,,2,,210 m²,55 m²,,Hyper équipée,25 m²,18 m²,16 m²,14 m²,24 m²,,1,2,7 m²,,,,,,662 m²,,240 m²,,,Non,Non,,,,,,,Non,,Gaz,,,,,,,,,,Zone non inondable,,,Oui,,,,,,1,Oui,,,,,1 septembre 2021 - 00:00,,,450 m²,,,,,,,,,,,,,,,,
17,Fraîchement rénové,2,3,Oui,Non,,210 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,359.000 €,,Non,"Claesplein 18
1502 - Lembeek",4448284,À définir,1950,,,,,135 m²,20 m²,Oui,Équipée,14 m²,18 m²,12 m²,19 m²,,,1,,16 m²,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
18,Excellent état,2,3,Non,Non,Non,160 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,285.000 €,380 €,Non,,,,,,,,,,,Oui,Semi-équipée,18 m²,21 m²,14 m²,12 m²,,,1,1,,Non,Non,Non,Non,Oui,150 m²,Ouest,17 m²,Ouest,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Gaz,Non,Non,Non,Oui,,Toutes sortes,,,,Zone non inondable,,Oui,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,,,,,,
19,Bon,2,1,,Non,196 m²,Connecté,Oui,Oui,B,20210806-0001820007-RES-2,Non communiqué,Non communiqué,170,Non,745 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",355,,,1949,,,,,16 m²,Oui,Équipée,16 m²,5,,,,,,19 m²,,,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,,,170 kWh/m²,,Non,Gaz,,,,,,,,,,,,162 m²,,,,,,,,,,,,,,,
20,Fraîchement rénové,3,3,,Non,,452 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,429.000 €,,Non,"Claesplein 18
1502 - Lembeek",4501633,Après la signature de l’acte,1918,,1,,,213 m²,32 m²,,Hyper équipée,30 m²,21 m²,15 m²,9 m²,,,1,2,,,,,,,,,,,,,Oui,,,,,,,,,Gaz,,,,,,,,,,,,,,Oui,,,,,1,,Halle,,,,,,,,,,,,,,,,,,,,,,,
21,Bon,4,3,,,,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,535.000 €,1.978 €,Non,"Claesplein 18
1502 - Lembeek",4432535,,1978,,,,,165 m²,12 m²,Oui,Américaine hyper-équipée,16 m²,13 m²,12 m²,18 m²,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,À rénover,4,2,,,,450 m²,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,299.000 €,,Non,"Claesplein 18
1502 - Lembeek",4506750,,1875,,,,,100 m²,27 m²,Oui,,13 m²,14 m²,16 m²,,,,1,1,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Excellent état,2,3,Non,Non,Non,173 m²,Connecté,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,420.000 €,,Non,,,Après la signature de l’acte,1998,6 m,,1,"Zone d'habitat (résidentiel, urbain ou rural)",,50 m²,,Équipée,15 m²,16 m²,15 m²,32 m²,,,1,2,,Non,Oui,Non,Oui,Oui,75 m²,Sud-ouest,12 m²,Sud-ouest,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Gaz,Non,Non,Non,Non,Oui,Toutes sortes,,Non,Non,Zone non inondable,,,,,,15 m²,,,,,,Non,Oui,12 m²,,6 m,,,,Oui,,,,,,,,,,,,,,
24,Fraîchement rénové,2,4,,Non,,370 m²,,,134 kWh/m²,B,20191118-0002218674-RES_1,Non communiqué,Non communiqué,,354.000 €,,Non,"Rue de Mons 63
1480 - Tubize",,Après la signature de l’acte,,,,,,176 m²,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,4519286,,,,,,,,,,,,,,,,,,,,,,,,,,
