,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Année de construction,Nombre de façades,Salles de bains,Surface de bureau,Bureau,Grenier,Porte blindée,Concierge,Ascenseur,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Adresse,Site internet,Accessible aux personnes avec un handicap,Piscine,Terrasse,Buanderie,Salle à manger,Combien de feux ouverts ?,Droit d'achat prioritaire possible,Lieu de la vente,Séance unique,Mise à prix,Surface du jardin,Attestation de conformité des citernes à mazout,Disponible le,Type d’environnement,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Attestation as-built,Surface constructible totale au sol,Largeur de la façade à rue,Largeur du terrain à rue,Salon,Surface de l'espace professionnel,Nombre d'annexes,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Modalités de visite,Nom de l'agent,Charges mensuelles,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Durée maximale de la rente,Âge du rentier,Niveau E (performance énergétique globale),Obligation de construire,Informations supplémentaires
78,Après la signature de l’acte,Bon,2,,,140 m²,,Hyper équipée,,2,,,,,,,,,Oui,Non,795 m²,,Oui,,,20 m²,,900 kWh/m²,G,20120531022438,Non communiqué,Non communiqué,Mazout,,Oui,340.000 €,,Non,,4,1,,,,,,,,,,,,,"Place des Tilleuls 3
5300 - Andenne",4872 - 19732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
79,Après la signature de l’acte,Excellent état,1,6,,562 m²,42 m²,Américaine équipée,35 m²,6,20 m²,20 m²,16 m²,15 m²,57 m²,,3,4,Oui,Non,1934 m²,Connecté,Non,,,,,203 kWh/m²,C,20200224009463,545 kg CO₂/m²,110419 kWh/an,,,Oui,1.175.000 €,3.971 €,Non,2005,4,3,18 m²,Oui,Oui,,,Non,Oui,Oui,,,,,"Allée du Bois de Bercuit 77
1390 - Grez-Doiceau",,Non,Oui,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,3990044,,562 m²,,,,,,,,,,,,,,,,,,,,,,,
80,Après la signature de l’acte,,,2,,,,Équipée,,3,,,,,,,,2,,,727 m²,,Oui,,,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,365.000 €,,,2021,4,1,,,,,,,,Oui,,,Zone non inondable,,"Rue de l'école 7
5575 - Patignies",Florence Hotton,,,Oui,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,À définir,Bon,1,4,,139 m²,32 m²,Hyper équipée,9 m²,3,24 m²,12 m²,11 m²,,,,1,2,,Non,1633 m²,Connecté,Non,,,,,354 kWh/m²,E,20210726010310,89 kg CO₂/m²,66046 kWh/an,Mazout,,Oui,399.000 €,1.670 €,Non,1985,4,2,,,Oui,,,,,,,Non,Zone inondable potentielle,,"Chaussée de la libération, 3
1390 - Grez-Doiceau",4417994,,,Oui,,,,Non,,,,,,15 février 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,
82,Après la signature de l’acte,Excellent état,,,,139 m²,54 m²,Hyper équipée,,2,15 m²,20 m²,,,,,1,2,Oui,,,,Non,,,16 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,360.000 €,,Non,2019,2,2,,,,,,Oui,,,,,,,"Chaussée de la libération, 3
1390 - Grez-Doiceau",4342104,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Après la signature de l’acte,Bon,1,3,Oui,,,11 m²,4,23 m²,14 m²,10 m²,8 m²,1,,,1,Oui,,578 m²,Oui,,Oui,Nord,13 m²,324 kWh/m²,,D,20210909011146,Non communiqué,45567 kWh/an,Non,Oui,,Faire offre à partir de 350.000 €,1.653 €,Non,"Rue du Bois Paillet 9
1315 - Roux-Miroir",1987,4,,,,,,,,,,,,,,69 - 93363874,,,,,11 m²,Équipée,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Électrique,,,,,,,,,,,,,,,,,,,,,,,,
84,Après la signature de l’acte,,1,2,,145 m²,38 m²,Équipée,14 m²,3,15 m²,12 m²,12 m²,,,,,,,Non,864 m²,,,,,,,297 kWh/m²,D,20180525015004,750 kg CO₂/m²,52739 kWh/an,Mazout,,Oui,Faire offre à partir de 375.000 €,1.797 €,Non,1983,4,1,,,,,,,,,,,,,"Chaussée de Louvain 244
1300 - Wavre",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,41647 - 20042/WAD,Non,,,,,,,,,,,,,,,,,,,,,,,,
85,Après la signature de l’acte,Bon,4,10,,525 m²,57 m²,,,6,27 m²,18 m²,11 m²,13 m²,16 m²,,6,,,,1915 m²,,,,,,,117 kWh/m²,B,2019011801167,Non communiqué,58148 kWh/an,Gaz,,,Faire offre à partir de 999.000 €,,Non,1990,4,6,17 m²,Oui,,,,,,,,,,,"Allée du Bois de Bercuit 77
1390 - Grez-Doiceau",,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,4411118,,,,,,,,,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,À rafraîchir,4,10,,650 m²,,,,5,,,,,,,,4,,,27000 m²,Connecté,Non,,,120 m²,,397 kWh/m²,E,20190429001660,Non communiqué,33654 kWh/an,Mazout,,Oui,3.900.000 €,10.042 €,Non,1972,4,5,,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,,,,"Allée du Bois de Bercuit 77
1390 - Grez-Doiceau",,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4220583,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,Équipée,,4,,,,,,,,,,Non,12000 m²,,,,,,,287 kWh/m²,D,20140416014369,Non communiqué,Non communiqué,,,Oui,1.350.000 €,,Non,,4,2,,,,,,,,,,Non,Zone non inondable,Zone agricole,"Sint-Laurentuisstraat 50D
9130 - Verrebroek",4132 - 4031,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Oui,Non,,,,,,,,,,,,,,,
