,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Année de construction,Nombre de façades,Salles de bains,Surface de bureau,Bureau,Grenier,Porte blindée,Concierge,Ascenseur,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Adresse,Site internet,Accessible aux personnes avec un handicap,Piscine,Terrasse,Buanderie,Salle à manger,Combien de feux ouverts ?,Droit d'achat prioritaire possible,Lieu de la vente,Séance unique,Mise à prix,Surface du jardin,Attestation de conformité des citernes à mazout,Disponible le,Type d’environnement,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Attestation as-built,Surface constructible totale au sol,Largeur de la façade à rue,Largeur du terrain à rue,Salon,Surface de l'espace professionnel,Nombre d'annexes,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Modalités de visite,Nom de l'agent,Charges mensuelles,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Durée maximale de la rente,Âge du rentier,Niveau E (performance énergétique globale),Obligation de construire,Informations supplémentaires
98,Après la signature de l’acte,Excellent état,,,316 m²,35 m²,Hyper équipée,26 m²,4,17 m²,12 m²,16 m²,16 m²,2,,,,Oui,,481 m²,Connecté,Non,300 m²,,,Non,,C,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,320 m²,Non,,"Chée de Nivelles 167
7181 - Arquennes (Nivelles)",,2,5,,136 m²,,,,Non,,Non,,499.000 €,,,4528869,,Oui,252 kWh/m²,,,,,Non,,,,100 m²,,,Pays,,Non,,,,,,,,,,,,,,,,,Non,,,,28 m²,,,,Non,,,,,,,,,,,,,,,
99,Après la signature de l’acte,À rafraîchir,,,,170 m²,44 m²,Semi-équipée,5 m²,2,17 m²,17 m²,,,,,1,1,,Non,270 m²,Non connecté,Non,,,,,373 kWh/m²,E,20210224011715,91 kg CO₂/m²,52173 kWh/an,Mazout,,,Faire offre à partir de 225.000 €,753 €,Non,1900,2,1,,,,,,,,,,Non,,,"Avenue du centenaire 53/4
1400 - Nivelles",4286320,,,Oui,,Oui,,Non,,,,,,,,,15 m²,,,,,,,,,,,,,,,,,110 m²,470 m,,,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,,2,2,,210 m²,52 m²,Équipée,8 m²,4,20 m²,20 m²,12 m²,9 m²,,,,2,Oui,Non,968 m²,,Oui,,Sud,,,374 kWh/m²,E,20210614032637,93 kg CO₂/m²,95766 kWh/an,Mazout,,Oui,405.000 €,1.874 €,Non,1968,4,1,21 m²,Oui,,,,,,,,,Zone non inondable,,"Chaussée de Mons 14
1400 - Nivelles",181387 - 111114721,,,,,Oui,1,,,,,560 m²,,,,,,,,,,,,,,,,,,,,,Non,,,22 m,,,,Thines,,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,À rafraîchir,1,2,,126 m²,28 m²,Équipée,18 m²,3,12 m²,15 m²,6 m²,,,,,1,Oui,Non,953 m²,Connecté,Oui,,,16 m²,,417 kWh/m²,E,20210510018788,103 kg CO₂/m²,48911 kWh/an,Mazout,,Oui,Faire offre à partir de 300.000 €,,Non,1963,3,1,,Oui,,,,,,,,Non,,,"Avenue du centenaire 53/4
1400 - Nivelles",4350627,,,,,,,Non,,,,900 m²,,,,,,37 m²,,,,,,,,,,,,,,,,53 m²,8 m,15.45 m,,,,,Oui,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,Bon,,,225 m²,65 m²,Pas équipée,3,,1,,,,,,,2,Oui,Non,167 m²,Oui,,57 m²,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,300.000 €,2.845 €,Non,"Rue de Namur 93
1400 - Nivelles",1875,2,,,,,,,,,Non communiqué,,,,,2567 - 1081,,,,,,,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,Gaz,,12 m,,,,,,,,,,,,,,,,,,,,,,
103,À définir,À rafraîchir,,,,201 m²,35 m²,Équipée,14 m²,3,11 m²,12 m²,16 m²,,,,,1,Oui,Non,270 m²,Connecté,Oui,,,18 m²,,435 kWh/m²,F,20210608023830,82 kg CO₂/m²,65252 kWh/an,Gaz,,,Faire offre à partir de 325.000 €,,Non,1890,2,1,,,Oui,,,,,,,Non,Zone non inondable,,"Avenue du centenaire 53/4
1400 - Nivelles",4373270,,,,,,,,,,,270 m²,,18 septembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,5.18 m,,,,,,,Non,,,,,,,,,,,,,,,
104,Après la signature de l’acte,Excellent état,1,1,,161 m²,26 m²,Hyper équipée,9 m²,4,11 m²,11 m²,8 m²,23 m²,,,,2,,Non,402 m²,Connecté,Oui,,,32 m²,,129 kWh/m²,B,20160218500635,Non communiqué,20836 kWh/an,Gaz,,Oui,480.000 €,,Non,2015,3,2,,Oui,,,,,,,,Non,Zone non inondable,,"Avenue du centenaire 53/4
1400 - Nivelles",4318176,,,,,,,Non,,,,,,,,,,11 m²,,,,,,,,,,,,,,,,,11 m,,,,,,Oui,Oui,,,,,,,,,,,,,,,
105,,Bon,1,2,,168 m²,34 m²,Équipée,14 m²,3,20 m²,14 m²,,,,,1,2,,Non,602 m²,,Oui,,Sud-est,,,361 kWh/m²,E,20150715015305,Non communiqué,Non communiqué,Électrique,,Oui,,2.253 €,Non,1989,4,,20 m²,Oui,,,,,,,,,Zone non inondable,,"Chaussée de Mons 14
1400 - Nivelles",181394 - 111114497,,,Oui,,Oui,,,,,,258 m²,Non,,,,,,,,,,,,,,,,,,,,Non,,9 m,15 m,,,,,,,,,,350.000 €,40.000 €,900 €,Oui,Non,Non,1,17 ans,72,,,
106,Après la signature de l’acte,Excellent état,1,10,761 m²,50 m²,Oui,30 m²,5,44 m²,28 m²,28 m²,25 m²,20 m²,5,,,17 m²,,26769 m²,40 m,,4200 m²,,,Non,,B,20210402022101,Non communiqué,126191 kWh/an,Mazout,Oui,,Oui,Non,,"Chée de Nivelles 167
7181 - Arquennes (Nivelles)",,4,5,Oui,40 m²,,,,Oui,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.250.000 €,4530051,,,167 kWh/m²,,,Américaine hyper-équipée,,,,,,100 m²,,,,,35 m²,Non,,,,,,,,,,,Oui,,,,,Zone non inondable,,Non,,,,Seneffe,761 m²,,,,,,,,,,,,,,,,
107,Après la signature de l’acte,Excellent état,1,2,242 m²,25 m²,Hyper équipée,14 m²,5,14 m²,10 m²,9 m²,18 m²,9 m²,2,,,8 m²,Non,1140 m²,11.89 m,,,,20 m²,171 kWh/m²,,C,20211009006300,31 kg CO₂/m²,45424 kWh/an,Non,Oui,,Faire offre à partir de 480.000 €,2.055 €,Non,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",1978,2,3,Oui,Oui,,,,,,,,,,,3748 - 650262,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,Gaz,,,909 m²,,,,,,,,,,,,,,,,,,,,,
108,Après la signature de l’acte,Excellent état,1,2,194 m²,31 m²,Hyper équipée,11 m²,5,10 m²,16 m²,16 m²,16 m²,18 m²,2,,,Oui,364 m²,,Connecté,Oui,40 m²,,,Oui,,B,RWPEB-007517.19,Non communiqué,21045 kWh/an,Gaz,Oui,,Zone non inondable,Non,,"Chaussée Bara, 148
1420 - Braine L'Alleud",2013,2,3,,,,,,,96 kWh/m²,,,,485.000 €,,4273227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,Bon,1,1,,120 m²,27 m²,Équipée,11 m²,3,13 m²,12 m²,11 m²,,,,,2,,Non,125 m²,,Oui,,,,,196 kWh/m²,C,20120426023155,49 kg CO₂/m²,Non communiqué,Mazout,,Oui,285.000 €,1.321 €,Non,1974,2,1,,,,,,,,,,,,,"Avenue de Burlet 11A
1400 - Nivelles",78231 - CV36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,5 m,5 m,,,,,,,,,,,,,,,,,,,,,
110,Après la signature de l’acte,Bon,1,1,,202 m²,29 m²,Équipée,11 m²,3,17 m²,13 m²,12 m²,,,,,2,Oui,Non,410 m²,Connecté,Non,,,21 m²,,384 kWh/m²,E,20210406007275,71 kg CO₂/m²,72996 kWh/an,Gaz,,Oui,Faire offre à partir de 375.000 €,1.626 €,Non,,3,1,9 m²,Oui,,,,Non,,Oui,,Non,Zone non inondable,,"Avenue du centenaire 53/4
1400 - Nivelles",4528344,Non,Non,,,,,Non,,,,410 m²,,,,,,62 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,À définir,Bon,,5,,200 m²,,Équipée,,5,25 m²,10 m²,11 m²,17 m²,14 m²,,,2,,Non,953 m²,,Oui,,,,,289 kWh/m²,D,20191120019262,Non communiqué,70962 kWh/an,Gaz,,Oui,,,Non,1994,4,2,14 m²,Oui,,,,Non,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",4399845,Oui,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m,,,,,,,,,,,,125.000 €,340 €,Non,Non,Non,1,,60,,,
112,Après la signature de l’acte,Fraîchement rénové,1,2,,141 m²,29 m²,Équipée,7 m²,3,15 m²,13 m²,8 m²,,,,1,2,,Non,199 m²,,Oui,,,,,309 kWh/m²,D,20210720014223,Non communiqué,43512 kWh/an,Électrique,,Oui,335.000 €,1.398 €,Non,1974,2,,,,,,,,,,,,,,"Avenue de Burlet 11A
1400 - Nivelles",78271 - N25+CV15,,,Oui,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,7.2 m,,,,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,Bon,,5,,200 m²,,Équipée,,5,25 m²,10 m²,11 m²,17 m²,14 m²,,,2,,Non,953 m²,,Oui,,,,,289 kWh/m²,D,20191120019262,Non communiqué,70962 kWh/an,Gaz,,Oui,Faire offre à partir de 400.000 €,,Non,1994,4,2,14 m²,Oui,,,,Non,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",4501404,Oui,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m,,Oui,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,Excellent état,1,2,189 m²,30 m²,Hyper équipée,12 m²,3,8 m²,15 m²,16 m²,2,,,,,Oui,Oui,,Connecté,Oui,30 m²,,,Oui,,B,RWPEB-007517.17,Non communiqué,21185 kWh/an,Gaz,Oui,,Zone non inondable,1.771 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",2013,2,2,,Oui,336 m²,,,,Oui,100 kWh/m²,,,475.000 €,,4264436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,À rafraîchir,,,,80 m²,27 m²,Équipée,8 m²,2,13 m²,8 m²,,,,,1,1,Oui,Non,124 m²,,Oui,,,,,Non communiqué,Non communiqué,20130709024566,1000 kg CO₂/m²,Non communiqué,Électrique,,Oui,195.000 €,426 €,Non,,2,,,,,,,,,,,,,,"Avenue de Burlet 11A
1400 - Nivelles",78391 - N12,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,5 m,,,,,,,,,,,,,,,,,,,584,,
116,Après la signature de l’acte,Fraîchement rénové,,,,135 m²,60 m²,,,1,,,,,,,,2,Oui,Non,84 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,185.000 €,2.526 €,Non,1900,2,1,,,,,,,,,,,,,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",3714 - 650231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,Bon,,,,210 m²,30 m²,Équipée,11 m²,4,42 m²,20 m²,18 m²,11 m²,,,,3,Oui,Non,280 m²,Connecté,Oui,,,35 m²,,270 kWh/m²,D,20211001007688,68 kg CO₂/m²,48622 kWh/an,Mazout,,Oui,300.000 €,904 €,Non,,3,3,,Oui,,,,,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",4520914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,Bon,,,,260 m²,39 m²,Équipée,15 m²,4,17 m²,14 m²,14 m²,30 m²,,,,,,,4900 m²,,,,,,,379 kWh/m²,E,20210227003713,93 kg CO₂/m²,Non communiqué,Mazout,,Oui,795.000 €,564 €,,,4,2,,Oui,,,,,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)","Rue de Saintes 11/3
1400 - Nivelles",,,,Oui,Oui,,,,,,,,,,,,16 m²,36 m²,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Après la signature de l’acte,Fraîchement rénové,,4,,180 m²,39 m²,Équipée,11 m²,4,27 m²,16 m²,15 m²,11 m²,,,,2,,Non,652 m²,Connecté,Non,,,,,255 kWh/m²,C,20210408025437,64 kg CO₂/m²,48832 kWh/an,Mazout,,Oui,Faire offre à partir de 375.000 €,1.588 €,Non,1976,4,2,18 m²,Oui,Oui,,,Non,,,,Non,Zone non inondable,,"Avenue du centenaire 53/4
1400 - Nivelles",4501411,Oui,Non,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Après la signature de l’acte,Excellent état,,,219 m²,33 m²,Équipée,20 m²,4,28 m²,14 m²,14 m²,14 m²,14 m²,2,,,28 m²,Non,390 m²,6 m,,220 m²,,36 m²,Oui,,D,20210618009643,52 kg CO₂/m²,Non communiqué,Non,Oui,,389.000 €,783 €,Non,"Avenue de Burlet 11A
1400 - Nivelles",,2,3,Oui,Oui,,,,,,283 kWh/m²,,,,,78165 - N01+cv31,,,,,,,,,,,,Nord-est,,,,,,,,,,,,,,,,,,,,,Gaz,,6 m,Oui,,,,,,,,,,,,,,,,,,,,,
121,À définir,Excellent état,1,5,,200 m²,31 m²,Hyper équipée,15 m²,3,21 m²,19 m²,17 m²,,,,,2,,Non,928 m²,Connecté,Non,,,50 m²,,260 kWh/m²,D,20200929023508,11 kg CO₂/m²,51446 kWh/an,Pellets,,Oui,Faire offre à partir de 400.000 €,907 €,Non,1990,4,2,,Oui,Oui,,,Non,,Oui,,Non,Zone non inondable,,"Avenue du centenaire 53/4
1400 - Nivelles",4400797,Oui,Non,,,,,Non,,,,,,,,,2 m²,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
122,Après la signature de l’acte,À rafraîchir,,,,512 m²,,Équipée,,11,8 m²,8 m²,14 m²,7 m²,10 m²,,7,,Oui,Non,340 m²,,,,,20 m²,,318 kWh/m²,D,20210314008252,58 kg CO₂/m²,36606 kWh/an,Gaz,,,Faire offre à partir de 600.000 €,4.291 €,Oui,,2,7,,,,,,,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",4303839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146 m²,8 m,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,Bon,1,,312 m²,32 m²,1,16 m²,6,60 m²,21 m²,17 m²,17 m²,16 m²,1,,,,,2050 m²,18 m,,1830 m²,,,Oui,,C,20210610003049,35 kg CO₂/m²,Non communiqué,Non,Oui,,650.000 €,1.792 €,Non,"Avenue de Burlet 11A
1400 - Nivelles",1935,2,16 m²,Oui,Non,,,,,,190 kWh/m²,,,,,78074 - N04+CV30,,,,,,,Équipée,,,,,60 m²,,,,,,,,,,,,,,,,,,,,,Gaz,,11 m,Oui,,,,,,,,,,,,,,,,,,,,,
124,À définir,Excellent état,4,4,,500 m²,75 m²,,,7,,,,,,,,,Oui,,10550 m²,Non connecté,Non,,,200 m²,,452 kWh/m²,F,20190608001124,112 kg CO₂/m²,220504 kWh/an,Mazout,,Oui,1.495.000 €,1.779 €,Non,1880,4,7,43 m²,Oui,Oui,,,Non,,Oui,,,,,"Chaussée de Mons, 303
1480 - Tubize",12272/116,,Oui,,,,1,,,,,10200 m²,,,,,,,,,,,,,,,,,,,,,,,46 m,,,43 m²,,,,,,,,,,,,,,,,,310,,
125,À définir,Excellent état,4,4,,500 m²,75 m²,,,7,,,,,,,,,Oui,,10550 m²,Non connecté,Non,,,200 m²,,452 kWh/m²,F,20190608001124,112 kg CO₂/m²,220504 kWh/an,Mazout,,Oui,1.750.000 €,1.779 €,Non,1880,4,7,43 m²,Oui,Oui,,,Non,,Oui,,,,,"Chaussée de Mons, 303
1480 - Tubize",12274/116,,Oui,,,,1,,,,,10200 m²,,,,,,,,,,,,,,,,,,,,,,,46 m,,,43 m²,,,,,,,,,,,,,,,,,310,,
126,,2,,,,3,,,,Oui,,,,,,,,,Oui,,563 kWh/m²,,,,,,,G,20200224000482,Non communiqué,69108 kWh/an,Oui,,,,,Non,"rue Laurent Delvaux, 25
1400 - Nivelles",,150 m²,,,,105 m²,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,100.000 €,Christophe VAN OUYTSEL,,,,,,,,,Non,Visites par le Service Immobilier Notarial (S.I.N) - Mr Patrick Veltmans : 0475/42.40.39.,681 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,À rénover,,,,,,,,,,,,,,
127,Après la signature de l’acte,Excellent état,3,1,,282 m²,52 m²,Hyper équipée,16 m²,4,24 m²,16 m²,24 m²,30 m²,,,2,2,Oui,,423 m²,Connecté,Oui,,,35 m²,,425 kWh/m²,E,20210426007882,Non communiqué,Non communiqué,,,Oui,Faire offre à partir de 550.000 €,,Non,,4,2,16 m²,Oui,Oui,,,Non,Oui,,Oui,,,,"Place Franklin Roosevelt, 39
6180 - Courcelles",4522264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113 m²,13 m,,,20 m²,,,,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,À rénover,,,,198 m²,,Pas équipée,11 m²,4,17 m²,16 m²,10 m²,10 m²,,,,1,,Non,315 m²,Connecté,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Faire offre à partir de 165.000 €,,Non,,2,1,11 m²,Oui,,,,,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",4372878,,,Oui,,Oui,,,,,,225 m²,,1 juillet 2021 - 00:00,,,20 m²,32 m²,,,,,,,,,,,,,,,,90 m²,3.88 m,4 m,,,,,,,,,,,,,,,,,,,,,
129,Après la signature de l’acte,À rafraîchir,,,,210 m²,15 m²,Pas équipée,,3,20 m²,20 m²,13 m²,,,,,1,Oui,Non,175 m²,Connecté,Non,,,15 m²,,258 kWh/m²,D,20210115003085,65 kg CO₂/m²,53195 kWh/an,Mazout,,Oui,260.000 €,565 €,Non,,2,1,,Oui,Oui,,,,,,,Non,Zone non inondable,,"Avenue du centenaire 53/4
1400 - Nivelles",4258873,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Après la signature de l’acte,Fraîchement rénové,,,,200 m²,,Équipée,,6,26 m²,24 m²,20 m²,19 m²,12 m²,,1,3,Oui,Non,80 m²,Connecté,Oui,,,,,160 kWh/m²,B,20190331002818,30 kg CO₂/m²,36311 kWh/an,Gaz,,Oui,Faire offre à partir de 300.000 €,1.522 €,Non,,3,3,,Oui,Oui,,,Non,,Oui,,Non,Zone non inondable,,"Avenue du centenaire 53/4
1400 - Nivelles",4456006,Non,Non,Oui,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
131,Après la signature de l’acte,,1,1,75 m²,24 m²,Équipée,9 m²,2,13 m²,10 m²,1,,,,,,Oui,Non,572 m²,9 m,,,,,,,G,20210913019352,21539 kg CO₂/m²,75544 kWh/an,Non,Non,Non,240.000 €,1.065 €,Non,"Rue de la Station 45
7090 - Braine-le-Comte",1965,4,1,,,,,,,,,,,,,3755-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,Électrique,,,852 kWh/m²,,,,,,,,,,,,,,,,,,,,,
132,À définir,Excellent état,1,1,66 m²,32 m²,Équipée,5 m²,1,16 m²,Non,,,,,1,,Oui,Non,1300 m²,Connecté,Oui,Oui,Sud,Oui,,Non,E,20131014002725,Non communiqué,Non communiqué,Électrique,Non,Oui,Non,265 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,,,,,,,Non,Non,,Oui,,Zone non inondable,255.000 €,,,,,345 kWh/m²,Sud,,,,Non,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,
133,À définir,À rénover,,,130 m²,33 m²,Semi-équipée,23 m²,3,18 m²,14 m²,6 m²,Non,,,2,,Oui,Oui,120 m²,Connecté,Oui,120 m²,,420 kWh/m²,,,E,20210914011541,Non communiqué,Non communiqué,Gaz,Non,265.000 €,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,,,,Non,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,À définir,Bon,,,112 m²,15 m²,Équipée,31 m²,3,15 m²,15 m²,12 m²,Non,,,2,,Oui,Non,80 m²,Connecté,Oui,14 m²,,,Sud,340 kWh/m²,D,2014224026700,Non communiqué,Non communiqué,Gaz,Non,Oui,215.000 €,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,À rafraîchir,,3,,150 m²,38 m²,Pas équipée,16 m²,3,16 m²,15 m²,14 m²,,,,,,Oui,Non,130 m²,,Oui,,,,,1090 kWh/m²,G,20210216019354,311 kg CO₂/m²,Non communiqué,,,Oui,290.000 €,1.145 €,Oui,,3,,,,,,,,,,,,,,"Avenue de Burlet 11A
1400 - Nivelles",78291 - N06,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,Non,,15 m,21 m,,,,,,,,,,,,,,,,,,,,,
136,Après la signature de l’acte,À rafraîchir,,3,,150 m²,38 m²,Pas équipée,16 m²,3,16 m²,15 m²,14 m²,,,,,,Oui,Non,130 m²,,Oui,,,,,1090 kWh/m²,G,20210216019354,311 kg CO₂/m²,Non communiqué,,,Oui,290.000 €,1.145 €,Non,,3,,,,,,,,,,,,,,"Avenue de Burlet 11A
1400 - Nivelles",77905 - N06,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,Non,,15 m,21 m,,,,,,,,,,,,,,,,,,,,,
137,À définir,Bon,,,70 m²,22 m²,Équipée,13 m²,1,20 m²,Non,,,,,1,,Oui,Non,365 m²,Connecté,Oui,Oui,Sud-ouest,Oui,,,G,20201119002350,Non communiqué,Non communiqué,Non,,Oui,165.000 €,270 €,Non,"Rue de Tubize, 5
1440 - Braine-le-Château",,,,,,,,,,,,,,,,,,,,861 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Après la signature de l’acte,,,,190 m²,30 m²,Oui,4,,2,,,,,,,2,Oui,Non,160 m²,100 m²,,,,,,,C,20210914010108,44 kg CO₂/m²,53836 kWh/an,Non,Non,Non,270.000 €,535 €,Non,"Rue de la Station 45
7090 - Braine-le-Comte",,2,1,,,,,,,,,,,,,3757,,,,241 kWh/m²,,Équipée,,,,,,Oui,,,,,,,,,,,,,,,,Non,Oui,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,
139,À définir,Bon,,,170 m²,52 m²,Équipée,16 m²,3,23 m²,18 m²,17 m²,Oui,,,2,,Oui,Non,895 m²,Connecté,Oui,Oui,Sud-ouest,18 m²,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Oui,425.000 €,2.568 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,Bon,,4,,250 m²,30 m²,Équipée,8 m²,6,9 m²,9 m²,9 m²,9 m²,9 m²,,,5,,Non,161 m²,Connecté,Non,,,,,200 kWh/m²,C,20181018008378,58 kg CO₂/m²,3584 kWh/an,Mazout,,Oui,Faire offre à partir de 700.000 €,2.719 €,Oui,1980,3,5,,,,,,Non,Oui,,,,,,"Rue de Charleroi 31/7
1400 - Nivelles",4496512,Non,Non,,,,,,,,,,,1 décembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,6 m,,,,,,,,,,,,,,,,,,,,,,
141,Après la signature de l’acte,,,2,,115 m²,37 m²,Pas équipée,,3,,,,,,,,,,Non,1455 m²,,,,,,,880 kWh/m²,G,20210831002252,16180 kg CO₂/m²,119741 kWh/an,Gaz,Non,Oui,190.000 €,1.422 €,Non,,3,1,,,,,,,,,,,,,"Rue de la Station 45
7090 - Braine-le-Comte",3749,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
142,À définir,À rénover,2,2,,190 m²,37 m²,Semi-équipée,7 m²,3,12 m²,11 m²,15 m²,,,,,1,Oui,Non,564 m²,Connecté,Oui,,,15 m²,,5446 kWh/m²,G,Non communiqué,56 kg CO₂/m²,Non communiqué,Gaz,,Oui,Faire offre à partir de 269.000 €,1.026 €,Non,1970,4,1,,,Oui,,,,,,,,,,"Rue de Charleroi 31/7
1400 - Nivelles",4359390,,,,,,,,,,,300 m²,,1 décembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,989 m²,,Équipée,,,,,,,,,,,,Non,,,,,,,,425 kWh/m²,E,20190322001997,Non communiqué,38004 kWh/an,Gaz,Non,Non,2.700.000 €,,Non,1970,2,,,,,,,,,,,,,,"Rue du Bois 1
7090 - Hennuyères",999,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,
144,À définir,Bon,,,,,,Hyper équipée,,4,,,,,,Non,,3,,Non,,Connecté,Oui,,,,,391 kWh/m²,E,20210226023120,Non communiqué,Non communiqué,Mazout,Non,Oui,480.000 €,,Non,,,,,,,,,,,,,,,,"Chaussée de Bruxelles 2
1470 - Genappe",,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
