,À partir de,Année de construction,Nombre de façades,Type d’environnement,Surface habitable,Salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface du terrain,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Panneaux solaires,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Surface de la chambre 4,Parkings extérieurs,Surface du salon,Surface de la chambre 5,Type de chauffage,Type de zone inondable,Revenu cadastral,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Parkings intérieurs,Bureau,Cave,Mise à prix,État du bâtiment,Meublé,"Eau, gaz & électricité",Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur du terrain à rue,Buanderie,Terrain plat,Raccordement à l'égout,Niveau E (performance énergétique globale),Dressing,Parlophone,Pourcentage loué,Pompe à chaleur,Obligation de construire,Accès sécurisé / alarme,Piscine,Surface de la cuisine,Grenier,Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Interphone vidéo,Largeur de la façade à rue,Salles de douche,Surface de la cave,Surface du grenier,Surface constructible totale au sol,Disponible le,Combien de feux ouverts ?,Visite virtuelle,Salle à manger,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Type de construction,Espace professionnel,Porte blindée,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Nombre d'annexes,Nom de l'agent,Isolé,Surface de l'espace professionnel,Quartier ou lieu-dit,Date de la vente,Nom du bien,Charges mensuelles
35,À la livraison,2021,3,Pays,145 m²,,Américaine équipée,3,20 m²,7 m²,,1,2,678 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,394.469 €,Non,"Grote Markt 10
2200 - HERENTALS",37407 - NWB-21-DHE-0,Oui,Oui,Non,Non,,,17 m²,,,Zone non inondable,,,,,,,,,,,Non,Oui,Oui,Sud-ouest,Non,,Zone d'extension d'habitat,,,,,20,,,,,,Oui,,10 m²,,,12 m²,,Oui,,785 m,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
36,À définir,,3,,165 m²,Oui,Hyper équipée,3,14 m²,11 m²,11 m²,1,1,200 m²,,187 kWh/m²,B,20210520-0002417690-RES-1,Non communiqué,Non communiqué,Non,Oui,319.000 €,Non,,,Oui,,,,,,,,Gaz,,,,,,,1,Non,Oui,,Excellent état,Non,Oui,,,,,,,Oui,Non,Connecté,,Non,Oui,,Non,,Non,Non,,Oui,,110 m²,Non,Non,Non,,,,,,,1,,Oui,,Non,Non,Non,Toutes sortes,Non,Non,Sud-ouest,Non,Oui,Non,Non,Oui,Non,Non,,,,,,,,
37,Après la signature de l’acte,1975,4,Pays,120 m²,,Équipée,3,15 m²,,,1,1,1432 m²,,857 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Oui,314.000 €,Non,,,Oui,Oui,Non,Non,,3,,,Mazout,Zone non inondable,790 €,,,,,1,Non,Oui,,À rénover,Non,Non,,Sud-est,Non,,Zone agricole,25 m,,Oui,Non connecté,,Non,Non,,Non,,Non,Non,,Oui,1432 m²,,Non,Non,Non,15 m,,,,1432 m²,,,,,,Oui,Non,Oui,,Non,Non,,Non,Non,Non,Non,Oui,Non,Non,1,,,,,,,
38,,1930,3,Urbain,149 m²,,Américaine semi-équipée,3,,,,1,1,1124 m²,Oui,473 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Oui,324.000 €,Non,"Belgïelaan 4
2200 - Herentals",,,,Non,,,4,,,Mazout,Zone non inondable,379 €,4455219,,,,,,Oui,,Bon,,Non,,,,,,22 m,,,Connecté,,,,,,,,,,Oui,,,,,,9 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,À définir,1992,4,,250 m²,,Américaine semi-équipée,4,14 m²,14 m²,18 m²,1,2,1450 m²,Oui,241 kWh/m²,C,20210930-0002470762-RES-1,Non communiqué,Non communiqué,,,490.000 €,Non,"Lange Lobroekstraat 67
2060 - Antwerpen",,Oui,,Non,,14 m²,6,,,,Zone non inondable,,4530873,,,,2,,,,Bon,,Non,,,,,,23 m,,,,,,,,,,,,,Oui,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,À la livraison,2021,2,Urbain,176 m²,,Équipée,3,,,,1,2,269 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,334.000 €,Non,"Grote Markt 10
2200 - HERENTALS",12377 - HER-21-DHE-0,Oui,Oui,Non,Non,,,,,Gaz,Zone non inondable,,,,,,1,,,,,Non,Oui,Oui,Sud-ouest,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,30,,,,,,Oui,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,À la livraison,2021,2,Urbain,176 m²,,Américaine équipée,3,,,,1,2,217 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,329.000 €,Non,"Grote Markt 10
2200 - HERENTALS",12352 - HER-21-DHE-0,Oui,Oui,Non,Non,,,,,Gaz,Zone non inondable,,,,,,1,,,,,Non,Oui,Oui,Sud-ouest,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,30,,,,,,Oui,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,À la livraison,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Graatakker 91
2300 - Turnhout",4210921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Après la signature de l’acte,1947,3,Urbain,141 m²,Oui,,3,,,,1,2,652 m²,Oui,474 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Oui,339.000 €,Non,"Belgïelaan 4
2200 - Herentals",,,,Non,Non,,,,,Gaz,Zone non inondable,,4422866,,,,1,Oui,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",18 m,,,,,,,,,,,,,Oui,,,,Oui,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Après la signature de l’acte,1976,4,,,3,,1,,,,2,Oui,Oui,552 kWh/m²,F,20210224-0002377769-RES-1,Non communiqué,Non communiqué,Oui,,,1.070 €,"Koning Leopoldlaan 59
2260 - WESTERLO",Tinne VOET,,Zone d'inondation reconnue,,,,,,,,,390.000 €,Non,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,1228 m²,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
45,Après la signature de l’acte,1960,3,,168 m²,,Hyper équipée,3,,,,1,1,545 m²,,581 kWh/m²,F,20210513-0002415141-RES-1,Non communiqué,Non communiqué,,Oui,325.000 €,Non,"Markt 30/1
2460 - Kasterlee",3024 - 469,Oui,Non,Non,Non,,2,,,Gaz,Zone non inondable,349 €,,,,,2,,Oui,,Bon,Non,Oui,Oui,Sud-est,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,40 m²,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,À définir,,,,196 m²,,Semi-équipée,4,14 m²,12 m²,12 m²,,2,230 m²,Oui,478 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Oui,269.000 €,Non,"Statiestraat 47
2400 - Mol",,,Non,Non,Non,10 m²,,54 m²,,Gaz,Zone non inondable,647 €,,,,,,,Oui,,Bon,Non,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Connecté,,Non,,,Non,,,,14 m²,Oui,,,,,,,,,,,,,,,,,,,,,,Nord-ouest,,,,,,,,,,,,,,,
47,À définir,,,,155 m²,,Semi-équipée,3,16 m²,14 m²,10 m²,,1,1167 m²,,524 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Oui,299.000 €,Non,"Statiestraat 47
2400 - Mol",,,,,,,,33 m²,,Mazout,Zone non inondable,867 €,,,,,,,Oui,,Bon,Non,Oui,Oui,Est,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Connecté,,Non,,,Non,,,,8 m²,Oui,,16 m²,,,,,,,,,,,,,,,,,,,,Est,,,,,,,,,,,,,,,
48,À définir,,,,149 m²,,Hyper équipée,3,22 m²,16 m²,10 m²,,2,164 m²,Oui,114 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,339.000 €,Non,"Statiestraat 47
2400 - Mol",,Oui,Non,Non,Non,,,32 m²,,Gaz,Zone non inondable,677 €,,,,,,,,,Excellent état,Non,Oui,Oui,Nord,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Connecté,,Non,,,Non,,,,14 m²,Oui,,,,,,,,,,,,,,,,,,,,,,Nord,,,,,,,,,,,,,,,
49,À définir,,,,251 m²,,Équipée,4,19 m²,17 m²,17 m²,,2,1028 m²,Oui,214 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,539.000 €,Non,"Statiestraat 47
2400 - Mol",,,,,,13 m²,,50 m²,,Gaz,Zone d'inondation reconnue,,,,,,1,,Oui,,Bon,Non,Oui,Oui,Nord-est,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Connecté,,Oui,,,Non,,,,32 m²,Oui,,,,,,,,,,,,,,,,,,,,,,Nord-est,,,,,,Oui,,,,,,,,,
