,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Année de construction,Visite virtuelle,Salon,Type de cuisine,Chambres,Salles de bains,Surface du terrain,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Procédure pour violation de la réglementation urbanistique,Adresse,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Toilettes,Buanderie,Bureau,Meublé,Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Site internet,Cave,Grenier,Panneaux solaires,Parkings intérieurs,Surface habitable,"Eau, gaz & électricité",Terrasse,Disponible le,Combien de feux ouverts ?,Surface de bureau,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Accès sécurisé / alarme,Surface de la chambre 4,Surface de la cave,Raccordement à l'égout,Type d’environnement,Salle à manger,Parlophone,Interphone vidéo,Surface constructible totale au sol,Porte blindée,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Nombre d'annexes,Panneaux photovoltaïques,Chauffe-eau commun,Référence externe,Type de construction,Salles de douche,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Surface du grenier,Niveau E (performance énergétique globale),Surface de la chambre 5,Surface de l'espace professionnel,Isolé,Orientation de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Nom de l'agent,Quartier ou lieu-dit
70,,,,À définir,,,,Hyper équipée,4,,993 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,,,Non,Non,"Mechelsesteenweg 35/A
2840 - Rumst",Excellent état,,,,,,,,,Non,2,,,Non,,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",457.100 €,,,,,,,Oui,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,1980,3,,,Non,,,,C,Non communiqué,Non communiqué,Non communiqué,Non,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",,2714_woning,,,,,,,,,,Non,,,Non,,,,,,,,Oui,Oui,419.000 €,Non,,,,,,,202 kWh/m²,,,,,,,,,,,Oui,,,,,,,,Non,Non,Non,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,1980,3,,,Non,,,,C,Non communiqué,Non communiqué,Non communiqué,Non,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",,YD 2707,,,,,,,,,,Non,,,Non,,,,,,,,Oui,Oui,595.000 €,Non,,,,,,,202 kWh/m²,,,,,,,,,,,Oui,,,,,,,,Non,Non,Non,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,2021,,Oui,Équipée,3,1,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,,,,Non,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",,,,,,,,,,Non,2,,Oui,,,,,,,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,2598 JS,,,,1,,Non,Oui,,,,,,,,,,Connecté,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,3,,425 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,,,Non,Non,"Impulsstraat 8
2220 - Heist-op-den-Berg",,7 m,,,,,,,,Non,,,Non,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",312.051 €,,,,,,126 m²,Non,,,,,12.6 m,,,,,,Non connecté,,,,,63 m²,,,Non,Non,Non,Non,,,,NPL 21 / 028,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,1971,137 m²,,3,1,1,15 m,,D,20210528-0002420597-RES-1,Non communiqué,Non communiqué,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,345.000 €,,999436 - 29267788,,,4,,,,,,,,Oui,,,1659 m²,,,Oui,,,,Oui,,830 €,,,Non,,,1,1,,315 kWh/m²,,Hyper équipée,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.000 €,915 €,Oui,Oui,Oui,2,"85, 77","Uitbreidingstraat 84
2600 - Antwerpen",,
76,,,,,1970,248 m²,Équipée,3,Non,Non,Non,,C,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",Zone non inondable,2773 IR - ND,À rafraîchir,,,,,,,,,1,,,Oui,,,,,,Oui,,Oui,Oui,395.000 €,Non,,1705 m²,,,1,Oui,283 kWh/m²,,,,,,,,,,,Non,,,,,,,,Non,Non,Non,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,Après la signature de l’acte,,,Oui,Équipée,2,1,435 m²,,247 kWh/m²,C,20111217-0000992673-00000002-8,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,520 €,Non,Non,"Mechelbaan 500
2580 - Putte",Bon,,4,2,,,,,,Non,2,Oui,Non,Non,Oui,Sud-ouest,Non,Non,Gaz,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",359.000 €,spir1832,,,,1,150 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,1990,,,,4,1,894 m²,,208 kWh/m²,C,20210803-0002446482-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,Non,"Molenstraat 10 bus 1
2840 - Reet",Excellent état,,,,40 m²,15 m²,16 m²,7 m²,32 m²,Oui,1,Oui,Non,Non,Oui,Sud-ouest,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",520.000 €,,,,,1,250 m²,Oui,,,,,,,41 m²,,15 m²,,Connecté,Pays,,,,,,,Non,Non,Non,Non,,,,Grasheideweg 31D - S,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,Immédiatement,1985,,,,4,1,1928 m²,,Non communiqué,Non communiqué,20210615-0002429057-RES-1,Non communiqué,Non communiqué,,,,,,1.194 €,Non,,,,12 m,3,,,,,,,Non,2,,Non,Non,,,,,Gaz,Non,Oui,,,425.000 €,,,,Non,,,Oui,,,,,,,,,,,,,,,,,Non,Non,Oui,Non,Non,Non,,Non,Non,,Toutes sortes,2,,,,,,,,,,,,,,,,,,,,,,,
