,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Année de construction,Visite virtuelle,Salon,Type de cuisine,Chambres,Salles de bains,Surface du terrain,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Procédure pour violation de la réglementation urbanistique,Adresse,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Toilettes,Buanderie,Bureau,Meublé,Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Site internet,Cave,Grenier,Panneaux solaires,Parkings intérieurs,Surface habitable,"Eau, gaz & électricité",Terrasse,Disponible le,Combien de feux ouverts ?,Surface de bureau,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Accès sécurisé / alarme,Surface de la chambre 4,Surface de la cave,Raccordement à l'égout,Type d’environnement,Salle à manger,Parlophone,Interphone vidéo,Surface constructible totale au sol,Porte blindée,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Nombre d'annexes,Panneaux photovoltaïques,Chauffe-eau commun,Référence externe,Type de construction,Salles de douche,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Surface du grenier,Niveau E (performance énergétique globale),Surface de la chambre 5,Surface de l'espace professionnel,Isolé,Orientation de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Nom de l'agent,Quartier ou lieu-dit
90,,,,,1970,,,Équipée,2,1,300 m²,,499 kWh/m²,E,000,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,640 €,Non,,"Schrieksebaan 69
3120 - Tremelo",Bon,5 m,3,,,,,,,,1,,,Non,Oui,Nord-ouest,Non,,Gaz,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",219.000 €,1314218 - 1308320,Oui,,,2,120 m²,Oui,Oui,,,,9 m,,,,,,,Pays,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
91,,,,Après la signature de l’acte,1985,,,Équipée,2,1,1037 m²,,151 kWh/m²,B,20210923-0002467865-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,338 €,Non,Non,"Grote Markt 10
2200 - HERENTALS",Bon,,4,,,,18 m²,9 m²,,,1,,,Non,,,Non,,Pellets,,Oui,,Zone de loisirs,189.000 €,39877 - HER-21-BST-1,,,,,94 m²,Oui,Oui,,,,21 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,Après la signature de l’acte,2005,,,Équipée,1,1,1873 m²,,231 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,866 €,Non,Non,"Grote Markt 10
2200 - HERENTALS",Excellent état,,4,5,,,,,,,2,,,Non,Oui,Ouest,Non,,Gaz,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,38346 - HER-21-PME-0,Oui,,,4,197 m²,,,,,,27.7 m,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,Après la signature de l’acte,2005,,,Équipée,1,1,1873 m²,,231 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,866 €,Non,Non,"Grote Markt 10
2200 - HERENTALS",Excellent état,,4,5,,,,,,,2,,,Non,Oui,Ouest,Non,,Gaz,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,38345 - HER-21-PME-0,Oui,,,4,197 m²,,,,,,27.7 m,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,À la livraison,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,,,,Oui,Non,"Grote Markt 10
2200 - HERENTALS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,Après la signature de l’acte,1983,,,Équipée,6,2,1139 m²,,358 kWh/m²,D,20210526-0002420612-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,Non,"Grote Markt 10
2200 - HERENTALS",Bon,,4,3,,,,,,,2,,,Non,Oui,Sud,Non,"Oui, conforme",Mazout,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",420.000 €,40108 - HER-21-BST-1,Oui,,,2,287 m²,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,Après la signature de l’acte,,,,Équipée,3,1,2530 m²,,408 kWh/m²,E,20211004-0002472345-RES-1,Non communiqué,Non communiqué,Oui,,Non,Zone non inondable,,,Non,,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",Bon,,4,,40 m²,,,,,,2,,,Non,Oui,Nord-ouest,Non,,Mazout,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,39220 - HEI-21-AVC-0,,,,1,283 m²,Oui,,14 avril 2022 - 00:00,,,42 m,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,Selon le locataire,1964,,,Américaine semi-équipée,3,1,2015 m²,,516 kWh/m²,F,20210520-0002417771-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,Non,"Grote Markt 10
2200 - HERENTALS",Bon,,4,,,,,,,,,,,Non,,,Non,,Mazout,,Oui,,Zone industrielle,235.000 €,39039 - HER-21-BST-1,Oui,,,2,132 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,1979,,,,5,2,1003 m²,,253 kWh/m²,C,20150209-0001730156-1 en 20150210-000173,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,1.115 €,Non,Non,"Geneinde 11
2260 - WESTERLO",Bon,,4,,,,,,,,,,,Non,,,,,Mazout,Non,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,VK2021059,,,Non,,317 m²,Oui,Oui,,,,,,,,,,Connecté,,,,,,Non,,,,,,,Non,Non,,,,,,,,253,,,,,,,,,,,,,,,,,,
99,,,,Après la signature de l’acte,1975,,,,3,2,1118 m²,,179 kWh/m²,B,2468052-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,1.160 €,Non,Non,"Geneinde 11
2260 - WESTERLO",Bon,,4,,,,,,,,,,Oui,Non,,,,"Oui, conforme",Mazout,Non,Oui,,Zone agricole,449.000 €,VK2021058,Oui,,Oui,,336 m²,Oui,,,,,,,,,,,Non connecté,,,,,,Non,Oui,,,,,,Non,Non,,,,,,,,179,,,,,,,,,,,,,,,,,,
100,,,,Après la signature de l’acte,2014,,,,2,1,682 m²,,401 kWh/m²,D,2379579,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,1.647 €,Non,Non,"Geneinde 11
2260 - WESTERLO",Fraîchement rénové,,3,1,,,,,,,,,,Non,,,,,Gaz,Non,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,VK2021013,Oui,,Non,,217 m²,Oui,Oui,,,,,,,,,,Connecté,,,,,,Non,,,,,,,Non,Non,,,,,,,,401,,,,,,,,,,,,,,,,,,
101,,,,,,284 m²,,,20 m²,3,71 m,365 kWh/m²,D,20190301-0002136889-RES-1,Non communiqué,Non communiqué,Oui,Villa,Oui,Non,Zone agricole,,Non,"Bergstraat 109
2220 - Heist-op-den-Berg",Zone non inondable,09/0768,Bon,15.5 m,4,5,5,,14 m²,14 m²,24 m²,,Non,,Oui,Non,,160 m²,,,,,Oui,,649.000 €,1.836 €,,Non,,,,100 m²,1200 m²,,,,,Non connecté,Sud-est,Non,Non,14 m²,,Oui,,,Oui,Oui,,Non,,,,,,,,,,Non,,,Non,Non,,,2,,,,,,,,,,,,,,,,,
102,,,,,1980,,,,5,,1165 m²,,167 kWh/m²,B,20110317-0000788892-00000001-0,Non communiqué,Non communiqué,,,Non,Zone non inondable,,,Non,Non,"Bergstraat 109
2220 - Heist-op-den-Berg",,16.3 m,4,,,,,,,,,,Non,Non,,,,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",529.000 €,09/2095,,,,1,400 m²,Non,,,,,30 m,,,,,,Non connecté,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,Après la signature de l’acte,,80 m²,,2,Non,1,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Non,Zone résidentielle récréative,,,"Stationsstraat 109
3620 - Lanaken",Zone non inondable,spir952,Excellent état,,4,,,,,,,1,Non,,Oui,972 m²,,,Non,Électrique,Oui,Oui,Oui,Oui,250.000 €,Non,,,,,,1,,,,Équipée,,,,,Non,,,,Pays,,Non,Oui,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,
104,,,,Après la signature de l’acte,,80 m²,,2,Non,1,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Non,Zone résidentielle récréative,,,"Stationsstraat 109
3620 - Lanaken",Zone non inondable,spir953,Excellent état,,4,,,,,,,1,Non,,Oui,799 m²,,,Non,Électrique,Oui,Oui,Oui,Oui,275.000 €,Non,,,,,,1,,,,Équipée,,,,,Non,,,,Pays,,Non,Oui,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,
105,,,,Après la signature de l’acte,,80 m²,,2,Non,1,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Non,Zone résidentielle récréative,,,"Stationsstraat 109
3620 - Lanaken",Zone non inondable,spir954,Excellent état,,4,,,,,,,1,Non,,Oui,833 m²,,,Non,Électrique,Oui,Oui,Oui,Oui,275.000 €,Non,,,,,,1,,,,Équipée,,,,,Non,,,,Pays,,Non,Oui,,,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,
106,,,,,1983,Oui,2,,2,,Non connecté,,C,20210323-0002383894-RES-1,Non communiqué,Non communiqué,Mazout,Villa,,Non,Zone agricole,,Non,"Bergstraat 109
2220 - Heist-op-den-Berg",Zone non inondable,09/2187,,,4,,,,,,,,Non,,Oui,Non,,,,,Oui,,Oui,,775.000 €,1.269 €,,Non,,,1,,296 kWh/m²,,,,,,,,,,,Non,,,,,,4900 m²,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,1983,,Oui,,2,,,,296 kWh/m²,C,20210323-0002383894-RES-1,Non communiqué,Non communiqué,Oui,,Oui,Zone non inondable,,,Non,Non,"Bergstraat 109
2220 - Heist-op-den-Berg",,,4,,,,,,,,2,,Non,Non,,,,,Mazout,,Oui,,Zone agricole,865.000 €,09/2213,Oui,,,1,,Non,,,,,,,,,,,Non connecté,,,,,,Non,,,,,,,,,,Villa,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,2,1,573 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,Non,"Kerkplein 1
2260 - Westerlo",À rénover,,3,2,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",195.000 €,4529217,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,Après la signature de l’acte,1992,237 m²,,18 m²,16 m²,1,20.1 m,,C,2342558,Non communiqué,Non communiqué,Mazout,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Diesterstraat 101 bus 1
3980 - Tessenderlo",Zone non inondable,4325639,Excellent état,14.1 m,4,2,Oui,4,11 m²,10 m²,9 m²,,Oui,,,,,,,,Oui,,Oui,,519.000 €,1.160 €,,3576 m²,,Oui,2,19 m²,28 m²,,,,,Non,,230 kWh/m²,,2,,,Pays,Équipée,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
110,,,,Après la signature de l’acte,1980,,,Semi-équipée,3,1,393 m²,,471 kWh/m²,E,20120317-0001068866-00000012-3,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,545 €,Non,,"Basilieklaan 77
3270 - Scherpenheuvel",Bon,,2,3,30 m²,,,,,,2,,,Non,,,Non,,Électrique,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",205.000 €,4981 - 149355,,,,1,,,,,,,,,4 m²,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
111,,,,Après la signature de l’acte,1993,,,Hyper équipée,4,2,2101 m²,,355 kWh/m²,D,2384266-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,1.643 €,Non,Non,"Pastoor Mellaertsstraat 12
2220 - Heist-op-den-Berg",Excellent état,,4,4,62 m²,16 m²,24 m²,15 m²,16 m²,,3,,,,,,,,Mazout,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",565.000 €,4502233,Oui,Oui,,2,370 m²,Non,,,,,60 m,,60 m²,Oui,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,Après la signature de l’acte,1983,,,Semi-équipée,2,1,564 m²,,690 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,,"Schrieksebaan 51
3120 - Tremelo",Bon,,4,1,,10 m²,16 m²,14 m²,,,1,,,,,,,,Électrique,,Oui,,,112.000 €,4201818,,,,,86 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,1935,,,,3,1,1449 m²,,575 kWh/m²,F,20210915-0002464499-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,337 €,Non,Non,"Brasemstraat 8
2400 - Mol",À rénover,,,,,,,,,Non,1,Oui,Non,,Oui,Est,,,Gaz,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",215.000 €,MH0077,Oui,,,1,160 m²,Oui,,,,,,,,,,,Non connecté,,,,,,,,Non,Non,Non,Non,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,Après la signature de l’acte,1960,,,,3,1,1245 m²,,928 kWh/m²,F,20111125-0000975623-00000004-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,475 €,Non,Non,"Noordstraat 2A
2220 - Heist op den Berg",,,4,2,,,,,,,1,,,Non,,,,,Mazout,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,4340381,Oui,Oui,,1,147 m²,Non,Oui,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,À la livraison,2021,,,,3,1,454 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,,,Non,,,Excellent état,,3,,,,23 m²,14 m²,14 m²,Oui,2,,Oui,Non,,,,,,Oui,Oui,,,368.000 €,,,,Non,,,Non,,,,14 m²,,,,,,,Connecté,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Non,Oui,Non,Non,Non,Non,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,Hyper équipée,4,2,837 m²,,133 kWh/m²,B,20210520-0002417466-RES-1,Non communiqué,Non communiqué,,,Non,Zone non inondable,,,Non,Non,"Schrieksebaan 51
3120 - Tremelo",Fraîchement rénové,,2,4,,,,,,,2,,,Non,,,,,Gaz,,Oui,,,439.000 €,4433194,Oui,Oui,,,,Oui,Oui,,,,8 m,685 m²,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,Après la signature de l’acte,2021,,Oui,Pas équipée,3,1,350 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,,Non,,,Excellent état,9 m,3,,,,,,,Non,,Oui,Non,Non,,,,,Gaz,Non,Oui,,,271.100 €,,Oui,,Non,2,210 m²,Oui,,,,,,120 m²,,,,,,,Oui,,,,Non,Non,Non,Non,Non,Non,,Oui,Non,,,,,,,,35,,,,,,,,,,,,,,,,,,
118,,,,À la livraison,2020,,,,3,1,393 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,,,,Non,Non,"Neerstraat 5
3560 - Linkhout",Excellent état,,3,,,,,,,,,,,Non,,,,,,,Oui,,,365.000 €,4017872,,,Oui,1,175 m²,,,,,,,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,Après la signature de l’acte,,,,,,,1089 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,Non,Zone non inondable,,3.898 €,Oui,,"Hasseltsesteenweg 17
3540 - Herk-de-Stad",,,,,,,,,,,,,,,,,Non,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",595.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234 - 1465,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,Après la signature de l’acte,1968,,,,3,,727 m²,,976 kWh/m²,F,20210601-0002422980-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,981 €,Non,,"Herentalsesteenweg, 9
2230 - HERSELT",,,4,,,,,,,,,,,,,,,,Mazout,Non,,,,350.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Debbie DIERCKX,
121,,,,Immédiatement,1962,,Oui,Équipée,4,,,,516 kWh/m²,F,20210709-0002439948-RES-1,Non communiqué,Non communiqué,,Non,Non,Zone non inondable,,717 €,Non,,"Oosterwijkseweg, 50
2250 - OLEN",,,4,,,,,,,,,,,,,,,,Mazout,Non,Oui,,,310.000 €,,,,Non,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Godelieve THYS,Varenwinkel
122,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,Non,"Nachtergalendreef 33
2280 - Grobbendonk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,À la livraison,,,,,4,1,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,Non,"Schrieksebaan 51
3120 - Tremelo",Excellent état,,4,3,,,,,,,,,,Non,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",291.350 €,4373138,,,,,,Non,Oui,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,3,,875 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,,,Non,Non,"Impulsstraat 8
2220 - Heist-op-den-Berg",,9 m,,,,,,,,Non,,,Non,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",370.042 €,,,,,,180 m²,Non,,,,,17.5 m,,,,,,Non connecté,,,,,90 m²,,,Non,Non,Non,Non,,,,NPL 20 / 004,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,À la livraison,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,,,,Oui,Non,"Grote Markt 10
2200 - HERENTALS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,Après la signature de l’acte,1966,,,Équipée,3,1,341 m²,,299 kWh/m²,C,20210807-0002449152-RES-1,Non communiqué,Non communiqué,Oui,,Non,Zone non inondable,,535 €,Non,,"Bergstraat 184
2220 - Heist op den Berg",Bon,,3,2,,8 m²,22 m²,14 m²,12 m²,,2,,Oui,Non,,,Non,,Gaz,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,3890 - 1081,,,,1,168 m²,,,,,8 m²,14.5 m,75 m²,40 m²,,,7 m²,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,2001,245 m²,,4,Non,2,Non,,D,Non communiqué,Non communiqué,Non communiqué,Mazout,Toutes sortes,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",,OJ/2809,Excellent état,12 m,,,,,,,,1,Non,,Oui,569 m²,Ouest,322 kWh/m²,,,Oui,,Oui,Oui,409.000 €,1.375 €,,Non,,,2,Équipée,Oui,,,,,Connecté,,,,,,Non,,,,,Non,,,Non,Non,Non,27 m,,,,,160 m²,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,À définir,1969,,,Équipée,4,1,615 m²,,307 kWh/m²,D,20210614-0002428907-RES-1,Non communiqué,Non communiqué,Oui,,Non,Zone non inondable,,,Non,Non,"Pastoor Mellaertstraat 60
2220 - Heist-op-den-Berg",Bon,10 m,3,3,,,,,,Non,2,,Non,Non,,,Non,Non,Gaz,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,,,,,1,207 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,spir1114,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,À définir,1994,,,Hyper équipée,2,1,3202 m²,,503 kWh/m²,F,2392199,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,609 €,Non,Non,"Achiel Cleynhenslaan 19
3140 - Keerbergen",Bon,,4,4,40 m²,11 m²,18 m²,14 m²,,,1,,,Non,,,,,,,Oui,,Zone résidentielle récréative,295.000 €,4245824,,,,1,115 m²,Non,Oui,,,,,,,,,,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Non,"nl :
woensdagen 20/10, 27/10 en 10/11 van 14u-16u, en zat. 16/10, 23/10 en 13/11 van 10u-12u",Après la signature de l’acte,1967,1,5857 m²,,,1450 kWh/m²,,F,,20210712-0002440802-RES-1,Non communiqué,Non communiqué,Non,Non,,Zone d'inondation reconnue,136.000 €,679 €,Non,"Hovestraat 37
2650 - Edegem",Evi CANNAERTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,Après la signature de l’acte,1959,,,Équipée,3,1,965 m²,,1046 kWh/m²,F,20211005-0002472819,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",Bon,,4,3,36 m²,,,,,,1,,Oui,Non,Oui,Nord,Non,"Oui, conforme",Mazout,,Oui,,,369.000 €,39875 - HEI-21-FVD-1,Oui,,,1,142 m²,Oui,Oui,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,Après la signature de l’acte,1962,,,Équipée,4,1,2234 m²,,864 kWh/m²,F,20210818-0002453102-RES-1.,Non communiqué,Non communiqué,Oui,,Oui,Zone non inondable,,,Non,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",À rafraîchir,,4,5,30 m²,,,,,,1,,Oui,Non,,,"Oui, conforme","Oui, conforme",Mazout,,,,,420.000 €,40094 - HEI-21-FVD-1,Oui,,,1,172 m²,Oui,Oui,,,,28 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,Après la signature de l’acte,1982,,,,3,2,1084 m²,,130 kWh/m²,B,2434510-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,1.145 €,Non,Non,"Geneinde 11
2260 - WESTERLO",Bon,,4,,,,,,,,,,,Non,,,,,,Oui,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",448.000 €,VK2021032,Oui,,Non,,190 m²,Non,,,,,,,,,,,Connecté,,,,,,Non,,,,,,,Non,Non,,,,,,,,130,,,,,,,,,,,,,,,,,,
134,,,,Après la signature de l’acte,,,,,4,1,800 m²,Non,260 kWh/m²,C,UC 1724082,Non communiqué,Non communiqué,,,,Zone non inondable,,1.106 €,Non,Non,,Excellent état,,4,,37 m²,23 m²,12 m²,17 m²,19 m²,Oui,2,Oui,Oui,Non,,,,,Gaz,Non,Oui,,,549.000 €,,,Oui,Non,,,Oui,,,,12 m²,,1 m²,45 m²,Oui,11 m²,,Connecté,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,,Non,Oui,Oui,Non,Non,Oui,,Non,Non,,Toutes sortes,,Non,Non,Non,,,,,Oui,Nord,Oui,Non,Non,Oui,,,,,,,,,,
135,,,,,1999,470 m²,,,30 m²,2,26 m,,B,20210226-0002379409-RES-1,Non communiqué,Non communiqué,Oui,232 m²,Non,Non,Zone agricole,,,"Oudstrijderslaan 38
3140 - Keerbergen",Zone non inondable,4489511,Excellent état,21 m,4,8,29 m²,4,24 m²,21 m²,80 m²,,Oui,,Oui,2568 m²,,,,,,,Oui,,879.000 €,Non,,Oui,Non,,2,54 m²,1800 m²,182 kWh/m²,,,,Non,Oui,,,1,,,Pays,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,1995,,,,4,1,902 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,Non,"Kerkplein 1
2260 - Westerlo",Excellent état,,4,4,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,4529251,,,,1,390 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,Après la signature de l’acte,,,Oui,,3,2,19000 m²,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,Non,,,Bon,14 m,4,5,,24 m²,,,,Non,2,Oui,Non,Non,,,,,Gaz,Non,Oui,,,595.000 €,,,Oui,Non,3,,Oui,,,,,,,,Non,,,Connecté,,,Non,Non,,Non,Non,Non,Non,Non,Oui,1,Non,Non,,,1,Non,Non,Non,,,,,Oui,,Oui,Non,Non,Oui,,,,,,,,,,
138,,,,Après la signature de l’acte,1930,,,Hyper équipée,3,1,225 m²,,472 kWh/m²,E,2175309,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,304 €,Non,Non,"Pastoor Mellaertsstraat 12
2220 - Heist-op-den-Berg",Fraîchement rénové,,3,,,,,,,,2,,,,,,,,Gaz,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,4505542,,,,,110 m²,Oui,,,,,,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
