,État du bâtiment,Largeur de la façade à rue,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Surface de la cave,Surface du grenier,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Quartier ou lieu-dit,Parkings intérieurs,Visite virtuelle,Permis de bâtir obtenu,Salles de douche,Cave,Meublé,Surface du terrain,Orientation du jardin,Attestation as-built,Revenu cadastral,Année de construction,Nombre de façades,Salle à manger,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Salon,Terrasse,Surface constructible totale au sol,Combien de feux ouverts ?,Espace professionnel,Grenier,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Buanderie,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Jardin,Orientation de la terrasse,Référence externe,Obligation de construire,Type d’environnement,Attestation de conformité des citernes à mazout,Nom de l'agent,Isolé,Type de construction,Charges mensuelles,Parkings extérieurs,Pourcentage loué,Revenu mensuel actuel,Surface de l'espace professionnel
81,,,354 m²,35 m²,Équipée,,4,,,,,,,2,3,,,,,,,,,,,,74 m²,,202 kWh/m²,D,20210303-0000583728-01-1,52 kg CO₂/m²,Non communiqué,Mazout,Oui,890.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9451-1,,,,,,,,Oui,Non,,Sud-est,Non,3.185 €,1927,2,Oui,,,Non,Non,Non,,,,,,,,,,,,,,,,,,Oui,,,,,Oui,,,,,,,,,,,,,,,,,,,,
82,À rafraîchir,,215 m²,57 m²,Équipée,,6,18 m²,18 m²,13 m²,18 m²,23 m²,Non,,1,,,,,,,,,,Connecté,Oui,,,346 kWh/m²,F,20160427-0000336862-01-1,Non communiqué,Non communiqué,Gaz,,449.000 €,Non,"avenue Rogier 128
1030 - Schaerbeek",,À définir,,,,,,,Oui,Non,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Bon,,155 m²,30 m²,Équipée,9 m²,5,14 m²,13 m²,22 m²,14 m²,6 m²,Non,,1,,,,,,,,,,Connecté,Oui,6500 m²,10 m²,583 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,469.000 €,Non,"avenue Rogier 128
1030 - Schaerbeek",,À définir,,,,,,,Oui,Non,,,,,,,,,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Bon,,230 m²,42 m²,Équipée,,7,16 m²,16 m²,16 m²,16 m²,,Non,,4,,,,,,,,,,Connecté,Oui,120 m²,,272 kWh/m²,E,20130627-0000173990-01-5,Non communiqué,Non communiqué,Gaz,Oui,590.000 €,Non,"avenue Rogier 128
1030 - Schaerbeek",,À définir,,,,,,,Oui,Non,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Bon,,431 m²,74 m²,Équipée,10 m²,4,16 m²,17 m²,13 m²,13 m²,,Non,,3,,,,,,,,,,Connecté,Oui,,61 m²,424 kWh/m²,G,20200103-0000562750-01-6,Non communiqué,Non communiqué,Gaz,Oui,599.000 €,Non,"avenue Rogier 128
1030 - Schaerbeek",,À définir,,,,,,,,Non,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Bon,,200 m²,,Semi-équipée,,7,,,,,,,7,7,,,,,,,,,,,,,,223 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,765.000 €,Oui,"Square Ambiorix, 32/11B
1000 - Bruxelles",1699115 - 2623,,,,1,,,,,Non,75 m²,,Non,1.913 €,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,154 m²,31 m²,Équipée,,3,25 m²,18 m²,15 m²,,,,,1,9 m²,Oui,,,,,,,,,,131 m²,,259 kWh/m²,E,20210616-0000590887-01-1,51 kg CO₂/m²,Non communiqué,,Oui,379.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9674,,,,,,,1,Oui,Non,,Sud,Non,1.184 €,,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,220 kWh/m²,E,Non communiqué,43 kg CO₂/m²,Non communiqué,,,560.000 €,Oui,"Chaussée d' Haecht 41
1210 - St-Josse-Ten-Noode",4500893,Selon le locataire,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,390 m²,,Équipée,,7,,,,,,,4,6,,,90 m²,,,,,,,,,210 m²,,328 kWh/m²,F,20210607-0000590162-01-8,83 kg CO₂/m²,Non communiqué,Gaz,Oui,949.000 €,Oui,"Square Eugène Plasky 97
1030 - Schaerbeek",7989-1,,,,,,,,,Non,,,Non,,,2,,,,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
90,,,165 m²,32 m²,Équipée,9 m²,3,25 m²,17 m²,8 m²,,,,,2,,,48 m²,,,,,,9 m,,,46 m²,8 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,369.000 €,Non,"Chaussée de Helmet 239
1030 - Schaerbeek",2351,,,,,,,1,,Non,,,Non,3.126 €,,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,200 m²,30 m²,Semi-équipée,,6,1 m²,1 m²,1 m²,1 m²,1 m²,,1,2,,,,,,,,,,,,30 m²,,356 kWh/m²,G,Non communiqué,93 kg CO₂/m²,Non communiqué,,Oui,399.000 €,Non,"Square Eugène Plasky 97
1030 - Schaerbeek",7907-1-1,,,,,,,,,Non,,Est,Non,968 €,,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Bon,,200 m²,30 m²,Équipée,17 m²,6,13 m²,22 m²,13 m²,22 m²,13 m²,Non,,2,,,,,,,,,,Connecté,Oui,30 m²,,356 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,Oui,399.000 €,Non,"avenue Rogier 128
1030 - Schaerbeek",,À définir,,,,,,,,Non,,Est,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,118 m²,22 m²,Équipée,,3,,,,,,,1,1,,,,,,,,,,,,,,459 kWh/m²,G,20150929-0000305990-01-9,98 kg CO₂/m²,Non communiqué,,Oui,249.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9758,,,,,,,,Oui,Non,,,Non,514 €,,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,Immédiatement,30 décembre 2020 - 00:00,Bruxelles,113,33 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,150 m²,30 m²,Équipée,,5,,,,,,,,2,,,,,,,,,,,,65 m²,10 m²,583 kWh/m²,G,Non communiqué,117 kg CO₂/m²,Non communiqué,Gaz,Oui,469.000 €,Non,"Square Eugène Plasky 97
1030 - Schaerbeek",7955-1,,,,,,,2,,Non,,Est,Non,,,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
96,À rénover,,216 m²,,,,6,,,,,,,1,2,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,498.000 €,Non,"rue Willy Van der Meeren 23
1140 - Evere",96 - 93363893,Après la signature de l’acte,,,,,,,Oui,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,230 m²,,,,,14 m²,8 m²,,,,,,,,,,,,,,,,,,,,417 kWh/m²,G,20210429-0000587852-01-8,83 kg CO₂/m²,Non communiqué,,Oui,540.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9531-1-1,,,,,,,,,Non,,,Non,2.335 €,,2,,,,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,210 m²,,Équipée,,,,,,,,,,,,,,,,,,,,,,100 m²,,500 kWh/m²,G,20191031-0000559350-01-4,100 kg CO₂/m²,Non communiqué,,Oui,695.000 €,Oui,"Av. Henri Conscience 74
1140 - Evere",9494,,,,,,,,,Non,,Sud,Non,,,2,Oui,,,Non,Non,Non,,,,,,,Oui,Oui,,,,,,,,,,Oui,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,
99,,,215 m²,,,,6,23 m²,20 m²,,,,,5,,,,40 m²,,,,,,,,,,,346 kWh/m²,F,20160427-0000336862-01-1,74 kg CO₂/m²,Non communiqué,Gaz,Oui,449.000 €,Non,"Square Eugène Plasky 97
1030 - Schaerbeek",8011,,,,,,,,,Non,,,Non,,,2,,,,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,275 m²,,,,7,17 m²,15 m²,12 m²,9 m²,,,1,4,,,,,,,,,,,,38 m²,,Non communiqué,Non communiqué,20140117-0000207278-01-7,152 kg CO₂/m²,Non communiqué,,Oui,620.000 €,Oui,"Av. Henri Conscience 74
1140 - Evere",9546-1,,,,,,,3,,Non,,Est,Non,,,4,,,,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
101,,,405 m²,,Équipée,,,,,,,,,6,8,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,649.000 €,Oui,"Chaussée de Helmet 239
1030 - Schaerbeek",1188,,,,,,,,,Non,,,Non,,,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,173 m²,40 m²,Équipée,,4,,,,,,,1,2,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,325.000 €,Non,"Rue Victor Greson 1/3
1050 - Ixelles",1416-1-1-1,,,,1,,,1,,Non,,,Non,,,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
103,,,173 m²,40 m²,Équipée,,4,,,,,,,1,2,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,325.000 €,Non,"Rue Victor Greson 1/3
1050 - Ixelles",1416-1-1,,,,1,,,1,,Non,,,Non,,,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,143 m²,32 m²,Équipée,,4,20 m²,19 m²,12 m²,11 m²,,,1,1,,,,,,,,,,,,,6 m²,493 kWh/m²,G,20200926-0000575500-01-4,98 kg CO₂/m²,Non communiqué,,Oui,339.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",1140-257,,,,,,,,Oui,Non,,,Non,,1931,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
105,,,352 m²,40 m²,Équipée,9 m²,2,20 m²,15 m²,,,,,,,,,43 m²,,,,,,9 m,,,,40 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,399.000 €,Non,"Chaussée de Helmet 239
1030 - Schaerbeek",1196,,,,,,,1,,Non,,,Non,,,2,Oui,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,350 m²,,Équipée,,7,,,,,,,2,,,,,,,,,,,,,120 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,650.000 €,Non,"Rue Faider 11
1060 - St-Gilles",Sébastien TAILLIEU,,,,1,,,,,Non,,,Non,,,2,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6414,,,,,,,
107,,,146 m²,,Équipée,13 m²,4,,,,,,,4,,,,,,,,,,13 m,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,245.000 €,Oui,"Chaussée de Helmet 239
1030 - Schaerbeek",1193-1,,,,,,,,,Non,,,Non,,,2,,,,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,6,,,,,,,3,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,790.000 €,Oui,"Rue Wayez 1c
1070 - Anderlecht",4499109,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,À rénover,,,,Pas équipée,,,,,,,,Non,,,,Non,,,,,,,,Non connecté,Non,40 m²,17 m²,523 kWh/m²,G,20210918-0000595839-01-7,Non communiqué,Non communiqué,,Oui,310.000 €,Non,"Av. de l'Araucaria 59
1020 - Laeken",UNI-0019-21,,,,,,,,,Non,,,Non,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Bon,,325 m²,17 m²,Américaine équipée,32 m²,5,16 m²,18 m²,12 m²,19 m²,14 m²,Non,1,2,16 m²,Oui,40 m²,,Non,Non,Non,Non,,Connecté,Oui,,100 m²,497 kWh/m²,G,20161010-0000353112-01-3,107 kg CO₂/m²,Non communiqué,Gaz,Oui,850.000 €,Non,,,À définir,,,2,,,,,Non,105 m²,,,2.260 €,1911,2,Oui,Non,,Non,Non,Non,Oui,,,,,,,,,,Oui,,,,,,,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,,Est,,,Urbain,,,,Toutes sortes,,,,,
111,Excellent état,6 m,Oui,,31 m²,4,24 m²,24 m²,17 m²,13 m²,3,,,3,Oui,,,,,,,,,,Non,35 m²,35 m²,Oui,E,63531015,53 kg CO₂/m²,Non communiqué,Gaz,Oui,Zone non inondable,2.935 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4453967,,Après la signature de l’acte,31 décembre 2021 - 00:00,,2,345 m²,,3,Non,Oui,Connecté,,,Non,1930,2,Américaine hyper-équipée,Non,,,,,,,,,1.260.000 €,,,,,,,,,,,,,,,Oui,Oui,,Oui,,,,,246 kWh/m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
112,À rafraîchir,6 m,200 m²,20 m²,Hyper équipée,15 m²,3,20 m²,20 m²,20 m²,,,,3,4,,,27 m²,,,,,,,Connecté,Oui,,,375 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,540.000 €,Non,"Rue Xavier De Bue 1
1180 - Uccle",jeremy maitre,Après la signature de l’acte,,,,,,,,Non,52 m²,,,1.236 €,,2,Oui,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,,,,,,,
113,Excellent état,,260 m²,50 m²,Équipée,15 m²,5,50 m²,15 m²,15 m²,14 m²,15 m²,,3,3,15 m²,Oui,,,,,,,,Connecté,Oui,110 m²,6 m²,224 kWh/m²,E,Non communiqué,44 kg CO₂/m²,Non communiqué,Gaz,Oui,945.000 €,Non,"Avenue de L'Armée 41
1040 - Etterbeek",4454540,Après la signature de l’acte,,,1,,,,Oui,Non,180 m²,,,2.840 €,1980,2,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,Oui,Oui,,,,,Non,,,,,,Urbain,,,,,,2,,,
114,À rénover,6 m,17 m²,Oui,16 m²,5,17 m²,15 m²,17 m²,15 m²,18 m²,2,,2,Oui,,,,,,,,,,Oui,40 m²,2 m²,486 kWh/m²,G,Non communiqué,97 kg CO₂/m²,Non communiqué,550.000 €,,,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4499995,,Après la signature de l’acte,,Bruxelles (19 communes),,250 m²,,2,Non,100 m²,Connecté,,,,1930,2,Pas équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isolé,,,,,,,,,
115,À rénover,5.5 m,220 m²,18 m²,Équipée,7 m²,3,23 m²,12 m²,10 m²,,,,2,3,8 m²,Oui,,,,,,,,Connecté,Oui,80 m²,,327 kWh/m²,F,20210825-TEST,65 kg CO₂/m²,Non communiqué,Gaz,Oui,595.000 €,Non,"Rue Belliard 200
1000 - Bruxelles",4456671,Après la signature de l’acte,,,,,,1,Oui,Non,147 m²,,,,1835,2,Oui,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,70 m²,,,,,,,,,,,Non,Non,Oui,,,,,,Non,,,,,,,,,,,,,,,
116,Bon,6 m,308 m²,55 m²,Hyper équipée,19 m²,4,20 m²,20 m²,20 m²,20 m²,20 m²,,3,5,,,,,,,,Oui,6 m,Connecté,Oui,,,257 kWh/m²,E,20191114-0000559951-01-03,52 kg CO₂/m²,Non communiqué,,,1.249.000 €,Non,"Laarheidestraat 91
1650 - Beersel",,Après la signature de l’acte,,,,,,1,Oui,Non,240 m²,Est,,2.692 €,1924,2,Oui,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,Oui,,,,,,,,,,,Oui,,,,,,,,Oui,Est,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Ariane Lauer,,,,,,,20 m²
117,,,240 m²,,Équipée,,6,,,,,,,2,2,,,,,,,,,,,,50 m²,15 m²,333 kWh/m²,F,Non communiqué,488 kg CO₂/m²,Non communiqué,Gaz,Oui,665.000 €,Non,"Avenue de Busleyden 21
1020 - Laeken",Vincent JACOB,,,,1,,,,,Non,169 m²,Sud,Non,,1930,2,,,,Non,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,Sud-est,,,Urbain,,JUST - V21/143,,,,1,,,
118,Fraîchement rénové,14 m,270 m²,62 m²,Américaine hyper-équipée,25 m²,4,30 m²,18 m²,14 m²,11 m²,,Oui,2,3,18 m²,Oui,15 m²,,,,Oui,,,Connecté,Oui,60 m²,,136 kWh/m²,C,Non communiqué,27 kg CO₂/m²,Non communiqué,Gaz,Oui,899.000 €,,"Rue Paul Lauters 67
1050 - Ixelles",,Après la signature de l’acte,,,,,,,,Non,182 m²,Sud,,,2021,2,Oui,,,,,,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,Oui,,,,,Oui,,Oui,,,,,,Sud,,,,,TRUST CONSULT,,,,,,,
119,Excellent état,,260 m²,,Américaine équipée,,4,,,,,,,4,5,,,,,,,,,,Connecté,Oui,,,330 kWh/m²,F,2140815-0000242989-01-601-,71 kg CO₂/m²,Non communiqué,Gaz,,1.150.000 €,Oui,"Av. de Tervueren, 37
1040 - Etterbeek",4497233,,,Bruxelles,,,,4,Oui,,,,,,1950,2,,,,,,,,,,,Zone non inondable,,,Oui,,,,,,,,,,,,Non,Non,,,,Oui,,,Non,,,,,,Urbain,,,,,,,,,
120,Bon,,203 m²,,Hyper équipée,,4,,,,,,,3,3,,,,,,,,,,,,,,330 kWh/m²,F,F,71 kg CO₂/m²,Non communiqué,,,520.000 €,Non,"Rue du Lac 27,
1050 - Ixelles",4445699,Selon le locataire,,Bruxelles (19 communes),,,,2,Oui,Non,203 m²,,,,1900,2,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
121,Bon,7 m,430 m²,50 m²,Hyper équipée,10 m²,4,20 m²,20 m²,15 m²,13 m²,,,2,4,110 m²,Oui,,,,,,,,Connecté,Oui,200 m²,15 m²,307 kWh/m²,F,20190510-0000549185-01-1,61 kg CO₂/m²,Non communiqué,Gaz,Oui,1.295.000 €,Oui,"Rue Belliard 200
1000 - Bruxelles",4364049,Immédiatement,2 juin 2020 - 00:00,,1,,,2,Oui,Non,317 m²,,,2.669 €,1900,2,,Oui,,,,,,,,,,,,,15 m²,,,,,,,,,,,Non,Non,Oui,Oui,,Oui,,,Non,,,,,,,,,,,,,,,110 m²
122,Excellent état,,333 m²,24 m²,Semi-équipée,,6,32 m²,28 m²,28 m²,22 m²,22 m²,,2,4,13 m²,Oui,,,,,,,,Connecté,Oui,130 m²,40 m²,341 kWh/m²,F,Non communiqué,68 kg CO₂/m²,Non communiqué,Gaz,Oui,1.175.000 €,Non,"Avenue de Tervuren 113
1040 - Etterbeek",,Après la signature de l’acte,1 mars 2022 - 00:00,,1,,Oui,2,,Non,239 m²,,,2.921 €,1904,2,,,,,,,,,Non,,,,,,350 m²,,,,,,,,,,,Non,Non,Oui,,,,,,Non,,,,4527424,,,,,,,,1,,,
123,Bon,,,,,,4,,,,,,,2,,,,,,,,,,,Connecté,Oui,,,204 kWh/m²,D,20121012-0000121834-01-1,45 kg CO₂/m²,Non communiqué,Gaz,Oui,1.100.000 €,Oui,"Rue Archimède 17
1000 - Bruxelles ville",,,,,,,,,,Non,1 m²,,,1.991 €,1918,2,,Non,204,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,Autre type de zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Bon,5 m,Américaine hyper-équipée,,4,,Non,,,,,,2,3,Non,,Oui,,,,,,,,Non,150 m²,10 m²,368 kWh/m²,G,202107280000593295017,73 kg CO₂/m²,Non communiqué,Non,,920.000 €,2.251 €,"Avenue du Tennis 29
1150 - Woluwe-St-Pierre",21022,,,,,,235 m²,,,Non,Non,Non connecté,,Oui,Non,1933,2,,250 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,À rénover,,16 m²,Oui,14 m²,4,13 m²,16 m²,14 m²,20 m²,1,,,1,Oui,,,,,,,,,,Non,85 m²,Oui,,G,Non communiqué,91 kg CO₂/m²,Non communiqué,Gaz,495.000 €,,718 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4452391,,Après la signature de l’acte,1 juin 2021 - 00:00,,,140 m²,,2,Oui,150 m²,Connecté,,,Non,1890,2,Équipée,,,,,,,,,,,,,488 kWh/m²,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Bon,5.5 m,280 m²,25 m²,Hyper équipée,11 m²,6,24 m²,24 m²,24 m²,15 m²,33 m²,,2,3,7 m²,Oui,,,,,,,5.5 m,,,50 m²,23 m²,404 kWh/m²,G,Non communiqué,85 kg CO₂/m²,Non communiqué,Gaz,Oui,990.000 €,Non,"Avenue de Tervuren 113
1040 - Etterbeek",,Selon le locataire,1 mars 2022 - 00:00,,,,,1,Oui,,16 m²,,,,1920,2,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,Oui,,,,,,Non,,,,4518985,,,,,,,,1,,,
127,Bon,7 m,423 m²,,Américaine hyper-équipée,,4,15 m²,13 m²,13 m²,12 m²,,,3,5,5 m²,Oui,,,,,,,,Connecté,Oui,76 m²,,631 kWh/m²,G,20200703-0000571086-01-1,236 kg CO₂/m²,Non communiqué,Gaz,Oui,1.090.000 €,Oui,"Rue Belliard 200
1000 - Bruxelles",4356924,Après la signature de l’acte,5 novembre 2020 - 00:00,,,,,3,Oui,Non,218 m²,,,,1874,2,,,,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,Non,Non,Oui,,,,,,Non,,,,,,,,,,,,,,,
128,À rafraîchir,,375 m²,40 m²,Équipée,,7,,,,,,,2,3,,Oui,,,,,,,,Connecté,Oui,300 m²,55 m²,422 kWh/m²,G,20210428,84 kg CO₂/m²,Non communiqué,Gaz,,1.100.000 €,Non,"Avenue de Tervuren 113
1040 - Etterbeek",,Après la signature de l’acte,1 août 2021 - 00:00,,1,,,2,Oui,Non,504 m²,,,3.423 €,1929,2,,,,,,,,,,,,,,,480 m²,,,Oui,,,,,,,,Non,Non,Oui,,,,,,Non,,,,4383692,,,,,,,,1,,,
129,,5 m,Oui,,12 m²,3,22 m²,15 m²,15 m²,2,,,,2,Oui,,,,,,,,,,Oui,17 m²,Non,,F,Non communiqué,66 kg CO₂/m²,Non communiqué,690.000 €,,,2.071 €,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4398211,,Après la signature de l’acte,,Bruxelles (19 communes),,160 m²,,2,Non,76 m²,Connecté,,,Non,,2,Américaine hyper-équipée,,,,,,,,,,,,Oui,,,,,,,,,,,,,Non,Oui,Non,,,,,,331 kWh/m²,,,,,,Urbain,,,,,,,,,
130,À rénover,10 m,350 m²,,Semi-équipée,,5,,,,,,Oui,3,4,,,80 m²,,Oui,,,,10 m,Connecté,Oui,,5 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,800.000 €,Oui,"Avenue René Gobert 26
1180 - Uccle",,À définir,,,,,Oui,,,Non,87 m²,,,1.500 €,1905,2,,,,,,,,Non,Non,Non,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,Sud,,,,,Cédric Mathonnet,,,,,,3000,
131,Bon,,312 m²,,Hyper équipée,,4,20 m²,20 m²,15 m²,15 m²,,,2,3,,,,,,,,,,Connecté,Oui,,,204 kWh/m²,D,20121012-0000121852013,43 kg CO₂/m²,Non communiqué,Gaz,Oui,1.100.000 €,Oui,"Avenue de Tervuren 113
1040 - Etterbeek",,Selon le locataire,1 janvier 2000 - 00:00,,2,,,1,,,105 m²,,,,1918,2,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,Oui,,,,,,Non,,,,4393331,,,,,,,,2,,,
132,Excellent état,12.52 m,525 m²,,Équipée,,5,20 m²,18 m²,16 m²,15 m²,,,3,5,,Oui,,,,,,,,Connecté,Oui,,,309 kWh/m²,F,20210322-0000585192-01-8,60 kg CO₂/m²,Non communiqué,Mazout,,1.985.000 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27362,Après la signature de l’acte,,,2,,,,Oui,,673 m²,,,3.033 €,1930,2,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
