,État du bâtiment,Largeur de la façade à rue,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Surface de la cave,Surface du grenier,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Quartier ou lieu-dit,Parkings intérieurs,Visite virtuelle,Permis de bâtir obtenu,Salles de douche,Cave,Meublé,Surface du terrain,Orientation du jardin,Attestation as-built,Revenu cadastral,Année de construction,Nombre de façades,Salle à manger,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Salon,Terrasse,Surface constructible totale au sol,Combien de feux ouverts ?,Espace professionnel,Grenier,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Buanderie,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Jardin,Orientation de la terrasse,Référence externe,Obligation de construire,Type d’environnement,Attestation de conformité des citernes à mazout,Nom de l'agent,Isolé,Type de construction,Charges mensuelles,Parkings extérieurs,Pourcentage loué,Revenu mensuel actuel,Surface de l'espace professionnel
45,,,350 m²,,,,8,,,,,,,6,,,Non,,,,,,,,Connecté,Oui,,,253 kWh/m²,E,Non communiqué,50 kg CO₂/m²,Non communiqué,,,749.000 €,Oui,"Rue de Laeken 91
1000 - Bruxelles",,Selon le locataire,,,,,,,Oui,,,,,,,2,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,798/17215,,,,,,,,,,,
46,,,401 m²,,Semi-équipée,,10,,,,,,,1,3,,Non,,,,,,,,,,,,310 kWh/m²,F,20210807-0000593747-01-9,62 kg CO₂/m²,Non communiqué,Gaz,Oui,590.000 €,Oui,"Route de Givet 20
5377 - Somme-Leuze",,,,,3,,,2,Oui,Non,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014392,,,,,,,,,,,
47,,,27 m²,Oui,7,,2,,,,,,,3,Non,,,,,,,,,,,,20 m²,Ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,845.000 €,Non,"Avenue des Saisons 42
1050 - Ixelles",2118 B-1,,,,,,333 m²,,,,280 m²,,,Mazout,,,2,Équipée,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,
48,Bon,,375 m²,,Américaine équipée,,5,17 m²,11 m²,12 m²,15 m²,13 m²,,4,4,,,,,,,,,,,,,55 m²,264 kWh/m²,E,Non communiqué,57 kg CO₂/m²,Non communiqué,Gaz,,950.000 €,Oui,"Place Colignon 47
1030 - Schaerbeek",4533378,Selon le locataire,,,,,,4,,Non,147 m²,,,2.072 €,1914,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urbain,,,,,,,,,
49,Excellent état,7 m,445 m²,41 m²,Américaine équipée,16 m²,7,22 m²,14 m²,16 m²,10 m²,21 m²,,6,6,20 m²,Oui,80 m²,,,,,,7 m,Connecté,Oui,47 m²,64 m²,204 kWh/m²,D,20210613-0000590623-01-7,41 kg CO₂/m²,Non communiqué,Gaz,Oui,795.000 €,Oui,"Parklaan 59/1
1930 - Zaventem",4375890,,,Brussel,,,Oui,6,,,165 m²,,,1.375 €,1874,2,Oui,,,,,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,90 m²,,,Oui,,,,,,,,Non,,Oui,Oui,,Oui,,,Non,,,,,,Urbain,,,,,,,,,88 m²
50,À rénover,6 m,300 m²,25 m²,,75 m²,7,22 m²,18 m²,17 m²,14 m²,14 m²,,7,5,12 m²,Oui,,,,,,,6 m,Connecté,Oui,,20 m²,328 kWh/m²,F,20130322-0000154719-01-2,70 kg CO₂/m²,Non communiqué,,Oui,Faire offre à partir de 985.000 €,Oui,"Av. de Burbure 134A
1970 - Wezembeek-Oppem",4418768,À définir,,,2,,Oui,7,Oui,Non,100 m²,,,,1910,2,Oui,,,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,100 m²,,,Oui,,,,,,,,Non,Non,Oui,,,,,,Non,,,,,,Urbain,,,,,,,,,12 m²
51,Bon,6.35 m,176 m²,34 m²,Équipée,6 m²,3,16 m²,8 m²,11 m²,,,Non,,2,,Non,,,,,,,,Connecté,Oui,166 m²,7 m²,276 kWh/m²,E,20210331-00004147001-5-4,64 kg CO₂/m²,Non communiqué,,Oui,525.000 €,Non,"Rue de Tervaete 35
1040 - Etterbeek",,,,,1,,,1,Oui,Non,245 m²,,Non,1.767 €,1961,,,Non,,,,,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Oui,Non,Non,Non,Oui,Non,,Non,,,Non,,,Nord-ouest,3715,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,1,,,
52,À rénover,5 m,175 m²,,,,3,,,,,,Non,,1,,Non,,,Oui,Non,Oui,Non,,,Non,,1 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,299.000 €,Non,,,Immédiatement,,,1,,,1,Oui,Non,104 m²,,,741 €,1924,2,,Non,,Non,Non,Non,Non,,Oui,,Zone non inondable,,Oui,,,,Non,Oui,,,,,,Oui,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Toutes sortes,,1,,,
53,À rénover,6 m,305 m²,,,,,,,,,,Non,,,,Non,,17 m²,Non,Non,Non,Non,,,Non,48 m²,,211 kWh/m²,D,20210315,211 kg CO₂/m²,Non communiqué,,Oui,449.500 €,Oui,,,Après la signature de l’acte,,,,,,,,Non,140 m²,Est,,1.013 €,1932,2,,Non,211,Non,Non,Non,Oui,,,,,,,,,,Non,,,,,,,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,Toutes sortes,,,,,
54,Bon,,320 m²,,Équipée,,5,,,,,,,3,3,,,,,,,,,7.9 m,,Oui,,71 m²,230 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,545.000 €,Oui,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4173 - 2096,Après la signature de l’acte,,,1,,,2,Oui,Non,167 m²,,Non,2.000 €,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Bon,,320 m²,,Équipée,,5,,,,,,,3,3,,,,,,,,,7.9 m,,Oui,,71 m²,230 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,545.000 €,Non,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4163 - 2096,Après la signature de l’acte,,,1,,,2,Oui,Non,167 m²,,Non,2.000 €,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Bon,7 m,280 m²,,Pas équipée,,3,,,,,,,3,5,,,,,,,,,7 m,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,550.000 €,Non,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4168 - 2095,,,,,,,,Oui,Non,157 m²,,Non,1.150 €,1908,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Bon,7 m,280 m²,,Pas équipée,,3,,,,,,,3,5,,,,,,,,,7 m,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,550.000 €,Oui,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4161 - 2095,,,,,,,,Oui,Non,157 m²,,Non,1.150 €,1908,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
