,Année de construction,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Niveau E (performance énergétique globale),Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Quartier ou lieu-dit,À partir de,État du bâtiment,Type d’environnement,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Salles de douche,Buanderie,Bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Orientation du jardin,Orientation de la terrasse,Nombre d'annexes,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Obligation de construire,Revenu cadastral,Surface de la chambre 4,Type de construction,Combien de feux ouverts ?,Surface de bureau,Cave,Surface constructible totale au sol,Jardin,Visite virtuelle,Salon,Salle à manger,Grenier,Terrasse,Surface de l'espace professionnel,Référence externe,Surface de la chambre 5,Nom de l'agent,Nom du bien,Disponible le
38,1962,7 m,3,1,,170 m²,,,3,2,2,,625 m²,10 m,,,779 kWh/m²,F,20160422-0001856013-1,Non communiqué,Non communiqué,,,Mazout,Oui,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",280.000 €,Non,"Pas 96/A
2440 - Geel",4427020,,Après la signature de l’acte,Bon,Isolé,,15 m²,15 m²,9 m²,,2,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Oui,,Oui,,,,,,,
39,1996,12 m,4,,,41 m²,Hyper équipée,3,1,Oui,,Non,21 m,Non connecté,,,B,202109211-0002467118-RES-1,Non communiqué,Non communiqué,193,,Gaz,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,1.080 €,"Stationstraat 125
2440 - Geel",,,,,Bon,,,,,,,,,,,,,,193 kWh/m²,,,,,Oui,Oui,,,,,Non,Oui,,Non,,,,,,,,Non,Non,Non,Oui,,Non,,,,,Non,,,191 m²,,,,Non,,,,,,
40,1982,,4,,,Oui,,,1,Oui,,Non,Connecté,,,,F,20210818-000253344-RES-1,Non communiqué,Non communiqué,523,,Électrique,Non,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,360.000 €,842 €,"Stationstraat 125
2440 - Geel",,,,,Bon,,,,,,,,,,,,,,1032 m²,,,,,Non,523 kWh/m²,,,,,,,,,,,,,,,,Non,Oui,Non,Oui,,Non,,,,,Non,,,186 m²,,4,,,,,,,,
41,2012,11 m,4,1,2,198 m²,,Américaine hyper-équipée,4,1,2,,390 m²,,,,88.32 kWh/m²,A,13008-G-2010/00222/EP06796/A005/D01/SD001,Non communiqué,Non communiqué,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,Non,"Pas 96/A
2440 - Geel",4426361,,Après la signature de l’acte,Excellent état,,,25 m²,17 m²,16 m²,,,,,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,8 m²,,,,,,,,,,Oui,Oui,,,,,,
42,1961,15 m,4,8,8,340 m²,,Hyper équipée,4,2,3,,1449 m²,28 m,,38 m²,389 kWh/m²,D,20210906-0002460663-RES-1,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,Oui,"Pas 96/A
2440 - Geel",4492613,,À définir,Bon,Urbain,,15 m²,15 m²,14 m²,,2,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,Oui,,,1.893 €,12 m²,,,,,,,,,,Oui,,125 m²,,,,,
43,2017,9 m,4,,2,220 m²,,Hyper équipée,3,1,2,,543 m²,15 m,,,57.74 kWh/m²,A,13008-G-2015/00076/EP12782/A001/D01/SD001,Non communiqué,Non communiqué,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",565.000 €,Non,"Pas 96/A
2440 - Geel",4520557,,À définir,Excellent état,Isolé,,,,,,2,,Oui,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,Oui,,,,,,,,Oui,,,,,,,Oui,,,,,,
44,1960,11 m,2,1,,Équipée,,4,19 m²,2,Oui,,11 m,Connecté,,,F,20200811-0002298048-RES-1,Non communiqué,Non communiqué,Mazout,,,Oui,,274 m²,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,Non,"Burchtstraat 11
2200 - Herentals",4501066,,,Après la signature de l’acte,À rafraîchir,Urbain,,18 m²,17 m²,13 m²,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,1,,,,Oui,Non,,274 m²,,,241 m²,685 kWh/m²,,,,,,
45,1981,,4,1,1,189 m²,34 m²,Hyper équipée,2,1,2,Non,3393 m²,28 m,,,556 kWh/m²,F,20181112-0002106692-1,Non communiqué,Non communiqué,,,Mazout,Oui,Oui,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,Non,"Pas 96/A
2440 - Geel",4497027,,,Fraîchement rénové,Pays,21 m²,15 m²,15 m²,,,,,,,,,,,,,,,Connecté,Non,,,,,,,,,,,,,,,,,,,,,1.303 €,,,,,,189 m²,,,,,Oui,Oui,,,,,,
46,2004,,4,1,,268 m²,43 m²,Équipée,4,1,,Non,1686 m²,24 m,,,186 kWh/m²,B,20210309-0002384052-RES-1,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",639.000 €,Non,"Stationsstraat 69
2440 - Geel",V&G/G/3683,,,Excellent état,,30 m²,19 m²,19 m²,16 m²,,,,Oui,,33 m²,,,Non,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,12 m²,Villa,,,,,,,,,,,,,,,,
47,1980,,2,,,3,,,1,Non,,Non,Connecté,,,,B,2441949-RES-1,Non communiqué,Non communiqué,191,,Gaz,Non,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,299.000 €,619 €,"Stationstraat 125
2440 - Geel",,,,,Bon,,,,,,,,,,,,,,264 m²,,,,,Oui,191 kWh/m²,,,,,,,,,,,,,,,,Non,Non,Non,Oui,,Non,,,,,,,,160 m²,,,,,,,,,,
48,1954,,3,,,3,,,1,Oui,,Non,Connecté,,,,D,2434966-RES-1,Non communiqué,Non communiqué,353,,Mazout,Non,Non,,Non,Non,Zone non inondable,Zone agricole,397.000 €,890 €,"Stationstraat 125
2440 - Geel",,,,,Bon,,,,,,,,,,,,,,1220 m²,,,,,Oui,353 kWh/m²,,,,,,,,,,,,,,,,Non,Oui,Non,Non,,Non,,,,,Non,,,193 m²,,,,,,,,,,
49,1968,7 m,3,1,3,,35 m²,,3,1,2,Non,496 m²,10 m,,,258 kWh/m²,C,20210304-0002382185-RES-1,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",309.000 €,Non,"Stationsstraat 69
2440 - Geel",V&G/G/3612,,,À rafraîchir,Urbain,15 m²,16 m²,16 m²,8 m²,,,,Non,,,,,Non,,,,,Connecté,Oui,Sud-ouest,,,,,,,,,,,,,,,,,,,,775 €,,,,,,,Oui,,,Oui,,,,,,,,
50,1978,14 m,4,1,3,192 m²,54 m²,,2,1,,Non,1204 m²,20 m,,,598 kWh/m²,F,20210203-0002347814-RES-2,Non communiqué,Non communiqué,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.999 €,Non,"Stationsstraat 69
2440 - Geel",V&G/G/3593,,,Bon,Urbain,17 m²,14 m²,12 m²,,,,,Non,,,,,Non,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,940 €,,,,,Oui,,,,,,,,,,,,,
51,2021,7 m,3,,3,,38 m²,Hyper équipée,4,1,2,Non,298 m²,7 m,,,45 kWh/m²,A,13008-G-OMV-2019122561/EP02732/A001/D01/SD001,Non communiqué,Non communiqué,,29,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",415.000 €,Non,"Heesakkers 2
2460 - Kasterlee",,,Après la signature de l’acte,Excellent état,Urbain,9 m²,27 m²,11 m²,11 m²,,2,,,,,,,,,,,,Connecté,Oui,,,,,Non,Oui,,,,Oui,,,,,,,,Oui,,,,42 m²,,,,,91 m²,,,,,,Oui,,4512335,,,,
52,1976,15 m,4,1,4,348 m²,54 m²,,4,2,3,Non,1525 m²,32 m,,,368 kWh/m²,D,20201219-0002352419-RES-1,Non communiqué,Non communiqué,,,Mazout,Oui,Oui,Non,Oui,Non,Zone non inondable,Parc résidentiel,590.000 €,Non,"Stationsstraat 69
2440 - Geel",V&G/G/3603,,,À rénover,Urbain,,,,,,,,Oui,,35 m²,,,Non,,,,,Non connecté,Non,,,,,,,,,,,,,,,,,,,,,,,Villa,,,,,,,,,,Oui,,,,,,
53,1987,24.64 m,4,2,5,680 m²,64 m²,,7,2,,Non,3095 m²,50 m,,,377 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Électrique,Oui,Oui,,Non,Non,Zone non inondable,,790.000 €,Non,"Vonckstraat 3
2270 - Herenthout",4498754,,À définir,Bon,"Zone d'habitat (résidentiel, urbain ou rural)",19 m²,31 m²,27 m²,21 m²,,,,Oui,,,,,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,3.408 €,21 m²,,,,Oui,680 m²,,,,,Oui,Oui,54 m²,,21 m²,,,
