,À partir de,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Chambres,Salles de bains,Toilettes,Bureau,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Panneaux solaires,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Parkings extérieurs,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de bureau,Surface du jardin,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Porte blindée,Raccordement à l'égout,Type de chauffage,Combien de feux ouverts ?,Type de cuisine,Cave,Largeur de la façade à rue,Salon,Nom de l'agent,Surface de l'espace professionnel,Surface du grenier,Largeur du terrain à rue,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Surface constructible totale au sol,Quartier ou lieu-dit,Salles de douche,Orientation du jardin,Attestation as-built,Visite virtuelle,Buanderie,Référence externe,Dressing,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Espace professionnel,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Obligation de construire,Nom du bien,Nombre d'annexes,Type de construction,Niveau E (performance énergétique globale),Orientation de la terrasse,Charges mensuelles,Isolé,Pourcentage loué,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente
21,Après la signature de l’acte,,,Bon,2,,Isolé,120 m²,2,1,2,,,Non,720 m²,Oui,,,,,206 kWh/m²,C,2447355,Non communiqué,Non communiqué,,,Oui,Non,Zone non inondable,210.000 €,242 €,Non,"Brusselbaan 110
1790 - Affligem",4453613,Non,Non,,32 m²,,12 m²,22 m²,13 m²,,,640 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,,,Équipée,,9 m,,,,,9 m,40 m²,,,,75 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,À définir,,1939,Bon,3,,Urbain,163 m²,4,1,2,,,Non,466 m²,Oui,Oui,,,,497 kWh/m²,E,2471228,Non communiqué,Non communiqué,,,,Non,Zone inondable potentielle,329.000 €,686 €,Non,"Brusselbaan 110
1790 - Affligem",4528342,Non,Non,2,30 m²,,26 m²,21 m²,12 m²,12 m²,,200 m²,"Zone d'habitat (résidentiel, urbain ou rural)",8 m²,,18 m²,,Connecté,Gaz,,Hyper équipée,,6 m,,,,,9 m,,,,,90 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Après la signature de l’acte,,,À rafraîchir,3,1,Urbain,429 m²,,,2,,,,640 m²,Oui,,,,,497 kWh/m²,E,2454661,Non communiqué,Non communiqué,,,,,Zone non inondable,419.000 €,,Oui,"Brusselbaan 110
1790 - Affligem",4452363,,,1,,,18 m²,,,,,,,,,,,Connecté,,,Semi-équipée,,15 m,,,,,,,,,,240 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Après la signature de l’acte,,1976,Bon,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",188 m²,3,1,2,Oui,,Non,1089 m²,Non,,,,,501 kWh/m²,E,2386685,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,Faire offre à partir de 459.000 €,2.367 €,Oui,"Brusselbaan 110
1790 - Affligem",4311251,Non,Non,8,46 m²,,24 m²,26 m²,16 m²,12 m²,6 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Mazout,,Équipée,Oui,20 m,,,30 m²,,3 m,25 m²,,,,203 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Après la signature de l’acte,,1975,Excellent état,4,1,Pays,300 m²,5,2,3,,Oui,,799 m²,Non,,,,,575 kWh/m²,F,20210228-0002380013-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,499.000 €,1.390 €,Non,"Marktstraat 5
1745 - Opwijk",4454576,Oui,,7,42 m²,Oui,15 m²,13 m²,10 m²,8 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",21 m²,44 m²,,,Connecté,Électrique,,Hyper équipée,Oui,,,,,,,80 m²,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Après la signature de l’acte,,1930,Bon,3,1,Urbain,320 m²,4,2,3,,,Non,1165 m²,Oui,Oui,,,,430 kWh/m²,E,2383005,Non communiqué,Non communiqué,Oui,,Oui,Non,Zone non inondable,469.000 €,1.529 €,Oui,"Brusselbaan 110
1790 - Affligem",4447839,Non,Non,6,23 m²,Oui,16 m²,14 m²,16 m²,14 m²,,750 m²,"Zone d'habitat (résidentiel, urbain ou rural)",9 m²,,22 m²,,Connecté,Mazout,,Équipée,,9.7 m,,,63 m²,22 m²,12.7 m,,,,,262 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,À définir,,1974,Fraîchement rénové,4,1,Isolé,82 m²,2,1,1,,,,598 m²,Oui,Oui,,,,647 kWh/m²,F,2457250,Non communiqué,Non communiqué,,,,Non,Zone non inondable,289.000 €,681 €,Non,"Brusselbaan 110
1790 - Affligem",4493144,,,3,27 m²,,9 m²,13 m²,9 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Gaz,,Équipée,,9 m,,,,,14 m,,,,Oui,110 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,À définir,1 août 2022 - 00:00,2007,,4,2,Pays,,4,2,3,Oui,,Oui,995 m²,Non,,,,,124 kWh/m²,B,20210826-0002456145,Non communiqué,Non communiqué,,,Oui,Non,Zone non inondable,985.000 €,1.824 €,Non,"Brusselbaan 110
1790 - Affligem",4456731,Oui,,4,55 m²,,21 m²,20 m²,22 m²,21 m²,10 m²,530 m²,,15 m²,,,,Connecté,,,Hyper équipée,,13 m,,,10 m²,,20 m,55 m²,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Non,"Petrus Huysegomsstraat, 6
1600 - Sint-Pieters-Leeuw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Après la signature de l’acte,,,Bon,3,1,,123 m²,2,1,1,,Oui,,,Non,Oui,,,,701 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,215.000 €,384 €,Non,"Leo de béthunelaan 8
9300 - Aalst",4533445,,,1,,,,,,,,,,,,,,Connecté,,,Semi-équipée,Oui,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
