,À partir de,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Chambres,Salles de bains,Toilettes,Bureau,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Panneaux solaires,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Parkings extérieurs,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de bureau,Surface du jardin,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Porte blindée,Raccordement à l'égout,Type de chauffage,Combien de feux ouverts ?,Type de cuisine,Cave,Largeur de la façade à rue,Salon,Nom de l'agent,Surface de l'espace professionnel,Surface du grenier,Largeur du terrain à rue,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Surface constructible totale au sol,Quartier ou lieu-dit,Salles de douche,Orientation du jardin,Attestation as-built,Visite virtuelle,Buanderie,Référence externe,Dressing,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Espace professionnel,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Obligation de construire,Nom du bien,Nombre d'annexes,Type de construction,Niveau E (performance énergétique globale),Orientation de la terrasse,Charges mensuelles,Isolé,Pourcentage loué,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente
41,Après la signature de l’acte,,1905,À rénover,4,,,470 m²,5,2,,Oui,Oui,Non,560 m²,,,,,,693 kWh/m²,F,2015012700017259631,Non communiqué,Non communiqué,,,,,,399.000 €,,Non,"de Limburg Stirumlaan 166
1780 - Wemmel",4519298,,,3,,,,,,,,,,,,,,,,,Hyper équipée,,,Oui,,,,,22 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,4,,,Non,,Non,605 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,465.487 €,,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9747,,,,,,,,,,,,Autre type de zone,,,,,,,,,,,,,,,12 m,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Non,Non,,,Non,,,,,,,,,,,,,,,,,,
43,,,,,,,,,4,,,Non,,Non,600 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,447.001 €,,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9746,,,,,,,,,,,,Autre type de zone,,,,,,,,,,,,,,,12 m,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Non,Non,,,Non,,,,,,,,,,,,,,,,,,
44,À la livraison,,,,3,,,160 m²,3,1,2,,,,1600 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,415.000 €,,,"Absveldstraat 21
2880 - Bornem",,,,,,,,,,,,,,,,,,,,,,,,,,,,10 m,,,,,,,,Sud,,,,,,,,Oui,,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,
45,,,,,,1,,176 m²,3,1,2,Non,,Non,556 m²,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,452.855 €,,Non,"Burgemeester De Cocklaan 10/1
9320 - Aalst",SDB21062612,,,,,Oui,,,,,,,,,,,,Connecté,Gaz,,Hyper équipée,,7.5 m,Oui,,,,,,,,,,,,,,,Oui,,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,170 m²,3,,,Non,,Non,403 m²,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,Non,Zone d'inondation reconnue,392.029 €,,Non,"Burgemeester De Cocklaan 10/1
9320 - Aalst",SDB 21051903,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
47,Après la signature de l’acte,,1970,À rafraîchir,3,1,Pays,105 m²,3,1,1,,Oui,Non,780 m²,Oui,Oui,Non,Oui,,833 kWh/m²,F,20210726-0002445119-RES-1,Non communiqué,Non communiqué,,,,Non,Zone non inondable,319.000 €,819 €,Non,"Ninoofsesteenweg 234B
1700 - Dilbeek",4509531,,,1,33 m²,,11 m²,17 m²,9 m²,8 m²,,,,,,,,Connecté,Gaz,,Hyper équipée,,,,,,,,,,,,,Regio Asse-Dilbeek-Merchtem-Ternat,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Après la signature de l’acte,,2015,Excellent état,4,1,"Zone d'habitat (résidentiel, urbain ou rural)",236 m²,2,1,,,,,2528 m²,,Oui,,,,84 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,,945.000 €,1.733 €,,"Wontergemstraat 3
9810 - Eke",Kristof Welleman,Non,Non,2,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,Oui,,,,,,,,,,,,,,,Non,,,,,,Oui,Oui,,,,,,,,,,,,,,Oui,,,,Woning J,,,,,,,,,,,,,,,,,
49,Après la signature de l’acte,,,Fraîchement rénové,3,1,"Zone d'habitat (résidentiel, urbain ou rural)",,3,2,2,Non,,Non,300 m²,Oui,,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,Zone non inondable,449.000 €,,Non,,,,,1,,Oui,,,,,,1 m²,,,,,Non,Connecté,Gaz,,Équipée,Oui,,Oui,,,,,1 m²,Oui,Non,Non,,,,,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Non,,Non,Non,Non,,,1,Toutes sortes,,,,,,,,,,,,,,,
50,,,2021,Excellent état,2,,,,3,1,2,Non,,Non,736 m²,,,,,,40 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Oui,,Non,Zone non inondable,318.832 €,,Non,"Eedstraat 22-24
9810 - Nazareth",spir18864,Non,Non,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,,Équipée,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Non,Non,,,Non,,,,50,,,,,,,,,,,,,,
51,,,,,,,,,3,,,Non,,,556 m²,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,334.430 €,,Non,"206 Moorselestraat
8930 - Menen",,,,,,,,,,,,,,,,,Non,Non connecté,,,,,,,,,,,,,,,,,,,,,,WVD-Affligem-201001-,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Après la signature de l’acte,17 décembre 2021 - 00:00,1952,À rafraîchir,2,,"Zone d'habitat (résidentiel, urbain ou rural)",134 m²,3,1,2,Oui,,,172 m²,Oui,,Non,Oui,Non,536 kWh/m²,F,20190215-0002132769-RES-1,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,345.000 €,659 €,Non,"Av.de la Brise 46
1020 - Bruxelles",4450209,,,,38 m²,,8 m²,13 m²,14 m²,29 m²,6 m²,75 m²,,,,15 m²,,Connecté,Gaz,,Hyper équipée,,6.5 m,,,,,,16 m²,,,,62 m²,Brabant flamand,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Après la signature de l’acte,,1919,Bon,2,,"Zone d'habitat (résidentiel, urbain ou rural)",16 m²,20 m²,1,8 m²,40 m²,,145 m²,Connecté,80 m²,Non,Oui,Non,263 kWh/m²,C,20090616-0000211382-00000001-4,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",736 €,Non,"Hoogstraat 5
2800 - Mechelen",4497086,,Oui,Zone non inondable,,Oui,Américaine hyper-équipée,3,14 m²,13 m²,1,Oui,Oui,349.000 €,,,Non,,Oui,Oui,,16 m²,,5.73 m,,,,,,,,,,,,,,,129 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Après la signature de l’acte,,1932,Excellent état,2,,,195 m²,4,2,3,Non,Oui,Non,164 m²,Oui,,Non,Non,Non,348 kWh/m²,D,20140114-0001513216-00000005-0,Non communiqué,Non communiqué,Non,Oui,,,Zone non inondable,410.000 €,1.228 €,Non,,,,,,35 m²,,12 m²,19 m²,16 m²,17 m²,,50 m²,"Zone d'habitat (résidentiel, urbain ou rural)",14 m²,,55 m²,Non,Connecté,Gaz,1,Équipée,,7 m,,,,,,25 m²,Oui,Non,Oui,,,,,,,Oui,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Oui,,Non,Non,Oui,,,,,,,,,,,,,,,,,,,
55,Selon le locataire,,1958,,3,2,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,3,1,2,Oui,Oui,Non,417 m²,Oui,,,,,443 kWh/m²,E,20200131-0002241659-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,435.000 €,1.192 €,,"Avenue Henri Feuillien 2
1083 - Ganshoren",,Non,Non,2,23 m²,Oui,9 m²,20 m²,18 m²,,4 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,40 m²,Oui,Connecté,Gaz,1,Équipée,,6 m,,,,,10.5 m,15 m²,,,,,Kassei / Trois Fontaines,,,Non,,Oui,,,,,,,,,,,,,,,,,,"Oui, conforme",,,,,,1,,,Ouest,,,,,,,,,,,,,
56,Après la signature de l’acte,7 août 2021 - 00:00,1970,Bon,3,1,Isolé,135 m²,3,1,2,Oui,,Oui,307 m²,,,,,,257 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,Zone non inondable,375.000 €,1.165 €,Non,"Meeuwenlaan 4
1800 - Vilvoorde",4411169,,,1,36 m²,,6 m²,6 m²,11 m²,16 m²,16 m²,50 m²,,,,,,,Mazout,,Semi-équipée,,,,,,29 m²,,32 m²,,,,12 m²,Brabant flamand,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Après la signature de l’acte,,1954,À rafraîchir,3,,,30 m²,1,Non,,,,Non,Connecté,766 kWh/m²,,,,,F,2455384-RES-1,Non communiqué,Non communiqué,766,Non,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",939 €,Non,"Prinsenstraat, 24
1850 - Grimbergen",VK2021-041,,Non,Zone non inondable,,Hyper équipée,,3,,,,,,349.000 €,,,,98 m²,Oui,Non,,15 m²,,6 m,,,,,,,,,,,,,,,140 m²,,,,,,,,,,,,,,,,,,,,Non,Non,Oui,,,,,Gaz,,,,,,,,,,,,,,
58,,,1918,Bon,2,,,Hyper équipée,2,Oui,,,,Non,5 m,410 kWh/m²,,,,,E,1033378,Non communiqué,Non communiqué,410,Non,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",741 €,Non,"Prinsenstraat, 24
1850 - Grimbergen",,,Non,Zone non inondable,,,,,,,,,,349.000 €,,,,330 m²,Oui,Non,,3,Non,5 m,,,,,Connecté,,,,,,,,,,180 m²,,,,,,,,,,,,,,,,,,,,Non,Non,Oui,,,,,Gaz,,,,,,,,,,,,,,
59,Après la signature de l’acte,,1930,Bon,2,,,25 m²,1,Non,,,,Non,Connecté,277 kWh/m²,,,,,C,20120924-0001214077-00000012-8,Non communiqué,Non communiqué,277,Non,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",873 €,Non,"Prinsenstraat, 24
1850 - Grimbergen",VK22021-025,,Non,Zone non inondable,,12 m²,,4,,,,,,325.000 €,,,,74 m²,Oui,Non,,,,5 m,,,,,,,,,,,,,,,129 m²,,,,,,,,,,,,,,,,,,,Gaz,Non,Non,Oui,,,,,Non,,,,,,,,,,,,,,
60,Après la signature de l’acte,,1975,À rénover,4,,,1,1,Non,,,,Non,20 m,637 kWh/m²,,,,,F,2450893-RES-1,Non communiqué,Non communiqué,637,Non,Oui,Bungalow,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.078 €,Non,"Prinsenstraat, 24
1850 - Grimbergen",VK2021-036,,Non,Zone non inondable,,,,,,,,,,395.000 €,,,,714 m²,Oui,Non,,,,13 m,,,,,Connecté,,,,,,,,,,115 m²,,,,,,,,,,,,,,,,,,,,Non,Non,Oui,,,,Non,Gaz,,,,,,,,,,,,,,
61,,,1918,Bon,2,,,28 m²,4,Non,,,,Non,Connecté,9 m²,,,,,D,2424377-RES-1,Non communiqué,Non communiqué,302,Non,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.311 €,Non,"Prinsenstraat, 24
1850 - Grimbergen",,,Non,Zone non inondable,,Hyper équipée,,4,,,,,,410.000 €,,,,188 m²,Oui,Non,,23 m²,,,,,,,,302 kWh/m²,,,,,,,,,263 m²,,,,,,,,,,,,,,,,,,,Gaz,Non,Non,Oui,,,,,"Oui, conforme",,,,,,,,,,,,,,
62,,,2010,Bon,2,2,,140 m²,3,1,2,Oui,,Non,51 m²,,Oui,,,,127 kWh/m²,B,23088-G-2009/00103/EP05954/A001/D01/SD001,Non communiqué,Non communiqué,,Oui,,Oui,Zone non inondable,299.000 €,1.116 €,Non,"Brusselsesteenweg 65
1850 - Grimbergen",1816732 - VKV-2021-0,,,,,,,20 m²,13 m²,12 m²,,,,,,,,,Gaz,,Équipée,Oui,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Après la signature de l’acte,,,Excellent état,3,1,"Zone d'habitat (résidentiel, urbain ou rural)",33 m²,14 m²,2,43 m²,,,209 m²,Connecté,353 kWh/m²,,,,,D,20210311-0002385742-res-1,Non communiqué,Non communiqué,Non,,Oui,Non,,,1.422 €,"avenue Louise 143 bte 4
1050 - Ixelles",,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Équipée,,3,14 m²,4 m²,1,,,400.000 €,,,Non,,Oui,Oui,,11 m²,,,,,,,,,,,,,,,,Gaz,154 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,2003,Bon,,1,,150 m²,4,1,,Non,,Non,133 m²,Oui,,,,,136 kWh/m²,B,20161006--000190069-3--1,Non communiqué,Non communiqué,,Oui,,,,409.000 €,1.165 €,Non,"Hendrik I-lei 191/01
1800 - Vilvoorde",1800 Wipstraat 26,,,,40 m²,,8 m²,,,,,,,,,,,Connecté,Gaz,,,,6 m,,,,,6 m,,,,,50 m²,,,Ouest,,,Oui,,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
65,Après la signature de l’acte,,1962,À rafraîchir,2,1,,222 m²,3,1,2,,,Non,183 m²,,Oui,,,,296 kWh/m²,C,Certificaat-20210908-0002461619-RES-1.pdf,Non communiqué,Non communiqué,,Oui,Oui,Oui,Zone non inondable,415.000 €,1.601 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782445 - 2021/334/S,,Non,2,41 m²,Oui,7 m²,17 m²,16 m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,,Semi-équipée,,,,,,,,,,,,,,1,Nord-ouest,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,À rafraîchir,4,,,85 m²,1,19 m²,,Oui,,Non,20 m,12 m²,,,,,F,20210524-0002419520-RES-1,Non communiqué,Non communiqué,581,Non,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",2.570 €,Non,"Prinsenstraat, 24
1850 - Grimbergen",VK2021-020,,Non,Zone non inondable,,Hyper équipée,,8,,,,Oui,,850.000 €,,,Non,351 m²,Oui,Non,,13 m²,,16 m,,,,,Connecté,581 kWh/m²,,,,,,,,,719 m²,,,,,,,,,,,,,49 m²,,,,,,,Non,Non,Oui,,,,,Mazout,,,,,,,,,,,,,,
67,Selon le locataire,,1960,Bon,2,,Isolé,,16,8,8,,,Non,,Oui,,Non,Non,Non,157 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,1.440.000 €,,Oui,".
1090 - Bruxelles",,,,,20 m²,,12 m²,17 m²,8 m²,,,,,,,,,Connecté,Gaz,,Pas équipée,Oui,,,,,,,,Oui,,,,,8,,,,,4528302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,1958,Excellent état,,1,,120 m²,3,1,1,Non,,,,Oui,Oui,,,,239 kWh/m²,C,20180727--000207865-9--1,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,369.000 €,1.088 €,Non,"Hendrik I-lei 191/01
1800 - Vilvoorde",1800 Mezenlaan 53,Oui,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Gaz,,Hyper équipée,,,Oui,,,,,,,,,50 m²,,,Nord,,,Oui,,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
69,Après la signature de l’acte,,,À rafraîchir,3,1,,120 m²,4,1,1,,,Non,211 m²,Oui,,,,,416 kWh/m²,E,20191211-0002227548-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,289.000 €,798 €,Non,"James Ensorlaan 39
1800 - Vilvoorde",1979853 - 1388,Non,,1,28 m²,,8 m²,15 m²,8 m²,8 m²,,100 m²,"Zone d'habitat (résidentiel, urbain ou rural)",7 m²,,,,,Gaz,,Pas équipée,,7 m,,,,,7 m,35 m²,,,,,,,Est,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Après la signature de l’acte,,1976,Excellent état,3,1,,,3,1,2,Non,,Non,324 m²,Oui,,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,,495.000 €,,Non,,,,,2,,,14 m²,15 m²,15 m²,7 m²,,150 m²,,,,,Non,Connecté,Gaz,,Hyper équipée,,10 m,,,,,,15 m²,Non,Oui,Non,,,2,Sud,,,,,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,,,,Toutes sortes,,Sud,,,,,,,,,,,,,
71,Après la signature de l’acte,,1969,Bon,3,1,,166 m²,3,1,2,,,Non,311 m²,Oui,,,,,349 kWh/m²,D,20180413-0002049544-1,Non communiqué,Non communiqué,,Oui,Oui,Oui,Zone non inondable,399.000 €,927 €,Non,"James Ensorlaan 39
1800 - Vilvoorde",1979835 - 1374,Oui,,3,28 m²,,11 m²,15 m²,13 m²,8 m²,,60 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,20 m²,,,Gaz,,Semi-équipée,,,,,,,10 m,35 m²,,,,,,,Nord-ouest,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,1931,Bon,2,,,207 m²,3,1,3,,,Non,60 m²,Oui,,,,,223 kWh/m²,C,20210314-0002387173-RES-1,Non communiqué,Non communiqué,,Oui,,Oui,Zone non inondable,229.000 €,1.303 €,Oui,"James Ensorlaan 39
1800 - Vilvoorde",1979774 - 1336,Non,,,26 m²,,12 m²,16 m²,16 m²,6 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,47 m²,,,Gaz,,Semi-équipée,,5 m,,,,,,,,,,,,3,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Après la signature de l’acte,,1919,Bon,2,,,240 m²,5,1,2,,,Non,125 m²,Oui,,,,,249 kWh/m²,C,20210412-0002400081-RES-1,Non communiqué,Non communiqué,,Oui,,Oui,Zone non inondable,349.000 €,862 €,Non,"James Ensorlaan 39
1800 - Vilvoorde",1979798 - 1352,Non,Non,,38 m²,,22 m²,18 m²,17 m²,17 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",9 m²,6 m²,,,,Mazout,,Semi-équipée,Oui,6 m,,,,,6 m,33 m²,,,,,,1,Est,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Après la signature de l’acte,12 juillet 2021 - 00:00,,Fraîchement rénové,2,,Isolé,205 m²,4,2,2,Oui,,Non,190 m²,,,,,,368 kWh/m²,D,20180807-0002080845-1,Non communiqué,Non communiqué,,,,,Zone non inondable,500.000 €,,Non,"Meeuwenlaan 4
1800 - Vilvoorde",4412059,,,,27 m²,,21 m²,22 m²,18 m²,13 m²,13 m²,100 m²,,14 m²,,25 m²,,,,,Équipée,,,,,,18 m²,,28 m²,,,,28 m²,Brabant flamand,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,À définir,,,Bon,,,,24 m²,27 m²,,Oui,,Non,200 m²,Connecté,100 m²,Sud-est,,,,D,20210720-0002443905-RES-1,Non communiqué,Non communiqué,Gaz,,299.000 €,,,,535 €,Non,"Leopoldstraat 37
2800 - Mechelen",,,,,,Équipée,,4,22 m²,11 m²,7 m²,,Sud-est,,Non,,,,Oui,Non,,11 m²,Oui,,,,,,,,,,,,,,Oui,,162 m²,,,2,,,,,,,,,,,,,,,,,Oui,,,,,,,,310 kWh/m²,,,,,,,,,,,,,
76,,1 avril 2022 - 00:00,1970,,2,1,Urbain,166 m²,4,1,2,,,Non,152 m²,,,,,,Non communiqué,Non communiqué,20130414-0001348906-00000001-4,Non communiqué,Non communiqué,Non,Oui,,,,395.000 €,2.665 €,Non,"Avenue de Busleyden 21
1020 - Laeken",Vincent JACOB,,,2,47 m²,,,25 m²,15 m²,11 m²,,55 m²,,7 m²,,,,,Gaz,,Équipée,,,,JUST - V21/138,,,,15 m²,Oui,,Oui,,,,Sud-est,Non,,,,,,Oui,,,,,,,,,,,,,,,Non,Non,,,,,,,Sud,,,,,,,,,,,,,
77,Après la signature de l’acte,,,Excellent état,2,1,,230 m²,6,2,2,,,Non,245 m²,Oui,,Non,Oui,Non,183 kWh/m²,B,20170804-0001982703-3,Non communiqué,Non communiqué,,Oui,,,,495.000 €,,Non,"Avenue d'Itterbeek, 60
1070 - Anderlecht",4419274,,,1,52 m²,,10 m²,18 m²,16 m²,12 m²,,115 m²,,12 m²,10 m²,,,,Gaz,,Américaine hyper-équipée,,,,,,,,33 m²,Oui,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,,1950,Bon,2,1,,110 m²,2,1,1,Oui,,Non,164 m²,Oui,,Non,Non,,282 kWh/m²,C,20210623-0002433179-RES-1,Non communiqué,Non communiqué,,Oui,,,,325.000 €,,Non,"Rue de Wand 25
1020 - Laeken",4383251,,,,25 m²,,7 m²,11 m²,12 m²,,6 m²,15 m²,,,,,,Connecté,Gaz,,Équipée,Oui,6 m,,,,15 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Selon le locataire,,,À rafraîchir,3,1,"Zone d'habitat (résidentiel, urbain ou rural)",130 m²,3,1,1,Oui,,Non,,Oui,,Non,Oui,,461 kWh/m²,E,EP17249,461 kg CO₂/m²,Non communiqué,,Oui,,,,335.000 €,1.048 €,Non,"Rue de Wand 25
1020 - Laeken",4372488,,,3,28 m²,,12 m²,12 m²,10 m²,20 m²,7 m²,120 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Gaz,,Semi-équipée,Oui,,,,,,,10 m²,,,,,Brabant-Flamand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 €,,,,,,,,,,,,
80,Après la signature de l’acte,,2021,Bon,2,,,195 m²,3,1,,,,Non,145 m²,Oui,,Non,Non,,19 kWh/m²,A,23088-g-omv_2019043392/ep14809/a001/sd00,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Zone non inondable,495.000 €,1.296 €,Non,"Prinsenstraat, 24
1850 - Grimbergen",VK2021-045,Non,Non,,38 m²,,13 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,Connecté,Gaz,,Hyper équipée,,6 m,,,,,6 m,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,"Oui, conforme",Non,Non,Non,,,,Maison bel-étage,19,,,,,,,,,,,,,,
81,Équipée,,,,,,,,Oui,200 m²,,,,,408 kWh/m²,,E,,,,20120312-0001063238-00000049-3,Non communiqué,Non communiqué,240.000 €,958 €,,,,,,,"Boulevard du Souverain, 288
1160 - Auderghem",Marie-Charlotte WARNIER,,,,,,,,,,,,,,,,,,,,,,2,Oui,,,,,,,,,,,,,,,,3,,,,,,,,,Non,(àpd 6/11 au 24/11 incl.) : sam. et mercr. de 14-16h. MASQUE OBLIGATOIRE.,Après la signature de l’acte,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Après la signature de l’acte,,,Bon,2,,,210 m²,7,,2,,,Non,,Oui,,,,,357 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,395.000 €,1.000 €,Non,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4240 - 2142,,,,37 m²,,,,,,,32 m²,,,,,,,Électrique,,Équipée,,,,,,,,32 m²,,,,,,1,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Après la signature de l’acte,,,Fraîchement rénové,2,1,,215 m²,5,2,3,,,Oui,,Oui,,Non,Non,Non,229 kWh/m²,C,2017030500019397071,Non communiqué,Non communiqué,,Oui,,,,599.000 €,1.804 €,Non,"Avenue d'Itterbeek, 60
1070 - Anderlecht",4433051,,,2,49 m²,Oui,10 m²,18 m²,9 m²,11 m²,,,,21 m²,8 m²,,,,Gaz,,Américaine hyper-équipée,,,,,,,,22 m²,Oui,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,2,,,178 m²,4,1,3,,,Non,146 m²,,,,,,445 kWh/m²,E,20210701-0002436870-RES-1,Non communiqué,Non communiqué,Non,Oui,,,,378.000 €,,Non,"Rue F. Vekemans 121
1120 - Neder-over-Heembeek",1860,,,,40 m²,Oui,,,,,,50 m²,,,,,,,,,Équipée,Oui,,,,,,,,,,,,,2,Sud-est,Non,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,
85,1971,,1,,,Oui,,,2,Oui,132 m²,,,,676 kWh/m²,,F,,,,20210519-0002417088-RES-1,Non communiqué,Non communiqué,Mazout,Non,,,225.000 €,,1.757 €,,"Grote Markt, 21
1800",Athina VAN PARYS,,,,,,,,,,,,,,,,,,,,Oui,,,,,1,,,,,,,,,,,,,,2,Oui,,,,,,,,Non,"nl :
woensdag 8/09, 15/09 en 22/09 van 14u-15u, zaterdag 11/09, 18/09 en 25/09 van 14u-15u",Après la signature de l’acte,Non,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,
