,À partir de,Année de construction,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Meublé,Porte blindée,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Terrasse,Accès sécurisé / alarme,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Surface du salon,Toilettes,Orientation du jardin,Surface de la terrasse,Niveau E (performance énergétique globale),État du bâtiment,Parkings extérieurs,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Buanderie,Bureau,Surface du grenier,Jardin,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Obligation de construire,Revenu cadastral,Lieu de la vente,Séance unique,Modalités de visite,Surface de la cave,Panneaux solaires,Mise à prix,Salon,Grenier,Largeur de la façade à rue,Visite virtuelle,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,Surface constructible totale au sol,Combien de feux ouverts ?,Orientation de la terrasse,Ascenseur,Climatisation,Sauna,Piscine,Nom de l'agent,Salle à manger,Largeur du terrain à rue,Espace professionnel,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Salles de douche,Disponible le,Concierge,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Jacuzzi,Internet,Surface de l'espace professionnel,Nombre d'annexes,Isolé,Nom du bien,Référence externe,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Quartier ou lieu-dit
117,,1911,2,1,,770 m²,,3,,,Non,Non,770 m²,Oui,500 m²,,Non,476 kWh/m²,E,201909921-0002197769-RES-1,Non communiqué,Non communiqué,,Oui,Oui,,Oui,,Zone non inondable,,290.000 €,Non,,,16 m²,2,Sud,30 m²,,Bon,1,14 m²,16 m²,16 m²,12 m²,Non,Oui,Non,32 m²,,,,Non,,647 €,,,,28 m²,Non,,,,10 m,,,,,Oui,Non,Oui,Oui,Connecté,18247 m²,,Sud,Non,Non,Non,Non,,Oui,17 m,Non,Non,Non,Toutes sortes,1,,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,
118,Immédiatement,1982,6,2,,377 m²,,4,1,,Non,Non,1115 m²,Oui,600 m²,,,453 kWh/m²,E,20210218-0002375580-RES-1,Non communiqué,Non communiqué,,Non,Oui,Oui,Non,Non,Zone non inondable,,510.000 €,Non,,,58 m²,2,Ouest,,,À rafraîchir,5,18 m²,18 m²,20 m²,20 m²,Non,Oui,Non,118 m²,,,Gaz,Non,,1.212 €,,,,,Non,,,,15 m,,8 m²,,,Oui,Non,Non,Non,Connecté,,1,,,,,,,,,Non,Non,Non,Toutes sortes,1,,,,,,,,,,Oui,,,,,,,,,,,,
119,Après la signature de l’acte,1958,4,8,Pays,429 m²,Pas équipée,4,2,,Non,Non,5858 m²,Non,1 m²,,Non,782 kWh/m²,F,20210907-0002460943-RES-1,924 kg CO₂/m²,Non communiqué,,Oui,Oui,,Oui,,Zone non inondable,Zone agricole,565.000 €,Non,,,,2,,,2,À rénover,10,20 m²,20 m²,20 m²,15 m²,Oui,Oui,Non,,,,Bois,Non,,,,,,,Non,,Oui,Oui,11 m,,25 m²,,,Oui,Non,Non,Oui,Connecté,429 m²,2,,Non,Non,Non,Non,,Oui,58 m,Non,Non,Non,Villa,,,Non,Non,Non,Non,Non,Oui,200 m²,2,,,,,,,,,,,,,
120,,1998,2,,,,,5,2,,Non,,869 m²,Oui,,,,225 kWh/m²,C,20210531-0002422645-RES-1,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.150.000 €,Oui,"Antwerpsesteenweg 359
2500 - Lier",34246 - LIE-21-GLE-0,,,,,,Excellent état,,,,,,,,,,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,À définir,1976,4,,,135 m²,Hyper équipée,3,1,,Non,Non,518 m²,Oui,,,Non,221 kWh/m²,C,20210620-0002431469-RES-1,Non communiqué,Non communiqué,,Oui,,,,,Zone non inondable,Zone d'extension d'habitat,418.000 €,Non,,,23 m²,1,,33 m²,,Fraîchement rénové,,9 m²,12 m²,14 m²,13 m²,Non,,Non,,,Non,,Oui,,350 €,,,,,Oui,,,,,,,,,Non,Non,Non,Non,Connecté,,,,Non,Oui,Non,Non,,,,Non,Non,Non,,,,Non,Non,Oui,Oui,Non,Oui,,,,,,,,,,,,,,,
122,À la livraison,1952,2,,,124 m²,,3,1,Oui,Non,,179 m²,Oui,,,,1149 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",40289 - LIE-21-GLE-0,,1,,,,À rénover,,,,,,,,,,,,,,,198 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,À la livraison,2022,3,,"Zone d'habitat (résidentiel, urbain ou rural)",125 m²,Équipée,3,1,,Non,Non,388 m²,Oui,256 m²,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,Oui,,Non,,,430.000 €,Non,,,,2,Sud-est,18 m²,,Excellent état,2,10 m²,12 m²,11 m²,11 m²,Non,Oui,Non,33 m²,,,,Non,,,,,,,Non,,,,7 m,,,,,Oui,Non,Non,Non,,,,Sud-est,Non,Non,Non,Non,,,,Non,Non,Non,,,,Non,Non,Oui,Non,Non,Non,,,Oui,,,,,,,,,,,,
124,,1884,,,,116 m²,Équipée,2,1,,Non,Non,545 m²,Oui,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",397.800 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/10323,,2,Sud-est,,,Bon,2,,,,,,,Non,,Oui,,,,,261 €,,,,,,,Oui,,,,,,,,,,,Connecté,,,,Non,,,Non,,,8 m,,,,,,,,Non,Oui,Non,,,,,,,,,,,,,,,,,
125,À la livraison,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Oui,Non,Non,,,,Oui,"Grote Markt 10
2200 - HERENTALS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,1950,3,1,,199 m²,Pas équipée,3,1,,Non,Non,402 m²,Oui,300 m²,,,516 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",305.000 €,Non,,,35 m²,1,Sud-est,,,Bon,,,16 m²,10 m²,26 m²,Non,,Non,,,,,,,462 €,,,,,,,,Oui,10 m,,,,,Non,Non,Non,Oui,,,,,,,,,,Oui,10 m,Non,,,Toutes sortes,1,,,,,,,,,,Oui,,,,,,,,,,,,
127,À définir,,3,,"Zone d'habitat (résidentiel, urbain ou rural)",,,2,1,Oui,Non,Non,255 m²,Oui,1 m²,,,445 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Non,,,,,Zone non inondable,,293.000 €,Non,,,,2,Nord-est,,,Bon,,,,,,Non,,Non,,,,Gaz,Non,,,,,,,Non,,Oui,,,,,,,Non,Non,Non,Non,Connecté,,2,,,,,,,Oui,,Non,Non,Non,Toutes sortes,1,,,,,,,,,,,,,,,,,,,,,,
128,,2014,,,,,,,,,,,60000 m²,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,Non,Non,Non,Zone non inondable,Zone agricole,2.420.000 €,Non,"Aarschotsesteenweg 201
2500 - Lier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,IF-3009,,,,,,,,,,
129,Après la signature de l’acte,,2,,,150 m²,,3,1,,Non,Non,360 m²,Oui,,Oui,,514 kWh/m²,F,2473571,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,29 m²,,,,514,Bon,,22 m²,,,,,,,,,,Gaz,Non,,,,,,8 m²,Non,,,,,,,,,,,,,Connecté,,,,,,,,,Oui,,,Non,Non,,,,,,,,,,,,,,2021N139,,,,,,,,,,
130,Après la signature de l’acte,1933,3,,Urbain,96 m²,Équipée,2,1,,,,500 m²,,,Oui,,311 kWh/m²,D,20210730-0002446780-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",324.000 €,Non,"Turnhoutsebaan 175B
2970 - SCHILDE",4430792,40 m²,1,,,,Fraîchement rénové,2,8 m²,14 m²,14 m²,,,,,,,,Gaz,,,294 €,,,,,,,,,4 m,,,,,,,,,,,,,,,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,,,,,,Groot Schilde
131,À définir,1995,4,2,,200 m²,,3,1,,Non,Non,740 m²,Oui,1 m²,,Non,202 kWh/m²,C,20210901-0002458985-RES-1,Non communiqué,Non communiqué,,Oui,,,Non,Non,Zone non inondable,,549.000 €,Non,,,40 m²,2,,20 m²,,Excellent état,5,,,,,Non,Oui,Non,150 m²,,,Gaz,Non,,2.193 €,,,,,Non,,,,9 m,,,,,Non,Non,Non,Non,Connecté,,1,,Non,Non,Non,Non,,,15 m,Non,Non,Non,Toutes sortes,,,Non,Non,Non,Non,Non,Oui,,1,Oui,,,,,,,,,,,,
132,À définir,2015,3,1,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,Équipée,4,1,,,,257 m²,Oui,88 m²,,,86 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,Oui,Non,Non,Zone non inondable,Zone d'extension d'habitat,512.000 €,,"Merksemsebaan 2B
2110 - Wijnegem",,34 m²,2,Sud,,53,Excellent état,2,11 m²,19 m²,15 m²,15 m²,Oui,Oui,,,,,Gaz,,,,,,,,,,,,,,57 m²,,,,,,,Connecté,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
133,À définir,2000,3,,,240 m²,Équipée,5,2,,Non,,317 m²,,180 m²,,Oui,143 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,Non,"Oude Baan 22
2930 - Brasschaat",spir3189,42 m²,2,Sud-ouest,30 m²,,Excellent état,3,15 m²,20 m²,10 m²,9 m²,Non,Oui,Non,20 m²,,Non,Gaz,Non,Non,,,,,,,,,,6 m,,19 m²,16 m²,,,,,,,,2,,Non,,,Non,,Oui,9 m,,,,,2,,Non,Non,Oui,Oui,,,,,,,,,,,,,,,,,
134,Après la signature de l’acte,2000,4,,,313 m²,Hyper équipée,3,1,,Non,Non,624 m²,Oui,,,Oui,199 kWh/m²,B,20210409-0002399067-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Non,"Vrijheid 147
2320 - Hoogstraten",,,,,,199,Bon,,,,,,,,,,,,Gaz,Non,,1.103 €,,,,,Oui,,,,,,,,,,,,,Non connecté,,,,Non,,,,,,15 m,,Oui,Non,,,,,Non,,,,,,,,,2021-194,,,,,,,,,,
135,À définir,1982,3,1,,212 m²,Hyper équipée,3,1,,Non,Non,686 m²,Oui,400 m²,,Oui,246 kWh/m²,C,20210827-0002456868-RES-1,246 kg CO₂/m²,Non communiqué,,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,Non,,,38 m²,2,Sud,20 m²,,Excellent état,3,16 m²,14 m²,13 m²,19 m²,Non,Oui,Non,45 m²,,"Oui, conforme",Gaz,Non,Non,,,,,,Non,,,,8 m,,,,,Oui,Non,Non,Oui,Connecté,146 m²,,Sud-est,Non,Oui,Non,Non,,Oui,12 m,Non,Non,Non,,,,Non,Non,Oui,Non,Non,Oui,,,Oui,,,,,,,,,,,,
136,,1949,,,,210 m²,Équipée,6,2,,,,485 m²,Oui,275 m²,,,277 kWh/m²,C,2433312-RES-1,Non communiqué,Non communiqué,,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,Non,"Turnhoutsebaan 175
2110 - Wijnegem",,,,Sud,,,,,13 m²,19 m²,18 m²,15 m²,Oui,,Non,,,,Gaz,,Non,555 €,,,,,,,,,,,14 m²,13 m²,,Non,Non,Non,Non,Connecté,113 m²,,,,,,,,,,,,,,,,,,,,,,,,,,VKW0978,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Toutes sortes,,,,,,,,,,"Broechemlei 24
2520 - Ranst",21898,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,
138,,1975,,2,,420 m²,,5,1,,,,817 m²,Oui,,,Oui,330 kWh/m²,D,20210920-0002466139-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",645.000 €,Non,"Broechemlei 24
2520 - Ranst",21933,,3,Ouest,,,,,,,,,Non,,Non,,Oui,,Gaz,,Non,,,,,,,,Oui,,,,,,,Non,Non,Non,Non,Connecté,,,,Non,,,Non,,,,,,,Toutes sortes,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,
139,,,,,,145 m²,,3,1,,,,350 m²,Non,,,,664 kWh/m²,F,20210906-0002460466-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,Non,"Broechemlei 24
2520 - Ranst",21928,,,,,,,,,,,,Non,,Non,,,,Mazout,,Non,,,,,,,,Oui,,5 m,,,,,Non,Non,Non,Non,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,1971,3,1,,,,Oui,2,,,,1102 kWh/m²,,,,,F,20210713-0002441422-RES-1,Non communiqué,Non communiqué,Oui,,,Zone inondable potentielle,,,,290.000 €,,808 €,"Van den Nestlaan, 32
2520 - RANST-BROECHEM",Evelyn AVAERT,,,400 m²,,,,,,,,,,1,,,,,,,,,Non,,,,,,,2,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,À définir,,,,,,Hyper équipée,3,,,Non,,232 m²,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",334.000 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,2,,,,Excellent état,,,,,,Non,,,,,,,Non,,,,,,,,,,Oui,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,À définir,,,,,,Hyper équipée,3,,,Non,,437 m²,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",391.800 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,2,,,,Excellent état,,,,,,Non,,,,,,,Non,,,,,,,,,,Oui,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,3,,"Zone d'habitat (résidentiel, urbain ou rural)",175 m²,,3,,,,,305 m²,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,399.500 €,,"Kwadeveldenstraat 31 CH
3920 - Lommel",,,,,,10,,,,,,,,,Oui,,,,Électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Vanheukelom,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
144,À définir,,,,,,Hyper équipée,3,,,Non,,1322 m²,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",458.900 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,2,,,,Excellent état,,,,,,Non,,,,,,,Non,,,,,,,,,,Oui,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Après la signature de l’acte,,2,,,120 m²,,2,1,,Non,,279 m²,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,205.000 €,Non,"Verbeytstraat 1 B1
1853 - Strombeek-Bever",4516163,,,,,,À rénover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,À définir,,,,,,Hyper équipée,3,,,Non,,432 m²,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",373.000 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,1,,,,Excellent état,,,,,,Non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,,,,Non,"Beyntel 5
2360 - Oud-Turnhout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,3,,"Zone d'habitat (résidentiel, urbain ou rural)",,,4,,,,,385 m²,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",427.000 €,,"Kwadeveldenstraat 31 CH
3920 - Lommel",,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Vanheukelom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1965,4,,,,,,35924 m²,694 kWh/m²,,,,F,,,,,20201202-0002346059-RES-1,Non communiqué,Non communiqué,Non,Oui,,,,Zone non inondable,700.000 €,,1.588 €,,,Alexander SELS,,,,,,,,,,,,,,,,,,,,,,,"Heuvelstraat, 54
2530 - BOECHOUT",Non,"nl :
Het goed kan door kandidaat-kopers bezocht worden elke zaterdag van 10u-12u en iedere woensdag van 15u-16u, en dit vanaf 4 augustus 2021 tot en met 11 september 2021.",Après la signature de l’acte,,,Non,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2,,Oui,,,,,1,1,,,,Non communiqué,,,,,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,,125.000 €,,,,500 €,,,Lize BLIECK,,,,Non communiqué,,,,,,,,,,,,,,,,,,,"Ambtmanstraat 7
2000 - Antwerpen",Non,"nl :
Elke maandag van 13u-14u30 en elke zondag van 14u30 tot 16u00, en dit vanaf zondag 3 oktober 2021 tot en met maandag 1 november 2021. Zonder afspraak.",Après la signature de l’acte,,,Non,1,,,1,,,,,,,,,,,,,,,,,,,,,,,154 m²,,,,,,,,,,,,,,,,,,,,,,
151,Après la signature de l’acte,1900,3,1,"Zone d'habitat (résidentiel, urbain ou rural)",206 m²,Pas équipée,4,1,,Non,,865 m²,Oui,454 m²,,,1327 kWh/m²,F,20140821-0001642605-00000002-3,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",532.000 €,,"Mussenhoevelaan 101
2530 - Boechout",,20 m²,1,Nord,,,À rénover,2,12 m²,20 m²,15 m²,20 m²,,,Oui,,,,Gaz,,,699 €,,,,41 m²,,,,Oui,4.77 m,,15 m²,,10 m²,,,,,Connecté,,,,,,,,,Oui,19 m,Oui,,,,,,,,,,,,206 m²,1,,,,,,,,,,,,,
152,Après la signature de l’acte,1964,2,,,170 m²,,3,1,,Non,Non,420 m²,Oui,360 m²,,,441 kWh/m²,E,20140407-0001569857-00000003-0,Non communiqué,Non communiqué,,Oui,,,,,Zone non inondable,,345.000 €,Non,,,38 m²,2,,,,À rafraîchir,,7 m²,16 m²,16 m²,6 m²,Non,,Oui,30 m²,,"Oui, conforme",Gaz,Non,,756 €,,,,,Non,,,,7 m,,,,6 m²,Non,Non,Oui,Non,Connecté,,,,,,,,,,,Oui,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,
153,Après la signature de l’acte,1900,4,1,"Zone d'habitat (résidentiel, urbain ou rural)",369 m²,,9,2,Oui,,,1575 m²,Oui,960 m²,,,1327 kWh/m²,F,20140821-0001642605-00000002-3,Non communiqué,Non communiqué,,,Oui,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.042.000 €,,"Mussenhoevelaan 101
2530 - Boechout",,,2,Nord-ouest,,,À rénover,3,,,,,,Oui,Oui,,,,Gaz,,,699 €,,,,,,,Oui,Oui,12 m,,,,,,,,Oui,Connecté,,,,,,,,,Oui,28 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Après la signature de l’acte,1900,3,,"Zone d'habitat (résidentiel, urbain ou rural)",228 m²,Pas équipée,4,,,Non,,710 m²,Oui,450 m²,,,605 kWh/m²,F,20210605-0002425230-RES-1,Non communiqué,Non communiqué,Non,,Oui,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",510.000 €,,"Mussenhoevelaan 101
2530 - Boechout",,26 m²,1,Nord,,,À rénover,1,10 m²,27 m²,20 m²,16 m²,,,,43 m²,,,Gaz,,,605 €,,,,32 m²,,,,,8 m,,6 m²,,,Oui,,Oui,Oui,Non connecté,,,Nord,,,,,,Oui,,,,,,,,,,,,,,,,,Landhuis Pastoorshof,,,,,,,,,,,
