,À partir de,Année de construction,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Meublé,Porte blindée,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Terrasse,Accès sécurisé / alarme,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Surface du salon,Toilettes,Orientation du jardin,Surface de la terrasse,Niveau E (performance énergétique globale),État du bâtiment,Parkings extérieurs,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Buanderie,Bureau,Surface du grenier,Jardin,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Obligation de construire,Revenu cadastral,Lieu de la vente,Séance unique,Modalités de visite,Surface de la cave,Panneaux solaires,Mise à prix,Salon,Grenier,Largeur de la façade à rue,Visite virtuelle,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,Surface constructible totale au sol,Combien de feux ouverts ?,Orientation de la terrasse,Ascenseur,Climatisation,Sauna,Piscine,Nom de l'agent,Salle à manger,Largeur du terrain à rue,Espace professionnel,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Salles de douche,Disponible le,Concierge,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Jacuzzi,Internet,Surface de l'espace professionnel,Nombre d'annexes,Isolé,Nom du bien,Référence externe,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Quartier ou lieu-dit
97,Selon le locataire,,2,,Urbain,130 m²,,4,,,,,185 m²,Oui,,,,493 kWh/m²,E,20151015-0001802383-1,Non communiqué,Non communiqué,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,Oui,"Berlarij, 46/2
2500 - Lier",,,,Nord-ouest,,,À rénover,,,15 m²,15 m²,15 m²,,,,,Oui,,,,,,,,,,,,,,4 m,,10 m²,,,,,,,,,,,,,,,Lore Soons,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,
98,À définir,2015,4,5,,800 m²,Hyper équipée,8,5,Oui,,,4500 m²,Oui,2500 m²,Oui,Oui,67 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,,,,,2.875.000 €,Non,"Koningsplein 5
2500 - Koningshooikt",4330112,,,,,,Excellent état,5,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,Connecté,,,,,,,Oui,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,
99,,,,,Urbain,,2,Non,1,Non,Non,,,Oui,,553 kWh/m²,,F,20210311-0002385305-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",PM/20210311,,,Non,Oui,,,,,,,,,1,,Oui,,Sud-est,,Oui,,Non,,,,,,,,Oui,,5 m,Oui,,,,Non,Non,Non,5 m,Oui,,,,,,,,,Semi-équipée,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,2,,,,,3,1,,Non,Non,,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",389.000 €,Non,"Vanderpoortenlaan, 15
2500 - Lier",,32 m²,1,,,,Bon,,14 m²,,,,,,Non,,,,,,,,,,,,,,,,5.5 m,,,,,,,,,Non connecté,,,,,,,,,,5.5 m,,,,,,,,,,,,,,,,,TK/0585,,,,,,,,,,
101,,,,,,,2,Non,Non,Non,,,,271 kWh/m²,,,,C,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2515 ML,,,,,,,,,,,,,1,,Oui,,,,Oui,,Non,,,,,,,,,,,Équipée,,,,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,Non,Non,,,,,Oui,,471 kWh/m²,,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",205.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2615 ML,,,,,,,,,,,,,1,,Non,,,,Oui,,Non,,,,,,,,,,,3,,,,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,4,,,,,,Oui,48 m²,,,228 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Non,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",367.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",04192021-02TB,38 m²,,,,,,,,18 m²,12 m²,18 m²,Non,,Non,,,,,,Non,,,,,,,,,,,,12 m²,,,Non,Non,Non,Non,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,1998,4,1,,290 m²,Équipée,3,1,,Non,,1323 m²,,,,,262 kWh/m²,C,20210812-0002449786-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",635.000 €,Non,"Sint Cordulastraat 19/1
2900 - Schoten",,45 m²,2,,20 m²,,Bon,4,,,,,,,,,,,,,,1.580 €,,,,,,,,,16 m,,,,,,,,,,,,,,,,,,,25 m,,,,,,,,,,,,,,,,,1659 - 1862,,,,,,,,,,
105,Après la signature de l’acte,1993,4,,,132 m²,Semi-équipée,3,1,Oui,Non,,1400 m²,,,,,322 kWh/m²,D,20210904-0002460233-RES-2,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,Non,"Sint Cordulastraat 19/1
2900 - Schoten",,40 m²,1,,25 m²,,Bon,3,,,,,,,,,,Non,Gaz,,,815 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.12 m,,,,,,,,,,,,,,,,,1664 - 1866,,,,,,,,,,
106,Après la signature de l’acte,2015,3,1,,250 m²,Équipée,4,1,Oui,Non,,438 m²,,,,,37 kWh/m²,A,11035-G-2014/00056/EP07506/A001/D01/SD001,Non communiqué,Non communiqué,Non,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",560.000 €,Non,"Sint Cordulastraat 19/1
2900 - Schoten",,30 m²,2,,20 m²,,Bon,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2 m,,,,,,,,,,,,,,,,,1632 - 1837,,,,,,,,,,
