,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Chambres,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Adresse,À partir de,Quartier ou lieu-dit,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Grenier,"Eau, gaz & électricité",Surface de la terrasse,Accès sécurisé / alarme,Prix,Revenu cadastral,Immeuble de rapport,Référence externe,Combien de feux ouverts ?,Type de cuisine,Surface de bureau,Bureau,Raccordement à l'égout,Jardin,Orientation du jardin,Piscine,Salles de douche,Meublé,Surface du jardin,Orientation de la terrasse,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Site internet,Visite virtuelle,Terrasse,Ascenseur,Type de zone inondable,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Nom de l'agent,Dressing,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Chauffe-eau commun,Salon,Cave,Surface de l'espace professionnel,Buanderie,Largeur du terrain à rue,Attestation de conformité des citernes à mazout,Disponible le,Droit d'achat prioritaire possible,Permis de bâtir obtenu,Type de construction,Obligation de construire,Surface constructible totale au sol,Surface du grenier,Nombre d'annexes,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Mise à prix
41,2008,Excellent état,3,230 m²,4,400 m²,242 kWh/m²,C,Non communiqué,41 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,,,,,,,"Bld. Brand Whitlock 108
1200 - Woluwe-Saint-Lambert",Après la signature de l’acte,,10 m,1,,Isolé,75 m²,,,25 m²,16 m²,25 m²,16 m²,,2,3,,Oui,64 m²,Oui,585.000 €,1.953 €,Non,4491049,,Hyper équipée,10 m²,Oui,,,,Non,,Non,300 m²,,,,,Oui,,,,Non,Zone non inondable,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,3 janvier 2022 - 00:00,,,,,,,,,,,
42,1971,À rafraîchir,4,21 m²,17 m²,Oui,E,20210913018544,66 kg CO₂/m²,68962 kWh/an,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,4497662,Après la signature de l’acte,Brabant Wallon,,1,1,Isolé,Oui,Semi-équipée,3,17 m²,11 m²,2,,,2,7 m²,Non,600 m²,,,2.037 €,Non,"Avenue de Tervueren 446
1150 - Bruxelles",,,8 m²,Oui,55 m²,,,,,,826 m²,Oui,,,,,,,137 m²,358 kWh/m²,,,,,495.000 €,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,Bon,2,26 m²,13 m²,10.06 m,C,20210718000695,40 kg CO₂/m²,37263 kWh/an,Gaz,Oui,Oui,,,,,,,,,,4407514,Après la signature de l’acte,Brabant Wallon,9.5 m,,5,"Zone d'habitat (résidentiel, urbain ou rural)",Équipée,,2,6 m²,1,,,,4,16 m²,,489 m²,193 kWh/m²,,1.900 €,Non,"Place Communale 8
1160 - Auderghem",,,20 m²,Oui,24 m²,Oui,,,,,630 m²,80 m²,,,,,,,156 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,449.000 €,,,,32 m²,,,,,,,,,,,,,,,,,16 m²,,Connecté,,,Zone non inondable,141 m²,,,Oui,Non,,,,,
44,1971,Bon,4,137 m²,3,826 m²,358 kWh/m²,E,20210913018544,66 kg CO₂/m²,68962 kWh/an,Gaz,Oui,,,,,,,,,,"Chaussée de Tervuren 149/3
1410 - Waterloo",Après la signature de l’acte,L'ERMITE,12 m,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",31 m²,,,18 m²,17 m²,12 m²,8 m²,,2,2,,Oui,20 m²,,495.000 €,2.037 €,Non,,1,Hyper équipée,7 m²,Oui,,,Est,,,Non,600 m²,,Non,,,,883 - 1637,,,,Zone non inondable,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,Oui,,,19 m,,,Non,Oui,,,,,,,,,
45,1900,Bon,2,Oui,14 m²,,B,NC,5096 kg CO₂/m²,26094 kWh/an,Gaz,Oui,,,,,,,,,,,4403491,Après la signature de l’acte,Brabant Wallon,7 m,,2,Isolé,,Équipée,3,15 m²,9 m²,2,,,1,8 m²,,25 m²,Non,Non,Non,,"Place Communale 8
1160 - Auderghem",,,18 m²,Oui,Non,Oui,,,111 kWh/m²,2,Connecté,,,,,,,,209 m²,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,399.000 €,,,,,,,,,,,Oui,,,,,,,,Oui,,,,,,,Zone non inondable,140 m²,,,Oui,,,,,,
46,1969,À restaurer,4,42 m²,12 m²,Oui,D,20210909017779,69 kg CO₂/m²,91980 kWh/an,Mazout,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,Braine l'Alleud,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,3,13 m²,11 m²,1,,,110 m²,,,15 m²,Oui,272 kWh/m²,2.089 €,"Chaussée de Tervuren 186
1410 - Waterloo",,,16 m²,,,,,,,,,850 m²,,,,,,,,146 m²,,,,,,520.000 €,,,,100 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,Non,,,,,
47,,Excellent état,2,35 m²,17 m²,Connecté,C,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,320 m²,,,,,,,,,,4528870,Après la signature de l’acte,,,,,Pays,Hyper équipée,,4,12 m²,16 m²,16 m²,2,,5,Oui,,300 m²,Non,Non,Non,,"Chée de Nivelles 167
7181 - Arquennes (Nivelles)",,,26 m²,,136 m²,Non,,,252 kWh/m²,,481 m²,100 m²,,,,,,,316 m²,,Non,,Non,499.000 €,,,,,Non,,,,,,,Oui,,,,,,,,,,28 m²,,,,,Non,,,,Non,,,,,,
48,1992,Excellent état,4,480 m²,5,3240 m²,237 kWh/m²,C,20200728018107,59 kg CO₂/m²,113880 kWh/an,Mazout,Oui,,,,,,,,,,"Rue de l'Infante 123 Bt 1
1410 - Waterloo",Après la signature de l’acte,,,5,10,,92 m²,,,36 m²,36 m²,27 m²,24 m²,24 m²,4,5,,,20 m²,Oui,1.095.000 €,7.620 €,,,1,Hyper équipée,16 m²,Oui,,,,,,,,Sud-ouest,,,,,Guglielmi Palmina,,,,,,,,,Oui,,,,,,,,,,Oui,,,Oui,Oui,,,,Oui,,Oui,,,,,,,,,,,,,,
49,1967,À rafraîchir,4,146 m²,3,680 m²,293 kWh/m²,D,Non communiqué,86 kg CO₂/m²,81657 kWh/an,Gaz,Oui,,,,,,,,,,"Place Georges Brugmann, 11
1050 - Ixelles",Après la signature de l’acte,,10 m,1,2,,50 m²,,10 m²,21 m²,14 m²,10 m²,,,2,2,Oui,Oui,26 m²,,530.000 €,2.459 €,Non,,,Hyper équipée,12 m²,Oui,Connecté,,,,2,Non,300 m²,,,,,,4437607,,,,Zone non inondable,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,Oui,,,,,31 mai 2021 - 00:00,,,,,,,,,,,
50,,À rénover,3,122 m²,2,138 m²,780 kWh/m²,G,20211005003697,Non communiqué,Non communiqué,,Oui,,,,,,,,,,"Avenue Louise, 523
1050 - Ixelles",Après la signature de l’acte,,,1,1,Urbain,,,5 m²,14 m²,10 m²,,,,1,1,,,,,195.000 €,560 €,Non,,,Pas équipée,,Non,,,,,,Non,,,,Non,,,1696,,,,,,,Zone d'extension d'habitat,,Non,,15 m²,,,,,,,,,,,,,,,,,,,,Non,,,,,Non,,17 m²,,,,,
51,1990,Excellent état,2,140 m²,3,267 m²,225 kWh/m²,C,20150608005721,Non communiqué,26345 kWh/an,Gaz,Oui,,,,,,,,,,"Chaussée Bara, 148
1420 - Braine L'Alleud",Après la signature de l’acte,,,1,,,,,11 m²,15 m²,12 m²,9 m²,,,1,2,,Oui,25 m²,,385.000 €,1.452 €,Non,,,Hyper équipée,6 m²,Oui,Connecté,,,,,,,,,,,,4335095,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2004,Excellent état,3,232 m²,5,395 m²,130 kWh/m²,B,2021à916004079,24 kg CO₂/m²,33078 kWh/an,Gaz,Oui,,,,,,,,,,"Chaussée de Tervuren 149/3
1410 - Waterloo",Après la signature de l’acte,,,1,2,,32 m²,,,,,,,,2,2,,Oui,25 m²,Oui,545.000 €,1.889 €,Non,,,Équipée,12 m²,Oui,,,Nord-ouest,,,Non,170 m²,,Non,,,,888 - 1638,,,,Zone non inondable,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,Non,Oui,,,,,,130,,,
53,2002,Excellent état,4,59 m²,38 m²,Connecté,B,20120911020210,26 kg CO₂/m²,49675 kWh/an,Gaz,Zone non inondable,,,,,,,,,,,4323601,Après la signature de l’acte,,,1,4,,Oui,Américaine équipée,,15 m²,15 m²,14 m²,3,,1,Oui,,Oui,,Non,3.573 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",,,4,,,Non,,,136 kWh/m²,5,,,,,,,,,315 m²,Non,Non,885.000 €,,,,,,,,,,,,,,Oui,,,,,,,,,1351 m²,,,,,7 septembre 2021 - 00:00,,,,,,,,,,,
54,1991,Excellent état,4,540 m²,7,1500 m²,215 kWh/m²,C,20120801001813,52 kg CO₂/m²,215 kWh/an,Mazout,Oui,,,,,,,,,,,,,,,,,65 m²,Oui,24 m²,35 m²,25 m²,25 m²,25 m²,20 m²,4,2,,Oui,45 m²,Oui,1.125.000 €,6.621 €,Non,,1,Hyper équipée,20 m²,Oui,Connecté,,Sud,Oui,2,Non,1500 m²,Sud,,Non,Non,Non,,,,Non,Zone non inondable,,,,,Oui,Oui,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,,Oui,,Oui,,"Oui, conforme",,,,Toutes sortes,,,,,,,,
55,1989,Bon,2,135 m²,3,281 m²,141 kWh/m²,B,20210904003443,Non communiqué,26659 kWh/an,Électrique,Oui,,,,,,,,,,"Chaussée de Bruxelles 168
1410 - Waterloo",Après la signature de l’acte,,7 m,3,2,,,Oui,9 m²,14 m²,8 m²,,,,1,2,,Oui,15 m²,,385.000 €,1.462 €,Non,,,Équipée,,,,Oui,Sud-ouest,,,Non,,,Non,,,,246 - 93363967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2020,,4,200 m²,3,8363 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,,,,,,"Avenue Louise 433
1050 - Bruxelles",À définir,,,,3,Pays,,,,13 m²,12 m²,11 m²,,,1,2,Oui,Non,20 m²,,Faire offre à partir de 595.000 €,1.004 €,Non,,,Pas équipée,,,Connecté,,,,1,,,,,,,,4513321,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 septembre 2021 - 00:00,,Oui,,,300 m²,,,,,,
57,1970,Excellent état,4,Hyper équipée,4,Oui,D,20141214009914,66 kg CO₂/m²,238531 kWh/an,Gaz,Oui,900 m²,,,,,,,,,,4308994,Après la signature de l’acte,,,2,5,,,,,,,,,,Oui,,,1260 m²,,Oui,11.754 €,Non,"Chaussée de Louvain 433
1380 - Lasne",,,5,,Oui,,,,266 kWh/m²,,Oui,Oui,,,,,,,900 m²,Non,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,2.850.000 €,,,,,Oui,,,,,,Oui,Oui,,,,,,,,Non,,,,,26 juillet 2021 - 00:00,,,,,Zone non inondable,,,,,,
58,1960,Bon,3,110 m²,3,529 m²,438 kWh/m²,F,20181016006456,80 kg CO₂/m²,51788 kWh/an,Gaz,Oui,,,,,,,,,,"Chaussée Bara, 148
1420 - Braine L'Alleud",Après la signature de l’acte,,6 m,,2,,41 m²,,10 m²,8 m²,13 m²,15 m²,,,1,1,Oui,Oui,,Oui,325.000 €,664 €,Non,,,Équipée,,,Connecté,,,,,Non,,,,,,,4505780,,Oui,Non,,,,,,,,,,,,,,,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,,
59,1988,Bon,4,186 m²,4,744 m²,453 kWh/m²,F,20210609003722,83 kg CO₂/m²,92787 kWh/an,Gaz,Oui,,,,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",Selon le locataire,,12 m,2,3,,35 m²,,18 m²,19 m²,9 m²,15 m²,18 m²,,2,2,,Oui,62 m²,,Faire offre à partir de 450.000 €,,Non,,,Équipée,,Oui,Connecté,,,Non,,Non,,,,,,,4447011,,,Non,Zone non inondable,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
60,1992,À rafraîchir,4,54 m²,32 m²,42 m,C,20210518014884,Non communiqué,99898 kWh/an,Oui,,Zone non inondable,,,,,,,,,,4425440,Après la signature de l’acte,,21 m,1,3,,Hyper équipée,,6,23 m²,19 m²,17 m²,14 m²,3,3,16 m²,,2500 m²,,Non,Non,,"Chaussée d'Alsemberg 4
1420 - Braine-l'Alleud",,,20 m²,Oui,20 m²,Oui,,,250 kWh/m²,,3596 m²,Oui,,,,,,,302 m²,Non,Non,840.000 €,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,Connecté,,,,,,,,,,,,,
61,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,"Rue Américaine, 158
1050 - Ixelles",,,,,14,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,4521345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 septembre 2023 - 00:00,,,,,,,,,,,
62,1950,Excellent état,2,16 m²,18 m²,Connecté,C,20150507007015,37 kg CO₂/m²,31607 kWh/an,Gaz,Oui,435.000 €,,,,,,,,,,4534051,Après la signature de l’acte,,,,,,Oui,Hyper équipée,3,16 m²,30 m²,3,,,2,Oui,,200 m²,Non,200 kWh/m²,Non,,"Chaussée Bara, 148
1420 - Braine L'Alleud",,,7 m²,,Oui,Oui,,,,2,309 m²,64 m²,,,,,,,158 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
63,,Bon,2,190 m²,4,115 m²,277 kWh/m²,D,20210401023452,52 kg CO₂/m²,53982 kWh/an,Gaz,Oui,,,,,,,,,,"Place Albert 1er, 20
1300 - Limal",Après la signature de l’acte,,,,,,37 m²,,10 m²,21 m²,12 m²,8 m²,20 m²,,2,2,,Oui,12 m²,,349.000 €,1.019 €,Non,,,Américaine équipée,,,Connecté,,,,,Non,,,,,,,4496677,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,175 m²,,,,,,
64,1963,Excellent état,3,29 m²,10 m²,Connecté,D,20210617015366,Non communiqué,41327 kWh/an,Gaz,Oui,Zone non inondable,,,,,,,,,,4453543,Après la signature de l’acte,,,1,2,,Hyper équipée,,3,13 m²,25 m²,1,,,1,7 m²,,,331 kWh/m²,,1.100 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",,,11 m²,Oui,Oui,50 m²,,,,2,,,,,,,,,110 m²,,,Faire offre à partir de 399.000 €,,,,,,,,,,,,,,,,,,,,,,,314 m²,,,,,,,,,,,,,,,,
65,1971,Bon,3,210 m²,4,759 m²,335 kWh/m²,D,20210608016398,64 kg CO₂/m²,100644 kWh/an,Gaz,Oui,,,,,,,,,,"Av. de la Belle Province 101
1420 - Braine-l Alleud",Après la signature de l’acte,,,1,2,,43 m²,,11 m²,19 m²,16 m²,15 m²,15 m²,14 m²,1,2,,Oui,,,415.000 €,907 €,Non,,,Équipée,,,,,,,,Non,,,Non,,,,78167 - cv18,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
66,1930,Bon,4,45 m²,16 m²,Connecté,E,20200726001937,Non communiqué,71262 kWh/an,Mazout,495.000 €,,,,,,,,,,,4419526,Après la signature de l’acte,,,1,5,,Américaine hyper-équipée,,2,16 m²,2,,,,1,13 m²,,Oui,,,1.541 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",,,16 m²,Oui,Oui,Non,,,,2,1019 m²,,,,,,,,150 m²,409 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
67,1973,À rafraîchir,4,160 m²,4,1278 m²,281 kWh/m²,D,20150428027149,Non communiqué,54924 kWh/an,Gaz,Oui,,,,,,,,,,"Chaussée Bara, 148
1420 - Braine L'Alleud",Après la signature de l’acte,,,1,5,,39 m²,,11 m²,11 m²,12 m²,13 m²,18 m²,,2,3,Oui,Oui,45 m²,Oui,499.000 €,2.441 €,Non,,,Équipée,6 m²,Oui,Connecté,,,,1,,,,,,,,4405844,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2013,Excellent état,3,210 m²,5,343 m²,66 kWh/m²,A,RWPEB-016595.2,Non communiqué,16664 kWh/an,Gaz,Oui,,,,,,,,,,"Chaussée Bara, 148
1420 - Braine L'Alleud",À définir,,,1,2,,38 m²,,16 m²,11 m²,12 m²,12 m²,17 m²,18 m²,2,3,Oui,,50 m²,Oui,620.000 €,2.202 €,Non,,,Hyper équipée,15 m²,Oui,,,,,1,,,,,,,Oui,4404659,,,,Zone non inondable,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
69,,Bon,,36 m²,15 m²,Connecté,D,20210325015889,Non communiqué,Non communiqué,Mazout,Non,375.000 €,,,,,,,,,,,À définir,,,,,,Équipée,,4,12 m²,11 m²,14 m²,Non,,,Oui,Non,Oui,,,Non,,"Chaussée de Bruxelles 2
1470 - Genappe",,,13 m²,,,Oui,Sud,Oui,,,479 m²,,331 kWh/m²,,Oui,,,,191 m²,Sud-est,,,,,,,1,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
70,1980,Bon,3,440 m²,2,1200 m²,245 kWh/m²,C,20200527023553,45 kg CO₂/m²,24766 kWh/an,Gaz,Oui,,,,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",Après la signature de l’acte,,9 m,,20,,49 m²,,13 m²,17 m²,14 m²,,,,1,,,Oui,,,Faire offre à partir de 975.000 €,,Oui,,,Hyper équipée,,,Connecté,,,Non,,Non,,,,,,,4445185,,Oui,Non,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,
71,1982,Excellent état,4,500 m²,5,3236 m²,278 kWh/m²,D,20210726011362,Non communiqué,158019 kWh/an,Mazout,,,,,,,,,,,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",Après la signature de l’acte,,,2,,,,,,,,,,,5,,Oui,Oui,,,1.785.000 €,7.662 €,Non,,,Équipée,,Oui,Connecté,,,Oui,,,,,,,,,030/27587,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
72,1968,À rénover,2,126 m²,3,150 m²,422 kWh/m²,E,20210621032474,104 kg CO₂/m²,53331 kWh/an,Mazout,,,,,,,,,,,"Av. de la Belle Province 101
1420 - Braine-l Alleud",Après la signature de l’acte,,,1,,,32 m²,,7 m²,14 m²,13 m²,,,,1,1,,,,,335.000 €,1.385 €,Non,,,Pas équipée,,Oui,,,,,,Non,,,Non,,,,78242 - 5400597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1918,Excellent état,2,170 m²,3,400 m²,290 kWh/m²,D,20210511000181,Non communiqué,42926 kWh/an,Gaz,Oui,,,,,,,,,,"Avenue Louise 367
1050 - Ixelles",Après la signature de l’acte,,,,,,45 m²,,20 m²,16 m²,14 m²,11 m²,,,2,2,,Oui,20 m²,,395.000 €,599 €,Non,4403494,,Équipée,,,Connecté,,,,2,,300 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
74,1972,Excellent état,2,145 m²,4,292 m²,216 kWh/m²,C,20201020008877,40 kg CO₂/m²,36897 kWh/an,Gaz,Oui,,,,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",Après la signature de l’acte,,,1,1,,28 m²,,6 m²,24 m²,13 m²,11 m²,,,1,2,,Oui,20 m²,,400.000 €,1.332 €,Non,,,Équipée,6 m²,Oui,Connecté,,,,,Non,,,,,,,4287140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1996,Excellent état,3,137 m²,4,273 m²,187 kWh/m²,C,20210406019995,35 kg CO₂/m²,27070 kWh/an,Gaz,Oui,,,,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",À définir,,,1,3,,34 m²,,,15 m²,12 m²,11 m²,8 m²,,1,2,,Oui,22 m²,Oui,435.000 €,1.405 €,Non,,,Équipée,9 m²,Oui,Connecté,,,Non,,Non,,,,,,,4356942,,,Non,Zone non inondable,Oui,Non,,,,,,,,,,,,Non,,,,,,,,,,,,,,,Non,Oui,,,,11 m²,,,,,
76,1970,Excellent état,4,900 m²,6,3160 m²,266 kWh/m²,D,20141214009914,Non communiqué,238531 kWh/an,Gaz,,,,,,,,,,,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",Après la signature de l’acte,,,2,,,54 m²,Oui,17 m²,40 m²,18 m²,16 m²,,,6,6,Oui,Oui,,,2.850.000 €,11.754 €,Non,,,Hyper équipée,,Oui,Connecté,,,,,,,,,,,,030/27324,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
77,1993,Excellent état,4,900 m²,6,3161 m²,266 kWh/m²,D,20141214009914,266 kg CO₂/m²,238531 kWh/an,Mazout,Oui,,,,,,,,,,"Avenue J. Burgers, 2 b24
1180 - Uccle",,,,2,6,,54 m²,,17 m²,40 m²,18 m²,16 m²,,,3,,,Non,,Oui,2.850.000 €,11.754 €,Non,,1,,,Oui,Non connecté,,Sud-ouest,Oui,2,,1260 m²,,,,,,010/16022,,Oui,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
78,,Fraîchement rénové,4,260 m²,4,782 m²,248 kWh/m²,C,20190708007900,Non communiqué,64249 kWh/an,Gaz,Oui,,,,,,,,,,"Chaussée Bara, 148
1420 - Braine L'Alleud",Immédiatement,,,1,4,,80 m²,,,20 m²,21 m²,22 m²,24 m²,,3,4,Oui,Oui,40 m²,Oui,820.000 €,3.706 €,Non,,,Américaine hyper-équipée,13 m²,Oui,Connecté,,,,3,Non,,,,,,,4517566,,,Non,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Oui,Oui,,Oui,,,,,,,,,,,,Non,Oui,,,,,,,,,
79,,Bon,,,2,152 m²,317 kWh/m²,D,20210317022431,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,,,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",À définir,,,,,,25 m²,,7 m²,14 m²,11 m²,,,,,1,Oui,Oui,,,227.500 €,813 €,Non,,,Équipée,,,Connecté,Oui,Sud-ouest,,,Non,,Sud-ouest,,Non,,,,,Oui,,Zone non inondable,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
80,1920,Bon,2,120 m²,3,337 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,,,,"Chaussée Bara, 148
1420 - Braine L'Alleud",Après la signature de l’acte,,,,,,30 m²,,13 m²,10 m²,12 m²,15 m²,,,1,2,,Oui,20 m²,,335.000 €,840 €,Non,,,Américaine semi-équipée,,,Connecté,,,,,Oui,240 m²,,,,,Oui,4514101,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
81,1977,Bon,3,150 m²,4,621 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,,,,"Chaussée Bara, 148
1420 - Braine L'Alleud",À définir,,,1,1,,19 m²,Oui,10 m²,9 m²,14 m²,19 m²,17 m²,,1,2,Oui,Oui,,,415.000 €,1.824 €,Non,,,Américaine semi-équipée,,,Connecté,,,,,Non,,,,,,,4289127,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
82,,Bon,,24 m²,32 m²,Connecté,B,20210928012842,Non communiqué,Non communiqué,Gaz,Non,310.000 €,,,,,,,,,,,À définir,,,,1,,Équipée,,,20 m²,18 m²,12 m²,Non,,,Oui,,Oui,Nord,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,4,,,Oui,Nord,15 m²,,,310 m²,,160 kWh/m²,,Oui,,,,144 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,
83,,Bon,4,325 m²,4,2409 m²,303 kWh/m²,D,20210703008363,75 kg CO₂/m²,Non communiqué,Mazout,Oui,,,,,,,,,,"Avenue du centenaire 53/4
1400 - Nivelles",Après la signature de l’acte,,,2,10,,49 m²,,12 m²,19 m²,15 m²,15 m²,,,3,4,Oui,Non,72 m²,Oui,Faire offre à partir de 600.000 €,,Non,,,Équipée,17 m²,Oui,Connecté,,,Non,,Non,,,,,,,4516735,,,Non,Zone non inondable,,Non,,,,,,,,,,,,Non,Oui,,Oui,,,,,,Oui,,,,,,Non,Oui,,,,,,,,,
84,1927,Bon,2,180 m²,4,698 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,,,,,,,"Chaussée Bara, 148
1420 - Braine L'Alleud",Après la signature de l’acte,,,,2,,36 m²,,23 m²,13 m²,16 m²,16 m²,40 m²,,2,2,,Non,80 m²,,499.000 €,,Non,,,Équipée,,,Connecté,,,,9,Non,,,,,,,4507437,,,Non,,,,,,,,,,,,,,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,
85,1969,Excellent état,4,650 m²,7,11472 m²,289 kWh/m²,D,2120614012073,Non communiqué,170731 kWh/an,Mazout,Oui,,,,,,,,,,"Avenue J. Burgers, 2 b24
1180 - Uccle",,,,2,8,,110 m²,,,,,,,,4,,,Oui,,Oui,2.800.000 €,9.172 €,Non,,1,,25 m²,Oui,,,,,2,,,,,,,,010/16011,,Oui,Non,,,,,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
86,,Bon,,22 m²,17 m²,Connecté,G,20210920003495,Non communiqué,Non communiqué,Mazout,Non,285.000 €,,,,,,,,,,,À définir,,,1,,,Équipée,,2,12 m²,Non,,,,,Oui,Non,Oui,Sud,,Non,,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,22 m²,,,Oui,Sud-est,20 m²,,,164 m²,,567 kWh/m²,,Oui,,,,102 m²,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
