,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Chambres,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Adresse,À partir de,Quartier ou lieu-dit,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Grenier,"Eau, gaz & électricité",Surface de la terrasse,Accès sécurisé / alarme,Prix,Revenu cadastral,Immeuble de rapport,Référence externe,Combien de feux ouverts ?,Type de cuisine,Surface de bureau,Bureau,Raccordement à l'égout,Jardin,Orientation du jardin,Piscine,Salles de douche,Meublé,Surface du jardin,Orientation de la terrasse,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Site internet,Visite virtuelle,Terrasse,Ascenseur,Type de zone inondable,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Nom de l'agent,Dressing,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Chauffe-eau commun,Salon,Cave,Surface de l'espace professionnel,Buanderie,Largeur du terrain à rue,Attestation de conformité des citernes à mazout,Disponible le,Droit d'achat prioritaire possible,Permis de bâtir obtenu,Type de construction,Obligation de construire,Surface constructible totale au sol,Surface du grenier,Nombre d'annexes,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Mise à prix
20,1970,Bon,4,300 m²,5,1857 m²,495 kWh/m²,E,202105170002415975,64 kg CO₂/m²,Non communiqué,Mazout,Oui,,,,,,,,,,"Chaussée de Tervuren 186
1410 - Waterloo",,,,2,,,,,,,,,,,3,4,,,,Oui,1.380.000 €,,,,,Hyper équipée,,,,Oui,Sud-ouest,Oui,,,,,,,,,,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,Oui,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,
21,1987,À rafraîchir,4,33 m²,21 m²,Oui,C,20141202005752,43 kg CO₂/m²,76666 kWh/an,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Après la signature de l’acte,St John's,,,2,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,1,4,19 m²,22 m²,3,,,Oui,,,1500 m²,Oui,220 kWh/m²,"Chaussée de Tervuren 186
1410 - Waterloo",,,,Équipée,16 m²,Oui,33 m²,,,,,,1931 m²,100 m²,,,,,,,240 m²,,,,,,775.000 €,,,Non,,,,,,,,,,,,,,,,,,Oui,33 m²,,,,,,,,,,,,,,
22,,Fraîchement rénové,4,480 m²,4,2166 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,,,,,,,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",Après la signature de l’acte,Chasseurs,35 m,2,,,75 m²,,,,,,,,1,3,,,50 m²,Oui,945.000 €,4.434 €,Non,,,Équipée,,,,,,,1,Non,1926 m²,,Non,,,,3798 - 1887,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
23,1945,Excellent état,4,45 m²,23 m²,Oui,D,20201029009453,19 kg CO₂/m²,105688 kWh/an,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Après la signature de l’acte,Faubourg,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Hyper équipée,,14 m²,16 m²,2,,,Oui,,,12 m²,312 kWh/m²,,"Chaussée de Tervuren 186
1410 - Waterloo",,,,,4,Oui,Oui,,,,,,1030 m²,,,,,,,,338 m²,,,,,,995.000 €,,,Non,,,Oui,,,Oui,,,,,,,,,,,,,22 m²,,,,,,,,,,,,,,
24,1975,À rénover,4,180 m²,3,650 m²,246 kWh/m²,C,20210518002828,Non communiqué,78183 kWh/an,Gaz,Oui,,,,,,,,,,,Après la signature de l’acte,,8 m,3,3,,33 m²,,18 m²,14 m²,15 m²,15 m²,,,1,2,,Oui,33 m²,,575.000 €,2.513 €,Non,,1,Équipée,14 m²,Oui,,,,,,Non,50 m²,Sud,,Non,Non,Non,,,,,,,,,,Oui,Oui,50 m²,Non,Oui,Non,Oui,Non,,,,,,,,,Oui,,,,Oui,,Non,,,Oui,Villa,,,,,,,,
25,2001,Excellent état,4,200 m²,4,975 m²,209 kWh/m²,C,20210415012640,38 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,,,,,,,"Avenue Général Mellier 20
5030 - Gembloux",Après la signature de l’acte,,,1,2,Urbain,,,,,,,,,1,2,,,,Oui,740.000 €,3.532 €,Non,,1,Équipée,,Non,,,,Non,1,Non,975 m²,,,Non,,,spir1835,,,Non,,,,Zone d'extension d'habitat,,Non,,,,,,,,Non,Non,Non,,Non,,,,,Oui,,,,,Non,,,,,Non,,,,,,,
26,,Excellent état,3,100 m²,2,45 m²,275 kWh/m²,D,20210625016388,51 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,,,,,,,"Avenue Général Mellier 20
5030 - Gembloux",Après la signature de l’acte,,,,,Urbain,,Oui,8 m²,16 m²,20 m²,,,,1,2,,,,,240.000 €,,Non,,,Équipée,,Non,,,,,,Non,,,,Non,,,spir1920,,,,,,,Zone d'extension d'habitat,,Non,,16 m²,,,,,,,,,,,,,,,Oui,,,,,Non,,,,,Non,,,,,,,
27,1937,À rafraîchir,3,29 m²,19 m²,Connecté,E,20210621013130,79 kg CO₂/m²,82761 kWh/an,Gaz,200 m²,,,,,,,,,,,4374015,Après la signature de l’acte,,,1,1,,Pas équipée,,3,13 m²,12 m²,1,,,2,Oui,Non,650 m²,410 kWh/m²,,1.435 €,Non,"Boulevard de la Cense, 36
1410 - Waterloo",,,12 m²,,,Oui,,,,,756 m²,20 m²,,,,,,,110 m²,,,405.000 €,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,Zone non inondable,,,,,,
28,1976,Bon,3,30 m²,17 m²,Oui,D,20200206020984,49 kg CO₂/m²,Non communiqué,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Après la signature de l’acte,,,1,1,,1,,4,14 m²,9 m²,8 m²,1,,1,,,,Sud,,"Chaussée de Tervuren 186
1410 - Waterloo",,,,Hyper équipée,9 m²,,,,Sud,12 m²,,Non,428 m²,,266 kWh/m²,,,,,,150 m²,,,,,,415.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1920,À rafraîchir,3,29 m²,13 m²,Oui,D,20210429030088,59 kg CO₂/m²,Non communiqué,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Après la signature de l’acte,,,2,3,,Oui,1,4,14 m²,13 m²,12 m²,2,,1,,,,,,1.425 €,"Chaussée de Tervuren 186
1410 - Waterloo",,,16 m²,,Oui,46 m²,,Sud,Oui,,13 m²,1067 m²,,319 kWh/m²,,,,,,220 m²,Sud,,,,,649.000 €,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
