,Année de construction,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Meublé,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Nom de l'agent,À partir de,Disponible le,État du bâtiment,Largeur de la façade à rue,Type d’environnement,Salon,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Toilettes,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface constructible totale au sol,Surface de la cuisine,Dressing,Buanderie,Bureau,Espace professionnel,Grenier,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Description libre du PEB,Attestation de conformité des citernes à mazout,Chauffe-eau commun,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Cave,Surface du jardin,Parkings extérieurs,Surface du grenier,Terrasse,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur du terrain à rue,Type de construction,Obligation de construire,Visite virtuelle,Orientation du jardin,Référence externe,Salle à manger,Surface de bureau,Surface de l'espace professionnel,Quartier ou lieu-dit,Pourcentage loué,Revenu mensuel actuel,Surface de la chambre 5,Orientation de la terrasse,Combien de feux ouverts ?,Surface de la cave,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Nom du bien,Jardin
102,1899,2,,310 m²,,Hyper équipée,6,6,1,Non,8 m²,795 kWh/m²,G,20210608-0000590290-01-5,133 kg CO₂/m²,Non communiqué,,Gaz,,,,Oui,695.000 €,1.450 €,Oui,"Rue Picard (Gare Maritime), 7
1000 - Brussel",4380291,,Après la signature de l’acte,,À rafraîchir,7 m,Urbain,Oui,21 m²,21 m²,18 m²,18 m²,7,270 m²,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,Non,Zone non inondable,,150 m²,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",7 m,,,,,,,,,,,,12 m²,,,,,,,,,,,
103,1962,2,1,240 m²,30 m²,Américaine hyper-équipée,4,2,2,,67 m²,298 kWh/m²,F,20140912-0000247168-01-1,61 kg CO₂/m²,Non communiqué,,,,,,Oui,479.000 €,4.626 €,Non,"Avenue François Sebrechts 26
1080 - Molenbeek",4449000,,À définir,,Excellent état,6.5 m,,,16 m²,15 m²,14 m²,12 m²,3,206 m²,Connecté,Oui,240 m²,17 m²,,,Oui,,,,,,,,,,,Oui,Oui,,,,,,,,,,,Zone non inondable,Oui,85 m²,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,12 m²,,,,,,,,,,,,,,,,
104,,2,1,180 m²,23 m²,Équipée,4,2,,Non,,291 kWh/m²,F,Non communiqué,58 kg CO₂/m²,Non communiqué,,Gaz,,,,,395.000 €,,Non,"Avenue de Laeken 29
1090 - Jette",,,Selon le locataire,,Bon,,Urbain,,20 m²,13 m²,11 m²,11 m²,4,,Connecté,Non,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,4457170,Oui,,,Bruxelles,,,,,,,,,,,,,,
105,1927,2,,320 m²,,Équipée,9,4,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,595.000 €,,Oui,"Rue J. Hazard, 35
1180 - Uccle",218983 - 111115093,,,,Bon,,,,,,,,4,89 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,2,,300 m²,25 m²,,2,1,,Non,14 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,380.000 €,,Oui,"Rue Basse 21-23 Bte15 b1
1180 - Uccle",4498134,,Après la signature de l’acte,,À rénover,,,,16 m²,12 m²,,,2,,,Oui,,12 m²,,,Oui,,,,,,,,,Non,,,Oui,,Oui,,,,,,,,,Zone non inondable,Oui,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,8 m²,,Bruxelles (19 communes),,,,,,,,,,,,,,
107,,,,200 m²,88 m²,Équipée,4,,1,Non,12 m²,226 kWh/m²,E,20151020-0000305414-01-8,Non communiqué,Non communiqué,,Gaz,Non,,,Oui,395.000 €,,Oui,"Avenue Louise 367
1050 - Bruxelles",,,À définir,,Bon,,,,,,,,4,,Connecté,Oui,,8 m²,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,Zone non inondable,Oui,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,2,,260 m²,,,3,1,2,Non,14 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,449.000 €,,Oui,,,,À définir,,Bon,,,,9 m²,12 m²,15 m²,,3,180 m²,Connecté,Oui,,,Non,,Non,Non,,Non,Non,Non,Non,Non,,,,,,,,,,,,,,Oui,,,Oui,,,,,,,,,,Toutes sortes,,,,,,,,,75,1548,,,,,,,,,,,,
109,1918,2,,435 m²,,Hyper équipée,9,5,6,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,649.000 €,,Oui,"Avenue François Sebrechts 26
1080 - Molenbeek",4517907,,Selon le locataire,,Bon,,,Oui,23 m²,23 m²,23 m²,11 m²,6,,Connecté,Oui,,,,,,,Oui,,,,,,,Non,Non,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 m²,,,,,,,,,,,
110,1988,3,1,650 m²,,Semi-équipée,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,850.000 €,,Oui,"Brusselsesteenweg 65
1850 - Grimbergen",1816726 - VKG-2021-0,,Après la signature de l’acte,,Bon,,,,,,,,,650 m²,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,138 m²,,,,,,,,,,,,,,,,
111,,2,,165 m²,41 m²,Équipée,6,1,2,Non,14 m²,306 kWh/m²,F,20210818-0000594237-01-7,61 kg CO₂/m²,Non communiqué,Non,,Non,Non,Non,Oui,469.000 €,1.038 €,Non,"Rue F. Vekemans 121
1120 - Neder-over-Heembeek",1904,,,,,,,,,,,,3,130 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,33 m²,,,,,,,,,,,,Est,,Oui,,,,,,,,,,,,,,,,,
