,Année de construction,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Meublé,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Nom de l'agent,À partir de,Disponible le,État du bâtiment,Largeur de la façade à rue,Type d’environnement,Salon,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Toilettes,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface constructible totale au sol,Surface de la cuisine,Dressing,Buanderie,Bureau,Espace professionnel,Grenier,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Description libre du PEB,Attestation de conformité des citernes à mazout,Chauffe-eau commun,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Cave,Surface du jardin,Parkings extérieurs,Surface du grenier,Terrasse,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur du terrain à rue,Type de construction,Obligation de construire,Visite virtuelle,Orientation du jardin,Référence externe,Salle à manger,Surface de bureau,Surface de l'espace professionnel,Quartier ou lieu-dit,Pourcentage loué,Revenu mensuel actuel,Surface de la chambre 5,Orientation de la terrasse,Combien de feux ouverts ?,Surface de la cave,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Nom du bien,Jardin
135,1935,,,183 m²,34 m²,Équipée,4,1,,,,331 kWh/m²,F,20210815-0000594075-01-7,Non communiqué,Non communiqué,,Mazout,,,,Oui,375.000 €,,Non,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",,,,,À rafraîchir,6 m,,,17 m²,18 m²,15 m²,17 m²,2,211 m²,Connecté,Oui,,8 m²,Non,,Non,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,8 m²,,,,,,6 m,,,,Sud,Ninoofsesteenweg 106,,,,,,,,,,40 m²,,,,,,,,Oui
136,1953,2,1,215 m²,,Semi-équipée,3,1,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,525.000 €,2.235 €,Non,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4214 - 2126,,Après la signature de l’acte,,Bon,,,,,,,,2,178 m²,,,,,,,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,Oui,90 m²,2,,,,,,,,,,,Sud-ouest,,,,,Karreveld,,,,,,,,,,,,,,
137,,2,,180 m²,,Équipée,5,2,1,Non,25 m²,348 kWh/m²,G,20201029-0000577461-01-9,Non communiqué,Non communiqué,,Mazout,Non,,,Oui,350.000 €,863 €,Non,"Avenue Général Mellier 20
5030 - Gembloux",spir1702,,Après la signature de l’acte,,Excellent état,,,Oui,22 m²,22 m²,12 m²,22 m²,2,116 m²,,,,11 m²,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,Non,,,Zone non inondable,,,,,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,,,,Oui,,,,,,12 m²,,,25 m²,,,,,,,,
138,,2,,192 m²,27 m²,Équipée,3,2,2,Non,15 m²,270 kWh/m²,E,20210623-00005911420-01-4,Non communiqué,Non communiqué,,Gaz,Non,,,Oui,425.000 €,1.073 €,Non,"Avenue Général Mellier 20
5030 - Gembloux",spir1916,,Après la signature de l’acte,,Fraîchement rénové,,,,19 m²,19 m²,12 m²,,3,120 m²,,,,22 m²,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,Non,,,Zone non inondable,,20 m²,,,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,,Sud-ouest,,Oui,,,,,,,,,40 m²,,,,,,,,
139,,2,,39 m²,Équipée,15 m²,50 m²,1,2,,366 kWh/m²,G,592873,73 kg CO₂/m²,Non communiqué,Gaz,,Oui,,,,,1.636 €,Non,"Rue des Dauphins 2/2
1080 - Molenbeek",,,,Après la signature de l’acte,,Bon,7 m,"Zone d'habitat (résidentiel, urbain ou rural)",,21 m²,19 m²,12 m²,1,Oui,Oui,Oui,69 m²,,4,,6 m²,49 m²,,,,7 m,,,,,,,,,,,,,,,,,,,,,5 m²,,156 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,379.000 €,Connecté,,,195 m²,,,,Oui,,Quartier Karreveld / parc des Muses,,,,,,44 m²,,,,,,,,
140,1938,2,,370 m²,80 m²,,10,4,,Non,,571 kWh/m²,G,202102120000582727017,114 kg CO₂/m²,Non communiqué,Non,Gaz,,,,,700.000 €,2.119 €,Oui,"Sint-Jansbergdreef 2
3090 - Overijse",17423 - 195010458,,,,À rénover,,Urbain,,,,,,4,125 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,8.5 m,,,,,,,,,,,,,,,,,,,,,,,
141,1938,2,,225 m²,20 m²,Hyper équipée,5,2,1,Non,15 m²,195 kWh/m²,D,Non communiqué,39 kg CO₂/m²,Non communiqué,"Oui, conforme",Gaz,,,Oui,Oui,455.000 €,1.819 €,Non,"Rue Potaerdenberg 31
1070 - Anderlecht",4416632,,Après la signature de l’acte,3 janvier 2022 - 00:00,Excellent état,,,,18 m²,15 m²,18 m²,15 m²,3,183 m²,Connecté,Oui,,12 m²,,,Oui,,Oui,,,,,,,Non,Oui,,Oui,,,,,Non,,,,,Non,Zone non inondable,Oui,60 m²,1,,,Oui,Non,Non,,,,,,,,Oui,,23 m²,,,,25 m²,,,,,,,,,,,
142,1990,2,1,200 m²,45 m²,Équipée,5,1,,Non,,137 kWh/m²,C,20210223-0000583200-01-1,1000 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,440.000 €,1.569 €,Non,"Chaussée de Nivelles 60
7181 - Arquennes",2605 - 745,,,1 janvier 2022 - 00:00,Bon,7 m,,,21 m²,11 m²,11 m²,,3,169 m²,,Oui,,19 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,7 m,,,,,,,20 m²,,,,,,,1,,,,,,,,,
143,,2,,114 m²,,,3,,3,Non,,Non communiqué,Non communiqué,20210704-0000591991-01-4,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,259.000 €,,Non,,,,À définir,,À rafraîchir,5 m,Urbain,,15 m²,15 m²,13 m²,,3,35 m²,,Oui,,,Non,,Non,Non,,Non,Non,Non,Non,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,
144,1959,2,1,200 m²,,,4,2,,Non,,284 kWh/m²,F,20210614-0000590704-01-3,56 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,419.000 €,1.603 €,Oui,"Rue Alexandre Markelbach 78
1030 - Schaarbeek",1828 - 0971,,,,À rafraîchir,,,,,,,,,161 m²,,Oui,,,,,Oui,,,,,,,,,,,,,,,,,,,,Non,,,Zone non inondable,Oui,83 m²,,,Oui,,,,,,,,,,,,,,,,1080,,,,,,,,,,,,
145,1923,3,1,217 m²,45 m²,Équipée,4,2,,Non,,473 kWh/m²,G,20191207-0000561385-01-2,93 kg CO₂/m²,Non communiqué,Non,Gaz,Non,Non,Non,Oui,499.000 €,1.831 €,Non,"Av. Henri Conscience 74
1140 - Evere",1140-287,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,21 m²,20 m²,16 m²,13 m²,3,620 m²,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,Oui,520 m²,5,,Oui,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,
146,1923,3,1,217 m²,45 m²,Équipée,4,2,,Non,,473 kWh/m²,G,20191207-0000561385-01-2,93 kg CO₂/m²,Non communiqué,Non,Gaz,Non,Non,Non,Oui,749.000 €,1.831 €,Non,"Av. Henri Conscience 74
1140 - Evere",1140-282,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,21 m²,20 m²,16 m²,13 m²,3,1188 m²,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,Oui,520 m²,5,,Oui,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,
147,1929,2,1,282 m²,,Américaine hyper-équipée,8,2,1,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,460.000 €,,Non,"Populierenlaan 70
9470 - Denderleeuw",,,À définir,,,19 m,Urbain,,,,,,3,94 m²,Connecté,Oui,94 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,Oui,,,,,,,,,19 m,,,,,4224640,,,,Brussel (19 gemeenten),,,,,,,,,,,,,,
148,1951,3,,146 m²,29 m²,Équipée,3,1,,,12 m²,603 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,299.000 €,748 €,Non,"Avenues Charles Quint 114
1083 - Ganshoren",,,Après la signature de l’acte,,Bon,,,,17 m²,12 m²,35 m²,,1,99 m²,,,,17 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,33 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,2,,400 m²,,Semi-équipée,6,4,,Non,,261 kWh/m²,E,20200930-0000575726-01-7,52 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,669.000 €,2.017 €,Oui,"Square Ambiorix, 32/11B
1000 - Bruxelles",1699087 - 345345879,,,,À rafraîchir,,,,15 m²,15 m²,15 m²,,5,173 m²,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,
150,,2,,193 m²,32 m²,Hyper équipée,4,2,,Non,25 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,425.000 €,,Non,,,,Après la signature de l’acte,,,,,,16 m²,16 m²,16 m²,12 m²,3,144 m²,,Oui,,16 m²,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,,Oui,,,Oui,45 m²,,,,Oui,,,,,Toutes sortes,,,Est,,Oui,6 m²,,,,,,Est,,,,,,,,,,
