,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Espace professionnel,Surface du grenier,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Buanderie,Surface de la cave,Revenu cadastral,Adresse,Nom de l'agent,Visite virtuelle,Surface de la chambre 5,Salles de douche,Grenier,Ascenseur,Accessible aux personnes avec un handicap,Surface constructible totale au sol,Jardin,Pompe à chaleur,Obligation de construire,Site internet,Terrasse,Cave,Attestation as-built,Référence externe,Surface de l'espace professionnel,Nombre d'annexes,Salon,Isolé,Disponible le,Concierge,Climatisation,Panneaux photovoltaïques,Panneaux solaires,Description libre du PEB,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Pourcentage loué,Revenu mensuel actuel,Nom du bien,Étage,Nombre d'étages,Informations supplémentaires
95,Après la signature de l’acte,1963,Bon,27 m,4,,15,"Zone d'habitat (résidentiel, urbain ou rural)",270 m²,70 m²,Oui,1,Hyper équipée,20 m²,4,50 m²,37 m²,35 m²,29 m²,,4,5,,,,,,,1774 m²,Oui,,,Oui,60 m,,Oui,1600 m²,,50 m²,Sud,,Oui,,,,,,309 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Pellets,,Oui,Oui,,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",895.000 €,,Oui,20 m²,3.950 €,"Avenue des Aunelles 12
1420 - Braine-l'Alleud",,,,4,,,,,,,,IMMO BELVEDERE,,,,,,1,,,,,,,,,residentiel,,,,,,,,,,,,,,,,,,villa,,,
96,Après la signature de l’acte,1968,Bon,,4,,4,Isolé,260 m²,40 m²,Oui,,Équipée,19 m²,3,18 m²,16 m²,24 m²,,,2,2,,Oui,,,Non,Oui,1966 m²,,,,,,,Oui,1500 m²,,15 m²,,,Oui,,,,Non,,301 kWh/m²,D,20210324006766,56 kg CO₂/m²,98287 kWh/an,,Gaz,,Oui,,,,,,,,790.000 €,Non,,,3.034 €,"Rue de Wavre, 27
1300 - Wavre",,,,1,,Non,Non,168 m²,,,,4395822,,Oui,,,,,,,1 septembre 2021 - 00:00,,,,,,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,
97,Après la signature de l’acte,1975,Bon,15.5 m,4,2,2,"Zone d'habitat (résidentiel, urbain ou rural)",360 m²,50 m²,Oui,1,Équipée,21 m²,4,16 m²,16 m²,14 m²,23 m²,,2,3,,Oui,,50 m²,Non,,1800 m²,,,,,,Connecté,,1500 m²,Sud,27 m²,Sud,,Oui,,,,,,297 kWh/m²,D,20201015017026,Non communiqué,Non communiqué,,Mazout,,Oui,,,,,,,,775.000 €,Non,Oui,20 m²,4.620 €,"Rue Xavier De Bue 1
1180 - Uccle",,,,,,,,,,,,jeremy maitre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,À définir,1976,Bon,,4,2,5,Pays,272 m²,40 m²,Oui,,Hyper équipée,22 m²,5,27 m²,19 m²,16 m²,12 m²,,3,4,13 m²,Oui,,,Non,,3000 m²,,,,,,Connecté,Non,2500 m²,,40 m²,,,Oui,,,,Oui,,490 kWh/m²,F,20210426008118,140 kg CO₂/m²,133580 kWh/an,,Électrique,,Oui,Oui,,,Non,,,,995.000 €,Non,,,,"Rue de Wavre, 27
1300 - Wavre",,,12 m²,1,Oui,Non,Non,300 m²,,,,4350454,,Oui,,,,,,,1 février 2022 - 00:00,,,,,,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,
99,Après la signature de l’acte,1980,Bon,,4,,5,"Zone d'habitat (résidentiel, urbain ou rural)",61 m²,Oui,Équipée,,28 m²,5,20 m²,20 m²,19 m²,17 m²,16 m²,,3,Oui,,Oui,,,1600 m²,,Connecté,,,,,,Oui,1560 m²,40 m²,,Non,,,Non,,,,Non communiqué,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,,Oui,,Zone non inondable,,,,,,1.095.000 €,,Non,"Drève Richelle 197
1410 - Waterloo",,,,4164882,,400 m²,3,3,Non,Non,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,1900,À rafraîchir,14 m,2,1,,,350 m²,120 m²,,,Hyper équipée,19 m²,6,20 m²,18 m²,17 m²,16 m²,,2,3,,,,,Non,,1000 m²,,,,,14 m,,Oui,456 m²,Sud,50 m²,,,,,,,,,292 kWh/m²,D,20200514009113,292 kg CO₂/m²,108120 kWh/an,,Gaz,,Oui,,,,,,,,500.000 €,Non,,,2.434 €,"Venelle de la réserve 2
1300 - Wavre",,,14 m²,1,,,Oui,,,,,5246 - 5015,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,1800,À rénover,,4,8,4,,315 m²,30 m²,,,Semi-équipée,30 m²,4,15 m²,15 m²,16 m²,,,1,2,4 m²,Oui,,,Non,,4250 m²,,,,,28 m,Connecté,Non,,,,,,,,,,,,415 kWh/m²,E,20111006015008,Non communiqué,85805 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,,795.000 €,Non,,,1.630 €,"16 rue Bois Lionnet
1380 - Lasne",,,,,,,,445 m²,,,,4517565,Oui,Oui,,,,,,,,,,,,,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,1993,À rafraîchir,19.3 m,4,3,,,420 m²,60 m²,Oui,1,Équipée,,4,45 m²,21 m²,21 m²,15 m²,Non,1,1,,Non,,,Non,Oui,2440 m²,Non,Non,Non,Oui,,Connecté,Non,,,12 m²,Est,Oui,Oui,Oui,,,Non,,188 kWh/m²,C,Non communiqué,Non communiqué,5 kWh/an,"Oui, conforme",Mazout,Non,Oui,Oui,,Oui,Non,Non,,,1.195.000 €,Non,Oui,48 m²,6.732 €,"Drève Richelle, 118
1410 - Waterloo",,,,1,,Non,Non,650 m²,,Non,,4713432,,,Non,,,,,,,Non,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
103,Après la signature de l’acte,1800,À rénover,,4,8,4,,315 m²,30 m²,,,Semi-équipée,30 m²,4,15 m²,15 m²,16 m²,,,1,2,4 m²,Oui,,,Non,,9974 m²,,,,,62 m,Connecté,Non,,,,,,,,,,,,415 kWh/m²,E,20111006015008,Non communiqué,85805 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,,1.445.000 €,Non,,,1.630 €,"16 rue Bois Lionnet
1380 - Lasne",,,,,,,,445 m²,,,,4517625,Oui,Oui,,,,,,,,,,,,,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,
104,Après la signature de l’acte,2005,Excellent état,27 m,4,3,10,,450 m²,43 m²,Oui,,Équipée,25 m²,7,43 m²,28 m²,20 m²,17 m²,,5,5,18 m²,Oui,,,Non,,5870 m²,,,,,120 m,Connecté,Non,5619 m²,,450 m²,,Oui,Oui,Oui,,,Oui,,250 kWh/m²,C,20200223010706,46 kg CO₂/m²,111761 kWh/an,,Mazout,,Oui,Oui,,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2.100.000 €,Non,,,6.123 €,"16 rue Bois Lionnet
1380 - Lasne",,,17 m²,1,Oui,Non,Non,600 m²,,,,4021435,,Oui,"Oui, conforme",,21 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Après la signature de l’acte,1800,Bon,,4,2,5,,420 m²,60 m²,Oui,,,30 m²,7,55 m²,30 m²,20 m²,18 m²,,4,5,14 m²,Oui,,,,,2200 m²,,,,,,Connecté,Non,,,80 m²,,Oui,Oui,,,,Oui,,249 kWh/m²,C,20140617016587,Non communiqué,125398 kWh/an,,Mazout,,Oui,,,,,,,,1.595.000 €,Non,,,2.000 €,"Allée du Bois de Bercuit 77
1390 - Grez-Doiceau",,,16 m²,3,,,,,,,,,,Oui,,4535316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Après la signature de l’acte,1927,À rafraîchir,,4,1,2,,210 m²,60 m²,Oui,,Hyper équipée,,4,16 m²,10 m²,30 m²,10 m²,,3,2,,Oui,,,Non,,3752 m²,,,,,,Connecté,Non,,,,,,,,,,,,393 kWh/m²,E,20210526005584,89 kg CO₂/m²,123666 kWh/an,,Mazout,,,,,,,,,,835.000 €,Non,,,2.588 €,"Rue de Rixensart 77
1332 - Genval",,,,2,,,,200 m²,,,,4513950,Oui,,,,,,,,1 septembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Après la signature de l’acte,1978,Excellent état,16.5 m,4,1,,,205 m²,45 m²,,1,,17 m²,4,20 m²,14 m²,14 m²,12 m²,Non,2,3,20 m²,Oui,,,Non,Non,1600 m²,Non,Non,Non,Oui,,Connecté,Non,,,,,Non,Oui,Oui,,,Oui,,251 kWh/m²,C,20140901001683,Non communiqué,5 kWh/an,"Oui, conforme",Mazout,Non,Oui,Oui,,Oui,Oui,Non,,,845.000 €,Non,Oui,12 m²,3.165 €,"Drève Richelle, 118
1410 - Waterloo",,,,,Oui,Non,Non,290 m²,,Non,,5982057,,,Non,,,,,,,Non,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
108,Après la signature de l’acte,1963,Bon,,4,,2,,130 m²,,,,Américaine hyper-équipée,,2,,,,,,2,,,,,,Non,,1580 m²,,,,,,Non connecté,Non,,,,,,Oui,,,,Non,,416 kWh/m²,E,20210419022715,Non communiqué,53095 kWh/an,,Mazout,,Oui,,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",500.000 €,Non,,,431 €,"Clos des Chêneaux 18A
1390 - Grez-Doiceau",,,,,,Non,Non,,,,,4344848,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,1985,Bon,,4,,4,,220 m²,40 m²,Oui,,Américaine hyper-équipée,16 m²,4,12 m²,17 m²,12 m²,40 m²,,2,3,16 m²,Oui,,,Non,,1800 m²,,,,,,Non connecté,Non,1800 m²,,,,,Oui,,,,Non,,622 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,Mazout,,Oui,Oui,,Oui,Non,Non,,,650.000 €,Non,,,,"Chaussée de Bruxelles 380 B 2
1410 - Waterloo",,,,2,,Non,Non,,,,,4421809,Oui,Oui,,,16 m²,,,,1 octobre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Après la signature de l’acte,1920,Bon,,4,2,4,Pays,265 m²,40 m²,Oui,,,13 m²,5,20 m²,18 m²,15 m²,12 m²,,2,3,8 m²,Oui,,,Non,,1200 m²,,,,,,Connecté,Non,,,,,,Oui,,,,,,433 kWh/m²,F,20210715010206,Non communiqué,107686 kWh/an,,Mazout,,,,,,,,,,695.000 €,Non,,,,"16 rue Bois Lionnet
1380 - Lasne",,,11 m²,,Oui,Non,Non,300 m²,,,,4404398,Oui,Oui,,,,,,,,,,,,,Brabant Wallon,,,,,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,1990,Excellent état,,4,4,4,,52 m²,Oui,Hyper équipée,,20 m²,4,37 m²,14 m²,12 m²,12 m²,2,,1,Oui,,,,,Oui,Non,Connecté,,,,,,2500 m²,,40 m²,,Non,,,Oui,,,,213 kWh/m²,,C,C,53 kg CO₂/m²,136381 kWh/an,"Oui, conforme",Mazout,Oui,,Zone non inondable,,,,,,1.395.000 €,,Non,"Avenue Reine Astrid 215
1410 - Waterloo",,,,4506304,,550 m²,,3,,Non,Oui,,,,,,,Non,,,,,,,13 septembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Après la signature de l’acte,2000,Bon,,4,2,,,499 m²,,,,Semi-équipée,,4,,,,,,3,,,Oui,,,Non,,4132 m²,,,,,,Non connecté,Non,3633 m²,,,,,,,,,Oui,,280 kWh/m²,D,20210403006067,69 kg CO₂/m²,115202 kWh/an,,Mazout,,Oui,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.450.000 €,Non,,,6.229 €,"Chaussée de Louvain 433
1380 - Lasne",,,,,Oui,Non,Non,,,,,4425873,Oui,Oui,,,,,Oui,,23 novembre 2021 - 00:00,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
113,À définir,2000,Excellent état,20 m,4,1,,,46 m²,Oui,1,48 m²,,6,50 m²,35 m²,30 m²,28 m²,22 m²,2,Oui,,Oui,85 m²,,,Non,Oui,Non,Non,Non,Oui,Connecté,,Non,55 m²,,,Ouest,Non,Oui,Non,Oui,,,165 kWh/m²,,B,20170511019308,41 kg CO₂/m²,4 kWh/an,Non,Mazout,Non,Oui,Oui,1060 m²,,Non,Non,2.450.000 €,,,9.890 €,"Drève Richelle, 118
1410 - Waterloo",35 m²,Oui,Non,6020744,,810 m²,Oui,,Non,Non,Non,Oui,,Non,,,,,Non,,,,,,,Non,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,2000,Excellent état,,4,4,30,,Hyper équipée,,,,7,,66 m²,26 m²,25 m²,18 m²,17 m²,,Oui,,,Oui,,,15327 m²,,Non,,,,,,,14527 m²,Oui,,,,Oui,Oui,,,,166 kWh/m²,,B,20210612002985,42 kg CO₂/m²,143216 kWh/an,Mazout,,Oui,,Oui,800 m²,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2.750.000 €,11.415 €,"Chaussée de Louvain 433
1380 - Lasne",,,Non,4394321,,800 m²,6,,Non,Non,Oui,Non,,,,,Oui,Oui,,,,,,,23 octobre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,1971,Excellent état,,4,6,10,,780 m²,75 m²,,1,Équipée,40 m²,7,35 m²,26 m²,26 m²,26 m²,Oui,6,8,,Oui,,,Non,Oui,5300 m²,Non,Non,Non,Non,,Connecté,Non,,,180 m²,Ouest,Oui,Oui,Oui,,,Non,,255 kWh/m²,C,20160214009261,63 kg CO₂/m²,183300 kWh/an,"Oui, conforme",Mazout,Oui,Oui,,,Non,Non,Non,,,3.200.000 €,Non,Oui,,,"Drève Richelle, 118
1410 - Waterloo",,,17 m²,,Oui,Non,Non,1300 m²,,Non,,5452446,,Oui,Non,,,,,,,Non,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
116,Après la signature de l’acte,1959,À rafraîchir,,4,1,5,,51 m²,1,,Pas équipée,16 m²,4,23 m²,17 m²,14 m²,8 m²,8 m²,,2,Oui,Oui,80 m²,,,1288 m²,,41 m,,,,,Oui,,,,72 m²,393 kWh/m²,,,,,,,,,E,20211001018727,Non communiqué,Non communiqué,Non,,Oui,,Oui,Non,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 695.000 €,2.766 €,"Avenue Albert Ier, 304
1332 - Genval",10 m²,Non,Non,5587 - 2286320,,227 m²,1,,,,,,Sud,,,,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1977,Bon,4,,2,2,Pays,Oui,,,1,Équipée,4,,1,,,,,,1,Oui,,Oui,,,,,Oui,,,,Oui,,,,,Oui,,,,,,,,,,D,20210520003679,Non communiqué,75196 kWh/an,Mazout,,Non,,Non,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,370.000 €,,"Chaussée de Bruxelles, 95
1410",Oui,,Non,Smaranda ILIESCU,,,,2,,,,,Sud-est,Non,,,295 kWh/m²,2025 m²,,,,,Oui,,,,,,Oui,,,,,Non,Visites chaque mercredi et samedi de 14 à 16h jusqu’au 13 octobre 2021 inclus. Sur rendez-vous uniquement au 010 77 21 26,Après la signature de l’acte,3.381 €,,,,,,,,,,,,,,,
118,Après la signature de l’acte,1989,Fraîchement rénové,21 m,4,2,8,,400 m²,139 m²,Oui,,Équipée,24 m²,4,59 m²,12 m²,20 m²,20 m²,,4,4,36 m²,Oui,,,Non,,45000 m²,,,,,,Non connecté,Non,4500 m²,,,,Oui,Oui,,,,Non,,263 kWh/m²,D,20201106015499,67 kg CO₂/m²,145561 kWh/an,,,,Oui,Oui,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.200.000 €,Non,,,,"Chaussée de Bruxelles 380 B 2
1410 - Waterloo",,,,4,,Non,Oui,553 m²,,,,4274489,Oui,Oui,,,40 m²,,,,1 avril 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Après la signature de l’acte,1970,Excellent état,,4,2,2,,550 m²,80 m²,,,Équipée,12 m²,5,31 m²,25 m²,25 m²,10 m²,,4,3,30 m²,Oui,,,Non,,5843 m²,,,,,,,Oui,,,160 m²,,,Oui,,,,Non,,301 kWh/m²,D,20190303017568,55 kg CO₂/m²,164413 kWh/an,,Gaz,,Oui,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.595.000 €,Non,,,6.338 €,"16 rue Bois Lionnet
1380 - Lasne",,,10 m²,2,,Non,Non,600 m²,,,,4348697,,Oui,,,58 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Après la signature de l’acte,2014,Excellent état,14 m,4,1,5,,460 m²,50 m²,Oui,,Hyper équipée,28 m²,6,33 m²,24 m²,17 m²,34 m²,,5,4,108 m²,Oui,,,Non,Oui,2400 m²,,,,,48 m,Connecté,Oui,,,54 m²,,Oui,Oui,Oui,,,,,54 kWh/m²,A,20170313501357,Non communiqué,26984 kWh/an,,Gaz,,Oui,,,,,,Zone non inondable,,1.680.000 €,Non,,,,"Avenue Legrand 30
1050 - Ixelles",,,27 m²,5,Oui,Non,Non,650 m²,,,,4393171,,Oui,,,108 m²,,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
121,À la livraison,2020,Excellent état,,,,23,Urbain,35 m²,Pas équipée,,,3,,11 m²,9 m²,14 m²,2,,,2,Non,,,,,14 m²,,,,,,,,,,,,Oui,,,,109 kWh/m²,,,,,B,20200630505493,Non communiqué,12808 kWh/an,Gaz,,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,373.000 €,Non,"Rue Fort d'Andoy 5
5100 - Wierde",,,,4368397,,119 m²,,,,Oui,Oui,,,,,,,,,,,,,,1 août 2020 - 00:00,,,,,,Brabant wallon,,,,,,,,,,,,,,,,,,,1,3,
122,Après la signature de l’acte,2004,Bon,,,,,,125 m²,1,,Équipée,48 m²,8,42 m²,41 m²,37 m²,36 m²,35 m²,3,2,Oui,,Non,,,Non,Oui,Non,Non,Non,Non,Connecté,,Non,Non,,,,,Oui,Non,Oui,,,236 kWh/m²,,C,20120702008800,58 kg CO₂/m²,218074 kWh/an,Non,Mazout,Non,Oui,926 m²,,,Non,Non,2.450.000 €,,,Non,"Drève Richelle, 118
1410 - Waterloo",Non,,,2769380,,730 m²,Oui,7,,Non,Non,Non,,Non,,,,,Non,,,,,,,Non,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,2000,Excellent état,,4,3,5,,651 m²,,,,Hyper équipée,,5,,,,,,5,,,Oui,,,Non,,5241 m²,,,,,,Connecté,Non,4590 m²,,,,Oui,Oui,,,,Oui,,138 kWh/m²,B,20210910013474,34 kg CO₂/m²,90012 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,,2.400.000 €,Non,,,,"Chaussée de Louvain 433
1380 - Lasne",,,,,,Non,Non,,,,,4364875,Oui,Oui,,,,,,,30 novembre 2021 - 00:00,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Après la signature de l’acte,1875,Bon,,3,,,,136 m²,28 m²,Oui,,,8 m²,3,15 m²,15 m²,13 m²,,,1,1,,Oui,,,Non,,1630 m²,,,,,,Connecté,,1500 m²,,,,,Oui,,,,Non,,303 kWh/m²,D,20170509020428,Non communiqué,43599 kWh/an,,,,Oui,Oui,,,Non,Non,,,Faire offre à partir de 450.000 €,Non,,,620 €,"rue de la Gendarmerie 1
1380 - Lasne",,,,,Oui,,Non,,,,,4365126,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Après la signature de l’acte,,Fraîchement rénové,,4,1,4,,210 m²,,,,Hyper équipée,,4,,,,,,3,3,,Oui,,,Non,,3752 m²,,,,,,,Non,,,,,,,,,,,,393 kWh/m²,E,20210526005584,Non communiqué,123666 kWh/an,,Mazout,,Oui,,,,,,,,835.000 €,Non,,,2.588 €,"rue de la Gendarmerie 1
1380 - Lasne",,,,3,Oui,,,,,,,4516243,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,2013,Excellent état,,4,4,4,,264 m²,28 m²,Oui,,Américaine hyper-équipée,21 m²,5,42 m²,17 m²,18 m²,16 m²,,2,2,,,,,Non,,1700 m²,,,,,,,Non,1700 m²,,80 m²,,,Oui,,,,Oui,,100 kWh/m²,B,RWPEB0114922,Non communiqué,27043 kWh/an,,,,Oui,Oui,,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",949.000 €,Non,,,,"Chaussée de Bruxelles 380 B 2
1410 - Waterloo",,,15 m²,1,,Non,Non,,,,,4397376,,,,,,,,,1 septembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,1973,À rafraîchir,,4,2,2,,300 m²,35 m²,Oui,,Hyper équipée,13 m²,6,24 m²,22 m²,10 m²,10 m²,,3,4,22 m²,Oui,,,Non,,3000 m²,,,,,,Connecté,Non,2000 m²,,20 m²,,,Oui,,,,Oui,,182 kWh/m²,C,20160819009963,Non communiqué,Non communiqué,,,,,,,,,,Zone non inondable,,1.050.000 €,Non,,,,"Avenue Legrand 30
1050 - Ixelles",,,11 m²,3,Oui,Non,Non,,,,,4451084,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,2007,Excellent état,,4,2,4,,320 m²,45 m²,Oui,,Américaine hyper-équipée,22 m²,5,36 m²,20 m²,20 m²,10 m²,,3,3,8 m²,Oui,,,Non,,1599 m²,,,,,,Connecté,Non,,,,,,Oui,,,,Oui,,231 kWh/m²,C,20210914025917,Non communiqué,83347 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,,1.095.000 €,Non,,,3.905 €,"16 rue Bois Lionnet
1380 - Lasne",,,,1,Oui,,Non,400 m²,,,,4452502,Oui,Oui,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Après la signature de l’acte,1920,Excellent état,,4,,6,,528 m²,40 m²,,,Équipée,25 m²,10,24 m²,22 m²,28 m²,25 m²,,5,7,,Oui,,,,,5600 m²,,,,,,Connecté,Oui,,,50 m²,,,Oui,,,,Oui,,290 kWh/m²,D,20200806001152,Non communiqué,153480 kWh/an,,Mazout,,Oui,,,,,,,,1.895.000 €,Non,,,,"Avenue Louise 367
1050 - Ixelles",,,20 m²,5,Oui,,,,,,,,,Oui,,4402265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Après la signature de l’acte,2000,Excellent état,,4,4,,,680 m²,58 m²,,,Hyper équipée,29 m²,7,66 m²,33 m²,31 m²,26 m²,,6,5,34 m²,Oui,,,Non,,15300 m²,,,,,,Connecté,Non,,,200 m²,,,Oui,Oui,,,Oui,,166 kWh/m²,B,20210612002985,Non communiqué,143216 kWh/an,,Mazout,,Oui,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2.750.000 €,Non,,,6.500 €,"16 rue Bois Lionnet
1380 - Lasne",,,25 m²,3,Oui,Oui,Non,800 m²,,,,3914536,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Après la signature de l’acte,,À rafraîchir,,4,1,4,,79 m²,Oui,1,Pas équipée,19 m²,4,27 m²,21 m²,21 m²,15 m²,9 m²,,1,Oui,,,,,4800 m²,,Oui,,,,,,,Oui,,418 kWh/m²,,,,,,,,,,E,20201106003872,Non communiqué,131314 kWh/an,Non,,695.000 €,,,,,,,,,,3.125 €,"Avenue Albert Ier, 304
1332 - Genval",,,Non,5594 - 2286325,,277 m²,1,2,,,,,Sud,,,,,Non,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,1960,À rénover,,4,2,4,,190 m²,40 m²,,,Pas équipée,11 m²,4,23 m²,16 m²,28 m²,10 m²,Non,2,3,10 m²,Oui,,20 m²,Non,,2375 m²,,,,,19 m,,,,Sud-ouest,,,,,,,,,,401 kWh/m²,E,20210729010848,Non communiqué,Non communiqué,"Oui, conforme",Mazout,,Oui,Oui,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Non,Oui,30 m²,1.723 €,"Avenue Général Mellier 20
5030 - Gembloux",,,,,,,,,Oui,Non,Non,spir1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Après la signature de l’acte,1978,Fraîchement rénové,28 m,4,1,6,,300 m²,63 m²,,2,Équipée,25 m²,5,25 m²,20 m²,18 m²,16 m²,,2,5,22 m²,Oui,,,Non,,2220 m²,,,,,46.77 m,,Oui,1900 m²,Sud,60 m²,,,Oui,Oui,,,,,243 kWh/m²,C,20210117003335,60 kg CO₂/m²,81210 kWh/an,"Oui, conforme",Mazout,,Oui,,,,,,Zone non inondable,,1.285.000 €,Non,,,4.460 €,"Chaussée de Tervuren 99/11
1410 - Waterloo",,,14 m²,2,,,,,,,,146 - 1357,,,Non,,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,,
134,Selon le locataire,1979,,,4,2,5,,350 m²,50 m²,Oui,,,30 m²,5,,,,,,3,3,25 m²,Oui,,,Non,,4200 m²,,,,,,,Non,,,45 m²,,,Oui,,,,Non,,268 kWh/m²,D,20120514031713,Non communiqué,94158 kWh/an,,Mazout,,,Oui,,,Non,Non,,,1.095.000 €,Non,,,4.774 €,"16 rue Bois Lionnet
1380 - Lasne",,,,,,Non,,,,,,4496640,,Oui,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
