,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Espace professionnel,Surface du grenier,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Buanderie,Surface de la cave,Revenu cadastral,Adresse,Nom de l'agent,Visite virtuelle,Surface de la chambre 5,Salles de douche,Grenier,Ascenseur,Accessible aux personnes avec un handicap,Surface constructible totale au sol,Jardin,Pompe à chaleur,Obligation de construire,Site internet,Terrasse,Cave,Attestation as-built,Référence externe,Surface de l'espace professionnel,Nombre d'annexes,Salon,Isolé,Disponible le,Concierge,Climatisation,Panneaux photovoltaïques,Panneaux solaires,Description libre du PEB,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Pourcentage loué,Revenu mensuel actuel,Nom du bien,Étage,Nombre d'étages,Informations supplémentaires
70,Après la signature de l’acte,,À rénover,,2,1,1,,140 m²,15 m²,Oui,,Semi-équipée,13 m²,3,20 m²,8 m²,13 m²,,Non,1,2,,Non,Non,10 m²,Non,Non,95 m²,Non,Non,Non,Non,,Connecté,Non,,,25 m²,,,,,,,,,140 kWh/m²,G,20210825005503,521 kg CO₂/m²,73165 kWh/an,,,Non,Oui,,Toutes sortes,,,,Zone non inondable,,175.000 €,Non,Oui,10 m²,360 €,,,,,1,,,,,,Non,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
71,,1994,Excellent état,,4,2,4,,337 m²,27 m²,Oui,1,Semi-équipée,20 m²,4,18 m²,11 m²,11 m²,20 m²,Oui,1,2,,Non,Non,,Non,Non,1090 m²,Non,Non,Non,Non,,Connecté,Oui,730 m²,Sud-ouest,45 m²,Sud-ouest,Oui,Oui,Non,Non,Non,Non,Oui,272 kWh/m²,D,20210727013411,Non communiqué,60412 kWh/an,"Oui, conforme",Mazout,Oui,Oui,Oui,Villa,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",450.000 €,Non,,123 m²,1.064 €,,,,,1,,Non,Non,,,Non,,,,,,,,,,,,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,
72,Après la signature de l’acte,,Fraîchement rénové,,2,,,Urbain,350 m²,,,,Équipée,,5,,,,,Non,3,4,,Non,,,Non,,,,,,,,,,,,,,Non,Oui,Oui,,,Non,,13513 kWh/m²,G,20120719020905,29 kg CO₂/m²,Non communiqué,Non,Gaz,,Oui,Oui,,Non,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",945.000 €,Oui,,,2.743 €,"Oudebaan 131
3360 - Korbeek-Lo",,,,,,Non,Non,,,Non,Non,Jodoigne,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,1987,Bon,,4,2,2,,236 m²,37 m²,Oui,,Équipée,16 m²,3,31 m²,21 m²,10 m²,,,1,2,,,,,Non,,2090 m²,,,,,,,Oui,,Nord,,,,,,,,,,298 kWh/m²,D,20190118018253,Non communiqué,77898 kWh/an,,Gaz,,Oui,,,,,,,,,Non,,,996 €,"Grand' Route 69 A
1435 - Corbais",,,,2,,,,,Oui,,,8363 - 345345817,Oui,Oui,Non,,,,,,,,,,,,,,,,,,,40.000 €,40.000 €,1.400 €,Oui,Non,Oui,2,"75, 74",15,,,,,,
74,Après la signature de l’acte,,Fraîchement rénové,,2,,,,110 m²,28 m²,Oui,,Équipée,17 m²,3,21 m²,15 m²,12 m²,,,1,1,,,,,Non,,156 m²,,,,,,,Oui,,Sud,,,,,,,,,,204 kWh/m²,C,20211001009772,38 kg CO₂/m²,27108 kWh/an,,Gaz,,Oui,,,,,,,,225.000 €,Non,,,319 €,"Avenue des Combattants, 21
1370 - Jodoigne",,,,,,,,,Oui,,,41856 - 20052,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,1918,Bon,7 m,2,,,,35 m²,Semi-équipée,,,18 m²,3,18 m²,16 m²,6 m²,1,,,,6 m²,Oui,Oui,,,115 m²,,7 m,,,,,Oui,,31 m²,,,Oui,,,282 kWh/m²,,,,,,D,20201120011760,71 kg CO₂/m²,53126 kWh/an,Non,,Oui,,Non,,,Non,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,,"Zone d'habitat (résidentiel, urbain ou rural)",249.950 €,969 €,"Rue d'Incourt 37
1315 - Opprebais",,,Non,3655 - 4605,,173 m²,,4,,,,,,,,,,Non,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,2013,,,4,,2,,215 m²,34 m²,,,Équipée,14 m²,4,33 m²,18 m²,15 m²,13 m²,,1,2,8 m²,Oui,,,Non,,2360 m²,,,,,,,Oui,,Ouest,,,,,,,,,,199 kWh/m²,C,20181024002735,43 kg CO₂/m²,45484 kWh/an,,Gaz,,Oui,,,,,,Zone non inondable,,440.000 €,Non,,,1.181 €,"Avenue des Combattants, 21
1370 - Jodoigne",,,,,,,,,Oui,,,41867 - 20054,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Après la signature de l’acte,,Bon,,3,1,,,240 m²,19 m²,Oui,,Équipée,21 m²,4,12 m²,19 m²,33 m²,12 m²,,2,3,6 m²,Oui,,,Non,,1450 m²,,,,,,Connecté,Non,1450 m²,,,,,Oui,,,,,,190 kWh/m²,C,20160714010574,Non communiqué,52469 kWh/an,,Mazout,,Oui,,,,,,,,Faire offre à partir de 349.000 €,Non,,,702 €,"Chaussée de Tirlemont 1
1370 - Jodoigne",,,,1,Oui,Non,Non,,,,,4517695,Oui,Oui,,,30 m²,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,,À rénover,,2,2,2,,350 m²,50 m²,Oui,,Pas équipée,,4,15 m²,13 m²,13 m²,65 m²,,1,2,,,,,Non,,400 m²,,,,,,Connecté,Non,400 m²,,,,,Oui,,,,Non,,569 kWh/m²,G,20201114005340,Non communiqué,149525 kWh/an,,Gaz,,Oui,,,,,,Zone non inondable,,Faire offre à partir de 199.000 €,Non,,,,"Chaussée de Tirlemont 1
1370 - Jodoigne",,,,1,Oui,,,,,,,4498716,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,Oui,,,,"Rue de la Besace, 14
6852 - Our-Paliseul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
