,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Quartier ou lieu-dit,Autorisation de lotissement,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salles de bains,Terrasse,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Procédure pour violation de la réglementation urbanistique,Mise à prix,Type d’environnement,Salon,Salle à manger,Terrain plat,Raccordement à l'égout,Panneaux solaires,Grenier,Surface du jardin,Bureau,Surface de la cave,Porte blindée,Surface constructible totale au sol,Surface de la chambre 4,Accès sécurisé / alarme,Surface de la chambre 5,Buanderie,Surface de bureau,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Largeur de la façade à rue,Largeur du terrain à rue,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Orientation de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Description libre du PEB,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Obligation de construire,Isolé,Nom de l'agent,Visite virtuelle,Surface de l'espace professionnel,Surface du grenier,Nombre d'annexes,Niveau E (performance énergétique globale),Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Informations supplémentaires,Charges mensuelles,Pourcentage loué
58,,À rénover,18.62 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,16 m²,,,,,17 m²,22 m²,11 m²,1,18.62 m,442 m²,,,,,,F,,20210601020671,Non communiqué,96767 kWh/an,Électrique,Non,,Oui,Non,,,1.730 €,,"Avenue des Commandants Borlée, 14
1370 - Jodoigne",Emilie MAHY,,,1985,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Sur rendez-vous au 010/77.21.26,Après la signature de l’acte,1,,,Non,Oui,130.000 €,Non,193 m²,,,,,Oui,,492 kWh/m²,,,,,1,,,,,,,,,,,4,Nord-est,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
59,14 août 2021 - 00:00,1977,Bon,4,1,5,114 m²,34 m²,,Semi-équipée,12 m²,3,14 m²,14 m²,9 m²,,1,Oui,Non,3390 m²,Non,,,15 m²,489 kWh/m²,F,20210713018538,Non communiqué,55948 kWh/an,,Oui,,,Zone non inondable,,330.000 €,892 €,Non,"Place Ernest Dubois 6
1390 - Grez-Doiceau",,Après la signature de l’acte,,,4416919,,,,1,,,Mazout,,,,,,,,Connecté,,,,Oui,,,,,,,,7 m²,,Non,Non,,,Oui,15 m,29 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,1975,Bon,4,2,2,56 m²,1,Hyper équipée,4,,3,,,,,Oui,Non,2345 m²,Oui,Oui,Ouest,17 m²,254 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Pellets,600.000 €,,,,,2.082 €,Non,"Venelle de la réserve 2
1300 - Wavre",4872 - 2909,,,,,,,,,2,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270 m²,,,,,,,,,,,,,,,,,
61,,4,,Oui,,,,,,,,Oui,,,,,,Oui,,Nord-ouest,,Oui,606 kWh/m²,,20210918002863,Non communiqué,88843 kWh/an,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,1.224 €,,"Allée du Bois de Bercuit, 14
1390 - Grez-Doiceau",Stéphanie SCHOLTES,,,1968,,Non,,Non,"Une permanence est assurée de 10h00 à 12h00 > Les samedis 9, 16, 23, 30 octobre 2021 > Les mardis 12, 19, 26 octobre et 2 novembre 2021",Immédiatement,Oui,G,,,,245.000 €,Non,,3,1,,,,,,879 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,
62,,2008,Bon,,2,3,140 m²,50 m²,,,,3,22 m²,9 m²,9 m²,,2,Oui,Non,600 m²,,,,,185 kWh/m²,C,20120217015948,Non communiqué,26580 kWh/an,Non,Oui,,,,,425.000 €,1.445 €,Non,"Route de Landen 82
4280 - Hannut",1009338 - 988,,,,,,,,1,Oui,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,4,,4,38 m²,1,Hyper équipée,4,,2,,,,,Oui,Non,1307 m²,20.88 m,,,,Oui,B,Non communiqué,Non communiqué,Non communiqué,Non,Mazout,660.000 €,,,,,1.452 €,Non,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",3454 - 650026,,Après la signature de l’acte,,,,,,,2,,,Oui,,,,,,,,,,,30 m²,,,,,,Oui,,,,,,Oui,,Non communiqué,,,1082 m²,,,,,,,,,,,,,,,,,,195 m²,,,,,,,,,,,,,,,,,
64,1 octobre 2022 - 00:00,2006,Excellent état,4,1,5,286 m²,35 m²,,Américaine hyper-équipée,17 m²,5,15 m²,15 m²,15 m²,3,2,,,1557 m²,Oui,,,,161 kWh/m²,B,20210914030999,Non communiqué,Non communiqué,,Oui,Oui,Non,,,619.000 €,1.302 €,Non,"Bevrijdingsplein 2
1500 - Halle",4534169,À définir,,,,,,,3,Oui,,Gaz,,Non,,Pays,,,,Connecté,,Oui,,Oui,,,,11 m²,,10 m²,,10 m²,,,,,,,14.5 m,,,,,,,,,,,,,,,,,,,,31 m²,,,,,,,,,,,,,,,,
65,,1980,Bon,3,1,4,82 m²,2,Américaine hyper-équipée,6,,2,,,,7,17 m²,Non,1990 m²,Non,Oui,,,,C,20210908028866,Non communiqué,78086 kWh/an,Non,Mazout,995.000 €,,,,,1.264 €,Non,"Avenue Franklin Roosevelt 104/29,
1330 - Rixensart",644 - 10000671,,,,,,,,,4,Oui,,Oui,,,,,,,,,,,,Oui,,,,,253 kWh/m²,,,Oui,,,,,,,19 m,Oui,,,28 m,,,,,,,,,,,,,,,436 m²,,,,,,,,,,,,,,,,,
66,,,Bon,3,,,140 m²,,1,,,3,17 m²,15 m²,9 m²,,2,Oui,Non,986 m²,Non,,,1 m²,424 kWh/m²,E,20171009000809,Non communiqué,68843 kWh/an,,Non,,,,,385.000 €,,Non,,,,,,,,,,1,,,Mazout,Non,,,,Oui,Oui,Non,,Non,Oui,1 m²,Non,,Non,,,Non,,,,Non,Non,Non,Non,Non,Non,,,Oui,Non,Non,Non,Non,,Non,Non,Non,Oui,,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
67,,1979,À rafraîchir,4,1,5,110 m²,,,,10 m²,2,14 m²,10 m²,,,1,,Non,1000 m²,Oui,,Sud,1 m²,Non communiqué,F,20210728012552,Non communiqué,Non communiqué,,Non,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",215.000 €,,Non,,,,,,,,,,1,,,Gaz,Non,,,,,,Oui,,Non,,800 m²,Non,,Non,,,Non,,,,Non,Non,Oui,Non,Non,Non,,,Non,Non,Oui,Non,Non,Sud,Non,Non,Non,Oui,besoin en chaleur du logement : excessifs performance des installations d'eau chaudes sanitaire : excellente performance des installations de chauffage : excellente système de ventilation : absent,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
