,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Quartier ou lieu-dit,Autorisation de lotissement,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salles de bains,Terrasse,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Procédure pour violation de la réglementation urbanistique,Mise à prix,Type d’environnement,Salon,Salle à manger,Terrain plat,Raccordement à l'égout,Panneaux solaires,Grenier,Surface du jardin,Bureau,Surface de la cave,Porte blindée,Surface constructible totale au sol,Surface de la chambre 4,Accès sécurisé / alarme,Surface de la chambre 5,Buanderie,Surface de bureau,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Largeur de la façade à rue,Largeur du terrain à rue,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Orientation de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Description libre du PEB,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Obligation de construire,Isolé,Nom de l'agent,Visite virtuelle,Surface de l'espace professionnel,Surface du grenier,Nombre d'annexes,Niveau E (performance énergétique globale),Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Informations supplémentaires,Charges mensuelles,Pourcentage loué
78,,1950,À rafraîchir,4,1,4,120 m²,,,Équipée,7 m²,2,21 m²,10 m²,,,1,,Non,623 m²,,Oui,Sud,22 m²,602 kWh/m²,G,20210929019317,149 kg CO₂/m²,Non communiqué,,Oui,,,,Zone d'extension d'habitat,325.000 €,1.232 €,Non,"Avenue Général Mellier 20
5030 - Gembloux",spir1997,Après la signature de l’acte,,,,,,,1,,"Oui, conforme",Mazout,Non,,,Pays,Oui,Oui,,,,,,Non,,,,,,,Oui,,,,,,,,,,Non,,,,,,,,,,,,,,Non,,,,,17 m²,,,,,,,,,,,,,,,
79,1 juillet 2021 - 00:00,1800,À rénover,4,4,2,234 m²,16 m²,2,Semi-équipée,10 m²,5,20 m²,17 m²,16 m²,,2,Oui,Non,1572 m²,Oui,,Sud-est,120 m²,451 kWh/m²,F,20191101001595,84 kg CO₂/m²,127313 kWh/an,Non,,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",340.000 €,1.460 €,Non,"Grand' Route 69 A
1435 - Corbais",8796 - 4424,Après la signature de l’acte,Louvrange,Oui,,,,,2,,Non,Gaz,,,,,,Oui,,,,,1272 m²,Oui,,,,12 m²,,8 m²,,10 m²,,,,,,,,32 m,,,,,,,,,,,,,,,,,,,,,,451,,,,,,,,,,,,,
80,15 décembre 2021 - 00:00,1988,Excellent état,4,2,4,51 m²,Semi-équipée,,15 m²,4,18 m²,15 m²,15 m²,38 m²,,7 m²,,2441 m²,Connecté,2341 m²,,,,D,20210820006244,75 kg CO₂/m²,80630 kWh/an,Électrique,,Zone non inondable,,,675.000 €,,2.565 €,Non,"Rue de Wavre, 27
1300 - Wavre",4431236,,Après la signature de l’acte,Brabant Wallon,,,,,,2,Non,,Oui,,,,Pays,,,,Non,,Non,Oui,38 m²,,,,3,Oui,,,Oui,,Non,Oui,,Non,264 kWh/m²,,,,,,,,,,,,,,,,,,,,250 m²,Oui,,,,,,,,,,,,,,,,
81,,,Excellent état,4,,3,Oui,,,27 m²,4,13 m²,12 m²,11 m²,26 m²,2,Oui,,260 m²,Connecté,30 m²,,,Non,B,20210929012802,27 kg CO₂/m²,37320 kWh/an,"Oui, conforme",Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 395.000 €,637 €,Non,"Place Communale 8
1160 - Auderghem",4512413,,Après la signature de l’acte,Brabant Wallon,Non,,,,,1,,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Hyper équipée,,Oui,,,,26 m²,Non,,,1,Non,,,,,Non,Oui,,,146 kWh/m²,21 m,,,,,,,,,,,,,,,,,,,180 m²,,,,,,,,,,,,,,,,,
82,,2013,Excellent état,3,,,275 m²,,,Américaine hyper-équipée,33 m²,4,19 m²,17 m²,14 m²,,3,,Non,400 m²,Oui,,Sud-est,40 m²,84 kWh/m²,A,20120714001517,Non communiqué,24840 kWh/an,,Non,Oui,,Zone non inondable,,599.000 €,1.770 €,Non,,,Immédiatement,,,,,,,2,,,Gaz,Non,,,,,,Non,Connecté,Non,,300 m²,Non,,Non,,14 m²,Oui,,,,Non,Non,Non,Oui,Non,Non,,,Non,Non,Non,Non,Non,,Non,Oui,Non,Oui,,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
83,,1975,Bon,1,2,2,,50 m²,1,Équipée,17 m²,5,28 m²,17 m²,12 m²,,3,,Non,1500 m²,Oui,,,1 m²,Non communiqué,D,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,,635.000 €,3.195 €,Non,,,À définir,,,,,,,2,,,Électrique,Non,Non,,Pays,,,Non,,Non,Oui,1 m²,Non,,Non,,12 m²,Non,12 m²,Oui,,Non,Non,Non,Oui,Non,Oui,,,Non,Non,Non,Non,Oui,,Non,Non,Non,Oui,,Oui,Oui,Villa,,Oui,,,,,,,,,,,,,,,,,,,
84,,1985,Excellent état,4,1,2,210 m²,45 m²,,Américaine hyper-équipée,17 m²,3,23 m²,16 m²,12 m²,2,2,,,1300 m²,Non,,,25 m²,339 kWh/m²,D,20190123016757,Non communiqué,75678 kWh/an,,Oui,,,,,565.000 €,,Non,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",4529338,,,,,,,,2,,,Gaz,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,2015,Excellent état,4,1,4,215 m²,48 m²,,Américaine hyper-équipée,15 m²,4,25 m²,25 m²,16 m²,3,2,Oui,,1190 m²,Non,,,100 m²,97 kWh/m²,B,20210421500285,Non communiqué,28483 kWh/an,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",975.000 €,,Non,"Chaussée de Collines 102
1300 - Wavre",,Après la signature de l’acte,,Non,4341482,,,,4,,,,,Non,,,,Oui,,Non connecté,,,1190 m²,,,,295 m²,16 m²,Oui,,,,,Non,Oui,,,Non,16.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1 juillet 2021 - 00:00,1994,Excellent état,4,2,4,200 m²,42 m²,,Équipée,20 m²,3,13 m²,11 m²,20 m²,,2,Oui,Non,1538 m²,Oui,,,30 m²,477 kWh/m²,F,20180126015672,118 kg CO₂/m²,74390 kWh/an,,Oui,,,Zone non inondable,,510.000 €,,Non,"Place Ernest Dubois 6
1390 - Grez-Doiceau",,Après la signature de l’acte,,,4408527,,,,2,,,,,,,,,Oui,,Connecté,,Oui,,,,,14 m²,,Oui,,,,,Non,Oui,,,Non,,24 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,1920,,4,4,2,232 m²,33 m²,1,Équipée,13 m²,5,36 m²,14 m²,14 m²,,3,,Non,2000 m²,Oui,Oui,Sud-ouest,,360 kWh/m²,E,20200714010429,66 kg CO₂/m²,107696 kWh/an,Non,Oui,,,,,Faire offre à partir de 595.000 €,1.395 €,Oui,"Boulevard de l'Europe 2-1
1300 - Wavre",1766 - 2807,Après la signature de l’acte,,,,,,,4,,,Gaz,,,,,,Oui,,,,,,Oui,70 m²,,,12 m²,Oui,12 m²,,,,,,,,,,17 m,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,1920,,4,4,2,232 m²,33 m²,1,Équipée,13 m²,5,36 m²,14 m²,14 m²,,3,,Non,2000 m²,Oui,Oui,Sud-ouest,,360 kWh/m²,E,20200714010429,66 kg CO₂/m²,107696 kWh/an,Non,Oui,,,,,Faire offre à partir de 595.000 €,1.395 €,Non,"Boulevard de l'Europe 2-1
1300 - Wavre",1765 - 2806,Après la signature de l’acte,,,,,,,4,,,Gaz,,,,,,Oui,,,,,,Oui,70 m²,,,12 m²,Oui,12 m²,,,,,,,,,,17 m,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,2005,Bon,3,1,,140 m²,32 m²,,Américaine équipée,14 m²,4,18 m²,14 m²,18 m²,,2,Oui,Non,,Non,,,15 m²,222 kWh/m²,C,20120903016952,Non communiqué,35061 kWh/an,,Oui,,,Zone non inondable,,385.000 €,1.342 €,Non,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",4533871,Selon le locataire,,,,,,,1,,,Mazout,,,,,,,,Non connecté,,Oui,65 m²,,,,,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,Oui,,,,,Équipée,2,,1,,,,,Oui,Oui,,Oui,,,,,C,20201019005442,Non communiqué,65186 kWh/an,Gaz,,Oui,,,,290.000 €,,Non,"Off. de l´Orangerie, rue Colleau, 15
1325 - CHAUMONT-GISTOUX",Cecile LAMMERHIERT,,,,Non,,Non,Visites sur rendez-vous fixé préalablement au 0494/53.62.21. Les visites devront s'effectuer dans le strict respect des mesures sanitaires en vigueur.,4,,Oui,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",2.098 €,,Oui,1,,,Oui,Oui,,,,,,,239 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,2064 m²,,,,,,,,,,,,,,,,,,,
91,,1850,Bon,4,1,4,280 m²,,,Américaine équipée,,5,,,,2,3,Oui,,1300 m²,Non,,,,426 kWh/m²,F,20141201002379,Non communiqué,139525 kWh/an,,,,,Zone non inondable,,595.000 €,,Non,"Chaussée de Collines 102
1300 - Wavre",,Après la signature de l’acte,,,4398386,,,,2,Oui,,Mazout,,,,,,,,Connecté,,,,,,,325 m²,,Oui,,,,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,30 janvier 2022 - 00:00,2000,Excellent état,4,3,6,350 m²,,,Hyper équipée,,5,40 m²,25 m²,14 m²,,,,,3500 m²,Non,,,,155 kWh/m²,B,20210427006072,Non communiqué,63376 kWh/an,,Oui,,,Zone non inondable,,1.200.000 €,,Non,"Chaussée de Collines 102
1300 - Wavre",,À définir,,,4417969,,,,2,Oui,,,,,,,,,,Connecté,Oui,,,Oui,,,,12 m²,Oui,12 m²,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,10 m²,,,,,,,,,,,,,,,,
93,,,Excellent état,4,1,2,140 m²,26 m²,,,,3,,,,,2,,,500 m²,Oui,,,,225 kWh/m²,C,20140424022547,Non communiqué,28039 kWh/an,,Oui,,,,,450.000 €,1.586 €,Non,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",4518998,Après la signature de l’acte,,,,,,,1,Oui,,Gaz,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,1978,À rafraîchir,4,2,,194 m²,,,,,3,,,,,,Oui,Non,2126 m²,Oui,,,,165 kWh/m²,B,20151015006083,Non communiqué,44354 kWh/an,,Oui,,,Zone non inondable,,445.000 €,3.195 €,Non,"Clos des Chêneaux 18A
1390 - Grez-Doiceau",3890203,Après la signature de l’acte,,,,,,,2,Oui,,,,Non,,,,,,,,Oui,,Oui,,,,,Oui,,,,,Non,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,1950,Bon,2,,12,412 m²,,,Américaine équipée,,6,,,,2,8,Oui,Non,672 m²,Oui,,,10 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,,,885.000 €,3.815 €,Oui,"Chaussée de Tervuren 149/3
1410 - Waterloo",848 - 1435,Après la signature de l’acte,,,,,,,2,,"Oui, conforme",Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 m,,,,,,,,,,,,,,,,,,,,,,,5583,,,,,,,,,,,,
96,,1991,Excellent état,4,,2,318 m²,,,,,4,,,,2,,Oui,,990 m²,Non,,,,187 kWh/m²,C,20210504021336,Non communiqué,68996 kWh/an,,,,,,,750.000 €,,Non,"Chaussée de Collines 102
1300 - Wavre",,Après la signature de l’acte,,,4420104,,,,2,Oui,,,,,,,,,,Connecté,,Oui,,,,,440 m²,,Oui,,,,,Non,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,À rénover,4,,2,285 m²,36 m²,,,15 m²,3,20 m²,23 m²,15 m²,1,1,Oui,,1197 m²,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Zone non inondable,,465.000 €,,Non,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",4530675,Après la signature de l’acte,,,,,,,1,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,10 m,15.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,À rénover,4,,2,285 m²,36 m²,,,15 m²,3,20 m²,23 m²,15 m²,1,1,Oui,,1197 m²,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Zone non inondable,,465.000 €,,Non,"Chaussée de la libération, 3
1390 - Grez-Doiceau",4530680,Après la signature de l’acte,,,,,,,1,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,Bon,4,,5,250 m²,,1,Équipée,,3,,,,,2,,Non,846 m²,Oui,,,,Non communiqué,D,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,415.000 €,1.412 €,Non,,,,,,,,,,1,,,Mazout,Non,,,,,,Non,Connecté,Non,,,Non,,Non,,,Oui,,,,Non,Non,Oui,Non,Non,Non,,,Non,Non,Non,Non,Non,,Non,Non,Non,Oui,,Non,Oui,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
100,,1850,Bon,4,1,100,900 m²,,,,,4,15 m²,15 m²,15 m²,,5,,,6000 m²,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,1.250.000 €,1.072 €,,"Rue Adelin Colon 15
1300 - Wavre",,Après la signature de l’acte,,,,,,,,,,Mazout,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Connecté,,,,,,,,15 m²,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,ILG.immo,,,,,,,,,,,,,,,,,,
101,,2016,Excellent état,4,4,6,850 m²,,,,,8,,,,,,Oui,Non,2000 m²,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,1.450.000 €,,Non,,,Après la signature de l’acte,,,,,,,3,,,,Non,,,Pays,Oui,Oui,Oui,Connecté,Oui,,,Oui,,Non,,,,,Oui,,,,,,,,,,Non,Oui,Non,Non,Oui,,,,,,,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
102,,1900,À rénover,3,1,,,44 m²,,,22 m²,3,18 m²,16 m²,18 m²,1,1,Oui,Non,1996 m²,Non,,,,444 kWh/m²,F,20206195979,Non communiqué,125108 kWh/an,,Oui,,,Zone non inondable,,450.000 €,,Non,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",4359141,Après la signature de l’acte,Brabant Wallon,,,,,,1,Oui,,Mazout,,,,Isolé,,Oui,,Connecté,,Oui,,,,,,,,,,,,,,,,,13.28 m,45.26 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,1999,Bon,4,2,,225 m²,32 m²,,Hyper équipée,15 m²,4,20 m²,14 m²,9 m²,1,3,Oui,Non,4015 m²,Non,,,35 m²,240 kWh/m²,C,20200623021182,59 kg CO₂/m²,45237 kWh/an,,Oui,,,Zone non inondable,,Faire offre à partir de 795.000 €,,Non,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",4424950,Après la signature de l’acte,,,,,,,2,,,,,,,,,,,Connecté,,,,Oui,,,,14 m²,,,,9 m²,,Oui,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,1890,À rénover,4,,2,180 m²,35 m²,,Semi-équipée,7 m²,3,35 m²,14 m²,10 m²,,1,Oui,Non,938 m²,,,,,Non communiqué,Non communiqué,PEB E et PEB G,Non communiqué,Non communiqué,Non,,,,,,,,Non,"Grand' Route 69 A
1435 - Corbais",8374 - 345345826,Après la signature de l’acte,,,,,,,1,,"Oui, conforme",Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.000 €,40.000 €,1.350 €,Oui,Non,Oui,1,67,15,,,
105,,1900,,3,,,116 m²,30 m²,,,,2,14 m²,11 m²,,,2,Oui,Non,1894 m²,Non,,,,444 kWh/m²,F,20200619015979,Non communiqué,125108 kWh/an,,Oui,,,Zone non inondable,,275.000 €,,Non,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",4359143,Après la signature de l’acte,Brabant Wallon,,,,,,2,,,,,,,Pays,,,,Connecté,,Oui,,,,,,,,,,,,,,,,,6.75 m,21.2 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,1900,À rénover,4,1,4,450 m²,,,,,6,,,,,2,Oui,,2100 m²,Non,,,,569 kWh/m²,G,20200311012883,Non communiqué,193845 kWh/an,,,,,,,575.000 €,1.286 €,Non,"Allée du Bois de Bercuit 77
1390 - Grez-Doiceau",,Après la signature de l’acte,,,4410776,,,,2,,,Mazout,,,,,,,,Connecté,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,2019,,3,1,2,228 m²,27 m²,,Pas équipée,15 m²,5,15 m²,15 m²,15 m²,1,2,,,908 m²,Oui,Oui,Sud,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,,,549.750 €,,,"Chapelle des Anges 45
4890 - FROIDTHIER",Mathieu,Immédiatement,,,,,,,1,,,,Oui,,,Pays,,,,Connecté,,,,,,,,12 m²,,9 m²,Oui,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,
108,,,Bon,3,,1,,,,Hyper équipée,,3,,,,2,,,Non,500 m²,Oui,,,,216 kWh/m²,C,20210228003419,Non communiqué,34176 kWh/an,,Oui,,,,,435.000 €,,Non,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",4333274,À définir,,,,,,,2,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,Non,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,4,2,10,,,,Équipée,25 m²,5,32 m²,22 m²,22 m²,4,4,,Non,2615 m²,,,,300 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,,,,,1.250.000 €,1.938 €,Non,"Avenue des Combattants, 9
1370 - Jodoigne",1573,À définir,,,,,,,4,,,Mazout,Non,,,,,Oui,,,Non,,,,,,,20 m²,,18 m²,Oui,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,
110,,1947,Bon,4,,7,,,,,16 m²,3,20 m²,20 m²,18 m²,,2,,Non,2000 m²,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,,575.000 €,950 €,Non,,,,,,,,,,1,,,,Non,,,,,,Non,,Non,,,Non,,Non,,,,,,,,,,,,,50 m,,Non,Non,Non,Non,Non,,,,,,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
111,,1900,À rénover,4,,,,,,,,,,,,,,,,7000 m²,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,Zone non inondable,,285.000 €,,Non,,,,,,,,,,,,,,Non,,,,,,Non,,Non,,,,,,,,,,,,,,,,,,21 m,,,,Non,Non,Non,,,,,,,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
112,1 janvier 2022 - 00:00,1958,Excellent état,3,1,2,67 m²,Américaine équipée,,20 m²,4,18 m²,18 m²,11 m²,50 m²,,10 m²,Oui,564 m²,13 m,564 m²,,,326 kWh/m²,D,20210506010216,63 kg CO₂/m²,80536 kWh/an,Gaz,,Zone non inondable,,,585.000 €,,2.590 €,Non,"Rue de Rixensart 77
1332 - Genval",4374908,,À définir,Brabant Wallon,,,,,,2,,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,,Non,20 m²,Oui,,,,2,,,,Oui,,,,,,,10 m,Connecté,,,,,,,,,,,,,,,,,,247 m²,,,,,,,,,,,,,,,,,
113,,1970,Bon,4,1,2,Oui,,,10 m²,9,12 m²,15 m²,13 m²,14 m²,5,Non,,1296 m²,Oui,,,,,D,20170118017209,72 kg CO₂/m²,62896 kWh/an,Mazout,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 749.000 €,Non,,"Place Communale 8
1160 - Auderghem",4082289,,Après la signature de l’acte,,Non,,,,,4,291 kWh/m²,,Oui,,,,Isolé,Semi-équipée,,,,,,,,,,,13 m²,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,420 m²,,,,,,,,,,,,,,,,,
114,,1977,Excellent état,6,2,4,280 m²,45 m²,1,Américaine hyper-équipée,14 m²,4,16 m²,16 m²,12 m²,2,2,,Non,2400 m²,Oui,,Sud,75 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,,Zone non inondable,,850.000 €,,Non,,,Après la signature de l’acte,,,,,,,,,,Mazout,Non,,,,,Oui,Non,,Non,,2100 m²,Non,,Non,,31 m²,Oui,,Oui,,Non,Non,Non,Oui,Oui,Non,,49 m,Oui,Non,Non,Non,Non,Sud,Non,Non,Non,Oui,,Non,Oui,Villa,,,,,,60 m²,,,,,,,,,,,,,Orienté sud et joliment arboré de 24 ares (avec une partie retravaillée en mode « naturel » par un paysagiste).,,
115,,2004,Excellent état,4,,5,50 m²,Américaine hyper-équipée,,3,,15 m²,11 m²,11 m²,Non,,Oui,,Non,Connecté,25 m²,,,Sud-ouest,B,20170328014446,25 kg CO₂/m²,41435 kWh/an,Non,Gaz,1.200.000 €,,,,,Non,,"Avenue de Mérode 16B
1330 - Rixensart",Energie,,,,,,,,,2,,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,,,,Non,,Non,,,Non,,Oui,,Non,Non,Non,Oui,Oui,137 kWh/m²,,,2,,,,,Non,,,,,,,,,,,,300 m²,,,,,,,,,,,,,,,,,
116,,,10.27 m,2,68 m²,,Équipée,7 m²,,2,12 m²,10 m²,1,1,,,17 m²,,,10.27 m,,,,F,20201008008923,Non communiqué,38268 kWh/an,Gaz,Non,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,1.331 €,,"Boucle Joseph Dewez, 1
1490 - COURT-SAINT-ETIENNE",Yves SOMVILLE,,,À rafraîchir,,Non,,Non,Visites uniquement sur rendez-vous préalable en téléphonant à l'étude au 010/61.22.40 chaque mercredi de 14H à 16H et chaque samedi de 10H à 12H et ce à partir du samedi 2 octobre 2021 jusqu’au mercredi 24 novembre 2021 inclus.,Après la signature de l’acte,Oui,,,Oui,Oui,200.000 €,Non,,,,Connecté,18 m²,,,464 kWh/m²,,Oui,,,,,,676 m²,,,,,,,,4,454 m²,,,,,,,,,,,,,,,,,,25 m²,,,,,,,,,,,,,,,,,
117,,1979,Bon,4,2,2,280 m²,47 m²,1,Hyper équipée,,5,,,,2,2,Oui,Non,2380 m²,Oui,,Sud,30 m²,499 kWh/m²,F,20210923006213,142 kg CO₂/m²,109745 kWh/an,Non,Oui,,,,,650.000 €,3.446 €,Non,"Chaussée de Tervuren 149/3
1410 - Waterloo",893 - 1639,Après la signature de l’acte,,,,,,,,,,Électrique,,,,,,,,,,,2180 m²,,,,,,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,1976,Excellent état,4,1,4,Hyper équipée,,,3,,2,,,,,14 m²,,2442 m²,Oui,Oui,,,,B,20210512014326,Non communiqué,48582 kWh/an,Gaz,,Non,,Non,780.000 €,,2.643 €,Non,"Clos des Chêneaux 18A
1390 - Grez-Doiceau",4347165,,Après la signature de l’acte,,,,,,,2,Non,,Oui,,Zone non inondable,,,,,,,Oui,Non,,Oui,,,,,Non,,,Oui,,Non,Oui,,,168 kWh/m²,,,,,,,,,,,,,,,,,,,,250 m²,,,,,,,,,,,,,,,,,
119,1 mars 2022 - 00:00,1971,Excellent état,4,1,4,280 m²,50 m²,,Équipée,,4,17 m²,14 m²,,2,2,Oui,Non,1826 m²,Oui,,,,223 kWh/m²,C,20210810004097,Non communiqué,73438 kWh/an,,Oui,,,,,Faire offre à partir de 795.000 €,4.025 €,Non,"rue de la Gendarmerie 1
1380 - Lasne",4500133,À définir,,,,,,,2,Oui,,Gaz,,,,,,Oui,,,,,,,,,,,Oui,,,,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,1905,Bon,4,,4,Américaine équipée,,,4,,19 m²,17 m²,19 m²,17 m²,3,Oui,Non,1250 m²,Connecté,1000 m²,,,,E,20210621012362,78 kg CO₂/m²,104342 kWh/an,"Oui, conforme",,,,,1.090.000 €,,2.738 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4337675,,À définir,,,,,,,1,,Gaz,Zone non inondable,,,,,,,,Non,,,408 kWh/m²,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 m²,,,,,,,,,,,,,,,,,
121,1 février 2022 - 00:00,1934,À rénover,4,,5,Oui,,Semi-équipée,14 m²,4,17 m²,17 m²,15 m²,14 m²,,Oui,Non,1826 m²,Oui,Oui,Sud,548 kWh/m²,,G,20210625005124,Non communiqué,Non communiqué,Non,Mazout,,,,,,2.211 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",389 - 3391296,,,,,,,,,2,,,595.000 €,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165 m²,,,,,,,,,,,,,,,,,
122,,,Excellent état,4,,,350 m²,,1,,,7,,,,,1,Oui,Non,7870 m²,Oui,,,,321 kWh/m²,D,20180513002033,80 kg CO₂/m²,121445 kWh/an,Non,Oui,,Non,,,1.350.000 €,5.226 €,Non,"Drève Richelle, 118
1410 - Waterloo",5303769,À définir,,Non,,,,,,,Non,Mazout,Non,Non,,,Oui,Oui,Oui,Connecté,Non,Oui,,Oui,,Non,440 m²,,Oui,,,,Oui,Non,Non,Non,Oui,Non,,,Non,,Non,Non,Non,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,
