,Année de construction,Nombre de façades,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Type d’environnement,Largeur de la façade à rue,Parkings intérieurs,Cave,Permis de bâtir obtenu,Surface constructible totale au sol,État du bâtiment,Visite virtuelle,Surface du salon,Type de cuisine,Toilettes,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Attestation as-built,Combien de feux ouverts ?,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Buanderie,Surface de bureau,Bureau,Grenier,Isolé,Accès sécurisé / alarme,Piscine,Panneaux photovoltaïques,Nom de l'agent,Salles de douche,Orientation du jardin,Orientation de la terrasse,Porte blindée,Jardin,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Type de construction,Salon,Salle à manger,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Référence externe,Surface de la cave,Niveau E (performance énergétique globale),Obligation de construire,Surface de la chambre 5,Attestation de conformité des citernes à mazout,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Surface du grenier,Nombre d'annexes,Quartier ou lieu-dit,Surface de l'espace professionnel,Nom du bien
0,2004,4,3,210 m²,3,1,Non,907 m²,Connecté,Oui,Oui,620 kWh/m²,F,20210413-0002400909-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",421.000 €,364 €,Oui,"Gasthuisstraat 21
2340 - Beerse",4437593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4,,254 m²,4,2,,1429 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,645.822 €,,Non,"Nerviërslei 6
2900 - Schoten",4320461,Après la signature de l’acte,Isolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1990,4,1,180 m²,3,2,Non,1150 m²,,Non,Oui,386 kWh/m²,D,UC 1871463-1,Non communiqué,Non communiqué,Électrique,Oui,Oui,Non,Non,,Parc résidentiel,574.000 €,,Non,"Turnhoutsebaan, 532
2970 - Schilde",4535982,Après la signature de l’acte,,12 m,1,Oui,Oui,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1990,4,,32 m²,1,2,722 m²,19 m,,,,C,20210918-0002465890-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,Non,,"Bevrijdingsplein 4
3970 - Leopoldsburg",1314322 - 1308654,,Après la signature de l’acte,,9 m,1,,Oui,,Excellent état,135 m²,Hyper équipée,2,Non,547 m²,27 m²,285 kWh/m²,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1991,4,,292 m²,4,1,,1944 m²,Connecté,Oui,,159 kWh/m²,B,20190401-0002146764-RES-1,159 kg CO₂/m²,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",559.000 €,1.572 €,,"Hogeweg 34
2960 - St Job In't Goor",,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",,2,,,,Excellent état,,39 m²,Équipée,2,,950 m²,56 m²,Non,1,19 m²,25 m²,25 m²,13 m²,13 m²,Oui,7 m²,Oui,Oui,Oui,Oui,Oui,Oui,Geert Schellekens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1995,4,6,140 m²,2,1,,750 m²,,,,519 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Électrique,,,,,,,365.000 €,743 €,,"Blauwesteenstraat 67
2550 - Kontich",Hilde Van Look,Immédiatement,"Zone d'habitat (résidentiel, urbain ou rural)",10 m,,,,,Fraîchement rénové,,45 m²,Hyper équipée,2,,500 m²,40 m²,,1,10 m²,19 m²,16 m²,,,Oui,,,,,,,,,1,Sud-ouest,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1993,4,3,216 m²,4,,Non,1200 m²,Connecté,Non,,Non communiqué,Non communiqué,20170918-0001994542-1,Non communiqué,Non communiqué,Mazout,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,589.000 €,1.412 €,Non,"Het Schoemeken 37
2970 - Schilde",TK/0090,,,12.8 m,1,Oui,,122 m²,Bon,,41 m²,Équipée,2,20 m,,,,,21 m²,,,,,,,Non,,,Oui,Non,,,,Est,,Non,Oui,Non,Non,Non,Non,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1992,3,4,,6,3,Non,1869 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,385.000 €,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",21 m,,,Oui,1869 m²,À rafraîchir,,,Équipée,3,,1000 m²,45 m²,"Oui, conforme",,,,,,,Oui,,Non,,,Non,Non,Oui,,3,Sud,Sud,Non,,Non,Non,Non,Oui,,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,
8,1996,4,,,2,1,,835 m²,,,,597 kWh/m²,F,20210915-0002464437-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,,Zone non inondable,,350.000 €,835 €,Non,"Antwerpsesteenweg, 93
2390 - OOSTMALLE",,Immédiatement,Pays,,,Oui,Oui,,Bon,,,Équipée,,,,,,,,,,,,,,,Oui,,,,,Jolien HOREMANS,,,,,,,,,,,Oui,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
9,,4,,60 m²,2,1,Non,1555 m²,,,Oui,901 kWh/m²,F,2467489,Non communiqué,Non communiqué,,Oui,,,,,,399.000 €,,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",4508155,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,À rénover,,,,1,,,,,,,,,,,,,,Oui,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1960,4,,,1,Oui,,641 kWh/m²,,,,F,20210808-0002449051-RES-1,Non communiqué,Non communiqué,Non,,,Non,Zone d'inondation reconnue,,290.000 €,,641 €,Non,"Sint-Lenaartsesteenweg, 53
2310 - RIJKEVORSEL",Larissa DE BEUCKELAER,,Après la signature de l’acte,,,1,,,,À rafraîchir,Oui,,2,,,,,,,,,,,,Oui,,,632 m²,,,,,,,,,,,,,,,,Oui,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,4,,,3,1,Non,24187 m²,Non connecté,Non,,192 kWh/m²,B,2140776,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,Zone de récréation et de séjour,1.978.000 €,3.296 €,Non,"Aarschotsesteenweg 201
2500 - Lier",,,,25 m,,,Oui,,Bon,,75 m²,Équipée,,,,,,,30 m²,,,,,,,Non,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,IF-2993NP,,,,,,,,,,,,,,,
12,,,1,225 m²,4,,Non,1000 m²,Connecté,Oui,,190 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",485.000 €,994 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,À définir,,,,Oui,,,Excellent état,,,Équipée,2,,,,,,,,,,,,,,Oui,,,,Oui,,,Ouest,,,Oui,,,,,,,,Non,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,,
13,1984,4,5,270 m²,4,2,Non,2055 m²,Connecté,Non,,95 kWh/m²,A,20210827-0001907896-RES-2,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,,,899.000 €,4.097 €,Non,,,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",,2,,Oui,270 m²,Excellent état,,31 m²,Hyper équipée,3,,1500 m²,50 m²,,1,18 m²,11 m²,11 m²,28 m²,23 m²,Oui,,Non,Oui,,Oui,Oui,Non,,1,Nord-ouest,,Non,,Non,Non,Oui,Oui,Villa,,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,,4 m²,,,,,,,,,,,,,,
14,1965,4,6,336 m²,4,2,Non,2734 m²,,Oui,,Non communiqué,Non communiqué,202006090002279418RES1,Non communiqué,Non communiqué,Gaz,Oui,,Non,Non,,,949.000 €,4.034 €,Non,,,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",,2,Oui,,,Excellent état,,,Hyper équipée,4,35 m,3 m²,60 m²,Non,1,,,,,,Oui,,Non,Oui,Oui,Oui,Oui,Non,,,Sud,Sud,Non,,Non,Non,Non,Oui,Toutes sortes,Oui,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,,,374,Non,,,,,,,,,,,,
15,1979,4,3,360 m²,5,2,Non,1521 m²,,,,209 kWh/m²,C,2017062300019723411,209 kg CO₂/m²,Non communiqué,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",849.000 €,3.929 €,Non,"Hagedoornlaan 1
2970 - Schilde",205 - 1404,Après la signature de l’acte,,20 m,1,,Oui,,À rafraîchir,,70 m²,Semi-équipée,3,30 m,1000 m²,30 m²,Non,,,,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1965,4,3,100 m²,3,1,,1478 m²,,,,1738 kWh/m²,F,2473267,Non communiqué,Non communiqué,Électrique,,Non,Non,Non,Zone d'inondation reconnue,Zone de récréation et de séjour,315.000 €,572 €,Non,"Turnhoutsebaan 75
2970 - Schilde",4517747,Après la signature de l’acte,,,2,,Oui,100 m²,À rénover,,34 m²,,1,44 m,,,,,8 m²,15 m²,13 m²,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1968,4,2,279 m²,3,2,,1750 m²,Connecté,Oui,Oui,193 kWh/m²,B,2470865,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,1.095.000 €,,Non,"Turnhoutsebaan 75
2970 - Schilde",4489163,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",21 m,2,,Oui,279 m²,Excellent état,,,Hyper équipée,2,39 m,,,,,,42 m²,19 m²,18 m²,,,,Oui,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1990,4,,150 m²,4,2,,2200 m²,,Oui,Oui,350 kWh/m²,D,1343757,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,,Zone non inondable,Parc résidentiel,579.000 €,2.059 €,Non,"Turnhoutsebaan 75
2970 - Schilde",4489306,Après la signature de l’acte,,,,,Oui,150 m²,,,44 m²,Hyper équipée,2,,,,,,,19 m²,10 m²,11 m²,4 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1987,4,,263 m²,6,2,,3786 m²,Connecté,Oui,,316 kWh/m²,D,20150319-000174444,Non communiqué,Non communiqué,Gaz,,Non,Non,,Zone inondable potentielle,Parc résidentiel,885.000 €,,Non,"Turnhoutsebaan 75
2970 - Schilde",4463541,Après la signature de l’acte,,,,Oui,Oui,,,,34 m²,,,,,54 m²,,,18 m²,23 m²,18 m²,17 m²,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 m²,,,,,,,,,,,
20,1999,,,700 m²,4,2,Non,3016 m²,Non connecté,Oui,,273 kWh/m²,C,64543,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,1.980.000 €,6.284 €,Non,"Sint-Franciscusstraat 3
9250 - Waasmunster",E15S87 [3024192],,,,2,,Oui,,Excellent état,,,Hyper équipée,3,,,,Non,1,,,,,,,,Non,,,Oui,Non,,,,Sud,,,Oui,Non,Non,Oui,Oui,Toutes sortes,,,Oui,,Non,Non,Non,Non,Non,,,,,Non,,,,,,Non,,Non,,,,,,,,,,
21,,1,171 m²,Équipée,Oui,445 m²,,Sud-ouest,,,F,20210424-0002406146-RES-1,Non communiqué,Non communiqué,Oui,Non,,,Zone d'inondation reconnue,190.000 €,,700 €,,,"Ambtmanstraat 7
2000 - Antwerpen",Lize BLIECK,,,4,,,,,Non,,,Oui,,1,,,,,,,,,,,,,,Oui,,,,,,,,750 kWh/m²,,,Oui,,,,,,2,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
elke zon. van 11u-12u30 en elke don. van 15u-16u30, vanaf don. 14/10 tem zon. 14/11, zonder afspraak",Après la signature de l’acte,Non,,,,,,
22,1994,4,4,550 m²,5,2,,2031 m²,Connecté,Oui,Oui,154 kWh/m²,B,2412922-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,,Parc résidentiel,745.000 €,,Non,"Turnhoutsebaan, 532
2970 - Schilde",4531498,Après la signature de l’acte,,,1,Oui,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Oui,,,,3008 m²,Non communiqué,,Non communiqué,,,,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,,,Zone inondable potentielle,595.000 €,,3.435 €,,,"Maarschalk Gerardstraat, 20
2000 - ANTWERPEN",Babette DEHAEN,,,1974,,,,,Non,,,Oui,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Équipée,3,,,,,,,,,,,,,,,,,,,,,Non,"nl :
volgende zaterdagen telkens van 12u-14u: 16 en 30/10, 6 en 13/11",Après la signature de l’acte,Non,,,,,,
24,1968,3,,,3,1,,402 m²,Connecté,,Oui,621 kWh/m²,F,240002400712,Non communiqué,Non communiqué,Mazout,Oui,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,979 €,Non,"Turnhoutsebaan, 532
2970 - Schilde",4501287,Après la signature de l’acte,,,1,Oui,Oui,,À rénover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1999,4,4,446 m²,5,3,Non,2034 m²,Connecté,Oui,Oui,189 kWh/m²,B,01153709,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,Zone inondable potentielle,Parc résidentiel,1.695.000 €,,Non,"Turnhoutsebaan, 532
2970 - Schilde",4402793,À définir,,23.4 m,2,,Oui,250 m²,,,,,,40 m,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,3,,,3,1,Non,360 m²,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,,,395.000 €,642 €,Non,,,À définir,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,Non,,,,,Non,,,,,,Toutes sortes,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,
27,4,2,Oui,,Oui,2057 m²,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,,,Zone non inondable,625.000 €,,6.714 €,,,"Maarschalk Gerardstraat, 20
2000 - ANTWERPEN",Jasmina STUCKENS,,,2003,,,5,,Non,,,1,,2,,,,,,5,,,,,,,,,Oui,,,Non communiqué,,,,,,,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
woe. 18/8, 25/8, 1/9 en 8/9 van 16u-18u - zat. 21/8, 28/8, 4/9, 11/9, 18/9 en 25/9 van 10u-12u",Après la signature de l’acte,Non,,,,,,
28,1974,4,4,,2,3,,40 m,,Oui,Oui,D,2449474,Non communiqué,Non communiqué,Oui,,Oui,Non,Non,Parc résidentiel,,1.735.000 €,Non,,"Turnhoutsebaan, 532
2970 - Schilde",4402794,,À définir,,,1,,Oui,,,Hyper équipée,,3,Oui,Oui,,,,,,,,,,,,Oui,2000 m²,,Oui,354 kWh/m²,,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2021,3,2,200 m²,3,2,Non,,Connecté,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,Parc résidentiel,599.000 €,,Non,"Turnhoutsebaan, 532
2970 - Schilde",4450056,À la livraison,,,1,,Oui,,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,
30,1967,3,2,149 m²,3,1,Non,581 m²,,,,453 kWh/m²,E,2455227,Non communiqué,Non communiqué,Mazout,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",340.000 €,676 €,Non,"Grote Markt 16
2850 - Boom",D2850-21066,,Urbain,,,,Oui,,Bon,,,Équipée,2,,375 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,,,,Oui,"Grote Markt 10
2200 - HERENTALS",,À la livraison,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,4,1,137 m²,3,,Non,194 m²,Connecté,Oui,Oui,645 kWh/m²,F,20111124-0000975024-00000005-6,Non communiqué,Non communiqué,Gaz,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,712 €,Non,"Leopoldstraat 37
2800 - Mechelen",,,,,,Oui,,,Excellent état,,27 m²,Hyper équipée,2,,,,,,16 m²,19 m²,12 m²,15 m²,,,,,,,,,,,,,Nord-ouest,,,,,,,,,,Non,,,,,,,,,,,Non,,,,,,,,,,,,,31 mai 2022 - 00:00,,,,,
33,1902,3,,154 m²,3,1,Non,,,,,391 kWh/m²,D,20210427-0002407529-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,,Non,"Bredabaan 260
2930 - Brasschaat",36983 - BRA-21-RDA-0,Après la signature de l’acte,,6 m,,Oui,,,À rénover,,,Équipée,1,7.4 m,189 m²,,Non,,,,,,,,,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1960,4,3,200 m²,4,1,Non,1000 m²,Connecté,Oui,,318 kWh/m²,D,20210915-0002464600-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,,497.500 €,2.228 €,Non,,,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",,1,,Oui,,À rénover,,51 m²,Équipée,,20 m,850 m²,,,,10 m²,21 m²,15 m²,13 m²,10 m²,Oui,,Non,,,Non,Non,Non,,,Sud-ouest,,Non,,Non,Oui,Non,Non,Toutes sortes,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,,,,Non,,,,,,,,35 m²,,,,
35,1999,4,2,700 m²,4,2,Non,3016 m²,Non connecté,Non,,273 kWh/m²,C,2009020800000064543-00000030-7,Non communiqué,Non communiqué,,Non,Non,Non,Non,,Parc résidentiel,1.980.000 €,,Non,"Leopoldslei, 7
2930 - Brasschaat",MB1422,,,25 m,2,,Oui,265 m²,Bon,,50 m²,,4,40 m,,50 m²,,,32 m²,,,,,,,Oui,,,Oui,Non,,,,Sud,,Non,Oui,Non,Non,Non,Non,Villa,,,,,,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,
36,1956,4,6,550 m²,5,3,Non,4180 m²,Non connecté,Non,,249 kWh/m²,C,20180824-0002084563-1,Non communiqué,Non communiqué,,Oui,Non,Non,Non,,Parc résidentiel,1.475.000 €,4.586 €,Non,"Leopoldslei, 7
2930 - Brasschaat",MB1755*,,,28 m,2,,Oui,272 m²,Bon,,50 m²,,4,68 m,4180 m²,50 m²,,,20 m²,,,,,,,Non,,,,,,,,Sud-ouest,,Non,,,,,,Villa,,,,,,,,,,,,,,,,,,40 m²,,,,,,,,,,,,,,
37,2003,4,,575 m²,5,3,Non,2438 m²,Non connecté,Non,,224 kWh/m²,C,UC 01325914,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.695.000 €,7.696 €,Non,"Leopoldslei, 7
2930 - Brasschaat",MB1853,,Pays,20 m,2,,Oui,250 m²,Bon,,60 m²,,4,30 m,,100 m²,,1,60 m²,,,,,,,Oui,,,,,,,,Sud-est,,Non,Oui,,,,,Villa,,,,,,,,,,,,,,,,,,18 m²,,,,,,,,,,,,,,
38,2010,4,4,800 m²,5,3,Non,3759 m²,Non connecté,Non,Oui,135 kWh/m²,B,11039-G-2008-11136/EP02294/V007,13499 kg CO₂/m²,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,2.495.000 €,8.477 €,Non,"Leopoldslei, 7
2930 - Brasschaat",MB1748,,,24.5 m,3,,Oui,330 m²,Bon,,50 m²,,5,38.5 m,,,,1,65 m²,,,,,,,Oui,,,,,,,,Sud,,Non,Oui,,,,,Villa,,,,,,,,,,,,,,,,,,120 m²,,,,,,,,,,,,,,
39,,4,,270 m²,3,1,Non,1823 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,685.000 €,2.122 €,Non,,,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",15 m,,,Oui,1823 m²,Excellent état,,,Équipée,2,24 m,1500 m²,50 m²,,1,,,,,,Oui,,Oui,,,Non,Non,Non,,,Sud-ouest,Sud-ouest,Oui,,Non,Non,Oui,Non,Villa,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,,,330,,,,,,,,,,3,,,
40,2017,4,10,402 m²,4,,,2809 m²,,Oui,,77 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,1.349.000 €,5.394 €,,"Leopoldslei 7
2930 - Brasschaat",,,"Zone d'habitat (résidentiel, urbain ou rural)",,2,,,,Excellent état,,,,,,,100 m²,,,,,,,,,,,,,,Oui,,,,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2002,,4,651 m²,6,4,Non,3600 m²,Non connecté,Non,,235 kWh/m²,C,705958,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,1.749.000 €,8.864 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/9951,,,,2,,Oui,,Excellent état,,60 m²,Équipée,,63 m,,,,,34 m²,,,,,,,Non,,,Oui,Non,,,,Est,,Non,Oui,Non,Non,Non,Oui,Villa,,,,,,,,,,,,,,,,,,16 m²,,,,,,,,,,,,,,
42,1956,3,,167 m²,3,1,,1423 m²,,Oui,Oui,356 kWh/m²,D,20190205-0002129496-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,1.274 €,,"Kerkstraat, 27
2970 - 's Gravenwezel",,,"Zone d'habitat (résidentiel, urbain ou rural)",,1,,Oui,,,,,Équipée,2,,,,Non,,,19 m²,15 m²,23 m²,,,,,,,,,,Thierry Leys,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,4,4,272 m²,3,1,Non,525 m²,Connecté,Oui,,146 kWh/m²,B,20180817-0002081076-1,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/10349,,,9 m,,,Oui,,Bon,,,Équipée,3,14 m,,,,,,,,,,,,Non,,,Oui,Non,,,,Ouest,,Non,Oui,Non,Non,Non,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1997,3,,180 m²,3,1,Non,303 m²,Connecté,Non,,233 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,Zone non inondable,,449.000 €,,Non,,,À définir,,,,Oui,,,Excellent état,,,Hyper équipée,3,,1 m²,1 m²,,,,,,,,Oui,,Non,Oui,Oui,Oui,Non,Non,,1,,,Non,,Non,Non,Non,Non,,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,,,,,,"Oui, conforme",,,,,,,1,,,
45,,1,,125 m²,3,1,Non,290 m²,Connecté,Oui,,Non communiqué,Non communiqué,400,Non communiqué,Non communiqué,Gaz,Oui,,,,,,480.000 €,704 €,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",6 m,,Oui,,,Excellent état,,,Équipée,2,,1 m²,1 m²,,,,,,,,,,Non,Oui,,Non,Non,Non,,,,,Non,,Non,Non,Non,Non,Toutes sortes,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,
46,2003,,,350 m²,3,2,Non,5691 m²,Connecté,Oui,,157 kWh/m²,B,20190507-0002157537-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,,Parc résidentiel,1.450.000 €,5.335 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/10249,,,19 m,9,,Oui,400 m²,À rafraîchir,,,,2,36 m,5691 m²,,,1,,,,,,,,Non,,,Oui,Oui,,,,Nord-ouest,,Oui,,Non,Non,Non,Oui,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2000,,,1085 m²,6,5,Non,9084 m²,Connecté,Oui,,157 kWh/m²,B,20190507-0002157537-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,,Parc résidentiel,3.125.000 €,11.420 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/9878,,,39 m,11,Oui,Oui,653 m²,À rafraîchir,,,,8,75 m,9084 m²,,,1,,,,,,,,Non,,,Oui,Oui,,,,Nord-ouest,,Oui,,Non,Non,Non,Oui,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
