,Année de construction,Nombre de façades,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Type d’environnement,Largeur de la façade à rue,Parkings intérieurs,Cave,Permis de bâtir obtenu,Surface constructible totale au sol,État du bâtiment,Visite virtuelle,Surface du salon,Type de cuisine,Toilettes,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Attestation as-built,Combien de feux ouverts ?,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Buanderie,Surface de bureau,Bureau,Grenier,Isolé,Accès sécurisé / alarme,Piscine,Panneaux photovoltaïques,Nom de l'agent,Salles de douche,Orientation du jardin,Orientation de la terrasse,Porte blindée,Jardin,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Type de construction,Salon,Salle à manger,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Référence externe,Surface de la cave,Niveau E (performance énergétique globale),Obligation de construire,Surface de la chambre 5,Attestation de conformité des citernes à mazout,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Surface du grenier,Nombre d'annexes,Quartier ou lieu-dit,Surface de l'espace professionnel,Nom du bien
114,1998,4,,63 m²,1,1,Non,1986 m²,,,,793 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,Oui,,,Zone non inondable,Zone de loisirs,185.000 €,307 €,Non,"Handelslei 156
2980 - Zoersel",1301 - TK21/432,Après la signature de l’acte,,,1,,Oui,,À rafraîchir,,,,1,,,,Non,,10 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1970,4,,238 m²,3,1,Non,2381 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",665.000 €,1.923 €,Non,"Handelslei 156
2980 - Zoersel",1306 - TK21/435,,,22 m,1,,Oui,,,,,Hyper équipée,1,53 m,,30 m²,Non,1,15 m²,30 m²,15 m²,15 m²,,,,,,,,,,,,Sud,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,415 m²,5,,Non,999 m²,Connecté,Oui,Oui,75.75 kWh/m²,A,EP02872,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",899.000 €,3.083 €,Non,"Handelslei 93
2980 - Zoersel",,À définir,,,,,Oui,,Excellent état,,,Hyper équipée,2,,,,Non,,,37 m²,16 m²,18 m²,37 m²,,,,Oui,,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,Non,Oui,,,,40,,,,,,,,,,,,,
117,1977,4,,283 m²,4,1,Non,969 m²,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,,,489.000 €,1.383 €,Non,,,Après la signature de l’acte,,9 m,,,,,Fraîchement rénové,,,Équipée,1,,,,,,,,,,,,,Non,,,,,Non,,,,,Non,,,,,,Toutes sortes,,,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,
118,2000,4,6,765 m²,5,3,,2000 m²,,Oui,Oui,207 kWh/m²,C,853652,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,1.295.000 €,,Non,"Heidestatiestraat 53
2920 - Kalmthout",4433017,Après la signature de l’acte,,30 m,3,Oui,Oui,,,,,Hyper équipée,,50 m,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1990,4,,,4,1,Non,1360 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,294 kg CO₂/m²,Non communiqué,Gaz,Oui,,Non,,,,499.000 €,1.246 €,Non,,,Après la signature de l’acte,,,,,,,Bon,,,,2,22 m,1 m²,1 m²,,,,,,,,,,Non,Oui,Oui,,,Non,,,,,Non,,,,,,Toutes sortes,Oui,,Oui,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,
120,,3,,,3,,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,305.770 €,,,"Churchilllaan 286
2900 - Schoten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,2,,185 m²,4,1,Non,351 m²,Connecté,Oui,,95 kWh/m²,A,20211007-0002474352-RES-1,Non communiqué,Non communiqué,Pellets,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",345.000 €,612 €,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",6 m,,,Oui,,Excellent état,,40 m²,Hyper équipée,2,,180 m²,36 m²,Non,,16 m²,24 m²,16 m²,11 m²,9 m²,Oui,6 m²,Oui,,,Non,Non,Oui,,,Sud,Sud,Non,,Non,Non,Oui,Non,,,,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,,,95,Non,,Non,,,,,,,,,,
122,À rafraîchir,Oui,,,1,1,,421 kWh/m²,,,,E,20210227-0002377990-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,Non,Zone non inondable,,190.000 €,,,Non,"Gasthuisstraat, 27
2960 - BRECHT",Barbara DE SADELEER,,1990,,,,,Oui,,4,,,2,600 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Équipée,,,,,,,,,,,,,Non,Oui,,,,,,,,Non,"nl :
Zaterdag van 14.00 tot 16.00 uur vanaf 4 september 2021",Immédiatement,1.286 €,,,,,,
123,121 m²,,,Oui,Oui,Oui,,E,,,,202109160002465065,Non communiqué,Non communiqué,Non,Oui,,,Zone non inondable,125.000 €,,257 €,,,"Donksesteenweg, 33
2930 - BRASSCHAAT",Céline DOCKX,,,1900,,,,451 m²,,,,Oui,,1,,,,,,,,,,,,,,,453 kWh/m²,,,,,,,,,,,,,,,,Équipée,2,,,,,,,,,,,,,,,,,,,,,Non,"nl :
23/10 tem 20/11 op woe. van 14u-16u en op zat. van 10u-12u",Après la signature de l’acte,Non,,,,,,
