,À partir de,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Surface de la cuisine,Surface du jardin,Orientation du jardin,Double vitrage,Largeur de la façade à rue,Parkings extérieurs,Salle à manger,Dressing,Salles de douche,Buanderie,Bureau,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Obligation de construire,Site internet,Type d’environnement,Combien de feux ouverts ?,Attestation de conformité des citernes à mazout,Parkings intérieurs,Grenier,Terrasse,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Salon,Mise à prix,Jardin,Isolé,Surface de la chambre 3,Orientation de la terrasse,Surface constructible totale au sol,Surface de la chambre 4,Quartier ou lieu-dit,Surface du grenier,Disponible le,Surface de bureau,Surface de l'espace professionnel,Nom de l'agent,Nombre d'annexes,Surface de la chambre 5,Charges mensuelles
64,,1961,Bon,,165 m²,45 m²,Pas équipée,4,12 m²,8 m²,1,2,,Non,205 m²,7 m,,181 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Non,Non,,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",419.500 €,1.287 €,Non,"Fruithoflaan, 1
2600 - Berchem",,12 m²,,,Oui,7 m,,,,,,,,,,,,,,,85 m²,,,,,,,,,,,,,Gaz,,,,,,,13831 - 371484,,,,5,,,,,,,,,,,8 m²,,,6 m²,,,,,,,,,
65,,1932,Fraîchement rénové,2,266 m²,,Hyper équipée,4,,,3,,,Non,155 m²,,,147 kWh/m²,B,20200220-0002250723-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",360.000 €,872 €,Non,"Kern 32
2610 - Wilrijk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,D2660-21042,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,2018,Bon,,40 m²,Équipée,7 m²,26 m²,12 m²,12 m²,2,Non,,79 m²,32 m²,,,A,Non communiqué,Non communiqué,Non communiqué,Non,34,,,,,,,1.082 €,Non,"Fruithoflaan, 1
2600 - Berchem",13719 - 372857,,3,,,419.500 €,,,,,,,,,,,,,,,,63 kWh/m²,,,,,,,,,,,,Gaz,Oui,,,,,,,,,,,1,,,,,,155 m²,,,,,8 m²,,,2,,,,,,,,,
67,,,Bon,,200 m²,35 m²,Équipée,3,25 m²,23 m²,1,2,Oui,Non,1005 m²,,,531 kWh/m²,F,20210416-0002402558-RES-1,Non communiqué,Non communiqué,Non,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",474.500 €,746 €,Non,"Fruithoflaan, 1
2600 - Berchem",,14 m²,,Nord,Oui,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,13830 - 371447,,,,2,,Oui,,,,,,,Oui,,16 m²,,,,,,,,,,,,
68,,1978,Bon,3,200 m²,65 m²,Semi-équipée,3,,,1,2,Oui,Non,3602 m²,,Oui,344 kWh/m²,D,20210927-0002469073-RES-1,Non communiqué,Non communiqué,Non,,,,,,,585.000 €,1.168 €,Non,"Antwerpsestraat 292
2640 - Mortsel",,,,Sud-est,Oui,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10416 -,,,,1,,,,,,,,,Oui,,,,,,,,,,,,,,
69,À définir,,Excellent état,2,180 m²,47 m²,Équipée,4,16 m²,14 m²,2,2,,Non,192 m²,,Oui,138 kWh/m²,B,20211007-0002474193-RES-1,Non communiqué,Non communiqué,,,,,,Zone non inondable,,429.000 €,969 €,Non,,,9 m²,110 m²,Sud-est,Oui,6 m,1,,Non,,Oui,Non,Non,,Non,Non,Non,Non,Non,Connecté,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Gaz,Non,Non,Non,Non,Toutes sortes,,,"Zone d'habitat (résidentiel, urbain ou rural)",,"Oui, conforme",1,,,,,,,,,,,4 m²,,,12 m²,,,,,,,,,
70,Après la signature de l’acte,1957,Fraîchement rénové,3,227 m²,,Hyper équipée,3,,,1,2,,Non,227 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,Zone non inondable,,425.000 €,,Non,,,,50 m²,Sud-est,Oui,10 m,3,,Non,,,Non,Non,,Non,Oui,Non,Non,Non,Connecté,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Mazout,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,"Oui, conforme",1,,,,,,,Oui,,,,,,,,,,,,,,1,,
71,À définir,,Excellent état,,44 m²,Hyper équipée,19 m²,7 m²,15 m²,11 m²,,Oui,Non,230 m²,Connecté,,140 m²,B,2409160,Non communiqué,Non communiqué,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,415.000 €,Non,,"Krijgsbaan 11 b1
2640 - Mortsel",,,4,Sud-ouest,128 kWh/m²,Oui,,,,2,,,,,,,,,,,Oui,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,,,,,,206 m²,,,,,37 m²,,,Oui,,,,,,,,,
72,Après la signature de l’acte,,Bon,3,254 m²,27 m²,Américaine hyper-équipée,6,12 m²,12 m²,2,3,,,338 m²,,Oui,173 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,Oui,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",545.000 €,,Non,"Kapellestraat 45
2630 - Aartselaar",4500712,14 m²,,,,,2,Oui,,1,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,2,,Oui,,,,,,,,,12 m²,,,10 m²,,,,,,,,17 m²,
73,Après la signature de l’acte,,À rafraîchir,2,400 m²,,Américaine hyper-équipée,10,19 m²,20 m²,3,,Oui,,525 m²,12 m,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,575.000 €,,Non,"Kapellestraat 45
2630 - Aartselaar",4399408,,,,,12 m,,,,,,Oui,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,Urbain,,,1,Oui,Oui,,,,,,,,,19 m²,,,20 m²,,,,,,,,20 m²,
