,À partir de,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Surface de la cuisine,Surface du jardin,Orientation du jardin,Double vitrage,Largeur de la façade à rue,Parkings extérieurs,Salle à manger,Dressing,Salles de douche,Buanderie,Bureau,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Obligation de construire,Site internet,Type d’environnement,Combien de feux ouverts ?,Attestation de conformité des citernes à mazout,Parkings intérieurs,Grenier,Terrasse,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Salon,Mise à prix,Jardin,Isolé,Surface de la chambre 3,Orientation de la terrasse,Surface constructible totale au sol,Surface de la chambre 4,Quartier ou lieu-dit,Surface du grenier,Disponible le,Surface de bureau,Surface de l'espace professionnel,Nom de l'agent,Nombre d'annexes,Surface de la chambre 5,Charges mensuelles
84,,1955,,4,49 m²,Américaine équipée,15 m²,14 m²,29 m²,38 m²,38 m²,,,,35 m,434 kWh/m²,,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,,,,Non,,"Rumstsestraat 1
2840 - Reet",4088686,,4,,,,18.5 m,5,,,,,58 m²,,82 m²,,,,,,,,,,,,,,,,,,,,206 m²,,,,,,,,,,,1,,,,,,328 m²,,,,,14 m²,,795.000 €,1,Aartselaar,3749 m²,,Oui,,,,,
85,Après la signature de l’acte,,Bon,2,444 m²,,Hyper équipée,5,,,1,2,,Non,397 m²,,,349 kWh/m²,D,2319234,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",spir4233,,150 m²,Est,Oui,,,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,Gaz,Non,,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",1,Non,,,,,,,,,,,,,,,,,,,,,,,,
86,Immédiatement,2001,Bon,4,350 m²,,Équipée,4,,,2,,,,6937 m²,,Oui,215 kWh/m²,C,1985806,Non communiqué,Non communiqué,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.645.000 €,,,"Hovestraat 19
2650 - Edegem",,,,,Oui,,,,Oui,,Oui,Oui,,,,,,,,Connecté,,,,,,,,Oui,,,,,,Gaz,Oui,,,,,,Engel & Völkers Antwerpen-Zuid,,2,,,,,,,,,,,,,,,,,,,,,,,1,,
87,À définir,1999,Bon,4,400 m²,39 m²,Américaine hyper-équipée,4,39 m²,21 m²,3,5,,Non,880 m²,,Oui,209 kWh/m²,C,20210414-0002401268-RES-1,Non communiqué,Non communiqué,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",979.000 €,4.174 €,Non,"Kapelstraat 89/1
2540 - Hove",4517364,22 m²,380 m²,,Oui,,2,Oui,,2,,Oui,,,,,,,,,35 m²,,Non,,,Oui,,Oui,,,Oui,,,,,,,,,,,,,,2,,,,,,,,,,,20 m²,,,20 m²,,,,26 m²,,,,,
88,Après la signature de l’acte,1970,Bon,3,150 m²,17 m²,Hyper équipée,3,15 m²,13 m²,1,2,,Non,353 m²,7 m,Oui,220 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,Non,Non,,,410.000 €,700 €,Non,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",,14 m²,175 m²,,Oui,7 m,,Oui,,1,,,,,,,,,,Connecté,20 m²,,Non,,Oui,,,,,,,,,Gaz,,,,,,,4498181,"Zone d'habitat (résidentiel, urbain ou rural)",,,1,Oui,,,,,,,,,,8 m²,,117 m²,,,,,,,,,,
89,À la livraison,2021,,2,150 m²,29 m²,,3,23 m²,19 m²,1,,,,212 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,396.000 €,,Non,"Rumstsestraat 1
2840 - Reet",,11 m²,,,Oui,,1,,,,,,,,,,,,,,,,,,,,,,,,,,30,Gaz,,,,,,,4312419,,,,1,,,,,,,,,,,11 m²,,,,,57 m²,,,,,,,
90,À la livraison,2021,,3,150 m²,34 m²,,3,18 m²,16 m²,1,,,,284 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,414.000 €,,Non,"Rumstsestraat 1
2840 - Reet",,13 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Gaz,,,,,,,4312422,,,,,,,,,,,,,,,12 m²,,,,,51 m²,,,,,,,
91,À la livraison,2021,,3,150 m²,33 m²,,3,18 m²,16 m²,1,,,,307 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,419.000 €,,Non,"Rumstsestraat 1
2840 - Reet",,13 m²,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,30,Gaz,,,,,,,4312416,,,,,,,,,,,,,,,12 m²,,,,,51 m²,,,,,,,
92,Après la signature de l’acte,1950,Bon,2,126 m²,45 m²,Équipée,2,15 m²,14 m²,1,2,Oui,,241 m²,6 m,Oui,473 kWh/m²,E,2469008,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,Zone commerciale industrielle,365.000 €,758 €,Non,"Liersesteenweg 2
2640 - Mortsel",4520359,11 m²,170 m²,,Oui,6 m,,,,,,Oui,,,,,,,,Connecté,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,72 m²,,,,,5 m²,,,,,
93,À définir,,Excellent état,,193 m²,,Hyper équipée,3,,,,2,,Non,231 m²,,Oui,178 kWh/m²,B,20210729-0002443737-RES-1,Non communiqué,Non communiqué,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,1.259 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,,,,Oui,,,,Non,,,,,,,,,,,Connecté,,,,,,,,,,,,,,Gaz,Non,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
94,À définir,,Bon,,285 m²,,Équipée,4,,,,3,,Non,119 m²,,Oui,223 kWh/m²,C,20111105-0000960630-00000001-8,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",700.000 €,3.895 €,Oui,"Orteliuskaai, 8
2000 - Antwerpen",,,,,Oui,,,,Non,,,,,,,,,,,Connecté,,,,,,,,,,,,,,Gaz,Non,,,,,,,,,,,,Oui,,,,,,,,,,Sud,,,,,,,,,,,
95,Selon le locataire,1970,À rénover,3,158 m²,46 m²,Semi-équipée,3,11 m²,11 m²,1,2,Oui,Non,300 m²,10 m,Non,420 kWh/m²,E,2456889,Non communiqué,Non communiqué,Non,Oui,Oui,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,1.358 €,Non,"Liersesteenweg 2
2640 - Mortsel",4516930,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,,,,,1,Oui,,,,,,,,,,16 m²,,,,,,,,,,,,
96,À définir,1967,Excellent état,3,198 m²,19 m²,Équipée,3,16 m²,11 m²,1,2,,Non,261 m²,9 m,Oui,Non communiqué,Non communiqué,2331260,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,,449.000 €,1.316 €,Non,,,7 m²,198 m²,Sud,Oui,6 m,1,Oui,Non,,Oui,Non,Non,,Non,Oui,Non,Oui,Oui,Connecté,11 m²,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,249,Gaz,Non,Non,Non,Non,Maison bel-étage,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,1,,,,,,,,,,Oui,11 m²,Sud,66 m²,,,54 m²,,,13 m²,,,,
97,Après la signature de l’acte,1953,Excellent état,2,69 m²,Hyper équipée,3,18 m²,16 m²,16 m²,3,16 m²,,618 m²,10 m,Connecté,Oui,B,2421331-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),1.190.000 €,3.216 €,Oui,"Liersesteenweg 2
2640 - Mortsel",4488773,,,,,Oui,10 m,,,,,,Non,,,,,,,,Oui,,,,,157 kWh/m²,,,,,,,,,Oui,,,,,,,,,,,1,,Oui,,,,247 m²,,,,,1,,,,,,,Oui,,,,,
98,À définir,,Fraîchement rénové,2,110 m²,,Hyper équipée,3,,,1,2,Oui,Non,94 m²,,Oui,104 kWh/m²,B,20210817-0002452428-RES-1,Non communiqué,Non communiqué,Non,,Non,Non,Non,Zone non inondable,,310.000 €,544 €,Non,,,,,,Oui,5 m,,Oui,Non,,Oui,Non,Non,,Non,Oui,Non,Non,Non,Connecté,34 m²,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,,Gaz,Non,Non,Non,Non,Toutes sortes,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,Oui,,,,,,,,,,,,,,,,
99,Après la signature de l’acte,1961,Excellent état,2,150 m²,50 m²,Équipée,4,16 m²,16 m²,1,3,,Non,194 m²,6 m,Oui,159 kWh/m²,B,20211011-0002475660-RES-1,7024 kg CO₂/m²,Non communiqué,,,,,,Zone non inondable,,495.000 €,1.110 €,Oui,,,6 m²,100 m²,Nord-est,Oui,6 m,2,,Non,,Oui,Oui,Oui,,Non,Oui,Non,Non,Oui,Connecté,12 m²,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,,Gaz,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,,,,,,,,,,,6 m²,Nord-est,66 m²,20 m²,,,,40 m²,,,,,
100,Après la signature de l’acte,,Excellent état,2,191 m²,,,3,,,2,,,,250 m²,,Oui,137 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",675.000 €,,Non,"Sint-Katelijnevest 24
2000 - Antwerpen",,,165 m²,,Oui,,2,,,,,Oui,,,,,,,,Connecté,36 m²,,,,,,,,,,,,,Gaz,,,,,,,4490934,,,,2,,,,,,,,,,,,,,,Zuiden van Antwerpen,,,,,,,,
101,Selon le locataire,1957,Bon,2,178 m²,,Hyper équipée,4,,,1,2,Oui,Non,146 m²,,Oui,218 kWh/m²,C,2377423,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",398.000 €,,Non,"Antwerpsestraat 34
2640 - Mortsel",,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,40797 - MOR-21-TLA-0,Rue commerçante,1,,1,,Oui,,,,,,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,1936,Fraîchement rénové,2,210 m²,45 m²,Équipée,5,,,1,2,Oui,Non,93 m²,,Oui,321 kWh/m²,D,0325603,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",359.000 €,1.273 €,Non,"Antwerpsestraat 292
2640 - Mortsel",,,,,Oui,6 m,,,,,,,,,,,,,,,14 m²,,,,,,,,,,,,,Gaz,,,,,,,9830 - 6544,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Après la signature de l’acte,1985,Bon,3,183 m²,55 m²,Équipée,3,,,1,2,Oui,Non,352 m²,,Oui,438 kWh/m²,E,20210909-0002462149-RES-1,Non communiqué,Non communiqué,Non,Oui,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",450.000 €,1.494 €,Non,"Antwerpsestraat 292
2640 - Mortsel",,,170 m²,Sud-ouest,Oui,7 m,1,,,,,,,,,,,,,,25 m²,,,,,,,,,,,,,Gaz,,,,,,,10310 - 6962,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
104,,1936,Fraîchement rénové,2,231 m²,65 m²,Équipée,4,,,1,2,Oui,Non,251 m²,6 m,Oui,164 kWh/m²,B,02468827,Non communiqué,Non communiqué,Non,Oui,Non,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",575.000 €,1.420 €,Non,"Antwerpsestraat 292
2640 - Mortsel",,,,,,6 m,,,,,,,,,,,,,,,18 m²,,,,,,,,,,,,,Gaz,,,,,,,10376 - 6897,,,,1,,,,,,,,,,,,,,,,,,,,,,,
105,,2022,,3,150 m²,32 m²,Équipée,4,,,1,2,,Non,332 m²,12 m,Oui,20 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",438.500 €,,Non,"Bredabaan, 896
2170 - Merksem",,,272 m²,,Oui,6 m,1,,,,,,,,,,,,,,,,,,,,,,,,,,20,Gaz,,,,,,,20291 - SIN/21/088,,,"Oui, conforme",,,Oui,,,,,,,,,,,,,,,,,,,,,
106,,2012,Bon,3,100 m²,41 m²,Équipée,2,,,1,1,Oui,Non,3058 m²,,Oui,149 kWh/m²,B,1570992,Non communiqué,Non communiqué,Non,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,1.187 €,Oui,"Antwerpsestraat 292
2640 - Mortsel",,,,,Oui,,,,,,,,,,Oui,,,,,,5 m²,,Oui,,,,,Oui,,,,,,Gaz,,,,,,,10335 - 6973,,,,1,,,,,,,,,,,,,,,,,,,,,,,104 €
107,Après la signature de l’acte,1963,À rafraîchir,3,140 m²,32 m²,Semi-équipée,3,,,1,2,Oui,Non,300 m²,10 m,Oui,449 kWh/m²,E,20210903-0002459827-RES-1,Non communiqué,Non communiqué,Non,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",385.000 €,1.051 €,Non,"Antwerpsestraat 292
2640 - Mortsel",,,125 m²,Sud-est,Oui,,1,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,10278 - 6935,,,,1,,,,,,,,,,,,,,,,,,22 m²,,,,,
108,,1995,Bon,2,165 m²,,Équipée,4,,,1,2,,Non,216 m²,,Oui,144 kWh/m²,B,2473396,Non communiqué,Non communiqué,Non,,,,,Zone non inondable,,380.000 €,,Non,"Antwerpsestraat 292
2640 - Mortsel",,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,10413 - 6128,,,,1,,,,,,,,,,,,,,,,,31 mars 2022 - 00:00,,,,,,
109,Après la signature de l’acte,1964,Excellent état,3,265 m²,66 m²,Équipée,3,16 m²,13 m²,1,2,,Non,319 m²,11 m,Non,247 kWh/m²,C,20210824-0002453258-RES-2,12844 kg CO₂/m²,Non communiqué,,Oui,,Non,,,,485.000 €,1.596 €,Non,,,16 m²,120 m²,Sud-ouest,Oui,8 m,1,,Non,,,Non,Non,42 m²,Non,Oui,Non,Non,Non,Connecté,13 m²,,,,,,,,,,,,98,Mazout,Non,Non,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1,"Oui, conforme",1,,,,,,,,,,Oui,10 m²,Sud-ouest,,,,50 m²,,,,,,,
110,,1968,À rafraîchir,3,189 m²,29 m²,,3,,,2,,,Non,380 m²,,Oui,678 kWh/m²,F,20210805-0002448552-RES-1,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,Autre type de zone,399.000 €,1.779 €,Non,"Lambrechtshoekenlaan 169
2170 - Merksem",,26 m²,,,Oui,6 m,,,,,,Oui,Oui,40 m²,Non,,,,,Non connecté,,,,,,,,,,,,,678,Mazout,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,23 m²,,,,,
111,Après la signature de l’acte,,Bon,2,160 m²,,Équipée,4,,,1,2,Oui,Non,81 m²,5 m,Oui,188 kWh/m²,B,2436872-RES-1,Non communiqué,Non communiqué,Non,,,,,Zone non inondable,,339.500 €,870 €,Non,"Antwerpsestraat 292
2640 - Mortsel",,,21 m²,Sud-ouest,Oui,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,10206 - 6500,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Après la signature de l’acte,1977,Bon,2,190 m²,,Hyper équipée,3,,,1,,Oui,Non,180 m²,,Oui,274 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",385.000 €,,Non,"Antwerpsestraat 34
2640 - Mortsel",,,,Sud-est,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,2991 - MOR-21-TLA-04,,,,2,,,,,,,,,Oui,,,,,,,,,,,,,,
113,Après la signature de l’acte,1961,À rafraîchir,2,210 m²,36 m²,,3,17 m²,14 m²,1,2,,Non,210 m²,7 m,Oui,512 kWh/m²,F,20210923-0002467948-res-1,23 kg CO₂/m²,Non communiqué,,Oui,Oui,,Non,Zone non inondable,,375.000 €,964 €,Non,,,,105 m²,Nord-est,Oui,7 m,,,Non,,Oui,Oui,Oui,21 m²,Non,Oui,Non,Non,Oui,Connecté,63 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Mazout,Non,Non,Non,Non,Toutes sortes,,,Aménagé,,"Oui, conforme",,,,,,,,,,,,6 m²,Nord-est,,,,,,36 m²,,,,,
114,,,À rénover,2,232 m²,50 m²,Semi-équipée,3,,,1,1,Oui,Non,184 m²,,Oui,685 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Zone non inondable,,275.000 €,,Non,"Antwerpsestraat 292
2640 - Mortsel",,,125 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,10463 - 7077,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,À définir,1931,À rénover,2,175 m²,,Semi-équipée,3,,,,,Oui,Non,156 m²,,,756 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,,Oui,"Antwerpsestraat 34
2640 - Mortsel",,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,39097 - MOR-21-TLA-1,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
116,Après la signature de l’acte,1930,À rafraîchir,3,100 m²,,,1,,,1,,Oui,Non,223 m²,,,538 kWh/m²,F,20210812-0002450541-RES-1,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,Zone industrielle,293.000 €,,Non,"Antwerpsestraat 34
2640 - Mortsel",,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36670 - MOR-21-TLA-0,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
117,,1936,Fraîchement rénové,3,147 m²,,Équipée,2,20 m²,12 m²,1,2,Oui,Non,168 m²,,Oui,773 kWh/m²,F,20160325-0001847741-1,Non communiqué,Non communiqué,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,679 €,Non,,,,66 m²,Nord-ouest,Oui,,1,Oui,Non,,,Non,Non,,Non,Non,Non,Non,Non,Connecté,10 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Gaz,Non,Non,Non,Non,,,,,,,,,,,,,,Oui,,,,,Sud-ouest,102 m²,,,,,,,,,,
118,Après la signature de l’acte,1972,À rafraîchir,2,221 m²,33 m²,Équipée,4,15 m²,12 m²,1,2,Oui,Non,221 m²,,Oui,398 kWh/m²,D,21210902-0002459291-RES-1,Non communiqué,Non communiqué,,Oui,,,,Zone non inondable,,359.000 €,,Non,,,6 m²,167 m²,Nord-est,Oui,6 m,1,Oui,Non,,Oui,Non,Non,,Non,Non,Non,Non,Non,Connecté,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Gaz,Non,Non,Non,Non,Toutes sortes,,,Aménagé,,,1,,Oui,,,,,,,,,11 m²,Nord-est,,8 m²,,,,,,,,,
119,Après la signature de l’acte,1955,À rafraîchir,2,150 m²,30 m²,Semi-équipée,5,,,1,2,Oui,Non,133 m²,6 m,,353 kWh/m²,D,20211011-0002475593-RES-1,Non communiqué,Non communiqué,Non,,,,,,,365.000 €,1.033 €,Non,"Antwerpsestraat 292
2640 - Mortsel",,,,Nord-est,Oui,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,10454 - 7015,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
120,,1956,,2,283 m²,,,6,,,3,3,,Non,280 m²,7 m,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",645.000 €,,Oui,"Bredabaan, 896
2170 - Merksem",,,110 m²,,Oui,7 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19994 - SIN/21/074,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
121,Après la signature de l’acte,,Bon,2,184 m²,36 m²,Équipée,3,,,,,,Non,,,Oui,272 kWh/m²,C,20210920-0002466369-RES-1,Non communiqué,Non communiqué,Non,,,,,Zone non inondable,,389.000 €,,Non,"Antwerpsestraat 292
2640 - Mortsel",,,85 m²,,Oui,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,10373 - 7016,,,,1,,,,,,,,,,,,,,,,,,,,,,,
122,À définir,,Bon,,36 m²,Équipée,16 m²,13 m²,12 m²,Non,,Oui,Oui,Connecté,,,520 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Électrique,,,,,,369.000 €,,Oui,,"Krijgsbaan 11 b1
2640 - Mortsel",,,2,,,Zone non inondable,,,,2,,,,,,,,,,,Oui,,,,,,,,,,,,,,Non,Oui,,,,,,,,,,,Non,,,,,175 m²,,,,,,,,,,,,,,,,,
123,,1957,À rénover,2,186 m²,,Semi-équipée,2,,,1,2,Oui,,150 m²,,Oui,436 kWh/m²,E,20210905-0002460354-Res-1,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",287.000 €,971 €,,"Kerkstraat, 27
2970 - 's Gravenwezel",,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,1,Oui,Oui,,,,,Oui,,,,,,,,,,,,,,,,
124,À définir,1930,Excellent état,2,272 m²,,Hyper équipée,5,16 m²,13 m²,2,3,,Non,240 m²,,Oui,Non communiqué,Non communiqué,202210920-0002462346-res-1,293 kg CO₂/m²,Non communiqué,,,,,,,,510.000 €,,Non,,,,170 m²,Est,Non,,1,,Non,2,,Non,Non,,Non,Non,Non,Non,Non,Connecté,45 m²,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,,Gaz,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,9 m²,Est,,17 m²,,,,,,,,18 m²,
125,À définir,,Bon,,Équipée,,3,Non,,,,Non,,Connecté,,,654 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,368.000 €,,Non,,"Blancefloerlaan 50
2050 - Antwerpen",,,,,,,,,,2,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,180 m²,,,,,,,,,,,,,,,,,
126,,2021,,,171 m²,,Pas équipée,2,17 m²,11 m²,1,1,,Non,815 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,513.000 €,,Non,"Fruithoflaan, 1
2600 - Berchem",,28 m²,,,Oui,,,,,,,,,,,,,,,,13 m²,,,,,,,,,,,,,Gaz,,,,,,,12683 - 372177,,,,1,,,,,,,,,,,,,,,,,,,,,,,
127,,1965,Bon,3,170 m²,34 m²,,3,18 m²,16 m²,1,2,,,276 m²,,Oui,278 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,1.152 €,Non,"Dorpsstraat 84
2940 - Stabroek",,10 m²,,,Oui,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,Gaz,,,,,,,4508856,,,,1,,Oui,,,,,,,,,9 m²,,,,,,,,,,,,
128,,,,,,,,,,,,,Oui,Non,,,,333 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,488.000 €,,Oui,"Kattendijkdok Westkaai 33
2000 - Antwerpen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,2249 - KOO/21/076,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,À définir,,Excellent état,,135 m²,35 m²,Hyper équipée,3,20 m²,14 m²,,2,Oui,Non,,,Oui,318 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",465.000 €,,Non,"Krijgsbaan 11 b1
2640 - Mortsel",,22 m²,100 m²,Sud-ouest,Oui,,,,Non,,,,,,,,,,,Connecté,45 m²,,,,,,,,,,,,,Gaz,Non,Oui,Oui,,,,,,,,1,,,,,,,,,,,6 m²,Sud-ouest,,,,,,,,,,,
130,Après la signature de l’acte,1968,Excellent état,2,221 m²,36 m²,Américaine hyper-équipée,4,14 m²,13 m²,2,2,Oui,,191 m²,6 m,Oui,325 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,,Non,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",,9 m²,75 m²,,Oui,,2,,,2,,Oui,,,,,,,,Connecté,,,,Oui,,,,,,,,,,,,,,,,,4517727,Isolé,,,1,,Oui,,,,,,,,,5 m²,,,15 m²,,,,,,,,,
131,Après la signature de l’acte,,,,,,,3,,,1,2,Oui,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,350.000 €,,Non,"Antwerpsestraat 292
2640 - Mortsel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10279 - 6936,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,À rénover,3,165 m²,27 m²,,3,,,1,1,Oui,Non,150 m²,,Oui,657 kWh/m²,F,20210117-0002360166-RES-1,1000 kg CO₂/m²,Non communiqué,Non,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.900 €,,Non,"Nationalestraaat 90
2000 - Antwerpen",,,38 m²,Sud,,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,9950 - 2845,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,
