,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Nombre de façades,Visite virtuelle,Salon,Salle à manger,Chambres,Salles de bains,Grenier,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Année de construction,Type de cuisine,Toilettes,Bureau,Cave,Panneaux solaires,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,État du bâtiment,Surface habitable,Meublé,Terrasse,Attestation as-built,Type de chauffage,Prix,Site internet,Parkings intérieurs,Parkings extérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Orientation de la terrasse,Pompe à chaleur,Largeur de la façade à rue,Type d’environnement,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Largeur du terrain à rue,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Référence externe,Surface de la terrasse,Attestation de conformité des citernes à mazout,Obligation de construire,Disponible le,Jardin,Surface constructible totale au sol,Combien de feux ouverts ?,Salles de douche,Surface de l'espace professionnel,Surface de la cave,Surface du grenier,Surface de la chambre 5,Niveau E (performance énergétique globale),Quartier ou lieu-dit,Surface de bureau,Isolé,Nom de l'agent,Nom du bien
105,,,,Après la signature de l’acte,4,,,,4,2,Oui,931 m²,200 kWh/m²,B,20210608-0002426374-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,2.382 €,Non,"Brusselsesteenweg, 518
3090 - Overijse",2001,,2,,Oui,,Oui,,Non,Excellent état,,Non,Oui,,Mazout,610.000 €,4398893,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,
106,,,,À la livraison,2,,,,3,1,,175 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",2021,,,,,,,Oui,Non,,138 m²,Non,Oui,,,375.000 €,4339902,,,,,,,,,,,,83 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,
107,,,,À la livraison,3,,,,3,1,,248 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",2021,,,,,,,Oui,Non,,130 m²,Non,Oui,,,399.000 €,4339969,,,,,,,,,,,,156 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,
108,,,,À la livraison,3,,,,3,1,,277 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",2021,,,,,,,Oui,Non,,145 m²,Non,Oui,,,429.000 €,4340000,,,,,,,,,,,,180 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,
109,,,,À la livraison,3,,,,3,1,,238 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,Non,"Leuvensesteenweg 587
3071 - Erps-Kwerps",2021,,,,,,,Oui,Non,,145 m²,Non,Oui,,,429.000 €,4339956,,,,,,,,,,,,139 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,
110,,,,À définir,4,,,,2,1,,703 m²,406 kWh/m²,E,20120827-0001185448-00000012-6,Non communiqué,Non communiqué,,Zone non inondable,,441 €,Non,"Gemeenteplein 9
3040 - Huldenberg",1952,Équipée,2,Non,,,Oui,Non,Non,Bon,110 m²,Non,,Non,Gaz,335.000 €,spir203,1,1,30 m²,7 m²,10 m²,7 m²,,,Non,,,,Est,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,23 m²,Non,Non,,Oui,,1,,,,,,,,,,,
111,,,,Après la signature de l’acte,2,,,Oui,3,1,,861 m²,425 kWh/m²,E,20210504-0002411164-RES-1,Non communiqué,Non communiqué,,,,755 €,Non,"Albert De Beusscherplein 2
1933 - Sterrebeek",1952,Équipée,2,,,,Oui,Non,Non,,179 m²,,,,,299.000 €,4500798,1,1,15 m²,7 m²,15 m²,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,20 m²,,,,,,,,,16 m²,35 m²,,,,,,,
112,,,,Après la signature de l’acte,4,,,,5,2,,12000 m²,378 kWh/m²,D,20200627-0002287188-RES-1,1000 kg CO₂/m²,Non communiqué,,Zone inondable potentielle,,2.902 €,Non,"Brusselsesteenweg 527
3090 - Overijse",,Semi-équipée,4,Oui,Oui,,Oui,,Oui,Bon,730 m²,Non,,Non,Mazout,1.250.000 €,2367 - 1500,,8,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,1,,,,,,378,,,,,
113,,,,Après la signature de l’acte,4,730 m²,,,2,4,,Oui,D,20200627-0002287188-RES-1,1000 kg CO₂/m²,Non communiqué,Non,,1.450.000 €,,Non,"Brusselsesteenweg 527
3090 - Overijse",2023 - 1188,,5,Oui,Oui,Non,,Oui,,Zone inondable potentielle,Bon,1,103553 m²,,378,Oui,2.902 €,,,8,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,378 kWh/m²,,,,,,,,,,,,,,,Semi-équipée,,,,,,Mazout,,,,,
114,,,,,,,Oui,Oui,3,1,,1950 m²,670 kWh/m²,F,20140208-0001530479-000000001-2,Non communiqué,Non communiqué,Oui,Zone non inondable,,644 €,Non,"Tiensesteenweg 350
3000 - Leuven",,,,Non,Oui,,Non,Non,Oui,À rénover,,,,,,415.000 €,Nachtegaalstraat 7 O,1,,,,,,,,Non,Non connecté,Non,,Nord,,,,Pays,,,,Non,Non,Non,Non,,,,,,,,,,,,,,Toutes sortes,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,Oui,,,,,,,,,,,,,
