,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Nombre de façades,Visite virtuelle,Salon,Salle à manger,Chambres,Salles de bains,Grenier,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Année de construction,Type de cuisine,Toilettes,Bureau,Cave,Panneaux solaires,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,État du bâtiment,Surface habitable,Meublé,Terrasse,Attestation as-built,Type de chauffage,Prix,Site internet,Parkings intérieurs,Parkings extérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Orientation de la terrasse,Pompe à chaleur,Largeur de la façade à rue,Type d’environnement,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Largeur du terrain à rue,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Référence externe,Surface de la terrasse,Attestation de conformité des citernes à mazout,Obligation de construire,Disponible le,Jardin,Surface constructible totale au sol,Combien de feux ouverts ?,Salles de douche,Surface de l'espace professionnel,Surface de la cave,Surface du grenier,Surface de la chambre 5,Niveau E (performance énergétique globale),Quartier ou lieu-dit,Surface de bureau,Isolé,Nom de l'agent,Nom du bien
125,,,,Après la signature de l’acte,3,,,,4,1,,536 m²,14 kWh/m²,A,24086-G-2017_9328/EP14809/A003/D01/SD001,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.020 €,Non,"Waversebaan 248
3050 - Oud-Heverlee",2019,Équipée,2,,,,,Oui,Non,Bon,231 m²,Non,Oui,Non,,610.000 €,1976620 - 1676,2,2,45 m²,12 m²,56 m²,12 m²,12 m²,12 m²,,,Oui,,,,,7 m,,,,,,,,,,,,,,,,,,,,,,,15 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,1,,,,7 m²,10,,,,,
126,,,,Immédiatement,4,,,,4,1,,1561 m²,558 kWh/m²,F,20210916-0002465174-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,1.952 €,Non,"Dorpsstraat 57
3050 - Oud-Heverlee",1965,Semi-équipée,1,,,,,Non,Non,À rénover,165 m²,,,,Mazout,495.000 €,4496662,2,10,26 m²,18 m²,18 m²,6 m²,9 m²,14 m²,,Connecté,Non,,,,,7 m,Pays,,,,,,,,,,,,,,,,,,,,,,20 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,75 m²,,,,30 m²,60 m²,,,,,,,
127,,,,Après la signature de l’acte,2,,,,2,1,,80 m²,180 kWh/m²,B,20210916-0002465210-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,585 €,Non,"Dorpsstraat 57
3050 - Oud-Heverlee",,,1,,,,,Non,Non,Bon,130 m²,,,,Gaz,295.000 €,4499121,,1,25 m²,15 m²,17 m²,16 m²,,,,Connecté,Oui,,,,,5.5 m,Urbain,,,,,,,,,,,,,,,,,,,,,,5.5 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,20 m²,,,,,60 m²,,,,,40 m²,,,,,,,
128,,,,,4,,,,3,3,,1232 m²,360 kWh/m²,D,20210105-0002356305-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,,Non,"Bondgenotenlaan 33
3000 - Leuven",1880,Équipée,2,Oui,,,Oui,Non,Non,Bon,305 m²,Non,,,,995.000 €,,1,,52 m²,15 m²,16 m²,12 m²,12 m²,,,Connecté,Oui,,,,,,Pays,,,Non,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1807/TK/09/2021,105 m²,,,,,,,,,16 m²,,,,,,,,
129,,,,,2,,,Oui,4,1,Oui,206 m²,895 kWh/m²,F, ,Non communiqué,Non communiqué,Oui,Zone non inondable,,743 €,Non,,1978,,2,Non,,Non,Oui,,,À rafraîchir,242 m²,Non,,,Électrique,349.000 €,,1,3,20 m²,15 m²,17 m²,13 m²,13 m²,10 m²,Non,Connecté,Oui,39 m²,Est,Est,Non,9 m,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,,9 m,,"Zone d'habitat (résidentiel, urbain ou rural)",,15 m²,,,,,,,,,,,,,,,,,
130,,,,Après la signature de l’acte,3,,,,3,1,,572 m²,389 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,892 €,Non,"Vismarkt 10 c
3000 - Leuven",1945,,2,,Oui,,Oui,,,,168 m²,Non,Oui,Non,Mazout,395.000 €,2756 - 2991888,2,3,43 m²,13 m²,22 m²,17 m²,14 m²,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,"Oui, conforme",,,Oui,,,,,,,,,,,,,
131,,,,À définir,,,,,3,,Oui,1838 m²,280 kWh/m²,C,20210624-0002433491-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,Équipée,,,Oui,,Oui,,,Bon,200 m²,Non,,,Gaz,499.000 €,,,,38 m²,14 m²,18 m²,35 m²,26 m²,,Non,Connecté,Oui,,,,Non,,,,,,,,,,Non,Non,,,Non,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,À définir,4,,,Oui,4,2,,1869 m²,322 kWh/m²,D,202105220002418704 RES1,Non communiqué,Non communiqué,,Zone non inondable,,974 €,Non,"Dorpsstraat 57
3050 - Oud-Heverlee",1759,Américaine hyper-équipée,2,,,,Oui,Non,Non,Bon,400 m²,Non,,,Gaz,845.000 €,4365424,,2,32 m²,19 m²,34 m²,22 m²,22 m²,8 m²,,Connecté,Oui,1500 m²,,,,15.24 m,Pays,,,,,,,,,,,,,,,,,,,,,,30 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,50 m²,,,,,240 m²,,,,14 m²,125 m²,,,,,,,
133,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Sint-Pietersnieuwstraat 158
9000 - Gent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,Après la signature de l’acte,3,,,,4,1,,270 m²,391 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Zone d'inondation reconnue,,1.879 €,Oui,"Jan Stasstraat 3
3000 - Leuven",,Équipée,2,Oui,,,Non,Non,Non,,240 m²,Non,,Non,Mazout,395.000 €,Kerkstraat9.2021,1,1,32 m²,17 m²,22 m²,15 m²,15 m²,15 m²,Non,,,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,20 m²,"Oui, conforme",Non,,,,,1,,,60 m²,,,,14 m²,,,
135,Non,"nl :
elke zat. van 14u-16u, vanaf 25/9 tem 16/10 - geen afspraak nodig - draag een mondmasker",Après la signature de l’acte,1949,135 m²,,Oui,Équipée,1,Oui,568 m²,892 kWh/m²,F,20210625-0002433840-RES-1,Non communiqué,Non communiqué,Oui,Non,210.000 €,622 €,Non,"Tervuursesteenweg, 462
3061 - Leefdaal",Kelly MERCKX,4,3,,,Oui,,,Non,Zone non inondable,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,2,1,,252 m²,313 kWh/m²,D,20170425--000195507-6--1,Non communiqué,Non communiqué,Oui,Zone non inondable,,,Non,"Naamsesteenweg 171/0001
3001 - Heverlee",,,1,Non,,,Oui,Non,Non,Excellent état,150 m²,Non,,,,390.000 €,NIJVELSEBN_25,1,,43 m²,15 m²,22 m²,,,,Non,Non connecté,Non,,Sud-est,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,Toutes sortes,,Non,Zone d'extension d'habitat,,,,Non,,Oui,,,,,,,,,,,,,
137,,,,À la livraison,2,,,Oui,3,2,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,,Non,"Dirk Boutslaan 4
3000 - Leuven",2021,Américaine équipée,3,,,Oui,Oui,Oui,Non,Excellent état,138 m²,Non,,,,365.300 €,4243128,,,21 m²,10 m²,12 m²,8 m²,7 m²,,,Connecté,Non,33 m²,,,,5.93 m,Urbain,,,,,,,,,Oui,Oui,,,,Oui,,,,,,,,5.93 m,,"Zone d'habitat (résidentiel, urbain ou rural)",,12 m²,,,,,,,,,,,,30,Regio Leuven,,,,
138,,,,À la livraison,2,,,,3,2,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,,Non,"Sint-Pietersnieuwstraat 158
9000 - Gent",2021,Équipée,2,Non,,,Oui,,,Excellent état,144 m²,Non,,,,375.800 €,Rapid F2 INDIV,,,,,,,,,Non,,,33 m²,Sud-ouest,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,,,,,,,,,,30,,,,,
139,,,,,2,,,,5,1,,368 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Zone non inondable,,,Non,"Leuvensesteenweg 417
3070 - Kortenberg",2021,Équipée,2,,,,Oui,,Oui,,200 m²,Non,,Non,Gaz,465.700 €,4146 - VK 613 WS,1,2,,,,,,,,,,229 m²,Nord-ouest,,,7 m,,,,,,,,,,,,,,,,,,,,,,,8 m,,,,23 m²,,,,,,,,,,,,40,,,,,Lot 1
140,,,,,2,,,,5,1,,327 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,,Non,"Leuvensesteenweg 417
3070 - Kortenberg",2021,Équipée,2,,,,Oui,Oui,Non,,197 m²,Non,,Non,Gaz,447.100 €,4147 - VK 614 WS,1,2,,,,,,,,,,23 m²,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,6.77 m,,"Zone d'habitat (résidentiel, urbain ou rural)",,23 m²,,,,,,,,,,,,40,,,,,Lot 2
141,,,,Après la signature de l’acte,2,,,,3,1,,427 m²,389 kWh/m²,D,20210805-0002442091-RES-2,Non communiqué,Non communiqué,,,,,Non,"Rue du Bois Paillet 9
1315 - Roux-Miroir",,Américaine hyper-équipée,3,Oui,Oui,,Oui,,,,180 m²,Non,,Non,Gaz,Faire offre à partir de 525.000 €,75 - 93363880,4,1,38 m²,17 m²,20 m²,9 m²,9 m²,,,,Oui,200 m²,Sud-est,,,10 m,,,,,,,,,,,,Oui,,,Oui,,,,,,,,10 m,,,,20 m²,,,,,,,1,,,,,,,33 m²,,,
142,,,,,4,,,,,2,,6712 m²,227 kWh/m²,C,20210419-0002403533-RES-1,Non communiqué,Non communiqué,Oui,,,1.976 €,Non,"Onze-Lieve-Vrouwstraat 129B
3020 - Herent",1981,,2,Non,Oui,,Oui,,,Bon,450 m²,Non,,,,685.000 €,,2,4,46 m²,17 m²,,,,,,Connecté,Non,,Sud-ouest,,,,,,,Non,,,,,,Non,Non,Non,Oui,,Non,,,Non,,,,Villa,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",TK/21022,,,,,Oui,,1,,,,,,,,,,,
143,,,,,2,,Oui,,5,1,,166 m²,105 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.265 €,Non,"Tervuursesteenweg 353
3001 - Heverlee",2014,Équipée,2,Non,,,Oui,Non,Non,Excellent état,180 m²,Non,,,Gaz,425.000 €,spir3131,,1,,,,,,,Non,,,,,,Non,,,,,,,,,,Non,Non,Non,Non,Oui,,Non,,,Non,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,,,,,,,,,,66,,,,,
144,,,,À définir,3,,Oui,Oui,3,1,Oui,491 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,560 €,,"Moorselstraat 277
3080 - Tervuren",1890,Pas équipée,,,,,,,Non,À rénover,200 m²,Non,Oui,Non,Mazout,200.000 €,Isabel Ghijselings,1,2,,,,,,,,Connecté,Oui,,Sud,Sud,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,"Oui, conforme",,,Oui,,,,,,,,,,,,,
145,,,,À la livraison,4,,,,4,2,,436 m²,52 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,"Culostraat, 44
3360 - Bierbeek",2021,Hyper équipée,,Oui,,,,Oui,Non,Excellent état,212 m²,,,,,618.600 €,,1,1,46 m²,,,,,,Oui,Connecté,Oui,,Nord-ouest,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Oui,,,,,,,,29,,,,,
146,,,,À définir,,,,,3,,Oui,479 m²,480 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Zone inondable potentielle,,,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,Équipée,2,,,,Oui,,,Excellent état,196 m²,Non,Oui,,Électrique,449.000 €,,,1,43 m²,15 m²,21 m²,12 m²,14 m²,,Non,Connecté,Oui,,Nord,Nord,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,
147,,,,,4,215 m²,,,1,9 m²,,21 m,E,20210908-0002461718-RES-1,Non communiqué,Non communiqué,467,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"F. De Merodestraat, 111
2800 - Mechelen",,,,,Oui,,Non,Non,Non,Non,Bon,29 m²,Non,,,Non,1.241 €,,,,13 m²,3,,,,,,Oui,467 kWh/m²,,,,Non,15 m,,,94 m²,2172 m²,,,,,,,,,,,,,,,,Non,Oui,,Connecté,Zone non inondable,495.000 €,,,,,,,,,,,Non,,,Mazout,,Oui,,,
148,,,,Après la signature de l’acte,4,,,,5,2,,459 m²,772 kWh/m²,F,20121120-0001253781-00000003-8,Non communiqué,Non communiqué,,,,1.727 €,Non,"De Coninckplein 30
2060 - Antwerpen",1915,Semi-équipée,2,Oui,,,Oui,,,Bon,270 m²,Non,,,Gaz,320.000 €,,,,33 m²,,40 m²,25 m²,20 m²,16 m²,,,Oui,300 m²,Sud,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,"Oui, pas conforme",,,,,,2,,,,12 m²,,,18 m²,,Angel YU,
149,,,,Après la signature de l’acte,4,,,,3,1,Oui,1093 m²,374 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Oui,Zone inondable potentielle,,2.816 €,Non,"Dirk Boutslaan 4
3000 - Leuven",1970,Hyper équipée,2,Oui,,,Oui,,Non,Bon,200 m²,Non,,Non,Mazout,575.000 €,4506125,1,4,60 m²,18 m²,20 m²,13 m²,18 m²,,,Non connecté,Oui,700 m²,,,,10 m,Pays,,,,,,,,,,,,,,,,,,,,,,15 m,,"Zone d'habitat (résidentiel, urbain ou rural)",,35 m²,,,,,35 m²,,,,,,,,Regio Leuven,20 m²,,,
150,,,,Immédiatement,4,,,Oui,5,2,Oui,693 m²,305 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Zone inondable potentielle,,3.091 €,Non,"Dirk Boutslaan 4
3000 - Leuven",1984,Américaine équipée,2,Oui,Oui,,Oui,,Oui,Bon,245 m²,Non,,Non,Mazout,590.000 €,4443277,1,2,30 m²,23 m²,12 m²,17 m²,14 m²,24 m²,,Connecté,Non,425 m²,,,,11 m,Isolé,,,,,,,,,Non,Non,,,,,,,Oui,,,,,17 m,,"Zone d'habitat (résidentiel, urbain ou rural)",,55 m²,,,,,163 m²,,1,,,,12 m²,,Regio Leuven,7 m²,,,
151,,,,À la livraison,3,,,,3,2,,586 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Kerkstraat, 38
1755 - Oetingen",,,,,,,,,,Excellent état,170 m²,,,,,554.533 €,4499487,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
