,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Salles de douche,Toilettes,Bureau,Espace professionnel,Surface du grenier,Isolé,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Disponible le,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Adresse,Référence externe,Parkings intérieurs,Surface habitable,Combien de feux ouverts ?,Buanderie,Surface de bureau,Cave,Jardin,Terrasse,Attestation as-built,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Site internet,Grenier,Visite virtuelle,Surface de la chambre 5,Surface constructible totale au sol,Salon,Procédure pour violation de la réglementation urbanistique,Surface de la cave,Surface de l'espace professionnel,Nom de l'agent,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes,Obligation de construire,Charges mensuelles,Niveau E (performance énergétique globale),Description libre du PEB
108,Après la signature de l’acte,1865,Bon,20 m,4,2,,1,,15 m²,2,21 m²,13 m²,2,,,,,2,16 m²,Oui,,,,1305 m²,,21 m,,,,,Oui,,1000 m²,Nord-ouest,70 m²,502 kWh/m²,,,,,,,,,,,,,F,20180309017338,124 kg CO₂/m²,94910 kWh/an,Non,Oui,,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",733 €,Non,"Rue d'Incourt 37
1315 - Opprebais",,,Non,Non,Zone non inondable,3814 - 4859,,3,41 m²,Équipée,,Oui,Non,,,Mazout,,299.999 €,,,160 m²,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,,,,,,"La Besace, 14
6850 - Paliseul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Après la signature de l’acte,1900,À rénover,,4,,,32 m²,Oui,Pas équipée,21 m²,5,18 m²,16 m²,14 m²,12 m²,,,1,1,Oui,,,,Non,,750 m²,,,,,,,Oui,,Sud-est,,,,,,,,,,,,,,441 kWh/m²,F,20210601020833,Non communiqué,105022 kWh/an,Gaz,,,,,Oui,,265.000 €,562 €,Non,,,,,,"Rue de l'Etoile, 15-17
1301 - Bierges",,1,208 m²,,,13 m²,,Oui,,Non,,,1656 - 210502/10,,,9 m²,,,,48 m²,,,,,,,,,,,,
111,Après la signature de l’acte,1900,Bon,,3,4,Pays,Équipée,,15 m²,4,11 m²,13 m²,15 m²,35 m²,3,,3,,15 m²,30 m²,,,,966 m²,,Connecté,,,,,,Non,966 m²,50 m²,,370 kWh/m²,,,,,,,,,,,,,E,20210614014589,370 kg CO₂/m²,107029 kWh/an,Gaz,Oui,,,,,Faire offre à partir de 250.000 €,,887 €,Non,"Rue clouteuse Pierre, 3
1350 - ORP-JAUCHE",,Brabant Wallon,,,,4527444,,1,32 m²,,,Oui,,,,,,,,Non,220 m²,,,,,Oui,40 m²,,,,,,,,,,,
112,À définir,,Bon,,3,1,Isolé,Oui,Équipée,12 m²,3,10 m²,16 m²,28 m²,1,,,2,,6 m²,,,175 m²,,,,Non,,,,,,,18 m²,,,491 kWh/m²,,,,,,,,,,,,,F,20170201001026,491 kg CO₂/m²,97436 kWh/an,Mazout,Oui,,,,,Faire offre à partir de 225.000 €,,349 €,Non,"Rue clouteuse Pierre, 3
1350 - ORP-JAUCHE",,Brabant Wallon,,,,4499052,,1,15 m²,,,,,,,,,,,,130 m²,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,,À rénover,,3,2,Isolé,Oui,Pas équipée,5 m²,1,16 m²,1,,,,,2,,35 m²,,,,,,,Connecté,,,,,,Non,Oui,,,,,,,,,,,,,,,,F,20210702003211,502 kg CO₂/m²,42516 kWh/an,Mazout,Oui,,,,,Faire offre à partir de 135.000 €,,285 €,Non,"Rue clouteuse Pierre, 3
1350 - ORP-JAUCHE",,Brabant Wallon,,,,4410756,,,16 m²,,,,,,502 kWh/m²,,,,,,75 m²,,,,,300 m²,,,,,,,,,,,,
114,,,,,4,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,13 m²,3,,,,,Oui,1,,2,Oui,,,,,,1260 m²,,,,,,,,,Nord-est,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,319.000 €,,,,,,,,"Rue de l'école 7
5575 - Patignies",,,160 m²,,Oui,,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,
115,Après la signature de l’acte,2019,,,4,2,,50 m²,,,,3,21 m²,12 m²,12 m²,,,2,,2,,,,,Non,,550 m²,,,,,,,Oui,,,,,,,,,,,,,,,,130 kWh/m²,B,RWPEB-065616 - PEB déclaration initiale,Non communiqué,Non communiqué,Gaz,,,,,Oui,,249.000 €,,Non,,,,,,"Avenue des Combattants, 21
1370 - Jodoigne",,3,135 m²,,,,,,,Non,,,41869 - 20055,,,,,,,,,,,,,,,,,,,
116,Après la signature de l’acte,1930,À rénover,,4,,,,,,,7,,,,,,36 m²,,,Oui,,,,,,Connecté,,,,,,Oui,,,,,,,,,,,,,,,,,F,20210615015257,Non communiqué,525546 kWh/an,Mazout,1.450.000 €,,,,,,,4.615 €,Non,"Rue du Bas Préau 22
7611 - La Glanerie",,,,,,265/1358,,,10,,,Oui,Oui,,493 kWh/m²,,,,,86433 m²,900 m²,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,,,,4,4,,,,Semi-équipée,,4,19 m²,15 m²,12 m²,12 m²,,2,2,4,Oui,,,,Non,,1272 m²,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,538 kWh/m²,G,20210513011113,Non communiqué,82983 kWh/an,Gaz,,,,,Oui,,289.000 €,,Oui,,,,,,"Chaussée de Tirlemont 1
1370 - Jodoigne",,1,255 m²,,,,Oui,,Oui,,,,4372292,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,,,,3,,,32 m²,,Pas équipée,8 m²,3,16 m²,16 m²,8 m²,,,1,1,2,,,,,Non,,507 m²,,,,,,,,,,,,,,,,,,,,,,,464 kWh/m²,F,20210920019208,115 kg CO₂/m²,80289 kWh/an,Mazout,,,,,Oui,,249.000 €,798 €,Non,,,,,,"Avenue des Combattants, 21
1370 - Jodoigne",,,150 m²,,,,,,,Non,,,41820 - 20044,,,,,,,40 m²,,,,,,,,,,,,
119,,,,,4,3,,40 m²,,Équipée,16 m²,2,17 m²,16 m²,,,,,1,,Oui,,,,Non,,505 m²,,,,,,,Oui,,,,,,,,,,,,,,,,430 kWh/m²,F,20210622010217,11 kg CO₂/m²,56824 kWh/an,Pellets,,,,,Oui,Zone non inondable,210.000 €,158 €,Non,,,,,,"Avenue des Combattants, 21
1370 - Jodoigne",,,110 m²,,,5 m²,,,Oui,Non,,,40097 - 20029/JLD,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,,,,,"Grand' Route 3
1435 - Mont Saint-Guibert",,,,,,,,,,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,,Brabant wallon,,Oui,,"Avenue Reine Astrid 65
1300 - Wavre",,,,,,,,,,,,,4363738,,,,,,,,,,,,,,,,,,,
122,Après la signature de l’acte,1960,Bon,12.34 m,3,2,Pays,Oui,Équipée,9 m²,7,16 m²,11 m²,13 m²,13 m²,11 m²,,2,2,19 m²,32 m²,,,,651 m²,,Connecté,,,,,,Oui,12 m²,,,230 kWh/m²,,,,,,,,,,,,,C,20121001003222,4 kg CO₂/m²,76304 kWh/an,Non,Oui,,,,,185 m²,349.000 €,1.444 €,Non,"Place Communale 8
1160 - Auderghem",,Hannut,,Non,Non,4282324,,,24 m²,,,Oui,,,,Gaz,,,,,263 m²,2,Non,,Zone non inondable,Non,24 m²,,,,,,,,,,,
