,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Salles de douche,Toilettes,Bureau,Espace professionnel,Surface du grenier,Isolé,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Disponible le,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Adresse,Référence externe,Parkings intérieurs,Surface habitable,Combien de feux ouverts ?,Buanderie,Surface de bureau,Cave,Jardin,Terrasse,Attestation as-built,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Site internet,Grenier,Visite virtuelle,Surface de la chambre 5,Surface constructible totale au sol,Salon,Procédure pour violation de la réglementation urbanistique,Surface de la cave,Surface de l'espace professionnel,Nom de l'agent,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes,Obligation de construire,Charges mensuelles,Niveau E (performance énergétique globale),Description libre du PEB
133,Après la signature de l’acte,1950,Bon,,3,,"Zone d'habitat (résidentiel, urbain ou rural)",31 m²,,Hyper équipée,19 m²,3,18 m²,17 m²,8 m²,,,,1,1,,,54 m²,,Non,,190 m²,,,,Oui,,Connecté,Oui,45 m²,Est,,,,,,,,,,,,,,485 kWh/m²,F,20210421024063,Non communiqué,Non communiqué,Mazout,,,,,Oui,Zone non inondable,295.000 €,602 €,Non,,,Oui,,,"Rue Adelin Colon 15
1300 - Wavre",,2,175 m²,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,26 m²,,ILG.immo,,,,,,,,,,
134,Selon le locataire,1931,Bon,,3,2,Isolé,19 m²,Oui,Semi-équipée,18 m²,3,20 m²,14 m²,14 m²,,,1,,2,,,105 m²,,Non,,150 m²,,,,,,Connecté,Non,,,17 m²,,,,,,,,,,,,,411 kWh/m²,E,20210827007133,Non communiqué,72904 kWh/an,Mazout,,,,,Oui,Zone non inondable,Faire offre à partir de 220.000 €,406 €,Non,,,,Non,Non,"chaussée de Louvain, 49
5310 - Eghezée",,1,165 m²,,,,,,,,,,4531044,,,,,,Non,,,,,,,,,,,,,
135,Après la signature de l’acte,1938,À rénover,,3,2,"Zone d'habitat (résidentiel, urbain ou rural)",20 m²,,Américaine équipée,,2,14 m²,14 m²,,,,,1,1,,,,,Non,,269 m²,,,,Oui,,,Oui,,Sud,,,,,,,,,,,,,,849 kWh/m²,G,20210909021131,Non communiqué,Non communiqué,Électrique,,,,,Oui,,165.000 €,434 €,Non,,,,,,"Rue Entrée Jacques 78/12
5030 - Gembloux",,1,92 m²,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,1,,,,
136,Selon le locataire,1942,Bon,,2,,Urbain,16 m²,Oui,Semi-équipée,18 m²,3,19 m²,13 m²,,,,1,,1,Oui,,18 m²,,Non,,130 m²,,,,,,Connecté,Oui,,,17 m²,,,,,,,,,,,,,408 kWh/m²,E,20210613001496,Non communiqué,60798 kWh/an,Gaz,,,,,Oui,Zone non inondable,Faire offre à partir de 225.000 €,637 €,Non,,,,,Non,"chaussée de Louvain, 49
5310 - Eghezée",,,105 m²,,,6 m²,,,,,,,4496857,,,,,,Non,16 m²,,,,,,,,,,,,
137,,1950,Bon,,3,3,,Oui,Équipée,11 m²,4,25 m²,24 m²,15 m²,12 m²,2,,3,,8 m²,8 m²,,,,780 m²,,Oui,,,,,,,600 m²,Sud-ouest,60 m²,293 kWh/m²,,,,,,,,,,,,,D,Non communiqué,Non communiqué,Non communiqué,Non,Oui,,,,,449.000 €,,Non,,"Avenue du Hockey, 40
1150 - Woluwe-St-Pierre",,,,,,6269 - 4677,,1,47 m²,,,Oui,,,,"Oui, conforme",Mazout,,,,240 m²,,,,,Non,,,,,,,,,,,,
138,À la livraison,,Excellent état,,4,2,,39 m²,,Américaine hyper-équipée,8 m²,3,13 m²,9 m²,9 m²,,,2,1,2,,,26 m²,,Non,,272 m²,,,,,,Connecté,Oui,200 m²,,32 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,365.000 €,,Non,,Brabant wallon,,,,"Avenue Reine Astrid 65
1300 - Wavre",,,170 m²,,,,,,,,,,4420269,,,,,,,,,,,,,,,,,,,
139,À la livraison,,Excellent état,,4,2,,34 m²,,Américaine hyper-équipée,4 m²,3,13 m²,11 m²,9 m²,,,2,1,2,,,28 m²,,Non,,285 m²,,,,,,Connecté,Oui,214 m²,,37 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,409.000 €,,Non,,Brabant wallon,,,,"Avenue Reine Astrid 65
1300 - Wavre",,,170 m²,,,,,,,,,,4420320,,,,,,,,,,,,,,,,,,,
140,À la livraison,,Excellent état,,3,2,,34 m²,,Américaine hyper-équipée,7 m²,3,16 m²,11 m²,10 m²,,,1,,,,,48 m²,,Non,,241 m²,,,,,,Connecté,Oui,174 m²,,20 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,339.000 €,,Non,,Brabant wallon,,Oui,Non,"Avenue Reine Astrid 65
1300 - Wavre",,,181 m²,,,,,,,,,,4420208,,,,,,,,,,,,,,,,,,,
141,À la livraison,,Excellent état,,3,2,,35 m²,,Américaine hyper-équipée,7 m²,3,16 m²,11 m²,10 m²,,,1,,,,,48 m²,,Non,,228 m²,,,,,,Connecté,Oui,131 m²,,20 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,339.000 €,,Non,,Brabant wallon,,Oui,Non,"Avenue Reine Astrid 65
1300 - Wavre",,,181 m²,,,,,,,,,,4420053,,,,,,,,,,,,,,,,,,,
142,À la livraison,,Excellent état,,3,2,,37 m²,,Américaine hyper-équipée,9 m²,3,17 m²,12 m²,11 m²,,,1,,,,,32 m²,,Non,,238 m²,,,,,,Connecté,Oui,170 m²,,24 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,345.000 €,,Non,,Brabant wallon,,,,"Avenue Reine Astrid 65
1300 - Wavre",,,168 m²,,,,,,,,,,4420309,,,,,,,,,,,,,,,,,,,
143,À la livraison,,Excellent état,,3,2,,32 m²,,Américaine hyper-équipée,7 m²,3,16 m²,10 m²,10 m²,,,1,,2,,,,,Non,,257 m²,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,299.000 €,,Non,,Brabant wallon,,,,"Avenue Reine Astrid 65
1300 - Wavre",,,161 m²,,,,,,Oui,,,,4420332,,,,,,,,,,,,,,,,,,,
144,À la livraison,,Excellent état,,3,2,,32 m²,,Américaine hyper-équipée,7 m²,3,16 m²,10 m²,10 m²,,,1,,2,,,,,Non,,281 m²,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,314.000 €,,Non,,Brabant wallon,,,,"Avenue Reine Astrid 65
1300 - Wavre",,,161 m²,,,,,,Oui,,,,4420365,,,,,,,,,,,,,,,,,,,
145,À la livraison,,Excellent état,,3,2,,36 m²,,Américaine hyper-équipée,11 m²,3,19 m²,13 m²,11 m²,,,1,,2,,,,,Non,,358 m²,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,369.000 €,,Non,,Brabant wallon,,,,"Avenue Reine Astrid 65
1300 - Wavre",,,189 m²,,,,,,Oui,,,,4420361,,,,,,,,,,,,,,,,,,,
146,Après la signature de l’acte,,,,4,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,4,,,,,Non,1,,1,Non,Non,,,Non,Non,700 m²,Oui,Non,Non,Non,,Connecté,Oui,500 m²,Nord-est,,,,,,,,,,,,,,Non communiqué,D,20210626006322,Non communiqué,66519 kWh/an,Mazout,Non,Non,Non,Oui,Oui,,285.000 €,,Non,,,,,,,,,200 m²,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,333,Menus travaux à effectuer pour la mise en conformité
147,À définir,,Bon,,,,,40 m²,,Hyper équipée,12 m²,4,25 m²,10 m²,14 m²,9 m²,Non,,,2,,,,,Non,,1070 m²,,,,,,Connecté,Oui,,Sud-ouest,32 m²,Sud-ouest,,,,,,,,,,,,236 kWh/m²,C,20170425018418,Non communiqué,Non communiqué,Gaz,Non,,,,Oui,Zone non inondable,460.000 €,679 €,Non,,,,,,"Chaussée de Tirlemont 90
5030 - Gembloux",,,,,,,Oui,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,,,,,
148,Selon le locataire,,,,4,6,,68 m²,Oui,Semi-équipée,20 m²,12,28 m²,18 m²,29 m²,26 m²,,,,,,,,,,,5823 m²,,,,,,,Oui,,,,,,,,,,,,,,,,469 kWh/m²,F,20201210021809,Non communiqué,402839 kWh/an,Mazout,,,,,Oui,,850.000 €,,Non,,,,,,"Avenue Reine Astrid 65
1300 - Wavre",,2,860 m²,,,,Oui,,Oui,,,,4517446,Oui,,14 m²,,,,,,,,,,,,,,,,
149,Selon le locataire,,,,4,5,,24 m²,Oui,Hyper équipée,9 m²,2,13 m²,9 m²,,,,2,,2,,,,,,,3200 m²,,,,,,,Oui,,,,,,,,,,,,,,,,226 kWh/m²,C,20170419023599,Non communiqué,24259 kWh/an,Gaz,,,,,Oui,,375.000 €,,Non,,,,,,"Avenue Reine Astrid 65
1300 - Wavre",,,110 m²,,,,,,Oui,,,,4517432,Oui,,,200 m²,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,,,,,,"30 Rue de Villers
4520 - Vinalmont",Perwez maisons 16 17 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Après la signature de l’acte,1979,Excellent état,12.3 m,4,3,Isolé,,Équipée,10 m²,4,11 m²,11 m²,15 m²,13 m²,2,,2,,Oui,,,,,911 m²,,27 m,,,,,Connecté,Non,Oui,,,,,,Oui,Oui,,Oui,,,,,455 kWh/m²,,F,20181222000294,113 kg CO₂/m²,61459 kWh/an,"Oui, conforme",Oui,,,,,135 m²,"Zone d'habitat (résidentiel, urbain ou rural)",951 €,Non,"Av. Mascaux, 570
6001 - Marcinelle",,,,Non,Non,4527859,,1,Oui,,,,Oui,,Non,Mazout,,470.000 €,,Non,135 m²,,Non,,Zone non inondable,,,,,,,,,,,,,
