,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Année de construction,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de douche,Toilettes,Cave,Meublé,"Eau, gaz & électricité",Terrasse,Piscine,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Double vitrage,À partir de,État du bâtiment,Dressing,Grenier,Raccordement à l'égout,Pompe à chaleur,Bureau,Largeur de la façade à rue,Largeur du terrain à rue,Jardin,Orientation du jardin,Type d’environnement,Surface de bureau,Surface de l'espace professionnel,Parlophone,Accès sécurisé / alarme,Revenu cadastral,Référence externe,Disponible le,Visite virtuelle,Salon,Porte blindée,Orientation de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Interphone vidéo,Type de construction,Surface constructible totale au sol,Obligation de construire,Niveau E (performance énergétique globale),Panneaux solaires,Surface du jardin,Surface de la terrasse,Espace professionnel,Panneaux photovoltaïques,Chauffe-eau commun,Surface de la cave,Combien de feux ouverts ?,Buanderie,Surface du grenier,Terrain boisé,Terrain arrière,Terrain plat,Salle à manger,Terrain à front de rue,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Nom de l'agent,Isolé,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Date de la vente,Charges mensuelles,Revenu mensuel actuel,Surface de la chambre 5
10,,1,3,130 m²,3,1,530 m²,609 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",34904 - LIE-21-GLE-0,,Oui,Non,1963,25 m²,,,,,,,,1,,Non,Oui,,,Non,,Gaz,,,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,1,,Oui,2,2,40 m,A,13010-G-OMV_2019089745/EP11928/O621/D01/SD001,Non communiqué,Non communiqué,Oui,Oui,Zone non inondable,Parc résidentiel,1.175.000 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",06/10290,,,Villa,,2021,,5,,,,,,,Non,,Non,Oui,,2 kWh/m²,,,,Oui,,Excellent état,,,Oui,,Non,26 m,Non connecté,Est,Nord-ouest,,,,Non,Non,,,,306 m²,Équipée,Oui,Non,Non,Non,Non,240 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,,,151 m²,2,1,575 m²,900 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,,215.000 €,Non,"Belgïelaan 4
2200 - Herentals",,,,,1947,,Semi-équipée,,,,,,1,1,Oui,,Oui,,,,,Gaz,Oui,Après la signature de l’acte,,,,Connecté,,,9 m,13 m,,,Urbain,,,,,,4457018,,,Oui,,,,,,,102 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,,,360 m²,4,,1544 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,649.000 €,Non,"Turnhoutsebaan, 532
2970 - Schilde",4450606,,,,1903,,,,,,,,,,,,,Oui,,,,Gaz,,À définir,À rafraîchir,,,,,Oui,30 m,36 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,3,,322 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Autre type de zone,327.157 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9645,,,,,,,,,,,,,,,Non,,,,,Non,,Non,,,Non,,,Non,Non,,16.22 m,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,,,189 m²,3,1,437 m²,Non communiqué,Non communiqué,in aanvraag,Non communiqué,Non communiqué,,Non,Zone non inondable,,399.500 €,Non,"Tervuursesteenweg 762 Bus 2
1982 - Elewijt",4499272,,,Oui,,,,,,,,,,,,Non,Oui,,,Non,,,Oui,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,30,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,3,,426 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Autre type de zone,383.810 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9682,,,,,,,,,,,,,,,Non,,,,,Non,,Non,,,Non,,,Non,Non,,10 m,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,3,,418 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Autre type de zone,374.288 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9681,,,,,,,,,,,,,,,Non,,,,,Non,,Non,,,Non,,,Non,Non,,10 m,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,3,,410 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Autre type de zone,374.576 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9680,,,,,,,,,,,,,,,Non,,,,,Non,,Non,,,Non,,,Non,Non,,10 m,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,1,2,264 m²,3,1,355 m²,89 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Non,"Lodewijk van Berckenlaan 167
2140 - Borgerhout",,,Oui,Oui,2013,35 m²,Équipée,11 m²,18 m²,14 m²,13 m²,,,2,,Non,Oui,,,Non,"Oui, conforme",Gaz,Oui,,,,,,,Oui,8 m,13 m,,Sud,,4 m²,,,,1.002 €,1346 - 4011,,,,,,,,,,,,,,194 m²,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,,,198 m²,2,1,198 m²,561 kWh/m²,F,20210319-0002389509-RES-1,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",330.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,,Oui,Non,1968,30 m²,,8 m²,,,,,,,,Non,Oui,,,,,Mazout,Non,Après la signature de l’acte,À rafraîchir,,,Connecté,Non,Oui,10 m,17 m,,,,14 m²,,,Non,,2021N137,,,,Oui,,Non,Non,,,,,561,Non,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,,,185 m²,4,1,453 m²,671 kWh/m²,F,2376959,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",248.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,,Oui,Non,1970,,,16 m²,,,,,,,,Non,Oui,,,,,Mazout,Non,Après la signature de l’acte,,,,Connecté,Non,,8 m,19 m,,,,,,,,,2021N045,,,,Non,,,,,,,,671,Non,,15 m²,,Non,Non,50 m²,,,,,,,,,,,,,,,,,,,,,,,,
22,4,,,320 m²,3,1,1939 m²,Non communiqué,Non communiqué,20210427-0002407348-RES-1,Non communiqué,Non communiqué,Non,Non,,Zone de parc,598.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,,Oui,Non,1980,70 m²,,21 m²,,,,,,,,Non,Oui,,,,,Mazout,Oui,,Bon,,,Non connecté,Non,,,32 m,,,,,,,,,,,,,Non,,,,,,,,,Non,,,,Non,Non,100 m²,,,,,,,,,,,,,,,,,,,,,,,,
23,4,2,4,257 m²,4,2,1320 m²,252 kWh/m²,C,20151210-0000836167-8,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",580.000 €,,"Landstraat 71
2560 - Kessel",Marc Coppieters,,Oui,Oui,2002,45 m²,Équipée,34 m²,32 m²,20 m²,22 m²,19 m²,2,3,,Non,Oui,,,Non,,Gaz,Oui,Après la signature de l’acte,Excellent état,,,Connecté,,,16.8 m,25 m,,Est,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,1.595 €,,,,,,Est,,,,,,,,,850 m²,40 m²,,,,15 m²,1,Oui,70 m²,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,
24,,1,,Oui,Non,1,Non,F,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Zone non inondable,Parc résidentiel,599.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",TE 2678,,,Toutes sortes,Non,1975,,3,,,,,,,Non,4486 m²,,Oui,511 kWh/m²,,,,Oui,Oui,,À rafraîchir,1,,Non,,Oui,24 m,Connecté,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,235 m²,Oui,,,,,,Non,,Oui,,,,,,,,,,,,Non,Non,50 m,Équipée,Non,,,,,,,,,,,,,,,,
25,4,,4,306 m²,3,2,2034 m²,188 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",715.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4522212,,Oui,Non,1993,,Américaine hyper-équipée,,,,,,,3,,Oui,,Oui,Oui,,,,Oui,Après la signature de l’acte,Bon,,,,,Oui,,,,,Isolé,,,,,,,,,Oui,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,1,5,,3,1,720 m²,747 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,,395.000 €,Non,"Vonckstraat 3
2270 - Herenthout",4322503,Grobbendonk,,,1966,27 m²,Équipée,,17 m²,16 m²,16 m²,,,1,,Non,Non,Oui,,,,Mazout,,À définir,À rafraîchir,,,,,,11 m,17 m,,,Urbain,,,,,1.003 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4,,5,62 m²,25 m²,4,28 m,B,20120105-0001004298-000004-9,Non communiqué,Non communiqué,Mazout,Non,Zone non inondable,715.000 €,,Non,"Koningsplein 5
2500 - Koningshooikt",4520640,,,130 m²,Oui,1993,Hyper équipée,15 m²,3,13 m²,14 m²,2,,,Oui,,,Oui,Oui,188 kWh/m²,,,Oui,,À définir,,,2034 m²,,,,10 m,Non,,,,,,,Oui,,,6 décembre 2021 - 00:00,306 m²,,,,,,,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,,,185 m²,3,1,152 m²,92.2 kWh/m²,A,13010-G-2013/00085/EP12086/A002/D01/SD001,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,Non,"Turnhoutsebaan 324
2970 - Schilde",,,Oui,Oui,2021,,Équipée,,21 m²,13 m²,13 m²,,,2,,,,Oui,,,,Gaz,Oui,Immédiatement,Excellent état,,Oui,,,Oui,,,,,Urbain,,,,,,4499723,,,,,,,,,,185 m²,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4,2,6,120 m²,3,1,1924 m²,307 kWh/m²,D,20111115-0000967077-00000002-0,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,Non,"Herdersstraat 5
2560 - Nijlen",4591,,Oui,Oui,2003,,Équipée,,,,,,,1,,Non,,,,,Non,Électrique,Oui,Selon le locataire,À rafraîchir,Non,,,Non,Non,,,,,,,,,,925 €,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4,,5,360 m²,4,1,1668 m²,254 kWh/m²,C,20210603000242397-RES-1,Non communiqué,Non communiqué,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",799.000 €,Non,"Bevelsesteenweg 40 B
2560 - Nijlen",,,Oui,Non,,,Hyper équipée,,,,,,1,2,,Non,Oui,,Oui,Non,,,Oui,,Bon,,,,,,,,,,,,,,,,1064 - 1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3,1,1,,2,1,500 m²,Non communiqué,Non communiqué,In aanvraag.,Non communiqué,Non communiqué,,,Zone non inondable,,249.000 €,Non,,,,Oui,,,,,,,,,,,1,Oui,Non,Oui,,Non,,,Gaz,Oui,À définir,À rénover,Non,,Connecté,Non,Non,,,,Sud-est,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,346 €,,,,Oui,Non,,Non,Non,Non,Toutes sortes,,,,Non,1 m²,,Non,Non,Non,,,Oui,,Non,Non,Non,,Oui,Non,Non,Non,Non,Oui,,,,,,,,,,,
32,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Hulst,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,1,1,275 m²,3,3,4570 m²,558 kWh/m²,F,20210521-0002414903-RES-1,Non communiqué,Non communiqué,Non,Non,Zone non inondable,Parc résidentiel,795.000 €,Non,"Grote Markt 7
2200 - Herentals",4211162,,Oui,Oui,1988,,Hyper équipée,,,,,,3,4,Oui,Non,,Oui,Oui,,,,Oui,Après la signature de l’acte,,,,,,Oui,,,,,Pays,,,,,1.792 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,,,,2,1,,756 kWh/m²,F,20210909-0002461953-RES-1,Non communiqué,Non communiqué,Non,,Zone non inondable,,249.000 €,Non,"Oosterwijkseweg, 50
2250 - OLEN",,,,Non,,,,,,,,,,,,,,,,,,,,Après la signature de l’acte,À rénover,,,,,,,,,,,,,,,428 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Till HOEFKENS,,,,,,,,,,
35,,,,Équipée,Non,4,Non,A,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",539.000 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",TE/011021,,,Non,,2012,,4,,,,,,,Non,,,Oui,,,,,Oui,Oui,,Excellent état,2,,Oui,,789 m²,7 m,Connecté,Ouest,93 kWh/m²,,,,,,,,,252 m²,,,,,,,,,Non,,,,,,,,,,,,Non,Non,10 m,,Non,,,,,,,,,,,,,,,,
36,2,1,,167 m²,2,1,367 m²,203 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Non,,,315.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",39809 - LIE-21-GLE-0,,Oui,Non,1960,,Équipée,,,,,,,2,Oui,Non,Oui,,,Non,,Gaz,Oui,Après la signature de l’acte,Fraîchement rénové,,,,,,,,Oui,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4,,,220 m²,4,1,850 m²,234 kWh/m²,C,20170325-0001946058-1,Non communiqué,Non communiqué,Non,Non,Zone non inondable,Zone résidentielle récréative,495.000 €,Non,,,,Oui,Oui,1990,55 m²,Équipée,20 m²,17 m²,16 m²,13 m²,10 m²,1,2,,Non,Oui,,Non,,,Gaz,Oui,À définir,Excellent état,Non,Oui,Connecté,Non,Non,12 m,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,941 €,,,,,Non,,Non,Non,Non,,,Non,,Non,,,Non,Non,Non,5 m²,1,Oui,,Non,Non,Non,,Oui,Non,Non,Non,Non,Oui,,Oui,,,,,,,,,
38,3,,,140 m²,3,,340 m²,457 kWh/m²,E,20210820-0002451143-RES-1,Non communiqué,Non communiqué,,,Zone non inondable,,269.000 €,Non,,,,,,1953,,Équipée,13 m²,16 m²,14 m²,8 m²,,1,1,,Non,Oui,,,,,Gaz,Oui,Après la signature de l’acte,À rénover,Non,,Connecté,Non,Non,6 m,9 m,,Sud,,,,,,768 €,,,,,Non,,,,,Toutes sortes,,,,Non,150 m²,,Non,Non,Non,19 m²,,,50 m²,Non,Non,Non,,Non,,,,,,,,,,,,,,,,
39,4,1,3,255 m²,3,1,2036 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Zone non inondable,,498.000 €,Non,,,,,,1974,,,,,,,,,,,Non,Oui,,,,,Gaz,Non,Après la signature de l’acte,Bon,Non,,,Non,Non,,,,Sud,,,,,,,,,,Oui,Non,Sud,,,,Toutes sortes,,,,Non,1 m²,1 m²,Non,Non,Non,,,Oui,,Non,Non,Oui,Oui,Oui,,,,,,,,1,,,,,,,,
40,3,,,160 m²,3,1,392 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Zone non inondable,,381.000 €,,"Absveldstraat 21
2880 - Bornem",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,11.8 m,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,,,200 m²,3,1,870 m²,Non communiqué,Non communiqué,20211007-0002473646-RES-1,Non communiqué,Non communiqué,Non,Non,Zone non inondable,Autre type de zone,449.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,,Oui,Non,1992,,Équipée,15 m²,,,,,,,,Non,Oui,,,,,Gaz,Non,,Bon,,,Connecté,Non,Oui,11 m,17 m,,,,8 m²,,,Oui,,,,,,Non,,Non,Non,,,,,,Oui,,25 m²,Oui,Oui,Non,126 m²,,,,,,,,,,,,,,,,,,,,,,,,
42,3,,,,3,1,585 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,275.000 €,Non,,,,,,1962,32 m²,Équipée,16 m²,16 m²,16 m²,12 m²,,,1,,Non,Oui,,Non,,"Oui, conforme",Gaz,Non,Immédiatement,À rafraîchir,Oui,,Connecté,Non,Non,8 m,,,Sud,Pays,,,Non,Non,904 €,,,,,Non,,Non,Non,Non,Toutes sortes,,,,Non,250 m²,,Non,Non,Non,,,,60 m²,Non,Non,Oui,,Oui,Non,Non,Non,Non,Oui,,,2,,,,,,,,
43,4,1,3,230 m²,3,2,893 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,Non,"Fehrenbachstraat, 53
2440 - Geel",4492384,,Oui,Oui,1991,,Hyper équipée,,,,,,2,2,,,Oui,Oui,,,,Gaz,Oui,Après la signature de l’acte,Bon,,,Connecté,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,1.155 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4,,,381 m²,4,3,28095 m²,140 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,Zone agricole,1.500.000 €,Non,"Bredabaan 260
2930 - Brasschaat",39852 - LIE-21-GLE-0,,Oui,Non,,71 m²,Équipée,,,,,,,3,Oui,Non,Oui,Oui,,Non,,,Oui,Après la signature de l’acte,Excellent état,,,,,Oui,,,,,,12 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
45,4,,,210 m²,4,1,955 m²,154 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,,425.000 €,Non,,,,,,,,,,,,,,1,1,,Non,Oui,,,,,Gaz,Oui,Immédiatement,Excellent état,Non,,Connecté,Non,Non,,,,,,,,,,,,,,,Non,,,,,Toutes sortes,,,,Non,,,Non,Non,Non,,,,,Non,Non,Non,,Non,,,,,,,,,,,,,,,,
46,3,,,140 m²,3,1,251 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,,Oui,Non,2020,47 m²,,,,,,,,,,Non,Oui,,,,"Oui, conforme",Gaz,Oui,À la livraison,,,,Connecté,Non,,7 m,10 m,,,,,,,,,2020N060,,,,Non,,,,,,,,,Oui,,15 m²,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,Oui,856 m²,191 kWh/m²,20210806-0002449038-RES-1,Non communiqué,Non communiqué,Oui,Oui,385.000 €,,1.141 €,,,Sofie VERHOEVEN,,,,Non,Zone non inondable,Oui,,1,,,,,,,,,,,B,,,,,,2008,,,Oui,,,,,,,,,,,,,"Rechtestraat, 29
2275 - Lille",,,Équipée,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
zat. 23/10, zat. 30/10, zat. 6/11 en zat. 13/11 van 14u-16u of na afspraak",Immédiatement,Non,,,,
48,,,,,1,Oui,1443 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,,643 €,,,"Wijngaardstraat, 40
2280 - GROBBENDONK",Peggy GOOSSENS,,,Oui,,,,,,,,,,,,Oui,,,,,,,,,Après la signature de l’acte,,,14751 m²,,,,,,,,,,,,,Non,,,Oui,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oostakker 1A, 2290 Vorselaar",Oui,"nl :
zaterdag 25/9, 2/10, 9/10 en 16/10 tussen 10u-12u",,18/10/2021 - 14:00,,,
49,2,,,152 m²,3,2,263 m²,170 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,,349.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",38583 - LIE-21-GLE-0,,Oui,Non,1918,25 m²,Équipée,,,,,,,2,,Non,Oui,,,Non,,Gaz,Oui,Après la signature de l’acte,Fraîchement rénové,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4,,,150 m²,3,2,394 m²,386 kWh/m²,D,20210624-0002433523-RES-1,Non communiqué,Non communiqué,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",38876 - LIE-21-GLE-0,,Oui,Non,1961,33 m²,Semi-équipée,,,,,,,2,Oui,Non,Oui,Oui,,Non,,Gaz,Oui,Après la signature de l’acte,À rafraîchir,,,,,,,,Oui,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4,,,115 m²,2,1,533 m²,1384 kWh/m²,F,20210407-0002398408-RES-1,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",225.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",27111 - LIE-21-GLE-0,,Oui,,1953,20 m²,Semi-équipée,,,,,,,,Oui,Non,Oui,,,Non,,Gaz,,Après la signature de l’acte,À rénover,,,,,,,10 m,Oui,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,3,,468 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Autre type de zone,378.288 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9714,,,,,,,,,,,,,,,Non,,,,,Non,,Non,,,Non,,,Non,Non,,13 m,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3,1,2,191 m²,4,1,683 m²,432 kWh/m²,E,20210811-0002450670-RES-1,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",357.000 €,Non,"Herdersstraat 5
2560 - Nijlen",4608,,Oui,Oui,1989,,Équipée,,,,,,1,2,,Non,,,,,Non,Électrique,Oui,À définir,Bon,Non,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3,,1,140 m²,3,1,294 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,Non,"Herdersstraat 5
2560 - Nijlen",7579-9,,Oui,Non,2021,,Équipée,,,,,,1,2,,Non,,,,,Non,Électrique,Oui,À la livraison,Excellent état,Non,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,Non,,,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3,,1,191 m²,4,1,280 m²,472 kWh/m²,E,20161012-0001902438-1,Non communiqué,Non communiqué,,,Zone non inondable,Zone d'extension d'habitat,295.000 €,Non,"Herdersstraat 5
2560 - Nijlen",4601,,,,1937,,,,,,,,,1,,Non,,,,,Non,Gaz,Oui,Selon le locataire,,Non,,,Non,Non,,,,,,,,,,443 €,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,1,1,165 m²,3,1,668 m²,1188 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,Non,"Stationsstraat 69
2440 - Geel",V&G/G/3624,,Oui,Non,1968,30 m²,,,16 m²,16 m²,10 m²,,,2,Oui,Non,Non,,,,,,Non,,À rénover,,,Non connecté,,Non,,20 m,Oui,Sud,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3,,,154 m²,3,1,327 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Fraikinstraat 7
2200 - Herentals",,,Oui,Non,2019,,,,,,,,,,,Non,Oui,Oui,,,,,Non,À la livraison,,,,Connecté,Oui,,7 m,11 m,,,,,,,,,2019N124,,,,Non,,,,,,,,,Non,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
58,3,,,,3,,1047 m²,1229 kWh/m²,F,20200927-0002320555-RES-1,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,Non,"Herdersstraat 5
2560 - Nijlen",4611-2,,,Non,,,,,,,,,,,,Non,,,,,Non,,Non,Après la signature de l’acte,,Non,,,Non,Non,,,,,,,,,,314 €,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,,2,Équipée,13 m²,,Oui,C,Non communiqué,Non communiqué,Non communiqué,Non,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",259.000 €,Non,"Parklaan 101
2300 - Turnhout",19377 - 126621478,,,Non,Non,,,8 m²,3,8 m²,7 m²,2,,3,Non,,231 m²,,297 kWh/m²,,Gaz,,Oui,,,Bon,,,,,,,,,,,,,,,,,,110 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2,,,125 m²,3,1,223 m²,400 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",185.000 €,Non,"Parklaan 101
2300 - Turnhout",19131 - 126621234,,,Non,,33 m²,Pas équipée,10 m²,26 m²,11 m²,9 m²,,,1,Oui,Non,,,,Non,,Gaz,,,À rénover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
