,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Année de construction,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de douche,Toilettes,Cave,Meublé,"Eau, gaz & électricité",Terrasse,Piscine,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Double vitrage,À partir de,État du bâtiment,Dressing,Grenier,Raccordement à l'égout,Pompe à chaleur,Bureau,Largeur de la façade à rue,Largeur du terrain à rue,Jardin,Orientation du jardin,Type d’environnement,Surface de bureau,Surface de l'espace professionnel,Parlophone,Accès sécurisé / alarme,Revenu cadastral,Référence externe,Disponible le,Visite virtuelle,Salon,Porte blindée,Orientation de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Interphone vidéo,Type de construction,Surface constructible totale au sol,Obligation de construire,Niveau E (performance énergétique globale),Panneaux solaires,Surface du jardin,Surface de la terrasse,Espace professionnel,Panneaux photovoltaïques,Chauffe-eau commun,Surface de la cave,Combien de feux ouverts ?,Buanderie,Surface du grenier,Terrain boisé,Terrain arrière,Terrain plat,Salle à manger,Terrain à front de rue,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Nom de l'agent,Isolé,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Date de la vente,Charges mensuelles,Revenu mensuel actuel,Surface de la chambre 5
136,2,,,270 m²,2,1,143 m²,529 kWh/m²,F,2031129,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,Non,"Gasthuisstraat 21
2340 - Beerse",4343520,,Oui,Non,1971,,,,,,,,,,,,Oui,,,,,Gaz,,Immédiatement,Bon,,,Connecté,,Oui,5 m,,,,Urbain,,,,,1.971 €,,,,,,,,,,,143 m²,,,,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,4,1,,Oui,2,3,20 m,C,20210702-0002437274-RES-1,Non communiqué,Non communiqué,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",479.000 €,1.229 €,"PARKLAAN 46
2300 - Turnhout",04/13970,,,160 m²,Non,1998,,4,,,,,,,Non,,Non,Oui,,,,,,Oui,,Bon,,,Oui,,Non,15 m,Connecté,Est,232 kWh/m²,Urbain,,,,,Non,,,230 m²,Équipée,780 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2,,,129 m²,3,1,313 m²,450 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,,229.000 €,Non,"Graatakker 91
2300 - Turnhout",4131364,,Oui,Non,1954,27 m²,Équipée,12 m²,14 m²,12 m²,9 m²,,,2,,,,Oui,,,,Gaz,Oui,Après la signature de l’acte,,,,,,,6 m,6 m,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,545 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2,1,,167 m²,3,1,265 m²,539 kWh/m²,F,2404879,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",225.000 €,Non,"Gasthuisstraat 21
2340 - Beerse",4505979,,Oui,Non,1969,30 m²,Semi-équipée,14 m²,18 m²,13 m²,9 m²,,,2,Oui,,Oui,,,,,Gaz,,Après la signature de l’acte,À rénover,,,,,,5.5 m,,,,,,,,,788 €,,,,,,,,,,,,,,,210 m²,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2,,,131 m²,3,1,177 m²,333 kWh/m²,D,20190610-0002167894-RES-1,Non communiqué,Non communiqué,Non,,Zone non inondable,,247.000 €,Non,,,,,,1934,,Hyper équipée,,15 m²,8 m²,10 m²,,,1,Oui,Non,Oui,,,,,Gaz,Oui,À définir,,Non,,Connecté,Non,Non,5 m,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,242 €,,,,Oui,Non,,,,,,,Non,,Non,46 m²,20 m²,Non,Non,Non,,,Oui,,Non,Non,Non,Oui,Non,,,,,,,,,,,,,,,,
141,2,,,140 m²,3,1,130 m²,113 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,,,,,Non,,,Américaine hyper-équipée,,,,,,,2,,Non,Oui,,Non,Non,,Gaz,Oui,Après la signature de l’acte,Excellent état,Oui,,Connecté,Non,Non,5 m,,,Sud-ouest,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,708 €,,,,,Non,,Non,Non,Non,,,,,Non,65 m²,,Non,Non,Non,,,,,Non,Non,Non,,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,
142,2,1,,410 m²,4,1,164 m²,456 kWh/m²,E,2183736,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",635.000 €,Oui,"Belgïelaan 4
2200 - Herentals",,Turnhout,Oui,Non,1887,40 m²,Équipée,10 m²,18 m²,12 m²,12 m²,12 m²,,2,Oui,,Oui,Oui,,,,Gaz,Oui,Après la signature de l’acte,Bon,,Oui,Connecté,,Oui,9 m,9 m,,,Urbain,24 m²,86 m²,Oui,,3.192 €,3840432,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4,2,,200 m²,3,1,1024 m²,205 kWh/m²,C,20210120-0002362007-RES-1,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,Non,"Kempenlaan 32
2300 - Turnhout",39171 - TUR-21-GME-1,,Oui,Non,,,,11 m²,18 m²,9 m²,6 m²,,,1,,Non,Oui,,,Non,,,Oui,Après la signature de l’acte,Excellent état,,,,,,,,Oui,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,3,,1,146 m²,3,1,230 m²,234 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Gasthuisstraat 21
2340 - Beerse",4522355,,Oui,Non,,27 m²,Hyper équipée,21 m²,15 m²,17 m²,21 m²,,,1,,,Oui,,,,,Gaz,Oui,Immédiatement,Bon,,,Connecté,,,5 m,,,,Urbain,,,,,730 €,,,,,,,,,,,,,,,100 m²,28 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,3,,,73 m²,2,1,122 m²,667 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",189.000 €,Non,"Kempenlaan 32
2300 - Turnhout",37050 - TUR-21-GME-0,,Oui,Non,,,,9 m²,15 m²,12 m²,,,,,,Non,Oui,,,Non,,,Oui,,À rafraîchir,,,,,,,,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2,1,1,240 m²,4,1,318 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,Non,"Geelsebaan 1 bus7
2460 - Kasterlee",,,Oui,,2021,34 m²,Équipée,20 m²,24 m²,17 m²,15 m²,11 m²,2,2,,Non,,,,,Non,Gaz,Oui,Après la signature de l’acte,Excellent état,Oui,,,Non,Non,9 m,9 m,Oui,Ouest,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,BRE/25507,,,,,,,,,,120 m²,Non,28,,,21 m²,,,,,,Oui,75 m²,,,,,,,,,,,,,,,,,,,,,
147,3,1,2,Oui,1,2,16 m,F,20210307-0002383534-RES-1,Non communiqué,Non communiqué,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,1.091 €,"PARKLAAN 46
2300 - Turnhout",04/11895,,,185 m²,Non,1957,,3,,,,,,,Non,,Non,450 m²,,,,,,Oui,,Bon,,,Oui,,40 m²,13.5 m,Connecté,,678 kWh/m²,Urbain,,,,,Non,,1 septembre 2022 - 00:00,297 m²,Équipée,845 m²,,,,,,Non,,,,Nord,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
148,3,,,110 m²,2,1,80 m²,305 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,,"Zone d'habitat (résidentiel, urbain ou rural)",179.500 €,Non,"Geelsebaan 1 bus7
2460 - Kasterlee",,,Oui,,,30 m²,Équipée,9 m²,9 m²,13 m²,,,1,1,,Non,,,,,Non,Gaz,Oui,Après la signature de l’acte,Bon,Non,,,Non,Non,,,,,Urbain,,,,,190 €,BRE/25517,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2,,,400 m²,5,2,310 m²,80 kWh/m²,A,1304 G 2007,97 kg CO₂/m²,Non communiqué,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,Non,,,,Oui,Oui,,64 m²,Équipée,20 m²,24 m²,24 m²,31 m²,27 m²,2,2,,Non,Oui,,Non,"Oui, conforme",,Gaz,Oui,,Excellent état,Oui,,Connecté,Non,Oui,11 m,11 m,,,"Zone d'habitat (résidentiel, urbain ou rural)",14 m²,,Non,Non,,,,,,Non,,Non,Non,Non,,400 m²,,,Non,110 m²,44 m²,Oui,Non,Non,,1,,,Non,Non,Non,,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,27 m²
150,2,5,5,294 m²,6,2,243 m²,153 kWh/m²,B,20210415-0002402107-RES-1,Non communiqué,Non communiqué,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",700.000 €,Oui,"Gasthuisstraat 21
2340 - Beerse",4322935,Turnhout,Oui,Non,2013,40 m²,,17 m²,13 m²,12 m²,10 m²,13 m²,,4,,,Oui,Oui,,,,Gaz,Oui,Selon le locataire,Bon,,,Connecté,,,,,,,Urbain,,,,,2.351 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 m²
151,2,,,143 m²,3,1,145 m²,208 kWh/m²,C,2021027,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,Non,"Kempenlaan 32
2300 - Turnhout",41082 - TUR-21-AGH-0,,Oui,Non,1974,,Équipée,,,,,,,2,,Non,Oui,,,Non,,Gaz,Oui,Après la signature de l’acte,Bon,,,,,,,,Oui,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2,1,,283 m²,3,1,159 m²,256 kWh/m²,C,2435327,Non communiqué,Non communiqué,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,Non,"Gasthuisstraat 21
2340 - Beerse",4403119,,,,1918,25 m²,Hyper équipée,27 m²,20 m²,14 m²,9 m²,,,2,,,,,,,,Gaz,Oui,Selon le locataire,Excellent état,,,,,,9.5 m,,,,Urbain,,,,,1.199 €,,,,,,,,,,,,,,,,80 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,2,,,125 m²,3,1,128 m²,208 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",245.000 €,Non,"Gasthuisstraat 21
2340 - Beerse",4522217,,,Non,1930,,,,,,,,,,,,Oui,Oui,,,,Gaz,Oui,Après la signature de l’acte,Bon,,Oui,Connecté,,,5 m,,,,Urbain,,,,,367 €,,,,Oui,,,,,,,,,,,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2,,1,205 m²,3,2,180 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,239.000 €,Oui,,,,,,,,Équipée,14 m²,20 m²,16 m²,20 m²,,,2,Oui,Non,Oui,,Non,,,Gaz,Oui,À définir,Bon,Non,,,Non,Non,5 m,5 m,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,400 €,,,,Oui,Non,,Non,Non,Non,Toutes sortes,,,,Non,65 m²,,Non,Non,Non,,,Oui,,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,,,,,,,,,,,
