,À partir de,Quartier ou lieu-dit,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Surface constructible totale au sol,Type de zone inondable,Prix,Immeuble de rapport,Adresse,Site internet,Disponible le,Visite virtuelle,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Dressing,Cave,Grenier,Orientation du jardin,Type de chauffage,Pompe à chaleur,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Attestation as-built,Panneaux photovoltaïques,Panneaux solaires,Année de construction,Revenu cadastral,Buanderie,Informations supplémentaires,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Largeur de la façade à rue,Terrasse,Procédure pour violation de la réglementation urbanistique,Salon,Autorisation de lotissement,Droit d'achat prioritaire possible,Jardin,Largeur du terrain à rue,Surface de la cave,Référence externe,Bureau,Niveau E (performance énergétique globale),Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Chauffe-eau commun,Type de construction,Obligation de construire,Attestation de conformité des citernes à mazout,Combien de feux ouverts ?,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Surface de bureau,Description libre du PEB,Pourcentage loué,Revenu mensuel actuel,Surface de l'espace professionnel,Nombre d'annexes,Nom de l'agent,Charges mensuelles,Nom du bien,Isolé,Surface du grenier
58,Après la signature de l’acte,,Bon,3,,,,230 m²,24 m²,Oui,Équipée,16 m²,3,24 m²,40 m²,12 m²,1,2,4,Non,Non,90 m²,Connecté,Oui,,,Non,Non,Non,Non,Non,Non,320 kWh/m²,F,20200914-0000574737-01-09,Non communiqué,Non communiqué,Non,,Zone non inondable,789.900 €,Non,,,,,,,,Non,,,,Gaz,Non,Zone d'habitat mixte (habitat & activité économique),,Non,Non,1938,3.096 €,Oui,,,,,,6 m,,,,,,,,40 m²,,Non,,Non,Oui,Non,Oui,Non,Oui,,,,,,Non,Oui,Non,Non,Non,,,,,40 m²,,,,,,
59,Après la signature de l’acte,,À rénover,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",172 m²,16 m²,Oui,Pas équipée,8 m²,4,16 m²,20 m²,16 m²,1,,2,Non,Non,150 m²,Connecté,Oui,30 m²,,,,,,,,502 kWh/m²,G,20191216-0000561896-01-9,101 kg CO₂/m²,Non communiqué,Non,70 m²,Zone non inondable,370.000 €,Non,,,,,Oui,12 m²,,Non,,Oui,,Gaz,Oui,Zone résidentielle récréative,,Non,Non,1935,1.700 €,Oui,,,,,,6 m,,Non,,Oui,Non,,6 m,50 m²,,Non,,Non,Oui,Non,Non,Non,Non,,Non,Non,,,,,,,,,,,,10 m²,,,,,,
60,Après la signature de l’acte,,Bon,2,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Semi-équipée,,2,,,,2,,2,Non,Non,60 m²,Connecté,Oui,,,Non,Non,Oui,Non,Non,Non,75 kWh/m²,B,201706130000506334-01-2,369 kg CO₂/m²,Non communiqué,Non,,,395.000 €,Oui,,,,,,,,Non,Oui,,,Gaz,Non,,,Non,Non,,1.400 €,,,,,,,6 m,,,Oui,,,,6 m,,,Non,369,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,Non,Non,Non,Non,Non,,,100,,,,,,,,
61,,,,,,,,364 m²,,,,,,,,,,,,Non,Non,150 m²,Connecté,Oui,,,Non,Non,Oui,Non,Non,Non,292 kWh/m²,F,20201020-0000576847-01-9,58 kg CO₂/m²,Non communiqué,Non,,,740.000 €,Oui,"Rue de Tervaete 35
1040 - Etterbeek",,,,,,,Non,,,,Gaz,,Zone d'habitat mixte (habitat & activité économique),Non,,,1928,1.794 €,,,,,,,,,Non,,Non,Non,,,,3775,Non,,,,,,,,,,,,Nord-est,Non,,,,,,,,,,,,,,,
62,,,Bon,2,1,,,145 m²,36 m²,,Américaine hyper-équipée,,3,,,,1,2,2,Non,,,,,,,,,,,,,196 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Oui,,,369.000 €,Non,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4130 - 2007,,,,,,,,,,Gaz,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Bruxelles (19 communes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Rue Américaine, 158
1050 - Ixelles",4277506,31 mars 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,À restaurer,,,,,180 m²,60 m²,,,,4,,,,1,1,4,Non,,75 m²,,,,40 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,429.000 €,Non,"rue Willy Van der Meeren 23
1140 - Evere",107 - 93363903,,,,,,,Oui,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,À rafraîchir,2,,,,135 m²,,,Semi-équipée,7 m²,3,14 m²,13 m²,12 m²,1,1,1,Non,,,,,,30 m²,,,,,Oui,,Non communiqué,Non communiqué,Non communiqué,84 kg CO₂/m²,Non communiqué,Oui,,,365.000 €,Non,"rue Willy Van der Meeren 23
1140 - Evere",37 - 93363845,,,,,,,,,,Gaz,,,Non,,,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
66,Selon le locataire,,À rénover,3,2,,,274 m²,,Oui,Américaine semi-équipée,17 m²,4,13 m²,12 m²,12 m²,1,1,4,Non,,75 m²,,,,45 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,75 m²,,449.000 €,Non,"Av. Louise 523
1050 - Bruxelles",,,,,11 m²,,,Oui,,,Gaz,,,,,,,,,,,,,,18 m,,,,,,,,,4446088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,Bon,2,,,,200 m²,,,Hyper équipée,,4,,,,1,2,,,,95 m²,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,624.000 €,Oui,"Square Marie Louise 4/27
1000 - Bruxelles",,,,,,,,,,,Gaz,,,,,,1930,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,100,2500,,1,Immodanou,,,,
