,À partir de,Quartier ou lieu-dit,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Surface constructible totale au sol,Type de zone inondable,Prix,Immeuble de rapport,Adresse,Site internet,Disponible le,Visite virtuelle,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Dressing,Cave,Grenier,Orientation du jardin,Type de chauffage,Pompe à chaleur,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Attestation as-built,Panneaux photovoltaïques,Panneaux solaires,Année de construction,Revenu cadastral,Buanderie,Informations supplémentaires,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Largeur de la façade à rue,Terrasse,Procédure pour violation de la réglementation urbanistique,Salon,Autorisation de lotissement,Droit d'achat prioritaire possible,Jardin,Largeur du terrain à rue,Surface de la cave,Référence externe,Bureau,Niveau E (performance énergétique globale),Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Chauffe-eau commun,Type de construction,Obligation de construire,Attestation de conformité des citernes à mazout,Combien de feux ouverts ?,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Surface de bureau,Description libre du PEB,Pourcentage loué,Revenu mensuel actuel,Surface de l'espace professionnel,Nombre d'annexes,Nom de l'agent,Charges mensuelles,Nom du bien,Isolé,Surface du grenier
78,,,À rafraîchir,2,,,,200 m²,,,Équipée,,4,,,,1,2,4,,,95 m²,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,624.000 €,Oui,"Square Marie Louise 4/27
1000 - Bruxelles",,,,,,,,Oui,,,Gaz,,,,,,1930,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,100,2500,,1,Immodanou,,,,
79,,,,2,1,,,111 m²,33 m²,,Équipée,,3,,,,1,,1,Non,,,,,27 m²,,,,,,,,297 kWh/m²,F,20210508-0000588431-01-1,59 kg CO₂/m²,Non communiqué,Non,,,349.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9544-1,31 mars 2022 - 00:00,,,,,,Oui,,Sud,Gaz,Non,,Non,Non,Non,,996 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,2,,,,114 m²,26 m²,,Équipée,,2,,,,,1,2,Non,,,,,23 m²,9 m²,,,,,,,318 kWh/m²,F,20210512-0000588657-01-3,63 kg CO₂/m²,Non communiqué,Oui,,,349.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",8507,1 octobre 2021 - 00:00,,,,,,Oui,,Est,Gaz,Non,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,3,,5,,500 m²,,,,,,,,,1,1,5,Non,,400 m²,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,1.250.000 €,Non,"Av. Henri Conscience 170
1140 - Evere",,,,,,,,,,,,Non,,Non,Non,Non,,7.000 €,,,,,,,,,,Oui,,,,,,3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,2,,,,112 m²,36 m²,,Équipée,,3,,,,1,,1,Non,,,,,,,,,,,,,325 kWh/m²,F,20170212-0000374438-01-1,70 kg CO₂/m²,Non communiqué,Oui,,,295.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9348-1-1,,,,,,,Oui,,,,Non,,Non,Non,Non,,989 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Après la signature de l’acte,Brussel (19 gemeenten),Excellent état,2,,,Isolé,120 m²,20 m²,Oui,Hyper équipée,11 m²,3,14 m²,14 m²,9 m²,1,,2,Non,,92 m²,,Non,45 m²,8 m²,,,,,,,283 kWh/m²,F,501693,56 kg CO₂/m²,Non communiqué,Oui,,Zone non inondable,545.000 €,Non,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4531477,,,Oui,,,,Oui,Oui,,Gaz,,,,,,1904,1.264 €,,,,,,,4 m,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Selon le locataire,Est de Bruxelles + VL,Excellent état,2,1,,"Zone d'habitat (résidentiel, urbain ou rural)",485 m²,55 m²,,Hyper équipée,12 m²,6,21 m²,18 m²,18 m²,3,,4,Non,,251 m²,Connecté,Non,,16 m²,,,,,,,524 kWh/m²,G,20180831-0000534375-01-7,138 kg CO₂/m²,Non communiqué,Oui,143 m²,Zone non inondable,990.000 €,Non,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4368708,30 octobre 2000 - 00:00,,,14 m²,14 m²,,Oui,Oui,,Mazout,,,,,Oui,1967,5.334 €,,,,,,,12.6 m,,,,Oui,Oui,,12.6 m,,,Oui,,,,,,,,,,,,,,,,,,19 m²,,,,120 m²,,,,,,
85,Immédiatement,Bruxelles (19 communes),Excellent état,4,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",440 m²,43 m²,Oui,Hyper équipée,,5,22 m²,20 m²,17 m²,4,3,4,Non,Oui,620 m²,Connecté,Oui,350 m²,45 m²,Non,Non,,Oui,Oui,Non,39 kWh/m²,A,Non communiqué,8 kg CO₂/m²,Non communiqué,Oui,,,1.650.000 €,Non,"Avenue Orban 240
1150 - Woluwe-St-Pierre",,1 juillet 2021 - 00:00,,,16 m²,16 m²,,Oui,Oui,,Gaz,,,,,,2019,6.643 €,,,,,,,,,,,,,,,,4401920,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,Est de Bruxelles + VL,Bon,2,1,1,Isolé,170 m²,46 m²,,Équipée,13 m²,3,18 m²,11 m²,9 m²,1,,2,Non,,322 m²,,Non,135 m²,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,252 m²,Zone non inondable,699.000 €,Non,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4534819,30 avril 2022 - 00:00,,,,,,Oui,Oui,,Électrique,,,,,,1985,2.828 €,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 €,,,
87,Après la signature de l’acte,Bruxelles (19 communes),À rafraîchir,3,1,1,Isolé,142 m²,35 m²,Oui,Hyper équipée,10 m²,3,18 m²,17 m²,27 m²,1,,2,Non,,355 m²,Connecté,Oui,240 m²,16 m²,Non,Non,Oui,,,Non,674 kWh/m²,G,Non communiqué,133 kg CO₂/m²,Non communiqué,,,,680.000 €,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4501202,10 janvier 2022 - 00:00,,,,,,Oui,Oui,,Gaz,,,,,,1955,2.369 €,,,,,,,7.5 m,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,6 m²,,,,,,,,,,
88,À définir,,Bon,2,,,Pays,140 m²,27 m²,,Équipée,9 m²,4,18 m²,14 m²,12 m²,2,1,2,Non,,171 m²,,,55 m²,,,,,,,,234 kWh/m²,E,201501270000268702015,50 kg CO₂/m²,Non communiqué,Oui,170 m²,,600.000 €,Non,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4345629,1 décembre 2021 - 00:00,,,11 m²,,,Oui,,,Gaz,,,,,,1960,1.596 €,,,,,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,3 m²,,,,,,,,,,
89,Après la signature de l’acte,,Excellent état,2,,,Isolé,41 m²,Oui,Hyper équipée,8 m²,5,23 m²,10 m²,24 m²,14 m²,1,4,Oui,110 m²,,Connecté,Oui,27 m²,,329 kWh/m²,,,,,,,F,Non communiqué,65 kg CO₂/m²,Non communiqué,Gaz,,,,1.395 €,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4506207,,,252 m²,,41 m²,2,,Non,,,675.000 €,,,,,,1920,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Après la signature de l’acte,Bruxelles est/sud-est,Excellent état,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",260 m²,40 m²,Oui,Hyper équipée,18 m²,4,20 m²,20 m²,17 m²,3,3,4,Non,,160 m²,Connecté,Oui,50 m²,25 m²,Non,Non,Oui,Oui,,Non,271 kWh/m²,E,20190523-00000550044-01-9,67 kg CO₂/m²,Non communiqué,Oui,85 m²,,945.000 €,Non,"Rue François Desmedt 56
1150 - Woluwé St Pierre",4400266,,,,20 m²,,,Oui,Oui,,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,1925,,,,,,,,7 m,,,,,,,7 m,,,Oui,,,,,,,,,,,,,,,,,,10 m²,,,,,,,,,,
91,Après la signature de l’acte,"Woluwé, Etterbeek",À rafraîchir,2,,,Isolé,120 m²,35 m²,,Pas équipée,6 m²,3,14 m²,12 m²,7 m²,1,1,1,Non,,136 m²,Connecté,Oui,50 m²,15 m²,,,,,,,388 kWh/m²,G,Non communiqué,77 kg CO₂/m²,Non communiqué,Oui,120 m²,,475.000 €,Non,"Bld. Brand Whitlock 108
1200 - Woluwe-Saint-Lambert",,1 septembre 2021 - 00:00,,,,,,Oui,,,Gaz,,,,,,1955,,,,,,,,,,,,,,,,,4506262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Selon le locataire,MONTGOMERY - PARC DE TERVUREN - MERODE,Excellent état,2,2,2,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,50 m²,Oui,Équipée,16 m²,5,20 m²,17 m²,16 m²,,,2,Non,,170 m²,Connecté,Oui,100 m²,20 m²,,,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,950.000 €,,"Avenue René Gobert 26
1180 - Uccle",,,,Oui,13 m²,12 m²,Oui,Oui,,Sud-est,Gaz,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,,1930,1.912 €,Oui,,,,,,7 m,,Non,,Non,Non,,7 m,,,,,,Oui,Oui,,Oui,,,,,1,Sud-est,,,,,,,,,,,,Cédric Mathonnet,,MONTGOMERY - PARC DE TERVUREN - MERODE,,
93,,Brussels ZE,À rénover,2,,,,115 m²,25 m²,,Pas équipée,,2,15 m²,14 m²,,,,1,Non,,95 m²,,Oui,,30 m²,,,,,,,598 kWh/m²,G,596117,115 kg CO₂/m²,Non communiqué,Oui,,Zone non inondable,390.000 €,Non,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4516996,,,,,,,Oui,Oui,,Gaz,,,,,,1909,560 €,,,,,,,4.13 m,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Après la signature de l’acte,Bruxelles (19 communes),À rénover,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",25 m²,Oui,Pas équipée,20 m²,4,11 m²,12 m²,11 m²,19 m²,1,,Oui,138 m²,,Connecté,Oui,40 m²,8 m²,543 kWh/m²,,,,,,,G,Non communiqué,109 kg CO₂/m²,Non communiqué,Gaz,,,,1.165 €,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4418543,,,148 m²,,1,,,Oui,Non,,499.000 €,,,,,,,Non,,,,,,,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Après la signature de l’acte,Bruxelles Est + Sud/Est,À rénover,4,2,2,Urbain,82 m²,Oui,Hyper équipée,9 m²,3,17 m²,17 m²,16 m²,2,3,,5 m²,555 m²,,Oui,,20 m²,,327 kWh/m²,,,,,,,F,Non communiqué,65 kg CO₂/m²,Non communiqué,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,5.111 €,"Avenue de Tervueren 446
1150 - Bruxelles",4498611,,,222 m²,,,,,,Non,,,,Faire offre à partir de 750.000 €,,,,1986,Non,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,
96,Après la signature de l’acte,,Excellent état,4,,,,43 m²,Oui,43 m²,,5,4,,,,121 m²,,,Oui,39 kWh/m²,Non connecté,Oui,Oui,,,Non,Non,,Oui,,,A,641202-6-N-1-1-1,8 kg CO₂/m²,Non communiqué,39,Villa,,Autre type de zone,Non,"Rue Archimède 17
1000 - Bruxelles ville",,,,540 m²,,,,,,,,Non,Non,1.650.000 €,,Non,Non,2019,,,,,,,,,Non,Zone non inondable,,Non,Non,,,Non,,,Gaz,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,
97,Après la signature de l’acte,Est de Bruxelles + VL,À rafraîchir,3,1,1,Pays,120 m²,26 m²,,Équipée,8 m²,4,19 m²,12 m²,10 m²,1,,2,Non,,143 m²,,Oui,60 m²,,,,,,,,486 kWh/m²,G,Non communiqué,97 kg CO₂/m²,Non communiqué,Oui,,,550.000 €,Non,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4399587,30 septembre 2021 - 00:00,,,7 m²,,,Oui,,,Gaz,,,,,,,1.368 €,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Après la signature de l’acte,,Bon,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",,15 m²,Oui,Équipée,21 m²,3,15 m²,13 m²,11 m²,,1,2,Non,Non,115 m²,Connecté,Oui,60 m²,,Non,Non,Non,Non,Non,Non,297 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,,Zone non inondable,450.000 €,Non,,,,,,,,Non,,Oui,Est,Gaz,Non,,,Oui,Non,1927,478 €,,,,,,,4 m,,Non,,,,,,18 m²,,Oui,,Oui,Non,Non,Non,Non,Oui,,,Non,1,,Non,Non,Non,Non,Oui,4 m²,,,,,,,,,Oui,
99,Après la signature de l’acte,,À rafraîchir,2,,,,30 m²,Américaine équipée,,2,,12 m²,16 m²,1,,1,1,Oui,57 m²,,Connecté,Non,Non,,,Oui,Non,,,,572 kWh/m²,G,Non communiqué,115 kg CO₂/m²,Non communiqué,Gaz,375.000 €,,,768 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4450432,,18 janvier 2022 - 00:00,125 m²,,,,,Oui,Non,,Oui,,,,,,1933,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,,Excellent état,2,,,,182 m²,,,Hyper équipée,,4,19 m²,10 m²,20 m²,2,1,3,Non,,182 m²,Connecté,Oui,85 m²,25 m²,,,,,,,209 kWh/m²,D,20111126-0000037160-01-1,44 kg CO₂/m²,Non communiqué,Oui,80 m²,,650.000 €,Non,"Avenue Orban 240
1150 - Woluwe-St-Pierre",,1 juillet 2021 - 00:00,,Oui,9 m²,,,Oui,Oui,,Gaz,,,,,Oui,1960,1.663 €,,,,,,,6 m,,,,,Non,,6 m,,4362507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,À définir,,À restaurer,2,,1,Urbain,,,Oui,Semi-équipée,,5,,,,3,3,3,Non,Non,215 m²,Connecté,Oui,84 m²,35 m²,Non,Non,Non,Non,Non,Non,409 kWh/m²,G,20210721-0000592918-01-0,82 kg CO₂/m²,Non communiqué,Oui,,,670.000 €,Non,,,,,,,,Non,,Oui,Nord-ouest,Gaz,Non,,,Non,Non,1931,1.233 €,,,,,,,,,,Oui,,,,,,,Oui,,Oui,Non,Non,Non,Non,Oui,Toutes sortes,,,,Nord-ouest,Non,Non,Non,Non,Oui,,,,,,,,,,,
102,Après la signature de l’acte,,Bon,2,2,1,,236 m²,37 m²,Oui,Hyper équipée,9 m²,4,15 m²,14 m²,10 m²,1,,2,Non,,267 m²,Connecté,Oui,267 m²,15 m²,,,,,,,201 kWh/m²,D,Non communiqué,40 kg CO₂/m²,Non communiqué,Oui,236 m²,Zone non inondable,690.000 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",3963248,,,Oui,9 m²,,,,Oui,,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,1969,3.433 €,,,,,,,6.5 m,,,,Oui,Non,,6.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Après la signature de l’acte,,Bon,3,1,2,,52 m²,Oui,Hyper équipée,16 m²,4,24 m²,18 m²,14 m²,11 m²,1,2,Oui,1514 m²,,Connecté,Non,1000 m²,25 m²,Non,Oui,Non,,,,294 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,1.050.000 €,,,4.015 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4425418,,1 janvier 2022 - 00:00,230 m²,,2,,,Oui,Non,,Oui,,,,,,1970,Non,,,,,,,11 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Après la signature de l’acte,,Excellent état,4,1,4,,340 m²,35 m²,Oui,Hyper équipée,23 m²,6,22 m²,16 m²,15 m²,3,,4,Non,Oui,821 m²,Connecté,Oui,,25 m²,Non,Non,Oui,Oui,,Non,328 kWh/m²,F,Non communiqué,85 kg CO₂/m²,Non communiqué,Oui,460 m²,,1.425.000 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4337352,30 juin 2020 - 00:00,,,13 m²,19 m²,,Oui,Oui,,Mazout,,,,,,1957,7.275 €,,,,,,,9 m,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Immédiatement,,Bon,2,2,2,,40 m²,Oui,Semi-équipée,20 m²,7,30 m²,16 m²,14 m²,22 m²,4,6,Non,460 m²,,Connecté,Non,360 m²,60 m²,391 kWh/m²,,,,,,,G,Non communiqué,75 kg CO₂/m²,Non communiqué,Gaz,,,1.550.000 €,4.010 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4400026,,31 décembre 2021 - 00:00,550 m²,,15 m²,4,,,,,Zone non inondable,,,,,,1903,Non,,,,,,,8 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Après la signature de l’acte,,Excellent état,4,,,,480 m²,50 m²,Oui,Américaine hyper-équipée,42 m²,6,23 m²,18 m²,16 m²,1,3,4,,,1270 m²,Connecté,Oui,,,Non,Non,Oui,Oui,Oui,Non,147 kWh/m²,C,Non communiqué,29 kg CO₂/m²,Non communiqué,,562 m²,,2.985.000 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4343651,1 septembre 2021 - 00:00,,,9 m²,14 m²,,Oui,Oui,,Gaz,,,,,,1955,6.246 €,,,,,,,17 m,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,30 m²,,,,50 m²,,,,,,
107,Après la signature de l’acte,,Excellent état,4,,,,480 m²,50 m²,,Hyper équipée,36 m²,5,21 m²,20 m²,20 m²,1,4,3,,,1270 m²,Connecté,Oui,,67 m²,,,,,,,147 kWh/m²,C,20210309-0000584219-01-7,29 kg CO₂/m²,Non communiqué,,,Zone non inondable,2.985.000 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/24128,,,Oui,16 m²,13 m²,,Oui,Oui,,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,1950,6.246 €,,,,,,,16 m,,Non,,,,,,,,Oui,,,,,,,,,,,,,,,,,,30 m²,,,,,,,,,,
108,Après la signature de l’acte,,Excellent état,4,2,1,,600 m²,93 m²,Oui,Hyper équipée,22 m²,8,25 m²,25 m²,20 m²,6,2,5,Non,Oui,1367 m²,Connecté,Non,1367 m²,40 m²,Non,Non,,Oui,,Oui,159 kWh/m²,D,20140924-0000249394-01-3,34 kg CO₂/m²,Non communiqué,Oui,,Zone non inondable,3.800.000 €,Non,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4037299,1 janvier 2000 - 00:00,,,16 m²,16 m²,,Oui,Oui,,Gaz,,,,,,2005,10.561 €,,,,,,,13 m,,,,,,,,,,,,,,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,
109,Selon le locataire,,Excellent état,2,1,,,242 m²,,,Équipée,,5,,,,1,,,,,170 m²,Connecté,Oui,,,,,,,,,356 kWh/m²,G,20160626-0000345306-01-2,76 kg CO₂/m²,Non communiqué,,,,950.000 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27662,,,,,,,Oui,Oui,,Gaz,,,,,,1930,2.516 €,,,,,,,7 m,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Après la signature de l’acte,,À rénover,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",100 m²,25 m²,Oui,Équipée,8 m²,2,12 m²,11 m²,,1,1,2,Non,,160 m²,,,55 m²,5 m²,,,,,,,489 kWh/m²,G,32223,98 kg CO₂/m²,Non communiqué,Oui,,,430.000 €,Non,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4505972,,,Oui,,,,,Oui,,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,1930,810 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,,À rafraîchir,2,1,1,,140 m²,40 m²,,Équipée,8 m²,3,15 m²,14 m²,6 m²,1,,2,Non,,195 m²,,Non,90 m²,,,,,,,,220 kWh/m²,E,20120513-0000086081-01-8,48 kg CO₂/m²,Non communiqué,Oui,,Zone non inondable,645.000 €,Non,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4405309,30 septembre 2021 - 00:00,,,,,,Oui,Oui,,Gaz,,,,,,1957,1.841 €,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Après la signature de l’acte,Bruxelles (19 communes),Bon,3,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,40 m²,,Semi-équipée,,3,18 m²,12 m²,,1,1,2,Non,,277 m²,Connecté,Oui,100 m²,20 m²,,,,,,,242 kWh/m²,E,20210526-0000589412-01-2,48 kg CO₂/m²,Non communiqué,Oui,,,650.000 €,Non,"Avenue de la Forêt de Soignes, 327
1640 - RHODE-SAINT-GENESE",4372187,,,,,,,Oui,Oui,,Gaz,,,,,,1955,2.069 €,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,6 m²,,,,,,,,,,
113,Après la signature de l’acte,,À rénover,2,1,2,,54 m²,Oui,Semi-équipée,16 m²,4,8 m²,8 m²,9 m²,16 m²,1,2,Oui,280 m²,,Non,,157 m²,15 m²,303 kWh/m²,,,,,,,F,Non communiqué,64 kg CO₂/m²,Non communiqué,Gaz,695.000 €,,,2.429 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4392113,,,210 m²,,1,,,Oui,Non,,Oui,,,,,,1956,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,,Excellent état,3,1,1,,70 m²,Équipée,,9 m²,5,34 m²,14 m²,11 m²,14 m²,2,4,Oui,400 m²,,Non,,170 m²,40 m²,Non,Non,Oui,Non,,,287 kWh/m²,F,Non communiqué,57 kg CO₂/m²,Non communiqué,Gaz,1.195.000 €,,,3.715 €,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4500943,,30 septembre 2021 - 00:00,230 m²,,22 m²,2,,Non,,,Oui,,,,,Oui,1956,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,,Excellent état,4,1,1,,440 m²,45 m²,,Hyper équipée,43 m²,5,22 m²,20 m²,17 m²,4,3,5,,,600 m²,Connecté,Oui,,45 m²,,,,,,,39 kWh/m²,A,Non communiqué,8 kg CO₂/m²,Non communiqué,,,,1.650.000 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27678,,,,16 m²,16 m²,,Oui,Oui,,Gaz,,,,,,2020,6.643 €,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,À définir,,Excellent état,4,2,,,65 m²,Oui,Hyper équipée,22 m²,7,16 m²,16 m²,25 m²,20 m²,1,Oui,,Oui,Oui,2 m²,,,,Non,Non,Oui,,Oui,Oui,159 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,600 m²,3.800.000 €,,10.561 €,"Chaussée de Waterloo 1382
1180 - Uccle",3320204,,,600 m²,,25 m²,5,,Oui,Non,,Oui,,,,,,2005,Non,,,,,,,13 m,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,,À rafraîchir,4,3,3,,475 m²,54 m²,Oui,Équipée,21 m²,7,22 m²,12 m²,12 m²,3,1,4,Non,,1195 m²,Connecté,Non,1000 m²,76 m²,,,,,,,316 kWh/m²,F,582522,63 kg CO₂/m²,Non communiqué,,666 m²,Zone non inondable,1.775.000 €,Non,"Avenue Orban 240
1150 - Woluwe-St-Pierre",,2 août 2021 - 00:00,,Oui,12 m²,12 m²,,Oui,Oui,,,,,,,,1970,8.299 €,,,,,,,10 m,,,,,,,25 m,,4311294,Oui,,,,,,,,,,,,,,,,,,30 m²,,,,,,,,,,
118,Après la signature de l’acte,,Excellent état,2,1,,,135 m²,33 m²,,Américaine hyper-équipée,,3,33 m²,14 m²,12 m²,1,,1,Non,,210 m²,,Oui,100 m²,21 m²,,,,,,,235 kWh/m²,E,Non communiqué,46 kg CO₂/m²,Non communiqué,Oui,,Zone non inondable,650.000 €,Non,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",4517188,,,,,,,Oui,,,Gaz,,,,,,1954,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,3 m²,,,,,,,,,,
119,Après la signature de l’acte,,Excellent état,3,1,1,,41 m²,Pas équipée,,13 m²,5,20 m²,14 m²,14 m²,14 m²,1,3,Oui,Oui,Non,Connecté,Non,145 m²,16 m²,Non,Oui,Oui,,Oui,,104 kWh/m²,C,Non communiqué,20 kg CO₂/m²,Non communiqué,Gaz,Zone non inondable,,1.245.000 €,Non,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4499073,,14 octobre 2021 - 00:00,220 m²,,10 m²,2,,Oui,Non,,Oui,,,,,,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Après la signature de l’acte,,Bon,4,1,4,,Américaine équipée,,,6,,30 m²,20 m²,10 m²,15 m²,4,,Oui,,Non,Connecté,Non,650 m²,50 m²,Non,Non,Oui,Oui,Oui,,322 kWh/m²,F,20200210,84 kg CO₂/m²,Non communiqué,Mazout,1.425.000 €,,,Non,"Avenue Louise 200
1050 - Bruxelles",3967621,,,380 m²,,9 m²,3,,Oui,,,Oui,,,,,,1960,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Après la signature de l’acte,,À rafraîchir,4,3,3,,54 m²,Oui,Équipée,21 m²,7,58 m²,22 m²,12 m²,12 m²,Oui,,,1195 m²,,Connecté,Non,200 m²,Oui,,,,,,,,F,20210211-0000582522-01-4,63 kg CO₂/m²,Non communiqué,Gaz,,,,8.299 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4491454,,1 août 2021 - 00:00,475 m²,,12 m²,3,,,Non,,1.775.000 €,,,,,,1969,Non,,,,,,,,316 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
