,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Chambres,Salles de bains,Surface de bureau,Bureau,Cave,Grenier,Surface du terrain,Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Parkings intérieurs,Salon,Salle à manger,Dressing,Toilettes,Buanderie,Espace professionnel,Isolé,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Largeur de la façade à rue,Salles de douche,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Orientation de la terrasse,Obligation de construire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Niveau E (performance énergétique globale),Disponible le,Surface de la cuisine,Surface de la cave,Surface du grenier,Largeur du terrain à rue,Attestation as-built,Visite virtuelle,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Orientation du jardin,Nom de l'agent,Surface constructible totale au sol,Autorisation de lotissement,Revenu mensuel actuel,Site internet,Jardin,Description libre du PEB,Charges mensuelles,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Nombre d'annexes,Nom du bien,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
69,Après la signature de l’acte,,1918,À rafraîchir,2,,,190 m²,26 m²,,Équipée,5,3,,,Oui,Oui,57 m²,,,324 kWh/m²,F,Non communiqué,70 kg CO₂/m²,Non communiqué,Gaz,Oui,385.000 €,990 €,Non,"Boulevard du Souverain 105
1160 - Auderghem",,,,,,3,,,,Non,,,,,,Connecté,Oui,,,,,,4.92 m,1,,,,,,,,,,,,,,,,,,,,,1 septembre 2021 - 00:00,,,,,,,10 m²,12 m²,12 m²,,12 m²,18 m²,,,,,,4406035,,,,,,,,,,,,,,,,,,,,
70,Après la signature de l’acte,,1920,À rénover,2,,"Zone d'habitat (résidentiel, urbain ou rural)",90 m²,25 m²,1,,2,1,,,,,70 m²,15 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,350.000 €,,Non,"Rue Abbé Cuypers 3
1040 - Etterbeek",,,,,,2,,,,,,,,,,,Oui,,,,,,4 m,,,,,,,,,,,,,,,,Sud-ouest,,,,,,,6 m²,35 m²,,,,,14 m²,14 m²,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,
71,Immédiatement,,1950,Excellent état,2,,,196 m²,40 m²,,Américaine hyper-équipée,4,2,,Oui,Oui,Oui,300 m²,190 m²,,397 kWh/m²,G,Non communiqué,77 kg CO₂/m²,Non communiqué,Gaz,Oui,599.000 €,1.281 €,Non,"Boulevard du Souverain 105
1160 - Auderghem",,,,,,3,,,,Non,,,,,,Connecté,Oui,,,,,,5 m,,35 m²,,Non,Non,,Oui,,,,,Non,,,,,,,,,,,,,,,,,15 m²,20 m²,25 m²,,,,,,,,,4407819,,,,,,,,,,,,,,,,,,,,
72,Après la signature de l’acte,,1930,À rénover,3,,,115 m²,15 m²,,Pas équipée,3,1,8 m²,Oui,Oui,Oui,230 m²,70 m²,,1229 kWh/m²,G,Non communiqué,194 kg CO₂/m²,Non communiqué,,,449.000 €,716 €,Non,"Boulevard du Souverain 105
1160 - Auderghem",,,,,,2,,,,Non,,,,,,Connecté,Oui,,,,,,5.3 m,8,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,,,13 m²,,,,,,16 m²,12 m²,13 m²,,,,,,,,,4427044,,,,,,,,,,,,,,,,,,,,
73,À définir,,1962,À rénover,3,,,202 m²,43 m²,,Hyper équipée,4,1,,Oui,Oui,Oui,331 m²,175 m²,Oui,599 kWh/m²,G,Non communiqué,119 kg CO₂/m²,Non communiqué,,,725.000 €,2.379 €,Non,"Boulevard du Souverain 105
1160 - Auderghem",,,,,,2,,,,Non,,,,,,Connecté,Oui,,,,,,7 m,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,,,,8 m²,,,,,,10 m²,16 m²,18 m²,Oui,,,,,,,,4404959,,,,,,,,,,,,,,,,,,,,
74,Après la signature de l’acte,,1961,À rénover,3,1,,145 m²,30 m²,,Semi-équipée,3,,,,Oui,,237 m²,115 m²,,410 kWh/m²,G,Non communiqué,82 kg CO₂/m²,Non communiqué,Gaz,Oui,495.000 €,,Non,"Avenue L. Mahillon , 58
1030 - Schaerbeek",3425 - 1542,1,,,,2,,,,Non,,,,,,,Oui,,,,,,,1,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,
75,Après la signature de l’acte,,,À rénover,2,,,282 m²,,,Pas équipée,5,,,,Oui,,,35 m²,,461 kWh/m²,G,20201202-0000579117-01-8,92 kg CO₂/m²,Non communiqué,,,635.000 €,,Oui,"Avenue des Volontaires 102 bte 7
1040 - Etterbeek",,,,,,5,,,,Non,,,,,,,Oui,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,9022 - 354827,,,,,,,,,,,,,,,,,,,,
76,Après la signature de l’acte,,,À rénover,2,,,282 m²,,,Pas équipée,5,,,,Oui,,,35 m²,,461 kWh/m²,G,20201202-0000579117-01-8,92 kg CO₂/m²,Non communiqué,,,635.000 €,,Non,"Avenue des Volontaires 102 bte 7
1040 - Etterbeek",,,,,,5,,,,Non,,,,,,,Oui,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,8834 - 354827,,,,,,,,,,,,,,,,,,,,
77,Après la signature de l’acte,Bruxelles Est + Sud/Est,1961,À rénover,2,,Urbain,18 m²,Oui,,14 m²,25 m²,1,,Oui,Oui,Non,Oui,50 m²,,G,202110331-00000585765-01-2,96 kg CO₂/m²,Non communiqué,Gaz,Oui,Non,Non,,"Avenue de Tervueren 446
1150 - Bruxelles",4512630,,,,Hyper équipée,,Oui,,,,115 m²,,,,,,,50 m²,,,,,,,,480 kWh/m²,,,,,,,,,,,,,Faire offre à partir de 425.000 €,,,,,,,,4,,,,,155 m²,13 m²,9 m²,16 m²,,1,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,Bruxelles Sud,1952,À rénover,2,1,Isolé,180 m²,,,Semi-équipée,3,2,,,,,98 m²,40 m²,Oui,348 kWh/m²,G,Non communiqué,70 kg CO₂/m²,Non communiqué,Gaz,,575.000 €,,Oui,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",,1,Oui,,,3,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 janvier 2000 - 00:00,,,,,,,18 m²,12 m²,27 m²,,,,,,,,,4514075,,,,,,,,,,,,,,,,,,,,
79,Après la signature de l’acte,Bruxelles Sud,1952,À rénover,2,1,Isolé,180 m²,,,Semi-équipée,3,2,,,,,98 m²,40 m²,Oui,348 kWh/m²,G,Non communiqué,70 kg CO₂/m²,Non communiqué,Gaz,,575.000 €,,Non,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",,1,Oui,,,3,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,1 janvier 2000 - 00:00,,,,,,,18 m²,12 m²,27 m²,,,,,,,,,4509313,,,,,,,,,,,,,,,,,,,,
80,À définir,,1950,À rafraîchir,3,1,,256 m²,31 m²,,Équipée,4,2,9 m²,Oui,Oui,,525 m²,120 m²,,380 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,1.200.000 €,,Non,"Avenue Louise 589
1050 - Ixelles",4517724,1,,Oui,,3,,,,Non,,,,,,,,,,,,,8 m,2,80 m²,,Oui,Non,,,,,,,Non,,,,,,,,Zone non inondable,,1 avril 2022 - 00:00,18 m²,,,12.3 m,,,10 m²,11 m²,18 m²,,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,1956,À rénover,2,,,224 m²,,,,5,2,6 m²,Oui,,,178 m²,52 m²,,96297 kWh/m²,G,20210901-000594891-01-5,89 kg CO₂/m²,Non communiqué,Gaz,Non,600.000 €,1.849 €,Non,"Place du Châtelain 35
1050 - Ixelles",,,,Oui,,,,Oui,,Non,Non,,,,,Non connecté,Oui,Non,Non,Non,Non,,,,6 m²,,,,,,,,,,,,,Autre type de zone,,,Non,Non,Zone non inondable,96297,,9 m²,109 m²,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,
82,Après la signature de l’acte,,1935,À rafraîchir,2,2,,33 m²,Américaine hyper-équipée,,3,1,3,Oui,Oui,Non,,2 m²,,,F,Non communiqué,68 kg CO₂/m²,Non communiqué,Non,Oui,550.000 €,1.720 €,Non,"Rue J. Hazard, 35
1180 - Uccle",216113 - 111115066,,,,,,Oui,65 m²,,,104 m²,,,,,,,,,,,,,6 m,,345 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,180 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Après la signature de l’acte,,1935,À rafraîchir,2,2,,33 m²,Américaine hyper-équipée,,3,1,3,Oui,Oui,Non,,2 m²,,,F,Non communiqué,68 kg CO₂/m²,Non communiqué,Non,Oui,550.000 €,1.720 €,Non,"Rue J. Hazard, 35
1180 - Uccle",218713 - 111115066,,,,,,Oui,65 m²,,,104 m²,,,,,,,,,,,,,6 m,,345 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,180 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Après la signature de l’acte,,1962,À rafraîchir,2,2,,175 m²,43 m²,,Équipée,4,2,9 m²,Oui,Oui,Oui,231 m²,100 m²,,305 kWh/m²,F,Non communiqué,59 kg CO₂/m²,Non communiqué,Gaz,Oui,815.000 €,2.528 €,Non,"Avenue Louise 589
1050 - Ixelles",4520214,1,,,,3,,,,Non,,,,,,,,,,,,,7 m,2,,,Non,Non,Oui,,,,,,Non,,,,,,,,Zone non inondable,,27 septembre 2021 - 00:00,9 m²,,,,,,22 m²,14 m²,15 m²,,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Après la signature de l’acte,,1968,Bon,3,2,,260 m²,,,Américaine hyper-équipée,4,3,26 m²,Oui,,,450 m²,265 m²,,154 kWh/m²,D,Non communiqué,30 kg CO₂/m²,Non communiqué,Gaz,Oui,925.000 €,3.443 €,Non,"Avenue Louise 589
1050 - Ixelles",4521046,1,Oui,Oui,,3,,,,Non,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,28 septembre 2021 - 00:00,12 m²,,,,,,22 m²,24 m²,16 m²,,17 m²,,,,,,,,,,,60 m²,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,,1935,Excellent état,4,,,375 m²,35 m²,1,,4,1,12 m²,Oui,Oui,,,,,228 kWh/m²,E,20210713-0000592341-02-0,46 kg CO₂/m²,Non communiqué,Gaz,Oui,1.850.000 €,1.851 €,Non,"Avenue Louise 404a
1050 - Ixelles",,1,,,Non,4,,,,Non,Non,Non,Non,Non,Oui,Non connecté,Non,Non,Non,Non,Non,,,1,,Non,Non,Non,Non,Oui,,Non,,,Non,,"Oui, pas conforme",,,,Oui,Non,,,,,,,,"Oui, conforme",,38 m²,18 m²,15 m²,Oui,13 m²,,,,375 m²,Non,,5857049,,,,,,,,,,,,,,,,,,,,
87,Oui,,,,,,,,,,1,Oui,,,,,400 kWh/m²,G,,,20210607-0000590227-01-9,Non communiqué,Non communiqué,"Zone d'hab. à prédom. résid., ZICHEE",250.000 €,,,,"Rue du Fossé aux Loups, 38 / 1
1000 - Bruxelles ville",Emilie SEMINCKX,,,,Équipée,2,,,,,,,,,,,,,,,,,,,,96 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Non,"mar. 19-26/10, 2-9/11 de 18-20h et sam. 23-30/10, 6/11 de 16-18h. MASQUE OBLIGATOIRE.",Après la signature de l’acte,528 €,Non,,,,,,,,,,,
88,,,,,,,,,,,1,Oui,,,141 m²,522 kWh/m²,,G,,,20200608-0000569390-01-2,Non communiqué,Non communiqué,Gaz,Non,Non,400.000 €,,"Boulevard du Souverain, 288
1160 - Auderghem",Françoise ANISET,,,,3,,,,,,,,,,,,,,,Oui,,"Zone d'hab. à prédom. résid., ZICHEE. Le bien a été transformé et agrandi sans permis d’urb.",,,,Oui,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Équipée,,,,,,,,,,,,,,,,,Non,(àpd. 4/9 au 22/9 incl.) : mercr. et sam. de 13h30-15h30.,15 octobre 2021 - 00:00,411 €,Non,,,,,,,,,,,
89,Après la signature de l’acte,,1967,Bon,3,1,,256 m²,21 m²,,,6,2,,Oui,Oui,,530 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,1.200.000 €,,Non,"Avenue Legrand 30
1050 - Ixelles",,1,,Oui,,3,,,,,,,,,,Connecté,Oui,,,,,,7 m,,50 m²,,,,Oui,Oui,,,,,,,,,,,,,,,,14 m²,,,,,,14 m²,13 m²,13 m²,,10 m²,,,,258 m²,,,4516787,,,,,,,,,,,,,,,,,,,,
90,1,,,,,,,,,,1,1,Oui,,,Oui,352 kWh/m²,,,G,Non communiqué,Non communiqué,Non communiqué,350.000 €,1.921 €,,,,"avenue de la Houlette, 42 / 11
1170 - Watermael-Boitsfort",Vincent PIMPURNIAUX,,,Oui,Équipée,5,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Non,(àpd. 25/9 au 20/10/21 incl.) : mercr. de 17-19h et sam. de 10-12h. MASQUE OBLIGATOIRE.,Après la signature de l’acte,,Non,,,,,,,,,,,
91,,,,Bon,2,,,148 m²,,,Équipée,3,1,,,,,,,Oui,542 kWh/m²,G,202009300000575723014,105 kg CO₂/m²,Non communiqué,Gaz,,449.000 €,,Non,"Avenue Louise 409
1050 - Ixelles",4530075,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Après la signature de l’acte,,1950,Excellent état,3,2,,220 m²,45 m²,,Hyper équipée,4,2,,,Oui,,295 m²,295 m²,,431 kWh/m²,G,Non communiqué,86 kg CO₂/m²,Non communiqué,Gaz,Oui,885.000 €,2.426 €,Non,"Rue Voot 4
1200 - Woluwe",,1,,,,2,,,,Non,,,,,,,Oui,,,,,,,,40 m²,,,,,,,,,,,,,,,,,,,,21 décembre 2021 - 00:00,14 m²,,,,,,22 m²,21 m²,26 m²,,15 m²,,,,,,,4448962,,,,,,,,,,,,,,,,,,,,
93,À la livraison,,,,,,,,,,,,,,,,,,,,45 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Rue Defacqz 40
1050 - Ixelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 décembre 2022 - 00:00,,,,,,,,,,,,,,,,,,4362393,,,,,,,,,,,,,,,,,,,,
94,4,,,,,,,,,,,230 m²,,,409 kWh/m²,,,G,,,20180914-0000535195-01-2,Non communiqué,Non communiqué,"Urb.: zone d'hab. à prédominance résidentiel, ZICHEE",450.000 €,,,,"Paradijsvogelslaan, 24
1160 - Auderghem",Ingrid D'OULTREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Non,"(àpd 18/9 au 4/10 incl.): sam. de 10-12h et lundi de12-14h, masque obligatoire.",Après la signature de l’acte,2.243 €,Non,,,,,,,,,,,
95,Après la signature de l’acte,,,À rénover,2,,,445 m²,,,,5,4,,Oui,,,463 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,1.290.000 €,,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",,,,,,,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,030/27458,,,,,,,,,,,,,,,,,,,,
96,Après la signature de l’acte,,1912,À rénover,2,,,125 m²,29 m²,,Semi-équipée,3,1,,Oui,Oui,,160 m²,68 m²,,368 kWh/m²,G,Non communiqué,74 kg CO₂/m²,Non communiqué,Gaz,Oui,435.000 €,,Non,"Rue Voot 4
1200 - Woluwe",,,,,,1,,,,Non,,,,,,Connecté,Oui,,,,,,4 m,,8 m²,,,,,,,,,,,,,,,,,,,,,8 m²,,,4 m,,,14 m²,9 m²,22 m²,,,,,,,,,4233953,,,,,,,,,,,,,,,,,,,,
97,Après la signature de l’acte,,,À restaurer,3,,,445 m²,42 m²,,Hyper équipée,5,4,30 m²,Oui,Oui,,455 m²,190 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,1.290.000 €,,Non,"Avenue Legrand 30
1050 - Ixelles",,,,Oui,,4,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 m²,,,14 m,,,30 m²,25 m²,25 m²,,20 m²,20 m²,,,635 m²,,,4326623,,,,,,,,,,,,,,,,,,,,
98,À définir,,,À rénover,,,,160 m²,,,Semi-équipée,3,,,,Oui,Oui,,,Oui,Non communiqué,Non communiqué,201810100000536832015,Non communiqué,Non communiqué,,,395.000 €,,Non,"Chaussée de Bruxelles 18
1410 - Waterloo",,,,,Non,1,,,,Non,,,,,,Connecté,Oui,Non,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Sud,,,,,,,,,,,,,,,,Oui,,,Sud,,,,,,Oui,,,,,,,,,,,,,,,,,,,
99,Après la signature de l’acte,,1920,À rénover,2,,Isolé,130 m²,,,Pas équipée,2,1,,,,,90 m²,40 m²,Oui,440 kWh/m²,G,20210908-0000595329-01-0,88 kg CO₂/m²,Non communiqué,Gaz,Oui,349.000 €,401 €,Non,"Jozef de Vleminckstraat 4B
1853 - Strombeek-Bever",,,,,,1,,,,Non,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352 m,,,25 m²,14 m²,,,,,,,,,,4529081,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,,1935,À rénover,2,,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,15 m²,,Pas équipée,4,,,Non,,,175 m²,65 m²,,422 kWh/m²,G,20210719­0000592829­01­3,85 kg CO₂/m²,Non communiqué,Gaz,Oui,485.000 €,,Non,,,,,Oui,Oui,3,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Connecté,Oui,Non,Non,Non,Non,,5 m,1,15 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",Est,Non,Non,Non,,,,8 m²,51 m²,20 m²,5 m,,,15 m²,12 m²,15 m²,Oui,13 m²,,Est,,55 m²,Non,,,,,,,,,,,,,,,,,,,,,,
101,Immédiatement,,1912,À rénover,2,,"Zone d'habitat (résidentiel, urbain ou rural)",210 m²,16 m²,,Équipée,4,1,9 m²,Oui,,,210 m²,150 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,600.000 €,1.232 €,Non,,,,,Oui,Oui,2,Oui,Oui,,Non,Non,Oui,Non,Non,Non,Connecté,Oui,Non,Non,Non,Oui,Toutes sortes,6 m,,22 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,,Nord-ouest,Non,Non,Non,,,,5 m²,30 m²,50 m²,,,,12 m²,13 m²,16 m²,Oui,16 m²,,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,,,,
102,Immédiatement,,,Bon,3,1,,,35 m²,,,4,1,,Non,,,200 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,650.000 €,1.570 €,Non,,,1,,Oui,Non,2,,Non,,Non,Non,Non,Non,Non,Non,Connecté,Oui,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 m²,15 m²,10 m²,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,1903,Excellent état,2,1,,100 m²,,,,4,,,,,,353 m²,,,602 kWh/m²,G,20210906-0000595086-01-0,121 kg CO₂/m²,Non communiqué,Gaz,,,,Non,"2 Rue Solleveld
1200 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Energie primaire annuelle totale 76,809 kWhEP/an",,,,,,,,,,500.000 €,75.000 €,1.300 €,Oui,Non,Oui,1,74,15 ans
104,,,2000,,2,,,200 m²,,,Équipée,4,2,,,,,260 m²,,,130 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Non,795.000 €,,Non,"Chaussée de la Hulpe 188
1170 - Watermael-Boitsfort",,,Oui,,,,,,,Non,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,11207,,,,,,,,,,,,,,,,,,,,
105,,,1930,,2,,,150 m²,,,Équipée,3,1,,,,,135 m²,50 m²,,196 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Non,565.000 €,,Non,"Chaussée de la Hulpe 188
1170 - Watermael-Boitsfort",,,Oui,,,,,,,Non,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Sud-est,,,,,11221,,,,,,,,,,,,,,,,,,,,
106,,,1935,,4,,,360 m²,,,Équipée,4,,,,,,750 m²,,,228 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Non,1.850.000 €,,Non,"Chaussée de la Hulpe 188
1170 - Watermael-Boitsfort",,,Oui,,,,,,,Non,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,11157-1,,,,,,,,,,,,,,,,,,,,
107,,,1991,,3,,,230 m²,,,Équipée,5,2,,,,,350 m²,180 m²,,280 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Non,825.000 €,,Non,"Chaussée de la Hulpe 188
1170 - Watermael-Boitsfort",,1,Oui,,,,,,,Non,,,,,,,,Non,Non,Non,,,,,26 m²,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Ouest,,,,,11214,,,,,,,,,,,,,,,,,,,,
108,,,1989,,2,1,,200 m²,45 m²,,Équipée,4,2,,,,,293 m²,120 m²,,154 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Non,795.000 €,,Non,"Chaussée de la Hulpe 188
1170 - Watermael-Boitsfort",,1,,,,,,,,Non,,,,,,,,Non,Non,Non,,,,,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,11137,,,,,,,,,,,,,,,,,,,,
109,,,1930,,2,,,120 m²,,,,3,1,,,,,170 m²,45 m²,,277 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Non,525.000 €,,Non,"Chaussée de la Hulpe 188
1170 - Watermael-Boitsfort",,1,,,,,,,,Non,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Nord-ouest,,,,,11084-1,,,,,,,,,,,,,,,,,,,,
110,,,1910,,2,,,90 m²,,,,1,1,,,,,,,,528 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,Non,365.000 €,,Non,"Chaussée de la Hulpe 188
1170 - Watermael-Boitsfort",,,Oui,,,1,,,,Non,,,,,,,,Non,Non,Non,,,,,30 m²,,,,,,,,,,,,,,Nord-ouest,,,,,,,,,,,Non,,,,,,,,,,,,,11140-1,,,,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,,1928,Fraîchement rénové,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",200 m²,,1,Hyper équipée,5,2,,Non,Oui,Oui,288 m²,175 m²,,148 kWh/m²,C,20210805-0000593678-01-0,29 kg CO₂/m²,Non communiqué,Gaz,Oui,950.000 €,2.475 €,Non,,,1,Oui,Oui,Non,3,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Connecté,Oui,Non,Non,Non,Oui,Maison bel-étage,6 m,,30 m²,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",Sud-ouest,,,,,,,,,,,,,25 m²,15 m²,15 m²,Oui,10 m²,15 m²,Sud-ouest,,,,,,,,,,,,,permis d'urbanisme PU/29234-12 délivré le 21-05-2013 et permis d'urbanisme modificatif PU/29335-13 délivré le 17-09-2013,,,,,,,,,,,,
112,Après la signature de l’acte,,1930,À rafraîchir,2,,,160 m²,30 m²,,Semi-équipée,3,1,,,Oui,,160 m²,160 m²,,251 kWh/m²,E,20210430-000587911-01-0,48 kg CO₂/m²,Non communiqué,Gaz,Oui,545.000 €,,Non,"Place Albert 1er 9
5081 - Saint-Denis-Bovesse",,,,Oui,,2,,,,Non,,,,,,,Oui,,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,18 m²,,,5.5 m,Non,,20 m²,20 m²,13 m²,,,,Sud-est,,,,,1279 - 202542,,,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,,1935,Bon,2,,,182 m²,14 m²,,Équipée,4,1,4 m²,Oui,Oui,Oui,129 m²,56 m²,,223 kWh/m²,E,E+,44 kg CO₂/m²,Non communiqué,Gaz,,565.000 €,666 €,Non,"Rue de Rome 34
1060 - Saint-gilles",4416864,,,Oui,,2,,,,Non,,,,,,Connecté,Oui,,,,,,5.5 m,1,14 m²,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,Zone non inondable,,31 octobre 2021 - 00:00,10 m²,,,5.5 m,,,21 m²,14 m²,12 m²,Oui,12 m²,,,,59 m²,,,,,,,,,,,,,,,,,,,,,,,
114,Après la signature de l’acte,Héronnière,1959,À rénover,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,31 m²,,,3,1,,,Oui,,163 m²,60 m²,,331 kWh/m²,F,20210531-0000589773-01-7,80 kg CO₂/m²,Non communiqué,Gaz,Oui,499.000 €,1.616 €,Non,"Drève Louisa Chaudoir, 8
1160 - Auderghem",,2,,,,3,,,,Non,,Non,,,,,Oui,,,,,,6 m,1,16 m²,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Non,,,,,,,,Sud-ouest,,,,,27372 - 1007,,,,,,,,,,,,,,,,,,,,
