,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Chambres,Salles de bains,Surface de bureau,Bureau,Cave,Grenier,Surface du terrain,Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Parkings intérieurs,Salon,Salle à manger,Dressing,Toilettes,Buanderie,Espace professionnel,Isolé,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Largeur de la façade à rue,Salles de douche,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Orientation de la terrasse,Obligation de construire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Niveau E (performance énergétique globale),Disponible le,Surface de la cuisine,Surface de la cave,Surface du grenier,Largeur du terrain à rue,Attestation as-built,Visite virtuelle,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Orientation du jardin,Nom de l'agent,Surface constructible totale au sol,Autorisation de lotissement,Revenu mensuel actuel,Site internet,Jardin,Description libre du PEB,Charges mensuelles,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Nombre d'annexes,Nom du bien,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
49,Selon le locataire,,1930,Bon,2,,,190 m²,,,Américaine équipée,3,3,,,Oui,,,,,370 kWh/m²,G,20210414-0000586716--01-8,74 kg CO₂/m²,Non communiqué,Gaz,Oui,475.000 €,,Oui,"Boulevard du Souverain, 254
1160 - Auderghem",,,Oui,,,4,,,,Non,,,,,,,,,,,,,,2,,,Non,Non,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,,,,,,,,,,,25 m²,22 m²,18 m²,,,,,,,Non,,4382084,,,,,,,,,,,,,,,,,,,,
50,Après la signature de l’acte,,1934,Fraîchement rénové,2,1,,124 m²,37 m²,,Américaine hyper-équipée,2,1,,,Oui,Oui,122 m²,,,242 kWh/m²,E,Non communiqué,48 kg CO₂/m²,Non communiqué,,Oui,499.000 €,,Non,"Boulevard du Souverain 105
1160 - Auderghem",,,,,,2,,,,Non,,,,,,Connecté,Oui,,,,,,5.9 m,,18 m²,,Non,Non,Oui,,,,,,Non,,,,,,,,,,,11 m²,,,4.5 m,,,14 m²,18 m²,,,,,,,,,,4520860,,,,,,,,,,,,,,,,,,,,
51,Après la signature de l’acte,,1955,Bon,2,1,,300 m²,25 m²,,Américaine équipée,6,2,11 m²,Oui,,Oui,185 m²,60 m²,,444 kWh/m²,G,202006170000569945014,90 kg CO₂/m²,Non communiqué,,Oui,795.000 €,,Oui,"Drève Richelle , 33
1410 - Waterloo",,1,,Oui,,3,,,,Non,,,,,,Connecté,Oui,,,Oui,,,20 m,,40 m²,,Non,Non,Oui,,,,,,Non,,,,,,,,,,,,60 m²,,20 m,,,22 m²,12 m²,20 m²,,12 m²,25 m²,,,,,,4492593,,,,,,,,,,,,,,,,,,,,
52,Après la signature de l’acte,,1928,À rafraîchir,2,,,302 m²,,,Pas équipée,6,3,,,,Oui,,6 m²,,342 kWh/m²,F,F,68 kg CO₂/m²,Non communiqué,,Oui,845.000 €,,Oui,"Rue Defacqz 40
1050 - Ixelles",,,Oui,,,3,,,,Non,,,,,,Connecté,Oui,,,,,,5.8 m,3,6 m²,,Non,Non,Oui,,,,,,Non,,,,,,,,Zone non inondable,,8 septembre 2021 - 00:00,,,,4 m,,,15 m²,15 m²,15 m²,,14 m²,13 m²,,,,,,4498236,,,,,,,,,,,,,,,,,,,,
53,Après la signature de l’acte,,1955,Bon,2,1,,300 m²,25 m²,,Américaine équipée,6,2,11 m²,Oui,,Oui,185 m²,60 m²,,444 kWh/m²,G,202006170000569945014,90 kg CO₂/m²,Non communiqué,,Oui,855.000 €,,Non,"Drève Richelle , 33
1410 - Waterloo",,1,,Oui,,3,,,,Non,,,,,,Connecté,Oui,,,Oui,,,20 m,,40 m²,,Non,Non,Oui,,,,,,Non,,,,,,,,,,,,60 m²,,20 m,,,22 m²,12 m²,20 m²,,12 m²,25 m²,,,,,,4492576,,,,,,,,,,,,,,,,,,,,
54,1,,,,,,,,,,3,1,1,,,,218 m²,Oui,,353 kWh/m²,G,20210722-0000592963-01-4,Non communiqué,Non communiqué,445.000 €,,,,Non,"Lloyd Georgelaan, 11
1000 - BRUSSEL/BRUXELLES",Jean-Philippe MASQUELIERE,,Oui,Équipée,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,(àpd 25/8 au 25/9 incl.) : sam. de 10-12h et mercr. de 16-18h.,Après la signature de l’acte,,2.134 €,,,,,,,,,,,
55,,,,À rafraîchir,2,,,150 m²,27 m²,,Pas équipée,3,1,,Oui,,,,,,343 kWh/m²,F,Non communiqué,68 kg CO₂/m²,Non communiqué,,Oui,389.000 €,,Non,"Av d'Auderghem 40
1040 - Bruxelles",,,,,,2,,,,Non,Non,,,,,Non connecté,Non,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,Zone non inondable,,,15 m²,16 m²,,,,,29 m²,27 m²,11 m²,Oui,,,,,,Non,,SCH/01049,,,,,,,,,,,,,,,,,,,,
56,Après la signature de l’acte,,,Excellent état,3,1,Urbain,200 m²,42 m²,,Hyper équipée,4,2,,Non,,,180 m²,50 m²,,178 kWh/m²,D,Non communiqué,35 kg CO₂/m²,Non communiqué,Gaz,Oui,740.000 €,2.400 €,Non,,,1,,Oui,Oui,3,Oui,Non,,Non,Non,Oui,Non,Oui,Non,Connecté,Oui,Non,Non,Non,Oui,,7 m,,10 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,,Nord-est,,,Non,Zone non inondable,178,,10 m²,15 m²,,8 m,,,27 m²,15 m²,13 m²,Oui,12 m²,,Nord-est,,200 m²,Oui,,,,,,,,,,,,,,,,,,,,,,
57,Après la signature de l’acte,,1960,À rafraîchir,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",100 m²,29 m²,1,Semi-équipée,3,1,,,,,130 m²,,,392 kWh/m²,G,20210910-0000595451-01-8,78 kg CO₂/m²,Non communiqué,Gaz,Oui,465.000 €,1.561 €,Non,"Clos Domvart, 7
1332 - Genval",,1,,,,2,,,,Non,Oui,Oui,,,Oui,Connecté,Oui,,,,,,7 m,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,Zone non inondable,,,7 m²,10 m²,,7 m,,,12 m²,9 m²,9 m²,,,,Nord-est,,,Oui,,ACG INVEST SA,Oui,,,,,,,,,,,,,,,,,,,
58,Après la signature de l’acte,,1910,Bon,2,,,222 m²,47 m²,,Équipée,4,2,,Oui,Oui,,330 m²,245 m²,Oui,327 kWh/m²,F,Non communiqué,65 kg CO₂/m²,Non communiqué,Gaz,Oui,715.000 €,1.777 €,Oui,"Avenue du Hockey, 40
1150 - Woluwe-St-Pierre",,1,,,,3,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Sud-ouest,,,,,6315 - 4707,,,,,,,,,,,,,,,,,,,,
