,Largeur de la façade à rue,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Salles de bains,Toilettes,Bureau,Surface du grenier,Meublé,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Permis de bâtir obtenu,Surface constructible totale au sol,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Procédure pour violation de la réglementation urbanistique,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface de la chambre 4,Salles de douche,Surface de l'espace professionnel,Espace professionnel,Surface de la cave,Porte blindée,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Salle à manger,Parkings intérieurs,Parkings extérieurs,Surface du jardin,Surface de la chambre 5,Cave,Quartier ou lieu-dit,Référence externe,Terrasse,Grenier,Salon,Orientation du jardin,Orientation de la terrasse,Niveau E (performance énergétique globale),Surface de bureau,Jardin,Buanderie,Isolé,Combien de feux ouverts ?,Visite virtuelle,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes,Nom du bien,Nom de l'agent
136,,,,Équipée,,4,20 m²,13 m²,14 m²,Non,1,2,Non,10 m²,Non,277 m²,Oui,Non,Non,Non,,Connecté,Oui,Non communiqué,Non communiqué,12007-G-2012/0223/EP13247/A001/D01/SD001,Non communiqué,Non communiqué,Non,,Gaz,Non,Oui,,,,,,,,489.000 €,1.111 €,Non,,,À définir,,,2014,Excellent état,3,,18 m²,,,Non,,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Toutes sortes,Oui,,,,,,,,,,Oui,,,,,,Oui,Oui,,,,,,,,,
137,,175 m²,,,,3,,,,,2,2,,,Non,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,,,Zone non inondable,,595.000 €,,Non,"Heilig Hartplaats 3
2870 - Puurs",D2870-FI15.0061-1,,,Non,2020,Bon,2,Urbain,,,,,,,17 m²,,,,,,,,,,,,,,,,,,1,17 m²,,,,,,,,,,,,,,,,,,,,,,,
138,20 m,265 m²,48 m²,Hyper équipée,21 m²,3,25 m²,21 m²,19 m²,,1,2,,,,2202 m²,,,,,29 m,,,304 kWh/m²,D,2083685,Non communiqué,Non communiqué,,,Gaz,,Oui,Oui,265 m²,,,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",879.000 €,2.153 €,Non,"Bovenstraat 162
2880 - Bornem",,À définir,,,1992,,4,,,,,,,,,,,,,Oui,,Oui,,,Oui,,,,,,,2,4,,,,,4532157,Oui,Oui,,,,,,,,,,,,,,,,,
139,,277 m²,37 m²,Hyper équipée,17 m²,5,33 m²,20 m²,20 m²,,2,3,,,Non,1361 m²,,,Oui,Oui,20 m,Connecté,Oui,221 kWh/m²,C,0002412871,Non communiqué,Non communiqué,Non,,Gaz,,Oui,Oui,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",645.000 €,1.980 €,,"Oppuursdorp 1
2890 - Puurs-Sint-Amands",Muriel Michel,Immédiatement,,Non,2006,Excellent état,4,,13 m²,2,,,9 m²,,50 m²,,,,Oui,Oui,,Oui,,,,,,,,,,2,5,500 m²,15 m²,,,,,,,Sud-est,Sud,,,,Oui,,1,,,,,,2,,
140,20 m,278 m²,25 m²,Hyper équipée,30 m²,3,22 m²,9 m²,24 m²,,1,3,,,,5418 m²,,,,,,Non connecté,Non,714 kWh/m²,F,20210916-0002464908-RES-1,Non communiqué,Non communiqué,,,Électrique,,Oui,,,,,Oui,Zone inondable potentielle,Zone d'intérêt paysager,745.000 €,,Non,"Hoogstraat 20
9340 - Lede",,À définir,,,1800,Bon,4,,,,,,,Non,65 m²,,,,,,,,,,,,,Oui,,,Oui,2,4,,,Oui,,4496765,,Oui,,,,,,,,,,,,,,,,,
141,,495 m²,,,22 m²,5,21 m²,18 m²,13 m²,Non,2,,Oui,50 m²,,1130 m²,Non,Non,Non,Non,,Connecté,Non,321 kWh/m²,D,20210624-0002433722-RES-1,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",595.000 €,,Non,"Oude Vest 90/1
9200 - Dendermonde",Eduard De Blockstraa,,,Non,1968,,,,18 m²,,,,32 m²,,,,,,,,,,,,,,,,,,Oui,2,,,26 m²,,,,,,,Est,,,34 m²,Oui,,,,,,,,,,,
142,,210 m²,,,17 m²,5,20 m²,13 m²,18 m²,Non,2,,Non,,,1361 m²,Non,Non,Non,Non,,Non connecté,Non,204 kWh/m²,C,20210509--000241287-RES-2,Non communiqué,Non communiqué,,,,,Non,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",645.000 €,,Non,"Oude Vest 90/1
9200 - Dendermonde",Sint-Amandsesteenweg,,,Non,2006,,,,30 m²,,,,9 m²,,,,,,,,,,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,
143,,184 m²,57 m²,,,3,,,,Non,1,2,Non,44 m²,,136 m²,Non,Non,Non,Non,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",384.000 €,,Non,"Kasteelstraat 198
9255 - Buggenhout",3901C,,,Non,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59 m²,,,,,Oui,,,Sud-est,,,,,,,,,,,,,,,
144,,184 m²,57 m²,,,3,,,,Non,1,2,Non,44 m²,,136 m²,Non,Non,Non,Non,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",384.000 €,,Non,"Kasteelstraat 198
9255 - Buggenhout",3902C,,,Non,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59 m²,,,,,Oui,,,Sud-est,,,,,,,,,,,,,,,
145,,185 m²,59 m²,,,3,,,,Non,1,2,Non,43 m²,,322 m²,Non,Non,Non,Non,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",424.000 €,,Non,"Kasteelstraat 198
9255 - Buggenhout",3896C,,,Non,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239 m²,,,,,Oui,,,Ouest,,,,,,,,,,,,,,,
146,,228 m²,45 m²,,,3,,,,Non,1,2,Non,75 m²,,127 m²,Non,Non,Non,Non,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",424.000 €,,Non,"Kasteelstraat 198
9255 - Buggenhout",3898C,,,Non,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 m²,,,,,Oui,,,Sud,,,,,,,,,,,,,,,
147,,203 m²,58 m²,,,3,,,,Non,1,2,Non,50 m²,,215 m²,Non,Non,Non,Non,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",424.000 €,,Non,"Kasteelstraat 198
9255 - Buggenhout",3899C,,,Non,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133 m²,,,,,Oui,,,Sud,,,,,,,,,,,,,,,
148,9 m,140 m²,30 m²,Hyper équipée,11 m²,4,14 m²,10 m²,9 m²,,1,2,,,,153 m²,,,,,9 m,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,140 m²,,,,Zone non inondable,,440.000 €,,Non,"Bovenstraat 162
2880 - Bornem",,,,,2021,Excellent état,3,,9 m²,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,4514277,Oui,Oui,,,,,,,,,,,,,,,,,
149,9 m,140 m²,30 m²,Hyper équipée,11 m²,4,14 m²,10 m²,9 m²,,1,2,,,,205 m²,,,,,9 m,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,140 m²,,,,Zone non inondable,,450.000 €,,Non,"Bovenstraat 162
2880 - Bornem",,,,,2021,Excellent état,3,,9 m²,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,4514461,Oui,Oui,,,,,,,,,,,,,,,,,
150,,,,Oui,,2,,,,Oui,184 kWh/m²,,,,,,,,,,,,,20210303-0002381536-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,,,Non,,,Zone inondable potentielle,390.000 €,1.234 €,,,"Kaai, 28
2890 - SINT-AMANDS",Helena NEIRINCK,,,2017,,,4,,Oui,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,B,,Pas équipée,,,,,,,,,Oui,Non,"nl :
van maa. tot vrij. tijdens de kantooruren van 9u-18u, mits afhaling v/d sleutel op het kantoor Notaris Ann De Block - mits voorafgaande telefonische afspraak op 052/33.30.46 en mits voorleggen v/d identiteitskaart",Après la signature de l’acte,Non,,,
