,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Année de construction,Nombre de façades,Visite virtuelle,Salon,Salle à manger,Type de cuisine,Chambres,Dressing,Salles de bains,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,État du bâtiment,Parkings intérieurs,Surface habitable,Toilettes,Bureau,Cave,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Double vitrage,Obligation de construire,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Site internet,Buanderie,Jardin,Orientation du jardin,Surface du salon,Surface du grenier,Surface du jardin,Nom du bien,Meublé,Niveau E (performance énergétique globale),Largeur de la façade à rue,Type d’environnement,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Surface constructible totale au sol,Parkings extérieurs,Largeur du terrain à rue,Nombre d'annexes,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de chauffage,Attestation as-built,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Espace professionnel,Porte blindée,Disponible le,Quartier ou lieu-dit,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Grenier,Surface de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Type de construction,Surface de la cave,Combien de feux ouverts ?,Salles de douche,Isolé,Orientation de la terrasse,Surface de bureau,Référence externe,Nom de l'agent
114,,,,Après la signature de l’acte,1959,2,,,,Équipée,3,Non,1,,311 kWh/m²,D,20210916-0002465006-RES-1,Non communiqué,Non communiqué,,,,Zone non inondable,,,Non,,À rénover,,120 m²,1,Non,,148 m²,Non,Non,Non,Non,Connecté,Oui,Oui,,,,320.000 €,,,,Sud,,,70 m²,,Non,,6 m,,,,,,,,,,,6 m,,"Oui, conforme",Non,Non,Non,Non,Mazout,,,,,,Non,Non,,,,,,,,,,,,Toutes sortes,,,,,,,,
115,,,,À définir,,,,,,Hyper équipée,4,Non,,,239 kWh/m²,C,20121109-0001246450-00000004-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,3.279 €,Non,"Kapelsesteenweg 348
2930 - Brasschaat",Excellent état,1,264 m²,3,,Oui,789 m²,,,,,Connecté,Oui,Oui,,Non,,795.000 €,,,Oui,Sud-ouest,53 m²,,,,Non,,,,,,,,,,,,,,,,Non,,,,Gaz,,22 m²,22 m²,15 m²,13 m²,,,,,13 m²,,,Oui,,,,,,,,,,,,,,
116,,,,,1937,1,,,,Équipée,2,Non,1,,259 kWh/m²,C,20210419-0002403588-RES-1,Non communiqué,Non communiqué,,,Non,Zone non inondable,,701 €,Non,,Excellent état,,90 m²,1,Non,,55 m²,Non,Non,Non,Non,,Non,Oui,Non,Non,,235.000 €,,,,,,,,,Non,,,,,,,,,,,,,,,,Non,Non,Non,Non,Gaz,,,,,,Non,Non,,,,,,,,,,,,Toutes sortes,,,,,,,,
117,,,,Après la signature de l’acte,1920,3,,Oui,Oui,Semi-équipée,3,Non,1,,469 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,458 €,Non,,À rafraîchir,,140 m²,1,Non,Oui,140 m²,Oui,Non,Non,Non,Connecté,Oui,Oui,,Non,,249.000 €,,,,,,,40 m²,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,Gaz,,20 m²,15 m²,15 m²,8 m²,Non,Non,,,,,,Oui,,Non,Non,Non,Oui,,,,,,,,,
118,,,,À définir,1910,2,,,,,3,Non,1,,218 kWh/m²,C,??????????????????????????????????????????????????,Non communiqué,Non communiqué,,,,Zone non inondable,,562 €,Non,,Excellent état,1,130 m²,2,Non,Oui,140 m²,Non,Non,Non,Non,Connecté,Oui,Oui,,,,369.000 €,,Oui,,Sud-ouest,24 m²,,36 m²,,Non,,5 m,,Non,Non,Non,Non,Non,Non,Non,,1,,,,Non,Non,Non,Non,Gaz,,21 m²,17 m²,16 m²,11 m²,Non,Non,,,,,,Oui,14 m²,Non,Non,Non,Oui,,,1,,,Sud-ouest,,,
119,,,,,1954,,,Oui,Oui,Hyper équipée,4,Non,2,,252 kWh/m²,C,20200608-0002277995-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,1.003 €,Non,"Bredabaan 133
2930 - Brasschaat",Excellent état,1,171 m²,2,Non,Oui,165 m²,Non,Non,Non,Non,Connecté,Non,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",389.000 €,Jozef Hendrickxstraa,,Oui,Sud,,,,,,,,,,,,,,,,,1,,,,,,,,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,1953,,,Oui,,Équipée,4,Non,2,Oui,197 kWh/m²,B,20210801-0002447086-RES-1,Non communiqué,Non communiqué,,,Non,Zone non inondable,,1.074 €,Non,"Bredabaan 133
2930 - Brasschaat",Fraîchement rénové,,231 m²,2,Non,,940 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",549.000 €,Arthurdreef 5 - 2900,Oui,Oui,Nord-ouest,,,,,,,,,,,,,,,,,4,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,
121,,,,,1956,,,Oui,Oui,,3,Non,1,Oui,154 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,624 €,Non,"Bredabaan 133
2930 - Brasschaat",Bon,,174 m²,1,Non,Oui,212 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",336.000 €,Paalstraat 266 - 290,Oui,Oui,Sud-est,,,,,Non,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,1932,4,,,,Équipée,5,,2,,384 kWh/m²,D,20140610-0001608365-00000001-8,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,"Leopoldslei, 7
2930 - Brasschaat",À rénover,1,360 m²,3,Non,Oui,2167 m²,,,,,Non connecté,Non,Non,,Non,Parc résidentiel,939.000 €,MB1856,,Oui,Sud-est,74 m²,,,,Non,,21 m,,,,,,,,,,,41 m,,,,,,,,,20 m²,,,,,Non,,,,,,,40 m²,,,,,Villa,,,,,,,,
123,,,,Après la signature de l’acte,,2,,,,Équipée,2,Oui,1,,336 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,930 €,Non,,Excellent état,,195 m²,2,Non,,195 m²,Non,Non,Non,Non,Connecté,Oui,Oui,,,,375.000 €,,,,Sud-est,33 m²,,95 m²,,Non,336,5 m,,Non,Non,Non,Oui,Non,Non,Non,,,,,,Non,Non,Oui,Non,Gaz,,21 m²,20 m²,15 m²,,Non,Non,,,,,25 m²,,25 m²,Non,Non,Non,Oui,Toutes sortes,40 m²,1,1,,Sud-est,,,
