,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Année de construction,Nombre de façades,Visite virtuelle,Salon,Salle à manger,Type de cuisine,Chambres,Dressing,Salles de bains,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,État du bâtiment,Parkings intérieurs,Surface habitable,Toilettes,Bureau,Cave,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Double vitrage,Obligation de construire,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Site internet,Buanderie,Jardin,Orientation du jardin,Surface du salon,Surface du grenier,Surface du jardin,Nom du bien,Meublé,Niveau E (performance énergétique globale),Largeur de la façade à rue,Type d’environnement,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Surface constructible totale au sol,Parkings extérieurs,Largeur du terrain à rue,Nombre d'annexes,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de chauffage,Attestation as-built,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Espace professionnel,Porte blindée,Disponible le,Quartier ou lieu-dit,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Grenier,Surface de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Type de construction,Surface de la cave,Combien de feux ouverts ?,Salles de douche,Isolé,Orientation de la terrasse,Surface de bureau,Référence externe,Nom de l'agent
134,,,,Après la signature de l’acte,1960,2,,Oui,Oui,,4,Non,1,,623 kWh/m²,F,20210615-0002429325-RES-1,Non communiqué,Non communiqué,Oui,,,,,899 €,Non,,À rénover,1,,1,Non,Oui,179 m²,Non,Non,Non,Non,,Oui,Non,,,,265.000 €,,,,Sud,,,65 m²,,Non,,,,,,,,,,,,1,,,,Non,Non,Non,Non,Mazout,,,,,,Non,Non,,,,,,Oui,,,,,,Maison bel-étage,,,,,,,,
135,,,,,1978,4,,Oui,,Équipée,5,,5,,237 kWh/m²,C,2440835-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,"Turnhoutsebaan 149/151
2970 - Schilde",Bon,2,744 m²,,Non,Oui,8100 m²,,,,,Connecté,Oui,Oui,,Non,Parc résidentiel,2.450.000 €,06/10351,,Oui,Sud,,,,,Non,,,,,,,,,,,,6,30 m,,,,,,,,,,,,,,Non,,,,,,,,,,,,Villa,,,,,,,,
136,,,,,2010,,,,,,2,,2,,161 kWh/m²,B,3150,Non communiqué,Non communiqué,Oui,Non,Non,,,2.904 €,Non,"Leopoldslei, 7
2930 - Brasschaat",,3,236 m²,3,Non,,9900 m²,,,,,Non connecté,Non,Oui,,Non,Parc résidentiel,1.150.000 €,MB1834,,Oui,Sud,,,,,Non,,,,,,,,,,,,,112 m,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,
137,,,,,1992,4,,,,,5,,3,,345 kWh/m²,D,20130618-0001393044-0000001-0,Non communiqué,Non communiqué,Oui,Oui,Non,,,7.692 €,Non,"Leopoldslei, 7
2930 - Brasschaat",Bon,2,700 m²,3,Non,,3200 m²,,,,,Non connecté,Non,Oui,,Non,Parc résidentiel,1.895.000 €,MB1714,,,,45 m²,,3000 m²,,Non,,25 m,,,,,,,,,344 m²,,50 m,,,,,,,Gaz,,45 m²,,,,,Non,,,,,,,,,,,,Villa,,,,,,,,
138,,,,,1989,,,,,Hyper équipée,4,Non,2,,239 kWh/m²,C,20121109-0001246450-00000004-1,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,3.279 €,Non,"Britselei, 24
2000 - Anvers",,1,299 m²,,Oui,,789 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",795.000 €,JAN VAN PUYENBROECKL,,,,53 m²,,789 m²,,,239,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,Non,Non,Oui,Non,Non,,,,,,,,,,,,23 m²,22 m²,15 m²,13 m²,,,,,13 m²,,,,19 m²,,,,,Toutes sortes,,,,,,9 m²,,
139,,,,,1996,4,,,,,4,,2,,216 kWh/m²,C,20210225-0002378639-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,5.084 €,Non,"Leopoldslei, 7
2930 - Brasschaat",,2,400 m²,3,Non,,2333 m²,,,,,Non connecté,Non,Oui,,Non,Parc résidentiel,1.265.000 €,MB1830*,,,Sud,60 m²,,2333 m²,,Non,,25 m,,,,,,,,,250 m²,,36 m,,,,,,,,,25 m²,,,,,Non,,,,,,,,,,,,Villa,15 m²,,,,,,,
140,,,,Après la signature de l’acte,1973,4,,,Oui,Équipée,2,Non,2,,Non communiqué,Non communiqué,20210728-0002439748-RES-1,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,,2.640 €,Non,,Fraîchement rénové,,195 m²,2,Non,,1004 m²,Oui,Non,Non,Oui,Connecté,Oui,Oui,,Non,,669.000 €,,,,,70 m²,,,,Non,,23 m,,Non,Non,Non,Oui,Non,Non,Oui,,,,,"Oui, conforme",Non,Non,Non,Non,Mazout,,,25 m²,14 m²,,Non,Non,,,,,10 m²,Oui,,Non,Non,Non,Oui,Toutes sortes,,1,,Oui,,,,
141,,,,,,4,,,,,7,,5,,345 kWh/m²,D,20130618-0001393044-0000001-0,Non communiqué,Non communiqué,Oui,Oui,Non,,,,Non,"Leopoldslei, 7
2930 - Brasschaat",Bon,,1500 m²,10,Non,,16750 m²,,,,,Non connecté,Non,Non,,Non,Parc résidentiel,5.000.000 €,MB1773,,,Sud,65 m²,,16500 m²,,Non,,26 m,,,,,,,,,750 m²,,144 m,,,,,,,,,30 m²,,,,,Non,,,,,,,,,,,,Villa,40 m²,,,,,,,
142,,,,,2021,4,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,15 €,Non,"Leopoldslei, 7
2930 - Brasschaat",Excellent état,,400 m²,,Non,,2000 m²,,,,,Non connecté,Non,Non,,Non,,1.490.000 €,MB1813,,,,,,,,Non,,23 m,,,,,,,,,248 m²,,36 m,,,,,,,,,,,,,,Non,,,,,,,,,,,,Villa,,,,,,,,
143,,,,,2002,,,,,,4,,2,,145 kWh/m²,B,20210708-0002439652-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,,,5.156 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",,2,546 m²,4,Non,,,,,,,Non connecté,Non,Oui,,Non,Parc résidentiel,1.449.000 €,06/10307,,,Est,,,2166 m²,,Non,,22 m,,,,,,,,,256 m²,4,35 m,,,,,,,,,,,,,,Non,,,,,,,,,,,,,7 m²,,,,,,,
144,,,,Après la signature de l’acte,1990,4,,,,,3,,2,Oui,511 kWh/m²,F,2461431,Non communiqué,Non communiqué,,Non,Non,,,4.407 €,Non,"Turnhoutsebaan, 532
2970 - Schilde",,1,330 m²,,,Oui,2245 m²,,,,,Connecté,Non,,,Non,Parc résidentiel,730.000 €,4509726,,,,,,,,Non,,19.4 m,,,,,,Oui,Oui,Non,250 m²,4,38 m,,,,,,,Électrique,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,Immédiatement,,4,,,,,1,,1,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,,,,Non,"Dorpsstraat 84
2940 - Stabroek",Bon,,43 m²,1,,,,,,,,,Oui,,,Non,Zone résidentielle récréative,25.000 €,4455314,,,,28 m²,,,,,,,,,,,,,,,,,,,,,,,,,,7 m²,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,2020,4,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,15 €,Non,"Leopoldslei, 7
2930 - Brasschaat",Excellent état,,400 m²,,Non,,2253 m²,,,,,Non connecté,Non,Non,,Non,,1.350.000 €,MB1812,,,,,,,,Non,,23 m,,,,,,,,,248 m²,,30 m,,,,,,,,,,,,,,Non,,,,,,,,,,,,Villa,,,,,,,,
147,,,,,2020,4,,,,,5,,3,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,15 €,Non,"Leopoldslei, 7
2930 - Brasschaat",Excellent état,1,400 m²,3,Non,,2170 m²,,,,,Non connecté,Non,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.385.000 €,MB1811,,,,65 m²,,,,Non,,23 m,,,,,,,,,248 m²,,30 m,,,,,,,,,48 m²,,,,,Non,,,,,,,,,,,,Villa,,,,,,,,
148,,,,À la livraison,,2,,,,,4,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,"Dorpsstraat 84
2940 - Stabroek",,,142 m²,,,,,,,,,,,,,,,359.000 €,4372569,,,,,,24 m²,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,15 m²,,,,,,,,,,,,,
149,,,,À la livraison,,2,,,,,4,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,"Dorpsstraat 84
2940 - Stabroek",,1,142 m²,,,,,,,,,,,,,,,364.000 €,4372567,,,,,,33 m²,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,16 m²,,,,,,,,,,,,,
150,,,,À la livraison,,2,,,,,4,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,"Dorpsstraat 84
2940 - Stabroek",,,144 m²,,,,,,,,,,,,,,,369.000 €,4372563,,,,,,42 m²,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,16 m²,,,,,,,,,,,,,
151,,,,À la livraison,,3,,,,,4,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,"Dorpsstraat 84
2940 - Stabroek",,,146 m²,,,,,,,,,,,,,,,384.000 €,4372570,,,,,,64 m²,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,20 m²,,,,,,,,,,,,,
152,,,,Après la signature de l’acte,1965,2,,,,Équipée,3,,1,,304 kWh/m²,D,20210817-0002452822-RES1,Non communiqué,Non communiqué,,Non,Non,Zone non inondable,,1.048 €,Non,"Markt 21
2900 - Schoten",Bon,1,202 m²,2,,Oui,294 m²,,,,,,Oui,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,3130 - 2023,,Oui,Sud,38 m²,,,,Non,,,,,,,,,,,,,5.9 m,,,,,,,Gaz,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
