,Année de construction,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Meublé,Surface du terrain,Surface du jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Bureau,Grenier,"Eau, gaz & électricité",Surface de la terrasse,Accès sécurisé / alarme,Piscine,Attestation de conformité des citernes à mazout,Permis de bâtir obtenu,Référence externe,Type d’environnement,Largeur de la façade à rue,Surface de la chambre 4,Buanderie,Surface du grenier,Terrain à front de rue,Terrain boisé,Largeur du terrain à rue,Raccordement à l'égout,Jardin,Orientation de la terrasse,Accessible aux personnes avec un handicap,Salon,Quartier ou lieu-dit,Surface de la chambre 5,Surface de bureau,Espace professionnel,Surface de la cave,Porte blindée,Niveau E (performance énergétique globale),Chauffe-eau commun,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Terrain arrière,Terrain plat,Type de construction,Disponible le,Combien de feux ouverts ?,Ascenseur,Dressing,Nombre d'annexes,Concierge,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Type de zone inondable,Visite virtuelle,Cave,Terrasse,Pourcentage loué,Nom de l'agent,Isolé,Surface constructible totale au sol,Informations supplémentaires,Surface de l'espace professionnel,Description libre du PEB,Obligation de construire,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Charges mensuelles,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
107,,2,142 m²,31 m²,Équipée,5,,,3,Non,119 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,270.000 €,1.125 €,,"Rue de Mons 156
1480 - Tubize",,Après la signature de l’acte,Excellent état,,,,16 m²,15 m²,11 m²,11 m²,Oui,,Oui,31 m²,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,13 m²,Oui,,,,,Connecté,,,,,,20 m²,10 m²,Oui,15 m²,,,,,,Non,,,Oui,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,
108,,4,239 m²,,Hyper équipée,5,1,1,2,,1800 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,Oui,495.000 €,1.318 €,,"Rue de Mons 156
1480 - Tubize",,Après la signature de l’acte,Excellent état,1,3,,,,,,Oui,Oui,Oui,20 m²,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,Connecté,,,,Oui,,,,Oui,,,,,,,Non,,,Oui,,,2,,,1,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,
109,,3,,21 m²,,2,1,,2,,310 m²,,,480 kWh/m²,F,Non communiqué,Non communiqué,65496 kWh/an,,Mazout,Non,,Non,Oui,Faire offre à partir de 170.000 €,463 €,Non,"Rue des Frcres Taymans, 34
1480 - TUBIZE",,Après la signature de l’acte,À rénover,2,3,Oui,9 m²,19 m²,14 m²,,,Oui,,,,,,,,,,,Oui,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,Vanessa POZZAN,,,,,,,,,,,,,,,,,,,,
110,,2,80 m²,1,20 m²,17 m²,1,2,Oui,470 m²,6 m,Ouest,20 m²,C,Non communiqué,Non communiqué,41041 kWh/an,Non,Mazout,Oui,,,,270.000 €,499 €,Non,"Rue De Mons 46
1480 - Tubize",2723 - 2304,,Après la signature de l’acte,Bon,,,,3,13 m²,10 m²,1,,,,Oui,Oui,,,,,,6 m,,,,,,300 m²,,,,,,,,,,,,,,,,,,,,,,Équipée,,,,,,,187 kWh/m²,,,,,190 m²,Non,,,,,,,,,,,,,,,,,,,,,,,
111,,3,233 m²,42 m²,Équipée,3,1,1,1,Non,1200 m²,,,420 kWh/m²,E,20210727018092,105 kg CO₂/m²,98102 kWh/an,,Mazout,,,,Oui,300.000 €,594 €,Non,"Chaussée de Mons 35
1430 - Rebecq",casapoint,Après la signature de l’acte,Bon,1,4,,13 m²,16 m²,15 m²,13 m²,Oui,,Oui,20 m²,,,,,,,,,,,,,,Non connecté,,Sud,,,,,,,,,,,,,,,,Oui,,,1,,,,,,,,Oui,,,Zone non inondable,,Oui,,,,,,,,,,,,,,,,,,,,,,,
112,,3,160 m²,,Hyper équipée,3,1,1,1,Non,230 m²,,,456 kWh/m²,F,20210826008773,Non communiqué,61336 kWh/an,,Gaz,,,,Oui,265.000 €,457 €,Non,"Rue de Bruxelles 27
1480 - Tubize",4530192,Après la signature de l’acte,Excellent état,,1,,,12 m²,14 m²,13 m²,,Oui,Oui,55 m²,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,Oui,,,,,,,,,,,,,,,,,,,,,,,
113,,,30 m²,Équipée,3,1,1,,Oui,86 m²,20 m²,,,E,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,190.000 €,347 €,Non,"Rue De Mons 46
1480 - Tubize",2857 - 2336,,Après la signature de l’acte,Bon,,,,,,,,,,,350 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 m²,Non,,,,,,,,,,,,,,,,,,,,,,,
114,,,110 m²,,Semi-équipée,2,1,,1,Non,770 m²,592 m²,Sud-ouest,520 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,,,Non,"Rue De Mons 46
1480 - Tubize",2794 - 2322,,Bon,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,200.000 €,30.000 €,395 €,Oui,Non,Oui,1,67,20
115,,,,,,2,,1,1,,,,,569 kWh/m²,G,20200919005150,Non communiqué,56674 kWh/an,,Gaz,Non,,,Oui,Faire offre à partir de 220.000 €,783 €,Non,"Rue des Frcres Taymans, 34
1480 - TUBIZE",,Après la signature de l’acte,À rénover,,,,,12 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,Sylvie LECOCQ,,,,,,,,,,,,,,,,,,,,
116,1962,4,,,Équipée,3,1,1,1,Non,1269 m²,,,900 kWh/m²,G,20210409018331,Non communiqué,98785 kWh/an,,Mazout,,,,Oui,320.000 €,919 €,Non,"Rue de Bruxelles 27
1480 - Tubize",4521329,Après la signature de l’acte,Bon,1,4,,,14 m²,11 m²,11 m²,,Oui,Oui,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
117,,2,180 m²,,Semi-équipée,2,1,1,2,Non,230 m²,,,366 kWh/m²,E,20210802018663,Non communiqué,55504 kWh/an,,Gaz,,,,Oui,250.000 €,389 €,Non,"Rue de Bruxelles 27
1480 - Tubize",4432910,À définir,Bon,,,,,12 m²,14 m²,,,Oui,Oui,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
118,,,160 m²,,Équipée,3,1,,1,Non,350 m²,,Sud,Non communiqué,F,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,280.000 €,359 €,Non,"Rue de Bruxelles 295 A
1480 - Tubize",4609 - 87459918,,Fraîchement rénové,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,3,1,,,,,,,436 kWh/m²,F,20210606011982,Non communiqué,64157 kWh/an,,Gaz,Non,,,,Faire offre à partir de 160.000 €,359 €,Non,"Chemin Saint Landry 8
7060 - Soignes",,Après la signature de l’acte,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,,,,Oui,,Maximilien MANGIONE,,,,,,,,,,,,,,,,,,,,
120,2020,3,305 m²,,,5,2,,,,200 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Faire offre à partir de 720.000 €,,Oui,"Rue du Virginal 83
7090 - Hennuyères",4097007,Après la signature de l’acte,Excellent état,2,3,,,,,,,,Oui,100 m²,,,,,,,,,,,,,,Connecté,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,2,,,Équipée,3,1,,2,Non,750 m²,,,455 kWh/m²,F,20140104000345,Non communiqué,107789 kWh/an,,Mazout,,,,Oui,255.000 €,288 €,Non,"Rue de Bruxelles 27
1480 - Tubize",4411724,Après la signature de l’acte,À rafraîchir,,,,,,,,,,Non,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
122,,4,,,Équipée,3,1,1,,Non,636 m²,,,Non communiqué,F,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,370.000 €,,Non,"Rue de Bruxelles 295 A
1480 - Tubize",4660 - 87459880,,Fraîchement rénové,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
123,,3,683 m²,,,8,3,,,Non,500 m²,100 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,1.200.000 €,,Oui,"Rue du Virginal 83
7090 - Hennuyères",4110382,Après la signature de l’acte,Excellent état,,,,,,,,,,,100 m²,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,2,,,Américaine hyper-équipée,2,1,,2,Non,,,,427 kWh/m²,F,20210719016887,Non communiqué,57305 kWh/an,,Gaz,,,,Oui,230.000 €,,Non,"Rue de Bruxelles 27
1480 - Tubize",4424962,Selon le locataire,À rafraîchir,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
125,,3,170 m²,,Pas équipée,4,,1,,Non,,,Sud-est,Non communiqué,G,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,250.000 €,500 €,Non,"Rue de la Station 38
7090 - Braine-le-Comte",4316 - 87459848,,À rafraîchir,3,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
126,,4,150 m²,,Pas équipée,3,1,,,Non,,,,Non communiqué,E,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Oui,325.000 €,,Non,"Rue de Bruxelles 295 A
1480 - Tubize",4486 - 87459898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,Pas équipée,3,1,,,Non,,,,444 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Oui,215.000 €,411 €,Non,"Rue de Bruxelles 295 A
1480 - Tubize",4305 - 87459815,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,4,,,,3,,,,,883 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,280.000 €,,,"Koning Albert-II laan 33/474
1030 - Bruxelles",,,Bon,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,Pas équipée,3,1,,,Non,,,,632 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,160.000 €,,Non,"Rue de Bruxelles 295 A
1480 - Tubize",4321 - 87459853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
130,,,165 m²,,Pas équipée,3,2,,,Non,,,,Non communiqué,D,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,160.000 €,409 €,Non,"Rue de la Station 38
7090 - Braine-le-Comte",4323 - 87459850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
131,1978,4,50 m²,Semi-équipée,11 m²,33 m²,1,2,17 m²,,58.69 m,138 m²,,D,20210521020323,732 kg CO₂/m²,93348 kWh/an,"Oui, conforme",,Oui,,,,Oui,Non,,"Place Communale 8
1160 - Auderghem",4375936,,Après la signature de l’acte,Bon,,4,,3,20 m²,27 m²,1,3864 m²,,3714 m²,Non,297 kWh/m²,,Mazout,150 m²,,Isolé,18 m,,,,,,Connecté,Non,,,Oui,,Brabant Wallon,,Oui,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Faire offre à partir de 495.000 €,,,,,,Non,,,,,,,,,,,237 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,
132,1900,4,24 m²,1,22 m²,28 m²,2,,12 m²,451 m²,Oui,,,G,20210914011846,Non communiqué,Non communiqué,Non,Gaz,325.000 €,,,,,709 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",436 - 3391306,,Après la signature de l’acte,À rénover,1,3,,4,15 m²,14 m²,8 m²,Oui,,725 kWh/m²,,,,,,,,,2,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Pas équipée,,,,,,,,,,,,180 m²,Non,,,,,,,,,,,,,,,,,,,,,,,
133,1924,4,29 m²,Oui,19 m²,17 m²,2,,18 m²,1322 m²,22.24 m,,Oui,F,20210911002896,Non communiqué,Non communiqué,Non,Mazout,495.000 €,,,,,1.476 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",429 - 3391304,,Après la signature de l’acte,À rénover,2,10,2,4,16 m²,14 m²,11 m²,Oui,,Oui,,,,,,,,,1,,,,,Oui,,Sud-ouest,,,,,,Oui,,,,,,,,,,,,,,Semi-équipée,,,,,,,,,,,,197 m²,Non,504 kWh/m²,,,,,,,,,,,,,,,,,,,,,,
134,1965,3,45 m²,3,,1,2,,Oui,341 m²,8.4 m,15 m²,,E,Non communiqué,86 kg CO₂/m²,45865 kWh/an,Non,Gaz,Oui,,,,Faire offre à partir de 375.000 €,1.095 €,Non,"Chaussée de Bruxelles 23 (sur N5)
1472 - Vieux Genappe",3716 - 650139,,Après la signature de l’acte,Excellent état,1,2,,,,,,,,,342 kWh/m²,,,,,,,,,,,,,341 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 m²,Non,,,,,,,,,,,,,,,,,,,,,,,
135,2018,3,Oui,,8 m²,14 m²,1,2,Oui,Oui,Connecté,25 m²,,A,A,15 kg CO₂/m²,12943 kWh/an,Gaz,,Oui,,,,Zone non inondable,1.006 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4422785,,Après la signature de l’acte,Bon,,2,Hyper équipée,4,11 m²,14 m²,37 m²,,Non,380 m²,Non,Oui,79 kWh/m²,,,,,7.46 m,1,,,,,,Non,,,Oui,Oui,,,,,,Non,,,,,,,,,,15 septembre 2021 - 00:00,,Non,,,,,,,,,,535.000 €,165 m²,,,,,,,,,,,,,,,,,,,,,,,,
136,,2,141 m²,40 m²,Pas équipée,3,1,,2,Non,255 m²,255 m²,,270 kWh/m²,D,20210909007014,Non communiqué,38066 kWh/an,Non,Gaz,,,,Oui,235.000 €,635 €,Non,"chaussée de Liège 36
6900 - Marche-en-Famenne",Mont-Saint-Guibert,,,1,,Oui,,,,,Non,,Oui,,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,Connecté,,Sud-ouest,,,,,,,,Non,,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
137,1890,4,40 m²,Oui,17 m²,18 m²,2,,10 m²,854 m²,Oui,,,C,20150604023831,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,445.000 €,1.098 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",420 - 3391300,,Après la signature de l’acte,Bon,,3,Équipée,4,12 m²,12 m²,10 m²,Oui,,73 m²,Oui,238 kWh/m²,,,,,,,2,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,185 m²,Non,,,,,,,,,,,,,,,,,,,,,,,
138,1980,4,60 m²,Oui,5,29 m²,3,,68 m²,1100 m²,22 m,,21 m²,C,20210630005119,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,550.000 €,2.560 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",411 - 3391295,,Après la signature de l’acte,Bon,1,2,10,,24 m²,18 m²,16 m²,Non,,Oui,227 kWh/m²,,,,,,,,1,,,,,Oui,,Est,,,,,,Oui,,,,,,,,,,,,,,Américaine hyper-équipée,,,,,,,,,,,,268 m²,,,,,,,,,,,,,,,,,,,,,,,,
139,1977,4,33 m²,Équipée,19 m²,18 m²,1,,6 m²,761 m²,Oui,,,G,20210422008540,Non communiqué,Non communiqué,Non,Mazout,Oui,,,,425.000 €,Non,,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",331 - 3391275,,,Bon,5,,,5,12 m²,12 m²,12 m²,Oui,,,,,,,,,,,10 m²,,,,,,,,,,,,2,Oui,,,,,,,,,,,,,1 novembre 2021 - 00:00,,,,,,,,,,,,,156 m²,Non,538 kWh/m²,,,,,,,,,,,,,,,,,,,,,,
140,1920,4,155 m²,20 m²,Équipée,4,1,,1,Non,1028 m²,,,268 kWh/m²,D,20210803002148,49 kg CO₂/m²,51033 kWh/an,Non,Gaz,,,,Oui,375.000 €,656 €,Non,"Boulevard du Centenaire 2
1325 - Chaumont-Gistoux",,,,1,1,Oui,12 m²,2 m²,20 m²,20 m²,Oui,,Non,35 m²,,,,,HHO8,,,20 m²,Oui,,,,,Connecté,,,,,,10 m²,,,,Non,,,,,,,,,,1 avril 2022 - 00:00,,,Non,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
141,,4,45 m²,1,10 m²,18 m²,2,,1111 m²,7863 m²,128.01 m,,40 m²,D,20210303000294,Non communiqué,Non communiqué,Non,Mazout,Oui,,,,650.000 €,2.149 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",312 - 3391272,,Après la signature de l’acte,À rénover,1,10,,5,11 m²,9 m²,9 m²,Non,,Oui,334 kWh/m²,,,,,,,,8 m²,,,,,Oui,,Sud,,,,,1,Oui,,,,,,,,,,,,,,Semi-équipée,,,,,,,,,,,,164 m²,,,,,,,,,,,,,,,,,,,,,,,,
142,1989,4,19 m²,Équipée,4,1,1,3,Non,872 m²,709 m²,34 m²,,D,20140822008468,Non communiqué,Non communiqué,Non,Oui,,,,,Faire offre à partir de 395.000 €,1.829 €,Non,"Grand' Route 69 A
1435 - Corbais",8801 - 345345954,,Après la signature de l’acte,Bon,1,3,,,,,,,,,310 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163 m²,,,,,,,,,,,,,,,,,,,,,,,,
143,,4,360 m²,,Pas équipée,,,,3,Non,678 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,750.000 €,,Oui,"Grand' Route 69 A
1435 - Corbais",8651 - 345345915,,Fraîchement rénové,,17,,,,,,Oui,,,,,,,,,,55 m,,,,,,,,,,,,,,210 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
144,1895,3,110 m²,27 m²,Équipée,2,1,,1,,210 m²,,,709 kWh/m²,G,20210923018585,Non communiqué,Non communiqué,,Gaz,,,,Oui,190.000 €,458 €,,"Rue Entrée Jacques 78/12
5030 - Gembloux",,Après la signature de l’acte,À rénover,,1,,,17 m²,10 m²,,,,Oui,,,,,,,,,,,,,,,Connecté,,,,,,,,,11 m²,,,,,,,,,Oui,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,175 m²,,,5,3,3,3,Non,86 m²,,,227 kWh/m²,C,20210729011832,Non communiqué,40264 kWh/an,Non,Gaz,,,,Oui,290.000 €,523 €,Oui,"Chaussée de Marche 940
5100 - Wierde",2529 - 6865,,,,,Oui,9 m²,15 m²,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
146,2007,2,193 m²,25 m²,Américaine hyper-équipée,5,2,,2,Non,316 m²,170 m²,Sud,90 kWh/m²,B,20160809008411,282 kg CO₂/m²,28907 kWh/an,,Gaz,Non,Non,Non,Oui,415.000 €,,Non,,,Après la signature de l’acte,Fraîchement rénové,1,2,,8 m²,21 m²,12 m²,10 m²,Oui,,Oui,15 m²,Non,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",7 m,10 m²,Oui,,Non,Non,,Connecté,,Sud,Non,,,10 m²,6 m²,Oui,,Non,,Oui,,,,,Non,Oui,,,,Non,Oui,,Non,Non,Non,Non,Non,Non,Oui,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,,,,,,,,,,,,,,,,,,,,,,,,,
147,1958,4,155 m²,,Pas équipée,2,,1,2,,2600 m²,,Sud-est,366 kWh/m²,E,20210912002536,92 kg CO₂/m²,Non communiqué,,Mazout,,,,,425.000 €,,,"Avenue Pasteur 6
1300 - Wavre",Thomas Grosjean,,À rafraîchir,2,,,,11 m²,17 m²,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",10 m,,,,,,25 m,Connecté,Oui,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,2,,,1,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,
148,1976,2,25 m²,Semi-équipée,8 m²,12 m²,1,1,Oui,13 m²,8.5 m,,,E,20210826006714,73 kg CO₂/m²,35114 kWh/an,Non,Oui,,,,,,924 €,Non,"Rue Pichelin 46
5140 - Sombreffe",4456221,,Selon le locataire,À rafraîchir,1,,,3,10 m²,9 m²,1,,Non,396 kWh/m²,,,,,100 m²,,,8.5 m,,,,,,Oui,,,,,,,,,,,,,,Zone non inondable,,,215.000 €,,,,1 octobre 2021 - 00:00,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",83 m²,Oui,,,,,Oui,,,,,,,,,,,,,,,,,,
149,2021,3,,,Équipée,3,1,,2,,539 m²,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,354.000 €,,,"Rue de l'école 7
5575 - Patignies",Florence Hotton,Après la signature de l’acte,Excellent état,,2,,,,,,,Oui,Oui,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,Oui,,,,,,,,,,,,,,,,,,,,,,
150,1908,3,195 m²,30 m²,Équipée,4,1,1,2,Non,630 m²,630 m²,Sud-ouest,176 kWh/m²,C,20210728000606,Non communiqué,31083 kWh/an,Non,Gaz,,,,Oui,375.000 €,826 €,Non,"Place Albert 1er 9
5081 - Saint-Denis-Bovesse",1203 - 202483,,,,,,20 m²,30 m²,19 m²,13 m²,,,Oui,30 m²,,,,,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
151,2021,2,,,Équipée,3,1,,2,,304 m²,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,329.000 €,,,"Rue de l'école 7
5575 - Patignies",Florence Hotton,Après la signature de l’acte,,,2,,,,,,,Oui,Oui,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,Oui,,,,,,,,,,,,,,,,,,,,,,
152,2021,3,,,Équipée,3,1,,2,,461 m²,,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,349.000 €,,,"Rue de l'école 7
5575 - Patignies",Florence Hotton,Après la signature de l’acte,,,2,,,,,,,,Oui,,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,Oui,,,,,,,,,,,,,,,,,,,,,,
