,Année de construction,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Meublé,Surface du terrain,Surface du jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Bureau,Grenier,"Eau, gaz & électricité",Surface de la terrasse,Accès sécurisé / alarme,Piscine,Attestation de conformité des citernes à mazout,Permis de bâtir obtenu,Référence externe,Type d’environnement,Largeur de la façade à rue,Surface de la chambre 4,Buanderie,Surface du grenier,Terrain à front de rue,Terrain boisé,Largeur du terrain à rue,Raccordement à l'égout,Jardin,Orientation de la terrasse,Accessible aux personnes avec un handicap,Salon,Quartier ou lieu-dit,Surface de la chambre 5,Surface de bureau,Espace professionnel,Surface de la cave,Porte blindée,Niveau E (performance énergétique globale),Chauffe-eau commun,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Terrain arrière,Terrain plat,Type de construction,Disponible le,Combien de feux ouverts ?,Ascenseur,Dressing,Nombre d'annexes,Concierge,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Type de zone inondable,Visite virtuelle,Cave,Terrasse,Pourcentage loué,Nom de l'agent,Isolé,Surface constructible totale au sol,Informations supplémentaires,Surface de l'espace professionnel,Description libre du PEB,Obligation de construire,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Charges mensuelles,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
86,1790,4,261 m²,15 m²,Hyper équipée,3,1,,2,,1000 m²,850 m²,,373 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,Oui,Oui,Faire offre à partir de 325.000 €,,Non,"Bevrijdingsplein 2
1500 - Halle",4318275,Après la signature de l’acte,Bon,1,2,Oui,20 m²,15 m²,19 m²,14 m²,Oui,Oui,Oui,,,,,,,,,,,,,,,Connecté,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,17 m²,,,,,,,,,,,,,,,,,,
87,2008,4,1,,4,2,,2,Oui,566 m²,16.7 m,Sud-est,35 m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,450.000 €,1.508 €,Non,"Rue De Mons 46
1480 - Tubize",2879 - 2338,,Après la signature de l’acte,Bon,1,1,,,,,,,,,Oui,310 kWh/m²,,,,,,,,,,,,255 m²,,,,,,,,,,,,,,,,,,,,,,Équipée,,,,,,,,,,,,230 m²,Non,,,,,,,,,,,,,,,,,,,,,,,
88,1970,,225 m²,,Semi-équipée,6,1,1,2,Non,2271 m²,,,336 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Mazout,,,,Oui,480.000 €,1.371 €,Non,"Rue De Mons 46
1480 - Tubize",2942 - 2340,,À rafraîchir,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1937,3,1,,5,1,2,,Oui,423 m²,Oui,,379 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,380.000 €,1.435 €,Non,"Rue De Mons 46
1480 - Tubize",2934 - 2353,,Après la signature de l’acte,Bon,3,2,,,,,,,,,,,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,Équipée,,,,,,,,,,,,300 m²,Non,,,,,,,,,,,,,,,,,,,,,,,
90,,3,130 m²,26 m²,Américaine semi-équipée,2,1,1,1,Non,799 m²,,,213 kWh/m²,C,20210706002575,Non communiqué,Non communiqué,,Mazout,,,,Oui,397.000 €,461 €,Non,"Bevrijdingsplein 2
1500 - Halle",4400355,Après la signature de l’acte,,1,4,,14 m²,20 m²,14 m²,,Oui,Oui,Non,,Oui,,,,,Urbain,15.75 m,,,,,,,Connecté,,,Non,,,,20 m²,,,,,,,,,,,,,,,Non,,,,,,,,,,Zone non inondable,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,
91,1900,,Équipée,,5,1,1,3,Non,442 m²,420 kWh/m²,,,E,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,350.000 €,495 €,Non,"Rue De Mons 46
1480 - Tubize",2939 - 2355,,,Bon,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 m²,,,,,,,,,,,,,,,,,,,,,,,,
92,,,180 m²,,Semi-équipée,4,1,,2,Non,1300 m²,700 m²,,350 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,Mazout,,,,,395.000 €,1.068 €,Non,"Rue De Mons 46
1480 - Tubize",2945 - 2357,,Bon,2,2,,,,,,,,,,,,,,,,,,,,,,26 m,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,4,120 m²,,Semi-équipée,3,,1,1,Non,190 m²,,Sud-est,632 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,260.000 €,166 €,Non,"Rue De Mons 46
1480 - Tubize",2940 - 2356,Après la signature de l’acte,Bon,,4,,,,,,,,,20 m²,,,,,,,,,,,,,13 m,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
94,,2,35 m²,Hyper équipée,4,18 m²,1,3,Oui,Non,200 m²,25 m²,,C,20201228000298,10156 kg CO₂/m²,43272 kWh/an,Mazout,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.132 €,Non,"Rue de la Déportation 81
1480 - Tubize",21003,,,Excellent état,,,,,18 m²,16 m²,2,Oui,,,205 kWh/m²,,,,,,,,,19 m²,,,,,,,,,,,,Oui,,,380 m²,,,,,,320.000 €,,,,1 novembre 2021 - 00:00,,,,,,,,,,,,,226 m²,Non,,,,,,,,,,,,,,,,,,,,,,,
95,,3,160 m²,40 m²,Équipée,5,1,,1,Non,800 m²,,Sud-ouest,404 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,,,Oui,290.000 €,441 €,Non,"Rue De Mons 46
1480 - Tubize",2887 - 2349,Après la signature de l’acte,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
