,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Buanderie,Surface de la cave,Meublé,Surface du terrain,Terrain plat,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Largeur de la façade à rue,Parkings extérieurs,Combien de feux ouverts ?,Dressing,Salles de douche,Bureau,Espace professionnel,Porte blindée,Terrain arrière,Raccordement à l'égout,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Parkings intérieurs,Grenier,Isolé,Attestation de conformité des citernes à mazout,Jardin,Terrasse,Climatisation,Panneaux photovoltaïques,Accessible aux personnes avec un handicap,Nom du bien,Ascenseur,Accès sécurisé / alarme,Interphone vidéo,Surface de bureau,Salon,Surface du grenier,Terrain à front de rue,Terrain boisé,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Cave,Concierge,Jacuzzi,Sauna,Piscine,Internet,Obligation de construire,Visite virtuelle,Largeur du terrain à rue,Mise à prix,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Disponible le,Niveau E (performance énergétique globale),Valeur du bien,Bouquet,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Surface de l'espace professionnel,Nombre d'annexes,Surface constructible totale au sol,Informations supplémentaires,Charges mensuelles
10,,Park Mariadal,1971,Fraîchement rénové,3,"Zone d'habitat (résidentiel, urbain ou rural)",220 m²,35 m²,Oui,,15 m²,4,22 m²,18 m²,15 m²,14 m²,,3,2,Oui,10 m²,Oui,,,Oui,,,72 m²,Sud-ouest,,277 kWh/m²,C,20210828-0002457241-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",609.000 €,2.206 €,Non,"Parklaan 8
1930 - Zaventem",POOT Davina,,3,1,Oui,,Oui,Oui,Oui,,,,Oui,Non,,2,,,,,,Oui,,Oui,PARADISO,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",,28 m²,,Semi-équipée,,3,13 m²,12 m²,,,,1,2,Oui,,Non,150 m²,,Non,70 m²,Nord-est,,,,574 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,349.000 €,1.006 €,,"3, Rue Abbé Cuypers
1040 - Etterbeek",,,1,,,,Oui,,,,Connecté,,,,,1,,,,,,,,,,,,,5 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Après la signature de l’acte,,1970,À rénover,4,Pays,1200 m²,,Oui,,30 m²,4,,,,,,,,Oui,400 m²,Non,6185 m²,Oui,Non,500 m²,Sud,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Non,,,850.000 €,,Oui,,,16 m,,,Non,,Oui,Oui,Non,Non,Connecté,,Oui,,,,,,,,,,Non,,,,,,,Oui,400 m²,Oui,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,À définir,,,Bon,,,120 m²,30 m²,,Équipée,,5,22 m²,14 m²,12 m²,9 m²,9 m²,,1,,,Non,,,Oui,16 m²,,,,,561 kWh/m²,F,20210728-0002445973-RES-1,Non communiqué,Non communiqué,Gaz,,,,,299.000 €,,Non,"avenue Rogier 128
1030 - Schaerbeek",,,,,Non,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Après la signature de l’acte,,,,3,,,30 m²,,Semi-équipée,8 m²,3,16 m²,14 m²,14 m²,,,2,2,,,Non,,,,,,,,,468 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",260.000 €,490 €,Non,"Mechelsesteenweg 231
1933 - Sterrebeek",4451725,,,,,2,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,2,120 m²,30 m²,Équipée,5,,22 m²,14 m²,,,,12 m²,,,,,9 m²,9 m²,2,3,15 m²,16 m²,Non communiqué,,,,Non communiqué,,Non,Gaz,Non,,,,,,,,,,,Non,,,,,,,,,,,F,,,,,,,,,,,561 kWh/m²,20210728-0002445973-RES-1,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,Bon,,,,,2,200 m²,3,11 m²,,,13 m²,,,,,,,,35 m²,,,,,1,30 m²,Non communiqué,Non communiqué,Non communiqué,,,,,,Non communiqué,,Non communiqué,370.000 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rue openveld 2 - bt 1
1082 - Berchem-Ste-Agathe",,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,Selon le locataire,,Excellent état,2,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",200 m²,Oui,Oui,,Américaine équipée,4,25 m²,,Non,1,Oui,Non,Non,170 m²,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,20171010-0002001020-1,Non,Non,,Non,,Oui,,,,,6 m,1,6 m²,14 m²,12 m²,Sud,Oui,Oui,,26533 kg CO₂/m²,,Gaz,,,,,,,15 m²,Oui,Connecté,,Non,70 m²,Sud,,1995,,2,Oui,Non,184 kWh/m²,B,,,8 m²,Non,Non,Non,Non,Non,Non communiqué,,,,,,,,,,,,,,,,,,,,,
18,,,,,1986,,1,1,158 m²,40 m²,,Oui,Semi-équipée,3,20 m²,,,16 m²,1,,,Oui,Oui,,204 m²,Connecté,,Oui,,,55 m²,20 m²,173 kWh/m²,B,Non communiqué,5167 kg CO₂/m²,,,,,Non communiqué,Gaz,475.000 €,1.494 €,Non,Après la signature de l’acte,7.5 m,,,13 m²,1,,,,Non,,,,,Bon,Oui,,,,,,,,,,,,,,,,,,,,,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",2,,,,,,,2,,,,,,,,,,,,,,,,,,,,
19,Après la signature de l’acte,,1995,Excellent état,2,,184 m²,33 m²,,Américaine hyper-équipée,7 m²,4,14 m²,12 m²,8 m²,20 m²,,1,2,,,,206 m²,,,,,,,Oui,138 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,460.000 €,1.170 €,Non,"Koningin Astridlaan 237/1
1950 - Kraainem",4492656,,,,,,,,,,,,,,,1,,,,,Oui,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,6 m,,,,,,,,,,,,,,,,,,,
