,État du bâtiment,Salon,Type de cuisine,Chambres,Dressing,Toilettes,Bureau,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Permis de bâtir obtenu,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Année de construction,Nombre de façades,Visite virtuelle,Surface habitable,Salles de bains,Espace professionnel,Cave,Porte blindée,Raccordement à l'égout,"Eau, gaz & électricité",Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Niveau E (performance énergétique globale),Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Revenu cadastral,Surface du salon,Surface de la cuisine,Surface de la cave,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Buanderie,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Nombre d'annexes,Concierge,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Salle à manger,Largeur du terrain à rue,Quartier ou lieu-dit,Surface de la chambre 4,Grenier,Surface constructible totale au sol,Disponible le,Salles de douche,Terrasse,Surface du grenier,Référence externe,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Combien de feux ouverts ?,Jardin,Surface de l'espace professionnel,Attestation as-built,Isolé,Surface de la chambre 5,Nom de l'agent,Pourcentage loué
19,Excellent état,,Équipée,2,,1,,Non,477 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,,,272.000 €,,"Patattestraat 66
1755 - Kester",Rudi Van Driessche,Après la signature de l’acte,1925,3,,130 m²,1,,,,Connecté,Oui,,,,,,,,534 €,16 m²,,,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",13 m²,14 m²,,,,,,,,,,10 m²,,1,,,,,,,,,Oui,,,,,,,,,21 m²,,,,,,,,,,,,,,
20,Bon,Oui,Équipée,3,Non,1,Non,Non,160 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,Non,,,,,,,,340.000 €,Non,,,Immédiatement,1974,3,,,1,Non,,Non,,Non,Non,Non,Non,,Non,Non,Non,600 €,,,,12 m,1,1,,,,,,,Non,Non,Non,Non,60 m²,Sud-ouest,30 m²,,,Non,Oui,Non,Oui,Non,Non,Non,Oui,Oui,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,
21,Excellent état,,Hyper équipée,4,,2,Oui,Non,2600 m²,365 kWh/m²,D,20210123-0002335449-RES-1,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,,,,Zone non inondable,,619.000 €,Non,"Ninoofsesteenweg 234B
1700 - Dilbeek",4373519,,1985,3,,254 m²,2,,,,Connecté,Oui,,,,,,,,952 €,40 m²,25 m²,,,1,9,Isolé,13 m²,11 m²,15 m²,,15 m²,,,,,2000 m²,,35 m²,,,,,,,,,,,Oui,,Andere Vlaams-Brabant,14 m²,,,,2,,,,,,,,,,,120 m²,,,,,
22,,Oui,,3,Non,2,Non,Non,242 m²,152 kWh/m²,B,20111113-0000965285-00000006-6,Non communiqué,Non communiqué,,Gaz,Non,Oui,,,,Non,,Zone non inondable,,349.000 €,Non,,,À définir,2004,3,,161 m²,1,Non,,Non,Connecté,Oui,,,,24493,Non,Non,Non,822 €,,,,,,,,,,,Oui,,Non,Non,Non,Non,1 m²,,1 m²,,,,,,,,,,,,,,,,,,1,,33 m²,,,,,,,,,,,,,,
23,À rafraîchir,,Semi-équipée,5,,1,,,1950 m²,1008 kWh/m²,F,0001512362-00000001-1,Non communiqué,Non communiqué,,,,,Oui,,Non,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",650.000 €,Non,"Molenstraat 77
9300 - Aalst",,Après la signature de l’acte,,4,,182 m²,1,,Oui,,Connecté,Non,,,,,,,,,30 m²,4 m²,,,,20,Urbain,16 m²,15 m²,21 m²,,,,,,,,,,,,,,,,,,,,,,,20 m²,Oui,,,,Oui,,4381127,,,,,,,,,,,,,
24,À rénover,,,3,,1,,,1312 m²,413 kWh/m²,E,2430789,Non communiqué,Non communiqué,"Oui, conforme",Mazout,,,,,,Non,,Zone non inondable,,495.000 €,,"Abdijstraat 26
9400 - Ninove",,Après la signature de l’acte,,4,,,1,,,,,Oui,,,,,,,,,40 m²,12 m²,,,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",14 m²,13 m²,14 m²,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,
25,À rafraîchir,,Équipée,1,,,,,9600 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,,,Non,Zone non inondable,Zone agricole,400.000 €,,"Fazantenlaan 24a
9320 - Erembodegem",,Après la signature de l’acte,,4,,,1,,,,Non connecté,Non,,,,,,,,650 €,,,,,,,Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,3,Non,,Non,,150 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,,Non,,,,,,453.900 €,Non,"206 Moorselestraat
8930 - Menen",,,,,,,,,,,Non connecté,Non,,,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,DVL-Sint-Katherina-L,Toutes sortes,,,,,,,,,,,,
27,À rafraîchir,,Semi-équipée,4,,2,,Non,647 m²,321 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,,,,,,Zone non inondable,,349.000 €,Non,"Nieuwstraat 32b1
1730 - Asse",4433493,Après la signature de l’acte,1900,2,,200 m²,1,,Oui,,Connecté,Oui,,,,,,,,,40 m²,17 m²,,12.32 m,1,2,Urbain,19 m²,16 m²,14 m²,,,,,,,,,,,,,,,,,,,,,12.32 m,,13 m²,Oui,,,1,Oui,,,,,,,,,,20 m²,,,,,
28,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,,Oui,,Non,,,,Oui,"Meyskensstraat 222
1780 - Wemmel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31 octobre 2022 - 00:00,,,,,,,,,,,,,,,,,
29,À restaurer,,Semi-équipée,3,,2,Oui,Non,416 m²,462 kWh/m²,E,Certificaat-20210826-0002456329-RES-1.pdf,Non communiqué,Non communiqué,,Gaz,,,Oui,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782419 - 2021/323/M,Après la signature de l’acte,1964,3,,200 m²,1,,,,,Oui,,,,,,,,882 €,60 m²,10 m²,15 m²,,3,2,,18 m²,18 m²,10 m²,,12 m²,,,,,230 m²,,15 m²,,,,,,,,,,,,10 m,,,,,,,,,,,,,,,1,,,Non,,,,
30,,,Équipée,3,,2,,Non,240 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",415.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782527 - 2021/341a/,,2021,3,,137 m²,1,,,,,Oui,,,,30,,,,,30 m²,,,,2,1,,,,,,,,,,,100 m²,Ouest,21 m²,,,,,,,,,,,,10.32 m,,,,,31 octobre 2022 - 00:00,,,,,,,,,,,,,Non,,,,
31,,,Équipée,3,,2,,Non,240 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",435.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782465 - 2021/341b/,,2021,3,,145 m²,1,,,,,Oui,,,,30,,,,,30 m²,,,,2,1,,,,,,,,,,,100 m²,Ouest,21 m²,,,,,,,,,,,,10.32 m,,,,,31 octobre 2022 - 00:00,,,,,,,,,,,,,Non,,,,
32,,,Équipée,3,,2,,Non,292 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",440.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782529 - 2021/341d/,,2021,3,,138 m²,1,,,,,Oui,,,,30,,,,,30 m²,,,,2,1,,,,,,,,,,,100 m²,Ouest,21 m²,,,,,,,,,,,,10.32 m,,,,,31 octobre 2022 - 00:00,,,,,,,,,,,,,Non,,,,
